-5.63265e-05+0.00471706j -0.00409852-0.000541829j 0.00299513-0.000299111j -0.00191005-0.00381999j -0.00275132+0.000142268j 0.00257841+0.000605799j 0.000285572+0.0031201j -0.00277261+0.000501964j 0.00108876+0.000115775j -0.0011865-0.00019041j 0.00161552-0.0022493j -0.00171734-0.00186056j 0.0014171-0.0012764j 0.00042253-0.00111754j 0.000752172-0.00139292j -0.00134647-0.000939933j 0.000945621-0.000273955j -0.00127625-0.000495024j 0.00157875+0.000286024j -0.000334953-0.00401543j 0.00162157+0.000317735j 0.000649948+0.000177135j 0.00193532-0.000623118j -0.00186863-0.000546157j 0.000592737+0.000578035j 0.000328413+0.000578308j 0.000919053-0.00118591j -9.03644e-05-0.00194107j -0.00100543+0.000429353j -0.00182627+0.00156683j 0.000523377-8.49386e-05j 0.00194259+0.000321237j 0.00120242-0.000308746j -0.000573295+0.000624929j -0.000774569-0.000933743j -0.000960735-0.000782615j -0.00123183-0.0010422j 0.000203939-0.000524523j 0.000535567-0.000379184j 0.000103454+0.000487518j -0.000142959+0.000104204j 0.000639478-0.000346996j -0.000712768-0.000976088j 0.000419489-9.73959e-05j -0.000605271-0.00121569j 0.00103108-0.00235222j 0.000304667-0.000658834j 0.0012131+0.00163021j 0.000785278-0.000602367j 0.00105438+0.00198741j 0.00227503+0.000249448j 0.00109709-0.000718874j 0.000833126+0.00128402j 0.00330607+0.000192189j 3.34704e-05+0.00142062j 0.00177004+7.44841e-05j -0.00108337+0.000368358j 0.000471537+0.00397882j -0.00173171-0.000474629j -0.000126813-0.000425072j 0.000166782+0.000546521j -0.00105823-0.000251477j -0.00148981-0.00349764j 0.00307537+0.000592754j 0.000434309-0.000243765j -0.00108987+0.00106996j -0.000258588-0.000250191j -0.00245764-0.00284914j -0.000909599+0.00104477j -0.00142954+0.000294443j 0.000703177+0.00120501j -0.00101425+0.00170757j 0.000614087+0.00149541j 0.000359116-0.00128084j 0.00349627+0.000988567j -0.00554054-0.00787748j -0.00665331+0.00587114j 
0.000104791-0.00538144j 0.00468132+0.000482425j -0.00290143+0.000712294j 0.00231828+0.00381401j 0.00283185-0.000549683j -0.0028261-0.000601193j -0.000483571-0.00298834j 0.00248409-0.000881795j -0.00134556+0.000185552j 0.00109541+0.000199898j -0.0018915+0.00233589j 0.00176373+0.00155224j -0.000946977+0.001154j -0.000182004+0.00132345j -0.000761588+0.00189865j 0.00128759+0.000743028j -0.00100151+0.0004417j 0.0011163+0.000319947j -0.0011936-0.000494226j 0.000279252+0.00408663j -0.00170602+9.25332e-05j -0.000892056+0.000355742j -0.00170123+0.000450468j 0.00184778+0.000526576j -0.000395953-0.00032732j -0.000125043-0.000803199j -0.000566081+0.000930455j 0.000188447+0.00122807j 0.00106974-0.000129235j 0.0015774-0.00119244j -0.000484998+1.1469e-05j -0.00125063-7.20554e-05j -0.00136384+0.000168696j 1.86976e-05-0.00105422j 0.000547+0.00103j -0.000105007+0.000496189j 0.000316202+0.000759102j -0.000257638+0.000268624j -0.000626803-0.000419925j -0.000124015-9.97996e-05j -7.43833e-05+0.000336536j -0.00204168+0.000835816j 0.000778662+0.00138577j -0.000783301+0.00057849j 0.000606456+0.0011995j -0.00184226+0.00260416j -0.00073007+0.000616153j -0.00175512-0.00234971j -0.00143952+0.000459708j -0.0013067-0.0027402j -0.00311234-0.000110657j -0.00149012+0.000936367j -0.000761044-0.00151476j -0.00404533-0.00021686j 0.000575231-0.00181466j -0.00175277+0.000243049j 0.00137357-0.000439917j -0.000530679-0.00481453j 0.00230251+0.000127746j -2.48357e-05+0.000540851j -0.00044398-0.00111962j 0.000982656+0.000553383j 0.00119137+0.00346112j -0.00318704-0.00046547j -0.000128153+0.000362761j 0.00139488-0.000777796j 0.000625321+0.000385425j 0.00244431+0.00288202j 0.000821725-0.00103708j 0.00171241-0.000980832j -1.52609e-05-0.000942976j 0.000928076-0.00116331j -0.000489015-0.00133533j -0.000160329+0.0017806j -0.00415091-0.000746764j 0.00553671+0.0083216j 0.00731648-0.00593904j 
0.00438919-0.00361883j 0.00250946+0.00297935j 7.65215e-05-0.00133632j -0.00191468+0.00197178j -0.000111713-0.000131561j -0.00257821-0.00086033j 0.00185115-0.00169394j -0.00030636+0.00118953j 0.00133243+0.00139277j 0.000431542-0.00016349j -0.00352317+0.00206646j 0.00113155+0.00136575j -0.0004346-1.56709e-05j 0.000744405+0.00020326j -0.000423246+0.000765825j -3.45316e-05+0.00129507j -0.000397567+0.000533473j -0.00137583+0.000183732j -0.00264289-0.00155741j -0.00164486+0.00404382j 1.48064e-05+0.000407973j -0.000557811+0.000717823j -0.00187065-0.000569969j 0.00179661-0.000445533j 0.000398249-0.00110216j -0.000373659-0.000540734j -0.00199361-0.000398277j -0.0014091+0.00105636j 0.000778242+9.74609e-05j 0.00137831-0.000574718j -0.000403416-0.000732789j 0.000940933-0.00108365j -0.0015974-6.44566e-05j -0.000815079-0.00044765j -4.07614e-05+0.000604956j -0.000392953+0.000949695j -0.00113116-0.000181226j -0.000124483-0.000814871j -0.000254148+5.98905e-05j 0.000259353+0.000179379j 0.000339413+0.000404736j -0.00228722+2.09814e-05j 0.000968804+0.000718321j 0.000514624+7.95368e-05j 0.000604004+0.000223447j -0.00170246+0.00020334j -0.000992622+0.00144008j -0.000115742-0.00195511j -0.0010678+0.000356062j 0.00261804-0.00210693j -0.000212301+0.000497007j 0.00183431+0.000435917j 0.00169513-0.00149652j -0.000672257-0.000497416j 0.00097885-0.00180529j 0.00072547+0.000114537j 0.0020653+0.000384427j 0.00207078-0.00309576j -0.00171476-8.00834e-05j -0.00126128-0.000763025j -0.000878226-0.000186092j -0.000617648+0.000492405j -0.00296509+0.00229599j 0.00083512-0.000343155j -0.000335827-2.94468e-05j 0.00220331-0.00113799j -0.000561988-0.000980409j -0.00184539+0.000836111j -0.000215276-7.51973e-05j -0.0010055-0.00200417j 0.00096723-0.00214273j 0.00247657-0.000452801j 0.000563261+0.000136012j 0.00452575+0.00153577j -0.00112412+0.0026128j -0.00222064+0.00658108j 0.007836+0.000369787j 
0.00148793+0.000245668j 0.00149488+0.000554378j -0.000643122+0.00346441j 0.00253938-0.00064689j 0.00259664-0.00321282j -0.00207624-0.00173811j -0.000825467-0.000268406j 0.000271966-0.00367047j -0.00260151+0.00283487j 0.00102539-0.000632636j -0.00235348-0.000628079j 0.0022321+0.00140945j 0.000229031+0.00225638j 0.000824594+0.00264701j -0.000750467+0.0014817j 0.000550587-0.000448547j -0.00187188+0.00101602j 0.000683766-0.00235293j -0.000615332-0.00207918j -0.00111584+0.00163654j -0.00196521+0.00147218j -0.00230015-0.000145151j 1.22052e-05+0.000241929j 0.00347605+0.000775526j 0.000558635+0.000540301j -0.000383889-0.00118967j 0.000260559-0.000877559j 0.000100735-0.000221889j -0.000116751-7.64811e-05j 0.00113446-0.00194171j 0.000471325-0.000209222j -6.77191e-05+0.00224346j -0.000678312-8.39415e-05j -1.47663e-05-0.0022043j 0.00110211-8.74137e-05j 0.000670688-0.000525439j 0.00216241-0.00218194j 0.00104414-0.000350036j 0.000344756+0.000669045j -0.000919054-0.000167514j -0.000213759+0.000374966j -0.000806383-0.00252787j 0.000837985+0.00116734j 9.59107e-05+0.000826986j 0.00128095+0.00104245j 0.000530717+0.000878929j -0.00156418-0.000333642j -5.87864e-05-6.10266e-05j -0.000841326-0.00019743j 0.000188119+0.00279118j -0.00231992+0.00143888j 0.000119237+0.00357532j -0.00022728+0.00232957j -0.0021701+0.00250998j 0.000891404-0.00032705j -0.00126624+0.00266986j 0.000938529+0.00102373j -0.000711759-2.4389e-05j 0.00157589-0.00349231j 0.000819157-0.00171124j 0.000254091-0.00165745j 0.000851363-0.00207154j 0.00149197-0.00233744j -0.00253544+0.00355616j -0.00031847+1.48383e-05j 0.00212217+0.000188683j 0.000810231-0.000906072j 0.00393504-0.00244424j -8.37596e-05-0.00221075j 0.00321765-0.00323409j 0.000205033+0.000915426j -0.000475427+1.54253e-06j -0.00271869+0.000725376j 0.000372948+0.008191j -0.00798024+0.00227913j 0.00440375-0.000365997j 0.00131994-0.00192105j 
-0.000482977+0.00658298j -0.00509341-0.000121627j 0.000542792+0.00092237j -0.000467109-0.00244106j 0.000251529+0.000206719j 0.00279601-0.00124574j 0.000415904+0.00237444j -0.000768518-0.000939665j -0.00193142+0.000386666j 0.000383329+0.000299568j 0.000778271-0.004027j -0.00202261+0.000291323j -0.000235418-0.00010274j -0.000871868+0.000512851j 0.000232572-0.000965738j -0.0013539-0.00107185j 0.000305483-0.000829155j 0.00101475-0.00184255j 0.00285563-0.00128721j -0.00262043-0.00347826j -0.0002576-0.000596326j 0.000590903-0.00134098j 0.0010912-0.00102379j -0.00105583+0.00144367j 8.72114e-05+0.000658611j 0.000578214+0.000916966j 0.00134516-0.000743285j 0.000680657-0.00050196j -0.000592136-0.000125761j -0.000971584+0.00120305j 0.000301736+0.000540221j -0.000117349+0.00147968j 0.00137342-0.00164348j 0.000551609+6.1991e-05j -0.00012117-0.000270473j 0.00128602-0.000386153j 0.000794374-0.000495111j 0.000313494+0.000797912j 0.000752605+0.00115235j 0.000285903-0.00018194j 0.000579756-0.000416747j 0.00230324-0.00295041j -0.000837781+0.000467848j 0.000722723+0.000379433j -0.00194796+0.000592209j 0.00121063-0.00240944j -0.00010522-0.00112503j 0.00209526+0.00102259j 0.00138955-0.000531601j -0.00132906+0.00377944j 0.000114331-0.000284329j -0.00209181+0.00192838j -0.000387102+0.00157647j 0.00041081-0.00071364j -0.000309369+0.00198171j -0.00118681+0.000124758j -0.00224653+0.00209371j 0.00101069+0.00300647j 0.000831779-0.000920609j 0.00221287-0.000606718j 0.000251322+7.66296e-05j 0.000458201-0.000743412j 0.00027981-0.00333871j -0.000397559+0.00130978j 0.000147822+0.000506198j -0.000734725+0.00253899j 0.00112715-0.000272415j 0.000210627-0.00240934j 0.000369198-0.000283734j 0.00247917+0.000518677j 0.000866116+0.00162433j -9.06127e-05+0.00168728j -0.00079979-0.000787113j -0.00542461+0.00204993j -0.0010474-0.00323442j -0.00371439-0.00634847j -0.00569877+0.00582725j 
-0.000564919-0.00150153j -0.00040879-0.000748381j 0.00172983-0.00391132j -0.00308603+5.08818e-05j -0.00301359+0.00284192j 0.000890375+0.00178017j 0.0010595+0.000338687j -0.000493113+0.00377038j 0.00298116-0.00274937j -0.00109678+0.000912035j 0.00141614+0.000845342j -0.00188571-0.00169014j 0.000454028-0.00198437j -0.000521945-0.00321925j 0.000324289-0.00116333j 1.05041e-05+0.000763523j 0.00143913-0.000425524j -0.000729872+0.00305636j -0.000301112+0.00241283j 0.000967428-0.00171696j 0.00160016-0.00132985j 0.000788277+0.000534196j 0.000583999-0.000351004j -0.00233547-0.000912416j 6.12958e-05-0.000930654j 5.7073e-05+0.000654344j -0.00164379+0.000143086j -0.00132747+0.000240455j 0.000270934+0.000270346j -0.000464562+0.000574823j 7.73811e-05-0.00137377j -0.000151824-0.00273876j 0.000517396+0.00159346j 0.000603594+0.000682603j -0.00106798-0.00011799j -0.00117333+0.000931113j -0.00171202+0.000481078j -0.00150272-0.00158867j -0.000983244+4.40271e-05j -2.59132e-05+0.000459333j -0.000661708+0.000630067j 0.000444529+0.0018132j -0.00187961-0.00176998j -0.000805799-0.000784937j 0.000229481-0.00266117j -0.000681268-0.000418812j 0.000404796-0.00029889j 0.000400713+0.000866323j -0.000168432+0.000177817j 0.0031419-0.00325715j 0.00215661-0.00252398j 0.0013628-0.00479076j 0.00218262-0.00144367j 0.00366418-0.00262258j 0.000502751+8.77335e-05j 0.00199091-0.00265666j -0.000126729-0.00152178j 0.00226281+0.000757864j -0.0021358+0.00354606j -0.00153361+0.00151311j 0.000235162+0.000961543j -0.00182906+0.00189294j -0.00252268+0.00124467j 0.00319306-0.00371145j -0.000759888-0.00105136j -0.00158128-0.00048047j -0.000591864+0.00143466j -0.00392533+0.00188317j -0.000321993+0.00240565j -0.00372648+0.00335303j 3.49303e-05-0.000139202j -0.000458115+0.000989217j 0.00383095+0.000908568j 0.00276209-0.00807097j 0.00797696-0.000601128j -0.00532746+0.00027896j -0.000473099+0.00257473j 
-0.00414964-0.000699351j 0.000333213-0.00215575j -0.00267037+0.000617187j 0.00171338+0.00177668j 0.000804068+0.00124081j 0.00310631+0.00181985j -0.00257349-1.18233e-06j 0.000975998-0.00142953j -0.000715613-0.0015991j -0.000601681-0.000297593j 0.00354111+0.000851733j 0.00108547-0.000933164j -0.000293238+0.00113878j -2.15946e-05+0.000884724j -6.75761e-05+0.0011439j -0.000583368-0.00167706j -0.000128958-0.00121499j 0.000559563-0.000948869j 0.000980423+0.00115183j 0.00147561+6.51676e-05j -0.00036793-0.000718832j 0.000604389-0.000690466j 0.000103569+0.00180778j -0.000910203+0.000371534j -0.00215479+0.000977791j 0.000218058+0.00065006j 0.00267485+0.00261085j 0.0029296+0.00035611j -0.00192565-0.000824286j -0.00129541-1.40284e-05j -0.000236738+0.00051808j -0.00051353+0.000254629j 0.000906913+0.00065987j 0.000256079-0.000439726j 0.000883951+0.00141309j 0.00121046+3.37444e-05j 0.00197114+0.000596228j 7.07176e-05+0.00114403j 0.000934806+0.00151406j 0.000766131-0.000168445j 2.67757e-05+0.000574942j 0.00238468-0.000925836j 0.00071158+0.000993944j 0.000398235+0.000954694j -0.000565627+0.000848834j 0.00224688+0.0010473j 0.00310895-0.000317252j 0.000146894-0.000411506j 0.00288464+0.000321892j -0.00322836-0.000718384j 0.00193009+4.66234e-05j -0.0010569+0.00106972j -0.00248155-0.00181885j 0.000896477+0.000798737j -0.00117562+0.00021076j -0.00035581+0.000754561j -0.00214843-0.000386894j -0.00128077-0.00190263j 0.000549386+0.00054144j 0.000418637-2.33602e-05j 0.00181404+0.0015606j -0.000165228-0.000900329j 0.0032158+0.00182241j 0.000471753+0.00151066j 0.00138422+0.00156147j -0.00289784-0.000720878j -0.00123788-0.00110088j -0.000251176+0.000505604j 4.63567e-05-0.00191696j 0.00238787-0.000796527j -0.00238001+0.000583297j -0.00106391-0.00399947j -0.00292267-0.00313649j -0.004176-0.0022504j 0.00191215-0.00173621j 0.00482337-0.00125051j -0.0038976-0.00526736j 
-0.00197507-5.67299e-05j -0.00169678-0.00337583j 0.00212704-0.00192733j -0.00262328-0.00215014j -0.00338699-0.000344961j -0.000172337+0.00362996j -0.000190008+0.000564218j -0.00113651-0.000280115j 0.000887219+2.61205e-05j -0.000306317+0.00063313j 0.000674742+0.000672092j -0.000840574-0.00124059j 8.56246e-05-0.00148721j -0.000516021-0.000556925j -0.000865231+0.000750414j 0.000597026-0.00255041j 0.0024547+0.000835642j 0.00161308-0.000224105j 0.00201368+0.00166336j -0.00100994-0.00268779j 0.0012752-0.000193473j 0.00128652+0.00213853j -0.000225883-0.00208056j -0.00202134-0.00164863j -0.000343817-0.00183553j -0.00108179+0.00109412j -0.00110052+0.00295242j -0.000781666+0.0021515j 0.000556838-0.000794131j -0.00197837-0.000699093j -0.000111374-0.000468385j 3.19493e-05+0.000496913j 0.00145787-0.000275136j 0.000721579-0.000364046j -0.0023852+0.000128261j -0.00130029-0.000640838j -0.000680565+0.00014631j -0.00155723+0.000779184j -0.00145911+0.000324985j -0.000463348+0.00202974j -0.00145595-1.98246e-05j 0.00184301+0.00171544j -0.00231063+0.000859825j -0.00147663+0.000391052j -0.0014115-0.000635442j 0.000653543+0.00228511j -0.000344148+0.00219134j 0.00281423+0.00118335j 0.0001805+0.003003j 0.00226347-0.000714037j 0.00029047+0.00167602j -0.00232848-0.000635456j 0.00368719-0.000189956j 0.00159521+0.00108123j 0.00028601+0.000458815j -0.000462199+0.000745144j -0.00166134-0.00236881j 0.00386899+0.003054j -0.000359692-0.00122284j 0.000813879+0.000483155j -0.00187239-0.000129581j -0.000275924-0.00169158j -0.00318137-0.00126467j -0.000770214+0.00254416j -0.00134814+0.00224251j -0.000900431-0.00201807j 0.00214276-0.000381807j -0.00123067-0.00445591j 0.00189551-0.000660841j 0.00286628+0.00169027j 0.00166353+0.00166636j 0.00228973+0.00301659j 0.00466941-0.00172266j 0.00132759-0.00467038j 0.0035561+0.0028812j -0.0017953-0.00516534j -0.00262968-0.000441337j 
0.00279934-0.000166351j -0.00010469+0.00191744j -0.000535685+0.00024593j -0.00121079+0.000748253j 0.000135942+0.000422353j 0.00153558+0.00161257j -0.000847661+6.3727e-05j -0.000333423-0.00168625j 0.000761552+0.000759929j -0.000148933-0.00244721j -0.00154427+0.000866525j 0.00224219+0.00128694j 0.000700723+0.00244277j -4.2738e-05+0.00136282j -0.00117762-0.000304168j -0.00054271-0.000311462j -0.000872577-0.00134964j -0.00108596-0.00290962j -0.00206276-0.000586137j -0.00176279+0.0021846j -0.000391415-8.28888e-06j -0.00136231-0.0018035j -0.000179858+0.00106938j 0.00191363+3.74915e-05j -0.00153701-0.000344812j 0.000661833+0.000134688j -0.000575156+0.000661467j 0.00204482+0.00164393j -0.00163442-0.000905345j -0.000102455-0.00115848j -0.00103873-0.000403189j 0.00125329+0.000987j -0.000661587+0.000455963j -0.000387352+8.99535e-05j -4.67245e-05-0.00024415j 0.000903588+0.000484346j 0.000768655-0.000781354j 0.00168678+0.000636549j 0.000918314+0.00102684j 0.000905611+0.000257426j 0.000469759+0.000583656j 0.000888392-0.00059344j 0.000478266+0.000487359j 0.000702311+0.000186179j 0.000162168+0.000970137j 0.00188816-0.00133863j 0.00162196+0.00212609j 0.000362496+0.000700287j 0.00211831-0.0004276j 0.000643558+0.000825519j 0.0016545+0.00296865j 0.00194051+0.00208023j -0.000225152-0.000744257j 0.00031012+0.0034415j 0.000986382+0.00160824j 0.00109549+0.00113512j 0.000467933+0.00075928j 0.00144828+0.00112889j -0.00182242-0.00145923j -0.000396129-0.0018866j 0.0011987+0.00352452j 0.000104631-0.00249838j -0.000549991-0.000956376j 0.00193388+0.00384836j -0.000368984-8.05947e-05j 0.0016093-0.00130454j -0.000548199-0.00275028j -0.00120277-0.00382145j -0.000815326-0.00125142j 0.00146949-0.00076772j -0.00283601-0.00205908j 0.00252881-0.005068j -0.00271951-0.00205414j 0.00155305+0.00241023j -0.00145013+0.00287232j 8.52761e-05-0.000687566j 0.00125229-0.000811j 
-0.000705171-0.00135776j -0.000683127-0.000405278j 0.000759087+0.000643686j 0.000313028+0.000748242j -0.000168597-0.00154398j 0.000455683-0.00275066j 0.00151777+0.000861539j -0.00308474-0.000356925j -0.000413216+0.00136055j -0.000764828+0.00156236j -0.000588896+0.00104328j 5.50039e-06-0.00166424j 0.00174888-0.00184614j 0.00152481+0.00137448j 0.0010851+0.00392361j -0.00116306-0.000694807j -0.000490054+0.00194065j -0.00181787-0.000160755j 0.00178949-0.000746356j 1.06009e-05+0.00244305j -0.000711758+0.00154362j -0.000588012+0.00356285j -0.00137474-0.0014832j -8.04673e-05-0.000824673j -0.000419239+0.00164123j -0.000140447-0.00132717j 0.00245815+0.00069922j 0.00135477-0.00181383j -7.50359e-05+0.00176052j -0.00135494-0.000408806j -0.000779662+0.000769607j 0.00151725-0.000467424j 0.000126382-0.000218276j -0.00200433-0.0024968j 0.000204545+0.00168792j -0.00229311-7.74246e-05j -0.00135631-0.0020286j -0.00149715-0.00179007j 6.09419e-05+0.000333309j 0.000299943+0.000118767j -0.000915383+0.00118967j -0.00171097-0.00213666j 0.000644211+0.00257992j -0.000725218+0.00110948j 0.000836778+0.000745588j 0.000583913+0.00150334j 0.000316669-0.00114132j 0.00193931-0.00207872j -0.000852139-0.000192764j 0.00154806-0.00133379j 0.000119308-0.00136061j 0.00102088+0.000904299j 0.00163875+0.000166761j 0.00272733-7.06858e-05j 0.00213507-0.004031j 0.00133447+0.00153968j 2.26464e-05-0.000929788j 0.00282027-0.00405251j -0.00102048-0.00173374j -0.00140585-0.000591037j 0.000922888-0.00466971j -0.00345412-0.00113063j -0.0034185+0.000978529j 0.00306796+0.000361317j 0.000896542+0.00182171j -0.000898557-0.00189529j -0.000974286-0.000847339j -0.00447464+0.000196088j -0.00122821-0.00195811j 0.00170448-0.00736767j 0.00383509+0.00380323j -0.00282921+0.00136929j -0.00146037+0.00147276j 0.00185907+0.00189003j 0.000266358+0.00291628j -0.00296083-0.000160737j -0.000280891-0.000613491j 
-0.000269127+0.00126577j -0.00179961+0.00150689j -0.00094138+0.000665231j 0.000204658+0.00117477j -0.00134376-0.000224872j -0.00169794+0.00151405j -0.0007846-0.00206933j -0.00106468-0.000475226j 0.000559796+0.00248484j 0.00301051-0.00108084j -0.000267736+0.000879652j 0.000883787+0.00126102j -0.00217606+0.00186571j 0.0019771+0.00126972j 0.00363173+0.000622419j -0.00202329-0.000986377j 0.00205422-0.000216246j 0.000196991-0.00256283j -0.00157161-0.00315021j 1.24633e-05+0.0020237j 0.000624937+0.00113091j 0.00334132-0.000990471j -0.0024747+0.0030669j 0.00117637+6.654e-05j -8.06836e-05-0.000132383j -0.00155158+0.000719789j 0.00242239-0.00124842j 0.000987667+0.00221581j 0.000219436-0.00117008j -0.00192736-0.00134705j -0.000206621+0.000103574j 1.67194e-05+0.000369093j -0.000465123-0.000288886j -0.00385071+0.000841851j 0.00291527+0.000488539j 0.0010184+0.00326402j -0.000711724-0.00139838j 0.000553946+0.00214219j 0.00171035+0.00228901j 0.000958154+0.00090519j 0.000681662+0.00233388j -0.00037605-0.00161861j 0.00342206+0.000460344j 0.001978+0.000893227j 0.00103444+6.90445e-05j 0.00552746-0.000786539j 8.27755e-05+0.00233685j -0.000974566-0.00216262j 0.00293854+0.00170848j -0.000766138-0.000666928j -0.000273061+0.00223631j 0.00215907+0.00251935j 0.000898034-0.00238332j -1.41406e-05+0.000936429j -0.00303153-0.00137201j 0.00250956+0.00143341j -0.00174386+0.000315671j -0.00198201-0.00161308j -0.00334562-0.00208628j 7.35233e-05-0.000738305j -0.00486763+0.00123998j -0.00144033-0.000752193j 0.000822442+0.00223865j 0.00124351+0.00354291j 0.00241354+0.000311135j -0.00105887-0.00110699j -0.00120994-0.001921j 0.000248375-0.00153125j -0.00345314-0.0031781j -0.00378459-0.00565613j 0.00320432-0.00521954j 0.0053805-0.0014734j -0.00199415-0.00204977j 0.00181399+0.00244316j 9.39544e-05+0.00329094j 0.00128328+0.000192781j -0.00145887-0.0024685j 
