-0.502462-0j -0.0509611-0j -0.0514892-0j -0.0292381-0j -0.00422016-0j -0.0361803-0j -0.0211052-0j -0.00522218-0j -0.00304627-0j 0.0620067-0j 0.0109613-0j -0.0239691-0j 0.000913444-0j -0.014678-0j -0.020973-0j -0.00423718-0j -0.00259473-0j -0.00865092-0j -0.000353099-0j -0.00370754-0j -0.000216228-0j -0.00152928-0j -0.000308961-0j -0.00012744-0j -0.0158144-0j -0.00263573-0j 0.053916-0j -0.00161405-0j -0.000329466-0j -0.0145861-0j -1.9414e-05-0j 0.008986-0j -0.0147373-0j -0.0127628-0j 0.00550278-0j -0.00243102-0j -0.0105288-0j 0.00112325-0j -0.00148869-0j -0.00245621-0j -0.003364-0j 6.61881e-05-0j -0.00150411-0j -0.00212714-0j -0.000303877-0j -0.0013026-0j -0.0017548-0j -0.000307026-0j -1.79061e-05-0j -0.000265892-0j -0.00107459-0j -0.000560667-0j -1.80917e-05-0j -0.00021935-0j -0.000343337-0j -1.56679e-05-0j -7.00834e-05-0j -1.29253e-05-0j -4.1297e-06-0j 
0.00834395-0j 0.0594546-0j -0.0583606-0j -0.0680413-0j -0.00982092-0j 0.000600815-0j -0.048194-0j 8.67202e-05-0j -0.0069562-0j 0.0239691-0j 0.00423718-0j -0.000793958-0j 0.000353099-0j 0.0171244-0j -0.0237719-0j -0.000140353-0j 0.00302719-0j -0.0297036-0j -1.16961e-05-0j -0.00420232-0j 0.000252266-0j -0.0052509-0j -0.000350194-0j -0.000437575-0j 0.0184501-0j 0.00307502-0j 0.000296656-0j 0.00188306-0j 0.000384377-0j -0.033944-0j 2.26497e-05-0j 4.94427e-05-0j 0.0333194-0j 0.000211941-0j 3.02773e-05-0j -0.00565733-0j -0.0240427-0j 6.18034e-06-0j -0.00346439-0j 0.00555323-0j -0.0154194-0j 3.6418e-07-0j 0.00340065-0j 3.53236e-05-0j -0.000707166-0j 2.16312e-05-0j -0.00400711-0j 0.000694154-0j -4.16701e-05-0j 4.41545e-06-0j -0.00245385-0j -0.00256989-0j 4.09034e-05-0j -0.000500889-0j -0.00157373-0j 2.60183e-07-0j -0.000321237-0j -2.95152e-05-0j -1.89291e-05-0j 
0.358976-0j -0.108057-0j 0.0367857-0j 0.0208887-0j 0.00301503-0j -0.0767161-0j 0.0150783-0j -0.011073-0j 0.00217636-0j 0.014678-0j 0.00259473-0j 0.0171244-0j 0.000216228-0j 0.00981903-0j -0.0444708-0j 0.00302719-0j 0.00173578-0j 0.00618051-0j 0.000252266-0j -0.00786139-0j 0.000144648-0j 0.00109257-0j -0.000655116-0j 9.10476e-05-0j 0.0112983-0j 0.00188306-0j 0.0127628-0j 0.00115313-0j 0.000235382-0j -0.0309281-0j 1.387e-05-0j 0.00212714-0j 0.0105288-0j 0.00853784-0j 0.0013026-0j -0.00515469-0j -0.0223251-0j 0.000265892-0j -0.00315659-0j 0.0017548-0j 0.00240336-0j 1.56679e-05-0j 0.00107459-0j 0.00142297-0j -0.000644336-0j 0.000871389-0j -0.00372085-0j 0.00021935-0j -3.79678e-05-0j 0.000177872-0j -0.00227855-0j 0.00040056-0j 1.29253e-05-0j -0.000465106-0j 0.000245292-0j 1.04812e-05-0j 5.007e-05-0j -2.74066e-05-0j 2.9504e-06-0j 
0.498328-0j 0.0511883-0j 0.0525406-0j -0.0298472-0j -0.00430808-0j -0.035307-0j -0.0197311-0j -0.00509613-0j -0.00284793-0j -0.020973-0j -0.00370754-0j 0.0237719-0j -0.000308961-0j 0.0444708-0j -0.0210579-0j 0.00420232-0j 0.00786139-0j -0.042166-0j 0.000350194-0j -0.00372255-0j 0.000655116-0j -0.00745396-0j -0.000310213-0j -0.000621163-0j -0.0161439-0j -0.00269064-0j 0.0177173-0j -0.00164768-0j -0.00033633-0j 0.0146511-0j -1.98185e-05-0j 0.00295288-0j 0.0150382-0j -0.0375674-0j 0.00180826-0j 0.00244185-0j 0.0096854-0j 0.00036911-0j 0.00149532-0j 0.00250636-0j -0.0363225-0j 2.175e-05-0j 0.00153483-0j -0.00626123-0j 0.000305232-0j -0.00383421-0j 0.00161423-0j 0.000313295-0j 1.7986e-05-0j -0.000782654-0j 0.000988512-0j -0.00605374-0j 1.84611e-05-0j 0.000201779-0j -0.00370715-0j -4.61183e-05-0j -0.000756718-0j 1.18899e-05-0j -4.459e-05-0j 
-0.622672-0j 0.0214583-0j 0.103518-0j 0.0123114-0j 0.00177699-0j -0.0448362-0j 0.0103405-0j -0.00647155-0j 0.00149253-0j 0.00865092-0j 0.00152928-0j -0.0297036-0j 0.00012744-0j 0.00618051-0j 0.042166-0j -0.0052509-0j 0.00109257-0j -0.0513747-0j -0.000437575-0j 0.00745396-0j 9.10476e-05-0j -0.00908185-0j 0.000621163-0j -0.000756821-0j 0.006659-0j 0.00110983-0j -0.0221381-0j 0.000679631-0j 0.000138729-0j 0.0061418-0j 8.17469e-06-0j -0.00368969-0j 0.0296291-0j -0.0158163-0j -0.00225946-0j 0.00102363-0j 0.00515861-0j -0.000461211-0j 0.000626845-0j 0.00493818-0j -0.0264766-0j -2.71771e-05-0j 0.00302401-0j -0.00263604-0j 0.000127954-0j -0.00161424-0j 0.000859768-0j 0.000617273-0j 7.53977e-06-0j -0.000329505-0j 0.000526498-0j -0.00441276-0j 3.63731e-05-0j 0.000107471-0j -0.00270225-0j -1.94163e-05-0j -0.000551595-0j 6.33279e-06-0j -3.25031e-05-0j 
0.0644612-0j -0.309256-0j -0.312461-0j 0.00375098-0j -0.0517613-0j 0.0046416-0j 0.0027076-0j -0.0640513-0j -0.0373633-0j 0.00263573-0j -0.0220399-0j 0.00307502-0j -0.00558764-0j 0.00188306-0j 0.00269064-0j -0.0257133-0j -0.0157461-0j 0.00110983-0j -0.00651892-0j -0.0224991-0j -0.00399201-0j -0.00928041-0j -0.00570405-0j -0.0023528-0j -0.00822548-0j 0.0648477-0j 0.00229182-0j -0.00083951-0j 0.0163833-0j 0.00187126-0j 0.00194089-0j -0.0180681-0j 0.00189065-0j 0.00163735-0j 0.000233908-0j -0.0147526-0j 0.00135075-0j -0.00456478-0j 0.000190985-0j -0.0149055-0j 0.000431571-0j -0.000540778-0j 0.000192964-0j -0.0129085-0j -0.00372713-0j 0.000167112-0j -0.010649-0j -0.00376575-0j -0.000441544-0j -0.00326124-0j 0.00013786-0j -0.0034024-0j -0.000446119-0j -0.00269038-0j 4.4047e-05-0j -0.000386351-0j -0.000859591-0j -0.000318723-0j -0.000101834-0j 
-0.00103646-0j 0.349342-0j -0.342914-0j -0.00423718-0j 0.0584706-0j -7.46315e-05-0j 0.00598652-0j 0.00102987-0j -0.0826104-0j 0.008986-0j -0.0751408-0j -4.94427e-05-0j -0.01905-0j -0.00212714-0j 0.00295288-0j 0.000413439-0j 0.0177871-0j 0.00368969-0j 0.000104816-0j -0.0246919-0j 0.00450945-0j -0.0308531-0j -0.00625998-0j -0.007822-0j -0.00229182-0j 0.0180681-0j 0.000111216-0j -0.000233908-0j 0.00456478-0j -0.00211382-0j 0.000540778-0j -0.0008768-0j 0.00207492-0j -2.63267e-05-0j 1.13509e-05-0j 0.0166648-0j 0.00298651-0j -0.000221517-0j -0.00021574-0j -0.0163582-0j 0.00191535-0j -2.62426e-05-0j 0.000211771-0j 0.000207554-0j 0.00421024-0j -2.68696e-06-0j -0.0235449-0j -0.00413277-0j 0.000498777-0j 5.24369e-05-0j 0.000304809-0j -0.0151001-0j -0.000489599-0j -0.00594845-0j 0.000195484-0j 6.21206e-06-0j -0.00381494-0j -0.000704698-0j -0.000451946-0j 
-0.0594546-0j -0.280661-0j 0.288193-0j 0.00690094-0j -0.0952289-0j 0.00421242-0j -0.0024973-0j -0.0581289-0j 0.0344613-0j -0.00243102-0j 0.0203281-0j 0.00565733-0j 0.00515366-0j 0.00515469-0j 0.00244185-0j -0.0473065-0j -0.0431034-0j -0.00102363-0j -0.0119933-0j -0.0204188-0j -0.0109277-0j 0.00855961-0j -0.00517663-0j 0.00217006-0j -0.00187126-0j 0.0147526-0j -0.00211382-0j -0.000190985-0j 0.00372713-0j -0.00338747-0j 0.000441544-0j 0.0166648-0j 0.00347837-0j 0.0044821-0j -0.00021574-0j 0.026706-0j 0.00122585-0j 0.00421024-0j -0.000345732-0j -0.0274226-0j -0.000398051-0j 0.000498777-0j 0.000355009-0j -0.0353358-0j 0.00674706-0j 0.000457452-0j -0.00966433-0j -0.00692812-0j 0.000799308-0j -0.00892732-0j 0.000125113-0j 0.00313814-0j -0.000820757-0j -0.00244162-0j -4.06259e-05-0j -0.0010576-0j 0.000792827-0j -0.000289253-0j 9.39242e-05-0j 
-0.0583606-0j -0.288193-0j 0.291061-0j -0.00697245-0j 0.0962157-0j -0.00420232-0j 0.00231076-0j 0.0579896-0j -0.0318872-0j 0.00245621-0j -0.0205388-0j 0.00555323-0j -0.00520706-0j 0.0017548-0j -0.00250636-0j -0.0464361-0j -0.0146736-0j 0.00493818-0j -0.0117726-0j 0.0209582-0j -0.00372011-0j -0.041293-0j 0.00531339-0j -0.0104687-0j 0.00189065-0j -0.0149055-0j -0.00207492-0j 0.000192964-0j -0.00376575-0j -0.00347837-0j -0.000446119-0j 0.0163582-0j 0.00351299-0j -0.0014824-0j -0.000211771-0j 0.0274226-0j 0.00115278-0j 0.00413277-0j -0.000355009-0j -0.0276956-0j 0.00425383-0j 0.000489599-0j 0.000358543-0j 0.0116869-0j 0.00692812-0j -0.000151296-0j -0.00908822-0j -0.00699708-0j 0.000820757-0j 0.0029526-0j 0.000117655-0j -0.0335362-0j -0.000828926-0j -0.00229607-0j 0.000434155-0j 0.000349787-0j -0.00847266-0j -0.00027201-0j -0.00100374-0j 
0.000740483-0j 0.740739-0j 0.24499-0j 0.00302719-0j -0.0417734-0j -0.000158247-0j -0.00427697-0j 0.00218372-0j 0.0590197-0j 0.00212714-0j -0.0177871-0j 3.53236e-05-0j -0.00450945-0j 0.00142297-0j 0.00626123-0j -0.000295375-0j -0.0118989-0j -0.00263604-0j -7.48845e-05-0j -0.0523564-0j -0.00301664-0j 0.0220426-0j -0.0132736-0j 0.0055883-0j 0.00163735-0j -0.0129085-0j 2.63267e-05-0j 0.000167112-0j -0.00326124-0j -0.0044821-0j -0.000386351-0j -0.000207554-0j -0.0014824-0j 1.76116e-05-0j 2.68696e-06-0j 0.0353358-0j 0.00633255-0j -5.24369e-05-0j -0.000457452-0j 0.0116869-0j -0.00136839-0j -6.21206e-06-0j -0.000151296-0j -0.000138845-0j 0.00892732-0j 1.79747e-06-0j -0.0499243-0j 0.0029526-0j 0.0010576-0j -3.50782e-05-0j 0.000646313-0j 0.0107881-0j 0.000349787-0j -0.012613-0j -0.000139661-0j -4.15563e-06-0j 0.00272552-0j -0.00149423-0j 0.000322886-0j 
0.0840006-0j -0.202592-0j 0.190515-0j -0.0024973-0j 0.0344613-0j -0.00595153-0j -0.0069797-0j 0.0821276-0j 0.0963157-0j -0.0017548-0j 0.0146736-0j 0.00400711-0j 0.00372011-0j 0.00372085-0j 0.00161423-0j -0.0335074-0j -0.0311137-0j -0.000859768-0j -0.00849492-0j -0.0134982-0j -0.00788805-0j 0.00718937-0j -0.00342211-0j 0.00182267-0j -0.00135075-0j 0.010649-0j 0.00298651-0j -0.00013786-0j 0.00269038-0j 0.00122585-0j 0.000318723-0j -0.0235449-0j -0.00115278-0j -0.00633255-0j 0.000304809-0j -0.00966433-0j 0.00342613-0j -0.00594845-0j 0.000125113-0j 0.00908822-0j 0.0037228-0j -0.000704698-0j -0.000117655-0j 0.0499243-0j -0.00244162-0j -0.000646313-0j -0.0270108-0j 0.00229607-0j -0.000289253-0j 0.012613-0j 0.000349678-0j -0.0293497-0j 0.00027201-0j -0.00682407-0j 0.000379957-0j 0.00149423-0j -0.00741497-0j -0.00080843-0j -0.000878433-0j 
-0.0538724-0j -0.0657844-0j -0.703014-0j 0.000797901-0j -0.0110106-0j -0.00387914-0j -0.00746242-0j 0.0535298-0j 0.102977-0j 0.000560667-0j -0.00468829-0j -0.00256989-0j -0.00118859-0j 0.00040056-0j 0.00605374-0j 0.0214894-0j -0.00334948-0j -0.00441276-0j 0.00544807-0j -0.0506213-0j -0.000849171-0j 0.0368995-0j -0.0128337-0j 0.00935488-0j 0.000431571-0j -0.0034024-0j -0.00191535-0j 4.4047e-05-0j -0.000859591-0j 0.000398051-0j -0.000101834-0j 0.0151001-0j 0.00425383-0j -0.00136839-0j -0.000195484-0j -0.00313814-0j -0.0037228-0j 0.00381494-0j 4.06259e-05-0j -0.0335362-0j 0.00466566-0j 0.000451946-0j 0.000434155-0j 0.0107881-0j -0.000792827-0j -0.000139661-0j 0.0293497-0j -0.00847266-0j -9.39242e-05-0j 0.00272552-0j -0.000379957-0j -0.036783-0j -0.00100374-0j 0.00741497-0j 0.000476187-0j 0.000322886-0j -0.00929294-0j 0.000878433-0j -0.00110091-0j 
0.0413489-0j 0.00419372-0j 0.00423718-0j -0.231499-0j 0.000347288-0j -0.286465-0j -0.167105-0j 0.000429747-0j 0.000250686-0j 0.0016907-0j -0.0287561-0j 0.00197248-0j 2.49064e-05-0j 0.00120789-0j 0.00172592-0j -0.0335488-0j -0.0205443-0j 0.000711907-0j 2.90574e-05-0j -0.0293552-0j 1.7794e-05-0j -0.0121084-0j 2.54253e-05-0j 1.04874e-05-0j 0.00130141-0j 0.000216901-0j 0.0014701-0j -0.025692-0j -0.00260862-0j 0.00120033-0j 1.59763e-06-0j 0.000245016-0j 0.00121277-0j 0.00105029-0j -0.0290222-0j 0.000200055-0j 0.000866443-0j -0.00294675-0j -0.0236965-0j 0.000202128-0j 0.000276833-0j 1.80471e-06-0j -0.0239421-0j 0.000175048-0j -0.00240601-0j -0.0207344-0j 0.000144407-0j -0.00243094-0j 1.47354e-06-0j -0.00210526-0j -0.017105-0j 4.61388e-05-0j 1.48881e-06-0j -0.00173675-0j -0.00546514-0j 1.28935e-06-0j -0.0005549-0j 1.06366e-06-0j 3.39844e-07-0j 
-0.0059682-0j 0.0578709-0j 0.0584706-0j -0.000347288-0j -0.22427-0j -0.000429747-0j -0.000250686-0j -0.27752-0j -0.161887-0j -0.000244032-0j 0.00412432-0j -0.000284704-0j -0.0492864-0j -0.000174345-0j -0.000249116-0j 0.0048117-0j 0.00294655-0j -0.000102755-0j -0.0575008-0j 0.00421024-0j -0.0352119-0j 0.00173664-0j -0.0503132-0j -0.0207531-0j -0.000187842-0j 0.00299311-0j -0.00021219-0j -1.91716e-05-0j -0.0175087-0j -0.000173253-0j -0.00636732-0j 0.00338108-0j -0.000175048-0j -0.000151596-0j -2.16566e-05-0j 0.00276064-0j -0.00012506-0j -0.0197782-0j -1.76825e-05-0j 0.00278925-0j -3.99574e-05-0j -0.00719265-0j -1.78658e-05-0j 0.00241556-0j -0.0161488-0j -1.54722e-05-0j 0.00199273-0j -0.0163162-0j -0.00587278-0j -0.0141302-0j -1.27639e-05-0j 0.000636688-0j -0.00593363-0j -0.0116568-0j -4.07813e-06-0j -0.00513868-0j -0.00372441-0j -0.00423919-0j -0.00135444-0j 
-0.000651409-0j -0.0046416-0j 0.0045562-0j 0.256222-0j -0.000384377-0j 0.00451296-0j -0.362004-0j -6.77022e-06-0j 0.000543069-0j -0.00187126-0j 0.0318272-0j -3.10744e-05-0j -2.75663e-05-0j -0.00133689-0j 0.00185587-0j 0.000528526-0j 0.0227384-0j 0.00231895-0j -4.5777e-07-0j -0.0315653-0j -1.96943e-05-0j -0.0394416-0j 2.73395e-05-0j 3.41613e-05-0j 0.00583976-0j 0.000973293-0j -2.31599e-05-0j -0.115287-0j -0.0117056-0j -0.00132852-0j 7.16898e-06-0j -3.85998e-06-0j 0.00130408-0j -1.65462e-05-0j 0.000457214-0j -0.00022142-0j 0.001877-0j 4.6423e-05-0j 0.0262272-0j 0.000217346-0j 0.00120379-0j -2.84314e-08-0j -0.0257446-0j -2.7577e-06-0j 0.00266296-0j 0.000326649-0j 0.000312834-0j -0.00261397-0j -1.63091e-06-0j 3.31662e-05-0j -0.0370552-0j 0.000200631-0j 1.60091e-06-0j -0.00376238-0j -0.0237647-0j -2.03124e-08-0j -0.00241294-0j 2.30424e-06-0j 1.47779e-06-0j 
9.40228e-05-0j -0.0640513-0j 0.0628728-0j 0.000384377-0j 0.248221-0j 6.77022e-06-0j -0.000543069-0j 0.00437204-0j -0.3507-0j 0.000270094-0j -0.00456478-0j 4.48521e-06-0j 0.0545501-0j 0.000192964-0j -0.000267871-0j -7.58034e-05-0j -0.00326124-0j -0.000334711-0j 0.000905866-0j 0.00452723-0j 0.0389725-0j 0.00565688-0j -0.0541013-0j -0.0676008-0j -0.000842897-0j 0.0134309-0j 3.34284e-06-0j -8.60278e-05-0j -0.0785661-0j 0.000191755-0j -0.0285718-0j -5.32654e-05-0j -0.000188227-0j 2.38824e-06-0j 3.41177e-07-0j -0.00305547-0j -0.000270922-0j 0.000311585-0j 1.9571e-05-0j 0.00299925-0j -0.000173751-0j 0.000113313-0j -1.92109e-05-0j -3.80546e-05-0j 0.0178735-0j 2.43749e-07-0j 0.00431692-0j -0.0175446-0j 0.00649997-0j 0.000222607-0j -2.76509e-05-0j 0.00276859-0j -0.00638037-0j -0.0252526-0j -1.77334e-05-0j 8.09545e-05-0j -0.0161953-0j -0.0091835-0j -0.00588968-0j 
-0.0361803-0j 0.00361065-0j -0.00370754-0j 0.202561-0j -0.000303877-0j -0.246636-0j 0.146217-0j 0.000369997-0j -0.00021935-0j 0.00446486-0j -0.07594-0j -0.00172592-0j 6.57736e-05-0j 0.00313682-0j 0.00148596-0j 0.0293552-0j -0.0533522-0j -0.000622919-0j -2.54253e-05-0j -0.0252738-0j 4.62097e-05-0j 0.0105948-0j 2.18902e-05-0j -9.17646e-06-0j -0.00113873-0j -0.000189789-0j 0.00388228-0j 0.0224805-0j 0.00228254-0j 0.00103344-0j -1.39793e-06-0j 0.000647047-0j -0.00106117-0j 0.00272752-0j -0.0766427-0j 0.00017224-0j 0.000745977-0j -0.00778187-0j -0.0204018-0j -0.000176862-0j -0.000242229-0j 4.76595e-06-0j 0.0209493-0j 0.000454587-0j -0.00207149-0j -0.0538458-0j 0.000124329-0j 0.00212708-0j 1.26867e-06-0j -0.0054672-0j -0.0147268-0j -4.03715e-05-0j -1.30271e-06-0j -0.00149528-0j 0.004782-0j 3.34835e-06-0j 0.000485537-0j 9.15773e-07-0j -2.97364e-07-0j 
