-0.0102543-0j 0.0808426-0j -0.00104658-0j 0.0204243-0j 0.00241961-0j -0.00920875-0j 0.0702942-0j -0.00121336-0j 0.0167436-0j 0.00717437-0j 0.00257227-0j 0.000196223-0j -0.00590699-0j -0.0059682-0j 0.0441795-0j 0.0446373-0j -0.000738374-0j -0.000492249-0j -0.000746025-0j 0.0101891-0j -0.00049735-0j 0.0102947-0j 0.00582116-0j -4.35091e-05-0j 0.00588148-0j 0.0014758-0j -4.396e-05-0j 0.00103992-0j 0.00149109-0j 0.0010507-0j 0.000174227-0j 0.000176032-0j 9.75647e-06-0j 9.85757e-06-0j -0.0044373-0j -0.00549087-0j -0.00320301-0j 0.0327232-0j 0.0404929-0j 0.0236208-0j -0.000535854-0j 0.00739447-0j -0.000489166-0j -0.000663086-0j -0.0003868-0j 0.00915019-0j -0.000605312-0j 0.0040904-0j 0.00533761-0j 0.00272693-0j -0.000353099-0j 0.00103701-0j -4.99253e-05-0j 0.00506161-0j 0.00337441-0j 0.000974307-0j 0.00295261-0j 0.00128324-0j -6.17794e-05-0j 0.000241029-0j 0.0019684-0j 0.000115424-0j 0.000748555-0j -3.6038e-05-0j 0.00120564-0j 0.00010584-0j 0.000298258-0j 0.000703292-0j 0.00014283-0j 1.14182e-05-0j 0.000173984-0j 0.00013097-0j 8.33172e-05-0j 5.04092e-07-0j 1.41293e-05-0j 7.63991e-05-0j 8.24208e-06-0j 6.23782e-07-0j 3.63873e-07-0j 
0.00728015-0j 0.00121336-0j -0.143722-0j -0.0145928-0j 8.93723e-06-0j 9.30585e-05-0j 1.50172e-05-0j -0.00117973-0j 1.7698e-06-0j -0.000296465-0j -1.73791e-05-0j 8.24457e-09-0j 0.00419372-0j -0.00411656-0j 0.000663086-0j -0.000650885-0j -0.0504369-0j 0.000349477-0j 0.0495088-0j 7.5664e-05-0j -0.000343047-0j -7.42718e-05-0j -0.00840614-0j -0.00897784-0j 0.00825147-0j 7.28077e-06-0j 0.00881265-0j -0.00149373-0j -7.14681e-06-0j 0.00146625-0j -6.19171e-05-0j 6.07778e-05-0j 2.39831e-08-0j -2.35419e-08-0j 0.0031503-0j 5.54877e-05-0j -0.00445091-0j 0.000491139-0j 8.65067e-06-0j -0.000693908-0j -0.0366032-0j 5.49111e-05-0j 0.000347288-0j -0.000644709-0j 0.0517149-0j 9.67174e-07-0j 6.11695e-06-0j -0.00590681-0j -7.75812e-05-0j 4.09283e-05-0j -0.000490667-0j 5.11604e-06-0j -0.00685604-0j -0.000104039-0j 7.20889e-07-0j -0.000696124-0j 0.00834545-0j 9.01111e-08-0j -0.000120759-0j -0.00105142-0j -5.78256e-05-0j 4.26336e-07-0j -7.22821e-06-0j 0.00968658-0j -1.22612e-05-0j -0.000100999-0j -1.85192e-05-0j 0.000983521-0j 7.50926e-09-0j -3.24288e-06-0j 0.0014855-0j -1.77894e-06-0j -6.02351e-07-0j 1.0616e-09-0j -5.71183e-08-0j 0.000142697-0j 4.58171e-06-0j 1.86985e-11-0j -1.49989e-09-0j 
-0.0010508-0j 0.0167436-0j -0.000107247-0j -0.0979446-0j -0.0356192-0j -1.34318e-05-0j 0.000207229-0j -1.7698e-06-0j -0.00114289-0j 2.11502e-05-0j -0.000357442-0j -5.49551e-05-0j -0.000605312-0j 0.000594174-0j 0.00915019-0j -0.00898183-0j -7.5664e-05-0j -5.04427e-05-0j 7.42718e-05-0j -0.0488619-0j 4.95145e-05-0j 0.0479629-0j 0.00120564-0j -4.45854e-06-0j -0.00118346-0j -0.0144077-0j 4.37651e-06-0j -0.00498695-0j 0.0141426-0j 0.00489519-0j -0.0025648-0j 0.0025176-0j -0.000240293-0j 0.000235872-0j -0.000454707-0j -8.00896e-06-0j 0.000642434-0j 0.00677743-0j 0.000119374-0j -0.00957551-0j -5.49111e-05-0j -0.0354602-0j -5.01267e-05-0j -9.67174e-07-0j 7.75812e-05-0j -0.000624577-0j -8.82905e-07-0j 0.000847179-0j 0.0501-0j 0.000564786-0j 7.08217e-05-0j -0.010124-0j -5.11604e-06-0j 1.49218e-05-0j 9.94784e-06-0j -0.00467229-0j -0.00119694-0j -0.000178318-0j -9.01111e-08-0j 4.99205e-05-0j -0.00079796-0j -0.00169915-0j 0.0143037-0j 7.22821e-06-0j -8.22952e-05-0j -0.00103327-0j 8.79273e-07-0j 0.00660126-0j -2.9928e-05-0j -0.000224663-0j -7.05303e-05-0j -1.81995e-05-0j 0.00240066-0j -1.49117e-05-0j -3.9571e-06-0j 0.00145986-0j 0.000317416-0j -2.62647e-07-0j 2.10681e-05-0j 
0.00417687-0j -0.101456-0j 0.0004263-0j 8.70182e-05-0j 5.12759e-06-0j 0.00375098-0j 0.000605312-0j -0.0720299-0j -0.0103966-0j 6.17794e-05-0j 7.28077e-06-0j 3.3232e-07-0j -0.00236749-0j 0.00243102-0j -0.000374332-0j 0.000384377-0j -0.000295936-0j 0.0577036-0j 0.000303877-0j -4.27146e-05-0j -0.059252-0j 4.38609e-05-0j 0.00718828-0j -1.74382e-05-0j -0.00738118-0j 0.000599024-0j 1.79061e-05-0j -4.35955e-06-0j -0.000615098-0j 4.47653e-06-0j -3.63295e-07-0j 3.73044e-07-0j -1.35392e-08-0j 1.39025e-08-0j 0.00180743-0j -0.00220071-0j 0.00130468-0j 0.000281783-0j -0.000343096-0j 0.000203402-0j 0.000218269-0j 3.15043e-05-0j -0.0290389-0j -0.000265761-0j 0.000157555-0j -3.83593e-05-0j 0.0353573-0j 3.52229e-05-0j 2.2741e-05-0j -0.00686801-0j -0.0209614-0j 2.93524e-06-0j -0.00296377-0j -4.2887e-05-0j 0.00836239-0j -0.000604976-0j 2.54253e-05-0j -3.57391e-06-0j 0.00360864-0j 2.07553e-06-0j -0.00495759-0j -3.56486e-05-0j 2.11877e-06-0j -0.00213936-0j 0.000736611-0j 2.99577e-07-0j -2.52714e-06-0j -0.000436695-0j 4.34052e-05-0j 1.93376e-08-0j 1.4982e-06-0j -3.64761e-07-0j -2.57325e-05-0j 6.09078e-10-0j -2.35452e-08-0j 2.16246e-07-0j 1.39586e-08-0j -7.41605e-10-0j 4.39656e-10-0j 
-0.00422016-0j 0.102508-0j -0.000430718-0j -8.79199e-05-0j -5.18073e-06-0j 0.00368196-0j 0.000594174-0j -0.0707045-0j -0.0102053-0j 6.06427e-05-0j 7.14681e-06-0j 3.26206e-07-0j -0.00243102-0j 0.00245521-0j -0.000384377-0j 0.000388203-0j -0.000303877-0j 0.059252-0j 0.000306902-0j -4.38609e-05-0j -0.0598418-0j 4.42974e-05-0j 0.00738118-0j -1.79061e-05-0j -0.00745465-0j 0.000615098-0j 1.80844e-05-0j -4.47653e-06-0j -0.000621221-0j 4.52109e-06-0j -3.73044e-07-0j 3.76757e-07-0j -1.39025e-08-0j 1.40409e-08-0j -0.00182617-0j 0.00219543-0j -0.00120722-0j -0.000284704-0j 0.000342273-0j -0.000188209-0j -0.00022053-0j -3.18308e-05-0j 0.0293398-0j 0.000265124-0j -0.000145786-0j 3.82673e-05-0j -0.0352726-0j -3.55879e-05-0j -2.10424e-05-0j 0.00693918-0j 0.0193956-0j -2.96566e-06-0j 0.00299448-0j 4.27842e-05-0j -0.00834235-0j 0.000611245-0j -2.35261e-05-0j 3.56535e-06-0j -0.00359999-0j -2.09704e-06-0j 0.00458727-0j 3.6018e-05-0j -1.96051e-06-0j 0.00197956-0j -0.000734845-0j -3.02682e-07-0j 2.52108e-06-0j 0.000404075-0j -4.33012e-05-0j -1.9538e-08-0j -1.38629e-06-0j 3.63887e-07-0j 2.38104e-05-0j -6.1539e-10-0j 2.34888e-08-0j -2.00093e-07-0j -1.2916e-08-0j 7.39827e-10-0j -4.06815e-10-0j 
-0.000738374-0j 0.00582116-0j 0.0145767-0j -0.141499-0j 0.000174227-0j -0.000663086-0j 0.00506161-0j 0.00840614-0j 0.00120564-0j -0.0999246-0j -0.0178207-0j 1.41293e-05-0j 0.000418516-0j -0.000429747-0j -0.00313016-0j 0.00321416-0j -0.00503339-0j 3.48764e-05-0j 0.00516846-0j -0.00072191-0j -3.58123e-05-0j 0.000741282-0j 0.039682-0j -0.000895951-0j -0.0407469-0j -0.000104562-0j 0.000919994-0j 0.0142517-0j 0.000107368-0j -0.0146341-0j 0.00118768-0j -0.00121955-0j -6.91256e-07-0j 7.09805e-07-0j -0.000319512-0j 0.000389034-0j -0.000230636-0j 0.00235627-0j -0.00286896-0j 0.00170085-0j 0.0037124-0j 0.000532447-0j -3.52229e-05-0j -0.00452016-0j 0.00267975-0j -0.000648301-0j 4.2887e-05-0j -0.0283383-0j 0.000384341-0j 0.000196356-0j -2.54253e-05-0j 7.46712e-05-0j 0.000695359-0j 0.0345043-0j -0.00023908-0j -0.00674999-0j -0.0204556-0j -9.09187e-05-0j -0.00084666-0j -0.00504425-0j 0.000141737-0j 8.31121e-06-0j 5.39005e-05-0j 0.000501937-0j 0.00821871-0j -0.00147413-0j 0.00614182-0j -0.0048724-0j -1.01196e-05-0j -7.91051e-05-0j -0.00364114-0j 0.00179489-0j 5.99935e-06-0j 3.62977e-08-0j 9.63173e-05-0j -0.00106409-0j -5.7101e-05-0j -4.41956e-08-0j 2.62011e-08-0j 
0.000746025-0j -0.00588148-0j -0.0147278-0j 0.142966-0j -0.000176032-0j -0.000650885-0j 0.00496848-0j 0.00825147-0j 0.00118346-0j -0.098086-0j -0.0174928-0j 1.38693e-05-0j 0.000429747-0j -0.000434025-0j -0.00321416-0j 0.00324615-0j -0.00516846-0j 3.58123e-05-0j 0.0052199-0j -0.000741282-0j -3.61687e-05-0j 0.00074866-0j 0.0407469-0j -0.000919994-0j -0.0411525-0j -0.000107368-0j 0.000929151-0j 0.0146341-0j 0.000108437-0j -0.0147798-0j 0.00121955-0j -0.00123169-0j -7.09805e-07-0j 7.16871e-07-0j 0.000322823-0j -0.000388102-0j 0.000213408-0j -0.00238069-0j 0.00286209-0j -0.0015738-0j -0.00375087-0j -0.000537965-0j 3.55879e-05-0j 0.00450933-0j -0.00247958-0j 0.000646747-0j -4.27842e-05-0j 0.0286319-0j -0.000355632-0j -0.000198391-0j 2.35261e-05-0j -7.5445e-05-0j -0.000702565-0j -0.0344216-0j 0.000238507-0j 0.00681994-0j 0.0189277-0j 9.07007e-05-0j 0.000844631-0j 0.00509653-0j -0.00013115-0j -8.39734e-06-0j -4.98743e-05-0j -0.000464444-0j -0.00819901-0j 0.00148941-0j -0.0061271-0j 0.00450845-0j 1.00954e-05-0j 7.99248e-05-0j 0.00336915-0j -0.00179058-0j -5.55122e-06-0j -3.66739e-08-0j -9.60864e-05-0j 0.000984602-0j 5.28358e-05-0j 4.40897e-08-0j -2.42439e-08-0j 
6.15311e-05-0j -0.0014758-0j 6.28e-06-0j 0.0175748-0j -0.198004-0j 5.52572e-05-0j -0.00128324-0j 7.28077e-06-0j 0.0144077-0j -0.00013097-0j -0.0680663-0j -0.0324208-0j -3.48764e-05-0j 3.58123e-05-0j 0.00079357-0j -0.000814865-0j -4.35955e-06-0j -2.90636e-06-0j 4.47653e-06-0j -0.00862696-0j 2.98435e-06-0j 0.00885846-0j 0.000104562-0j -2.56889e-07-0j -0.000107368-0j 0.0384255-0j 2.63782e-07-0j -0.000880486-0j -0.0394566-0j 0.000904113-0j 0.0140288-0j -0.0144052-0j 0.00265559-0j -0.00272685-0j 2.6626e-05-0j -3.24195e-05-0j 1.92197e-05-0j -0.000597369-0j 0.000727349-0j -0.000431204-0j 3.2154e-06-0j 0.00636285-0j 2.93524e-06-0j -3.91503e-06-0j 2.321e-06-0j -0.00774732-0j -3.57391e-06-0j -7.46712e-05-0j 0.00459295-0j -4.97808e-05-0j 2.11877e-06-0j -0.0274409-0j 2.99577e-07-0j 9.09187e-05-0j 6.06124e-05-0j 0.000838379-0j -5.39005e-05-0j 0.0334117-0j -3.64761e-07-0j -4.40004e-06-0j -3.59337e-05-0j -0.00944546-0j -0.0198079-0j 2.16246e-07-0j -0.0010208-0j -0.00280068-0j 5.35743e-06-0j 0.000605174-0j 0.0115007-0j -0.00188656-0j -3.17612e-06-0j 0.00341007-0j -0.0068181-0j -0.000209718-0j 0.00229705-0j -0.00202164-0j -0.00136179-0j 0.00025535-0j -0.000151383-0j 
-6.21688e-05-0j 0.00149109-0j -6.34507e-06-0j -0.017757-0j 0.200056-0j 5.42405e-05-0j -0.00125963-0j 7.14681e-06-0j 0.0141426-0j -0.00012856-0j -0.0668139-0j -0.0318243-0j -3.58123e-05-0j 3.61687e-05-0j 0.000814865-0j -0.000822975-0j -4.47653e-06-0j -2.98435e-06-0j 4.52109e-06-0j -0.00885846-0j 3.01406e-06-0j 0.00894664-0j 0.000107368-0j -2.63782e-07-0j -0.000108437-0j 0.0394566-0j 2.66408e-07-0j -0.000904113-0j -0.0398494-0j 0.000913112-0j 0.0144052-0j -0.0145486-0j 0.00272685-0j -0.00275399-0j -2.6902e-05-0j 3.23418e-05-0j -1.7784e-05-0j 0.00060356-0j -0.000725606-0j 0.000398995-0j -3.24872e-06-0j -0.00642879-0j -2.96566e-06-0j 3.90564e-06-0j -2.14763e-06-0j 0.00772875-0j 3.56535e-06-0j 7.5445e-05-0j -0.00424987-0j 5.02967e-05-0j -1.96051e-06-0j 0.0277253-0j -3.02682e-07-0j -9.07007e-05-0j -6.04672e-05-0j -0.000847067-0j 4.98743e-05-0j -0.0333316-0j 3.63887e-07-0j 4.44564e-06-0j 3.32495e-05-0j 0.00954335-0j 0.0183283-0j -2.00093e-07-0j 0.00101835-0j 0.0028297-0j -5.34459e-06-0j -0.000559969-0j -0.0114731-0j 0.00190611-0j 2.93887e-06-0j -0.00340189-0j 0.00630881-0j 0.000211892-0j -0.00229154-0j 0.00187063-0j 0.00126007-0j -0.000254738-0j 0.000140075-0j 
-0.574926-0j 0.000489166-0j 0.000299552-0j 6.11457e-05-0j 3.60305e-06-0j 0.00263573-0j -0.0833183-0j 0.000347288-0j 5.01267e-05-0j 4.3411e-05-0j 5.11604e-06-0j 2.33514e-07-0j 0.0016907-0j 0.00170822-0j 0.000267323-0j 0.000270094-0j -0.0413982-0j 0.000140892-0j -0.0418272-0j -0.00597532-0j 0.000142352-0j -0.00603724-0j 3.52229e-05-0j 1.24532e-05-0j 3.55879e-05-0j 2.93524e-06-0j 1.25822e-05-0j 3.1133e-06-0j 2.96566e-06-0j 3.14556e-06-0j 2.59441e-07-0j 2.6213e-07-0j 9.66881e-09-0j 9.76901e-09-0j -0.00253335-0j 0.0015716-0j 0.000916767-0j -0.000394956-0j 0.000245016-0j 0.000142926-0j -0.000305931-0j -4.41574e-05-0j 0.0547064-0j 0.000189789-0j 0.00011071-0j 2.73936e-05-0j -0.0339379-0j 0.00967082-0j 1.59796e-05-0j -3.2913e-05-0j -0.0197971-0j 0.000805901-0j -2.85035e-05-0j -0.00599942-0j 2.0418e-05-0j -5.81825e-06-0j -0.00349966-0j -0.000499952-0j 1.76825e-05-0j -2.90912e-06-0j 1.19105e-05-0j -3.42843e-07-0j -0.000291639-0j 1.03148e-05-0j 3.60943e-06-0j -4.19896e-07-0j 1.80471e-06-0j 2.1055e-06-0j 2.12688e-07-0j -2.71042e-08-0j 1.05275e-06-0j 2.60488e-07-0j 1.24068e-07-0j -8.53701e-10-0j 1.68144e-08-0j 1.51951e-07-0j 9.80842e-09-0j 5.29605e-10-0j 3.08936e-10-0j 
0.711435-0j -0.000605312-0j -0.000370676-0j -7.5664e-05-0j -4.45854e-06-0j -4.64244e-05-0j 0.00146752-0j -6.11695e-06-0j -8.82905e-07-0j -7.64618e-07-0j -9.01111e-08-0j -4.11299e-09-0j 0.00205858-0j 0.00205364-0j 0.000325489-0j 0.000324709-0j -0.0504059-0j 0.000171548-0j -0.0502851-0j -0.00727547-0j 0.000171137-0j -0.00725803-0j 4.2887e-05-0j 1.51628e-05-0j 4.27842e-05-0j 3.57391e-06-0j 1.51265e-05-0j 3.79071e-06-0j 3.56535e-06-0j 3.78162e-06-0j 3.15892e-07-0j 3.15135e-07-0j 1.17726e-08-0j 1.17444e-08-0j -0.0015716-0j 2.72373e-05-0j 0.00222044-0j -0.000245016-0j 4.24636e-06-0j 0.000346172-0j -0.000189789-0j -2.73936e-05-0j 0.0339379-0j 3.28921e-06-0j 0.000268144-0j 4.74757e-07-0j -0.000588175-0j 0.00599942-0j 3.87032e-05-0j -2.0418e-05-0j -0.0479492-0j 0.000499952-0j -1.76825e-05-0j -0.000103976-0j 3.53863e-07-0j -3.60943e-06-0j -0.0084763-0j -8.66463e-06-0j 3.06454e-07-0j -1.80471e-06-0j 2.88476e-05-0j -2.12688e-07-0j -0.000706359-0j 2.49828e-05-0j 6.25547e-08-0j -2.60488e-07-0j 3.12774e-08-0j 5.09959e-06-0j 3.68607e-09-0j -1.68144e-08-0j 2.5498e-06-0j 4.5145e-09-0j 3.00496e-07-0j -5.29605e-10-0j 2.9141e-10-0j 3.68031e-07-0j 2.37563e-08-0j 9.17854e-12-0j 7.48254e-10-0j 
