-0.00848649-0j 0.0631066-0j -0.00106081-0j -0.000707207-0j 0.0145552-0j 0.00831502-0j -6.25089e-05-0j 0.00210822-0j 0.00148553-0j 0.00024889-0j 1.39377e-05-0j -0.0079334-0j 0.0581686-0j -0.000958049-0j 0.0131452-0j -0.000874575-0j 0.00727107-0j 0.00484738-0j 0.00184354-0j -8.92609e-05-0j 0.00173203-0j 0.000428452-0j 0.000205195-0j 0.000188155-0j 2.02989e-05-0j 8.96165e-07-0j 
0.00605923-0j 0.000958049-0j -0.0720448-0j 0.000504936-0j 0.000109322-0j -0.0120075-0j -0.0128251-0j 1.05195e-05-0j -0.0021338-0j -8.84434e-05-0j 3.46516e-08-0j 0.000112111-0j 1.74784e-05-0j -0.00128781-0j 1.95414e-06-0j 1.23591e-05-0j -0.00020782-0j 1.45653e-06-0j 1.82067e-07-0j -0.000241231-0j -2.44918e-05-0j -3.69952e-05-0j 1.51722e-08-0j -3.55367e-06-0j -1.14094e-07-0j 3.77797e-11-0j 
-0.000874575-0j 0.0131452-0j -0.000109322-0j -7.28812e-05-0j -0.0697865-0j 0.00173203-0j -6.44185e-06-0j -0.0205801-0j -0.00712255-0j -0.00366374-0j -0.000343263-0j -1.61819e-05-0j 0.000239817-0j -1.95414e-06-0j -0.00124744-0j -1.78388e-06-0j 2.99772e-05-0j 1.99848e-05-0j -0.000356192-0j -1.82067e-07-0j -0.000164365-0j 1.76642e-06-0j -5.97838e-05-0j -3.63537e-05-0j -7.90481e-06-0j -5.24682e-07-0j 
0.0034961-0j 0.000552782-0j 0.000437013-0j -0.0837734-0j 6.30774e-05-0j -0.0104353-0j 2.57512e-05-0j -0.000869605-0j 6.43781e-06-0j 5.36484e-07-0j 1.99936e-08-0j 0.00326825-0j 0.000509528-0j 0.000394679-0j 5.6967e-05-0j -0.0516195-0j 6.3691e-05-0j -0.0122093-0j 5.30758e-06-0j -0.00526839-0j -0.00107541-0j 3.75303e-06-0j -6.33689e-05-0j 5.41703e-07-0j 3.49668e-08-0j 1.10135e-09-0j 
-0.00353233-0j -0.000558511-0j -0.000441542-0j 0.0846416-0j -6.3731e-05-0j 0.0105434-0j -2.60181e-05-0j 0.000878617-0j -6.50452e-06-0j -5.42043e-07-0j -2.02008e-08-0j 0.0031714-0j 0.00049443-0j 0.000382983-0j 5.52789e-05-0j -0.0500899-0j 6.18037e-05-0j -0.0118475-0j 5.15031e-06-0j -0.00511227-0j -0.00104354-0j 3.64182e-06-0j -6.14911e-05-0j 5.25651e-07-0j 3.39306e-08-0j 1.06871e-09-0j 
-0.000618029-0j 0.00459574-0j 0.00734842-0j -5.15024e-05-0j 0.00105998-0j -0.0575996-0j 0.00130813-0j 0.000153531-0j -0.0206892-0j -0.00172411-0j 1.01501e-06-0j -0.00057775-0j 0.00423613-0j 0.00663657-0j 0.000957299-0j -6.3691e-05-0j -0.050368-0j 0.000353011-0j 0.000134256-0j 0.00124315-0j -0.0119981-0j -0.00896629-0j 1.49434e-05-0j -0.00262047-0j -0.000140614-0j 6.52633e-08-0j 
0.000624434-0j -0.00464337-0j -0.00742458-0j 5.20362e-05-0j -0.00107097-0j 0.0581965-0j -0.00132169-0j -0.000155123-0j 0.0209036-0j 0.00174197-0j -1.02553e-06-0j -0.00056063-0j 0.00411061-0j 0.00643992-0j 0.000928932-0j -6.18037e-05-0j -0.0488755-0j 0.000342551-0j 0.000130277-0j 0.00120632-0j -0.0116425-0j -0.0087006-0j 1.45006e-05-0j -0.00254282-0j -0.000136447-0j 6.33294e-08-0j 
5.15024e-05-0j -0.00116522-0j 6.43781e-06-0j 4.29187e-06-0j 0.0125948-0j -0.000153531-0j 3.79351e-07-0j -0.0557685-0j 0.00128545-0j -0.0203644-0j -0.00385524-0j 4.81459e-05-0j -0.00107405-0j 5.81417e-06-0j 0.0113747-0j 5.30758e-06-0j -0.000134256-0j -8.95038e-05-0j -0.0487668-0j 5.41703e-07-0j 0.00149875-0j -7.91109e-06-0j -0.0167892-0j -0.00497724-0j -0.00335354-0j -0.000372812-0j 
-5.20362e-05-0j 0.0011773-0j -6.50452e-06-0j -4.33635e-06-0j -0.0127253-0j 0.000155123-0j -3.83283e-07-0j 0.0563464-0j -0.00129877-0j 0.0205754-0j 0.00389519-0j 4.67192e-05-0j -0.00104222-0j 5.64188e-06-0j 0.0110377-0j 5.15031e-06-0j -0.000130277-0j -8.68516e-05-0j -0.0473217-0j 5.25651e-07-0j 0.00145434-0j -7.67667e-06-0j -0.0162917-0j -0.00482975-0j -0.00325417-0j -0.000361765-0j 
0.00247056-0j 0.000390631-0j -0.0591339-0j 0.00020588-0j -0.00853525-0j 5.14701e-05-0j 1.81974e-05-0j 4.28917e-06-0j 4.54936e-06-0j 3.79113e-07-0j 1.41287e-08-0j 0.00230955-0j 0.000360064-0j 0.000278905-0j 4.02564e-05-0j -0.0487524-0j -0.00861828-0j 3.00054e-05-0j -0.00071819-0j 2.59854e-05-0j 5.30425e-06-0j 2.65212e-06-0j 3.12556e-07-0j 3.82801e-07-0j 2.47097e-08-0j 7.78283e-10-0j 
-0.00305717-0j -0.000483381-0j 0.0731745-0j -0.000254764-0j 0.0105618-0j -6.3691e-05-0j -2.25182e-05-0j -5.30758e-06-0j -5.62954e-06-0j -4.69129e-07-0j -1.74834e-08-0j -5.65654e-05-0j -8.81867e-06-0j -6.83092e-06-0j -9.85958e-07-0j 0.00119404-0j 0.000211078-0j -7.3489e-07-0j 1.75899e-05-0j -6.36433e-07-0j -1.29911e-07-0j -6.49557e-08-0j -7.6551e-09-0j -9.37554e-09-0j -6.05189e-10-0j -1.90617e-11-0j 
-0.000411761-0j 0.0030619-0j -5.14701e-05-0j 0.00986659-0j 0.00070621-0j -0.0578017-0j -3.0329e-06-0j -0.0146553-0j 7.20772e-05-0j 1.20761e-05-0j 6.7625e-07-0j -0.000384925-0j 0.00282231-0j -4.64841e-05-0j 0.000637798-0j 0.00607959-0j 0.000352789-0j -0.0676282-0j 8.94476e-05-0j 0.000620496-0j -0.0120402-0j 2.07883e-05-0j -0.00142641-0j 9.1292e-06-0j 9.84891e-07-0j 4.34815e-08-0j 
0.00178335-0j 0.000281972-0j -0.0426851-0j 0.000148612-0j -0.00616107-0j 3.71531e-05-0j 1.31356e-05-0j 3.09609e-06-0j 3.2839e-06-0j 2.73658e-07-0j 1.01986e-08-0j -0.00323525-0j -0.000504384-0j -0.000390694-0j -5.63918e-05-0j 0.0682931-0j 0.0120726-0j -4.2032e-05-0j 0.00100605-0j -3.64008e-05-0j -7.43027e-06-0j -3.71514e-06-0j -4.37833e-07-0j -5.36234e-07-0j -3.46137e-08-0j -1.09023e-09-0j 
