0.0644484-0j 0.0104003-0j 0.00849182-0j 0.00122569-0j 0.00106148-0j 0.000125096-0j 5.70984e-06-0j 0.0594054-0j 0.00939282-0j 0.00742568-0j 0.00495045-0j 0.0010718-0j 0.00123761-0j 0.000437562-0j 0.000103134-0j 0.000109391-0j 9.11588e-06-0j 3.39729e-07-0j 
0.00939282-0j -0.0712865-0j 0.00123761-0j -0.016981-0j -0.00727564-0j -0.00260879-0j -0.000199012-0j 0.00017136-0j -0.00127426-0j 2.142e-05-0j 1.428e-05-0j -0.0002939-0j -0.000167898-0j 1.26219e-06-0j -4.25695e-05-0j -2.9996e-05-0j -5.02563e-06-0j -2.81431e-07-0j 
0.00469346-0j 0.000757404-0j -0.0588243-0j 8.92609e-05-0j -0.0147834-0j -0.000866564-0j 4.1582e-07-0j 0.00432621-0j 0.000684033-0j -0.051439-0j 0.000360517-0j 7.80543e-05-0j -0.00857316-0j -0.00915694-0j 7.51077e-06-0j -0.0015235-0j -6.31473e-05-0j 2.47408e-08-0j 
-0.0047421-0j -0.000765253-0j 0.0594339-0j -9.01859e-05-0j 0.0149366-0j 0.000875545-0j -4.20129e-07-0j 0.00419801-0j 0.000663764-0j -0.0499147-0j 0.000349834-0j 7.57413e-05-0j -0.00831912-0j -0.0088856-0j 7.28821e-06-0j -0.00147836-0j -6.12761e-05-0j 2.40077e-08-0j 
-0.000677443-0j 0.0103922-0j -8.92609e-05-0j -0.0569804-0j 0.00106065-0j -0.0178229-0j -0.00274036-0j -0.000624434-0j 0.00938547-0j -7.80543e-05-0j -5.20362e-05-0j -0.0498266-0j 0.00123664-0j -4.59939e-06-0j -0.0146939-0j -0.0050854-0j -0.00261586-0j -0.000245085-0j 
0.000684463-0j -0.0104999-0j 9.01859e-05-0j 0.0575709-0j -0.00107164-0j 0.0180076-0j 0.00276876-0j -0.000605931-0j 0.00910736-0j -7.57413e-05-0j -5.04942e-05-0j -0.0483501-0j 0.0012-0j -4.4631e-06-0j -0.0142585-0j -0.00493471-0j -0.00253834-0j -0.000237823-0j 
0.00312701-0j 0.000504619-0j -0.0590307-0j -0.00852035-0j 5.15024e-05-0j 6.06962e-06-0j 2.77039e-07-0j 0.00288233-0j 0.000455736-0j 0.000360291-0j -0.0690661-0j 5.20035e-05-0j -0.00860324-0j 2.12303e-05-0j -0.000716937-0j 5.30758e-06-0j 4.42299e-07-0j 1.64835e-08-0j 
-0.00386948-0j -0.000624434-0j 0.0730468-0j 0.0105434-0j -6.3731e-05-0j -7.51077e-06-0j -3.42818e-07-0j -7.05937e-05-0j -1.11618e-05-0j -8.82422e-06-0j 0.00169156-0j -1.27367e-06-0j 0.00021071-0j -5.19972e-07-0j 1.75592e-05-0j -1.29993e-07-0j -1.08327e-08-0j -4.03713e-10-0j 
-0.000552782-0j 0.00419532-0j 0.00692816-0j 0.000999359-0j -0.0818863-0j -0.014604-0j 1.17122e-05-0j -0.000509528-0j 0.00378891-0j 0.00605833-0j -4.24607e-05-0j 0.00087389-0j -0.0474874-0j 0.00107848-0j 0.000126577-0j -0.017057-0j -0.00142142-0j 8.36816e-07-0j 
0.00225719-0j 0.000364253-0j -0.0426106-0j -0.00615032-0j 3.71764e-05-0j 4.38128e-06-0j 1.99977e-07-0j -0.00403761-0j -0.000638402-0j -0.000504701-0j 0.0967489-0j -7.28473e-05-0j 0.0120516-0j -2.97398e-05-0j 0.0010043-0j -7.43494e-06-0j -6.19579e-07-0j -2.30903e-08-0j 
4.60652e-05-0j -0.0010637-0j 6.06962e-06-0j 0.0118745-0j -0.000108563-0j -0.0557685-0j -0.0265698-0j 4.24607e-05-0j -0.000960655-0j 5.30758e-06-0j 3.53839e-06-0j 0.0103837-0j -0.000126577-0j 3.12752e-07-0j -0.0459778-0j 0.00105978-0j -0.0167892-0j -0.00317841-0j 
