-0.577861-0j -0.0837436-0j -0.0416095-0j -0.0420407-0j -0.00600582-0j -0.00606806-0j 0.0549857-0j -0.0341111-0j 0.00972019-0j -0.0198982-0j 0.000810015-0j -0.00603005-0j -0.00351753-0j -0.000502504-0j -0.000293128-0j -0.020545-0j 0.0478111-0j -0.00342416-0j -0.014678-0j -0.00209686-0j -0.020973-0j -0.00042802-0j 0.00796852-0j -0.00865092-0j -2.52213e-05-0j -0.00244634-0j 0.0048797-0j -0.00149807-0j -0.0034955-0j 0.000996065-0j -0.00214055-0j -0.000305792-0j -0.00144182-0j 5.86937e-05-0j -0.000436937-0j -1.8019e-05-0j -0.00088293-0j -0.000180227-0j -2.57468e-05-0j -1.062e-05-0j -0.016333-0j -0.0184501-0j -0.00263573-0j -0.00215207-0j 0.030049-0j 0.0303604-0j -0.000310624-0j -0.00297737-0j -0.0131814-0j -0.000269008-0j -0.0108741-0j -3.17029e-05-0j -0.00243102-0j 0.00484914-0j -0.00347433-0j -1.44703e-06-0j -0.000350887-0j 0.00489939-0j 0.0039593-0j -0.000303877-0j -0.00212714-0j 0.00400033-0j 0.000571476-0j -0.0017548-0j -3.58123e-05-0j 0.000494913-0j -0.0017368-0j 0.000577399-0j -0.000560667-0j -1.6346e-06-0j -0.00143279-0j 0.000500042-0j -0.000250686-0j 5.83261e-05-0j -0.0002171-0j -0.000457783-0j 2.66221e-06-0j -0.000206805-0j 5.89305e-05-0j -0.000179099-0j -2.55855e-05-0j 2.6898e-06-0j -6.60753e-05-0j -5.72229e-05-0j -2.1107e-05-0j -1.16781e-06-0j -6.74378e-06-0j -9.63397e-07-0j -3.0781e-07-0j 
0.715067-0j 0.00147502-0j -0.0506632-0j -0.0505418-0j -0.00731261-0j -0.00729508-0j 0.0341111-0j -0.000591177-0j 0.00603005-0j -0.048194-0j 0.000502504-0j -0.000104506-0j -0.00851957-0j -8.70886e-06-0j -0.000709965-0j 0.0254231-0j 0.000422179-0j 0.00423718-0j -0.0539067-0j 0.00259473-0j 0.0248095-0j 0.000529648-0j 7.03632e-05-0j -0.0315054-0j 3.12098e-05-0j -0.00898445-0j 4.30885e-05-0j -0.00550183-0j 0.00413491-0j 8.7954e-06-0j 0.00253211-0j -0.00112306-0j -0.0052509-0j 5.18274e-07-0j 0.000516864-0j -6.61767e-05-0j -0.00321551-0j -0.000656362-0j 3.04565e-05-0j -3.86765e-05-0j 0.0202111-0j 0.00032497-0j 0.00326155-0j 0.00266305-0j -0.0183423-0j -0.0182983-0j 0.000384377-0j 5.24419e-05-0j -0.000689062-0j 0.000332881-0j 0.025915-0j 3.92304e-05-0j 4.28186e-05-0j -0.00295997-0j -0.0168911-0j 1.79061e-06-0j 6.18034e-06-0j -0.00295288-0j -0.00241681-0j 5.35233e-06-0j -0.000111197-0j -0.00241102-0j -0.000348836-0j 0.00418201-0j 6.30778e-07-0j -0.000302101-0j -9.07919e-05-0j -0.000348-0j -0.00272578-0j 2.87909e-08-0j 0.00341459-0j -0.000301377-0j -1.31047e-05-0j -3.5603e-05-0j -1.1349e-05-0j -0.00222559-0j -1.62504e-06-0j 0.000492854-0j -3.55176e-05-0j 0.000426824-0j -1.33749e-06-0j -1.62115e-06-0j -0.000321237-0j -0.000278199-0j 5.03017e-05-0j -6.10478e-08-0j -3.27861e-05-0j 2.29595e-06-0j -1.49647e-06-0j 
-0.417122-0j 0.118317-0j -0.0300354-0j -0.0277918-0j -0.00433523-0j -0.0040114-0j -0.0198982-0j 0.048194-0j -0.00351753-0j -0.0556132-0j -0.000293128-0j 0.00851957-0j -0.00983113-0j 0.000709965-0j -0.00081926-0j -0.0148301-0j 0.0338649-0j -0.00247169-0j -0.0105952-0j -0.0015136-0j -0.0138646-0j -0.000308961-0j 0.00564414-0j -0.00726606-0j -1.82057e-05-0j -0.00176586-0j 0.00345632-0j -0.00108136-0j -0.00231076-0j 0.000705518-0j -0.00141505-0j -0.000220733-0j -0.00121101-0j 4.1573e-05-0j -0.000288845-0j -1.30068e-05-0j -0.000741589-0j -0.000151376-0j -1.70204e-05-0j -8.91993e-06-0j -0.0117898-0j 0.0260673-0j -0.00190257-0j -0.00155344-0j -0.0108741-0j -0.0100618-0j -0.00022422-0j 0.00420659-0j 0.0186234-0j -0.00019418-0j -0.030392-0j -2.28844e-05-0j 0.00343467-0j -0.0017548-0j 0.0324939-0j -1.04452e-06-0j 0.000495752-0j -0.00162372-0j -0.00143279-0j 0.000429334-0j 0.00300533-0j -0.00132576-0j -0.000206805-0j -0.00490448-0j 5.05974e-05-0j -0.000179099-0j 0.00245385-0j -0.000191358-0j 0.00524368-0j 2.30945e-06-0j -0.00400449-0j -0.00016572-0j 0.000354182-0j -2.1107e-05-0j 0.000306731-0j 0.00428145-0j -9.63397e-07-0j -0.000577999-0j -1.95303e-05-0j -0.000500562-0j 3.61486e-05-0j -8.91434e-07-0j 0.000617974-0j 0.000535181-0j -5.89918e-05-0j 1.64995e-06-0j 6.30717e-05-0j -2.69259e-06-0j 2.87881e-06-0j 
0.0717802-0j -0.492059-0j 0.00516862-0j 0.00522218-0j -0.0713238-0j -0.0720629-0j 0.00342416-0j 0.00423718-0j -0.0286328-0j 0.00247169-0j -0.00725908-0j -0.0354313-0j -0.0206682-0j -0.00898266-0j -0.00523988-0j -0.00770228-0j 0.00297737-0j 0.0607229-0j 0.00182326-0j -0.000786111-0j 0.0026052-0j 0.0153412-0j -0.0234729-0j 0.00107459-0j 0.00181743-0j -0.0143742-0j 0.000303877-0j 0.000186086-0j -0.0205388-0j -0.00593025-0j 0.000265892-0j -0.00363152-0j -0.00847182-0j -0.000702542-0j -0.00518897-0j -0.000430217-0j 0.000109675-0j -0.00214034-0j -0.000614724-0j -0.000253561-0j 0.00202884-0j -0.00691693-0j -0.015487-0j 0.000267323-0j 0.00187126-0j 0.00189065-0j -0.0036889-0j 0.0527998-0j 0.00163735-0j -0.00158063-0j 0.00135075-0j -0.000566714-0j -0.000911385-0j -0.0142841-0j 0.000431571-0j -4.32313e-05-0j 0.0125766-0j -0.0144322-0j 0.000246561-0j 0.00538885-0j -0.0124986-0j 0.000249116-0j -0.00340239-0j -0.0103108-0j 0.0019321-0j -0.00145787-0j 0.00021574-0j -0.00343765-0j -0.00329436-0j 0.000147388-0j 0.000177977-0j -0.00147298-0j -0.00297709-0j -0.000522698-0j -0.00127563-0j 5.68644e-05-0j -3.98735e-05-0j -0.00245597-0j -0.000528115-0j -0.00105234-0j -0.000457361-0j -4.02867e-05-0j -0.000784695-0j -0.000336229-0j -0.000377304-0j -3.48893e-05-0j -0.00012055-0j -2.87822e-05-0j -9.19606e-06-0j 
-0.0837436-0j 0.0081712-0j -0.00603005-0j 0.0059191-0j 0.0832111-0j -0.0816801-0j 0.00796852-0j -7.03632e-05-0j -0.0666327-0j 0.00564414-0j -0.0168929-0j 0.000588376-0j -0.0471962-0j 0.000149167-0j -0.0119654-0j -0.00297737-0j 9.86231e-05-0j 0.0234729-0j -0.00212714-0j -0.000303877-0j 0.00295288-0j 0.00593025-0j -0.000777521-0j 0.00368969-0j 0.000702542-0j 0.0167698-0j 1.00657e-05-0j -0.0002171-0j -0.0232798-0j -0.000196435-0j 0.000301377-0j 0.00423678-0j -0.0290886-0j -2.32711e-05-0j -0.00588146-0j 0.00050192-0j 0.000376577-0j -0.00734902-0j -0.000696762-0j -0.00087062-0j -0.00236698-0j -3.80583e-05-0j 0.0180681-0j -0.000311877-0j 0.0043547-0j -0.00427457-0j 0.00430372-0j 0.000290514-0j -2.71901e-05-0j 0.00184407-0j 0.00308446-0j 0.000661167-0j -5.01462e-06-0j -0.0332412-0j 0.00197816-0j 5.04365e-05-0j 6.91987e-05-0j 0.0326296-0j 0.000573782-0j 2.96505e-05-0j 0.000207554-0j -0.000563225-0j -0.00791785-0j -0.0235449-0j 1.06308e-05-0j -0.00339267-0j -3.58261e-06-0j 0.00777216-0j -0.0151001-0j 8.10959e-07-0j 0.000406413-0j 0.00333024-0j 4.9438e-05-0j -0.00121639-0j 2.11833e-05-0j 0.000260646-0j -9.27915e-05-0j -0.00560825-0j 0.00119401-0j -0.00240304-0j 7.595e-06-0j 9.10841e-05-0j -0.00359676-0j -0.00154115-0j -0.000861578-0j 5.79377e-07-0j -0.000552559-0j -6.57247e-05-0j -4.21514e-05-0j 
-0.0512823-0j 0.351544-0j 0.0109594-0j -0.0037309-0j -0.151234-0j 0.0514843-0j -0.00244634-0j 0.00898445-0j 0.0204563-0j -0.00176586-0j 0.00518614-0j -0.0751279-0j 0.0147661-0j -0.0190467-0j 0.00374355-0j -0.00182326-0j -0.00212714-0j 0.0143742-0j -0.00121969-0j -0.000186086-0j 0.00552403-0j 0.00363152-0j 0.0167698-0j -0.000767725-0j 0.000430217-0j 0.00961575-0j -0.0002171-0j -0.000124484-0j -0.0435501-0j 0.00423678-0j 0.000563794-0j 0.00242935-0j 0.00605256-0j 0.00050192-0j -0.0110026-0j 0.000287799-0j -7.83556e-05-0j 0.00152913-0j -0.00130345-0j 0.000181153-0j -0.00144947-0j -0.00163735-0j 0.0110644-0j -0.000190985-0j 0.00396779-0j -0.00135075-0j 0.00263548-0j 0.0124986-0j -0.00109533-0j 0.00112926-0j 0.0028641-0j 0.00040488-0j -0.00021574-0j -0.0302878-0j -0.000308329-0j 3.08859e-05-0j 0.00297709-0j 0.0103108-0j 0.000522803-0j 0.00127563-0j 0.00836108-0j -0.000177977-0j -0.00721437-0j -0.0218629-0j 0.000457361-0j -0.00309124-0j -0.000144322-0j 0.00245597-0j 0.0023536-0j 3.48893e-05-0j 0.000377379-0j 0.00105234-0j 0.00199156-0j -0.00110832-0j 0.000853349-0j -4.06259e-05-0j -8.45472e-05-0j -0.0052076-0j 0.000377304-0j -0.00223137-0j 0.000305957-0j 2.87822e-05-0j 0.000560614-0j 0.000240214-0j -0.000800028-0j 2.33396e-05-0j 8.61253e-05-0j -6.10294e-05-0j 6.56999e-06-0j 
0.0732757-0j 0.488011-0j -0.00519166-0j -0.00532881-0j 0.0716418-0j 0.0735345-0j 0.0034955-0j 0.00413491-0j -0.0292293-0j 0.00231076-0j -0.00741031-0j -0.0345761-0j -0.0193226-0j -0.00876585-0j -0.00489873-0j 0.0026052-0j -0.00295288-0j -0.0205388-0j -0.00552403-0j 0.000265892-0j 0.00261576-0j -0.00518897-0j 0.0232798-0j 0.00523773-0j -0.000614724-0j 0.0435501-0j -0.000301377-0j -0.000563794-0j -0.020622-0j 0.00588146-0j 0.00026697-0j 0.0110026-0j -0.041293-0j 0.000696762-0j -0.00520999-0j 0.00130345-0j 0.000534574-0j -0.0104324-0j -0.000617215-0j -0.0012359-0j 0.00207111-0j -0.00227296-0j -0.0158096-0j 0.000272892-0j -0.0018796-0j -0.00192926-0j -0.00376575-0j 0.0173505-0j 0.00481955-0j -0.00161356-0j -0.00124255-0j -0.000578521-0j -0.000299489-0j 0.0143478-0j 0.00465984-0j -4.41319e-05-0j 0.00413277-0j 0.0147269-0j -0.00024766-0j 0.00177083-0j -0.0367896-0j -0.000254202-0j 0.00341756-0j 0.00948488-0j 0.000634905-0j 0.00146437-0j 0.000635032-0j 0.00350784-0j -0.0355705-0j 4.84331e-05-0j -0.00016372-0j 0.00150305-0j -0.00876306-0j 0.000525028-0j -0.00375483-0j 0.000613988-0j 4.00513e-05-0j 0.00225924-0j 0.000538899-0j 0.000968047-0j -0.00134624-0j 4.11094e-05-0j -0.00847266-0j -0.0036304-0j 0.00034708-0j -0.000102697-0j -0.00130163-0j 2.64766e-05-0j -9.92935e-05-0j 
-0.0302247-0j -0.609781-0j -0.00217636-0j -0.0104991-0j 0.0300325-0j 0.144882-0j -0.00144182-0j 0.0052509-0j 0.0120565-0j -0.00121101-0j 0.0030566-0j -0.043908-0j 0.0101264-0j -0.0111317-0j 0.00256729-0j -0.00107459-0j 0.00368969-0j 0.00847182-0j -0.000767725-0j -0.000109675-0j -0.00523773-0j 0.00214034-0j -0.0290886-0j 0.00638162-0j 0.000253561-0j 0.00605256-0j 0.000376577-0j -7.83556e-05-0j 0.041293-0j -0.00734902-0j -0.000534574-0j 0.00152913-0j -0.0503111-0j -0.00087062-0j 0.0104324-0j 0.000181153-0j 0.000651321-0j -0.0127107-0j 0.0012359-0j -0.00150581-0j -0.000854289-0j 0.00284012-0j 0.00652114-0j -0.000112562-0j -0.000787937-0j -0.00380114-0j 0.00155329-0j -0.0216798-0j 0.00202908-0j 0.000665561-0j -0.000661802-0j 0.000238628-0j 0.000374219-0j 0.00601465-0j 0.0033967-0j 1.82035e-05-0j -0.005164-0j 0.0290157-0j -0.00010382-0j -0.00221269-0j -0.0154888-0j -0.000500844-0j 0.00143265-0j 0.00505181-0j -0.000793329-0j 0.000613868-0j 0.000267355-0j 0.00691135-0j -0.0259284-0j -6.05183e-05-0j -8.72001e-05-0j 0.0029614-0j -0.00368934-0j 0.000220094-0j -0.00158082-0j 0.000447555-0j 1.67896e-05-0j 0.00120331-0j 0.00106177-0j 0.000515598-0j -0.000566781-0j 8.09961e-05-0j -0.00617599-0j -0.00264631-0j 0.000184861-0j -4.32364e-05-0j -0.000948798-0j 1.41019e-05-0j -7.23781e-05-0j 
0.0451135-0j 0.00653784-0j -0.312546-0j -0.315785-0j 0.000468873-0j 0.000473732-0j 0.00215207-0j 0.00266305-0j -0.0366032-0j 0.00155344-0j 3.17029e-05-0j -0.0452941-0j -0.0264216-0j 3.92304e-05-0j 2.28844e-05-0j 0.00160394-0j 0.00187126-0j 0.000267323-0j 0.00114591-0j -0.0316644-0j 0.00163735-0j -0.00321503-0j 0.000311877-0j 0.000675374-0j 1.96902e-06-0j 0.000190985-0j -0.0369418-0j -0.0226222-0j 0.000272892-0j -0.00375087-0j -0.0323241-0j -0.00229693-0j 0.000112562-0j 2.29719e-06-0j -0.00328201-0j 1.40674e-06-0j -0.013333-0j -0.00135376-0j 2.01004e-06-0j 8.291e-07-0j -0.00516967-0j 0.0014404-0j -0.000834251-0j 0.0655374-0j 0.00117608-0j 0.00118827-0j -9.83175e-05-0j 0.000232443-0j 0.00102907-0j 0.0164695-0j 0.000848938-0j 0.000965458-0j -0.0182603-0j 0.000189789-0j 0.00027124-0j -4.58009e-07-0j 2.73936e-05-0j 0.000191755-0j -0.0149095-0j -0.00458881-0j 0.000166065-0j -0.015064-0j 2.23668e-05-0j 0.000136997-0j -0.000269-0j -0.00374674-0j -0.0130458-0j 2.25986e-05-0j 4.37711e-05-0j 1.27613e-07-0j -0.0107622-0j -0.00378557-0j 1.9571e-05-0j -0.000219638-0j -0.0032784-0j -0.00343859-0j 1.04195e-07-0j 1.61452e-05-0j -0.000221914-0j -0.00270454-0j -0.000192183-0j 1.05275e-07-0j 5.15848e-06-0j -0.000864115-0j -0.000158543-0j 9.11708e-08-0j -5.06552e-05-0j 7.52121e-08-0j 2.40306e-08-0j 
-0.00651157-0j 0.0902183-0j -0.000468873-0j -0.000473732-0j -0.302786-0j -0.305924-0j -0.000310624-0j -0.000384377-0j 0.00524978-0j -0.00022422-0j -0.0627359-0j 0.00649627-0j 0.00378949-0j -0.0776317-0j -0.0452852-0j -0.000231509-0j -0.000270094-0j 0.0036889-0j -0.000165398-0j -2.36283e-05-0j -0.000236332-0j -0.0215788-0j 0.00430372-0j -9.74819e-05-0j -0.00784749-0j 0.00263548-0j -2.75663e-05-0j -1.68808e-05-0j 0.00376575-0j -0.0251753-0j -2.41205e-05-0j -0.0154167-0j 0.00155329-0j -0.00915541-0j -0.0220284-0j -0.00560652-0j -9.9492e-06-0j -0.00908625-0j -0.00801098-0j -0.00330436-0j 0.000746177-0j -0.000207903-0j -0.0115122-0j 9.83175e-05-0j -0.000169752-0j -0.000171511-0j 0.063491-0j 0.00320757-0j -0.000148533-0j -0.00117496-0j -0.000122534-0j 0.0198569-0j -2.73936e-05-0j 0.00261897-0j -3.91501e-05-0j 0.00305291-0j -0.0176901-0j 0.00264611-0j -2.23668e-05-0j 0.000327371-0j 0.0022916-0j -2.25986e-05-0j -0.0144439-0j 0.00189047-0j -0.00553262-0j 0.000267298-0j -1.9571e-05-0j -0.0145936-0j 0.000604015-0j -0.000850616-0j -1.61452e-05-0j 0.000270068-0j -0.0126384-0j -0.00451737-0j 0.000233885-0j -5.15848e-06-0j -0.000694525-0j -0.0104262-0j -0.00456418-0j 0.000192946-0j -0.0039527-0j -0.000701722-0j -0.00333122-0j 6.16471e-05-0j -0.00326081-0j -0.000607709-0j -0.00104184-0j -0.000501334-0j -0.000160179-0j 
-0.0509611-0j -0.000105121-0j 0.353058-0j -0.346562-0j -0.000529648-0j 0.000519903-0j -0.00243102-0j -4.28186e-05-0j 0.0413477-0j 0.00343467-0j -3.58123e-05-0j 0.000728276-0j -0.0584182-0j -6.30778e-07-0j 5.05974e-05-0j 0.00546831-0j -3.00877e-05-0j 0.000911385-0j -0.00129444-0j -0.107954-0j 0.00179694-0j -0.010961-0j -5.01462e-06-0j 0.00224531-0j 6.71299e-06-0j -0.00021574-0j 0.000593981-0j 0.0255544-0j 0.000299489-0j 6.03095e-05-0j -0.0354745-0j 0.00259466-0j 0.000374219-0j -3.69361e-08-0j -0.00360188-0j -1.58908e-06-0j -0.0443262-0j -0.00450064-0j 2.20595e-06-0j 2.75638e-06-0j -0.0014404-0j 6.98986e-05-0j -0.000232443-0j 0.0182603-0j -0.00132852-0j 0.00130408-0j -2.73936e-05-0j 1.12798e-05-0j -1.65462e-05-0j 0.00458881-0j 0.001877-0j 0.000269-0j -0.000886126-0j -0.000214389-0j 0.00120379-0j -1.27613e-07-0j 1.32934e-06-0j 0.000210444-0j 0.0168421-0j -0.000222683-0j -2.67013e-06-0j -0.0165322-0j -2.5266e-05-0j 0.0003029-0j -1.30539e-05-0j 0.0042324-0j 0.000209761-0j 2.48011e-05-0j 0.00019426-0j 6.19271e-09-0j -0.0237954-0j -0.00415452-0j -3.14678e-07-0j 0.000248107-0j 5.27128e-05-0j -0.0152608-0j -1.17701e-07-0j 3.56971e-05-0j -0.000243542-0j -0.00597975-0j 3.09007e-06-0j 1.15535e-07-0j 2.28938e-05-0j -0.00383501-0j -0.000350539-0j -1.46592e-09-0j -0.000224812-0j 1.66294e-07-0j 1.0665e-07-0j 
