0.00707128-0.00748524j 0.00642284+0.00520248j 0.000546047+0.00659126j 0.00793625-0.00149664j 0.000230412-0.000397787j -0.000585172-0.00204415j 0.00645126-0.00381046j 0.00361134+0.00526313j 0.00462267+0.0027816j -0.00324588-0.00347553j -0.00251319+0.00538513j 0.00351212+0.00563929j -0.00239752+0.0028636j -0.00271916+0.000543875j -0.000739221+0.00639631j -0.000252951+0.00642887j -8.06735e-05+0.00295961j 0.00228028+0.000345441j -0.00208709-0.00413686j -0.00358847-0.00324818j 0.00273277+0.00753043j 0.00508963+0.0047299j -0.00458665-0.00260564j 0.00182334-0.00166588j 0.00129862+0.00108654j 0.00302897+0.0037887j -0.00237056-0.00231885j -0.00052548+0.00109305j 0.00141919+0.00154041j 0.000713904+0.00177118j -0.00362228+0.00453528j 0.00187392-0.00370426j -0.00270269+0.00409753j -0.000788284-0.00443486j 0.00569331+0.00064205j 0.00172668+0.00467878j -0.00268949-0.00132948j 0.00332002-0.00710324j -0.00113033-0.00233801j -0.00192059+0.00093471j 0.0019846-0.0147244j 0.0111655+0.0115044j -0.0034908+0.00989409j 0.00614742+0.0135504j 0.0113667-0.00470271j 0.0196142-0.00772929j 0.00205612+0.00182568j 0.0261857+0.00140902j -0.0493738+0.00626402j 0.00679262-0.00491525j -0.0585046+0.0115034j 0.0114225+0.0498352j 
-0.00456051-0.00570771j 0.0065133-0.00834785j 0.00713857-0.00267309j 0.00138293-0.00696614j 1.93446e-05-0.00169677j -0.00254405+0.00451109j 0.000587048-0.0063828j 0.00503454-0.0018321j -0.00179703-0.00307567j -0.00281959-0.00320854j 0.00326578-0.000756439j 0.0029699-0.00647442j 0.00252177+0.00156009j 0.000845199+0.00183445j 0.00453881+0.00130235j 0.00329014-0.00371163j 0.00289142-0.00294007j -0.000523435+0.000715442j -0.00293716-1.52509e-06j -0.00162901+0.00283296j 0.0080199-2.57115e-06j 0.00510236-0.00759922j -0.0036968+0.00535661j -0.00188676+0.000624568j 0.00141585-0.00350854j 0.00309783-0.0063251j -0.000827556+0.00164396j 0.00301562-0.000664313j 0.00128202-0.00513203j 0.000878347+0.000637593j 0.00209286+0.000341189j -0.0037296-0.000543624j -0.00131142+0.0027566j -0.00280022-0.000146732j 0.000755357+0.00504003j -0.000970921+3.23353e-05j 0.000874613+0.00233496j -0.00331536-0.00416971j -0.00476888+0.00680228j 0.00382571-0.000704783j -0.00930999-0.0137963j -0.0028085-0.00522575j 0.00533675+0.0113472j -0.00121258-0.0056221j 0.00172203+0.00840754j -0.00120424+0.00144607j -0.0458496+0.00121835j -0.000482+0.0134248j -0.00557302+0.0106369j -0.0412055+0.0115759j 0.0116736+0.0513706j 0.0575505-0.0114321j 
-0.00246483-0.00544939j 0.00523576-0.00574211j -0.00112339+0.00320314j 0.00515425+0.000485979j -0.00486938+0.00114394j -0.00295444+0.0102652j 0.00460801+0.00142237j -0.00551957+0.0107334j 0.00127817-0.00441057j -0.0109358+0.00210503j -0.0063875+0.000557121j -0.00380982-0.00413769j -0.00215746-0.00689141j 0.000387202-0.000361247j 0.00571953+0.0110259j -0.0043027+0.0020329j -0.00484161-0.00316051j 0.00734313-0.00778012j -0.00986341-0.0074075j -0.00651584+0.00524591j 0.00478703+5.31303e-06j -0.000502916-0.00149693j -0.00076026-0.00119554j 0.00518673-0.00278036j -0.000106196-0.00574543j -0.00172828+0.00401818j -0.00274649-0.0045209j -0.00068317+0.00487276j -0.0105267-0.00876537j 0.00135253-0.00205577j -0.00695658+0.00513965j 0.0063482-0.00774477j 0.00327303+0.00411706j -0.00908204-0.00374958j 0.0121402+0.000310694j 0.00993555-0.00324532j 0.000722923+0.0032116j 0.00631883-0.00261564j -0.00893386-0.000885617j -0.00879709+0.00165305j -0.00580552+0.00748045j 0.0210958-0.00914896j -0.0205044-0.00578611j 3.36012e-05-0.0135521j 0.0235551+0.00803387j -0.0238154+0.0129685j -0.000907456-0.00579948j 0.0156912-0.0152514j 0.0492092-0.0235543j 0.0362976+0.0373571j -0.0135274+0.011546j 0.0073333+0.00436706j 
-0.00440398+0.00527565j -0.00186699-0.0050411j 0.00108616+0.00388417j 0.0054286-0.00336068j -0.00448157+0.00628693j 0.00308504+0.00518945j 0.000894633+0.00201861j 0.00566242+0.00581385j 0.00128644-0.00321237j -0.000211653+0.00537924j -0.00120383+0.00170397j -0.0039875-0.00507906j -0.00026848-0.00248586j -0.00431809-0.00433936j 0.00843058-0.00467167j 0.00203245-0.00491637j -0.003434+0.00197811j -0.000371545+0.00156152j -0.00212332+0.0103635j -0.00208455-0.00553818j -0.0021388+0.000147191j 0.00419208-0.00382243j -0.00571618+0.0014566j -0.00649392-0.0107884j -0.00268548-0.00666106j -0.000346224-0.00499083j -0.00215571+0.00108958j 0.0100773-0.0090929j -0.00465774+0.00461975j 0.00698793+0.0076405j 0.00137678+0.00267165j -0.00345187+0.00106365j 0.00727102+7.00862e-05j 0.000174214+0.00936071j 0.015169+0.00110852j -0.00616685-0.0135771j -0.00653088+0.00659858j 0.00745431-0.0152926j -0.00301597-0.011615j 0.00409584+0.000393206j -0.0208319-0.000511806j -0.0189288+0.00746163j -0.0143741-0.00302812j 0.0182931-0.003309j 0.0131444-0.0153007j 0.0362883-0.0176436j 0.0156663+0.00369112j -0.0482435+0.0104621j -0.0220027-0.0463181j 0.0251289-0.00936533j 0.00595745+0.00417025j 0.0109634-0.00546156j 
-0.00428556-0.000486253j 0.000912708-0.00417205j 0.0015753-0.00665114j -0.0033014-0.00128586j 0.000789011-0.00113036j 0.00170893-0.000463921j 0.00175205-0.0014072j -0.00149246-0.00532444j -6.13036e-05+0.000291934j 0.0074913-0.000485131j -0.0011585-0.00498784j 0.00702097-0.00148311j -0.00514612+0.00111349j 0.00581297-0.000234596j -0.000856204+0.000912075j 0.00625855-0.00297633j 0.00430656-0.00543745j -0.00679137+0.00149269j -0.0063626-8.08354e-05j 0.00448278+0.00127254j -0.00600043-0.00339433j -0.00523767-0.000584821j 0.00172003+0.00509385j -0.00231874+0.00614589j 0.000929197-0.00112811j 0.00818648-0.00687463j 0.000662972+0.00201791j -0.00957014-0.000168151j 0.00589833-0.00208181j -0.00909345+0.000862087j 0.00666164-0.011861j -0.00353652+0.00556593j 0.00334654-0.00201727j 0.00318571-0.00190898j -0.0193845+0.00634933j -0.0169064-0.00159446j -0.0016894-0.00333575j -0.0056183+0.00404944j -0.00444876+0.00518359j -0.00233291-0.00281258j 0.0166967+0.00699736j 0.00781712-0.00539336j -0.00895792-0.0101109j 0.00976718-0.00371791j 0.0104545-0.00201798j 0.0165964+0.00509481j -0.00887551+0.0175111j -0.00762242-0.0249378j -0.0305285+0.0078951j -0.00639381+0.0472838j 0.00374908-0.0145545j -0.0035093-0.0291281j 
-4.91584e-05+0.00390278j -0.00289598+0.00247913j -0.000899879-0.00206077j -0.00435177+0.00698293j 0.00185119-0.00121285j 0.000280168-0.00033237j 0.000789607+0.00460855j -0.00124721+0.00294082j 0.00366264+0.00186023j -0.00147526-0.00149601j -0.00194212-0.00141287j 0.0040173+0.00378961j 0.000964849-0.00241589j 0.000617733-0.000605075j 0.00229183-0.000113756j 0.00222593+0.00208753j 0.000459183+0.000828905j 0.000239368-0.00141365j -0.00320076-0.00192426j 7.68311e-05+0.00101284j -0.000128824+0.00176491j -0.00571732+0.00575153j 0.00614568-0.00566919j 0.00328649+0.00262739j 0.000840815+0.00292979j 0.00015266+0.00270674j 0.00139977-0.00268275j -0.00860521+0.0038524j 0.00723917+0.000820192j -0.00142543-0.000961373j 0.00245574+5.2835e-05j 0.00533836-0.00357277j 0.00547864-0.00411184j 0.00588372-0.00416379j 0.0068363-0.00115714j 0.00467519-0.00196858j 0.000493007-0.00266953j 0.00285734+0.0035164j 0.0019824+0.000697945j -0.00122319+0.00224122j -0.00516243+0.00766524j 0.0210522-0.000303337j 0.00664378-0.00627849j 0.00698071+0.00593066j -0.00340278+0.00209002j -0.0116489+0.0121619j -0.0208465+0.00729741j 0.00617253-0.00872082j 0.00155459-0.0559596j -0.0340143-0.00185667j -0.0041645-0.0309187j -0.00648416+0.0162747j 
-0.000574135+0.00389356j -0.00206416+0.000841753j -0.000857327+0.00464007j 0.00590729-0.00281845j -0.00178571+0.00192796j -0.000665028+0.00345235j -0.00367026+0.00161862j 0.00520238+0.00302664j 0.00184118+0.00398259j -0.00312736+0.0028591j 0.00849671+0.000464676j -0.00349074-0.00624143j 0.00137387-0.00844001j -0.00809474-0.00122266j 0.000605873-0.00898118j -0.00502713-0.00591399j -0.00544373+0.00037478j 0.00892742+0.00407596j 0.00940638+0.00470215j -0.00866932-0.00146713j 0.00160338-0.00647531j 0.00859216-0.00780654j -0.00498153-0.00262849j -0.00653621-0.0103121j -0.00365104-0.000987984j -0.00752461+0.0091497j 0.00121747+0.000372709j 0.0100162-0.00155382j -0.00903651+0.000337196j 0.0138013-0.00380274j -0.000557011+0.014875j -0.00425615-0.000279262j -0.00499265+0.0047331j -0.00553908+0.0115884j 0.00835331-0.00792602j 0.0298718+0.00109743j 0.00591523+0.00273069j -0.00574568+0.0152698j -0.00610198+0.000463709j -0.00381624+0.00185025j -0.00149092+0.00918739j 0.00392355-0.00105936j 0.00888724+0.0089808j 0.000247523+0.0101553j -0.0417159+0.0219462j -0.00975536+0.0182219j 0.0386094+0.00932267j 0.0172774+0.0330189j -0.00937401-0.0144891j 0.00825527+0.0187777j 0.00735842-0.0106174j -0.00571125-0.0151271j 
-0.00154245-0.00300135j 0.00177272-0.00306521j 0.00278205+0.00326724j 0.00400403-0.00719299j 0.000235475+0.00693084j 0.00652899-0.000861888j 0.00146125+0.00315106j -0.000201659-0.00163761j -0.00186365-0.000749091j 0.00163232-0.000315014j -0.0091887+0.00106435j 0.000787311-0.00267558j -0.00497595+0.00692114j 0.00693867-0.0121493j -0.00239048+0.00561441j -0.0116083+0.00251803j -0.000296135-0.00817055j 0.000498919+0.00278664j -0.00543945-0.00511051j 0.009161-0.00273854j 0.00273634+0.000279323j 0.00155244+0.00080634j 0.000330591+0.00394294j -0.00898269-0.00934939j -0.00823968-0.00460452j 0.0060492+0.00403458j -0.00190492+0.00615057j -0.0102907-0.00340929j -0.0122728+0.00706446j -0.0112422-0.00191674j -0.0203141-0.00893402j -0.00399429+0.0199274j -0.0165259-0.00563631j -0.0142926+0.01054j -0.0101359+0.00216843j -0.00920215+0.00662963j -0.0157271+0.00579343j -0.0116575+0.00739306j 0.0138155-0.00242975j -0.0293711-0.000106396j -0.00326384+0.0172997j -0.0165803+0.010865j 0.0122586+0.0107378j 0.0212861-0.00889836j -0.0295718-0.0049684j 0.0364537-0.020377j -0.0113775-0.0444911j 0.0307329-0.00244723j -0.00225773-0.0108961j 0.0043616-0.00539668j -0.0100486+0.00100739j 5.26217e-05+0.00581025j 
0.00536939-0.00438551j 0.00128797+0.007333j -0.00218678-0.000903847j -0.00136185+0.00495456j -0.00363381-0.00453647j -0.000950018+0.00271056j -0.00782309-0.00123334j 0.00430188-0.00765561j 0.00461538+0.00498738j -0.00278618-0.00225424j 0.00426153-0.000247836j -0.000287316+0.00278387j -0.00164882+0.00191599j 0.000684507+0.00495957j -0.00455144+0.00101086j 0.00306681+0.000745866j 0.0020097+0.0016958j 0.00575245-0.00271553j 0.00409378-0.00310024j -0.000545805-0.00509321j -0.00687727+0.00249075j 0.00415999+0.0047743j -0.00906072-0.00630198j -0.000574647-0.00414789j 0.00295212-0.00381351j -0.00143593+0.0126456j -0.00750481-0.00645866j 0.0110161-0.00303281j -0.0117614+0.00121603j 0.005092+0.00380955j 0.00219497-0.00137243j 0.00373335+0.000334255j -0.00172474+0.0154688j -0.0094827+0.0163208j -0.0215879+0.00980741j -0.000179182+0.0106973j 0.00485493-0.00538673j -0.0200531-0.0043077j 0.00582739-0.00831531j 0.00048415-0.00313719j -0.0148187+0.00138688j -0.0181612+0.0115927j -0.0265938+0.0114532j 0.0212671-0.0228281j 0.0379221+0.0154218j 0.0291969+0.0434587j 0.0273206-0.0215693j -8.74759e-05+0.00510962j -0.00436179-0.00285791j -0.0152952+1.92214e-05j -0.00175132-0.0106652j -0.00919115+0.00809284j 
-0.00181935-0.0023584j -0.000431751-0.000444028j -0.0015608-0.00156227j 0.00231075+0.0029246j 0.00161364-0.00216654j -0.00209206+0.001815j 0.00272633-0.00485429j 0.00191477+0.00169095j 0.00535636-0.00378822j 0.0110321+0.00559371j 0.00167648-0.00104501j 0.00353554+0.00548353j 0.00180896-0.000478589j 0.00183987+0.00246154j 0.00347423+0.00065983j 0.00475112-0.00192779j 0.0114299-0.000543005j -0.0106754+0.0041515j 0.000947524+0.00654435j 0.0119871-0.014082j -0.0185717-0.000325235j 0.00160799+0.00819169j -0.00432567+0.0035039j 0.00409213+4.856e-05j 0.012921-0.00771822j 0.00444803-0.00812835j 0.00235936+0.00366844j 0.00323794-0.00910837j -0.00670755+0.00485271j -0.00157736+0.0125242j 0.00926397-0.0145732j -0.000911074-0.00138875j -0.0165411+0.000343891j -0.00505777+0.0173682j 0.0076698+0.00378391j 0.0141043+8.77495e-05j 0.0259459-0.00328224j 0.012027-0.0127115j 0.00135875-0.0106725j 0.00108875-0.00129497j -0.00808307-0.00103711j 0.00376886+0.0137632j -0.0188774+0.00546964j -0.0133221-0.00367878j 0.00344801-0.0634172j -0.0195464-0.000603469j 0.00151647+0.00599715j 0.0101917+0.0367685j 0.00741825+0.00380973j -0.00456729+0.0050704j -0.00219569-0.00613566j -0.00780138-0.00706674j 
0.00336822+0.0029549j -0.00259108+0.000992599j 0.00788114+0.00187578j 0.00162045-0.00171799j 0.0138429-0.00117326j -0.00112496+0.000997815j 0.000276213+0.00235194j 0.0109233-0.00213681j -0.00404284+0.00640466j -0.00275359+0.000577795j 0.00655397-0.00257362j -0.0048257+0.00507231j 0.00131674-0.000495279j -0.00949283+0.00150897j -0.0103989-0.00409054j -0.000775888+0.00285421j 0.00427948-0.0028361j -0.00568063+0.00704898j 0.00315592+0.00300675j -0.00211159-0.00445027j 0.00822114-0.0071798j 0.00166094-0.000679741j -0.000716287+0.00409066j 0.00628746+0.00884169j -0.00773128+0.00942583j 0.00383479+0.00156264j -0.0091914+0.00370541j 0.0177665-0.00135523j -0.0112311+0.00892848j 0.00416362-0.00320929j -0.00434113-0.00366776j -0.00520571+0.00819458j 0.00324928-0.00370717j -0.0209652-0.000999687j 0.000673262-0.00103329j 0.0123086+0.00566536j -0.00931386-0.00154003j 0.000612175-0.00125025j -0.00374109+0.00491113j 0.00887385-0.00878733j 0.00400883-0.000504903j -0.00281656+0.0154203j -0.0140946-0.00466257j 0.00494344+0.0160568j 0.02149+0.0277311j -0.00789663-0.0282231j 0.0133866-0.013245j -0.00819048+0.0250693j 0.0116732+0.00652003j -0.0113992+0.00906791j -0.00103141-0.0155063j -0.00233502+0.00057464j 
-0.00099392-0.00155589j 0.00243812+0.000747896j 0.000146694+0.00700251j 0.00652233-0.00269524j -0.00119599-0.00280052j -0.0026267+0.00216527j 0.00352964-0.00792044j 0.00320916+0.00814458j -0.00999756+0.01149j -0.00228472+0.0146912j -0.000605281-0.00213315j -0.00897079+0.00992548j 4.80734e-05-0.00918224j -0.00012929+0.00523535j -0.0125905+0.0109498j 0.00916996+0.00797935j -0.00388392-0.00708451j -0.0105388+0.0120268j -0.00845108+0.0056677j -0.00810589-0.0240416j -0.00650512-0.00818709j -0.00702503+0.00532475j 0.000796413+0.00613798j 0.0194028+0.00413635j -0.0111016-0.00322986j -0.00749351-0.00527182j -0.00037508+0.0102116j -0.00399218-0.00251465j -0.00177979+0.0109515j 0.0123256+0.0130191j 0.00945174-0.0130912j -0.019283-0.00225294j 0.0071389+0.00135243j 0.00384001+0.0108303j -0.0152805-0.000325891j 0.00114754-0.0144621j 0.0126153-0.00409534j -0.0115903-0.00449376j -0.0285181-0.0116595j 0.000378081-0.00405241j 0.0158706-0.0125618j -0.0143235-0.0046794j -0.0324867-0.00107389j -0.00595016+0.0332775j -0.0114239-0.000626418j 0.0143651+0.0196468j -0.00370607+0.00458986j 0.00281397-0.0144118j 0.0100111-0.0168637j 0.0124487-0.00451849j -0.00256402+0.00452129j -0.00539491+0.0076258j 
-0.00104217-0.00444012j -0.000219758-0.00164566j 0.00156004-0.000182938j 0.00241817-0.00504062j -0.00359621+0.00185985j -0.00114476+0.00724691j -0.000201162-0.0029167j 0.0087356-0.000927038j 0.00682909+0.00437073j 0.0105119-0.0174966j 0.00847325+0.00465012j 0.00114193+0.00308165j -0.00460914-0.000524291j -0.00438638+0.00670262j 0.00912591-0.00829151j -0.00724969-0.00730354j 0.00661834+0.00805622j 0.00285104+0.00362081j 0.00931687+0.00454854j 0.000152299+0.0054555j -0.00777631+0.00574428j -0.00317059+0.00396793j -0.00204893+0.00725486j -0.0144783+0.0040593j 0.00697853-0.0038478j 0.0038608-0.00218273j 0.00893375-0.00175211j -0.0149874-0.00603011j 0.00508242-0.00354335j 0.00575708+0.00715213j 0.0169709-0.00253478j 0.00500604-0.00379924j 0.0042831-0.00577527j 0.0160843-0.012054j 0.00690464-0.00266644j 0.0198165+0.00845682j 0.00635646+0.00264261j -0.00692383+0.0236334j -0.0205364+0.0132326j 0.00611831-0.00425843j -0.000556767+0.00844043j 0.0274232-0.00685078j -0.013744+0.0265304j 0.0142968+0.0035553j 0.00013551+0.00296514j 0.00582383-0.00484788j -0.00402686-0.033301j -0.00881625-0.0121551j -0.00436472+0.00508253j -0.00233942-0.00652092j -0.0120852+0.00274135j 0.0017372+0.00477167j 
-0.000506148-0.00155094j 0.00152325+0.00383493j -0.00172059+0.00208135j 0.00461104-0.00377596j -0.00812688-0.00125266j -0.00223495+0.00783316j -0.00599919+0.00276045j 0.00220497+0.00469046j 0.00459693+0.00903942j -0.000448448-0.00711435j 0.00304698+0.00355621j 0.000555154+0.00379329j 0.000833213+0.00113599j -0.0152938-0.00179921j 0.00366176-0.0103044j 0.00742911+0.0139993j -0.0180468+0.00330659j 0.00339134-0.00627989j -0.000385578+0.00876008j -0.000824757+0.0134469j -0.00108596+0.00422251j 0.000715935-0.00753634j -0.010494+0.0056988j -0.0153337-0.000851438j -0.00387751-0.00742706j 0.00982981-0.00710761j -0.005126+0.00281533j 0.00353311+0.000563008j 0.00450539+0.00889963j -0.00120205-0.00769955j 0.00229066-0.00209512j -0.00194835+0.00439326j -0.00109914-0.0083821j -1.73018e-05-0.0167331j -0.0119839+0.0053151j -0.0204195-0.0125116j -0.00505662-0.00208066j 0.0033181-0.00834233j 0.00970554+0.0205273j -0.00946276+0.00411609j 0.0280756-0.0187098j 0.0239803+0.000214152j 0.0261643-0.0046637j -0.00535087-0.000197157j -0.00256652-0.0018144j -0.00308603+0.0285238j 0.00857751-0.0203268j 0.0126503+0.0279716j -0.00659627-0.0125823j 0.00810818-0.00974103j -0.00170997-0.00312297j -0.00966665+0.000138596j 
-0.00143425-0.00168844j -0.000691435+0.00115323j 0.00436085+0.00123844j -0.00701573-0.00455897j 0.00573831+0.0010222j 0.00110598+0.000494576j -0.00451271-0.000712769j -0.00221175-0.00788505j -0.0160579+0.00239095j -0.013349-0.0013938j 0.00421565-4.99414e-05j -0.00138955+0.00350367j -0.00156815+0.0029929j 0.00422581+0.00565317j -0.0258059+0.00186165j 0.0130563-0.00587863j -0.0143176+0.00534j -0.00318031+0.00380935j -0.0128898+0.000383998j -0.00905062-0.00561664j 0.00581039+0.00446846j 0.0087557-0.00634751j 0.00694409+0.00396675j 0.00721631-0.00041536j -0.0213412+0.00107009j 0.00174815-0.00410557j -0.0100835-0.00145377j -0.00652847-0.0114319j 0.00689373+0.00374792j 0.0096713+0.00101331j -0.00566756+0.00146671j -0.00899949+0.00498295j 0.00896823+0.00681675j 0.000119455+0.00580521j -0.0162561-0.000766034j -0.0045989+0.00403418j 0.00372516+0.00670334j -0.00883876-0.0127074j -0.0121222-0.0111106j -0.0200853-0.00384796j 0.00720661+0.00705452j 0.020007+0.0122951j 0.00377972-0.00485519j 0.00876923-0.0220972j 0.00418044-0.0235794j -0.00419185-0.0289283j -0.00311268-0.0195626j -0.0130378+0.0181419j -0.000135609+0.0165582j 0.00106297-0.0113597j -0.00644217+0.00272593j -0.00328688+7.59549e-05j 
