-0.00778228+3.03577e-17j -0.0056223+1.66424e-06j -0.00680942-0.000483505j 0.00613117+0.000332689j -0.00356722-0.00013529j 0.00197766-0.000161114j 0.00744961+0.000347711j -0.0052247-0.000581967j 0.0014822+0.000238502j -0.00226603+0.000158492j -0.000467845-0.000409695j -0.0065123-0.000363114j 0.00463024+0.0005043j 0.00520779+0.000363285j -0.000374495+9.05076e-06j -0.00130341-0.000163688j -0.00141923+5.56838e-05j -0.0007135+0.000162959j 0.0019198+0.000148304j 0.00272673+8.90228e-05j 0.00032183+0.000463476j 0.00665336+0.000388977j 0.00202257+2.8982e-05j 0.00330914+0.000189163j 0.00140813+0.000423941j -0.00382253-0.00032218j -0.00491292-0.000727163j 0.00237563+7.63776e-05j -0.00109087-1.33001e-05j -0.00424394-0.000528458j 0.00544716+0.000723637j -0.00116546-0.000166669j -0.000659673+7.55626e-05j -0.000777727+0.000414755j 0.000137273-0.000271466j 0.00348258+0.000555568j 0.00311919+1.21363e-05j -0.00482696-0.000474831j 0.00317533-0.000394219j -0.000308355+6.2773e-05j 0.00192787+4.90246e-05j -0.00325041-0.000444434j 0.00251888-5.86213e-05j -0.00282488+0.000296018j -0.00549279-0.000176557j 0.00938528+0.000667788j 0.000876211-0.000642651j -0.00544651-0.00127025j 0.00658744-0.000328218j 0.0002954-0.000166266j -0.018926-0.000813293j 0.00521201-0.000634176j -0.0113526+0.00481227j 0.0385436+0.00279287j 0.00237692-2.19805e-05j 0.895321-0.00445721j 
-0.0056223-1.66424e-06j 0.00780294-1.66273e-15j 0.0057397+0.00030794j 0.0069128+0.000518631j 0.00187957+0.000464663j -0.00631661-0.00018687j 0.00582182+0.000377843j 0.00530384+0.000462856j 0.00179476+0.00034132j 0.00164925+0.000244841j -0.00491319+1.94217e-05j -0.00468066-0.000210073j -0.00660025-0.000579868j -0.00161865-0.000320995j -0.00254642-0.000205203j 0.00146897+8.82855e-05j 0.00177064+0.000273577j 0.00536466+0.000181446j 0.00376422+0.000334312j 0.000504158-0.000102029j 0.00197287+0.000400184j 0.000487096-0.000140099j -0.00581228-0.000529142j -0.00160408-0.000135062j 0.000638419+1.90705e-05j 0.00169118+0.0001188j -0.00331889-4.32821e-05j -0.00241194-0.00055165j -0.00216241-0.000149726j -0.0021178+0.00019754j 0.00122817+0.000128848j 0.00206984+0.000361593j 0.00161351-5.14479e-05j 0.00104787-4.67288e-05j -0.00775733-0.000487822j 0.00243078+3.75367e-05j -0.000943054-0.000626652j 0.00237038+0.000182698j -0.00149218-0.000166627j 0.00118929-4.02412e-05j 0.00099756-0.000450767j -0.00463818-0.000523353j -0.00471323-0.000485095j -0.000227104-0.000403847j -0.00696464+0.000257324j -0.00297017-0.00044675j -0.0094749-0.00130364j -0.000265511+1.02781e-05j 0.000347094+0.000964753j 0.0160723+0.000166974j -0.00209816+0.000561175j -0.0124144-0.000617288j -0.0382586-0.00263366j -0.010928+0.00502375j -0.895553+0.0044199j 0.00243205-8.27436e-05j 
-0.00680942+0.000483505j 0.0057397-0.00030794j 0.00305233+2.64112e-16j -0.000266141+6.11926e-05j -0.00660723+0.000223733j -0.00384231+0.000154709j 0.00259035-0.000233423j 0.00375867+0.000391341j -0.00724479-0.000478332j -0.00302073+0.000217246j -0.00397474+0.000509974j -0.00385293+0.000155834j -0.00528089-0.000613342j 0.00287012+0.000114921j 0.00223592+0.000732084j -0.000131525-0.000311579j -0.00477967-0.000159893j 0.00539409+8.01582e-05j 0.00115459-0.000158528j 0.00441704+0.000500657j -0.0127529-0.0010755j 0.000201523-0.000484877j 1.70976e-05-0.000188985j -0.00557496-0.000596675j -0.00534886-0.000765001j 0.00170393+6.9099e-05j 0.00509715+0.00104695j 0.00555814-0.00024233j -0.00130927+9.50683e-05j -0.00080252+0.000900451j -0.00583401-0.000412937j 0.000644295+0.000123973j 0.00286506-0.000449503j -0.00467382+4.23679e-06j -0.00397893+0.000458681j -0.00273564+0.000806894j 0.00967012+0.00159669j 0.00268459+0.000192916j 0.004355+0.000312478j -0.00371545-0.000564697j 0.00470843+0.000985927j 0.00640427+0.00110736j -0.00198107+0.00139089j 0.00154403-0.000803736j -0.016661+0.000267572j 0.000451992-0.00178926j 0.0202791+0.000889351j 0.022862+0.000459131j -0.0143672+0.00369087j 0.0379508+0.00132602j -0.00546971+0.00105912j 0.0466326+0.00475647j -0.00271554+0.000726531j 0.893857-0.00581742j 0.00827991-0.00499435j 0.0205035+0.00287317j 
0.00613117-0.000332689j 0.0069128-0.000518631j -0.000266141-6.11926e-05j -0.00317312-9.97466e-18j -0.000387019-0.000291505j -0.00862866+7.70002e-05j -0.0067011-6.92568e-05j -0.00594886-0.000592344j 0.00128087+0.000482078j 0.00627399-4.33927e-05j -0.00990482-0.000109555j 0.00516804+0.000113962j 0.00463613+0.00042304j 0.00304529+0.000289416j 0.00300772-0.000156836j -0.00192332+0.000191119j 0.00262118+3.31101e-06j 0.0038686-0.000379568j -0.00299863-9.26272e-05j -0.00268828-0.000423328j 0.00355099+0.000282019j -0.00300881+0.000257126j -0.00163603+2.01596e-05j -0.00347749+0.000334769j 0.00306443-6.78817e-05j 0.000725964-9.01268e-05j -0.00492975-0.000272282j 6.44799e-05-0.000116436j 0.00577636+0.000210905j -0.00411404-0.000213249j -0.00038466-1.60136e-06j -0.00559905-0.000446096j -0.00225728-0.000285647j 0.00885209+0.000169697j 7.80841e-05+0.000423139j 0.00682892+4.39701e-05j 0.00730742+0.000454516j -0.000852633+0.000164018j -0.0075038+9.72749e-05j 0.000947924+5.77377e-05j 0.00856366+0.00179448j 0.00790947-0.000219495j -0.000809441+0.00160497j 0.0169538-0.000116933j -0.000890842-8.96448e-05j 0.00125057+0.000332994j 0.00122562+0.00109107j -0.0218092+0.000800334j -0.0542764-0.00256711j -0.00333074+0.0038474j -0.0133524-0.00240258j -0.0127734+0.0050759j -0.901894+0.0044349j -0.000191968-0.00111236j -0.0201866-0.00270435j 0.00826155-0.00476618j 
-0.00356722+0.00013529j 0.00187957-0.000464663j -0.00660723-0.000223733j -0.000387019+0.000291505j -0.00765704-3.49547e-16j -0.00965087-3.9185e-05j -0.000711402+7.29531e-05j -0.00772403-0.000567342j 0.00102113+0.00083453j -0.000641097+0.000191866j -0.00856535-2.00608e-06j -0.00035447-7.70209e-05j 0.00515475+0.000182396j 0.00488166-0.000236746j -0.00467834-0.000575047j -0.00344656+8.41096e-05j 0.00119247+0.000375026j 0.00171041-0.00010922j 0.000980926+0.000210947j -0.00172725-0.000305446j -0.00257285+0.000686138j 0.0033739+0.000576047j -0.00113318-0.000319351j -0.00397752+0.0003251j -0.00298587-0.000399761j -0.00160385-0.000691081j -0.00452032+0.000199505j 0.00577326+0.000567502j 0.0102371+0.000304033j -0.00816075+0.000322888j -0.0090473-0.000624381j -0.00260809+0.000368279j -0.00604374-0.000272352j -0.00711061-7.50133e-05j -0.00114667-0.000546641j -0.0106633-0.000720787j -0.00842412-0.00209975j -0.000113806+0.000127942j 0.00888567+0.000306871j -0.00519424+0.000581082j -0.00905776-0.000208401j 0.00818245-0.00147934j -0.0379035+5.87216e-05j 0.0119037+9.75052e-07j -0.00257476+0.000490605j 0.0416284+0.00199086j -0.00398633-0.00087125j 0.047903+0.00227091j 0.0138952+0.00355097j -0.0403614-0.00212894j -0.0121484+0.00168387j 0.896131-0.00686849j 0.00239743-0.00505681j 0.0052497+0.00504002j 0.00455747+0.000805185j 0.000506325-0.000785721j 
0.00197766+0.000161114j -0.00631661+0.00018687j -0.00384231-0.000154709j -0.00862866-7.70002e-05j -0.00965087+3.9185e-05j 0.00297373+1.54824e-16j 0.000593659-0.000195426j -0.000939325+9.83381e-05j -0.00348061-0.00039924j 0.0016164+0.000117417j 0.0065506+0.000314955j 0.000137358-7.42145e-06j -0.00273356-6.56854e-05j 0.00306246+0.000372j -0.000179082+0.000209886j -0.0049694-0.000501389j -0.00703436-0.000208264j -0.00525203-1.33063e-05j 0.00718396-0.000163807j -0.0106118+0.000248678j -0.00609499-0.000692107j -0.00267027+2.93088e-05j 0.00273024+1.02653e-05j -0.00780106-3.00865e-05j -0.00300493-0.00033704j -0.00178122-4.89458e-05j -0.000920657-0.000342033j -0.00858279-0.000277894j 0.00482466+0.000477039j -0.00216825-0.000370313j 0.0091094+0.00038714j -0.00273698-0.000296459j -0.000310542-0.00024849j -0.00560556+0.000846917j -0.00055371-0.000737781j -0.00461948+0.00113829j 0.00039187+0.000261418j -0.00444808-0.000789648j -0.0192677-0.000181316j -0.028934-0.00079548j 0.00560087+0.000146481j -0.0180153+0.000417824j 0.0116451+0.000326597j -0.00826746+0.000411699j 0.0306222+0.00215237j 0.00923494-0.000760039j -0.020929-0.0012518j 0.0101221-0.00263197j 0.00898157+0.000251397j -0.0226095+0.00131908j 0.918417-0.00366781j 0.00446322+0.001947j -0.0041007+0.00259065j 0.00551787+0.00104845j -0.000533463-0.00066252j -0.00722-0.000916662j 
0.00744961-0.000347711j 0.00582182-0.000377843j 0.00259035+0.000233423j -0.0067011+6.92568e-05j -0.000711402-7.29531e-05j 0.000593659+0.000195426j -0.0030036-8.52617e-16j 0.000610437-5.26128e-05j -0.00706153+0.000170344j 0.00700965+1.58006e-05j -0.00443719+0.000229098j 0.00355489+4.27148e-05j 0.00374291+0.000332437j -0.00174595+0.000150151j 0.00774469-0.000228654j -0.00227992+9.37723e-05j -0.00409124+0.000100169j 0.00795655-0.000232238j -0.000355738+0.000147702j -0.00357965-0.00077811j 0.00203882+0.000510589j 0.000779194+0.000766664j 0.0116845+0.000477926j -0.0056061+0.00042107j 0.0119702+0.000322268j -0.00479412-0.000287412j 0.000244769-0.000432269j 0.0171966+0.000660821j -0.00402148-2.70964e-05j 0.000623845-0.000181559j 0.00670187+0.000108996j -0.00246887+0.000373363j 0.0163805+0.000598085j 0.00643793-0.000507982j -0.000534559-0.000218133j -0.000297363-0.00107135j 0.00750453-0.00181364j -0.0109451-3.78418e-05j -0.0166176-6.45992e-05j 0.00903907+8.89147e-06j -0.033358-0.0006756j -0.00489789-0.00109316j -0.0108786-0.00103108j 0.0525784+0.00132414j -0.000630496-0.00229456j 0.0148287+0.000378415j -0.010666+0.00132058j 0.00390246+0.000815311j 0.00540373+0.00181302j 0.90965-0.00473336j 0.0138951+0.00117385j 0.0155453-0.00256465j 0.0127175-0.00397223j 0.0163593+0.00159024j -0.00692674-8.46482e-05j -0.000399787-0.000216182j 
-0.0052247+0.000581967j 0.00530384-0.000462856j 0.00375867-0.000391341j -0.00594886+0.000592344j -0.00772403+0.000567342j -0.000939325-9.83381e-05j 0.000610437+5.26128e-05j 0.00205107-1.32706e-15j -0.00368439+0.000629642j -0.00805006+0.000456248j -0.00702014+0.000446726j 0.000452521+0.000187993j 0.00174949+1.96894e-05j -0.00793678-0.000771804j -0.0114382-0.000359304j 0.00871782-0.000236731j -0.00551991+0.000555113j -0.000475804+4.94902e-06j 0.00161299+0.000206972j -0.00619-8.10379e-05j 0.0024246+0.000472161j -0.0016928+0.000453949j 0.00410057-0.000107756j 0.00092403-0.000231899j 0.00785572-0.000156133j 0.00685682-0.000710218j -0.00524881+0.000727815j 0.00272361+0.000337455j -0.00292818+0.000195395j -0.0116909+0.00129578j -0.00316004-0.000358962j -0.012131+0.000575217j 0.00902187-0.000275408j -0.00829103+3.47199e-05j 0.00639358+0.000659971j -0.0290437+0.000593973j -0.000849273+0.000412555j 0.0128315+0.000344297j 0.00839337+0.000577814j 0.0108119+0.000183767j 0.00650524+0.00143266j -0.0045969-0.000572642j 0.00804132+0.00229133j 0.0272586-0.00223556j -0.0273545-0.000502269j 0.00456275-0.00247455j 0.0259176+0.00140939j 0.0384445-0.0022632j 0.919636-0.00325635j -0.0121533+0.00217709j 0.000206615+5.26994e-05j -0.0164985+0.00428165j 0.0143466+0.0027766j -0.0116842+0.00343331j -0.00200562-0.00104298j 0.00446658-0.000495808j 
0.0014822-0.000238502j 0.00179476-0.00034132j -0.00724479+0.000478332j 0.00128087-0.000482078j 0.00102113-0.00083453j -0.00348061+0.00039924j -0.00706153-0.000170344j -0.00368439-0.000629642j -0.0107065-8.10441e-16j -0.00307532-4.44464e-05j -0.00344685-0.000502338j 0.000151727-0.00018227j 0.0081831+0.000189534j 0.00887991+0.000705444j 0.0111429+0.00020921j -0.00992452+0.000578829j 0.00852727-0.000163122j 0.00977085-0.000414973j -0.00821284+8.86659e-05j 0.0179881-0.000716773j -0.00912222+0.00063613j 0.00979401-5.92828e-05j 0.00961021-8.21873e-05j -0.00526636+0.000405505j -0.00141038+4.30374e-05j -0.0027903+4.42267e-05j 0.00642839-0.000414576j 0.00932165+0.000193192j 0.00314247-0.000423593j -0.00220934-0.000841716j -0.00555114+0.000190796j 0.0128002-0.000362276j 0.00387085-3.24116e-05j 0.000863386-0.000582495j -0.00477674-0.000136023j 0.0182617-0.00164563j -0.00541533-0.000931794j -0.0274312+0.000402526j 0.00700182-0.00072868j 0.00929443-0.000733678j -0.0455025+0.00124564j 0.0384816-0.000300977j -0.0659155+0.001055j 0.0150158+0.00093978j -0.00609275-0.000486601j 0.0656416+0.00113694j 0.0705082-0.000401149j 0.92952-0.000865631j -0.0199234-0.0026546j -0.0124688+0.00113086j -0.000767008-0.00286023j -0.0162393+0.00252093j -0.000265642-0.000429793j 0.00543082-1.57236e-05j -0.00271897+0.000149238j -0.00292732-0.00133908j 
-0.00226603-0.000158492j 0.00164925-0.000244841j -0.00302073-0.000217246j 0.00627399+4.33927e-05j -0.000641097-0.000191866j 0.0016164-0.000117417j 0.00700965-1.58006e-05j -0.00805006-0.000456248j -0.00307532+4.44464e-05j 0.0105922+1.36371e-15j -0.0137744-0.000270456j -0.00336351+5.80825e-05j 0.00683498+0.000695866j 0.0093047+0.000876293j 0.0130108+0.000250311j 0.0043822-3.42044e-05j -0.00858137-0.000155669j 0.000646262-0.000197151j -0.00892566-0.000100885j 0.00615911-0.0001679j -0.00246156+0.000490487j -0.000605808+3.94709e-05j 0.00247002-0.000176381j 0.00178441+0.000404987j 0.0140904+0.00106443j 0.00532513+0.00041634j -0.00511738-0.0016074j 0.00698114-0.000745945j -0.0135217-1.85583e-05j 0.00859408-0.000412j 0.00329352+0.000996488j -0.0132952-5.35535e-05j -0.0231893-0.000268577j 0.00775534-0.000197173j -0.0275068+0.000163565j 0.00692289+6.14797e-05j 0.0323341-0.0008566j -0.0137384-0.000787288j 0.0242392+0.000857641j -0.0183726+0.00111292j -0.0539071-0.00149595j 0.0073022-0.000631308j -0.039065-0.00194511j -0.000855114-0.000606245j 0.0259489+0.00106494j 0.145074+0.000122975j 0.91672-0.00345556j -0.0746834-0.000183209j 0.00152504+0.00108837j -0.00362514+0.00124337j 0.00583235-0.00114579j -0.0129702-0.000822092j -0.00438033-0.000939825j 0.00113835+0.000630202j 0.00337039+0.00143761j -0.00190503-0.000460595j 
-0.000467845+0.000409695j -0.00491319-1.94217e-05j -0.00397474-0.000509974j -0.00990482+0.000109555j -0.00856535+2.00608e-06j 0.0065506-0.000314955j -0.00443719-0.000229098j -0.00702014-0.000446726j -0.00344685+0.000502338j -0.0137744+0.000270456j -0.00688321+2.68036e-15j 0.00158193+0.000246355j 0.00872661+0.000512369j -0.00267591-0.000417643j -0.00401396-0.000413309j 0.0124376-0.000304673j 0.000425978+0.000565609j -0.00974045-0.000129694j 0.00157167+0.000137441j 0.00070462+0.000277993j 0.00958448+0.00047647j -0.00373926+0.000724654j 0.00321536-6.92339e-05j -0.00350799-0.000116605j 0.00358688-5.91414e-06j 0.00425073-0.000808935j 0.00602766+0.000341393j -0.0252007+0.000587654j -0.00479364+0.000396951j -0.0173193+0.000944637j 0.0191365-0.000294175j -0.0144789+0.00111124j -0.00296651-0.000522111j -0.0127294+0.000108723j 0.000316215-0.000482612j -0.032436+0.000296378j -0.0544869-0.00153465j 0.00246929-0.0003546j -0.0271891-0.000337502j -0.00421301+0.000413506j 0.0269411+0.00114748j -0.0329382+0.000772657j 0.066957+0.000114392j -0.0485393-0.000588478j 0.341273+7.00148e-06j -0.854701+0.00308049j 0.126626-0.000811067j 0.0477392-0.00116646j -0.0023614+0.00257083j 0.00647002-0.00103013j -0.0164876+0.00116843j -0.000666307-0.00175381j 0.00168192-0.000237581j 0.00708602+0.00211545j -0.000342392-0.000347511j -0.00345752-0.000904569j 
