0.0132112-0.00916869j -0.0111477-0.00819054j -0.0177023-0.0101807j -0.0196022+0.0240281j -0.0103415+0.00847877j 0.00442655+0.00121303j 0.00911226+0.0257015j -0.0152828-0.0104281j 0.0379599-0.0510612j 0.00195213+0.0109806j 0.0403171+0.00362973j 0.0109321+0.00153172j -0.00331333-0.0245807j 0.02113-0.0115651j 0.0109521-0.029662j -0.016852-0.018755j -0.0108866+0.0592636j 0.0230816+0.000224922j 0.00934839-0.0237113j -0.0285517-0.00891337j -0.00227495-0.00763865j 0.0026966-0.0238588j 0.0338946+0.0497034j 0.0101426-0.00797307j -0.00120031-0.0318269j 0.0427648-0.0251821j -0.0275006-0.0142227j 0.0431876+0.0345458j -0.0115839-0.00304308j -0.00803023-0.1228j 0.0714729-0.0224707j -0.0478172-0.016235j 0.076071-0.0287617j 0.0762819+0.0315354j -0.0192326+0.00414082j 0.000298215+0.0668674j 0.0334952-0.0119962j 0.0395289-0.0837608j 0.0260122-0.0562132j 0.0286155+0.0196879j -0.00552144-0.0420366j -0.066577-0.0231079j -0.012135+0.0228581j -0.0204437-0.0133591j -0.0257642-0.00814037j -0.0193497+0.000324505j -0.0158417-0.0201179j -0.0153015+0.0287922j -0.0177155+0.0172039j -0.00883809+0.0265174j -0.00763108-0.015066j 0.0076284-0.00219635j 0.0529862-0.00364201j 0.0259905-0.00750035j 0.00861021+0.0239709j 0.0249337-0.0241958j 0.00626248-0.0285721j 0.00980055+0.0101849j 0.0382291+0.0137079j 0.025234-0.0276571j -0.00612651-0.0136589j 0.00243678-0.0176013j 0.0115455-0.028629j -0.0175698+0.00593765j 0.00546094-0.00323192j -0.0163038-0.033703j -0.00372106+0.0571891j 0.0164458+0.0193528j 0.0246817-0.0137621j -0.085987+0.0190653j -0.0106582-0.00407576j -0.00764077+0.0466421j 0.0369841+0.0219303j -0.00239705+0.0100337j 0.0508659-0.0382464j 0.0118841+0.00563663j 0.0141771-0.00474932j -0.0194739+0.0272884j -0.00758303+0.00329139j -0.000650541-0.00546771j 0.0295908+0.0264437j -0.0237324+0.0127151j -0.00827999-0.00745215j -0.00316137+0.0180961j 0.0138543+0.0157568j -0.00589707-0.0151553j 0.0143511-0.0059837j 0.0313399-0.002678j 0.0225638-0.0305309j -0.050944+0.0298491j -0.00131723+0.0554342j 0.0199634+0.0332191j -0.030782+0.0120452j -0.0235891-0.0830546j 0.0806692-0.0487061j 
-0.0125185-0.00903903j -0.0157994+0.0102096j -0.0183121+0.0214063j 0.0130684+0.021073j 0.00924901+0.0114046j 0.00736987-0.00884385j 0.0171336-0.0114105j -0.0166248+0.0143309j -0.0331243-0.0344657j 0.0165723-0.00189207j 0.00585965-0.0508057j -0.011148-0.0078989j -0.0298809-0.0019741j -0.0159534-0.0190539j -0.0315613-0.00970419j -0.0312258+0.0170258j 0.0489029+0.0100361j -0.00972532-0.0223292j -0.0293571-0.0130468j -0.00500714+0.0346499j -0.0236916-0.00297556j -0.0237429+0.000350739j 0.055524-0.0356081j 0.00160943-0.00279418j -0.0375008+0.00299831j -0.0149364-0.0516549j -0.0150333+0.0303776j 0.0439779-0.0546307j 0.0237846+0.0204593j -0.110852+0.0113375j -0.00708845-0.0721735j -0.0145377+0.0494888j -0.0339686-0.0758919j 0.0388936-0.0790967j -0.00342365+0.0257462j 0.0622471-0.000808242j -0.0162268-0.0301006j -0.0780803-0.0482139j -0.0376412-0.0278989j 0.032787-0.0367752j -0.0328142+0.0104681j -0.0287585+0.0732162j 0.011806+0.00613992j -0.00522468+0.0132155j -0.0160313+0.0311543j 0.000349017+0.0355349j -0.016472+0.00509669j 0.0332078+0.0150172j -0.00298874+0.0188133j 0.0196586+0.0138085j -0.00866858+0.00413226j -0.00564007+0.000841934j 0.011206-0.0452559j -0.00328208-0.021407j 0.0236726-0.0262927j -0.0134299-0.0187153j -0.0304686+0.00251517j 0.013722-0.0057376j 0.0174034-0.0377524j -0.0241024-0.0237475j -0.0123371+0.011252j -0.0215871+5.31246e-05j -0.0271838-0.00731067j 0.00384221+0.0198337j -0.0141891-0.0103298j -0.0423388+0.026285j 0.0710102-0.0100406j 0.0210773-0.0207089j -0.0192481-0.0183844j -0.00819169+0.0832592j -0.0159346+0.0120212j 0.0473221+0.00290924j 0.0389976-0.0282632j 0.00976256-0.000745509j -0.0310329-0.0343288j 0.012103-0.00765667j -0.00457236-0.0184526j 0.0238621-0.000151167j -0.0023462+0.0124546j -0.00556921+0.00199196j 0.0420787-0.0187397j 0.030124+0.0143977j -0.00369157-0.00622608j 0.0153417+0.0198776j 0.001089-0.013227j -0.00449494+0.00472908j 0.0395795-0.0113573j -0.00925195+0.0258247j -0.00287359+0.00753181j -0.000563257+0.0535461j 0.0558599-0.020703j -0.00484645-0.0155804j -0.00791693-0.0425062j -0.0791675+0.0450933j -0.0274582-0.0808647j 
-0.0177112-0.0079856j 0.00295488+0.00856213j 0.00513374+0.014288j -0.00127459+0.0257039j 0.0325189+0.0084227j 0.00606491-0.0119928j -0.0103016-0.00352254j -0.000275394+0.0164701j -0.0124812-0.0638501j 0.0280047-0.0106331j -0.040475-0.00282333j -0.0431717+0.0222859j -0.0248394-0.0148882j -0.0150504-0.0215978j -0.00939452+0.0223934j -0.016751+0.0353738j 0.0250951+0.068855j -0.0220741+0.0291371j -0.0519188+0.00655502j 0.0328013+0.00359889j -0.0399537+0.0406128j 0.00264109+0.00186412j 0.0144391-0.0190083j 0.00844401-0.0213693j -0.0243898+0.0222405j -0.0399398-0.0607445j 0.00507994-0.0125408j -0.0255959-0.07862j 0.00849922-0.0960737j -0.0472346-0.0321031j -0.0106174-0.000610752j 0.00206705-0.0155763j -0.0715249+0.0519354j 0.0148419+0.00295932j -0.00291713+0.0320705j 0.0598902+0.00553974j -0.0149162+0.00766945j -0.0655363-0.0112311j -0.0528966-0.039739j -0.0216243-0.0400113j 0.0514935-0.00705336j 0.0309368+0.0597883j -0.037457+0.0070968j 0.00121334-0.0175025j -0.0111793+0.040303j 0.00916606-0.00393476j -0.00225152-0.0345416j 0.018561+0.0140654j 0.000158569+0.0477173j -0.00174249+0.0612528j 0.00951301-0.00836427j -0.00399636-0.0017609j -0.0313858-0.0484713j -0.0285767+0.0232611j -0.0481038+0.0259755j -0.0173731-0.00781841j -0.000597156-0.0155259j -0.000797496+0.00922685j -0.013881-0.0393648j -0.0324444-0.0152455j -0.0028767+0.00172611j 0.0109885-0.00913711j -0.0125618-0.0242303j 0.0324173+0.00627454j -0.0260994+0.0148201j 0.0410193+0.00987601j 0.000127044-0.0132495j -0.00601479-0.0210393j -0.00326839-0.00447276j 0.0350368+0.0523299j 0.0113915-0.00243719j 0.00543122+0.0150248j -0.00139781-0.0317142j 0.00868275-0.018674j -0.00373534-0.046964j 0.0065513-0.0130872j -0.0105195-0.00777331j -0.000546837+0.0123859j -0.0110881+0.024917j -0.0016+0.00360299j -0.0125776-0.000201116j 0.00169791+0.0085991j -0.0143931-0.0194546j 0.00835664+0.0127034j -0.0193719+0.053116j 0.00702446-0.00130409j -0.00365479+0.0206778j -0.0208635-0.0306366j 0.0210492-0.010257j 0.0254716+0.038715j 0.0255238+0.0274435j 0.00481362-0.063906j -0.0684523+0.0686606j 0.0451726-0.00759014j -0.020694-0.0395911j 
-0.0156536+0.00293941j -0.015309-0.0175081j -0.0135902-0.0267282j 0.0264252-0.00637677j -0.00886807+6.22569e-05j 0.018527+0.0219294j 0.0194634+0.0169118j -0.00207999-0.0279873j -0.0282557-0.00452837j -0.0011143+0.0182509j 0.0417615+0.0189049j 0.00162037-0.0332175j 0.000769421-0.0185601j -0.0106891-0.00449236j -0.0157338-0.0259535j -0.0231162-0.0272258j 0.0243434+0.0310166j 0.0220533-0.00367964j -0.0137865-0.0299791j -0.0298717-0.00964563j -0.0164268-0.0214728j -0.0143165-0.0129136j 0.0517214+0.0341998j -0.00691375-0.0192048j -0.0234401-0.040891j 0.043646-0.00963976j -0.029006-0.016948j 0.0714565+0.0492935j 0.0321617+0.0416866j -0.0830633-0.0894964j 0.0290343-0.0165109j -0.0221331-0.0168504j -0.00487026-0.0526999j 0.0495463+0.0390025j -0.0216907-0.0275113j 0.0272343+0.0613266j 0.0174887-0.0110851j -0.0165152-0.0592899j -0.00362995-0.0390313j 0.0387257+0.0288217j -0.0342913-0.00150195j -0.0677347-0.0171932j 0.01351-2.16667e-05j -0.012923+0.00424562j -0.0526699-0.0267841j -0.0292659-0.0157642j 0.00982124+0.00605349j -0.00738722+0.024832j -0.011727-0.0131095j -0.0325287+0.00375408j 0.0206407-0.00267121j -0.0023683-0.00893456j 0.0143004+0.0160334j -0.0481177+0.00481264j 0.00522428+0.000516688j -0.00687625-0.0113272j -0.00939158-0.0241543j 0.00779034+0.0137163j 0.0217117+0.0174868j 0.00111562-0.00899206j -0.00193029-0.014594j -0.0177212-0.00823123j -0.00531922-0.0170512j -0.0203063+0.0129233j 0.00264527-0.027077j -0.042979-0.025854j 0.0423873+0.0582142j 0.00489962+0.027022j -0.00189491-0.0153307j 0.0337257-0.0198891j 0.0047781-0.00345874j 0.0298865+0.0288241j 0.0159237+0.0358586j 0.00189066+0.0156057j -0.0259205-0.0104992j 0.00347061+0.0206602j -0.0180645-0.00156222j 0.0142853+0.00101332j 0.00821304-0.0189975j -0.0195677+0.00134669j 0.0138122+0.0270568j 0.0207066+0.00713425j 0.000280975-0.00580449j 0.0168694+0.0291443j 0.00387997-0.00121608j -0.0219212+0.00387723j 0.0205918+0.0363522j 0.0103061-0.000733707j 0.0093092-0.0134056j -0.0361902-0.0280967j 0.025003+0.0754736j 0.043725-0.00195905j -0.000214114-0.0251553j -0.0199838-0.0435426j -0.0715746+0.0137966j 
-0.00517277-0.0106293j 0.0167989-0.00993747j 0.0251951-0.0048905j 0.0165098+0.00893008j 0.0138339+0.0242659j 0.00267083+0.0143225j 0.00106108+0.00624377j 0.0229977-0.00693543j -0.0138286-0.00301608j 0.00863875+0.0259612j -0.0269824-0.048057j 0.0189746-0.0357069j 0.0286177+0.0125912j 0.0137413-0.0121811j -0.0183001-0.0200046j 0.0113354-0.00835989j -0.00363604-0.0181283j -0.0153837-0.0459597j -0.0109714-0.0351681j 0.020086+0.0428031j 0.0236362-0.0325416j -0.00500263-0.0156093j -0.0207973-0.0263793j 0.00252444+0.00383281j 0.00549135-0.0180044j -0.0209745-0.0101586j 0.0303277+0.0487282j 0.0142831+0.0027673j 0.0352199+0.0660958j -0.0283116+0.0255608j -0.08504-0.0512468j 0.0378647+0.0366313j -0.0749456-0.111571j -0.0471731-0.0497599j 0.0089615-0.0141191j 0.020758+0.0197376j -0.0252183-0.0422943j -0.0642137-0.0383959j -0.0317967-0.0197996j -0.00147554-0.0119369j -0.0153163+0.0413684j -0.0270745+0.053451j 0.0120742-0.00729108j -0.00767942+0.0337615j 0.00159748-0.00236351j 0.0337708+0.0365155j -0.0176909+0.0440573j -0.0101114+0.0181417j 0.0319231-0.0150278j -0.0157389-0.0105702j -0.0140027+0.00538833j 0.029073-0.0125701j 0.00114915-0.0200089j -0.0323057-0.0194657j -0.00593182-0.0334501j -0.0334656-0.00840585j 0.00754727+0.00782629j -0.00921648-0.00704085j -0.0308292-0.00519294j 0.00737281-0.0108583j -0.00953575+0.00802594j 0.00719208+0.000103251j -0.0143663+0.00515453j 0.00566807+0.0164809j 0.0199399-0.0364451j 0.0069886+0.015165j -0.0244339+0.0139655j -0.0328604+0.00883063j -0.00685055-0.0299063j 0.0399316+0.0445865j 0.00505698+0.0132766j -0.0148277-0.000411983j -0.0360533+0.0052348j 0.0010243+0.00695822j -0.0105185-0.0175463j -0.0155019-0.00534634j -0.0158114-0.0154498j -0.0180234+0.00881881j 0.0123622+0.000971052j 0.00759982+0.03731j -0.0356347-0.016095j 0.00480327+0.0171851j 0.028137-0.00427753j 0.0102441+0.00957739j -0.0202094-0.0630774j -0.00735099+0.0224799j 0.00954463-0.0244386j -0.0108481-0.00571818j -0.0257043-0.0142423j 0.0283914+0.0651387j 0.022977+0.0063148j 0.00979392+0.0177257j 0.0136228-0.0293574j 0.0708192+0.000122147j -0.0101472-0.0259608j 
-0.0136725+2.90226e-05j 0.0126975+0.00873234j 0.0110886+0.013384j 0.0291142+0.0216024j 0.0114147-0.00576437j -0.0160897-0.00188866j 0.0108721+0.0115698j 0.0227937+0.0303277j -0.0669922-0.026819j 0.00365952-0.0109064j 0.0150686+0.00361198j 0.0365966+0.0339781j -0.00189479+0.0300519j -0.0033734+0.0149386j 0.0217872-0.0277116j 0.0275882+0.0153203j 0.0754105+0.00610204j 0.0586872+0.000180874j 0.00790621+0.0290994j -0.0249199-0.0204522j 0.0672058+0.0588728j -0.00133429-0.00968823j 0.00637895-0.00645084j -0.02047-0.00314265j 0.0370452+0.02007j -0.0674367+0.00226704j -0.0357635+0.00538438j -0.0697794+0.0337442j -0.150683+0.0167657j -0.0761129-0.0250277j 0.0060928-0.0645532j -0.0297581+0.0372155j 0.0815703-0.0227402j 0.0480303-0.052856j 0.0405034+0.0245007j 0.0264655-0.0156405j 0.0267648-0.0133927j -0.034357-0.0303672j -0.0467222+0.0136613j -0.0245261+0.0223294j -0.0309628-0.0712712j 0.0123376-0.0554481j 0.0186156+0.0480286j -0.0390476+0.00355233j 0.0283899+0.0123958j -0.0165113+0.00833288j -0.0565477-0.00933297j 0.00595568-0.0109973j 0.0603472+0.0192744j 0.0526302-0.0164145j -0.026092-0.0171488j 0.0128279+0.0261171j -0.0629399+0.0116733j 0.0197497-0.0147842j 0.0386071+0.0289335j -0.0360207-0.0172558j -0.0170144-0.00327815j 0.00265313-0.0067727j -0.0316259-0.0127502j -0.0349802+0.0254477j -0.0091287-0.00345692j 0.000139245-0.00643111j -0.0337651-0.00572461j 0.00945163-0.0120009j 0.0386146+0.0371093j 0.0173694-0.03111j -0.0152467+0.0195118j -0.0207024-0.00042962j -0.000439515-0.0194766j 0.0268654+0.0223819j 0.0124543+0.00339472j 0.0334555+0.00230551j -0.0386881-0.0236043j -0.00339452-0.00261548j -0.0645802-0.0186588j -0.00307509-0.0163095j -0.0125098-0.0133553j 0.0113904-0.00323058j -0.00625472-0.0070488j -0.00587383-0.0141013j 0.0156939+0.0115738j 0.0240499+0.0182952j 0.00314445+0.0213673j -0.00605536-0.00395301j 0.0687216+0.00831446j -0.0151547-0.045392j -0.0112864-0.00985989j 0.00148683-0.0215263j 0.00767206+0.00661597j 0.0231222+0.0237797j 0.0388134+0.0214749j -0.019606+0.0263241j 0.0506958+0.0459177j 0.0139235+0.0153829j -0.0415562-0.0296719j 
0.022518-0.00696727j 0.00846332+0.0152722j 0.030083+0.0109097j 0.00550985+0.0170912j -0.0117151+0.00404909j -0.0210949-0.00390376j -0.00468301+0.0303833j 0.0171932+0.0181876j 0.0250528-0.0161362j -0.00745031+0.00490672j -0.0461198-0.00208959j 0.0524967+0.0205123j 0.0203366+0.0316798j 0.0325964+0.0388547j 0.00377398-0.0518813j 0.00307404+0.00681133j -0.0608918-0.00345092j 0.00256099-0.00233625j 0.0431134+0.00702941j -0.0055868-0.0167631j 0.0626112+0.0172855j 0.0232064-0.0288349j -0.0072637+0.0425166j 0.0693378-0.00233036j 0.0578345+0.00585555j 0.0235644+0.0316336j 0.0216802-0.0078806j -0.0209931+0.0791414j 0.0253919+0.0198768j 0.0556939-0.0488777j -0.0560509-0.0393746j 0.0554177+0.0158926j 0.000894838-0.0295218j -0.0900507+0.000463041j 0.0587141+0.00932372j -0.047895+0.0223289j -0.022495-0.00932638j -0.00576707-0.0417643j 0.0447431-0.0261376j 0.0140043-0.0070789j -0.0443731-0.00126388j -0.0545291-0.0171138j 0.0307824+0.00572118j -0.00237815-0.0141211j 0.0416794-0.0211403j 0.0520962-0.00298728j -0.0397088-0.000173083j -0.0402995-0.00859865j 0.0179903+0.00149803j -0.0292148-0.0102382j -0.0217188-0.00423967j 0.0415546+0.00945887j -0.011567+0.0151234j -0.0331514-0.0271601j -0.0124828+0.0132927j -0.0420943-0.0205171j 0.00652312-0.00509445j -0.0113031-0.000234363j -0.0364338+0.0109372j -0.0239381+0.0208987j 0.00242819-0.00811914j -0.00947799+0.000428321j 0.0129677-0.0149787j -0.00823987-0.011122j 0.000877378+0.0137414j -0.00756132-0.0261413j -0.00709068+0.00858388j -0.0267433+0.0019401j -0.00528617-0.00638075j 0.00244154+0.0380704j 0.0150144-0.00565983j -0.0231776+0.00750903j -0.00114085-0.0147397j 0.0154165+0.0176736j 0.00455136-0.0190984j -0.00125389-0.00407263j -0.00537729+0.00608478j -0.0141249+0.0243317j 0.0209119-0.00260292j -0.00143769+0.0072737j -0.0334946-0.00981284j 0.00942412+0.000108345j 0.0328929+0.0354343j -0.016877+0.00993049j -0.00633437+0.00472163j -0.0179701-0.0234886j -0.008177+0.0333322j -0.00855523-0.00393667j 0.0182407-0.0309413j 0.0301144+0.0194716j -0.0280884+0.0126631j 0.0242049-0.00131005j -0.0203459+0.0226559j 0.0372291+0.006481j 0.0131641-0.0302667j 
-0.00284928+0.00900694j -0.00595266+0.00543412j -0.00289485+0.0111103j -0.0174695-0.00991011j 0.000407768+0.00607062j 0.00485493-0.0124861j -0.0223127+0.0115891j 0.00737821+0.00781939j 0.0269855+0.0295183j -0.0209381-0.022263j -0.00743396-0.0356352j -0.016211+0.0137187j -0.0249893-0.00455366j -0.0126463+0.0507474j 0.028407+0.0402233j -0.03995-0.0105717j -0.0160468-0.0116187j -0.0290757+0.00727304j 0.00722564+0.00846569j -0.0104189-0.00478898j -0.0496359+0.0713717j 0.0116123+0.0738538j 0.00346597-0.0422944j 0.0259767-0.0469414j -0.0419837+0.00280665j 0.056424+0.0113726j -0.0483099-0.0255841j -0.0719535-0.0708465j 0.0809171+0.011443j -0.0117058+0.0120537j 0.0312601-0.10419j -0.00941027+0.0839641j 0.012346-0.0989256j -0.0113452-0.0837706j -0.0183408+0.0301947j -0.0244547+0.00292885j 0.00518686-0.0174238j 0.0600978-0.0343212j 0.0262244+0.0217082j 0.0334484-0.0106414j -0.00580265+0.0203902j -0.0170585+0.0338705j -0.0178328-0.0146085j 0.00930978+0.0262637j 0.00386334-0.0085164j 0.00598186-0.005616j 0.00504752-0.0141335j -0.00184384+0.00213955j -0.0292882+0.0161312j -0.00649768-0.0165631j 0.0169678+0.00139753j -0.0157606+0.0127972j 0.0207049-0.0244731j 0.0152802-0.00556534j -0.019343-0.0133111j 0.0484322-0.0163836j 0.0206424-0.00389361j 0.0222538+0.00617746j 0.0158428-0.0473258j 0.00907104+0.00341025j 0.0292968-0.0211937j -0.00800604+0.00227459j 0.0413019-0.0252258j -0.0213974+0.0220291j -0.0292719-0.00244889j -0.0030734+0.0150385j -0.0209438-0.00893664j -0.00215729-0.0224731j 0.00144037+0.0152096j -0.0175775+0.0223677j -0.0102082-0.000291927j -0.0190702+0.00264036j 0.00903802-0.0102689j -0.00835475+0.00272833j 0.020048+0.0259319j 0.0106615-0.00432229j 0.0117864-0.0125759j -0.00152603-0.0159039j 0.00624539+0.0129279j 0.00852112-0.0176938j 0.00517244-0.0588257j -0.0051012+0.00366276j -0.0214098+0.00330095j -0.00973445+0.00263611j -0.0339518-0.0365069j 1.65987e-05+0.00246935j 0.0124156+0.00200441j 0.0291675-0.0570445j 0.0121668+0.0218363j -0.0230118+0.0183605j -0.020875-0.0231158j -0.0244506-0.0134377j -0.00236302-0.00632233j -0.00207541+0.0468312j 0.024928+0.0173989j 
0.00197805-0.00103253j -0.00415886+0.00266247j -0.0136818+0.000760884j -0.00874898-0.00748423j -0.003646+0.0225615j 0.00275908+0.00879856j -0.0014339-0.0318712j -0.0117894+0.014669j 0.0303076-0.0189316j 0.00967545+0.0148121j 0.0106485-0.0532615j -0.0299558-0.0480581j 0.00718399+0.00247527j -0.0019068-0.0428394j 0.026175-0.0424183j 0.0123302+0.00996855j -0.0246923-0.0049572j 0.0207816-0.057912j -0.0144733-0.0187598j -0.0172031+0.0586152j -0.0227257-0.0548045j -0.00122615-0.0458117j -0.000254266-0.0109792j -0.0415612+0.0339001j 0.00286688-0.0214921j -0.0332898-0.0625232j 0.0293079+0.0506211j 0.00512311-0.00450885j -0.0154139+0.0422678j 0.0608433-0.00627339j 0.0364231-0.0332762j -0.0136837+0.0107839j 0.0179392-0.0403111j 0.0265043-0.0269538j -0.0174714-0.00669326j -0.00923601+0.0130738j -0.00516771-0.0443608j 0.0527554-0.03278j 0.0328621-0.0294393j 0.00117112+0.0012544j 0.012482-0.013733j 0.00897378+0.000749025j -0.0221147+0.00763173j 0.0150209+0.00122318j -0.0061974+0.0258543j -0.0178217+0.0331871j 0.0381951-0.0036331j 0.000750299+0.0130959j -0.014487+0.0129712j -0.0128725-0.00108386j 0.0308581-0.0014119j -0.02899+9.27409e-05j 0.00338907-0.007296j 0.0119662-0.0163059j -0.0117176-0.036131j 0.016823-0.00835107j 0.0163699+0.00205213j -0.0136448-0.0146491j 0.00527856-0.00432786j 0.00913668-0.0415394j 0.00212166+0.0149485j 0.0178576+0.0041373j 0.0137532+0.0118514j -0.00418066+0.0173383j -0.0125794-0.0127261j 0.0218328+0.0283102j -0.0170661-0.00670004j 0.000286286+0.00018315j 0.0205771-0.00389177j -0.00967297+0.0350989j 0.000784093+0.0130545j -0.0186993-0.0137592j 0.00679103-0.000776445j -0.015738+0.00576644j 0.024083-0.0212004j -0.00206459-0.00453901j 0.0154085+0.00277633j -0.00143715-0.00205262j -0.00331444+0.00403502j 0.0109798+0.00520637j -0.00940491+0.00212858j -0.0209024+0.0182302j -0.0148996-0.0171738j 0.000473937+0.00814575j 0.00280784-0.0317958j 0.0198461+0.0218772j -0.00862992-0.00895583j -0.0100862+0.0255542j 0.00444456-0.00211613j -0.0196527+0.0302645j -0.0157516-0.0147972j -0.0214949-0.0292329j -0.00146699-0.040053j 0.00938585+0.024413j 0.0257354-0.0238959j 
-0.00423728-0.00623881j 0.00211178-0.00774076j 0.000727978-0.00672839j -0.0124485+0.0203j 0.0142241-0.0122407j 0.0128722+0.0238598j -0.0283091+0.0102123j -0.00176018+0.00694421j 0.00439016-0.0146728j 0.00254013+0.00376925j -0.0581488-0.00901632j -0.0684885-0.0124129j -0.0152858-0.0191537j -0.0316033-0.0120708j 0.0190615-0.0273678j -0.0215901-0.0508813j -0.0106901+0.0276294j -0.0656428-0.0191308j -0.0373353-0.0304043j 0.0487333+0.00482531j -0.0489411-0.00941318j 0.00998052+0.0204518j -0.0527717+0.0447487j 0.00489349+0.0399257j -0.0257659-0.0280481j -0.0162851+0.0441963j 0.0231897-0.00988953j -0.0780501+0.0526021j 0.0335325+0.0626498j 0.0504607-0.104699j -0.0339169+0.00639137j 0.0371684-0.0134318j -0.0541995-0.0062222j -0.0387652+0.0232647j -0.0219411-0.00518427j -0.00911491+0.0328055j -0.036051-0.00699137j 0.00940355-0.0460979j 0.0119155-0.00951437j 0.00141843+0.0453165j 0.0277011-0.0660021j 0.0644794-0.0998636j -0.0162561+0.0169659j 0.0396993-0.00824915j 0.00377208-0.0414311j 0.0159662-0.000224245j 0.0538806-0.0353089j 0.0446795-0.00759082j -0.0195603-0.00280638j -0.000897709-0.0356026j 0.0375702+0.0033638j -0.0257073+0.0168641j -0.0228677+0.0239288j 0.006455-0.0489239j -0.0422219+0.010751j 0.0190365-0.00351212j 0.0046222-0.0063322j 0.00332018+0.0037477j -0.0199753+0.0035972j -0.0207805-0.0259998j 0.0184116-0.00463528j -0.00313955-0.0251139j 0.0104318-0.0111898j 0.0237933-0.0133183j -0.0374302+0.00157744j 0.0256728-0.0429703j 0.000364128+0.0508922j -0.00651811+0.0044369j -0.00576064-0.0181013j 0.0384987+0.00308064j 0.00700421-0.0155745j -0.00345338+0.0260673j -0.000284502+0.0392131j -0.00717555+0.00779246j -0.0171328-0.00303815j 0.0261749-0.00648753j -0.000144175+0.00040259j 0.000191114+0.0035057j -0.00819137+0.00953181j 0.000243656-0.00903572j -0.0249704+0.0215941j -0.00373055+0.0228654j -0.0116434+0.00279227j 0.00610037+0.0280027j -0.0116135-0.0398884j 0.0114012-0.0230233j -0.00689719+0.0159077j -0.011861-0.00571594j -0.00580804+0.0136787j 0.00152034-0.00193185j -0.0160518+0.0525114j -0.0535656+0.0393802j -0.0380253-0.0165221j 0.0162743-0.0478862j -0.0165451-0.0321903j 
0.00754713-0.0127115j 0.000873268+0.00642459j 0.00238938+0.0186825j -0.0191467+0.0129367j -0.00662094+0.0231958j -0.0143103+0.00702901j -0.00441863-0.00944234j -0.0168064+0.0063722j 0.0308987-0.0201951j -0.011239+0.0146616j 0.00417564-0.0360288j -0.00625576-0.00629932j 0.013297-0.00560689j 0.008985-0.0198461j -0.00939603-0.0151673j 0.0264053+0.00997172j -0.0346487+0.0141673j 0.00240208-0.0278159j 0.0213517-0.0167312j 0.00735316+0.0158285j -0.0254608-0.0303652j -2.58515e-05-0.0204743j -0.00727888+0.00498521j 0.00722772+0.0159008j 0.0224186-0.000830916j -0.00351481-0.0455142j 0.0418101+0.00793198j 0.0406474-0.00664516j -0.021445+0.0249055j 0.113504-0.0455481j 0.0171613-0.0448981j 0.00726859+0.00759746j 0.0274091-0.0694978j -0.00942973-0.0270061j 0.00463217+0.00417807j -0.0610331+0.0425743j -9.1696e-05-0.022086j 0.0523955-0.0670079j 0.0412828-0.0363269j -0.0267804+0.00101962j 0.021036-0.00640676j 0.0188314-0.00670776j 0.00971575+0.000976548j 0.0123932+0.000922024j 0.00114443+0.000677685j 0.00252772+0.0166911j 0.0244797-0.00519754j -0.0271248+0.00562267j -0.00624129+0.0121656j -0.0103258-0.00702912j 0.00226901+0.00809351j -0.0047814+0.00804936j 0.00419813-0.00242851j 0.0185715-0.0368848j -0.0140532-0.0207228j 0.0193237-0.0305098j 0.00883347-0.00650895j -0.0191459-0.00844313j -0.000486982-0.00711729j 0.00796424-0.0285111j 0.0123944-0.0028075j -0.00304619-0.00262853j 0.0107655-0.0133428j 0.0056349+0.0098463j 0.00433894+5.36921e-06j 0.00587023+0.00146746j -0.0283401+0.0164882j 0.00908241+0.0053205j -0.0145616-0.00594271j -0.0140795+0.0356866j -0.00513084+0.0185179j -0.026296+0.0175968j -0.00533695-0.00734056j -0.00532557+0.00799818j 0.0272953-0.0209057j -0.00944583-0.00940122j 0.0168897-0.00832253j -0.0166295+0.00197574j -0.0109055-0.00275782j 0.0275347+0.00628393j -0.00481824-0.000390197j -0.0245413+0.0238837j 0.00876728+0.0142573j 0.00857003+0.0189282j -0.0176265-0.033168j -0.0080451+0.00385061j -0.00361588+0.0144537j 0.0141392-0.00318828j -0.00315465-0.00201383j -0.0124999+0.0381161j -0.0146072+0.00987484j -0.0253341-0.017576j -0.00806346-0.0224055j 0.011017+0.0286807j 0.0165249-0.0321314j 
