-0.170977+1.93678e-13j 0.0596391-0.00249458j 0.021379+0.0289607j 0.100432+0.134497j -0.0172286+0.0468861j -0.0244476-0.0391405j 0.0266502+0.102399j 0.0272497+0.0424839j 0.00272831-0.0325261j 0.0223133-0.0716563j 0.0198225+0.000972142j 0.0153738+0.0276212j -0.00854476+0.0470908j -0.00993109+0.0212789j 0.0129524-0.0542342j -0.0225192-0.00468833j -0.00212181+0.0101582j -0.0376626-0.0085315j 0.0116063+0.00207566j 0.0268741-0.0150593j 0.0479424+0.0406476j -0.0109568+0.0206797j -0.0946905-0.000282241j 0.054569+0.0733301j -0.136954-0.0412114j 0.0803723-0.15721j 0.115791+0.0493872j -0.00108318+0.111681j 0.0555006-0.0422227j 0.0341141+0.0581621j -0.126011-0.0337091j -0.0183884+0.017206j 0.0746697+0.0813242j -0.0382192-0.0544826j -0.000363195+0.0469817j -0.0438024+0.00863356j 0.0158113+0.00576315j 0.0128755+0.0812655j 0.0281352-0.0437052j 0.0157329-0.0497259j 0.00583415+0.00339865j 0.0267455+0.0505585j -0.00616962-0.0153444j -0.00196048+0.00238728j 0.00638141-0.00138647j -0.0258898-0.00877795j -0.0248177+0.0302845j 0.00540127+0.0204497j 0.00283859-0.00625132j -0.00496568-0.0195929j 0.0193311+0.0166359j -0.016524+0.0450581j 0.03326-0.0344175j -0.0136749+0.0339929j -0.0436565-0.0332642j 0.0095229+0.00531276j 0.000406439+0.0295879j -0.00892553+0.00277556j -0.0400969+0.033314j -0.0157575-0.00261993j 0.0199886-0.0306937j -0.0330935-0.00443798j 0.0126073+0.0342729j 0.0245956-0.0507418j -0.110781+0.156238j -0.175783-0.184324j 0.229734+0.0551573j -0.0551927+0.109831j 0.0605754-0.163468j -0.0250325-0.0222403j -0.0107656-0.000563402j -0.176598-0.0768448j 
0.0596391+0.00249458j 0.177877-1.05471e-13j -0.117805-0.105725j 0.00306813+0.00030391j 0.0201356+0.0509367j -0.0247103-0.0419134j -0.0213552-0.0175146j 0.00740616-0.0662216j 0.0443181-0.0484428j 0.0295277-0.0381053j 0.0126859-0.0121881j -0.00767743+0.0551979j -0.0230309+0.00766249j -0.011914+0.0338306j 0.0433834-0.0689265j -0.00214387+0.0204575j -0.00806084-0.00668541j 0.0806865-0.0329268j 0.0185766-0.0131282j 0.00298212-0.0167808j -0.0576914+0.0435726j 0.049558+0.00228579j 0.03288-0.0550189j -0.0700905+0.0215152j -0.0206548-0.156789j 0.11002+0.108486j -0.0601357+0.122364j -0.125289+0.00119581j -0.0228707-0.0490946j 0.0497085-0.0308073j 0.0217213-0.0104298j -0.134598-0.0307656j -0.0388442-0.0426999j -0.0656743-0.0893211j 0.00909303-0.0442216j -0.0136274+0.0288987j -0.0450194-0.0564991j 0.00621823+0.045657j 0.000137915+0.00612503j -0.00668787+0.0284343j -0.048246-0.00363412j 0.0134028-0.0189776j -0.00424748+0.00407064j 0.00910702-0.0465224j 0.0273732+0.00100202j 0.027007-0.0359661j 0.0334248-0.0292968j 0.029623+0.0150901j -0.00852688+0.0164101j 0.0283016-0.0216822j -0.011308-0.00809257j -0.0103782+0.0543447j 0.0350073-0.000927987j -0.00625383-0.0119015j -0.0237102+0.0158923j 0.0418272-0.0307565j -0.0234968-0.0470822j -0.0127673+0.0121977j 0.0081169-0.00450933j -0.00776857+0.0136935j -0.0554583+0.0399434j -0.00720821+0.0616209j -0.0790354+0.0403369j 0.0121983-0.0520359j -0.140565-0.0547468j 0.232472-0.092473j 0.0732043+0.225794j -0.076364-0.168253j 0.0115823-0.0144601j -0.0473165+0.115473j 0.185362+0.0822266j -0.0151703+0.00644886j 
0.021379-0.0289607j -0.117805+0.105725j 0.0866764-9.71445e-17j 0.0422915+0.0411119j 0.0638781+0.0825909j 0.0315454+0.0211838j 0.0341875+0.0408606j 0.0507176-0.0948853j -0.0563999-0.0755744j -0.00221101-0.0423733j -0.0661891-0.0621025j 0.0256178+0.0797746j 0.0199953-0.0186627j 0.0206349+0.0340145j -0.104085-0.0166983j 0.025263-0.0510147j 0.0281298+0.00897468j 0.00653547+0.085156j -0.00922095-0.0433454j 0.0436846-0.0420735j 0.0885743-0.0118875j -0.0319212-0.0936028j 0.0651864-0.284323j -0.0663319-0.120585j -0.149253+0.0339814j -0.150898+0.00901988j -0.140552+0.167428j 0.035542-0.0612058j 0.0473433-0.0300707j 0.0246693-0.0567677j -0.00925586+0.0453367j 0.101903-0.124658j 0.0612364-0.0196536j -0.00496432-0.0242148j 0.00936844+0.0110739j 0.0295925+0.0404219j 0.029906-0.0189134j 0.0266262+0.044102j -0.0537733+0.0242359j -0.0300796-0.00810424j -0.00514866+0.043499j 0.0231555-0.0255785j -0.0171068+0.0615047j 0.0172989+0.00891675j 0.0198391-0.0744981j 0.0134491-0.0323165j 0.00598413-0.0790323j -0.0264736+0.00776716j 0.00290281-0.0105836j -0.00386357-0.0280325j 0.0126932+0.0134388j 0.00900399+0.0200318j -0.00783248-0.0181135j 0.00649873+0.024374j -0.00496275-0.037066j -0.00771361+0.0200341j 0.030701+1.14413e-05j -0.00132525-0.0111461j 0.0398695+0.0740716j 0.0293056+0.0197229j 0.069607-0.0163666j -0.0464864+0.0741433j 0.117554+0.0513415j 0.0496643-0.0679428j 0.0681524-0.180199j -0.0472862-0.0286801j 0.0561408+0.0192099j 0.0226967+0.013027j 0.0032785-0.0486393j -0.0259106+0.0548553j -0.0337694+0.0535128j 0.0265797+0.00135249j 
0.100432-0.134497j 0.00306813-0.00030391j 0.0422915-0.0411119j 0.0250878-2.91434e-16j 0.0531563+0.000625663j -0.0648781-0.000554285j -0.0219306-0.035202j 0.0769912+0.0327543j 0.0402934+0.0212533j -0.0164402+0.110416j -0.0276287-0.0102235j 0.0147861-0.000610616j -0.00717735-0.0724229j -0.0174386+0.0593479j 0.0513542-0.0737558j 0.0194867-0.0305956j -0.00107928+0.0298913j -0.0173547+0.0503582j -0.0735051+0.0182639j -0.0615363-0.0344639j -0.013535-0.0810802j -0.133387+0.198388j -0.213995+0.0303013j -0.137804+0.12761j 0.0718465+0.118717j -0.0901246-0.0121328j -0.054958+0.143923j -0.0702431+0.130881j -0.019843-0.126348j 0.00996593+0.00984831j 0.0797281-0.175547j 0.054574-0.0811001j -0.0132796+0.0266375j 0.0592528-0.00801002j 0.043423+0.0367754j 0.0439491+0.00441241j -0.00417333+0.00136113j -0.0152826+0.0446521j -0.0291742-0.0330679j -0.00819487+0.00311436j -0.00038302-0.0135636j -0.0308183+0.0239072j 0.00879356-0.0116821j -0.00343495+0.0261978j -0.0195651+0.0103277j 0.0218604+0.0145159j 0.00956051-0.0205079j 0.0112871-0.00622444j -0.0181892+0.000797578j -0.011978-0.00164969j -0.00910201+0.018978j 0.0035451-0.0508972j -0.0237155+0.033909j 0.0189405-0.0116205j -0.00369241-0.00275065j 0.0348645-0.0206859j 0.0956545-0.0267191j -0.0630441+0.0682475j 0.0879882-0.073344j -0.019759-0.00266433j 0.00415997-0.0245458j 0.0494825+0.0129819j 0.0454421-0.124476j 0.0173949-0.148476j -0.0865733+0.0212826j -0.0196092-0.0617147j -0.0871896-0.0216046j 0.0585563+0.0191424j -0.0301783-0.067563j 0.00755022+0.00289585j -0.0107846-0.0086872j 0.0463883-0.0928333j 
-0.0172286-0.0468861j 0.0201356-0.0509367j 0.0638781-0.0825909j 0.0531563-0.000625663j -0.00116451-1.38778e-16j -0.132772+0.0103431j -0.0401657-0.0490853j 0.091855+0.030034j 0.0210622-0.0164803j 0.000307344+0.0812128j -0.0559219-0.0278706j 0.0723297+0.0130941j -0.0352926-0.00549309j 0.068736+0.0201899j -0.0768657-0.0368917j -0.00351151-0.108761j 0.0831046+0.110899j 0.098114-0.10451j 0.0438571-0.122754j 0.039355-0.0902352j -0.0314228+0.0332045j 0.0311103-0.00193411j -0.182587-0.0357788j -0.0234291-0.153754j 0.258188-0.112946j 0.0602832-0.15398j 0.244345+0.0695099j 0.218678-0.17519j -0.0670258+0.047702j -0.0470325+0.0755135j 0.0947732-0.157362j 0.0300974+0.155125j 0.0119344+0.0404982j 0.0358085+0.0117719j 0.0587122+0.0156941j 0.0471457+0.0153123j -0.00718059+0.0194755j 0.0155818+0.0445411j -0.0197891-0.00519647j 0.00474468+0.024699j 0.0198597+0.0307861j -0.0177069+0.00764823j 0.015546+0.000214302j 0.0132391+0.00798571j -0.0441398+0.0103589j -0.00825673-0.00420186j -0.0369838-0.0283478j -0.0250436+0.0144188j -0.00106666+0.0113005j 0.00146337-0.0366379j -0.00218951+0.010612j 0.0294692-0.00539022j 0.0180936-0.0117275j 0.0117083+0.026932j 0.00544734-0.0661063j -0.0245369+0.0507625j 0.0127968+0.0233153j 0.0688185+0.0428538j 0.0516791-0.0474651j 0.0278367-0.040555j -0.0119664+0.061639j -0.00853236-0.00721031j -0.00192894+0.0721976j -0.0914577-0.0255819j -0.0202651-0.0529696j -0.0343145-0.000946808j -0.0272266+0.0358751j 0.0255477+0.0283488j -0.0363825+0.00208739j 9.77683e-05+0.0106599j -0.0288716-0.0768644j 0.0391712-0.0535378j 
-0.0244476+0.0391405j -0.0247103+0.0419134j 0.0315454-0.0211838j -0.0648781+0.000554285j -0.132772-0.0103431j -0.134094+3.1225e-15j 0.00461386-0.0166938j 0.0344607+0.02174j 0.00382273-0.0252244j -0.0877423-0.063651j -0.0404403-0.00435013j -0.0419037-0.0259407j 0.026401+0.0318084j 0.103824+0.0151393j -0.091973-0.0208935j -0.0390683+0.0192227j 0.112377-0.0532819j 0.00190583-0.145855j -0.0249434+0.198587j -0.0777516-0.0993222j -0.0399263+0.0223732j 0.137551-0.0420389j -0.00911816+0.186107j -0.239421+0.00804082j -0.135138+0.184329j -0.151176+0.120319j -0.125661-0.000103709j 0.0764977+0.175366j 0.113041-0.0535041j 0.117263+0.100754j 0.194276+0.0023604j 0.128665+0.239932j -0.00922465+0.0327793j 0.0788232+0.0769621j 0.0400337+0.0165666j 0.0157463-0.0222542j 0.00244873+0.0276264j -0.0233282-0.0318222j -0.0163311-0.0469206j 0.00484985-0.00236421j 0.0150995-0.00311227j -0.0138579+0.0330037j -0.0148398-0.0383276j 0.014192-0.000501257j -0.000412382-0.0183543j 0.0265662+0.00737343j 0.0140243+0.0387329j -0.0198352-0.0220846j 0.0076107+0.0240944j 0.0120626+0.00842297j -0.0333358+0.00581485j -0.052394+0.0186724j -0.0210859-0.033874j 0.0493917+0.0482768j -0.0311214+0.0180752j -0.00911286-0.0603062j 0.0580262-0.0175627j 0.0419733+0.00957986j 0.00998911-0.0460347j -0.0125361-0.0433j 0.0501174-0.0261847j -0.0299435-0.00896677j 0.0239046-0.0268171j -0.0319327+0.0242154j -0.00648751+0.0651566j 0.0228072-0.0312631j -0.00814364-0.0469761j 0.00592663-0.0165337j -0.0114549-0.00702362j -0.00303691-0.0280901j -0.0284463-0.132527j 0.11765+0.0139073j 
0.0266502-0.102399j -0.0213552+0.0175146j 0.0341875-0.0408606j -0.0219306+0.035202j -0.0401657+0.0490853j 0.00461386+0.0166938j 0.107062-2.16493e-15j 0.034655-0.0945518j 0.0854742-0.0049139j -0.0791513-0.0868939j 0.0529426+0.0616505j -0.0348257-0.071869j 0.0782678-0.019637j 0.0322157+0.065295j 0.0671895+0.044961j -0.0410041-0.0234309j -0.0674662-0.0902224j 0.0509751+0.0704953j 0.09469-0.10588j 0.0389399+0.0125315j -0.129802-0.0714994j 0.0176712-0.0328511j -0.118006+0.173935j 0.157573-0.159656j 0.0589755-0.0502315j 0.146658+0.0481082j -0.041845-0.066664j 0.198085-0.131268j 0.020283+0.176237j -0.152087+0.0765321j 0.228214+0.164731j -0.196027+0.095829j -0.0754957-0.0816045j -0.00619925+0.0592588j -0.00733898-0.0179696j 0.00823223-0.0210212j -0.0314645+0.0150052j -0.0240184-0.0364502j -0.016136-0.00789727j -0.0158413-0.0091832j -0.016079+0.0101047j -0.0344125-0.0125655j 0.0223848-0.00701142j 0.0244253-0.013796j 0.00610931-0.0207198j 0.0293458+0.0107855j -0.00924819+0.0175282j -0.0257551-0.0026986j 0.00688015+0.00745696j 0.0256868-0.0121948j -0.000316507-0.0131081j 0.0321335-0.0315862j -0.0248914-0.0108853j 0.0334681-0.000160147j 0.0509083-0.0365523j -0.0570268+0.0223601j 0.0104633-0.0475445j -0.0281458-0.0926845j 0.0165985-0.0212334j -0.0175416+0.0416933j 0.00111393+0.0197901j 0.0207715+0.00343797j -0.0520259-0.0109674j 0.0142428+0.0104946j -0.0156175-0.00469764j -0.0132337+0.0667718j 0.00285317-0.0229456j -0.0313657+0.00453159j -0.028222+0.0309382j -0.012509+0.011013j 0.108939-0.0344172j 0.0663263+0.109666j 
0.0272497-0.0424839j 0.00740616+0.0662216j 0.0507176+0.0948853j 0.0769912-0.0327543j 0.091855-0.030034j 0.0344607-0.02174j 0.034655+0.0945518j 0.0587875+2.70756e-14j 0.0225215+0.0167367j -0.0299937+0.00978563j 0.0907998+0.0477875j -0.0364405+0.00820976j 0.0870628-0.104322j -0.130403+0.0125791j 0.0578166-0.133754j -0.0623644+0.0918173j 0.0412321-0.102028j 0.0216048-0.0626853j 0.167509+0.0806383j 0.149046-0.111694j 0.205509-0.0850776j -0.122867-0.0409386j 0.00471132+0.00686155j 0.0136409+0.052829j 0.0707852+0.10584j 0.305679+0.144208j 0.153234-0.245694j -0.000863426+0.0530694j 0.140921-0.0231494j -0.176666+0.273799j 0.116327-0.135755j 0.126576-0.00168652j -0.00852806+0.0365745j -0.0300293+0.0112184j -0.0779897+0.0455879j -0.00466041-0.0265945j 0.0334936-0.0343295j -0.0230614+0.0137856j 0.00509737-0.0213966j -0.00698156-0.0265969j -0.0057978-0.0392372j 0.00635315+0.014304j -0.0158941-0.000392132j -0.0283754-0.00485983j 0.0275132-0.0431161j 0.00334731-0.00964418j 0.0114883+0.0131575j 0.00159399+0.0160316j 0.0213636-0.0380569j -0.0128477+0.0341106j 0.00495185+0.0208174j 0.0126459-0.00258389j -0.021846+0.016057j -0.00583262-0.00101981j 0.00800388+0.00324709j -0.0174555-0.0700101j -0.0169786-0.00345191j 0.0226965+0.00994266j 0.0418087-0.0208885j 0.040229-0.00147852j -0.0427331-0.013999j -0.0249278+0.00665594j 0.00337862-0.018305j 0.0472585+0.0145408j -0.0211559+0.0102846j -0.0176446+0.0353064j 0.0402623-0.0227663j -0.0430155-0.00949765j 0.0656351+0.00242626j 0.0328998-0.0901119j -0.0168229-0.0180204j 0.0279368-0.030557j 
0.00272831+0.0325261j 0.0443181+0.0484428j -0.0563999+0.0755744j 0.0402934-0.0212533j 0.0210622+0.0164803j 0.00382273+0.0252244j 0.0854742+0.0049139j 0.0225215-0.0167367j -0.0144847-1.38778e-15j -0.0553259+0.0345126j -0.0845457+0.0448066j -0.0407677-0.07344j -0.0783618-0.0463065j 0.0963145-0.0166792j 0.130604+0.125105j -0.0420181+0.126205j -0.134285+0.0487177j -0.0618147+0.0608873j -0.0973569+0.132657j 0.248382+0.0472873j -0.0426033+0.289496j -0.212587+0.228075j -0.0817806-0.102784j 0.0548617-0.10064j 0.181863+0.068251j -0.0914372-0.153632j 0.0490431+0.0319986j -0.00329395+0.0369512j 0.045332-0.13352j -0.0219303+0.0436887j 0.0173502-0.0350965j 0.0321415-0.0445701j -0.0222004+0.0389731j -0.00635225-0.0294496j -0.0227106-0.00276874j -0.00414814+0.00995695j -0.0247705-0.00821471j -0.00408085+0.0051761j -0.00149206-0.00716554j 0.00636038-0.0269737j -0.00277896-0.0026151j -0.0204792+0.0126873j 0.00351899+0.00465934j 0.00736074+0.00504069j 0.00526828-0.0271734j 0.00191256+0.000681489j -0.000860213+0.00646618j -0.00112134+0.00530131j -0.0125892+0.034057j -0.01995-0.0110709j -0.019864+0.0116015j -0.000225288+0.0099528j -0.0119454+0.0370552j 0.0241885+0.0165984j -0.00782681+0.0290407j 0.0104125-0.00377726j -0.0254245-0.000122951j -0.0188769+0.0212414j 0.0114289+0.0275865j -0.0252589-0.00344558j -0.0254962-0.0288611j -0.0282594+0.0013627j -0.0138286+0.0326799j -0.00387903+0.0112289j -0.0106443+0.015438j 0.0115673+0.00362724j -0.0217042+0.0179852j 0.0215201-0.00511503j 0.00883836-0.0211211j -0.00915223+0.00410324j 0.00185634+0.0147544j 0.00625683-0.0147366j 
0.0223133+0.0716563j 0.0295277+0.0381053j -0.00221101+0.0423733j -0.0164402-0.110416j 0.000307344-0.0812128j -0.0877423+0.063651j -0.0791513+0.0868939j -0.0299937-0.00978563j -0.0553259-0.0345126j -0.0502131-5.41234e-15j -0.049051+0.0565104j -0.0468822+0.0571658j 0.0521404+0.0113942j 0.0225546+0.00430439j 0.0555611-0.0122913j 0.0639193-0.10402j -0.0452562+0.0632544j -0.0988073+0.0314074j -0.0201855-0.145204j 0.041497+0.00791017j 0.12483+0.203781j -0.0113731-0.0225968j 0.0826629-0.134989j 0.105701-0.0269802j 0.0376702+0.0408499j -0.0536985-0.105565j 0.238194-0.0540259j 0.126245-0.230203j -0.107107+0.0777545j -0.0656392-0.110904j -0.0325435-0.0136597j 0.137181-0.036832j 0.041468+0.041818j 0.00379971+0.00527663j -0.0171481+0.0138891j 0.0358642-0.0208151j 0.0402262-0.0248756j -0.00227026-0.014569j -0.00126224+0.0284031j 0.0160008+0.0196622j 0.0353314-0.0180035j 0.0163296-0.0053236j -0.0235508+0.00142014j -0.016343-0.000715029j 0.0062642-0.0117441j -0.00605794+0.0192875j -0.00439808+0.0150941j -0.0293481+0.0349053j 0.00269307-0.025753j 0.0176413-0.00669109j -0.000978132-0.0539094j -0.00622268-0.0245744j 0.0193313-0.000119821j -0.0174324+0.00507275j 0.00514161-0.0127795j -0.0132793+0.0238876j 0.0297421+0.00130739j -0.000703765-0.00876629j 0.00891419+0.0312918j -0.0119779-0.00771884j -0.0123062+0.0411813j 0.0282658+0.00283972j -0.0100994+0.0158895j -0.00138324+0.00263424j 0.0192703-0.0116268j -0.0335559-0.015695j -0.005625+0.00663357j -0.0187422+0.00914065j -0.0182225+0.0513468j 0.048266+0.0070998j -0.0537896+0.0184573j -0.0166251-0.0248222j 
0.0198225-0.000972142j 0.0126859+0.0121881j -0.0661891+0.0621025j -0.0276287+0.0102235j -0.0559219+0.0278706j -0.0404403+0.00435013j 0.0529426-0.0616505j 0.0907998-0.0477875j -0.0845457-0.0448066j -0.049051-0.0565104j -0.165518-8.6875e-15j -0.0647488-0.0694717j -0.0767171+0.0668579j -0.0177449-0.126234j 0.0494744+0.160009j -0.0913037-0.0498497j -0.0341361-0.165336j -0.146985+0.10944j 0.199326-0.101839j -0.069325-0.194501j -0.0798894-0.0612074j -0.111253-0.129854j -0.259181+0.0164589j -0.0465608+0.112204j -0.0176645-0.0731309j 0.128481-0.140027j -0.0246886+0.0783794j 0.0868028-0.0577152j -0.0618583-0.0894375j 0.0636537-0.059046j 0.0194902+0.0334894j -0.0346211-0.0619822j -0.0471181-0.00263136j 0.0324739-0.0179841j 0.00469384-0.0327746j 0.0220469-0.0117052j -0.0281505+0.0130834j -0.00594816-0.0411816j -0.00237466-0.00590741j 0.0244544+0.00785421j 0.0213857+0.00145445j -0.0170512+0.0246795j 0.0132478-0.00640674j 0.0224222+0.00330545j -0.012471+0.00297502j 0.00250616+0.00133256j 0.00699183+0.0276559j -0.018694+0.00643957j 0.0239951-0.00690714j 0.0558155-0.0145541j -0.0308146+0.0172041j -0.000704044-0.014824j -0.0195748-0.0550729j 0.0350082-0.0202642j 0.0131392+0.00460855j 0.023897+0.0227277j 0.00699391-0.00744816j -0.0174083-0.0136005j 0.0178589+0.0234672j -0.00994182+0.00254297j -0.0196013-0.035823j -0.0151602+0.0284053j -0.00371509+0.0231531j -0.00795469+0.00451944j -0.00688806+0.0167647j -0.00186206+0.0217399j -0.00300298-0.0233456j 0.0078933-0.00847675j -0.0371197-0.00759021j -0.0225845+0.0135667j -0.005254-0.00607782j 0.0317881+0.0148079j 
