0.127011-0.118263j -0.00422224-0.0966825j 0.00144325+0.0598629j 0.102516-0.117189j 0.10044-0.00998887j -0.0186145-0.0214296j -0.105209+0.0529171j -0.0229661+0.00775342j 0.0813765-0.01512j 0.140214-0.0585814j 0.0276426+0.0254098j 0.0069603+0.0129493j -0.0141585+0.00287299j -0.0271626+0.00674098j -0.0279131+0.00706024j -0.021301+0.00824045j 0.00289999-0.0009017j -0.0362687+0.0245422j -0.011439+0.0318509j 0.010583+0.00825531j 0.0183328+0.0214651j -0.00651028-0.00169318j 0.0257195+0.00424932j -0.0820069+0.0261819j 0.012296-0.00443109j -0.00585042+0.00450034j 0.00254258-0.00263492j -0.0121077+0.000823549j 0.00206874-0.00120983j -0.0177645+0.0147498j -0.00302131-0.00569126j 0.0103425+0.0136565j 0.012154-0.0100554j -0.00386803-0.0200697j 0.0115274-0.00486385j 0.000128516+0.030049j 0.00323275+0.0196985j 0.00937975-0.0112929j 0.0221809-0.0202993j -0.0685463+0.0413212j 
0.138567+0.124898j 0.114516-0.000671389j -0.0540353+0.0226064j 0.134011+0.10494j -0.0238701+0.0941591j 0.0294664-0.021884j -0.0655508-0.104724j 0.0130099-0.0490295j -0.00830121+0.0929478j 0.093076+0.15601j -0.00636473+0.0235756j 0.00858375-0.00464538j -0.0109931-0.00930481j 0.0148223-0.00382052j 0.000970542-0.0139154j -0.0266439-0.0126949j -0.00675212+0.00871704j -0.0153084-0.0435694j -0.0392296-0.000463051j -0.00782207+0.0134906j -0.0128512+0.0241016j 0.00412909-0.00205062j -0.00913795+0.0190282j -0.0143907-0.0620385j 0.00393027-0.00319564j 0.00623079-0.00360212j -0.00726788+0.00733275j -0.00379578-0.0124805j -0.00712484+0.0104702j 0.0125135-0.000658359j -0.00276955-0.000102254j 0.0299296-0.0071526j -0.0102156-0.0117651j 0.00308128-0.0061752j -0.00119359-0.00430144j -0.00259256+0.0153482j -0.00500288-0.0425836j 0.0374577+0.0492353j 0.0119111-0.032696j 0.00621455-0.0538494j 
0.116259-0.0114879j 0.00560658+0.240131j -0.076909-0.0386079j 0.00843636-0.10272j 0.041949-0.109658j 0.00404194-0.0333964j 0.0242903-0.211171j 0.137699-0.0276988j -0.00738399-0.145932j 0.0681532-0.102208j -0.0265841+0.0285046j 0.0181157-0.0184111j 0.0236542-0.0380086j -0.0189625+0.0224485j 0.0308238-0.0432309j -0.0211117+0.0131609j 0.00496641-0.0218023j -0.0351318+0.0509203j -0.0354609-0.0303974j 0.0130508-0.0512633j -0.0257623+0.00425552j 0.0161187-0.00521959j 0.0361488-0.0128879j -0.0575706+0.0243301j 0.0345949+0.00253614j -0.000455044-0.0190055j 0.0051538+0.00182754j -0.00109601+0.0126346j -0.0183461+0.0113577j -0.0199364+0.0233588j -0.00829738+0.0108677j -0.000573553+0.00387178j 0.0026404-0.00756803j -0.00714537-0.0107869j -0.0239432+0.00488371j -0.0422964-0.0220469j 0.00623057+0.0308438j 0.0304049+0.00599352j 0.0292815+0.0173408j -0.0670732+0.042717j 
-0.131227+0.062361j -0.407537-0.0335188j -0.0264571+0.0194256j 0.0377858-0.0367831j -0.0167755+0.053521j 0.00474996-0.000679955j -0.0616379-0.0366933j 0.048831+0.141297j 0.0114256+0.0331425j -0.0134662+0.0661932j -0.00671227+0.0119483j -0.0132589+0.0232228j -0.0123628-0.00704414j -0.00390147-0.0165361j -0.0166809-0.00933439j -0.0202053-0.0297148j -0.0144266-0.0232852j 0.00139975-0.020327j -0.0195548+0.00262446j 0.0171705+0.0198307j -0.0117881+0.0161379j -0.008844-0.00533888j 0.00594786+0.0141377j 0.0261269-0.0141636j -0.00532779+0.0180432j -0.0195618-0.0265484j 0.0244855+0.00333943j 0.00399807+0.013385j 0.00719435+0.00947739j 0.0203512-0.0198986j -0.00806262-0.00259402j -0.00500492+0.00249004j 0.00567157-0.0127527j 0.00756311+0.00511215j -0.00155673-0.0108743j -0.0255786+0.0155053j -0.0132684-0.0072331j -0.00200292+0.0179641j 0.0235345-0.0117335j 0.0239876-0.0293582j 
-0.0391664+0.133942j -0.211975+0.441183j 0.0217617+0.011841j 0.0135486-0.0162045j 0.0666287+0.0526473j 0.0381144+0.0518117j 0.00320741+0.0630646j 0.0404822-0.0569062j 0.068427+0.0635465j 0.0228116+0.016337j 0.016183-0.036562j 0.0045376-0.0141535j -0.00231926+0.00845133j 0.00773139-0.0362612j -0.00112424+0.0125232j 0.00850592-0.000175196j 0.00461332-0.0038276j -0.0114112-0.0012698j 0.0113296+0.0114152j 0.0339097+0.0205813j 0.00889585-0.00205391j 0.00170763-0.0132884j 0.0308931-0.000370501j -0.0178058-0.00643338j 0.0193471-0.0190797j 0.0019722-0.0109918j -0.00956991-0.00374903j -0.0115186-0.0099812j -0.00450051-0.00062637j -0.00381464+0.00507768j -0.0078482+0.00519677j 0.00432382+0.00811302j 0.00314122+0.0171261j -0.0117682+0.00843453j -0.0064271+0.0216513j 0.00789351-0.00290216j 0.0234089-0.0295981j 0.0166073-0.00908334j -0.0134527+0.00748663j -0.0229013-1.83928e-05j 
0.0166356-0.0356615j 0.0366727-0.138325j -0.00499751-0.0179255j 0.047875-0.00612121j 0.00561158+0.020636j 0.0721945-0.0344738j 0.0429856-0.0226232j 0.0271623-0.00507648j 0.0272109+0.0361737j -0.0440514+0.0296876j -0.0352867-0.0283667j 0.0233001+0.0219038j 0.0209076+0.00361067j 0.0334346-0.0126831j -0.00300507-0.00754262j -0.00560168-0.0132476j -0.0066939-0.0134094j -0.0107708+0.0016659j 0.00565341-0.0119979j -0.00488164+0.00554071j 0.00759648+0.0136105j -0.00152681-0.00847945j -0.0178802-0.00635317j 0.00223729-0.00427582j 0.012794+0.00415092j -0.00634561+0.00325461j 0.0012319+0.00367365j 0.000523735-0.0100817j 0.00134616-0.0129055j 0.00750821-0.0113768j -0.0155812-0.00941045j 0.0082474-0.00353478j -0.0171457-0.00980394j 0.000630245+0.0102277j -0.00398435-0.000256777j -0.0102899-0.00773982j -0.00645669+0.00711169j 0.00325636+0.00903346j 0.00332747-0.00462345j 0.00804001-0.00633628j 
-0.0438623-0.0748733j -0.392802-0.28251j -0.00111264-0.0280898j 0.0891694+0.0556973j -0.00113609+0.00906791j -0.0166793+0.00416685j 0.0371944-0.0237532j 0.0658353-0.00594031j -0.00781269+0.00335188j 0.0419544-0.00637186j -0.0215055-0.00452736j 0.0110594+0.0204508j -0.0110008-0.00862658j -0.0229939+0.00394613j 0.00205701-0.000894967j -0.021383-0.00666683j -0.0163151-0.0243284j -0.00409644+0.00419236j -0.00394757-0.0115317j 0.0256683-0.00979955j -0.00838616+0.00530388j -0.00319215-0.0119029j 0.0325606-0.0156149j -0.00616729-0.0132472j 0.0159593+0.00129542j -0.0123301+0.0246684j -0.0217868+0.00464097j 0.00241817-0.00762898j -0.00541191+0.010932j -0.00516144+0.0119692j -0.00357997-0.0042526j -0.012683-0.0192997j 0.00263521-0.000535957j 0.000130196+0.0114648j -0.0209573-0.0123182j -0.00814999+0.00391949j 0.0160257+0.00834719j 0.0144525-0.00888112j 0.00908634+0.00818581j -0.02054+0.00925364j 
0.136576-0.11218j 0.0699222-0.234977j -0.0496005-0.0232556j -0.00557788-0.0214581j 0.0324265-0.0166252j -0.0596345+0.0293444j 0.00690384-0.119805j 0.11254+0.031505j -0.0338513-0.0340488j 0.10218-0.0921942j -0.0193656+0.00926773j 0.0305719+0.0111211j 0.00144047-0.011927j 0.000225215+0.0352327j 0.0195921-0.0249146j -0.0303238-4.94752e-05j -0.0199704-0.0232067j -0.035969+0.0326622j -0.00523393-0.0144356j -0.0220498+0.0115034j -0.00399059-0.00516652j -0.0156856-0.0142453j 0.0131556+0.00157044j -0.029267+0.0252022j 0.0134831+0.0100759j 0.0169868-0.00773412j 0.0101022-0.0104689j 0.00552243+0.00712065j -0.00773791+0.0129722j -0.0291321+0.00334908j 0.0170342-0.00319896j 0.01133-0.0105148j 0.00735232-0.00777699j 0.0165573+0.0100257j 0.000307554-0.0100553j -0.00418561+0.00631095j 0.00426426+0.0269128j 0.03256-0.0181058j 0.00965696+0.00965962j -0.0388526+0.0348134j 
0.0954058+0.106675j 0.18138+0.0244493j -0.0269246-0.0764901j 0.060876-0.0373885j 0.0251056+0.041727j 0.0999245-0.0315961j 0.114524-0.0666372j 0.0346327+0.144865j 0.0506258+0.00505264j 0.0209792+0.121268j -0.0161243-0.0164434j -0.00882591+0.0131839j -0.0038597-0.0189607j 0.0123839-0.00757479j 0.00202678+0.000639144j -0.0104226-0.0170654j 0.000159858+0.00757159j -0.00794021-0.0114643j -0.00312472-0.0500542j 0.00961562+0.00720788j -0.0388217-0.0243322j -0.00811655+0.0111712j -0.0217229+0.0127619j 0.00479849-0.0325566j 0.00991734+0.0204985j 0.00271411-0.00493338j -0.00230904-0.00215575j -0.000765358-0.00882334j 0.0116584+0.0115552j 0.00548229-0.000586789j -0.00862586-0.00995444j -0.00248963+0.00636287j -0.0215871-0.00468059j 0.00829778+0.0283249j -0.00603269-0.00177871j -0.0201351-0.0130361j -0.00182286-0.00163457j 0.0289603+0.0348442j 0.0133404+0.00798539j 0.0109978-0.027883j 
-0.0499282-0.0219826j 0.189507+0.026376j 0.0158175+0.0911386j -0.262357-0.212743j 0.00506742+0.0822517j -0.0713932-0.0300646j -0.148772+0.113899j 0.108278+0.146216j -0.00744737+0.0506171j -0.0475121+0.0320441j 0.0617272+0.027897j 0.0055648+0.0289441j -0.0164199+0.0113694j 0.027321-0.0237796j -0.0414218+0.0353839j -0.0184296-0.0262747j -0.00356331-0.00615934j -0.0191446-0.0028888j -0.00470256+0.0428392j -0.0114383+0.0245567j 0.0189259+0.0129788j -0.00622535+0.00801401j 0.0121858+0.00852372j 0.041538-0.00436543j -0.00415567+0.0182684j 0.00723274+0.00381252j -0.000452516+0.00723123j -0.00044567+0.00803976j 0.0158452-0.00766205j 0.0144453-0.0156882j -0.00603864-0.0253192j -0.0215784-0.0206025j 0.0123166+0.0132407j 0.00596581-0.0118361j 0.00592703-0.0323164j 0.00819531+0.0253514j 0.00268447+0.0116574j -0.0159446-0.0112824j -0.00471553-0.0225071j 0.0376521-0.0138894j 
0.0474904-0.095088j -0.0581479+0.0726967j 0.027945+0.00892229j 0.0718646-0.244022j -0.0658059+0.067536j -0.00564723-0.0318223j -0.0192176+0.00450918j 0.118275+0.0551335j -0.0600869+0.0244665j 0.0151581-0.0427796j 0.0161764-0.00904578j 0.00205223+0.00426184j -0.00192295-0.00802603j 0.00233537+0.000915286j 0.0160014-0.0539588j -0.0405592-0.00460308j -0.0247208+0.0207479j -0.000812945+0.0332817j 0.025746+0.00694555j -0.0230126+0.01393j -0.0123213+0.0113899j -0.0032764-0.00751992j -0.0173318-0.00360192j 0.0349442+0.0135453j 0.0152386+0.000297644j 0.0117456-0.00659457j -0.0155142+0.012458j 0.015366+0.00589445j -0.00140349-0.0139253j -0.0078829-0.00279794j -0.00757094-0.0163159j 0.023933-0.0159112j -0.00248882-0.012718j 0.00757178+0.0248397j -0.00454975+0.00605917j -0.00630937-0.0139549j -0.00091472+0.0240308j 0.0321958-0.0208258j -0.0190855-0.00032697j 0.00765718+0.0286204j 
