0.0598665+1.46907e-12j 0.144411+0.0024688j 0.0804123+0.119601j -0.0218534+0.0131112j -0.0296814-0.0455959j -0.0563699-0.0356373j -0.024896+0.0021035j 0.0109857+0.113781j -0.00280481-0.0237092j -0.0328341-0.000271995j 0.0374155+0.00779034j 0.0120931+0.000220372j -0.011641-0.0996233j 0.00162554-0.0141946j -0.0179415+0.019599j 0.0054366+0.00279133j 0.0121776-0.00808086j 0.00149118+0.0078834j 0.0135204+0.00864489j 0.0176771-0.00163889j 0.00496568+0.0505796j 0.0210258+0.022607j -0.00120208-0.0120572j 0.00337171+0.00437878j 0.000160519-0.00779547j 0.0199908-0.00133266j 0.0130383-0.018854j -0.0191577+0.0158416j -0.00689038+0.0422099j -0.00707235+0.00918608j 0.0192233-0.00195989j 0.0287934+0.0281464j -0.0215132-0.00709409j 4.56379e-05+0.0026641j 0.028781-0.00566587j 0.00647384-0.0112109j 0.0314052-0.0179372j -0.00184364+0.0172653j -0.0121887+0.0204573j -0.0142237+0.0148843j -0.00540448+0.0142158j 0.0187537-0.0248132j -0.0185824+0.00647168j -0.000745854-0.00201306j -0.0291111+0.00446669j 0.015362+0.0119763j -0.00923236+6.35884e-05j -0.0178651-0.00881113j 0.0641425-0.0385499j -0.011411-0.00756787j 0.00168035+0.0256285j -0.00316322-0.0306064j -0.00337282+0.000733303j -0.00567624-0.00476884j 0.0284312+0.0136904j 0.0224093+0.0117438j -0.0406922+0.0180456j -0.0580298-0.0223353j 0.0376068+0.0161786j 0.0126683+0.0328095j 0.0129261-0.0238992j -0.0121834-0.00803533j 0.0113537-0.0412958j -0.0363727-0.0136775j -0.0264335+0.0437441j -0.0204442+0.0244091j -0.0148591+0.0873631j -0.00998085+0.0138454j 0.00290929+0.0790884j 0.199377-0.201794j 0.190512+0.269943j -0.343367-0.096104j 0.0675261-0.128616j -0.0218984+0.125764j 0.0923554+0.0125083j -0.0120277+0.00287796j 0.163853+0.020001j 
0.144411-0.0024688j -0.00745454+5.037e-13j 0.0890745-0.00363974j 0.187717+0.118396j 0.0348481+0.0140552j -0.0109699+0.0325074j 0.190804+0.112175j -0.0504876+0.0189757j -0.00897517+0.0476916j -0.0103694+0.0198607j 0.0469041-0.0226765j -0.132513-0.0786713j 0.121255-0.00950752j 0.0121178-0.0170201j 0.0843567-0.0293621j 0.0490255-0.044579j -0.0222964-0.00475266j -0.0317056+0.00585995j 0.0326545-0.0137456j 0.120413+0.00243516j -0.0705004+0.0412003j -0.063888-0.0517964j 0.0810988-0.0324735j 0.000139326+0.00539828j 0.0185131+0.00750231j -0.00144774+0.014603j 0.0681875-0.0122822j 0.0347002+0.0126616j -0.00191705-0.00798011j -0.0553421-0.00104808j -0.0217353-0.0114596j -0.05721-0.0364173j 0.0443568-0.0364399j -0.0104845+0.013198j -0.0959822-0.0109491j 0.0349882-0.0221996j -0.0176879+0.0231436j -0.025434+0.000760188j -0.0327461+0.0190387j 0.0201858-0.0045394j 0.00027768+0.00801726j -0.0117589+0.0178071j 0.124208-0.0268772j 0.0303467-0.000146512j -0.0828226+0.0352547j -0.0267062+0.0261825j -0.0177464+0.000873295j 0.0394435+0.0152763j -0.0530938-0.00680302j -0.0772625-0.00218148j -0.0553842+0.00718537j 0.00492785-0.00211895j -0.00959509-0.00403444j 0.0311745-0.0207358j -0.0472648-0.0175359j 0.100238-0.020789j -0.0242866-0.0216711j 0.149976+0.0363717j 0.0339111+0.0138564j 0.0116254+0.031502j -0.0348934-0.0206225j -0.0222031+0.0522947j -0.0447774-0.00308418j 0.0327461-0.0179692j -0.127532+0.00197552j 0.16699+0.0153417j -0.05342-0.051492j -0.0826294+0.0989773j -0.0490744+0.0766443j 0.195849+0.183839j -0.508102+0.137516j -0.0053388-0.24931j 0.10205+0.18802j 0.149153+0.00887013j -0.0926974-0.0973056j -0.117064-0.0216818j 0.0115778-0.00447785j 
0.0804123-0.119601j 0.0890745+0.00363974j 0.102408+1.00961e-15j 0.163898-0.00385969j 0.0725045+0.000475176j -0.0811138-0.0361892j 0.316446+0.000869423j -0.147386-0.077354j 0.0452207-0.076064j -0.0183165-0.00506386j 0.105763+0.0742731j -0.213495-0.0482048j 0.2458+0.0273532j -0.0531301+0.0285826j 0.0501249+0.126514j 0.0200978+0.0159126j -0.0218028-0.0168806j 0.00327731-0.0211768j 0.0416439-0.00600384j 0.165369+0.0672178j -0.0749166+0.00450837j -0.108137-0.000901905j 0.126274+0.0477053j 0.0149272+0.0253961j 0.0224482-0.00338288j 0.000284343-0.0147435j 0.108061+0.0303387j 0.043071+0.000621996j -0.0117761+0.00979523j -0.0592114-0.0114166j -0.0271653-0.00369599j -0.107438-0.048491j 0.0368648-0.0350308j -0.0204633+0.00982901j -0.119027-0.0433388j 0.0383635-0.0387709j 0.00313337-0.0172678j -0.0398562+0.0185092j -0.0739873+0.0196501j 0.0195244+0.0115138j 0.000907252+0.0566823j 0.0262853+0.0200196j 0.151598+0.0623769j 0.0163027+0.00975666j -0.12236-0.0193175j -0.0120824+0.00480382j 0.0107344-0.0127727j 0.0493458+0.0203431j -0.0359539+0.0141974j -0.0608227+0.0317742j -0.0785396-0.0150546j 0.0157239+0.0360961j -0.0699308+0.0234073j -0.0375637+0.0167963j -0.123109-0.0143239j 0.125964-0.056571j -0.0676945-0.0145853j 0.182004+0.0679754j -0.0735556-0.035756j -0.0203468+0.0646888j -0.012333+0.016849j -0.0241563+0.0829658j 0.0496455-0.100657j 0.130678-0.158258j -0.362534-0.123872j 0.369053-0.0486492j -0.0814831-0.148016j -0.178041-0.177298j 0.131484-0.0645464j 0.159995-0.24055j -0.355995+0.0307306j 0.134019+0.0116925j -0.153701-0.0370408j 0.167459-0.0289401j -0.155942+0.0510512j 0.0888829+0.100892j 0.0885952+0.0125473j 
-0.0218534-0.0131112j 0.187717-0.118396j 0.163898+0.00385969j 0.206247-7.49401e-16j 0.215741+0.054294j -0.136734-0.0305586j 0.31077+0.0420529j -0.0899749-0.0440362j 0.0901941+0.00751822j 0.0256532-0.00874434j 0.16424+0.0203069j -0.195524+0.00792199j 0.209846+0.0229411j -0.027022-0.0827126j 0.0908327-0.0217617j 0.0313042-0.0147239j 0.00569937-0.0099156j -0.00393983-0.0209162j 0.103762+0.0135724j 0.140714-0.0223827j -0.0855475+0.0544045j -0.138793+0.00578877j 0.0921013+0.0184243j -0.00680466-0.0243033j 0.0640539-0.00103718j 0.0311521-0.0158208j 0.025706+0.0271734j 0.0245808-0.0132224j -0.0570527+0.0455405j -0.0570784-0.0123235j -0.0868504+0.0461879j -0.161508+0.0204074j 0.0529381-0.025851j 0.00906556-0.0109173j -0.199895+0.0249764j 0.041384-0.0150476j -0.0606016+0.0322034j -0.0561404-0.0192822j -0.0910525+0.026652j 0.0356075+0.00108317j 0.0422177+0.0119946j -0.00628389-0.0135258j 0.216171-0.0217861j 0.0201576+0.0200585j -0.131401-0.0149741j 0.00651652-0.00718278j 0.00209912-0.0336124j 0.0551068-0.00905284j -0.0811573+0.0605823j -0.0954615+0.0371597j -0.121895+0.0951852j -0.0191568+0.0253027j -0.0321354-0.0228543j -0.0100946-0.0276112j -0.173085+0.0491108j 0.150178+0.0407719j -0.112381+0.046309j 0.250545-0.0441737j -0.0513793+0.0378924j 0.0486234-0.032764j -0.0960298+0.00316657j 0.0725569+0.0753615j -0.11868+0.00362212j -0.001413-0.0650751j -0.432978+0.153521j 0.160728-0.137342j -0.220737+0.0109604j -0.184618+0.224073j -0.030008-0.301121j 0.0326665-0.0368981j -0.283308-0.0817694j -0.0318987+0.0136468j -0.0918553+0.0430427j 0.118943-0.0702765j -0.16738+0.0258204j 0.145702+0.00910315j 0.0246019-0.128544j 
-0.0296814+0.0455959j 0.0348481-0.0140552j 0.0725045-0.000475176j 0.215741-0.054294j 0.267688+4.01242e-15j -0.11811-0.0199968j 0.254366+0.0104489j -0.115426-0.0382603j 0.0318976-0.0598516j 0.000994078-0.0284093j 0.120549-0.0170413j -0.145697+0.0178981j 0.219812-0.0349532j -0.0438163-0.00946358j 0.153141+0.0383158j 0.0420692+0.0086988j -0.015762+0.0127846j -0.0982338-0.0552867j 0.0703557-0.018347j 0.173856-0.033242j -0.0752475+0.0264811j -0.0807213+0.0246122j 0.129543-0.000820913j 0.00902138-0.0611847j 0.0217181+0.0534305j 0.0134361-0.0132605j 0.125935-0.0607773j 0.00817605-0.0449451j -0.0138867-0.0518636j -0.0617874-0.00693929j -0.0189074-0.00077244j -0.134698-0.0351428j 0.045566-0.0283172j -0.0130019+0.0140756j -0.135435-0.0115603j 0.0458852-0.01961j -0.014672+0.00578917j -0.0430351+0.0102909j -0.0695766+0.045256j -0.000342395+0.0216662j 0.0377478-0.0259568j -0.0112624-0.0275744j 0.137683+0.0458675j 0.0150537-0.0227411j -0.0828513-0.0391077j 0.0128439-0.0422135j -0.0105473+0.00336511j 0.052608+0.0193317j -0.035654-0.0155498j -0.0531783+0.019437j -0.0261522-0.0239796j -0.0703084+0.0166389j -0.0425215+0.0360114j 0.0469202+0.0870691j -0.114547+0.0781275j 0.0534874-0.0641977j -0.0728648+0.0489904j 0.132019+0.00429055j 0.00370189+0.0736168j -0.0820668-0.0653436j 0.064036-0.113121j 0.244826+0.0534828j -0.0823963+0.0120268j 0.00606392+0.294586j -0.198913-0.0617873j 0.320055+0.0519507j -0.141354+0.0215032j -0.0966153-0.0317517j -0.185663-0.0466806j 0.0787229-0.134486j -0.331238-0.0186812j 0.0376169+0.0221005j -0.111438+0.0245205j 0.0881042-0.0398465j -0.14425-0.0380523j -0.109599-0.181965j 0.0581471-0.136722j 
-0.0563699+0.0356373j -0.0109699-0.0325074j -0.0811138+0.0361892j -0.136734+0.0305586j -0.11811+0.0199968j -0.0679313+1.59109e-14j -0.0309565+0.00844771j -0.00613232-0.0467437j -0.0489192-0.0535063j 0.0387791+0.0410739j -0.0170539+0.0452456j 0.0449314-0.0422431j -0.0713745-0.00306984j -0.020701+0.00873719j 0.0163093+0.0517042j -0.000377284+0.0160904j 0.0133049-0.0191308j 0.0529629+0.0498171j -0.063268-0.0171527j -0.0598797-0.0273072j 0.0373636+0.006819j 0.054253+0.00120226j -0.0153039-0.0187893j -0.00130446-0.0236808j 0.00313349+0.0460678j -0.0369983-0.0245417j -0.0448521-0.0780376j -0.00596207-0.0043974j 0.0113849-0.0168747j -0.00767126+0.0129227j -0.0199948-0.0172505j 0.00101922+0.00804551j -0.0156254-0.00420259j -0.00311692+0.00430689j 0.000130746+0.00493845j -0.0136847-0.0198483j 0.00563569-0.0635461j -0.0316253+0.0777179j 0.0115542+0.028947j 0.0217773-0.0213492j -0.0240725+0.0754249j -0.0138193+0.0196198j -0.00204276+0.0436128j -0.017849+0.0251939j 0.0369183-0.0136833j -0.0347741+0.00593262j 0.0459251-0.0258059j 0.0461174-0.00436596j -0.0522582-0.00122478j 0.036907-0.00398612j -0.0229389+0.0490906j -0.0331434-0.00775535j 0.0135709-0.0358293j -0.0562022-0.0154339j -0.00497237+0.026603j -0.0528283+0.00445784j 0.0583689+0.0646525j -0.0918412-0.0101331j -0.0831062-0.10012j 0.168878+0.0747448j 0.244426+0.138513j -0.0557438+0.256333j -0.0278313+0.0698314j -0.172262+0.0666703j 0.20818-0.0426061j -0.119269+0.0953059j 0.0524006+0.036556j -0.0677612-0.0317009j 0.0628559-0.0138749j 0.00518122-0.0581466j 0.0603829+0.0587512j 0.0699228+0.0816316j 0.0308336+0.0138575j 0.0357325-0.0150508j 0.127097+0.0111439j 0.0163178+0.249405j -0.3375-0.0921148j 
-0.024896-0.0021035j 0.190804-0.112175j 0.316446-0.000869423j 0.31077-0.0420529j 0.254366-0.0104489j -0.0309565-0.00844771j 0.477345-1.3739e-15j -0.142798-0.00346952j 0.12356-0.0346605j 0.0873658+0.000749405j 0.254584+0.00486322j -0.367184-0.0435323j 0.395525+0.0116159j -0.0328863+0.0560895j 0.136771+0.0304704j -0.0164599+0.0222894j -0.0633994-0.0207521j -0.0288418-0.0011887j 0.138833+0.0799449j 0.29396-0.00286039j -0.151082-0.0295652j -0.176957-0.0820301j 0.225488+0.0207513j 0.0307619-0.0542134j 0.0464533-0.00349786j 0.0307315+0.0685131j 0.206951-0.0428133j 0.0238077-0.00723358j -0.0740323-0.0340096j -0.0608814+0.0486182j -0.0310746-0.0367744j -0.231878-0.0306351j 0.0496518-0.00724956j -0.0364691+0.0128408j -0.222348-0.00439891j 0.0494485+0.00652283j 0.0096166-0.0448476j -0.0616012+0.0651024j -0.165231+0.0484734j 0.0439461+0.017663j 0.0513022+0.0155597j 0.0841622-0.020549j 0.2442+0.0173759j 0.0239671+0.0160071j -0.175619-0.015608j 0.0497961-0.0384984j 0.00627205-0.0165438j 0.0405913+0.0094272j -0.200971+0.0519498j -0.169017+0.0224023j -0.220978+0.0479055j 0.0843379+0.00578147j 0.0291715+0.00202993j 0.0167265+0.0270979j -0.244626+0.068005j 0.302494-0.106587j -0.31221-0.0114227j 0.356624+0.0714448j -0.0987755-0.169515j -0.0149264+0.131549j -0.165315+0.0790729j -0.0347632-0.164813j -0.165322+0.159666j -0.0457051+0.0985716j -0.360102+0.0641984j 0.349802+0.0662054j -0.142599+0.0016372j -0.0333508-0.0171736j -0.14028-0.00617856j 0.120622+0.0123205j -0.536126+0.180674j 0.0609809+0.0432887j -0.342735-0.0143052j 0.273062+0.0911619j -0.356891+0.0325732j 0.501879-0.146769j 0.203255+0.265625j 
0.0109857-0.113781j -0.0504876-0.0189757j -0.147386+0.077354j -0.0899749+0.0440362j -0.115426+0.0382603j -0.00613232+0.0467437j -0.142798+0.00346952j 0.0366705+9.71445e-17j 0.0342966+0.0456734j -0.0423182+0.0279889j -0.0814565+0.0167508j 0.0971456+0.0339108j -0.0739108+0.03758j 0.0298298-0.0338135j -0.105627+0.00497122j 0.0313047+0.0250044j 0.0628444+0.0113525j 0.0487644-0.00358904j -0.0108158+0.041575j -0.101858+0.0224718j 0.0416514+0.0113165j 0.0348115-0.036596j -0.0274305+0.000423752j -0.0250021+0.0281817j -0.0312888+0.0154918j 0.0156713-0.0394758j -0.0360667+0.0282284j -0.0372771+0.0471781j 0.0158303+0.0655133j 0.0313548-0.0274126j 0.0434964+0.000114814j 0.0582768-0.0497453j -0.0523187+0.00563223j 0.0101472-0.0176183j 0.108232-0.112504j -0.0197665-0.027093j 0.0231305-0.00448726j 0.0473961-0.0198172j 0.0681593-0.00549537j -0.0315658+0.0482836j -0.0379267+0.0518246j 0.00484215-0.0107313j -0.148957+0.101436j -0.0300997+0.0444077j 0.151223-0.0312717j -0.0146991+0.0417287j 0.0335282-0.0633305j 0.0176991+0.012007j -0.0256534+0.0173318j 0.0208158-0.030167j -0.0319375+0.0275537j 0.0168449-0.0497282j 0.0367267+0.0068407j 0.026754+0.0605383j 0.0703699-0.00909229j -0.0550816+0.0385911j 0.0621082-0.122889j -0.172074-0.00843448j 0.188776-0.161766j -0.0902273-0.150983j 0.0737933-0.117537j 0.0379783+0.0429429j -0.0710152+0.0371208j -0.236044-0.0316516j 0.118944+0.139336j -0.0499687+0.0192444j -0.0204833+0.0205214j -0.0253942-0.0459454j 0.120368-0.0194186j -0.0987526+0.14658j 0.122364+0.0176j -0.00162247-0.0567316j 0.0824052-0.118699j -0.0349121+0.0391152j 0.176918-0.24974j -0.203697-0.182464j 0.200055-0.201606j 
-0.00280481+0.0237092j -0.00897517-0.0476916j 0.0452207+0.076064j 0.0901941-0.00751822j 0.0318976+0.0598516j -0.0489192+0.0535063j 0.12356+0.0346605j 0.0342966-0.0456734j 0.0266022+1.38257e-15j 0.12203+0.00131333j 0.00315792+0.033492j -0.0712732+0.0221216j 0.0857885+0.0193938j 0.0129645-0.00804431j 0.0300651-0.000521931j 0.0462808+0.0671241j 0.0556851-0.00530787j 0.020033+0.00101972j 0.0419366+0.0426903j 0.000978149+0.00905301j -0.0202029+0.0109113j -0.0384015+0.00244273j 0.0636452-0.0193471j -0.0336908-0.0291984j 0.0224226+0.0719647j 0.000223411-0.0482748j 0.0660943-0.0356266j 0.0191775+0.0102185j 0.0207928+0.0116604j -0.0424231+0.0145809j 0.0121138+0.0226315j 0.0243384+0.0080249j -0.0292272+0.00372921j -0.00627449-0.0265828j -0.030543+0.0120139j 0.0192046+0.0142065j -0.0194751+0.00310716j -0.0691559+0.00837843j -0.0723265-0.0156767j 0.00087732-0.0231144j 0.0366269+0.0358004j -0.00537165+0.0580382j 0.0300391-0.0125808j 0.0274666+0.0533577j 0.00638096+0.0592443j -0.0486078+0.0661504j -0.0187102-0.0594055j 0.0673386+0.0405612j 0.0803089-0.0213303j -0.0202773-0.0311118j -0.014801+0.121697j -0.0252875-0.14339j -0.131276-0.0283679j -0.110014+0.0855404j -0.0623766+0.0414311j 0.0916337+0.0693367j -0.0030797+0.0366717j 0.0428116+0.0287105j -0.160339+0.0140506j -0.0595087+0.0130621j -0.0975716-0.0257462j 0.106523-0.153073j 0.100154+0.0887298j -0.134453-0.054106j 0.073196-0.0666911j 0.079899-0.0962376j 0.0955182-0.0154775j -0.0935737+0.125061j 0.0724788+0.0258968j 0.11329-0.0305705j -0.117481-0.0118818j 0.0588276-0.0203928j -0.186978-0.0419324j 0.0239222+0.297136j 0.137051-0.0707737j 0.0467939-0.0719183j -0.00480751+0.076186j 
-0.0328341+0.000271995j -0.0103694-0.0198607j -0.0183165+0.00506386j 0.0256532+0.00874434j 0.000994078+0.0284093j 0.0387791-0.0410739j 0.0873658-0.000749405j -0.0423182-0.0279889j 0.12203-0.00131333j 0.0421607+1.80411e-16j 0.126686+0.0153429j -0.0333063-0.0450614j 0.0666113+0.0620906j -0.0342794-0.0311277j -0.0362012+0.00997659j 0.0101992+0.0163533j -0.0805225-0.0553563j 0.0526311+0.00879335j 0.0126211+0.0292897j 0.057094+0.0181954j -0.0410379-0.0366845j -0.0207308-0.00326738j 0.0472858+0.0152105j 0.0296842+0.0324084j -0.0260511-0.0794728j 0.0134632-0.0116745j 0.0925059+0.00648181j -0.00166963+0.00515528j 0.0199722+0.0637582j 0.00422141-0.0813835j 0.0167304-0.0111322j -0.035406+0.012212j -0.00708158+0.0808208j -0.0485723+0.0298427j -0.0245112-0.0260002j -0.0263545+0.0247996j 0.0609499-0.0391543j -0.0967512-0.0208862j 0.0109658+0.0235423j 0.0461066+0.0328682j -0.0336-0.0134284j -0.0242611-0.0799154j 0.049686+0.00786696j 0.0721276+0.0334139j -0.063903+0.0747848j 0.00802932-0.0281765j -0.000717843+0.048688j 0.00219113+0.0935112j 0.0285137-0.0409836j 0.0249729+0.0163338j -0.0482961-0.0130872j 0.13489-0.00280232j 0.0872233+0.0218701j -0.0159443-0.0669649j -0.0623955+0.000637891j -0.0275+0.125144j 0.0463702+0.100982j 0.0956154-0.122682j 0.0209477+0.0326296j 0.0201827-0.157137j 0.092282-0.0999177j 0.000902337+0.0432623j -0.0925697+0.0205802j 0.0300758-0.132464j 0.0475262+0.074056j 0.149769-0.00790822j 0.0507513-0.0748719j 0.0310392+0.0967178j -0.100226+0.11898j -0.0399884-0.0404559j -0.00739067-0.00845263j -0.0832504-0.0252745j -0.0749072-0.0254951j 0.167859-0.230688j -0.172145-0.16773j 0.0837057-0.0998414j -0.00480285+0.00677519j 
0.0374155-0.00779034j 0.0469041+0.0226765j 0.105763-0.0742731j 0.16424-0.0203069j 0.120549+0.0170413j -0.0170539-0.0452456j 0.254584-0.00486322j -0.0814565-0.0167508j 0.00315792-0.033492j 0.126686-0.0153429j 0.0899971-1.20737e-15j -0.0965309-0.0239338j 0.176272-0.0293041j -0.0305988+0.0254676j 0.0566633-0.0146565j 0.0287776+0.0203704j -0.0336699+0.00262713j 0.0236803+0.0202036j -0.00199834-0.0658947j 0.123091-0.0489337j -0.121514-0.0239011j -0.0492358+0.0478919j 0.0898851-0.0355474j -0.00707224-0.0293343j 0.0658198+0.0211831j 0.0248912+0.0135807j 0.123611-0.00605929j 0.0146473-0.00308361j -0.0520651-0.00207699j -0.0343999-0.0129163j -0.0352107-0.00286793j -0.0558642+0.041241j 0.0127307+0.0225494j -0.0708925+0.0192674j -0.124027+0.0713291j 0.0569745+0.0274899j 0.0108404-0.0419601j -0.000560059-0.00448295j -0.0659761+0.00669631j 0.019835-0.0523212j -0.0323767+0.0200499j -0.036772-0.040882j 0.124157-0.063084j -0.0213847+0.0735438j -0.00116619-0.0421389j -0.0807421+0.00292918j 0.0130035+0.0294933j 0.0465296-0.0036145j -0.0540288+0.0761166j -0.0870875-0.0211337j -0.0503707-0.019965j -0.016681-0.104005j -0.0689245+0.0651681j -0.0163907+0.114544j -0.0477347-0.0479133j 0.184348-0.0438067j 0.0547191-0.111133j 0.0390951+0.0664064j 0.106974-0.0671303j -0.112194-0.042161j 0.0153642-0.0800239j -0.0142171-0.0542205j 0.0492525+0.00841461j 0.142227-0.0284074j -0.278845+0.0225244j 0.0975977+0.10459j -0.0897248+0.190617j 0.0637627-0.0539532j 0.0821862-0.0152139j -0.0357524+0.0232345j -0.135123+0.0115046j 0.0514516+0.0459848j -0.14136+0.0183894j 0.234901-0.0218973j -0.0872056-0.159833j 0.0542422+0.0383159j -0.0187526+0.0940769j 
