0.00791915+0.0292744j 0.0439307+0.0223568j -0.125623-0.0110709j 0.0160913+0.0247518j -0.032176-0.0288945j 0.0605377-0.00703455j 0.0200783-0.120192j 0.214804-0.0745833j 0.0478444+0.0187435j -0.0104142+0.0194838j 0.00649946+0.0313536j -0.00332626-0.0152376j 0.0361648+0.0275833j 0.0102238-0.00595619j -0.0330822-0.0168654j 0.00397635-0.00642836j 0.0432282+0.0255836j 0.0170174-0.0244435j 0.00815083-0.00662168j 0.00945392+0.0283993j 0.00661054-0.00662812j 0.0173627-0.000911787j -0.0366134-0.0101576j -0.0130285+0.0102467j 0.0306551+0.00530912j 0.0151825+0.00712671j 0.000213622-0.00447253j 0.0162079+0.0254946j 0.0267947-0.00427189j 0.00882755+0.00604487j -0.0419434+0.0112081j -0.0263648-0.0327748j 0.0489916+0.00385076j 0.058902+0.0320913j 
0.00282337+0.00499054j -0.027313-0.00107036j 0.0442225+0.0204783j 0.0118398-0.00972506j 0.0454955+0.00230899j -0.00829966-0.000671835j -0.0733041-0.0091926j -0.0734771+0.0176182j 0.00791131+0.010571j 0.0163807+0.0193664j 0.00145448-0.00479351j 0.00448147+0.0309761j -0.0181161-0.00533432j -0.00358485-0.0213951j -0.00144539+0.00167105j 0.00218658-0.0352393j -0.00831208-0.00260348j 0.00603689-0.00119629j 0.00171677+0.0212103j 0.00209641+0.00155022j 9.46191e-05-0.00228052j -0.00761189+0.0246595j 0.00837224+0.00189588j 0.0037377-0.000133916j -0.0180121-0.0202696j 0.00638576+0.0020143j -0.00303894-0.0129022j -0.0112224+0.0129063j -0.0310704+0.0041771j -0.00327405+0.0239664j 0.00685015-0.00167264j -0.00343848+0.0140575j -0.0249979-0.00716831j -0.033506-0.00924788j 
-0.0361848-0.00887402j -0.0421585+0.0324768j 0.0766999-0.119962j -0.0252492-0.0141162j 0.0626591-0.0254575j -0.0433072+0.0729248j 0.14841+0.0713032j -0.00636873+0.26118j -0.0143939+0.0284543j -0.00708364-0.0349122j -0.0339137-0.0386346j 0.0481081+0.00153449j -0.040882+0.024412j 0.0238446+0.00548993j 0.0291387-0.0187927j -0.0126361-0.0160027j -0.017852+0.0272349j 0.0231865+0.0326907j 0.0156419+0.0260825j -0.0376543-0.0102985j 0.0101804-0.00660394j -0.0217094+0.0366624j 0.0120941-0.0194266j 0.00408838-0.000377666j -0.0112178+0.0331786j -0.0145739-0.0236314j 0.00441381+0.0151062j 0.0309393+0.0196874j 0.00818711+0.016303j -0.0377053+0.0124405j -0.00542961-0.0479523j 0.000277137-0.000478932j 0.040896+0.0141655j -0.0505847+0.0259059j 
-0.00180272+0.038747j -0.0178686+0.0183925j 0.0562603-0.0129002j -0.0223147-0.0197124j 0.00423915-0.0240306j -0.0144661-0.0430371j -0.018563-0.14059j -0.0678493-0.0127499j -0.00524857+0.0127605j -0.000265271-0.0235645j -0.00375003-0.0172406j -0.0098078-0.0375785j -0.0284904+0.0162311j 0.000141806+0.00764783j 0.01249+0.0274073j -0.0160462-0.0128996j -0.026398-0.0276021j 0.0151787-0.00213159j 0.00534354+0.00617085j -0.00965665+0.00608495j 0.0115299-0.0169407j -0.00315178-0.00517739j -0.000906591+0.00892374j -0.00590011+0.00540846j -0.0233777-0.00162977j -0.0075827+0.0199098j -0.0160506+0.0101558j -0.0194816+0.0123429j -0.0201269-0.00983064j -0.0237764+0.0115252j -6.53966e-05+0.00187039j 0.0308519+0.00933333j -0.00362717-0.0307562j -0.0401891-0.0116613j 
0.0156317+0.0369335j 0.0278211+0.0548878j -0.044952-0.124451j -0.00110851+0.0335325j -0.0532468-0.058103j 0.0480271+0.00528841j -0.0890159-0.0866173j 0.060345+0.15777j 0.0146522+0.00996118j -0.0233807-0.0060609j -0.0290476-0.00235522j -0.01901-0.0174179j 0.0291961+0.0617779j 0.0102227+0.0244553j -0.00337446+0.0417097j -0.00857444-0.000111154j -0.00766847-0.0024251j -0.000985363-0.0365218j 0.0335199+0.0153135j 0.040757+0.0304655j -0.00387236-0.0208406j -0.00851438+0.0280836j 0.0187168+0.00475914j 0.0109255+0.0114564j -0.00339604+0.0122746j 0.0134895+0.0126995j -0.0227885-0.0131705j -0.021338-0.000519689j -0.0116818+0.00802268j 0.0146494+0.0212479j 0.0268884-0.0285799j 0.0260066-0.0157922j -0.0154408-0.0536522j 0.00897076+0.0214469j 
0.017049-0.0351567j 0.0199847-0.0156821j -0.0426942+0.000945083j 0.00764777+0.00365703j -0.0206407+0.0938149j -0.0189644-0.0640921j -0.0297128+0.180209j 0.00963095+0.0696005j -0.00711587-0.029408j 0.00416714-0.0104892j -0.00137059+0.021584j -0.0112822+0.0513643j -0.0154032-0.020687j -0.00183431-0.0119587j -0.0115864-0.0168985j 0.00357334+0.0171165j 0.0109367+0.0212135j -0.0401904+0.0165278j 0.00302659+0.00339273j 0.0431878-0.0159694j -0.0209638+0.0093425j -0.00952086+0.00848011j -0.00698773-0.0166031j 0.0110922-0.00782178j 0.00371689+0.00817413j -0.0104591+0.00504298j 0.00663485-0.00459331j 0.00653164-0.0180093j -0.00316743+0.0133721j 0.00310243-0.0278652j 0.00354567-0.0177553j -0.0245055+0.0229776j -0.0102238+0.0220743j 0.0198199+0.0462459j 
0.0336701+0.0076416j 0.028612+0.0322049j -0.057007-0.0453496j 0.0318541-0.0145101j -0.0650031-0.00204614j -0.0459536-0.0626752j 0.0112036+0.0457638j 0.106051+0.0326506j 0.00084723-0.0159544j 0.00678952-0.00719245j 0.0216842-0.00980396j -0.0172928+0.0333249j 0.0518403+0.00770658j -0.00267768+0.00757269j -0.0010674+0.00838762j 0.0170956+0.0178946j 0.0204347+0.0185197j 0.0267872-0.0335292j -0.00124939-0.010784j -0.0162743+0.00159893j 0.00722516-0.0138601j 0.0109774-0.000866112j -0.0177313+0.00149478j -0.0120551+0.0106433j 0.0347346-0.000357817j -0.0127114-0.00572473j 0.00285248+0.0129338j -0.000642937-0.00386568j 0.0044367-0.0165409j 0.0182458+0.00273679j 0.00130639-0.0135568j -0.00213413-0.0143119j 0.020506-0.0147457j 0.0118735+0.0150495j 
-0.011293+0.0253995j -0.0235288-0.00156342j 0.0192138+0.0123892j 0.0225481+0.0193196j 0.0225375-0.0448946j -0.0548973-0.0569277j 0.0412403-0.0320979j -0.0128453-0.0221195j -0.0282975-0.0155845j -0.00360119+0.0067315j -0.00584218-0.0182139j -0.0195569-0.0260594j -0.0292025-0.000634324j -0.0161434+0.0211108j -0.0131284+0.0128454j -0.0203297-0.00853186j 0.0035742-0.0157818j 0.0283551-0.0243043j 0.0247732+0.0167277j -0.0151675+0.0154294j -0.0120703-0.00878495j 7.65886e-05-0.0166256j 0.00251029+0.0217204j 5.62461e-05+0.0305907j -0.0104473-0.00832572j -0.00251444+0.0129428j 0.0198187+0.00629856j -0.00402684-0.0128744j 0.000390188-0.000914783j -0.00809008+0.00564688j 0.00583609+0.00422507j 0.0213517+0.0168028j 0.00750382-0.00576943j -0.028029-0.0307446j 
-0.0298-0.00153278j -0.0260885-0.0465975j 0.0415677+0.0953602j -0.0110522+0.00645173j 0.0763934+0.000584062j 0.0448299-0.0751636j 0.0957461-0.0264286j -0.024748-0.109577j 0.00646377-0.0288285j 0.00107322+0.029156j -0.0147815+0.00316699j 0.0355176-0.000340184j -0.0232347-0.0139936j 0.0160076+0.00760958j -0.0136476+0.0184459j -0.0116531+0.00603374j 0.00947589-0.0345147j 0.000863384+0.00473036j -0.00706583-0.0155125j -0.0293751-0.0295377j 0.00621435+0.00948767j 0.00411428-0.0315441j -0.00147912+0.0136922j 0.0030687+0.00211189j 0.00452754-0.0134203j 0.00729048-0.000312584j -0.00550296-0.00912849j 0.00248093+0.00222619j 0.0090953-0.00674157j -0.0107371-0.00405217j -0.0341207+0.0140925j 0.0108988+0.00112695j 0.033715+0.0157648j -0.0102063-0.0361268j 
0.0207234-0.0525107j 0.00790779-0.0346667j 0.0100415+0.0331405j -0.0160889+0.00724278j 0.00494445+0.100837j 0.00680567+0.0471879j -0.0498269+0.162103j -0.0491387+0.0344969j 0.0109938-0.0212817j 0.00330578+0.00116569j 0.00417752-0.0366137j 0.00989431+0.0737085j 0.0057653-0.033982j 0.00259032+0.0249752j 0.0255324+0.0037881j 0.010383-0.00859344j -0.015745+0.0111182j -0.0124874+0.00932462j -0.00349159-0.00288158j 0.00666926-0.0212065j 0.00265451+0.0093019j -0.00995363-0.00424686j -0.00262521+0.00794834j -0.00109477-0.0184823j -0.0109853-0.014863j -0.0222646-0.0053329j 0.00326244-0.000162993j -0.0023382-0.00867311j -0.0220845-0.0142525j 0.0178384-0.0147975j 0.028833-0.0262251j 0.000290345+0.0370152j -0.0105894+0.0206207j -0.0193691+0.00586307j 
0.0393956+0.0435841j -0.00861633+0.00447207j 0.013529+0.0129589j 0.0485914+0.0227583j -0.099074-0.0978837j -0.0223854+0.0316424j -0.146364+0.115299j -0.0699264+0.0508707j 0.0316378-0.0278595j 0.0286003+0.0164434j 0.019078-0.0129313j -0.0691944-0.0216999j 0.0334824-0.00902156j 0.0322596-0.0154179j -0.00563715-0.00392122j -0.01385+0.0155477j 0.000199795+0.0084264j -0.00763948+0.00871131j -0.0128317-0.00317838j 0.0112566+0.00197603j -0.0133716+0.0162851j 0.000310543+0.0118083j 0.0252044+0.00832386j -0.0108063-0.00322929j -0.00821861+0.0372711j 0.00153201+0.00211932j 0.00933764-0.00180372j 0.0127673-0.027717j 0.0127784+0.0137294j 0.00281613-0.0153294j 0.0106761-0.00952528j -0.0103774-0.00967629j 0.00537659+0.0109257j -0.00839285+0.00288067j 
0.0352117-0.024961j 0.00929004+0.0270398j 0.031929-0.0314248j -0.00447674-0.0555763j -0.063666+0.0496527j -0.0405664-0.0548804j -0.0497898-0.0470174j -0.0756843-0.0144684j -0.00465316+0.00747494j 0.0190919-0.0356256j 0.0326703+0.00784605j -0.00327774+0.0130026j 0.0247036+0.0136387j -0.0136988-0.0128029j 0.027016-0.0140155j 0.0318639-0.0032269j -0.00203407+0.00208935j 0.00172961-0.00492231j -0.00288693+0.00755929j -0.00409099-0.00769662j -0.00254659-0.0165053j 0.00406673+0.00835426j 0.0140539-0.0219644j -0.0240954+0.0155035j 0.0137911+0.00277122j 0.00993796+0.0327477j 0.0114993-0.0167488j -0.0119961-0.00163824j -0.00849886-0.00798995j -0.0132953+0.00131227j 0.012496-0.0162553j -0.0239765-0.0171863j -0.00900867+0.00443168j -0.0115976+0.0113849j 
-0.0503597-0.050016j -0.0211075-0.0223302j 0.0530372+0.0160342j -0.0620847-0.0303398j 0.0900882+0.0854161j -0.0881183+0.0643199j 0.126073+0.029822j -0.0752961-0.0358543j 0.0136553+0.0120844j -0.00980407-0.00730352j -0.0158088-0.00230786j 0.0297057+0.0254777j -0.0522526-0.02325j 0.0143698+0.00154805j -0.0366194-0.0219596j 0.00329807-0.0118495j 0.00446061+0.0104538j 0.00218448-0.0131688j 0.000872843+0.00359848j -0.00428349+0.00232585j 0.0090228+0.0139634j -0.0139297+0.0192554j 0.0122401-0.00655185j 0.00193356-0.00539002j 0.00626037+0.00625713j -0.0130758+0.0126626j -0.00088805+0.000928771j 0.00666156+0.00390482j 0.0268186-0.0037055j -0.0182131-0.00304475j -0.00374252-0.018124j 0.021433+0.00362481j 0.0194032+0.018652j -0.0127878+0.0159706j 
-0.00930452-0.0411798j 0.0212708-0.0158437j -0.045306-0.0194041j -0.0799611-0.00294379j 0.042652+0.0933432j -0.0649018+0.0435304j -0.110767-0.079133j 0.0126522-0.0227937j 0.0349199+0.0265953j -0.0440495-0.00487224j 0.00452847-0.00507317j 0.00913917+0.0395289j -0.00223433-0.0191274j 0.0067236-0.00744426j -0.00344814-0.00987235j -0.0151992-0.00838246j 0.0143417+0.00728548j -0.0130363+0.00997818j 0.0138349+0.035263j 0.00151494-0.00939653j 0.00992189+0.0249709j 0.013013+0.00856684j 0.0318188-0.00434459j -0.00201571-0.0127055j -0.0135326+0.0126921j -0.00206347+0.0132259j 0.0243932-0.00405811j 0.00754736+0.0175637j -0.000631387-0.0102553j 0.0111681-0.00474601j 0.00549313+0.0120529j -0.00215857+0.0115009j -0.00605189-0.000131902j -0.0028628-0.0115951j 
0.000227129-0.025425j -0.00759021-0.0231762j 0.0397851+0.0596048j -0.00198178+0.000557208j 0.0392318+0.0230327j 0.072344+0.0638716j -0.0089345-0.0629765j -0.0755485-0.0633169j 0.0396134-0.0514889j 0.0119897+0.019029j -0.0122359-0.0259697j 0.0269736-0.0217807j -0.0223344+0.000437741j 0.00485419+0.00212013j 0.0332328+0.00573236j 0.0185677-0.0274151j -0.0130877-0.0389423j -0.0249438+0.0178614j -0.0118308+0.0226062j -0.0123602+0.0433195j 0.00897375+0.00393953j 0.00132953-0.0166355j 0.0213785+0.019664j 0.00157729-0.0164166j -0.0360643-0.0157204j -0.000612612+0.016925j 0.0125557-0.0118086j -0.00315538-0.00998417j 0.0077259-0.02227j -0.0084537+0.0147108j -0.00902555-9.98513e-05j -0.0020823+0.00983109j -0.0231086+0.00345538j -0.0135367-0.0179961j 
-0.035437+0.0213486j -0.00732764+1.76208e-06j 0.00975941-0.023314j -0.010662+0.00739379j 0.0394925-0.0416647j 0.0648054+0.00767763j -0.0434067-0.0427992j 0.0336526+0.0529657j 0.013206-0.00297171j 0.022552-0.00837324j 0.0177623-0.0129555j 0.00955186-0.0141769j 0.0336291+0.00190634j 0.0380798+0.0019334j 0.00404913+0.0261523j -0.0148522-0.00574756j 0.00790383-0.0167394j 0.0392429+0.00117575j 0.00318649+0.0102661j -0.0178511+0.00305262j 0.0106667+0.00567205j 0.00313645+0.00146135j -0.00795599+0.0189804j -0.00195484-0.00464956j 0.0107493-0.00540088j 0.000770714+0.0124343j -0.00535378+0.00758895j 0.000242927-0.00525362j -0.00870989+0.000182608j 0.010624+0.0142439j 0.000125717+0.000600249j 0.030324+0.0182982j 0.00499737-0.0211187j 0.00141184-0.0209257j 
-0.0362565+0.0361622j -0.00153026-0.00509261j 0.0162214+0.0288941j -0.00697978+0.024753j 0.0747834-0.0571446j 0.0364374-0.061946j 0.0755466-0.107286j 0.0274963-0.11028j -0.0475078-0.00532928j 0.00318314+0.0270319j 0.0286349+0.0142007j 0.0325934-0.0422991j -0.00735257+0.0119273j -0.039639-0.0098684j -0.0157448+0.000211455j 0.0182344+0.0105506j 0.00944534-0.00945942j 0.0424981-0.0129817j -0.0163751-0.00623002j 0.0382874+0.0123328j 0.00720112-0.00566285j -0.0120697+0.00264669j -0.00692894+0.0221057j -0.0121491-0.00867456j 0.0011998-0.0015526j -0.00151106+0.00701543j -0.00158444+0.0051351j 0.005759-0.0128933j 0.0102668-0.00292697j -0.00366764+0.0018714j -0.0213315+0.00836505j 0.00631429-0.0304907j 0.0182676+0.00438801j 0.0205695+8.05151e-06j 
-0.0180328+0.0075601j -0.0254609+0.0109341j 0.0275432+0.0246606j 0.0128198-0.0845607j -0.0392298-0.0521406j -0.074721-0.089506j 0.0706012-0.155581j -0.0348743-0.0949714j -0.0236856+0.0318768j 0.0213636-0.0348611j 0.00998009+0.0155617j -0.0353139-0.0290733j 0.00892106+0.0205541j 0.00435566-0.00302947j -0.0470051+0.00380945j -0.013427-0.00798104j 0.0160448-0.0352614j 0.0198906+0.0124483j 0.000702171+0.00202807j -0.0349084+0.0172717j 0.00027428-0.0234879j -0.015389-0.0144778j -0.0115999+0.0138641j -0.0103449+0.0126582j -0.00183085-0.0223311j 0.00400758+0.0310121j 0.0208436+0.00906202j 0.0112544+0.00565172j 0.00424738+0.00569464j -0.00868726+0.00554686j -0.00635422+0.0105564j 0.0180876+0.00275633j 0.0147071-0.00711872j -0.00213854-0.0366758j 
-0.0189102+0.00327402j 0.0223594-0.0112783j 0.0343311+0.0449288j -0.088123-0.0115796j 0.037352-0.0217446j 0.158943-0.10536j -0.0573504-0.0373944j -0.0849025-0.132089j 0.0463936-0.0178601j -0.0235662+0.0054101j -0.00317193+0.0473828j 0.0218227-0.0201096j -0.01152+0.0018458j -0.00722165-0.0185435j -0.00945636-0.00733067j -0.0071151+0.00912859j 0.00055813+0.0154566j -0.00158902+0.0123926j -0.0160808-0.0203061j 0.0020944+0.0180548j -0.00670591-0.0187679j -0.0197486-0.00514685j 0.00458215-0.019331j -0.0202133+0.00175919j -0.0135407+0.0373976j 0.0196415-0.0216513j -0.0280705-0.027697j -0.0226693-0.0333915j -0.00172704-0.0146843j 0.0242928+0.00240014j -0.0119443+0.0382984j 0.0110086+0.00844801j -0.0157027-0.0263227j 0.0014497-0.00061141j 
0.0184082+0.00123242j 0.0144005+0.0436886j -0.019961-0.0239897j 0.00631385-0.0725645j -0.0233237-0.00011774j -0.0788895+0.221709j -0.160587-0.217929j -0.0737599-0.0609073j 0.0342953+0.0908019j 0.0118699-0.0156307j 0.00460901+0.00318694j -0.0171855-0.00257425j 0.0238383+0.0368224j 9.57865e-05+0.00383426j -0.0119896-0.0427254j 0.0144904+0.00379538j -0.00295129+0.0173508j -0.0162804-0.0176584j 0.00676333-0.00278157j -0.010249+0.0264974j 0.00275093+0.000934071j 0.00696407+0.0156566j -0.00115836-0.0128219j 0.0348021-0.0289266j -0.0188301+0.0165572j 0.00429362-0.0364296j 0.0315764-0.0079452j -0.00846288+0.0275974j -0.00238153-0.0224224j 0.00987587+0.0260852j 0.00168317+0.0303392j -0.00549839-0.0182578j -0.0219404-0.0209965j 0.00329747+0.0183981j 
0.0491953+0.0700774j 0.0349594-0.0544155j -0.0220239+0.0673845j -0.0271154+0.0664556j -0.158769-0.131455j -0.165757-0.00964638j -0.164043+0.169117j -0.082905-0.00487332j 0.0241112-0.0271679j 0.0148472+0.0390737j 0.021276-0.0268106j -0.0894293-0.0278046j 0.0483921-0.022852j 0.0105412-0.00141148j 0.00140646+0.0277795j 0.00459189+0.012852j -0.0246173-0.0252979j -0.0411861+0.0204326j 0.0121241-0.0260627j -0.000232148-0.0432888j -0.00761452-0.00172198j -0.0311268-0.0190587j 0.0237065+0.00525101j 0.0113353-0.00144868j -0.00289668-0.0064743j 0.00993822-0.0164891j 0.0208001+0.00194582j 0.0312303-0.0444831j -0.0105804+0.02323j 0.0216292-0.00603943j 0.0288759-0.00942482j -0.0336154+0.00414193j -0.0224056+0.01318j -0.00815319-0.0147125j 
