-0.0287121-0j -0.00463339-0j -0.00378315-0j -0.000546051-0j -0.000472894-0j -5.57311e-05-0j -2.54376e-06-0j -0.026399-0j -0.00417405-0j -0.00329987-0j -0.00219992-0j -0.000476296-0j -0.000549979-0j -0.000194447-0j -4.58316e-05-0j -4.86117e-05-0j -4.05098e-06-0j -1.50971e-07-0j -0.017228-0j -0.0174065-0j -0.00268588-0j -0.00271372-0j -0.00208048-0j -0.00210204-0j -0.000300291-0j -0.00189921-0j -0.000303403-0j -0.00191889-0j -0.000335736-0j -0.000223824-0j -0.000339215-0j -2.7978e-05-0j -0.000193837-0j -0.000226143-0j -2.82679e-05-0j -0.000195846-0j -3.95668e-05-0j -1.97834e-05-0j -3.99768e-05-0j -2.3315e-06-0j -2.85549e-06-0j -1.99884e-05-0j -2.35566e-06-0j -2.88508e-06-0j -1.84321e-07-0j -1.86231e-07-0j -5.80557e-09-0j -5.86573e-09-0j 
0.0324338-0j 0.00523398-0j 0.00427352-0j 0.00061683-0j 0.00053419-0j 6.29549e-05-0j 2.87349e-06-0j 0.000516671-0j 8.16929e-05-0j 6.45839e-05-0j 4.30559e-05-0j 9.32188e-06-0j 1.0764e-05-0j 3.80564e-06-0j 8.96999e-07-0j 9.51411e-07-0j 7.92842e-08-0j 2.95475e-09-0j 0.0194611-0j -0.0189814-0j 0.00303403-0j -0.00295925-0j 0.00235015-0j -0.00229222-0j 0.000339215-0j 0.00214538-0j -0.000330854-0j -0.0020925-0j 0.000379254-0j 0.000252836-0j -0.000369906-0j 3.16045e-05-0j 0.000218962-0j -0.000246604-0j -3.08255e-05-0j -0.000213565-0j 4.46955e-05-0j 2.23477e-05-0j -4.35938e-05-0j 2.63371e-06-0j 3.22562e-06-0j -2.17969e-05-0j -2.56879e-06-0j -3.14611e-06-0j 2.08213e-07-0j -2.03081e-07-0j 6.55808e-09-0j -6.39644e-09-0j 
0.0264821-0j 0.00427352-0j 0.00348932-0j 0.00050364-0j 0.000436165-0j 5.14025e-05-0j 2.34619e-06-0j 0.0243486-0j 0.00384985-0j 0.00304358-0j 0.00202905-0j 0.000439302-0j 0.000507263-0j 0.000179344-0j 4.22719e-05-0j 4.48361e-05-0j 3.73634e-06-0j 1.39245e-07-0j -0.0154376-0j 0.0160546-0j -0.00240675-0j 0.00250295-0j -0.00186426-0j 0.00193877-0j -0.000269083-0j -0.00170183-0j 0.000279838-0j 0.00176985-0j -0.000300844-0j -0.000200563-0j 0.000312868-0j -2.50703e-05-0j -0.000173692-0j 0.000208579-0j 2.60724e-05-0j 0.000180635-0j -3.54548e-05-0j -1.77274e-05-0j 3.68719e-05-0j -2.08919e-06-0j -2.55873e-06-0j 1.84359e-05-0j 2.1727e-06-0j 2.661e-06-0j -1.65165e-07-0j 1.71767e-07-0j -5.20222e-09-0j 5.41014e-09-0j 
-0.0267565-0j -0.00431781-0j -0.00352548-0j -0.000508859-0j -0.000440685-0j -5.19352e-05-0j -2.37051e-06-0j 0.0237485-0j 0.00375496-0j 0.00296856-0j 0.00197904-0j 0.000428475-0j 0.00049476-0j 0.000174924-0j 4.123e-05-0j 4.3731e-05-0j 3.64425e-06-0j 1.35813e-07-0j -0.0160546-0j 0.0162112-0j -0.00250295-0j 0.00252737-0j -0.00193877-0j 0.00195769-0j -0.000279838-0j -0.00176985-0j 0.000282568-0j 0.00178712-0j -0.000312868-0j -0.000208579-0j 0.000315921-0j -2.60724e-05-0j -0.000180635-0j 0.000210614-0j 2.63267e-05-0j 0.000182397-0j -3.68719e-05-0j -1.84359e-05-0j 3.72316e-05-0j -2.1727e-06-0j -2.661e-06-0j 1.86158e-05-0j 2.19389e-06-0j 2.68696e-06-0j -1.71767e-07-0j 1.73443e-07-0j -5.41014e-09-0j 5.46293e-09-0j 
-0.0231718-0j -0.00373933-0j -0.00305315-0j -0.000440685-0j -0.000381644-0j -4.49772e-05-0j -2.05292e-06-0j -0.000369128-0j -5.83642e-05-0j -4.6141e-05-0j -3.07606e-05-0j -6.65987e-06-0j -7.69016e-06-0j -2.71888e-06-0j -6.40847e-07-0j -6.79721e-07-0j -5.66434e-08-0j -2.11097e-09-0j 0.0409194-0j 0.013561-0j 0.00637943-0j 0.00211419-0j 0.00494149-0j 0.00163764-0j 0.000713242-0j 0.00451094-0j 0.000236373-0j 0.00149496-0j 0.000797429-0j 0.000531619-0j 0.000264274-0j 6.64524e-05-0j 0.000460396-0j 0.000176182-0j 2.20228e-05-0j 0.000152578-0j 9.39779e-05-0j 4.6989e-05-0j 3.11449e-05-0j 5.5377e-06-0j 6.78227e-06-0j 1.55725e-05-0j 1.83523e-06-0j 2.24769e-06-0j 4.37794e-07-0j 1.45088e-07-0j 1.37892e-08-0j 4.56984e-09-0j 
0.0191158-0j 0.00308479-0j 0.00251872-0j 0.000363546-0j 0.00031484-0j 3.71043e-05-0j 1.69357e-06-0j -0.034238-0j -0.0054135-0j -0.00427975-0j -0.00285316-0j -0.000617728-0j -0.000713291-0j -0.000252186-0j -5.94409e-05-0j -6.30466e-05-0j -5.25388e-06-0j -1.95801e-07-0j -0.0111434-0j 0.010405-0j -0.00173729-0j 0.00162216-0j -0.0013457-0j 0.00125652-0j -0.000194234-0j -0.00122845-0j 0.000181363-0j 0.00114704-0j -0.000217161-0j -0.000144774-0j 0.00020277-0j -1.80967e-05-0j -0.000125378-0j 0.00013518-0j 1.68975e-05-0j 0.000117069-0j -2.55926e-05-0j -1.27963e-05-0j 2.38967e-05-0j -1.50806e-06-0j -1.84699e-06-0j 1.19483e-05-0j 1.40812e-06-0j 1.72459e-06-0j -1.19223e-07-0j 1.11322e-07-0j -3.75516e-09-0j 3.50631e-09-0j 
-0.00610758-0j -0.000985606-0j -0.000804744-0j -0.000116155-0j -0.000100593-0j -1.1855e-05-0j -5.41104e-07-0j 0.0219757-0j 0.00347466-0j 0.00274696-0j 0.00183131-0j 0.00039649-0j 0.000457827-0j 0.000161866-0j 3.81522e-05-0j 4.04665e-05-0j 3.37221e-06-0j 1.25675e-07-0j -0.0036647-0j -0.0388271-0j -0.000571336-0j -0.00605324-0j -0.000442555-0j -0.00468882-0j -6.38773e-05-0j -0.000403995-0j -0.000676773-0j -0.00428029-0j -7.1417e-05-0j -4.76113e-05-0j -0.000756655-0j -5.95141e-06-0j -4.12326e-05-0j -0.000504437-0j -6.30546e-05-0j -0.000436855-0j -8.41657e-06-0j -4.20829e-06-0j -8.91727e-05-0j -4.95951e-07-0j -6.07414e-07-0j -4.45863e-05-0j -5.25455e-06-0j -6.43549e-06-0j -3.92084e-08-0j -4.15409e-07-0j -1.23495e-09-0j -1.30841e-08-0j 
0.00377128-0j -0.0286956-0j 0.00049691-0j -0.00683533-0j -0.00292873-0j -0.0010501-0j -8.01068e-05-0j 0.00346746-0j -0.0258507-0j 0.000433433-0j 0.000288955-0j -0.00596216-0j -0.00340613-0j 2.55403e-05-0j -0.000863573-0j -0.00060851-0j -0.00010195-0j -5.70912e-06-0j 0.00226287-0j 0.00228632-0j -0.0166342-0j -0.0168066-0j 0.000273267-0j 0.000276099-0j -0.00375897-0j 0.000249458-0j -0.00379793-0j 0.000252043-0j -0.00207928-0j -0.00138619-0j -0.00210083-0j -0.00052717-0j 2.54602e-05-0j -0.00140055-0j -0.000532633-0j 2.5724e-05-0j -0.000495288-0j -0.000122523-0j -0.000500421-0j -5.86765e-05-0j -5.3804e-05-0j -0.000123792-0j -5.92846e-05-0j -5.43616e-05-0j -5.80453e-06-0j -5.86468e-06-0j -2.56261e-07-0j -2.58916e-07-0j 
-0.00417405-0j 0.0317602-0j -0.000549979-0j 0.00756533-0j 0.00324151-0j 0.00116225-0j 8.86619e-05-0j -6.64927e-05-0j 0.000495719-0j -8.31159e-06-0j -5.54106e-06-0j 0.000114332-0j 6.53167e-05-0j -4.89765e-07-0j 1.65601e-05-0j 1.16689e-05-0j 1.95502e-06-0j 1.09479e-07-0j -0.00250453-0j 0.0024428-0j 0.0184107-0j -0.0179569-0j -0.000302451-0j 0.000294996-0j 0.00416042-0j -0.000276099-0j -0.00405787-0j 0.000269294-0j 0.00230134-0j 0.00153423-0j -0.00224462-0j 0.00058347-0j -2.81792e-05-0j -0.00149641-0j -0.000569089-0j 2.74847e-05-0j 0.000548183-0j 0.000135608-0j -0.000534672-0j 6.4943e-05-0j 5.95502e-05-0j -0.000132265-0j -6.33423e-05-0j -5.80824e-05-0j 6.42444e-06-0j -6.26609e-06-0j 2.83629e-07-0j -2.76638e-07-0j 
-0.00329987-0j 0.0251086-0j -0.000434797-0j 0.00598092-0j 0.00256264-0j 0.00091884-0j 7.00934e-05-0j -0.00303403-0j 0.0226194-0j -0.000379254-0j -0.000252836-0j 0.00521689-0j 0.00298037-0j -2.23477e-05-0j 0.000755627-0j 0.000532446-0j 8.92066e-05-0j 4.99548e-06-0j 0.00192364-0j -0.00200053-0j -0.0141406-0j 0.0147058-0j 0.000232302-0j -0.000241587-0j -0.00319547-0j 0.000212062-0j 0.00332319-0j -0.000220537-0j -0.00176758-0j -0.00117838-0j 0.00183822-0j -0.000448142-0j 2.16434e-05-0j 0.00122548-0j 0.000466054-0j -2.25085e-05-0j -0.00042104-0j -0.000104155-0j 0.000437868-0j -4.98803e-05-0j -4.57383e-05-0j 0.000108318-0j 5.1874e-05-0j 4.75664e-05-0j -4.93438e-06-0j 5.1316e-06-0j -2.17845e-07-0j 2.26552e-07-0j 
-0.00219992-0j 0.0167391-0j -0.000289864-0j 0.00398728-0j 0.00170843-0j 0.00061256-0j 4.67289e-05-0j -0.00202269-0j 0.0150796-0j -0.000252836-0j -0.000168557-0j 0.00347793-0j 0.00198691-0j -1.48985e-05-0j 0.000503751-0j 0.000354964-0j 5.94711e-05-0j 3.33032e-06-0j -0.00132001-0j -0.00133368-0j 0.00970331-0j 0.00980386-0j -0.000159406-0j -0.000161058-0j 0.00219273-0j -0.000145517-0j 0.00221546-0j -0.000147025-0j 0.00121291-0j 0.000808609-0j 0.00122548-0j 0.000307516-0j -1.48518e-05-0j 0.000816988-0j 0.000310702-0j -1.50057e-05-0j 0.000288918-0j 7.14716e-05-0j 0.000291912-0j 3.4228e-05-0j 3.13857e-05-0j 7.22123e-05-0j 3.45827e-05-0j 3.17109e-05-0j 3.38598e-06-0j 3.42107e-06-0j 1.49485e-07-0j 1.51035e-07-0j 
