-0.147245-0j -0.154432-0j -0.115107-0j -0.115107-0j -0.0996854-0j -0.122089-0j -0.0704882-0j 0.281541-0j -0.0891613-0j -0.106568-0j -0.0652594-0j -0.0922907-0j 0.304099-0j -0.0376775-0j -0.0690641-0j -0.0813928-0j -0.0813928-0j 0.235554-0j -0.0704882-0j -0.0514773-0j 0.235554-0j -0.0575534-0j 0.353941-0j -0.0182-0j -0.0891613-0j 0.433488-0j -0.0315233-0j -0.0514773-0j 0.175571-0j 0.250274-0j -0.0545999-0j 0.152049-0j -0.0315233-0j -0.0271309-0j 0.21503-0j -0.00813928-0j -0.0271309-0j 0.107515-0j 0.0877857-0j -0.0406964-0j 0.107515-0j -0.0143883-0j -0.0332285-0j 0.0480822-0j -0.0287767-0j -0.0105078-0j 0.0104924-0j -0.00788082-0j -0.0203482-0j -0.0101741-0j -0.00743011-0j -0.00643466-0j -0.00140416-0j -0.00243207-0j -0.000573246-0j -7.72964e-05-0j 
0.170024-0j -0.000561098-0j 0.132914-0j -0.13375-0j -0.233484-0j -0.000443587-0j -0.163554-0j 0.106568-0j 0.102955-0j 0.000785388-0j 0.0753551-0j -0.107239-0j -0.000362187-0j -0.131066-0j -0.000250931-0j -0.190639-0j 0.191838-0j 0.0891613-0j -0.000256105-0j -0.300582-0j -0.0897224-0j -0.133541-0j -0.116742-0j -0.0843927-0j 0.000657103-0j -0.000221793-0j 0.0364-0j 0.242279-0j 0.00105743-0j -0.0817769-0j -0.0634433-0j -0.116742-0j -0.109658-0j -0.253295-0j 0.166137-0j -0.0471696-0j 0.254889-0j -0.000128053-0j 0.203051-0j 0.000747713-0j -0.0817769-0j -0.0337004-0j 0.389881-0j -0.0730863-0j 0.067825-0j 0.246389-0j -0.0239168-0j -2.86334e-05-0j 0.143579-0j -0.023607-0j 0.0873427-0j -0.0298373-0j 0.0231046-0j -0.0169118-0j -0.00531416-0j -0.000895631-0j 
0.104118-0j 0.1092-0j -0.24623-0j 0.0813928-0j 0.0704882-0j -0.261167-0j 0.0498427-0j 0.0652594-0j 0.0630466-0j 0.0753551-0j 0.0484869-0j -0.197424-0j 0.0704882-0j 0.026642-0j 0.0488357-0j -0.174111-0j 0.0575534-0j -0.165176-0j 0.0523718-0j 0.0364-0j 0.0545999-0j -0.123115-0j 0.0352441-0j 0.0128693-0j -0.190729-0j -0.130583-0j 0.294853-0j 0.0364-0j 0.0406964-0j 0.0249214-0j 0.040567-0j 0.0370325-0j -0.067433-0j -0.0580371-0j -0.150785-0j 0.00575534-0j 0.0191845-0j 0.329656-0j 0.0203482-0j 0.0302369-0j 0.0261859-0j 0.340895-0j -0.0710806-0j -0.0337165-0j 0.269163-0j 0.00743011-0j 0.00243207-0j 0.344863-0j 0.0151184-0j 0.241049-0j -0.0158941-0j 0.0601867-0j 0.00099289-0j 0.001807-0j -0.00122626-0j 5.46568e-05-0j 
-0.147245-0j 0.155404-0j 0.116558-0j 0.115105-0j -0.0996854-0j -0.124406-0j -0.0718232-0j -0.0922907-0j -0.0891613-0j 0.107239-0j 0.197424-0j -0.0934523-0j 0.100313-0j -0.190289-0j 0.0694987-0j 0.0824188-0j 0.0813912-0j 0.0781894-0j -0.214584-0j -0.0514773-0j 0.0772145-0j 0.0593826-0j -0.0498427-0j -0.201921-0j -0.0908535-0j -0.0622031-0j 0.158809-0j -0.0524522-0j 0.0579156-0j -0.0359116-0j -0.165173-0j 0.150785-0j 0.161214-0j 0.0274729-0j -0.0713754-0j -0.155878-0j 0.0271304-0j -0.178671-0j -0.145336-0j -0.12389-0j 0.10864-0j 0.101444-0j 0.0342846-0j 0.177073-0j -0.144969-0j -0.116579-0j -0.100504-0j -0.0718736-0j 0.310894-0j 0.0730902-0j 0.14409-0j 0.35965-0j -0.0579954-0j 0.214992-0j 0.0321565-0j -0.00692762-0j 
0.0601126-0j -0.189933-0j 0.0469921-0j 0.237332-0j 0.0406964-0j -0.150155-0j 0.0276799-0j 0.0376775-0j 0.0364-0j -0.131066-0j 0.026642-0j 0.190289-0j -0.122601-0j -0.233835-0j -0.0849407-0j 0.0332285-0j 0.167819-0j 0.0315233-0j -0.0866923-0j 0.0210155-0j 0.159207-0j 0.0226005-0j 0.0203482-0j -0.141631-0j -0.109658-0j -0.0750777-0j 0.0128693-0j 0.0202145-0j -0.0707839-0j 0.0138399-0j 0.112577-0j 0.0203482-0j -0.195641-0j 0.0110762-0j 0.145336-0j 0.126488-0j 0.0559397-0j -0.0433461-0j -0.178595-0j -0.0500518-0j 0.0138399-0j 0.00587402-0j 0.0130484-0j -0.122656-0j 0.059333-0j -0.0817706-0j 0.321789-0j -0.00969249-0j -0.126286-0j 0.00399524-0j 0.115467-0j -0.0500741-0j 0.37349-0j 0.227539-0j 0.3339-0j 0.146536-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
