-0.157469-0j -0.168342-0j -0.128573-0j -0.128573-0j 0.461807-0j -0.0787347-0j 0.565596-0j 0.326547-0j -0.128573-0j -0.0787347-0j -0.0742318-0j -0.111348-0j -0.0742318-0j -0.0454575-0j -0.090915-0j -0.0227288-0j -0.0742318-0j -0.0454575-0j -0.0234742-0j -0.0321433-0j -0.0117371-0j -0.0022181-0j 
0.176056-0j -0.000118294-0j 0.143749-0j -0.14393-0j 0.128573-0j -0.617969-0j -9.89721e-05-0j -0.182001-0j 0.000271956-0j -0.26497-0j 0.0829937-0j 0.375196-0j -0.083098-0j 0.459327-0j -6.38862e-05-0j 0.0254115-0j -0.166144-0j -0.0508869-0j -0.105062-0j -0.107902-0j -0.0656618-0j -0.0173718-0j 
0.143749-0j 0.153674-0j -0.117666-0j 0.117371-0j -0.210553-0j 0.0718746-0j -0.128897-0j 0.0742318-0j -0.235406-0j -0.215985-0j 0.340441-0j -0.101902-0j -0.339587-0j 0.0414968-0j 0.500209-0j -0.145448-0j 0.136253-0j -0.207797-0j -0.042979-0j -0.0881757-0j -0.0107414-0j 0.00202484-0j 
-0.143749-0j 0.153868-0j -0.117371-0j 0.117371-0j 0.210553-0j -0.0718746-0j 0.128735-0j -0.0745119-0j -0.235702-0j -0.0718746-0j 0.339587-0j 0.101646-0j -0.339587-0j -0.207902-0j -0.166666-0j -0.0207484-0j 0.136425-0j 0.0414968-0j 0.47358-0j -0.147009-0j -0.203898-0j -0.0831406-0j 
-0.124491-0j 8.36467e-05-0j 0.30545-0j 0.101774-0j -0.090915-0j -0.0622453-0j -0.000210303-0j 0.128694-0j 6.38862e-05-0j -0.0628722-0j 0.176351-0j -0.26486-0j 0.0587592-0j 0.107902-0j 4.56294e-05-0j -0.594775-0j -0.353035-0j 0.469403-0j 0.0742901-0j 0.0770669-0j -0.139523-0j 0.0122837-0j 
0.101646-0j -0.217533-0j -0.0832024-0j 0.0833069-0j 0.0742318-0j 0.050823-0j 0.182459-0j 0.210256-0j -0.166144-0j -0.152725-0j -0.0480369-0j -0.0723273-0j 0.0480972-0j 0.029121-0j 0.353035-0j -0.102847-0j -0.192419-0j -0.147489-0j -0.21285-0j -0.0618785-0j 0.357925-0j -0.274096-0j 
-0.0321433-0j 0.137559-0j -0.0262449-0j -0.289189-0j -0.0234742-0j -0.0160717-0j 0.11509-0j 0.233166-0j 0.105062-0j -0.0160717-0j -0.0151525-0j -0.250445-0j -0.166963-0j 0.176417-0j 0.0742901-0j -0.00463949-0j 0.21285-0j -0.102244-0j -0.269463-0j 0.124745-0j -0.362628-0j 0.527324-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
