-0.186793-0j -0.0350014-0j 0.430862-0j -0.0037866-0j -0.00614477-0j 0.0570884-0j -0.000289667-0j -0.03389-0j 0.722577-0j -0.00635033-0j -0.0145736-0j 0.135397-0j -0.000687006-0j -0.00997786-0j 0.0927-0j -0.000470361-0j 0.571248-0j -0.00502038-0j -0.0162938-0j 0.151379-0j -0.000768096-0j -0.0136627-0j 0.126935-0j -0.000644068-0j 
0.0482297-0j -0.263791-0j 0.0037866-0j 0.387473-0j 0.00158657-0j -0.0146447-0j 0.0955468-0j -0.255415-0j 0.00635033-0j 0.649813-0j 0.00376289-0j -0.034733-0j 0.226609-0j 0.00257627-0j -0.02378-0j 0.155149-0j 0.00502038-0j 0.513722-0j 0.00420704-0j -0.0388326-0j 0.253357-0j 0.00352771-0j -0.0325621-0j 0.212446-0j 
0.00885825-0j -0.0260112-0j -0.0224926-0j -0.00580758-0j 0.640646-0j -0.00451643-0j -0.000673269-0j 0.0283995-0j 0.00116635-0j 0.00030115-0j 0.485808-0j -0.00342485-0j -0.000510546-0j -0.37506-0j 0.0026441-0j 0.000394159-0j 0.0162938-0j 0.00420704-0j -0.0346603-0j 0.000244348-0j 3.64253e-05-0j -0.513572-0j 0.00362058-0j 0.000539724-0j 
-0.00280122-0j -0.115934-0j -0.20897-0j -0.0536063-0j 0.00451643-0j 0.59141-0j -0.00942827-0j 0.126579-0j 0.0108361-0j 0.00277974-0j 0.00342485-0j 0.448471-0j -0.00714954-0j -0.0026441-0j -0.346235-0j 0.00551969-0j 0.151379-0j 0.0388326-0j -0.000244348-0j -0.0319965-0j 0.000510089-0j -0.00362058-0j -0.474102-0j 0.00755814-0j 
0.000417582-0j 0.0542997-0j -0.00106031-0j -0.349745-0j -0.000673269-0j 0.00942827-0j 0.529043-0j -0.0592855-0j 5.49823e-05-0j 0.0181359-0j -0.000510546-0j 0.00714954-0j 0.401178-0j 0.000394159-0j -0.00551969-0j -0.309723-0j 0.000768096-0j 0.253357-0j 3.64253e-05-0j -0.000510089-0j -0.0286223-0j 0.000539724-0j -0.00755814-0j -0.424106-0j 
0.0872442-0j 0.0183162-0j -0.0052497-0j -0.00135547-0j -0.0133755-0j -0.0042297-0j -0.000630526-0j -0.0178489-0j 0.0114873-0j 0.00296601-0j 0.00762636-0j 0.00241167-0j 0.00035951-0j -0.00525507-0j -0.0016618-0j -0.000247726-0j -0.0102405-0j -0.0026441-0j 0.00761023-0j 0.00240656-0j 0.00035875-0j -0.0071958-0j -0.00227551-0j -0.000339213-0j 
-0.0159285-0j -0.00334407-0j -0.0572763-0j 0.000247473-0j 0.00244202-0j -0.0461477-0j 0.000115118-0j 0.00325876-0j 0.125331-0j -0.000541516-0j -0.00139238-0j 0.0263123-0j -6.56373e-05-0j 0.000959441-0j -0.0181309-0j 4.52285e-05-0j -0.111728-0j 0.000482744-0j -0.00138943-0j 0.0262566-0j -6.54984e-05-0j 0.00131377-0j -0.0248268-0j 6.19316e-05-0j 
-0.0260112-0j 0.0769681-0j 0.00156516-0j -0.011796-0j -0.178878-0j -0.017774-0j -0.00832473-0j -0.0750045-0j -0.00342485-0j 0.0258117-0j 0.101992-0j 0.0101343-0j 0.00474655-0j -0.070279-0j -0.00698318-0j -0.00327069-0j 0.00305314-0j -0.0230103-0j 0.101776-0j 0.0101128-0j 0.00473651-0j -0.0962335-0j -0.00956212-0j -0.00447858-0j 
0.00581628-0j -0.0356423-0j 0.0102822-0j -0.0358126-0j -0.000891699-0j -0.241814-0j -0.0537-0j 0.034733-0j -0.0224993-0j 0.0783643-0j 0.000508424-0j 0.137876-0j 0.0306184-0j -0.000350338-0j -0.0950059-0j -0.0210981-0j 0.0200574-0j -0.0698592-0j 0.000507348-0j 0.137584-0j 0.0305536-0j -0.00047972-0j -0.130092-0j -0.0288898-0j 
-0.000613089-0j 0.00764277-0j 3.68911e-05-0j 0.0249027-0j 9.39933e-05-0j -0.00176492-0j -0.330185-0j -0.00744778-0j -8.07244e-05-0j -0.0544916-0j -5.35926e-05-0j 0.00100631-0j 0.188263-0j 3.69289e-05-0j -0.000693415-0j -0.129726-0j 7.19632e-05-0j 0.0485775-0j -5.34792e-05-0j 0.00100418-0j 0.187865-0j 5.0567e-05-0j -0.000949497-0j -0.177635-0j 
-0.0954282-0j 0.0066404-0j 0.0142939-0j 0.00369068-0j 0.0026897-0j 0.000850559-0j 0.000126794-0j 0.00945981-0j -0.0125649-0j -0.00324424-0j 0.00276488-0j 0.000874331-0j 0.000130338-0j 0.00278515-0j 0.000880742-0j 0.000131293-0j 0.00542742-0j 0.00140135-0j -0.00832411-0j -0.00263232-0j -0.000392402-0j 0.00381372-0j 0.00120601-0j 0.000179781-0j 
0.0224926-0j -0.00156516-0j 0.0989825-0j -0.000869902-0j 0.0284375-0j 0.00588994-0j -2.98856e-05-0j -0.0022297-0j -0.087009-0j 0.000764674-0j 0.0292323-0j 0.00605455-0j -3.07209e-05-0j 0.0294466-0j 0.00609895-0j -3.09461e-05-0j 0.0375837-0j -0.000330302-0j -0.0880086-0j -0.0182282-0j 9.24902e-05-0j 0.0403215-0j 0.00835133-0j -4.23747e-05-0j 
0.0275478-0j 0.0270181-0j -0.00412631-0j 0.0310983-0j -0.00077645-0j 0.00346071-0j 0.00162088-0j 0.0384896-0j 0.00362717-0j -0.0273365-0j -0.000798151-0j 0.00355743-0j 0.00166618-0j -0.000804004-0j 0.00358351-0j 0.0016784-0j -0.00156676-0j 0.011808-0j 0.00240296-0j -0.0107102-0j -0.00501631-0j -0.00110093-0j 0.00490693-0j 0.00229824-0j 
-0.00502951-0j -0.00493281-0j -0.0450197-0j -0.00567775-0j 0.00014176-0j 0.0377577-0j -0.000295931-0j -0.0070272-0j 0.0395738-0j 0.00499093-0j 0.000145722-0j 0.038813-0j -0.000304202-0j 0.00014679-0j 0.0390976-0j -0.000306432-0j -0.017094-0j -0.00215584-0j -0.000438719-0j -0.116853-0j 0.000915849-0j 0.000201001-0j 0.0535366-0j -0.0004196-0j 
-0.00580758-0j -0.011796-0j 0.000869902-0j 0.0890148-0j -0.00734253-0j -0.00151093-0j 0.00985777-0j -0.0168043-0j -0.000764674-0j -0.0782471-0j -0.00754774-0j -0.00155315-0j 0.0101333-0j -0.00760309-0j -0.00156454-0j 0.0102076-0j 0.000330302-0j 0.0337989-0j 0.0227237-0j 0.00467602-0j -0.0305079-0j -0.010411-0j -0.00214234-0j 0.0139773-0j 
0.00106031-0j 0.00326735-0j 0.00466608-0j -0.0523874-0j -2.98856e-05-0j -0.0122955-0j 0.0234836-0j 0.00465461-0j -0.00410164-0j 0.0460503-0j -3.07209e-05-0j -0.0126392-0j 0.0241399-0j -3.09461e-05-0j -0.0127319-0j 0.0243169-0j 0.00177171-0j -0.0198915-0j 9.24902e-05-0j 0.0380523-0j -0.0726771-0j -4.23747e-05-0j -0.0174338-0j 0.0332973-0j 
-8.65742e-05-0j -0.000448646-0j 1.29677e-05-0j 0.0147556-0j 2.44015e-06-0j -5.74663e-05-0j -0.0221901-0j -0.000639133-0j -1.13991e-05-0j -0.0129707-0j 2.50835e-06-0j -5.90724e-05-0j -0.0228103-0j 2.52674e-06-0j -5.95056e-05-0j -0.0229776-0j 4.92385e-06-0j 0.00560271-0j -7.55179e-06-0j 0.000177847-0j 0.0686742-0j 3.45988e-06-0j -8.14814e-05-0j -0.0314634-0j 
0.0952549-0j 0.0178489-0j 0.00747864-0j 0.00193098-0j 0.00313352-0j 0.000990906-0j 0.000147716-0j -0.0155317-0j -0.0112717-0j -0.00291033-0j -0.00667903-0j -0.0021121-0j -0.000314853-0j -0.0142338-0j -0.00450114-0j -0.00067099-0j 0.00991537-0j 0.00256014-0j 0.008309-0j 0.00262754-0j 0.00039169-0j 0.00696731-0j 0.00220326-0j 0.000328442-0j 
-0.0173911-0j -0.00325876-0j 0.0815949-0j -0.000352546-0j -0.0005721-0j 0.0108112-0j -2.6969e-05-0j 0.00283568-0j -0.122979-0j 0.000531352-0j 0.00121942-0j -0.0230438-0j 5.7484e-05-0j 0.00259873-0j -0.0491092-0j 0.000122505-0j 0.108181-0j -0.000467415-0j -0.00151701-0j 0.0286675-0j -7.15125e-05-0j -0.00127205-0j 0.0240384-0j -5.9965e-05-0j 
-0.0283995-0j 0.0750045-0j -0.0022297-0j 0.0168043-0j 0.0419063-0j 0.00416397-0j 0.00195026-0j -0.0652669-0j 0.00336057-0j -0.0253272-0j -0.0893224-0j -0.00887541-0j -0.00415694-0j -0.190357-0j -0.0189146-0j -0.00885896-0j -0.00295619-0j 0.0222796-0j 0.111121-0j 0.0110414-0j 0.00517142-0j 0.0931777-0j 0.00925848-0j 0.00433636-0j 
