-0.272059-0j -0.296902-0j 0.221159-0j -0.232363-0j -0.209942-0j 0.249826-0j -0.173193-0j -0.151544-0j 0.438464-0j 0.206096-0j 0.523459-0j -0.0884006-0j 0.3165-0j 0.0470445-0j -0.010786-0j 
0.274878-0j -0.288105-0j 0.232363-0j -0.234587-0j 0.212117-0j -0.252091-0j -0.168061-0j 0.135291-0j 0.151544-0j -0.216367-0j -0.103982-0j 0.418719-0j 0.0966567-0j 0.514744-0j 0.301117-0j 
0.0320423-0j 0.0349683-0j 0.0270863-0j 0.027367-0j -0.0480759-0j 0.0305973-0j -0.0997194-0j 0.0178484-0j -0.0343471-0j -0.0490775-0j 0.0126207-0j -0.0202434-0j 0.0127515-0j 0.00576175-0j 0.00127035-0j 
-0.0396503-0j -0.000856442-0j 0.0322321-0j 0.0325244-0j -0.0305973-0j 0.000720645-0j -0.000499591-0j 0.0428611-0j 0.0639025-0j -0.0288478-0j 0.00150997-0j 0.037631-0j -0.0895156-0j -0.0267469-0j 0.00921405-0j 
0.0231294-0j -0.0489841-0j 0.0195519-0j 0.017455-0j 0.0178484-0j -0.0428611-0j -0.0285741-0j 0.0492402-0j 0.0127515-0j 0.0160993-0j -0.0176793-0j 0.00919588-0j 0.0351789-0j -0.0522464-0j -0.0883043-0j 
0.0196095-0j 0.0214002-0j 0.0165765-0j 0.0167483-0j -0.0443106-0j -0.0548315-0j 0.0124834-0j -0.031985-0j 0.010811-0j 0.0154475-0j 0.00772373-0j 0.00637175-0j 0.00780377-0j 0.00352612-0j 0.000777436-0j 
-0.00283039-0j -0.00308885-0j -0.00239261-0j -0.00241741-0j 0.00639568-0j 0.00791425-0j -0.00180183-0j 0.00461664-0j -0.00156043-0j -0.00222965-0j -0.00111482-0j -0.000919683-0j -0.00112638-0j -0.000508952-0j -0.000112213-0j 
-0.0228778-0j -0.000494156-0j -0.0193393-0j 0.0187662-0j 0.0343255-0j -0.000432387-0j 0.00140919-0j 0.0247303-0j 0.0245233-0j -0.0336535-0j -0.00017835-0j -0.0422163-0j 0.0176682-0j 0.0160481-0j 0.00531639-0j 
-0.0140097-0j -0.015289-0j 0.0346201-0j -0.0119656-0j -0.010811-0j 0.0391075-0j -0.0089186-0j -0.00780377-0j -0.00656155-0j 0.0322621-0j -0.0679746-0j -0.0045522-0j -0.00473638-0j 0.00736431-0j -0.000555427-0j 
0.00330212-0j 7.13253e-05-0j 0.00279138-0j -0.00270867-0j -0.00495446-0j 6.24096e-05-0j -0.000203399-0j -0.00356952-0j -0.00353964-0j 0.00485747-0j 2.57427e-05-0j 0.00609339-0j -0.00255019-0j -0.00231635-0j -0.000767355-0j 
0.00202213-0j 0.00220678-0j -0.00499698-0j 0.00172708-0j 0.00156043-0j -0.00564469-0j 0.00128729-0j 0.00112638-0j 0.000947078-0j -0.00465663-0j 0.00981129-0j 0.000657054-0j 0.000683637-0j -0.00106295-0j 8.0169e-05-0j 
