-0.0945649-0.0570195j -0.0649045-0.0660062j -0.0421371+0.0118295j 0.142578-0.0281786j 0.0200557-0.0332943j -0.0528367-0.00829218j -0.0380715+0.00952983j 0.0563624-0.0814077j -0.0228801+0.0721252j -0.0144526+0.0319712j -0.00583898+0.0261065j -0.029246-0.0118138j 0.0265648-0.0397176j 0.00300763+0.0114322j 0.0178071-0.0554536j 0.000906372-0.00252281j 0.0218517-7.61197e-05j 0.000397503+0.0829192j -0.0244872-0.0259137j -0.015094-0.011799j -0.000433345-0.00894983j 0.00237056-0.00371311j -0.00395759-0.0013594j 0.0305338+0.00899212j 0.0184948-0.0144926j -0.00324989-0.00849327j -0.0174105-0.0166521j -0.0138716+0.0465318j -0.00950726+0.0396788j 0.0254889+0.0619452j 0.015311-0.00340203j -0.0526006-0.020161j 0.0189122+0.000533144j 0.0184322-0.00363815j 0.0128801+0.0547386j -0.0843766-0.0302992j 0.0199375-0.0344502j 0.00155133-0.0627261j -0.0433305-0.0427645j -0.0390626-0.0326274j 0.0187158+0.0388608j -0.0533095+0.00711404j -0.0144839-0.0105199j -0.0375755-0.0291435j 0.0159702+0.0428494j -0.0274512-0.00688392j -0.0195097-0.0272618j -0.0260436+0.0137418j 0.0329611-0.0188046j 0.0128473+0.0354884j 0.016185+0.0230114j -0.00673846-0.0515814j 0.0395644-0.0071741j -0.011465+0.00904627j 0.0356694+0.0186533j 0.0232246-0.0515913j 0.0253855-0.0132935j -0.0156497-0.0765623j 0.0267923+0.0538489j 0.0453599+0.0339518j -0.0315038-0.0363716j 0.0357908-0.0136472j 0.062151+0.124195j 0.0896536+0.0401767j 0.100573-0.0758395j 0.133603-0.0703548j 0.237967+0.123811j 0.0808685-0.261438j 0.00615593-0.038468j -0.137767+0.0443086j -0.103314+0.0043056j -0.0464083-0.19614j 0.0258589-0.00525656j 0.0391414-0.0979106j 0.0393358+0.147641j -0.016221+0.0674151j 0.167856+0.132819j 
0.0646768+0.0660485j -0.0949603-0.0473717j -0.13899+0.0363257j -0.0464424+0.0381087j 0.0413836+0.00963867j 0.0287593-0.0407166j 0.0749798-0.0774078j 0.0545223-0.0191259j -0.00643401+0.00825836j -0.0133741-0.0347823j -0.0298533-0.0334457j -0.0162791+0.034097j 0.00861471+0.0224479j -0.0114017-0.0352622j -0.0154734-0.0356809j 0.0277411+0.0346709j -0.0259949+0.010705j 0.0338565+0.000767265j 0.00188508-0.00903809j 0.00383855-0.0503818j 0.0386171-0.0243612j -0.00641046-0.00634666j -0.0110665-0.0198869j 0.0621087+0.0331218j 0.00454729-0.00748617j -0.0133682-0.0316166j -0.0209136-0.000962022j -0.00814575-0.0625118j -0.00577029-0.060681j 0.00877335-0.0107835j -0.000391631+0.00886768j 0.0213595+0.0155179j 0.00664164-0.0277821j 0.0247677-0.0164888j -0.0120322-0.0236294j -0.0432951-0.00609868j -0.000259185-0.0187935j -0.00685939-0.00204879j 0.0174774+0.00782635j 0.00182327+0.0176197j -0.0149599+0.0363916j 0.0188684-0.0467395j -0.0216734+0.00845166j 0.00678518-0.0500924j 0.0269121-0.005814j 0.0160812-0.022507j -0.0146188+0.00570196j 0.0181049+0.00864j -0.0388868-0.0330799j 0.00361637-0.0173773j -0.0400194-0.0284788j -0.039886-0.0120578j -0.0318854-0.0251465j -0.0416195-0.0379304j -0.00269383+0.0626704j -0.0157868-0.0326834j -0.0125524+0.0879695j 0.0267794-0.0276279j -0.0378691-0.043625j -0.0123637-0.0591885j -0.0892467-0.000476245j 0.0193736-0.0475883j 0.0614688-0.0246018j -0.0463458-0.126596j -0.0366257-0.146227j -0.190939-0.0966178j 0.208836-0.133902j -0.17493-0.0703716j -0.00396724+0.129769j 0.0828544+0.0335126j -0.0413521+0.232892j -0.0440987+0.0150357j 0.0812842+0.0617228j -0.0301402-0.175314j 0.0406488-0.131683j 0.167121+0.146511j 0.0155979-0.0730115j 
-0.01519+0.023045j -0.0517134-0.118927j -0.0527284-0.00182585j -0.00125748+0.070595j 0.000978165+0.0593851j -0.0924099-0.0445904j 0.0242569-0.0147939j -0.0529597+0.12786j 0.0415509+0.021682j 0.0150607-0.0767416j 0.0303128-0.104082j -0.0417836-0.0171916j -0.0594869+0.117373j 0.0182422+0.0314011j 0.119448-0.103941j -0.0104524-0.0354855j 0.00308359+0.0597243j 0.00523623+0.045951j -0.0252416+0.0163163j -0.045218-0.0204504j 0.039834-0.0937132j 0.0166504-0.0038335j 0.0345166-0.0549598j -0.0488996-0.0511873j 0.0779334-0.0595642j 0.0272617-0.0252791j 0.0234369-0.0592684j -0.0201885+0.0111728j -0.00909647-0.0269192j -0.0613083+0.0216599j -0.00114965+0.0515014j 0.0436728-0.0387989j 0.0174232-0.069007j 0.0200228-0.0515979j -0.0236966+0.0372844j 0.0343171+0.00190327j 0.0557429-0.0948038j -0.000563387-0.0514663j 0.0269594-0.0166313j 0.0527805+0.00275064j -0.000383645+0.0254848j -0.00911253-0.0098043j -0.00562778+0.0029321j 0.0374969-0.0309249j 0.0176332-0.00264741j 0.0023341-0.0296281j 0.00178323-0.0284128j -0.0398671+0.0332719j 0.0600567-0.00394157j -0.0125618+0.0543853j -0.00317139+0.0495067j 0.0283993-0.0743017j 0.0884636-0.0290533j 0.0441793-0.00604591j 0.136815+0.0747543j -0.0358719-0.0842947j 0.0818116-0.143062j -0.037094+0.0367114j -0.0072241-0.0236137j -0.0174514+0.0266468j 0.0192079-0.0170985j -0.00371826+0.00431802j 0.0453701-0.0176872j 0.142625+0.133949j 0.198561+0.0539736j -0.153253+0.11063j -0.0799579-0.0753974j 0.0212743-0.100341j -0.0490949-0.00992354j -0.0167401+0.0454299j -0.0191445+0.14597j 0.0279442-0.0121505j -0.0902832-0.23572j -0.150532+0.077446j -0.12582-0.0164793j -0.333748+0.322771j -0.211263-0.22334j 
0.0470185+0.139179j -0.0178279+0.00208628j 0.00881515-0.053699j -0.0446267-0.00643534j 0.0689191+0.0655717j 0.00986928-0.0363245j 0.0160561+0.0346896j -0.0501205-0.0350578j -0.0657123+0.0828907j -0.0095306-0.0664966j -0.0296249-0.0122533j -0.0147254+0.0505861j -0.0479693+0.0128783j -0.0623999+0.0994759j -0.0339557-0.0152361j 0.0340151+0.0212286j -0.0308573-0.0348908j 0.0454524-0.0172937j 0.035062+0.0301499j 0.01357-0.0152535j 0.00831344+0.0398766j -0.022064-0.014071j -0.00809933-0.0362652j 0.116162-0.00820473j 0.00371759-0.0373715j -0.00125867+0.0220088j -0.0094355-0.0363583j 0.0146373-0.00157824j 0.0142249-0.0417762j 0.0327908-0.0432711j -0.00901401+0.0528551j 0.0223676-0.0237726j 0.0175313-0.0356539j 0.034785-0.0302059j -0.0239061-0.0432499j -0.0928222-0.0328016j -0.0405036+0.00776925j -0.0289718+0.0643465j -0.0511583+0.0495377j -0.0167324+0.00584479j 0.0451901-0.0201496j -0.0184658-0.0758281j -0.0199839-0.0110428j -0.0349867-0.0495509j 0.0158719-0.0345824j -0.0758298-0.00555763j -0.0226383+0.02219j -0.0212472+0.0130241j 0.033058-0.0407137j 0.00386863-0.061509j 0.168108-0.00425305j -0.071418+0.0100534j 0.00878285-0.0164428j 0.00926868-0.0356331j 0.0917797+0.00514174j -0.0803001+0.0189985j -0.257319-0.0676936j 0.095373+0.0761844j 0.00653534+0.0465174j 0.0506553-0.00241356j -0.0410192+0.118788j 0.0632943-0.0297532j -0.0183154-0.0556732j 0.0827848-0.0152562j 0.119937-0.20617j 0.0136434+0.094283j -0.0565528+0.0574868j -0.0609567+0.047556j 0.18419+0.086634j 0.00608233-0.183168j -0.0185576-0.0489744j -0.0862654-0.0596487j -0.0861682+0.0845152j 0.0923521-0.0289477j -0.17381+0.171158j -0.215786-0.238978j 0.340884-0.295113j 
0.0058909+0.0856462j -0.0310981-0.0206516j -0.00253891-0.127626j 0.0498635+0.0453033j 0.0855308+0.147832j 0.0349024-0.07198j -0.0605289+0.0236759j -0.00996779-0.00660793j -0.0942678+0.00770139j 0.00676421-0.193168j 0.0206592-0.175039j -0.0339659-0.10823j -0.0645197+0.145628j -0.0230701+0.022744j -0.0175214-0.0670403j -0.0306197+0.119097j -0.00534588+0.203993j -0.0157382+0.0856723j -0.003626-0.00493641j 0.042313-0.132378j -0.0240246-0.0915733j -0.0281422+0.0932428j 0.0386972-0.0312886j 0.00550169+0.0516775j 0.0166285-0.0784052j 0.0457009-0.0963048j 0.0431354-0.0339315j 0.0361551-0.0525535j 0.0118674+0.0328632j -0.0258753+0.0736813j 0.0245103-0.0228582j 0.015534-0.0961716j 0.0290937+0.00248294j -0.0112818-0.0123752j -0.041176+0.0981743j 0.0161635-0.0490738j 0.0682998-0.099483j 0.0234466-0.105694j -0.00763617-0.0604182j 0.0645781-0.0898334j 0.0385117+0.0781611j -0.0812657-0.0254067j -0.0307981+0.0743984j 0.0126334-0.089417j -0.043047-0.0374502j -0.000729014+0.0214293j 0.0196566+0.00662119j 0.0376399+0.0794487j -0.0607971-0.0702338j -0.027258+0.0429578j -0.0491104+0.0996576j -0.0193495-0.014817j -0.0574224+0.00208963j -0.115133+0.0982549j -0.0653277+0.0125866j 0.00575368-0.058122j -0.0166457-0.0323785j -0.0199556-0.136377j 0.0116802+0.138389j 0.0406814+0.129414j -0.0384151+0.00493264j 0.0109255+0.0511775j 0.0111613+0.121183j -0.0301041+0.00395295j -0.111349-0.0309208j 0.00210097+0.0771558j 0.022868-0.154348j -0.0858541+0.0131899j 0.0308924-0.121815j -0.0517581+0.0450071j 0.0358963-0.0894701j 0.029669-0.0564315j 0.225459-0.0162612j -0.160515+0.216806j 0.133845+0.237478j 0.0812623-0.0963623j 0.157861+0.0958568j 
-0.0370237-0.0914624j 0.00814044-0.0426992j 0.0339343+0.105526j 0.0435758+0.0287302j 0.069405-0.0471063j -0.0749569+0.00185304j -0.00152792+0.0366544j -0.0904139-0.0106675j -0.1299-0.0317405j 0.0206818+0.115061j 0.0588863+0.0701165j -0.0985301+0.00640857j -0.0938627-0.0103714j 0.043818-0.0742614j 0.100361-0.00380897j -0.0177095-0.0441001j 0.122735-0.0384512j -0.025556-0.0277904j 0.064023-0.0398736j -0.0176962+0.0995538j -0.0709848-0.0662007j 0.04768-0.0276721j -0.00899756+0.0252931j -0.0764405+0.0337136j 0.000948573+0.042187j 0.0188134+0.0464598j 0.0866365+0.0719813j 0.0211594+0.0462953j 0.0332038+0.110178j -0.0564952-0.0120763j 0.0181042+0.00194606j 0.00709097+0.0247899j 0.0410066+0.0945449j -0.0497786+0.019972j 0.0348009-0.000285184j 0.0309593+0.0594974j 0.0501398+0.0476224j -0.12215-0.0854403j 0.0438237+0.00540793j 0.084598+0.0673588j -0.0026821+0.0516192j -0.059253-0.111586j 0.0273229+0.0336589j 0.0349755+0.0376617j -0.0252454-0.105705j -0.0125471-0.0619763j 0.0126603+0.0335979j -0.0288791-0.0280706j 0.169565+0.0584429j 0.0437129-0.0786862j -0.0198935-0.0419792j -0.00253368+0.0979486j 0.08692+0.0926247j -0.0562962-0.0132183j -0.0408013-0.107226j 0.0228374+0.0873514j -0.00596161-0.0255749j -0.0211813+0.033092j -0.132655+0.0234614j -0.0458788+0.126263j 0.0196495+0.038948j 0.0412173+0.182407j -0.0650872-0.0232153j 0.165895+0.0696881j 0.00821619-0.0245169j 0.0165527-0.0638155j 0.109155-0.0982811j -0.0819434-0.000320724j -0.0572583-0.0388055j 0.0351312-0.0146602j 0.0787679-0.0697615j -0.122334+0.165965j -0.0548297+0.137644j 0.135249+0.217446j 0.176519-0.0490339j -0.146768-0.116883j 0.053143-0.0255119j 
-0.0062488-0.0398762j -0.00987658-0.0708872j -0.0699387+0.000442004j 0.0374157+0.0405634j 0.0376868-0.0647888j 0.0887292+0.0752112j -0.0634808-0.0789412j 0.00603297+0.061762j -0.0415306+0.0201216j 0.0458217+0.0945156j 0.0418063+0.0646999j -0.12562-0.000485573j -0.0377327-0.0143546j 0.100222-0.0285806j -0.0495943+0.0384316j -0.00297325-0.11143j 0.0903972-0.0445103j -0.0522625-0.00111876j -0.043513-0.102454j 0.00512874+0.033759j 0.003445-0.0401258j 0.00131433-0.0464296j -0.015856+0.0367048j 0.0434999-0.0356634j -0.0473326+0.0555031j 0.02726+0.0060879j -0.00862723+0.009885j -0.00510911-0.0234823j 0.0188937+0.00989719j -0.0215629-0.0450222j 0.0583618-0.013253j -0.0497983-0.0698632j 0.0279261+0.0397391j 0.032897+0.0743909j 0.00870982+0.0393923j -0.046513+0.0250237j -0.044967+0.102147j -0.0334051+0.012199j -0.0136467-0.0320597j -0.058346+0.00590602j 0.0326415+0.0465588j 0.01568+0.0342261j 0.0535212-0.0602651j -0.0269264+0.0779278j -0.104246+0.0579362j -0.051194+0.0422931j -0.000202096+0.0409225j 0.0499937-5.06445e-07j -0.0501457-0.140034j -0.0623895-0.0234859j 0.0787576+0.00741468j 0.0281135+0.0213968j 0.0686491-0.0451526j -0.0112354+0.0242385j 0.0204222+0.0770162j 0.0485342+0.0707653j -0.0325227+0.033204j 0.0527841+0.196963j 0.0464357+0.105143j 0.140918+0.035784j 0.036694-0.134756j 0.162066-0.0198555j 0.0531914+0.169192j 0.027815-0.0246289j -0.105748+0.095588j -0.118125+0.0295015j -0.055035+0.0452735j -0.0907601+0.00954561j -0.0221573+0.0206652j -0.0468928-0.0302938j 0.101898+0.000938262j 0.0767042+0.0771458j -0.0188131-0.164428j -0.0327611-0.111375j 0.0714184+0.0381194j 0.0164192+0.0615194j 0.0362154+0.0770601j 
-0.0253613+0.0114242j 0.00151117-0.107963j -0.0303894+0.11315j -0.0487102-0.0320368j 0.00982741-0.0858708j -0.0346271-0.0551543j -0.00301893+0.0520989j -0.0331444-0.0528929j 0.0232643-0.0362184j 0.0194897+0.0934289j 0.0131665+0.0526652j -0.0185107+0.00750506j -0.0122207-0.137415j 0.0153679-0.0807787j -0.0838905+0.0956053j -0.0174462-0.0178234j 0.0220207-0.0734661j 0.117918+0.0439837j -0.0528736+0.0447614j 0.0817963-0.0383633j 0.0408386-0.00758496j -0.00712767+0.0319354j 0.0138125-0.00887577j 0.0278527-0.0561842j 0.00332574+0.00330551j 0.109423-0.0367976j 0.0666709-0.0365163j 0.0717229+0.02042j -0.017492-0.0137154j 0.0268383+0.0151647j 0.0259735+0.00883264j -0.0406597+0.0259744j 0.0161146-0.0662431j -0.00490613-0.0616597j 0.0287875-0.0173084j 0.0908152+0.0125282j 0.108087+0.018371j 0.0550637+0.0405737j -0.111623+0.0339306j 0.023174+0.0505216j 0.0748018+0.00934461j -0.00984734-0.0513893j -0.0593005-0.025208j 0.0809213+0.00755051j 0.0347252+0.0376955j 0.0275852+0.0792013j 0.0416907-0.000282282j -0.0360205+0.0308596j -0.0723279-0.0569308j -0.0680586-0.0370993j 0.0283464-0.00612585j 0.03954-0.028729j -0.00632519-0.104383j -0.0302999+0.0345147j -0.0684464-0.0195062j 0.123508-0.0933728j 0.0621035-0.182768j 0.156805-0.0123318j 0.0401861+0.0334312j -0.0585857+0.00600268j -0.090423-0.00171027j -0.0655746-0.0588306j 0.0922747-0.0158552j 0.0174632+0.0170207j -0.0641504-0.0284247j 0.0242528-0.0081721j -0.0776336-0.0951925j -0.0795297-0.017211j 0.0771677-0.0379915j -0.0738448+0.0447184j -0.0195826-0.230135j -0.0430576-0.00546714j -0.0423514+0.153118j -0.127264+0.250915j 0.292813+0.00930666j -0.0567108-0.0373676j 0.0431769-0.0367372j 
0.00344263+0.0180016j -0.00221621-0.0123748j -0.0261137-0.058111j 0.013608+0.00867905j -0.00733425+0.0153208j 0.0135895-0.0173305j -0.0379842-0.0348305j -0.0050628+0.104701j -0.00853751+0.0278272j -0.0153582-0.0678371j -0.0117688-0.0767007j -0.0356577-0.0529693j -0.0423396+0.102586j -0.0151688+0.0170982j 0.0810176-0.022334j 0.0130726-0.0226176j 0.0535201+0.0864421j -0.0329485+0.0283467j -0.0547833-0.0401373j -0.0885097-0.042233j -0.00176658-0.0528381j 0.0418571+0.00100237j 0.0197311+0.00262575j -0.0225244+0.0167262j 0.0250488+0.0516642j -0.0416349-0.0341288j 0.0161208-0.026307j -0.0448801-0.0616267j 0.0449577-0.0605935j -0.00952959+0.00928942j -0.0592244+0.0149736j -0.0102652-0.0906622j -0.00471141-0.0547118j 0.00604113-0.0357439j 0.0556518+0.0976478j 0.0451964+0.0276089j -0.0335183-0.0302656j -0.0614282-0.0401831j 0.0669682-0.0977651j -0.0280768-0.00465375j 0.00242538+0.0901287j 0.0606662-0.0850704j 0.0646343-0.0556351j 0.0144055-0.0646514j 0.0253042+0.0840746j -0.0326496-0.0413697j 0.0460485+0.00496119j -0.0720888-0.0330124j 0.0629972+0.018624j -0.00243559+0.117629j -0.0545095+0.0624813j 0.0849997-0.0270074j 0.058881+0.0263981j 0.0696944+0.141304j 0.00137061-0.105076j 0.0636222+0.0102324j 0.0328067-0.0689594j 0.178281-0.0753956j -0.0774329+0.138842j -0.094778+0.0111726j 0.0572902+0.129465j -0.00920154-0.126279j -0.0646462-0.0866728j -0.121675-0.0113318j -0.214711+0.0208568j 0.0821461-0.002836j 0.0869396-0.0243523j 0.0501883-0.17983j 0.161565-0.131892j -0.00102987+0.180639j 0.11787-0.166338j -0.170726+0.121165j -0.267337-0.0344446j 0.205004-0.139459j -0.101124-0.21511j 0.0211765+0.0167597j 0.023284+0.0218526j 
-0.0189351+0.0284146j -0.00798522-0.0763448j -0.0564987-0.00356363j 0.00627487-0.0273404j 0.0336822-0.0777329j 0.0276632-0.0918592j -0.0971237+4.67015e-05j 0.00104032+0.062661j -0.0850287-0.0298189j -0.0456481+0.0155043j -0.00283964+0.0248941j -0.0369723-0.035479j -0.136616+0.0544151j -0.000882493-0.110074j 0.0818529-0.042682j -0.0622923-0.0545562j 0.135416+0.0650046j -0.000695419+0.096208j -0.0294814-0.0676603j -0.0585083+0.157358j 0.0148795-0.138649j 0.0602113-0.00308171j 0.00920522-0.000945763j -0.0568344+0.00791706j -0.0629016-0.0140292j -0.00286603-0.0141783j 0.089674+0.118002j -0.056955+0.0426449j -0.0468165-0.0214956j -0.0727651+0.121153j -0.0693668-0.145778j -0.0217635+0.107109j 0.0475396+0.00631321j 0.010269+0.0649469j 0.023642-0.0252889j 0.0589803-0.00538603j 0.0094787+0.0567138j -0.0696413+0.0720554j 0.0268102-0.0717426j 0.064149+0.0300195j 0.058179-0.0288869j -0.0978358+0.0532412j 0.0639163+0.0515593j -0.0192473+0.0590233j -0.0294724+0.0631262j -0.0142106+0.0157429j 0.115808-0.0287607j 0.0299283-0.114921j -0.0460982+0.0630698j 0.169563-0.0906816j -0.0710249+0.1343j -0.0181914-0.0205666j 0.0660705-0.0690464j 0.058109-0.0255983j -0.0256873-0.0354374j -0.024178+0.0739717j 0.0408578+0.0489134j -0.0525007-0.0409564j 0.0493459-0.0256574j 0.0217106-0.11119j -0.00839102+0.105182j -0.125302-0.10235j 0.0226192-0.105945j -0.0242889-0.0701511j 0.0542415-0.13426j 0.103217-0.1595j -0.0564951-0.156621j 0.104301+0.0291115j -0.0837518+0.037941j 0.0553514-0.181237j -0.0811338-0.00793565j 0.089369-0.16233j 0.0655241+0.0840805j -0.0392239+0.0372916j -0.0307328+0.0892848j -0.0346582+0.0197505j 0.0354599-0.00485422j 
0.0293309+0.00822559j 0.000394609+0.0316338j -0.0473868-0.0826638j -0.00513776-0.0263317j -0.0293459+0.0853046j 0.00664481-0.0568845j 0.0609277+0.0228165j 0.042037+0.0579029j -0.0190911-0.0365486j -0.0453071-0.117676j 0.00941637-0.0112314j 0.104295+0.0943306j 0.0670294+0.0212907j 0.0093229+0.0398631j -0.00514968+0.00471754j -0.0234197+0.00836687j 0.0194666+0.0158628j 0.0319132+0.0667766j 0.0602949+0.0220078j 0.034829-0.0543279j -0.0117454-0.00434856j -0.0258858+0.0432652j -0.0937544-0.032046j 0.0595426-0.000116179j -0.0573893+0.0282867j -0.0233704+0.0384301j 0.0124822-0.0431591j -0.0279741+0.00751982j -0.0864149-0.108819j 0.00368406+0.0492995j -0.0162891+0.0890139j -0.0495764-0.0326481j 0.0653536-0.129872j 0.0738228-0.138196j 0.0228218+0.0616159j -0.0573209+0.0319715j -0.0174657-0.0328476j -0.0198389+0.024093j -0.0527647-0.0855609j -0.0306816+0.0197482j -0.100907+0.0421411j 0.0328449-0.111525j 0.0440522+0.053214j -0.007924-0.0432859j -0.0673059+0.0135285j -0.012808+0.039082j -0.00584312-0.104751j 0.0114011+0.0204469j -0.00211598+0.013419j 0.0291777-0.0702479j 0.155774+0.0289431j -0.0483413-0.0372171j 0.0754654-0.0144943j -0.0277618-0.00190359j -0.0047177-0.026787j 0.138128+0.0512854j 0.0697933+0.0695573j 0.0791606-0.0645079j -0.00848207-0.125852j -0.0350708+0.00437875j 0.042938-0.0835937j 0.0431784+0.0803589j 0.00233729-0.0323426j -0.058988+0.115635j -0.00889324+0.011954j -0.0851772+0.0681836j 0.188255-0.156756j 0.0416243-0.0499501j -0.0238952+0.00523195j -0.0630952-0.0319606j 0.0118959+0.0630522j -0.0260914-0.0222019j 0.0267182+0.088223j 0.205194-0.000317441j 0.1048-0.161623j 0.0208717+0.068487j -0.0313865-0.03395j 
