-0.102152-0j -0.0103606-0j -0.010468-0j 0.571917-0j -0.000857974-0j 0.707711-0j -0.00106169-0j 0.412832-0j -0.000619319-0j -0.00417687-0j 0.0710419-0j -0.00487302-0j -6.15311e-05-0j -0.0029841-0j 0.0828822-0j -0.00426389-0j 0.0507548-0j -7.17863e-05-0j -0.00175877-0j -4.396e-05-0j 0.0725219-0j -6.2813e-05-0j 0.0299138-0j -2.59091e-05-0j -0.00321513-0j -0.000535854-0j -0.00363187-0j 0.0634719-0j 0.00644459-0j -0.00296541-0j -3.94694e-06-0j -0.00299614-0j -0.000605312-0j 0.0716992-0j -0.00259473-0j -0.000494235-0j 0.00727993-0j -0.00214055-0j 0.0585421-0j -0.000499357-0j -4.45854e-06-0j -0.000683915-0j 0.00594404-0j -0.000432456-0j 0.0591488-0j 0.0512244-0j 0.00600564-0j -3.64039e-06-0j -0.000356758-0j 0.00520104-0j 0.0422579-0j -0.000113986-0j -3.67811e-06-0j 0.0135016-0j 0.00429064-0j -3.18534e-06-0j -2.62777e-06-0j 0.00137088-0j -8.39585e-07-0j 
0.0147444-0j -0.14297-0j -0.144452-0j 0.000857974-0j 0.554058-0j 0.00106169-0j 0.685612-0j 0.000619319-0j 0.399941-0j 0.00060288-0j -0.0101891-0j 0.000703359-0j 0.121762-0j 0.000430718-0j -0.0118873-0j 0.00061544-0j -0.00727946-0j 0.142056-0j 0.000253856-0j 0.086991-0j -0.0104014-0j 0.124299-0j -0.00429035-0j 0.0512706-0j 0.000464064-0j -0.00739447-0j 0.000524215-0j 4.73633e-05-0j 0.0432552-0j 0.00042802-0j 0.0157304-0j 0.000432456-0j -0.00835294-0j 5.35025e-05-0j 0.000374518-0j -0.00682015-0j 0.0488619-0j 0.000308961-0j 4.36846e-05-0j -0.00689083-0j 0.0177694-0j 9.87146e-05-0j 0.0398956-0j -0.00596763-0j 4.41373e-05-0j 3.8224e-05-0j 0.040309-0j 0.0145087-0j -0.00492305-0j 0.0349086-0j 3.15332e-05-0j -0.00157294-0j 0.014659-0j 1.0075e-05-0j 0.0287982-0j 0.0126951-0j 0.0104729-0j 0.00920115-0j 0.00334615-0j 
0.00119199-0j 0.00849351-0j -0.00833723-0j 0.00487302-0j 0.000703359-0j 8.58307e-05-0j 1.23886e-05-0j -0.00688486-0j -0.000993743-0j -0.499038-0j 0.000605312-0j -0.00828708-0j 5.04427e-05-0j -0.35653-0j 1.00519e-05-0j 0.494932-0j 0.000432456-0j 8.37658e-07-0j 0.618429-0j 3.6038e-05-0j -0.000600332-0j -5.00276e-05-0j -0.000750129-0j -6.25107e-05-0j 0.00263573-0j -0.0640219-0j 4.23794e-05-0j 0.000269008-0j 5.49111e-05-0j 0.00243102-0j 3.23567e-06-0j -0.00238629-0j -0.0010294-0j 4.32533e-06-0j 3.02773e-05-0j -0.0590494-0j 8.82905e-07-0j -0.00343467-0j 0.000248115-0j 0.0579629-0j 5.20257e-08-0j -0.00220277-0j 5.06462e-05-0j -0.000735437-0j -0.000243549-0j 3.09017e-06-0j -4.97143e-05-0j 2.98435e-06-0j 0.0834281-0j 6.30778e-07-0j -0.000350549-0j 0.0535052-0j -2.92944e-06-0j -0.000224819-0j -7.15556e-05-0j 3.71689e-08-0j -4.21645e-06-0j -4.5891e-05-0j -2.70415e-06-0j 
-0.000210716-0j 0.0710226-0j -0.0697158-0j 0.0828822-0j 0.0118873-0j 0.00145984-0j 0.000209377-0j -0.1171-0j -0.016795-0j -0.000605312-0j -0.486998-0j -1.00519e-05-0j 0.00128324-0j -0.000432456-0j -0.00808715-0j 0.000600332-0j -0.347928-0j 2.13096e-05-0j 0.000750129-0j 0.000916789-0j 0.482991-0j -0.00127268-0j 0.603508-0j -0.00159024-0j -0.000465936-0j 0.00367332-0j -7.4917e-06-0j 0.00919835-0j -0.0892903-0j -0.000429747-0j 0.000109942-0j 0.00042184-0j 5.90627e-05-0j 0.000147899-0j -5.35233e-06-0j 0.00338802-0j -0.00143568-0j 0.000607169-0j 0.00848392-0j -0.00332568-0j 1.76774e-06-0j 0.000389398-0j -0.0823552-0j 4.21965e-05-0j -0.00832782-0j 0.000105664-0j 0.0808399-0j 0.000101403-0j -0.00478678-0j -0.0010257-0j -0.0119865-0j -0.00306992-0j -9.95374e-05-0j -0.00768736-0j 0.116356-0j 1.26294e-06-0j -0.000143268-0j 0.0746228-0j -9.18824e-05-0j 
1.75597e-05-0j -0.0180059-0j 0.0176746-0j 7.17863e-05-0j 0.142056-0j 1.26441e-06-0j 0.00250209-0j -0.000101424-0j -0.200704-0j 5.04427e-05-0j -0.00128324-0j 8.37658e-07-0j -0.471577-0j 3.6038e-05-0j -2.13096e-05-0j -5.00276e-05-0j -0.000916789-0j -0.00783107-0j -6.25107e-05-0j -0.336911-0j 0.00127268-0j 0.467697-0j 0.00159024-0j 0.584398-0j 3.8828e-05-0j -0.000931274-0j 6.24308e-07-0j 3.96286e-06-0j 0.0110902-0j 3.58123e-05-0j -0.124946-0j -3.51533e-05-0j -1.49738e-05-0j 6.37182e-08-0j 4.46027e-07-0j -0.000858943-0j 0.000178318-0j -5.05974e-05-0j 3.65507e-06-0j 0.000843138-0j -0.00200899-0j -3.24498e-05-0j 0.0102289-0j -1.06978e-05-0j -3.58782e-06-0j 4.55225e-08-0j -0.0100407-0j -0.115242-0j 0.00121356-0j 0.000127397-0j -5.16408e-06-0j 0.000778296-0j 0.113122-0j -3.3119e-06-0j -0.0144519-0j -0.00143529-0j 0.16282-0j -0.00926848-0j 0.104422-0j 
0.0509611-0j -0.0050857-0j 0.00522218-0j 0.00296541-0j 0.00042802-0j -0.00361065-0j -0.000521152-0j 0.00214055-0j 0.000308961-0j 0.00208373-0j 0.000368355-0j 0.00243102-0j 3.06962e-05-0j -0.0044183-0j 0.000429747-0j -0.00209302-0j -0.000781053-0j 3.58123e-05-0j 0.0008774-0j -6.50877e-05-0j -0.000369997-0j -3.08331e-05-0j 0.000155104-0j 1.29253e-05-0j -0.31419-0j 0.000267323-0j -0.354916-0j 0.000163701-0j 3.34154e-05-0j 0.285139-0j 1.96902e-06-0j -0.292791-0j 0.000301974-0j 0.00018492-0j 0.752557-0j -0.000242605-0j 3.77467e-05-0j 0.205824-0j -0.000148565-0j 0.000249116-0j 2.22425e-06-0j -0.0668339-0j -3.03257e-05-0j -0.0006403-0j 0.000152552-0j -0.000392102-0j 3.11395e-05-0j -1.78696e-06-0j -0.000175122-0j -8.00375e-05-0j -0.00010724-0j 5.68644e-05-0j 1.83491e-06-0j 3.48222e-05-0j -2.18902e-05-0j -4.71625e-06-0j -1.28989e-06-0j 7.10806e-06-0j 4.18846e-07-0j 
0.0500234-0j -0.00522218-0j 0.00527416-0j -0.00299614-0j -0.000432456-0j 0.00360199-0j 0.000519903-0j -0.00198065-0j -0.000285883-0j -0.00210532-0j -0.000372172-0j 0.00238629-0j -3.10143e-05-0j -0.00150411-0j 0.00042184-0j 0.00214831-0j -0.000265892-0j 3.51533e-05-0j -0.00423273-0j -2.21577e-05-0j 0.000379771-0j 3.16476e-05-0j -0.000748248-0j -6.2354e-05-0j 0.317446-0j -0.000270094-0j -0.348385-0j -0.000165398-0j -3.37617e-05-0j 0.292791-0j -1.98943e-06-0j -0.295705-0j 0.000296417-0j 0.000181518-0j -0.248899-0j -0.000249116-0j 3.70522e-05-0j 0.193555-0j -0.000152552-0j 0.000251595-0j 2.18332e-06-0j 0.71423-0j -3.11395e-05-0j 0.000211771-0j 0.00015407-0j 0.000129683-0j 3.14494e-05-0j -1.83491e-06-0j -0.000164682-0j 2.64714e-05-0j -0.000100847-0j -0.00060769-0j 1.85317e-06-0j -0.000372133-0j -2.05853e-05-0j 1.55984e-06-0j -1.213e-06-0j -7.59613e-05-0j -4.47606e-06-0j 
-0.00849351-0j -0.0400945-0j 0.0411704-0j -0.000494235-0j 0.00682015-0j 0.000601774-0j -0.00830413-0j -0.000356758-0j 0.00492305-0j 0.0506138-0j 0.00290402-0j 0.0590494-0j 0.000736237-0j -0.107321-0j 0.00338802-0j -0.0508394-0j -0.00615763-0j 0.000858943-0j 0.0213121-0j -0.0015611-0j -0.00291696-0j -0.000739519-0j 0.0012228-0j 0.000310009-0j -0.000267323-0j -0.307149-0j -0.000301974-0j -2.72836e-05-0j 0.000532447-0j 0.000242605-0j 6.30777e-05-0j -0.000249116-0j -0.346962-0j -3.08201e-05-0j 0.0006403-0j 0.278749-0j 0.000601463-0j 0.000175122-0j 2.47608e-05-0j -0.286229-0j 7.12538e-05-0j -5.68644e-05-0j -0.000483215-0j 0.735691-0j -2.54253e-05-0j 6.53503e-05-0j 0.000496182-0j -5.72452e-05-0j 0.201211-0j -0.00127533-0j 1.78733e-05-0j -0.0653361-0j 5.87814e-05-0j -5.8037e-06-0j -0.000348803-0j -0.000151085-0j -4.13218e-05-0j 0.000113261-0j 1.34177e-05-0j 
-0.00520119-0j 0.000519058-0j -0.000532986-0j 0.0585421-0j -4.36846e-05-0j -0.0712801-0j 5.31898e-05-0j 0.0422579-0j -3.15332e-05-0j -0.00021267-0j 0.00727193-0j -0.000248115-0j -3.13292e-06-0j 0.000450941-0j 0.00848392-0j 0.000213618-0j -0.0154193-0j -3.65507e-06-0j -8.95493e-05-0j 6.64299e-06-0j -0.00730435-0j 3.14689e-06-0j 0.00306201-0j -1.31919e-06-0j -0.000163701-0j -2.72836e-05-0j -0.00018492-0j -0.309314-0j 0.000659676-0j 0.000148565-0j -2.00962e-07-0j -0.000152552-0j -3.08201e-05-0j -0.349407-0j 0.000392102-0j 2.47608e-05-0j 0.000745183-0j 0.00010724-0j 0.280714-0j -2.54253e-05-0j -2.27011e-07-0j -3.48222e-05-0j -0.000598679-0j 6.53503e-05-0j -0.288246-0j 0.740877-0j 0.000614744-0j 1.82381e-07-0j 1.78733e-05-0j -0.00158007-0j 0.20263-0j -5.8037e-06-0j -1.87275e-07-0j -0.0657966-0j -0.000432149-0j 4.81351e-07-0j 1.31649e-07-0j 0.000140325-0j -4.27483e-08-0j 
-0.00833723-0j -0.0411704-0j 0.0415802-0j 0.000499357-0j -0.00689083-0j -0.000600332-0j 0.00828422-0j 0.000330109-0j -0.00455531-0j -0.0511383-0j -0.00293411-0j 0.0579629-0j -0.000743866-0j -0.036535-0j 0.00332568-0j 0.0521825-0j -0.00209623-0j 0.000843138-0j -0.102813-0j -0.000531444-0j 0.00299403-0j 0.000759056-0j -0.005899-0j -0.00149554-0j 0.000270094-0j 0.310332-0j -0.000296417-0j 2.75663e-05-0j -0.000537965-0j 0.000249116-0j -6.37313e-05-0j -0.000251595-0j -0.340578-0j -3.0253e-05-0j -0.000211771-0j 0.286229-0j 0.000590396-0j 0.000164682-0j 2.54253e-05-0j -0.289078-0j 6.99428e-05-0j 0.00060769-0j -0.000496182-0j -0.24332-0j -2.56783e-05-0j -2.16138e-05-0j 0.00050112-0j -5.87814e-05-0j 0.189217-0j 0.000421799-0j 1.68078e-05-0j 0.698224-0j 5.93665e-05-0j 6.20221e-05-0j -0.00032801-0j 4.99695e-05-0j -3.88585e-05-0j -0.00121038-0j -0.000143391-0j 
0.00106169-0j 0.0101296-0j -0.0104014-0j -0.00594404-0j 0.0398956-0j 0.00723739-0j -0.0485763-0j -0.00429064-0j 0.0287982-0j 4.3411e-05-0j 0.0705901-0j 5.06462e-05-0j 0.00876761-0j -9.2048e-05-0j 0.0823552-0j -4.36045e-05-0j -0.149678-0j 0.0102289-0j 1.82792e-05-0j -0.0185907-0j -0.0709048-0j -0.00880669-0j 0.0297236-0j 0.0036918-0j 3.34154e-05-0j -0.000532447-0j 3.77467e-05-0j -0.000659676-0j -0.299672-0j -3.03257e-05-0j 0.00113269-0j 3.11395e-05-0j -0.000601463-0j -0.000745183-0j -8.00375e-05-0j 0.000483215-0j -0.338515-0j -2.18902e-05-0j 0.000598679-0j -0.000496182-0j 0.00127951-0j 7.10806e-06-0j 0.271963-0j 0.00127533-0j -0.000614744-0j 0.00158007-0j -0.279261-0j -0.00102795-0j 0.000348803-0j 0.717782-0j 0.000432149-0j -0.000113261-0j 0.00105554-0j -0.000140325-0j 0.196313-0j -0.00271305-0j -0.000742017-0j -0.0637455-0j 0.000240943-0j 
