-0.186366-0j -0.203385-0j -0.157541-0j -0.159174-0j 0.434047-0j 0.537105-0j -0.118641-0j 0.313311-0j -0.102746-0j -0.146811-0j -0.0734055-0j -0.0605564-0j -0.0741662-0j -0.0335118-0j -0.00738866-0j -0.0250047-0j -0.0270082-0j -0.0206279-0j -0.0208416-0j -0.0184501-0j 0.0888807-0j -0.0228309-0j -0.013318-0j 0.062902-0j 0.0385194-0j -0.0120329-0j 0.0550392-0j -0.0121576-0j 0.0227025-0j -0.01489-0j -0.00372249-0j -0.0122836-0j -0.00752214-0j -0.00392467-0j -0.00537408-0j -0.00198267-0j -0.000378572-0j 
0.217428-0j 0.00337744-0j 0.183798-0j -0.180416-0j -0.334678-0j 0.00295526-0j -0.00982995-0j -0.237054-0j -0.239105-0j 0.331924-0j 0.00121898-0j 0.414747-0j -0.16936-0j -0.153606-0j -0.0508618-0j 0.0291722-0j 0.000448502-0j 0.0240658-0j -0.023623-0j -0.0429361-0j 0.0147373-0j 0.000379132-0j -0.0304118-0j -0.000690362-0j 0.01489-0j -0.0700431-0j -0.0206702-0j 0.0687543-0j -0.0258278-0j -0.000493218-0j 0.00434291-0j 0.0559508-0j -0.008526-0j 0.0358831-0j -0.0184523-0j -0.011368-0j -0.00304138-0j 
0.133147-0j 0.145305-0j -0.334048-0j 0.113719-0j 0.102746-0j -0.377347-0j 0.0847613-0j 0.0741662-0j 0.0687332-0j -0.311295-0j 0.666703-0j 0.0432636-0j 0.0496142-0j -0.0710579-0j 0.00527872-0j 0.0178642-0j 0.0192956-0j -0.043739-0j 0.01489-0j 0.0131814-0j 0.00902469-0j -0.0484102-0j 0.00951484-0j 0.01489-0j 0.00853784-0j -0.0255144-0j -0.0386682-0j 0.00868582-0j 0.00537408-0j 0.00996081-0j 0.0860645-0j -0.0260459-0j 0.0683196-0j 0.00280392-0j 0.00359505-0j -0.00420402-0j 0.000270465-0j 
-0.190249-0j 0.201711-0j 0.158244-0j 0.162424-0j -0.146811-0j -0.173666-0j 0.117665-0j -0.0970521-0j 0.311295-0j -0.147406-0j -0.360504-0j -0.295162-0j 0.205788-0j 0.356036-0j -0.211284-0j -0.0255257-0j 0.026786-0j 0.0207198-0j 0.0212672-0j -0.0188345-0j -0.0128951-0j -0.0222798-0j -0.0124509-0j 0.0206702-0j 0.0386682-0j 0.0120866-0j -0.0183103-0j 0.0124059-0j -0.0366641-0j -0.0438286-0j 0.0263565-0j 0.0112996-0j -0.0380093-0j -0.0423762-0j 0.077742-0j 0.0364901-0j -0.0153211-0j 
0.0784737-0j -0.252043-0j 0.0663362-0j 0.320017-0j 0.0605564-0j -0.220538-0j -0.147025-0j 0.0508624-0j 0.0432636-0j 0.295162-0j -0.0909672-0j -0.359623-0j 0.0363378-0j -0.263757-0j 0.643459-0j 0.0105288-0j -0.0334697-0j 0.00868582-0j 0.0419019-0j 0.00776883-0j 0.00531896-0j -0.028293-0j 0.00652518-0j -0.0258278-0j 0.00537408-0j 0.00506673-0j 0.0366641-0j 0.0244428-0j -0.0446713-0j -0.0184523-0j 0.00156744-0j 0.00601837-0j 0.0151232-0j -0.0308893-0j -0.0319147-0j 0.0270466-0j 0.0948321-0j 
0.0239091-0j 0.0260924-0j -0.0819413-0j -0.0827905-0j 0.0184501-0j 0.0228309-0j 0.0152206-0j 0.013318-0j 0.0131814-0j 0.0188345-0j 0.00941725-0j 0.00776883-0j 0.00951484-0j 0.00429926-0j 0.000947898-0j -0.151741-0j -0.163899-0j -0.12518-0j -0.126477-0j 0.453934-0j -0.0766567-0j 0.561714-0j 0.327667-0j -0.126477-0j -0.077451-0j -0.0730215-0j -0.110667-0j -0.0737783-0j -0.045648-0j -0.0903596-0j -0.0225899-0j -0.0745428-0j -0.045648-0j -0.0238168-0j -0.0326125-0j -0.0120318-0j -0.00229736-0j 
-0.0270082-0j -0.000419535-0j -0.0228309-0j 0.0224108-0j 0.062902-0j 0.00110792-0j -0.000244729-0j -0.0888713-0j -0.01489-0j 0.0206702-0j -0.000151418-0j 0.0258278-0j 0.0210373-0j 0.0190805-0j 0.0063179-0j 0.171409-0j 0.0026353-0j 0.141406-0j -0.138804-0j 0.126477-0j -0.609284-0j 0.0022277-0j -0.178693-0j -0.0061376-0j -0.264054-0j 0.0824866-0j 0.366558-0j -0.0809689-0j 0.458022-0j 0.00145288-0j 0.025518-0j -0.164814-0j -0.0500969-0j -0.105701-0j -0.108422-0j -0.0667961-0j -0.0178705-0j 
-0.0220521-0j -0.0240658-0j 0.0183423-0j -0.0188345-0j 0.033944-0j 0.0207198-0j 0.0700431-0j -0.0122836-0j -0.0719742-0j -0.0340953-0j 0.0430111-0j 0.0142929-0j 0.0260459-0j 0.00390173-0j -0.000874276-0j 0.139955-0j 0.151169-0j -0.113605-0j 0.116654-0j -0.205988-0j 0.0707028-0j -0.125738-0j 0.0745428-0j -0.232689-0j -0.212015-0j 0.330645-0j -0.100435-0j -0.339518-0j 0.0421025-0j 0.493389-0j -0.144511-0j 0.134942-0j -0.208487-0j -0.0438174-0j -0.0892735-0j -0.0109193-0j 0.00211893-0j 
0.0222806-0j -0.023623-0j 0.0188345-0j -0.019022-0j -0.0342957-0j -0.0206702-0j 0.0687543-0j 0.0113661-0j -0.024502-0j 0.034996-0j -0.008526-0j -0.0689512-0j 0.0081203-0j 0.0423762-0j 0.0247441-0j -0.141406-0j 0.148388-0j -0.116654-0j 0.117815-0j 0.208123-0j -0.0714355-0j 0.125436-0j -0.0689747-0j -0.228407-0j -0.0721758-0j 0.339518-0j 0.103088-0j -0.342897-0j -0.20311-0j -0.163182-0j -0.0210513-0j 0.126898-0j 0.0425216-0j 0.468261-0j -0.145109-0j -0.205441-0j -0.0848752-0j 
0.0192956-0j 0.00029973-0j -0.0484102-0j -0.016011-0j 0.01489-0j -0.000778378-0j 0.000174843-0j -0.0210373-0j 0.00996081-0j 0.0438286-0j 0.00137525-0j -0.0184523-0j -0.0140732-0j 0.0404579-0j -0.00451373-0j -0.122461-0j -0.00188275-0j 0.299834-0j 0.0991662-0j -0.0903596-0j -0.061865-0j 0.00472357-0j 0.127665-0j -0.00145288-0j -0.0585276-0j 0.174903-0j -0.257528-0j 0.057847-0j 0.108422-0j -0.000971916-0j -0.589979-0j -0.34947-0j 0.455004-0j 0.0755164-0j 0.0725299-0j -0.141633-0j 0.0127673-0j 
-0.0159181-0j 0.0340015-0j 0.0132402-0j -0.0124509-0j -0.0122836-0j -0.0292741-0j 0.0198342-0j -0.0343314-0j 0.0260459-0j 0.0112996-0j -0.0607684-0j -0.00601837-0j 0.0727957-0j -0.0364912-0j 0.0621128-0j 0.101025-0j -0.213579-0j -0.0820045-0j 0.0771161-0j 0.0745428-0j 0.051036-0j 0.177649-0j 0.208339-0j -0.164814-0j -0.15304-0j -0.047836-0j -0.0663942-0j 0.0449844-0j 0.0353627-0j 0.34947-0j -0.104313-0j -0.189075-0j -0.137824-0j -0.205448-0j -0.0749824-0j 0.348667-0j -0.277245-0j 
