-0.00316222-0j -0.000510301-0j -0.000416659-0j -6.01395e-05-0j -5.20824e-05-0j -6.13796e-06-0j -2.80158e-07-0j -0.00289834-0j -0.000458268-0j -0.000362293-0j -0.000241529-0j -5.22925e-05-0j -6.03822e-05-0j -2.13483e-05-0j -5.03185e-06-0j -5.33708e-06-0j -4.44757e-07-0j -1.65751e-08-0j -0.00188553-0j -0.00190507-0j -0.000293958-0j -0.000297004-0j -0.000227699-0j -3.28655e-05-0j -0.000230059-0j -0.00020786-0j -3.32061e-05-0j -0.000210014-0j -3.67448e-05-0j -2.44965e-05-0j -3.06206e-06-0j -3.71256e-05-0j -2.12146e-05-0j -2.47504e-05-0j -3.0938e-06-0j -2.14345e-05-0j -4.33041e-06-0j -2.16521e-06-0j -4.37529e-06-0j -2.55172e-07-0j -2.18764e-06-0j -3.12521e-07-0j -2.57816e-07-0j -2.01731e-08-0j -3.15759e-07-0j -2.03822e-08-0j -6.35394e-10-0j -6.41978e-10-0j 
0.000487941-0j -0.00372466-0j 6.42919e-05-0j -0.000887189-0j -0.000380146-0j -0.000136296-0j -1.03972e-05-0j 0.000447224-0j -0.00334487-0j 5.5903e-05-0j 3.72687e-05-0j -0.000771428-0j -0.000440726-0j 3.29412e-06-0j -0.000111734-0j -7.87336e-05-0j -1.31909e-05-0j -7.38672e-07-0j -0.101861-0j -0.102917-0j -0.00214558-0j -0.00216782-0j 3.51347e-05-0j -0.000484838-0j 3.54988e-05-0j 3.20735e-05-0j -0.000489863-0j 3.24058e-05-0j -0.000268198-0j -0.000178799-0j -6.79945e-05-0j -0.000270977-0j 3.27348e-06-0j -0.000180651-0j -6.86991e-05-0j 3.30741e-06-0j -6.38831e-05-0j -1.58037e-05-0j -6.45451e-05-0j -7.56806e-06-0j -1.59675e-05-0j -6.93965e-06-0j -7.64649e-06-0j -7.48663e-07-0j -7.01157e-06-0j -7.56422e-07-0j -3.30522e-08-0j -3.33947e-08-0j 
0.000372671-0j 6.01395e-05-0j -0.00472446-0j 7.08751e-06-0j -0.00118725-0j -6.95979e-05-0j 3.3017e-08-0j -0.101811-0j 5.40075e-05-0j -0.00410801-0j 2.84644e-05-0j 6.16273e-06-0j -0.000684669-0j -0.000731233-0j 5.93009e-07-0j -0.000121662-0j -5.04306e-06-0j 1.95339e-09-0j 0.000222211-0j 0.000224514-0j -0.0103259-0j -0.0104329-0j -0.00258186-0j 3.87324e-06-0j -0.00260862-0j 2.44965e-05-0j 3.91338e-06-0j 2.47504e-05-0j -0.000416646-0j 2.88694e-06-0j 3.60868e-07-0j -0.000420964-0j -0.000483602-0j 2.91686e-06-0j 3.64607e-07-0j -0.000488613-0j -4.91022e-05-0j -7.41637e-05-0j -4.96111e-05-0j 3.00723e-08-0j -7.49323e-05-0j -7.12413e-06-0j 3.0384e-08-0j -2.28742e-07-0j -7.19796e-06-0j -2.31112e-07-0j 7.48819e-11-0j 7.56578e-11-0j 
-5.37904e-05-0j 0.00082989-0j -7.08751e-06-0j -0.00457694-0j 8.47003e-05-0j -0.00143145-0j -0.000220078-0j 0.0146951-0j 0.000745271-0j -6.16273e-06-0j -4.10849e-06-0j -0.00397974-0j 9.8198e-05-0j -3.63142e-07-0j -0.00117349-0j -0.00040618-0j -0.000208899-0j -1.95716e-05-0j -3.20735e-05-0j -3.24058e-05-0j -0.142492-0j -0.143969-0j -3.87324e-06-0j -0.00250124-0j -3.91338e-06-0j -3.53577e-06-0j -0.00252716-0j -3.57241e-06-0j 5.97571e-05-0j 3.98381e-05-0j -0.00071411-0j 6.03764e-05-0j -3.60868e-07-0j 4.02509e-05-0j -0.00072151-0j -3.64607e-07-0j -0.000329567-0j 3.52122e-06-0j -0.000332983-0j -0.000119853-0j 3.55771e-06-0j -7.28835e-05-0j -0.000121095-0j -1.5847e-05-0j -7.36388e-05-0j -1.60112e-05-0j -1.05182e-06-0j -1.06272e-06-0j 
-0.0822183-0j 5.37904e-05-0j -0.00640086-0j -0.000923885-0j 5.48996e-06-0j 6.46998e-07-0j 2.95313e-08-0j 0.000305512-0j -0.0119151-0j 3.8189e-05-0j -0.00744636-0j 5.51211e-06-0j -0.000927612-0j 2.25031e-06-0j -7.7301e-05-0j 5.62578e-07-0j 4.68815e-08-0j 1.74717e-09-0j 0.000198752-0j 0.000200812-0j 3.09859e-05-0j 3.1307e-05-0j -0.00592022-0j -0.00085451-0j -0.00598157-0j -0.00319322-0j -0.000863365-0j -0.00322631-0j 3.87324e-06-0j -0.00075523-0j 3.2277e-07-0j 3.91338e-06-0j -0.000325906-0j -0.000763057-0j 3.26115e-07-0j -0.000329284-0j -6.65253e-05-0j 2.28233e-07-0j -6.72147e-05-0j -3.92004e-06-0j 2.30598e-07-0j 3.29426e-08-0j -3.96067e-06-0j 2.12643e-09-0j 3.3284e-08-0j 2.14847e-09-0j 6.69764e-11-0j 6.76704e-11-0j 
0.000228213-0j -0.014465-0j 3.00698e-05-0j 4.3402e-06-0j 3.75872e-06-0j 4.42969e-07-0j 2.02187e-08-0j 0.00020917-0j 3.30727e-05-0j -0.0102695-0j 1.74308e-05-0j -0.00148228-0j 4.35771e-06-0j 1.54068e-06-0j 3.63142e-07-0j 3.85171e-07-0j 3.20975e-08-0j 1.1962e-09-0j 0.000136076-0j 0.000137486-0j 2.12146e-05-0j 2.14345e-05-0j 1.64328e-05-0j 2.37186e-06-0j 1.66031e-05-0j -0.00589199-0j 2.39644e-06-0j -0.00595305-0j -0.00104157-0j 1.76788e-06-0j -8.67972e-05-0j -0.00105236-0j 1.53103e-06-0j 1.7862e-06-0j -8.76967e-05-0j 1.5469e-06-0j 3.12521e-07-0j 1.5626e-07-0j 3.15759e-07-0j 1.84155e-08-0j 1.5788e-07-0j 2.25542e-08-0j 1.86063e-08-0j 1.45587e-09-0j 2.2788e-08-0j 1.47096e-09-0j 4.58556e-11-0j 4.63308e-11-0j 
0.0145343-0j 0.000449795-0j 0.000747003-0j 0.000107138-0j -0.0088797-0j -0.00158362-0j 1.25558e-06-0j -5.40075e-05-0j -0.0996336-0j 0.000649534-0j -4.50062e-06-0j 9.31588e-05-0j -0.00512077-0j 0.000115618-0j 1.34932e-05-0j -0.00183911-0j -0.000153264-0j 8.92031e-08-0j -3.51347e-05-0j -3.54988e-05-0j 0.000259104-0j 0.000261789-0j -0.100693-0j -0.0144419-0j -0.101737-0j -3.87324e-06-0j -0.0145915-0j -3.91338e-06-0j -0.00311618-0j 2.1592e-05-0j 8.21111e-06-0j -0.00314847-0j 7.64642e-05-0j 2.18157e-05-0j 8.2962e-06-0j 7.72566e-05-0j -0.000742254-0j -0.000554684-0j -0.000749945-0j 9.13931e-07-0j -0.000560432-0j -0.000162101-0j 9.23402e-07-0j -8.69867e-06-0j -0.000163781-0j -8.78882e-06-0j 3.99143e-09-0j 4.03279e-09-0j 
-0.00121119-0j -0.000114034-0j 6.46998e-07-0j 0.00128032-0j -1.16385e-05-0j -0.00604864-0j -0.00288104-0j 4.50062e-06-0j 0.0252595-0j 5.62578e-07-0j 3.75052e-07-0j 0.00111327-0j -1.34932e-05-0j 3.31502e-08-0j -0.00495862-0j 0.000113622-0j -0.00181035-0j -0.00034269-0j 2.92789e-06-0j 2.95824e-06-0j -6.56889e-05-0j -6.63696e-05-0j -8.72131e-05-0j -0.172583-0j -8.81169e-05-0j 3.2277e-07-0j -0.174372-0j 3.26115e-07-0j -8.21111e-06-0j -5.47407e-06-0j -0.0030175-0j -8.2962e-06-0j 3.29426e-08-0j -5.5308e-06-0j -0.00304877-0j 3.3284e-08-0j 9.21911e-05-0j -4.83844e-07-0j 9.31465e-05-0j -0.00103866-0j -4.88858e-07-0j -0.000307972-0j -0.00104942-0j -0.000207453-0j -0.000311164-0j -0.000209602-0j -2.30614e-05-0j -2.33003e-05-0j 
-5.37904e-05-0j -0.080432-0j 0.00103293-0j -0.0142539-0j 4.19072e-05-0j 1.50252e-05-0j 1.14619e-06-0j -4.93018e-05-0j 0.000368738-0j 0.0012072-0j 0.00120165-0j -0.0166586-0j -0.00708085-0j -3.63142e-07-0j -0.00179516-0j 8.67956e-06-0j 1.45416e-06-0j 8.14309e-08-0j -3.20735e-05-0j -3.24058e-05-0j 0.000236528-0j 0.000238979-0j -3.87324e-06-0j 5.34484e-05-0j -3.91338e-06-0j -0.100941-0j 5.40023e-05-0j -0.101987-0j -0.00579159-0j -0.00576499-0j -0.0014683-0j -0.00585161-0j 5.25929e-05-0j -0.00582473-0j -0.00148352-0j 5.31379e-05-0j -0.00102637-0j 1.7422e-06-0j -0.001037-0j -0.000121591-0j 1.76025e-06-0j 7.65025e-07-0j -0.000122851-0j 8.25324e-08-0j 7.72953e-07-0j 8.33876e-08-0j 3.64366e-09-0j 3.68142e-09-0j 
-3.29398e-05-0j 0.00104126-0j 0.000839515-0j -6.26453e-07-0j -0.0100439-0j 1.23672e-05-0j -2.91832e-09-0j -3.01911e-05-0j -4.77363e-06-0j -0.142992-0j -2.51592e-06-0j 0.000106702-0j 0.000121662-0j -0.0124801-0j -5.24151e-08-0j -0.00102924-0j 8.96129e-07-0j -1.72657e-10-0j -1.96409e-05-0j -1.98444e-05-0j -3.06206e-06-0j -3.0938e-06-0j 0.000458785-0j -3.42349e-07-0j 0.000463539-0j 0.000424135-0j -3.45897e-07-0j 0.00042853-0j -0.0145027-0j -2.55172e-07-0j 6.2481e-06-0j -0.014653-0j -0.00409116-0j -2.57816e-07-0j 6.31285e-06-0j -0.00413356-0j 8.72524e-06-0j -0.00126577-0j 8.81566e-06-0j -2.65804e-09-0j -0.00127888-0j -6.02685e-05-0j -2.68559e-09-0j 4.06463e-08-0j -6.08931e-05-0j 4.10675e-08-0j -6.61868e-12-0j -6.68727e-12-0j 
-3.10559e-05-0j -5.01163e-06-0j -0.115151-0j 0.000172746-0j 9.89378e-05-0j 5.79983e-06-0j -2.75142e-09-0j -2.84644e-05-0j -4.50062e-06-0j 0.000342334-0j -0.100763-0j -5.13561e-07-0j -0.0166877-0j 6.09361e-05-0j 1.44536e-05-0j 1.01385e-05-0j 4.20255e-07-0j -1.62783e-10-0j -1.85176e-05-0j -1.87095e-05-0j -2.88694e-06-0j -2.91686e-06-0j 0.000215155-0j -3.2277e-07-0j 0.000217385-0j 0.000597062-0j -3.26115e-07-0j 0.000603249-0j 3.47205e-05-0j -0.0102196-0j -3.00723e-08-0j 3.50803e-05-0j -0.011787-0j -0.0103255-0j -3.0384e-08-0j -0.0119091-0j -0.00119679-0j 6.18031e-06-0j -0.00120919-0j 7.32963e-07-0j 6.24435e-06-0j 5.93677e-07-0j 7.40559e-07-0j 1.90618e-08-0j 5.9983e-07-0j 1.92593e-08-0j -6.24015e-12-0j -6.30482e-12-0j 
