-0.0038034-0j -0.000633899-0j -0.000388183-0j -7.92374e-05-0j -4.66911e-06-0j -0.00341559-0j -0.000551188-0j -0.000450043-0j -6.49581e-05-0j -5.62554e-05-0j -6.62976e-06-0j -3.02606e-07-0j -0.00219094-0j -0.00221365-0j -0.000346418-0j -0.000350008-0j -0.000273868-0j -0.000182579-0j -3.95294e-05-0j -0.000276706-0j -0.000184471-0j -3.9939e-05-0j -4.56446e-05-0j -1.61378e-05-0j -3.80372e-06-0j -4.61176e-05-0j -1.6305e-05-0j -4.03445e-06-0j -3.84314e-06-0j -4.07626e-06-0j -3.36204e-07-0j -1.25296e-08-0j -3.39689e-07-0j -1.26594e-08-0j 0.576216-0j 0.71303-0j 0.415934-0j -0.000256588-0j -0.000317511-0j -0.000185215-0j -0.000198752-0j -2.86874e-05-0j -0.000181435-0j -0.000245943-0j -3.54988e-05-0j -0.000143467-0j -3.20735e-05-0j -0.000224514-0j -2.07076e-05-0j -2.13823e-05-0j -2.67279e-06-0j -0.000130967-0j -1.85176e-05-0j -3.96889e-05-0j -2.64593e-05-0j -3.77989e-06-0j -2.31519e-05-0j -3.30741e-06-0j -1.88995e-06-0j -2.29144e-05-0j -1.54346e-05-0j -2.22732e-07-0j -1.92932e-06-0j -1.33667e-05-0j -2.7279e-07-0j -4.67738e-06-0j -2.33869e-06-0j -1.76085e-08-0j -2.75617e-07-0j -2.72847e-06-0j -1.36424e-06-0j -3.37561e-07-0j -5.54617e-10-0j -1.60777e-07-0j -1.96911e-07-0j -2.17895e-08-0j -1.27105e-08-0j -6.86303e-10-0j -4.00344e-10-0j 
0.000592959-0j -0.00467474-0j 6.05186e-05-0j -0.00118104-0j -0.000139915-0j 0.000532498-0j -0.00406478-0j 7.01628e-05-0j -0.000968205-0j -0.00041486-0j -0.000148742-0j -1.13467e-05-0j -0.101811-0j -0.102866-0j -0.00255469-0j -0.00258116-0j 4.26966e-05-0j 2.84644e-05-0j -0.000589188-0j 4.31391e-05-0j 2.87594e-05-0j -0.000595294-0j -0.00033661-0j 2.51592e-06-0j -8.53385e-05-0j -0.000340098-0j 2.542e-06-0j -6.01338e-05-0j -8.62229e-05-0j -6.07569e-05-0j -1.00747e-05-0j -5.6417e-07-0j -1.01791e-05-0j -5.70017e-07-0j 0.000256588-0j 0.000317511-0j 0.000185215-0j 0.564006-0j 0.697922-0j 0.407121-0j 3.09859e-05-0j -0.000427587-0j 2.82861e-05-0j 3.83431e-05-0j -0.000529112-0j 2.23668e-05-0j -0.000236528-0j 3.50023e-05-0j -0.000308649-0j -0.000157686-0j -5.99655e-05-0j 2.0418e-05-0j 2.88694e-06-0j -0.000292689-0j -0.000195126-0j -5.63396e-05-0j -0.000170735-0j -7.42035e-05-0j -1.39376e-05-0j 3.57241e-06-0j -0.000113823-0j -6.6744e-06-0j -4.32854e-05-0j 2.0839e-06-0j -6.1202e-06-0j -6.97166e-05-0j -1.72469e-05-0j -6.60259e-07-0j -8.25915e-06-0j -4.0668e-05-0j -1.00607e-05-0j -7.57336e-06-0j -2.91493e-08-0j -4.81784e-06-0j -4.41779e-06-0j -8.17029e-07-0j -4.766e-07-0j -3.60704e-08-0j -2.10411e-08-0j 
0.000459304-0j 7.65506e-05-0j -0.00906742-0j -0.000920655-0j 5.63849e-07-0j -0.10174-0j 6.65623e-05-0j -0.00522902-0j 7.84444e-06-0j -0.00131405-0j -7.70308e-05-0j 3.65431e-08-0j 0.000264581-0j 0.000267323-0j -0.0103188-0j -0.0104257-0j -0.00318205-0j 2.20484e-05-0j 4.77363e-06-0j -0.00321503-0j 2.22769e-05-0j 4.8231e-06-0j -0.000530342-0j -0.000566411-0j 4.59343e-07-0j -0.000535838-0j -0.00057228-0j -9.42394e-05-0j 4.64103e-07-0j -9.5216e-05-0j -3.90634e-06-0j 1.51309e-09-0j -3.94682e-06-0j 1.52877e-09-0j 0.000198752-0j 0.000245943-0j 0.000143467-0j 3.09859e-05-0j 3.83431e-05-0j 2.23668e-05-0j 0.569608-0j -0.00085451-0j 2.19103e-05-0j 0.704854-0j -0.0010574-0j 0.411165-0j -0.00037266-0j 2.71127e-05-0j -0.000616818-0j 2.58216e-06-0j 3.2277e-07-0j 1.58157e-05-0j -0.000432547-0j -0.000461143-0j 3.19526e-06-0j -4.39184e-05-0j -0.000269-0j 3.99407e-07-0j -6.6334e-05-0j -0.000535249-0j 1.8639e-06-0j 2.68975e-08-0j 2.32988e-07-0j -0.000312229-0j -6.37201e-06-0j -5.43462e-05-0j -8.20842e-05-0j -2.04593e-07-0j 3.3284e-08-0j -3.1702e-05-0j -4.78824e-05-0j -7.88496e-06-0j 6.69764e-11-0j 1.94156e-08-0j -4.59956e-06-0j -2.5317e-07-0j -1.47683e-07-0j 8.2879e-11-0j 4.83461e-11-0j 
-6.62948e-05-0j 0.00105635-0j -6.76618e-06-0j -0.00617931-0j -0.00224721-0j 0.0146849-0j 0.00091852-0j -7.84444e-06-0j -0.00506574-0j 9.3746e-05-0j -0.00158432-0j -0.000243582-0j -3.8189e-05-0j -3.85848e-05-0j -0.142393-0j -0.143868-0j -4.77363e-06-0j -3.18242e-06-0j -0.00308269-0j -4.8231e-06-0j -3.2154e-06-0j -0.00311464-0j 7.60639e-05-0j -2.81289e-07-0j -0.000908978-0j 7.68521e-05-0j -2.84204e-07-0j -0.000314626-0j -0.000918398-0j -0.000317886-0j -0.000161813-0j -1.51601e-05-0j -0.000163489-0j -1.53172e-05-0j -2.86874e-05-0j -3.54988e-05-0j -2.07076e-05-0j 0.000427587-0j 0.000529112-0j 0.000308649-0j 0.00085451-0j 0.551821-0j -3.16249e-06-0j 0.0010574-0j 0.682844-0j 0.000616818-0j 5.34484e-05-0j -3.91338e-06-0j 0.398326-0j 3.56323e-05-0j -0.000638719-0j -2.2828e-06-0j -3.2277e-07-0j 6.6139e-05-0j 4.40927e-05-0j -0.000294774-0j 3.85811e-05-0j -0.000790374-0j 3.14948e-06-0j -3.99407e-07-0j 2.57207e-05-0j -0.000107199-0j -0.000461052-0j -2.32988e-07-0j -6.5189e-05-0j -0.000364764-0j 3.89728e-06-0j -1.4174e-05-0j -0.000132652-0j -0.000212779-0j 2.27341e-06-0j -8.06673e-05-0j -9.40778e-07-0j -7.73806e-05-0j -4.70559e-05-0j -1.75394e-05-0j -1.02313e-05-0j -1.16415e-06-0j -6.7909e-07-0j 
-0.0821323-0j -0.0101844-0j 4.27931e-05-0j 8.73511e-06-0j 5.14721e-07-0j 0.000376533-0j -0.0119026-0j -0.00723054-0j -0.00104364-0j 6.20157e-06-0j 7.30862e-07-0j 3.33591e-08-0j 0.000241529-0j 0.000244032-0j 3.8189e-05-0j 3.85848e-05-0j -0.00591403-0j -0.00588686-0j -0.000853617-0j -0.00597532-0j -0.00594787-0j -0.000862463-0j -0.000733342-0j 1.77903e-06-0j -6.11118e-05-0j -0.000740941-0j 1.79746e-06-0j 4.44757e-07-0j -6.17451e-05-0j 4.49366e-07-0j 3.70631e-08-0j 1.38126e-09-0j 3.74471e-08-0j 1.39557e-09-0j 0.000181435-0j 0.000224514-0j 0.000130967-0j 2.82861e-05-0j 3.50023e-05-0j 2.0418e-05-0j 2.19103e-05-0j 3.16249e-06-0j 0.571008-0j 2.71127e-05-0j 3.91338e-06-0j 1.58157e-05-0j -0.00069261-0j 0.706587-0j 2.2828e-06-0j -0.000689428-0j -5.77175e-05-0j 0.412176-0j -0.00029751-0j -0.000857061-0j -0.000853123-0j -6.0729e-05-0j -0.000499952-0j -7.14217e-05-0j 2.08347e-07-0j -0.00036815-0j -0.000497655-0j -3.57849e-06-0j -4.16627e-05-0j -0.000214754-0j 3.00723e-08-0j -7.51484e-05-0j 2.57816e-07-0j 1.94116e-09-0j -4.42816e-06-0j -4.38365e-05-0j 1.50393e-07-0j 3.72126e-08-0j 6.11408e-11-0j -2.58309e-06-0j 2.17073e-08-0j 2.40206e-09-0j 1.4012e-09-0j 7.56578e-11-0j 4.41337e-11-0j 
0.0145191-0j 0.000584343-0j 0.00146325-0j -0.0142041-0j 1.74893e-05-0j -6.65623e-05-0j -0.0995295-0j 0.00084383-0j 0.000121026-0j -0.0100307-0j -0.00178889-0j 1.41833e-06-0j -4.26966e-05-0j -4.31391e-05-0j 0.000319336-0j 0.000322645-0j -0.100588-0j -3.55805e-06-0j -0.0144268-0j -0.101631-0j -3.59493e-06-0j -0.0145763-0j -0.00404832-0j 9.14041e-05-0j 1.06673e-05-0j -0.00409028-0j 9.23513e-05-0j -0.00145394-0j 1.07779e-05-0j -0.00146901-0j -0.000121166-0j 7.05213e-08-0j -0.000122422-0j 7.12521e-08-0j -3.20735e-05-0j -3.96889e-05-0j -2.31519e-05-0j 0.000236528-0j 0.000292689-0j 0.000170735-0j 0.00037266-0j 5.34484e-05-0j 0.00069261-0j 0.000461143-0j 6.6139e-05-0j 0.000269-0j 0.557232-0j 0.000857061-0j 3.85811e-05-0j 1.97107e-05-0j -0.0014683-0j 0.000499952-0j 6.98019e-05-0j 0.68954-0j 2.43907e-05-0j -0.000677582-0j 0.402231-0j -0.00181693-0j -0.000506355-0j 8.63755e-05-0j 1.42279e-05-0j 8.34301e-07-0j -0.00105988-0j 5.03857e-05-0j -0.000147977-0j -0.000838465-0j -0.000626583-0j -7.94077e-06-0j 1.03239e-06-0j -0.000489104-0j -0.000365506-0j -0.000183112-0j 3.64366e-09-0j 6.0223e-07-0j -0.000106816-0j -9.8262e-06-0j -5.73195e-06-0j 4.5088e-09-0j 2.63013e-09-0j 
-4.94132e-05-0j -0.113939-0j -5.04322e-06-0j 9.84199e-05-0j 1.16596e-05-0j -4.43748e-05-0j 0.000338732-0j 0.0017101-0j -0.0235984-0j 3.45716e-05-0j 1.23952e-05-0j 9.45555e-07-0j -2.84644e-05-0j -2.87594e-05-0j 0.000212891-0j 0.000215097-0j -3.55805e-06-0j -0.100763-0j 4.9099e-05-0j -3.59493e-06-0j -0.101807-0j 4.96078e-05-0j -0.00820431-0j -2.0966e-07-0j -0.00207998-0j -0.00828933-0j -2.11833e-07-0j 5.01115e-06-0j -0.00210154-0j 5.06308e-06-0j 8.39559e-07-0j 4.70142e-08-0j 8.4826e-07-0j 4.75014e-08-0j -2.13823e-05-0j -2.64593e-05-0j -1.54346e-05-0j 0.000157686-0j 0.000195126-0j 0.000113823-0j -2.58216e-06-0j 3.56323e-05-0j 0.000689428-0j -3.19526e-06-0j 4.40927e-05-0j -1.8639e-06-0j 1.97107e-05-0j 0.000853123-0j 2.57207e-05-0j 0.558198-0j 4.99712e-06-0j 0.000497655-0j 7.03644e-05-0j 2.43907e-05-0j 0.690735-0j -0.00137318-0j 1.42279e-05-0j 6.18362e-06-0j 1.16146e-06-0j 8.70715e-05-0j 0.402929-0j -0.000162678-0j 3.60711e-06-0j 5.07917e-05-0j 5.10017e-07-0j -0.00169923-0j 1.43724e-06-0j 5.50216e-08-0j -0.000201303-0j -0.000991216-0j 8.38389e-07-0j 6.31113e-07-0j 2.42911e-09-0j -0.000117427-0j 3.6815e-07-0j 6.80857e-08-0j 3.97167e-08-0j 3.00586e-09-0j 1.75342e-09-0j 
-0.00120992-0j -0.000148145-0j 6.30402e-07-0j 0.00176421-0j -0.0198761-0j 5.54685e-06-0j 0.0252331-0j 7.30862e-07-0j 0.00144628-0j -1.31471e-05-0j -0.00683266-0j -0.00325448-0j 3.55805e-06-0j 3.59493e-06-0j -8.09592e-05-0j -8.17982e-05-0j -8.71219e-05-0j 2.96504e-07-0j -0.172403-0j -8.80247e-05-0j 2.99577e-07-0j -0.174189-0j -1.06673e-05-0j 2.62075e-08-0j -0.00392013-0j -1.07779e-05-0j 2.64791e-08-0j 8.98263e-05-0j -0.00396076-0j 9.07572e-05-0j -0.0014312-0j -0.000270921-0j -0.00144604-0j -0.000273728-0j 2.67279e-06-0j 3.30741e-06-0j 1.92932e-06-0j -5.99655e-05-0j -7.42035e-05-0j -4.32854e-05-0j 3.2277e-07-0j 0.000638719-0j -5.77175e-05-0j 3.99407e-07-0j 0.000790374-0j 2.32988e-07-0j 0.0014683-0j -7.14217e-05-0j 0.000461052-0j -4.99712e-06-0j 0.539587-0j -4.16627e-05-0j 3.00723e-08-0j 0.00181693-0j -6.18362e-06-0j 8.41586e-05-0j 0.00105988-0j 0.667705-0j -4.41687e-07-0j 3.72126e-08-0j -3.60711e-06-0j -0.00094816-0j 0.389495-0j 2.17073e-08-0j -0.000281139-0j 0.000104141-0j -5.4656e-07-0j -0.000189377-0j -0.00117329-0j 6.07489e-05-0j -3.18827e-07-0j -0.000347892-0j -2.1052e-05-0j -0.000684418-0j -0.000202937-0j -0.000234343-0j -0.0001367-0j -2.60506e-05-0j -1.51962e-05-0j 
-4.27931e-05-0j 0.00103945-0j -0.0808576-0j 0.000172445-0j -5.25335e-08-0j -3.84297e-05-0j -6.20157e-06-0j -0.142743-0j 0.000106516-0j -0.0117179-0j 1.44284e-05-0j -3.4047e-09-0j -2.46509e-05-0j -2.49064e-05-0j -3.89765e-06-0j -3.93804e-06-0j 0.000596022-0j 0.000600825-0j -4.44757e-07-0j 0.000602199-0j 0.000607052-0j -4.49366e-07-0j -0.0144774-0j -0.01019-0j 6.2372e-06-0j -0.0146274-0j -0.0102956-0j -0.000840368-0j 6.30183e-06-0j -0.000849077-0j 7.31686e-07-0j -1.40974e-10-0j 7.39269e-07-0j -1.42435e-10-0j -1.85176e-05-0j -2.29144e-05-0j -1.33667e-05-0j -2.88694e-06-0j -3.57241e-06-0j -2.0839e-06-0j 0.000432547-0j -3.2277e-07-0j 0.00029751-0j 0.000535249-0j -3.99407e-07-0j 0.000312229-0j 6.98019e-05-0j 0.00036815-0j -2.32988e-07-0j 7.03644e-05-0j -3.00723e-08-0j 0.000214754-0j 0.562146-0j 8.63755e-05-0j 8.70715e-05-0j -0.00119889-0j 5.03857e-05-0j -3.72126e-08-0j -0.00119338-0j 0.695621-0j 5.07917e-05-0j 3.65228e-07-0j -2.17073e-08-0j 0.405779-0j -5.68217e-05-0j -0.00148355-0j -0.00147673-0j 3.83217e-08-0j 4.51947e-07-0j -0.000865406-0j -0.000861425-0j -7.03133e-05-0j -6.24015e-12-0j 2.63636e-07-0j -4.10161e-05-0j 4.74207e-08-0j 2.76621e-08-0j -7.7218e-12-0j -4.50438e-12-0j 
8.73511e-06-0j 0.0202851-0j -0.000172445-0j -0.078337-0j 0.000296095-0j 7.84444e-06-0j -0.000121026-0j 0.0144933-0j -0.0972772-0j 0.00238925-0j -0.0200849-0j 3.20948e-05-0j 5.03185e-06-0j 5.08399e-06-0j -7.60639e-05-0j -7.68521e-05-0j -6.05168e-05-0j -0.000122643-0j 0.00040618-0j -6.11439e-05-0j -0.000123914-0j 0.000410389-0j -0.140535-0j -1.07721e-05-0j -0.0174551-0j -0.141991-0j -1.08837e-05-0j -0.00801867-0j -0.0176359-0j -0.00810177-0j -0.00205135-0j 1.99751e-06-0j -0.00207261-0j 2.01821e-06-0j 3.77989e-06-0j 4.67738e-06-0j 2.72847e-06-0j -5.63396e-05-0j -6.97166e-05-0j -4.0668e-05-0j -4.39184e-05-0j 0.000294774-0j -6.0729e-05-0j -5.43462e-05-0j 0.000364764-0j -3.1702e-05-0j 0.000677582-0j -7.51484e-05-0j 0.000212779-0j 0.00137318-0j 8.41586e-05-0j -4.38365e-05-0j 0.00119889-0j 0.000838465-0j 0.00169923-0j 0.544622-0j 0.000489104-0j 0.000104141-0j 0.000120611-0j 0.00148355-0j 0.000991216-0j -0.00205854-0j 6.07489e-05-0j 0.000865406-0j -0.00166143-0j 0.673936-0j 0.000149248-0j -0.000179688-0j -0.00254732-0j 0.393129-0j 8.70613e-05-0j -0.00205592-0j 1.23958e-07-0j -0.00148594-0j -0.00119928-0j -0.000222352-0j -0.000129705-0j 1.53391e-07-0j 8.94779e-08-0j 
4.36755e-06-0j -3.44327e-05-0j 0.0250166-0j 0.00252834-0j -1.03057e-06-0j 3.92222e-06-0j -2.99399e-05-0j -0.000150203-0j -7.1315e-06-0j -0.171491-0j 0.000318424-0j -8.3576e-08-0j 2.51592e-06-0j 2.542e-06-0j -1.88171e-05-0j -1.90121e-05-0j -9.14041e-05-0j 2.0966e-07-0j -4.33978e-06-0j -9.23513e-05-0j 2.11833e-07-0j -4.38475e-06-0j 0.000720608-0j -0.0990162-0j -6.28577e-07-0j 0.000728075-0j -0.100042-0j -0.0248575-0j -6.35091e-07-0j -0.0251151-0j 2.15677e-05-0j -4.15551e-09-0j 2.17912e-05-0j -4.19857e-09-0j 1.88995e-06-0j 2.33869e-06-0j 1.36424e-06-0j -1.39376e-05-0j -1.72469e-05-0j -1.00607e-05-0j -6.6334e-05-0j -3.14948e-06-0j 2.08347e-07-0j -8.20842e-05-0j -3.89728e-06-0j -4.78824e-05-0j 0.000506355-0j 2.57816e-07-0j -2.27341e-06-0j -1.16146e-06-0j -4.41687e-07-0j 1.50393e-07-0j 0.00119338-0j 0.000626583-0j -1.43724e-06-0j 0.000120611-0j 0.000365506-0j -5.4656e-07-0j 0.548524-0j 0.00147673-0j -8.38389e-07-0j -4.91616e-08-0j -3.18827e-07-0j 0.000861425-0j -0.00252991-0j 0.000149248-0j 0.678764-0j 1.41347e-06-0j -6.08344e-08-0j 8.70613e-05-0j 0.395946-0j -0.00313061-0j -2.14705e-10-0j -3.54867e-08-0j -0.00182619-0j 1.74908e-06-0j 1.0203e-06-0j -2.65683e-10-0j -1.54982e-10-0j 
