-0.0147175-0j 0.201936-0j -0.0121337-0j 0.100878-0j 0.0255769-0j -0.00742568-0j -0.00750263-0j 0.0582052-0j -0.00075788-0j 0.0588083-0j -0.000765734-0j 0.014706-0j 0.0148584-0j 0.00174223-0j 0.00176029-0j -0.00541954-0j -0.00670634-0j -0.00391203-0j 0.0411314-0j -0.000714087-0j 0.0508975-0j 0.00979783-0j 0.0296902-0j -0.000883638-0j 0.00419796-0j 0.0121242-0j -0.000515456-0j 0.00150524-0j 0.00519471-0j 0.000114828-0j 0.00707245-0j 0.00186264-0j 0.00303025-0j 0.00108654-0j 0.000142092-0j 8.2887e-05-0j 
-0.999538-0j 0.00151671-0j 0.000171468-0j -0.00288326-0j 2.52596e-06-0j 0.00530183-0j -0.00514472-0j 0.000883638-0j -0.103484-0j -0.000857454-0j 0.100417-0j -0.0105065-0j 0.0101952-0j 6.50861e-06-0j -6.31574e-06-0j 0.00386948-0j 9.4771e-05-0j -0.00542042-0j 0.000624434-0j -0.0484971-0j 1.52936e-05-0j 7.35903e-05-0j -0.000874717-0j -0.00118779-0j -0.012188-0j 1.80237e-06-0j 0.0679355-0j -0.00071443-0j -0.000298508-0j 3.42818e-07-0j -0.000103086-0j -1.74978e-05-0j 0.0170732-0j 0.00100078-0j 8.39629e-09-0j -4.80225e-07-0j 
-0.00151671-0j -0.968206-0j -2.47493e-05-0j 0.000415898-0j -0.00494174-0j -0.000765253-0j 0.000742577-0j 0.0121242-0j -7.81033e-05-0j -0.0117649-0j 7.57889e-05-0j -0.0705097-0j 0.0684203-0j -0.0256462-0j 0.0248862-0j -0.000558511-0j -1.3679e-05-0j 0.000782371-0j 0.00856772-0j -7.35903e-05-0j 0.00020984-0j -0.0469769-0j -0.0120018-0j -1.80237e-06-0j 0.000874439-0j -0.00115056-0j 0.000103086-0j -0.0146939-0j 2.14167e-05-0j -0.00225926-0j 0.065806-0j -0.000359883-0j -0.00122493-0j 0.0205835-0j -5.53337e-05-0j 0.00316481-0j 
0.00606304-0j 0.000875125-0j -0.71616-0j 0.000883638-0j 7.36365e-05-0j -0.00294176-0j 0.00309079-0j 0.0702453-0j -0.000300243-0j -0.0738038-0j 0.000315453-0j -6.12868e-05-0j 6.43915e-05-0j -3.61136e-06-0j 3.7943e-06-0j 0.00223264-0j -0.00265679-0j 0.0016116-0j 0.000360291-0j -0.0421471-0j -0.000428738-0j -0.00608341-0j 0.000260072-0j 0.0501541-0j 3.6772e-05-0j 0.00723912-0j -0.0304234-0j 4.33362e-06-0j -4.37579e-05-0j 1.97802e-07-0j -0.00439124-0j -5.15692e-06-0j 2.65434e-05-0j 3.12817e-06-0j -2.3538e-07-0j 1.42781e-07-0j 
-0.00612587-0j -0.000884193-0j -0.694938-0j 0.000857454-0j 7.14545e-05-0j -0.00309079-0j 0.00312037-0j 0.0738038-0j -0.000315453-0j -0.0745102-0j 0.000318472-0j -6.43915e-05-0j 6.50078e-05-0j -3.7943e-06-0j 3.83062e-06-0j -0.00225578-0j 0.00268088-0j -0.00143876-0j -0.000364024-0j 0.0425839-0j 0.000432626-0j 0.00614645-0j -0.000232179-0j -0.0506089-0j -3.71531e-05-0j -0.00730477-0j 0.0271606-0j -4.37853e-06-0j 4.41547e-05-0j -1.99852e-07-0j 0.00392029-0j 5.20368e-06-0j -2.36967e-05-0j -2.79269e-06-0j 2.37514e-07-0j -1.27468e-07-0j 
0.101951-0j 0.014706-0j -0.000883638-0j -0.698797-0j 0.00186264-0j 0.000520035-0j -0.00054638-0j -0.00407623-0j -0.0101503-0j 0.00428272-0j 0.0106645-0j 0.0979639-0j -0.102927-0j -0.000122012-0j 0.000128193-0j -0.000394679-0j 0.000469659-0j -0.000284894-0j 0.0029954-0j 0.00494661-0j -0.00356446-0j 0.000713528-0j 0.00216219-0j -0.00588635-0j -0.0584657-0j -0.000849083-0j 0.00357065-0j -0.0104271-0j 0.0695728-0j 8.36233e-06-0j 0.000515052-0j 0.012408-0j -0.0422028-0j -0.00752665-0j -9.95099e-06-0j 6.03625e-06-0j 
8.9317e-05-0j 0.174738-0j 7.36365e-05-0j -0.00186264-0j -0.676582-0j -4.33363e-05-0j 4.55316e-05-0j 0.0010335-0j -4.42299e-06-0j -0.00108586-0j 4.64705e-06-0j -0.0122373-0j 0.0128572-0j 0.137084-0j -0.144028-0j 3.28899e-05-0j -3.91382e-05-0j 2.37412e-05-0j -0.000759465-0j 4.33362e-06-0j 0.000903746-0j 0.00847822-0j -0.000548211-0j -5.15692e-06-0j -7.75125e-05-0j -0.0100889-0j 3.12817e-06-0j -0.0398179-0j 9.22382e-05-0j -0.0189705-0j 0.0061199-0j 0.0473824-0j -5.59515e-05-0j -0.0287421-0j 0.0225744-0j -0.0136936-0j 
-0.103007-0j -0.0148584-0j -0.000857454-0j -0.67809-0j 0.00180745-0j 0.00054638-0j -0.000551609-0j -0.00428272-0j -0.0106645-0j 0.00432371-0j 0.0107666-0j 0.102927-0j -0.103912-0j -0.000128193-0j 0.00012942-0j 0.000398769-0j -0.000473918-0j 0.00025434-0j -0.00302644-0j -0.00499787-0j 0.00359678-0j -0.000720923-0j -0.0019303-0j 0.00593973-0j 0.0590716-0j 0.000856783-0j -0.00318771-0j 0.0105351-0j -0.0702038-0j -8.44899e-06-0j -0.000459814-0j -0.0125205-0j 0.0376766-0j 0.00671944-0j 1.00412e-05-0j -5.38888e-06-0j 
-9.02426e-05-0j -0.176549-0j 7.14545e-05-0j -0.00180745-0j -0.656533-0j -4.55316e-05-0j 4.59674e-05-0j 0.00108586-0j -4.64705e-06-0j -0.00109625-0j 4.69153e-06-0j -0.0128572-0j 0.0129803-0j 0.144028-0j -0.145407-0j -3.32307e-05-0j 3.94932e-05-0j -2.1195e-05-0j 0.000767335-0j -4.37853e-06-0j -0.000911942-0j -0.00856608-0j 0.000489416-0j 5.20368e-06-0j 7.83158e-05-0j 0.0101804-0j -2.79269e-06-0j 0.0402305-0j -9.30747e-05-0j 0.0191671-0j -0.00546356-0j -0.0478121-0j 4.99508e-05-0j 0.0256596-0j -0.0227792-0j 0.012225-0j 
0.00428452-0j 0.000618418-0j 0.00353233-0j 0.000624434-0j 5.20362e-05-0j -0.413938-0j -0.418227-0j 0.000360291-0j 0.000220632-0j 0.000364024-0j 0.000222918-0j 4.50363e-05-0j 4.5503e-05-0j 2.65379e-06-0j 2.68129e-06-0j -0.0030676-0j 0.00195233-0j 0.00113886-0j 0.0947902-0j -0.000404192-0j -0.060328-0j -5.834e-05-0j -0.0351913-0j 0.000257242-0j -5.0524e-05-0j 3.71297e-05-0j 0.000150058-0j -5.95431e-06-0j 3.21553e-05-0j -2.71776e-07-0j 2.1659e-05-0j 3.78954e-06-0j 1.87573e-05-0j 2.21056e-06-0j 1.72968e-07-0j 1.00898e-07-0j 
-0.00530183-0j -0.000765253-0j -8.65137e-05-0j -1.52936e-05-0j -1.27447e-06-0j -0.492577-0j -0.497043-0j 0.000428738-0j 0.000262547-0j 0.000432626-0j 0.000264928-0j 5.35922e-05-0j 5.40782e-05-0j 3.15795e-06-0j 3.18659e-06-0j -0.00195233-0j 4.59825e-05-0j 0.00273486-0j 0.060328-0j -0.000257242-0j -0.00142088-0j -3.71297e-05-0j -0.0845084-0j 6.05873e-06-0j -3.21553e-05-0j 8.74502e-07-0j 0.000360349-0j -3.78954e-06-0j 7.57341e-07-0j -1.72968e-07-0j 5.20119e-05-0j 8.92535e-08-0j 4.50436e-05-0j 5.30844e-06-0j 4.07385e-09-0j 2.42296e-07-0j 
