-0.00379051-0j 0.143693-0j -0.000473813-0j -0.000315876-0j -6.83891e-05-0j -7.89689e-05-0j -2.79197e-05-0j -6.58074e-06-0j -6.97993e-06-0j -5.81661e-07-0j -2.16772e-08-0j -0.00354347-0j -0.000552435-0j 0.102595-0j 0.0148083-0j -0.000390631-0j -6.90544e-05-0j -4.60363e-05-0j -5.75453e-06-0j -3.98686e-05-0j -8.13814e-06-0j -4.06907e-06-0j -4.79544e-07-0j -5.87319e-07-0j -3.79113e-08-0j -1.19409e-09-0j 
0.00061169-0j -0.00454861-0j -0.0146411-0j 5.09742e-05-0j 0.200887-0j -0.000599331-0j 4.50553e-06-0j -0.000151957-0j -0.000107074-0j -1.79396e-05-0j -1.0046e-06-0j 0.000571825-0j -0.00419268-0j 6.90544e-05-0j -0.00094748-0j -0.0120707-0j 0.100354-0j -0.00034939-0j 0.025444-0j 6.43376e-06-0j -0.000124841-0j -3.0882e-05-0j -1.47901e-05-0j -1.35619e-05-0j -1.4631e-06-0j -6.45939e-08-0j 
0.000499443-0j 7.89689e-05-0j -0.00593842-0j -0.0119676-0j 9.01105e-06-0j 0.141801-0j -0.00105713-0j -0.000124229-0j -0.000175882-0j -7.2901e-06-0j 2.85622e-09-0j 0.000466893-0j 7.27897e-05-0j -0.00536316-0j 8.13814e-06-0j -0.00737421-0j -0.000865476-0j -0.00174418-0j 7.58226e-07-0j 0.143933-0j 0.0146133-0j -0.000154068-0j -9.0527e-06-0j -1.47994e-05-0j -4.75152e-07-0j 1.57336e-10-0j 
-7.20884e-05-0j 0.00108351-0j -9.01105e-06-0j 0.00172738-0j -0.00575228-0j -0.0204543-0j -5.30981e-07-0j 0.24304-0j -0.000587089-0j -0.00030199-0j -2.82941e-05-0j -6.73902e-05-0j 0.000998731-0j -8.13814e-06-0j -0.00519504-0j 0.00106438-0j 0.000124841-0j -0.0239316-0j -0.00148338-0j 0.000108632-0j 0.0980705-0j 7.35635e-06-0j 0.0356708-0j -0.000151397-0j -3.292e-05-0j -2.18506e-06-0j 
-6.24304e-05-0j 0.00046424-0j 0.00149241-0j -5.20253e-06-0j 0.000107074-0j -0.011698-0j -0.0252267-0j 1.5509e-05-0j 0.197745-0j -0.000350153-0j 1.02532e-07-0j -5.83616e-05-0j 0.000427914-0j 0.00134784-0j 9.67018e-05-0j -6.43376e-06-0j -0.0102294-0j 3.56595e-05-0j 1.35619e-05-0j -0.0118819-0j -0.00243672-0j 0.172911-0j 1.50951e-06-0j 0.0250461-0j -2.85576e-05-0j 6.59259e-09-0j 
7.35749e-06-0j -0.00016646-0j -8.74812e-05-0j 6.13124e-07-0j 0.00179926-0j 0.00208629-0j -1.5573e-05-0j -0.00796693-0j -0.0351188-0j 0.276725-0j -0.000550748-0j 6.87798e-06-0j -0.000153435-0j -7.90068e-05-0j 0.00162496-0j 7.58226e-07-0j 0.00182436-0j -1.27863e-05-0j -0.00696668-0j -1.47994e-05-0j -0.020366-0j 0.000324764-0j -0.00239846-0j 0.135979-0j 0.0455701-0j -5.32589e-05-0j 
-3.35822e-07-0j 1.26985e-05-0j -4.19778e-08-0j -2.79852e-08-0j -0.000276644-0j 1.67317e-06-0j -2.47356e-09-0j 0.00379569-0j -2.82349e-05-0j -0.0315532-0j 0.335299-0j -3.13935e-07-0j 1.17048e-05-0j -3.79113e-08-0j -0.000249845-0j -3.46081e-08-0j 1.4631e-06-0j 9.75402e-07-0j 0.00331914-0j -3.53218e-09-0j -3.292e-05-0j 8.62142e-08-0j -0.0260137-0j 0.000338759-0j 0.0925196-0j 0.065803-0j 
-1.00655-0j 0.000552435-0j 0.000436738-0j 0.000291159-0j 6.30377e-05-0j 7.27897e-05-0j 2.5735e-05-0j 6.06581e-06-0j 6.43376e-06-0j 5.36147e-07-0j 1.9981e-08-0j 6.46461e-05-0j -0.00290349-0j 7.80676e-06-0j 1.12681e-06-0j 7.12657e-06-0j 1.25981e-06-0j 8.39874e-07-0j 1.04984e-07-0j 7.27352e-07-0j 1.4847e-07-0j 7.42351e-08-0j 8.74868e-09-0j 1.07149e-08-0j 6.91644e-10-0j 2.17847e-11-0j 
-0.000552435-0j -0.984908-0j -6.90544e-05-0j -4.60363e-05-0j 0.00094748-0j 0.000541273-0j -4.06907e-06-0j 0.000137236-0j 9.67018e-05-0j 1.62017e-05-0j 9.07284e-07-0j -1.02214e-05-0j 7.49449e-05-0j 0.000295944-0j -0.00406058-0j -1.12681e-06-0j 9.36811e-06-0j 6.2454e-06-0j 2.37523e-06-0j -1.15004e-07-0j 2.23156e-06-0j 5.52021e-07-0j 2.64375e-07-0j 2.4242e-07-0j 2.61532e-08-0j 1.15463e-09-0j 
-0.000436738-0j -6.90544e-05-0j -0.994345-0j -3.63949e-05-0j 0.00150883-0j 0.000865476-0j 0.00092441-0j -7.58226e-07-0j 0.0001538-0j 6.37483e-06-0j -2.49763e-09-0j -8.08077e-06-0j -1.25981e-06-0j 9.28231e-05-0j -1.40851e-07-0j 0.000170577-0j -0.00286828-0j -1.04984e-07-0j 2.51284e-06-0j 1.73875e-05-0j 1.76532e-06-0j 2.66654e-06-0j -1.09359e-09-0j 2.56142e-07-0j 8.22371e-09-0j -2.72309e-12-0j 
-0.000291159-0j -4.60363e-05-0j -3.63949e-05-0j -0.996068-0j -5.25315e-06-0j 0.00174418-0j -2.14459e-06-0j 0.000145349-0j -5.36147e-07-0j -4.46789e-08-0j -1.66508e-09-0j -5.38718e-06-0j -8.39874e-07-0j -6.50563e-07-0j -9.39007e-08-0j 0.000170766-0j -1.04984e-07-0j -0.00287325-0j -8.74868e-09-0j 1.74288e-05-0j 3.55763e-06-0j -6.18625e-09-0j 2.09636e-07-0j -8.92909e-10-0j -5.7637e-11-0j -1.8154e-12-0j 
6.30377e-05-0j -0.00094748-0j -0.00150883-0j 5.25315e-06-0j -0.963176-0j -0.000124841-0j 4.64317e-07-0j 0.00148338-0j 0.00051338-0j 0.000264076-0j 2.47418e-05-0j 1.16636e-06-0j -1.72856e-05-0j 1.40851e-07-0j 8.99134e-05-0j -2.46207e-05-0j 0.000413737-0j -1.44047e-06-0j -0.00491607-0j 1.3123e-08-0j 1.18471e-05-0j -1.2732e-07-0j 4.30911e-06-0j 2.6203e-06-0j 5.69764e-07-0j 3.78181e-08-0j 
7.27897e-05-0j -0.000541273-0j -0.000865476-0j -0.00174418-0j -0.000124841-0j -0.971943-0j -0.000154068-0j 0.00259071-0j 0.00243672-0j 0.00020306-0j -1.19545e-07-0j 1.34679e-06-0j -9.87485e-06-0j -1.54705e-05-0j -2.23156e-06-0j -2.12716e-05-0j 0.000117413-0j 0.000236621-0j -3.12963e-07-0j 0.000415189-0j -0.00400712-0j 2.09013e-05-0j 4.99079e-06-0j 6.10858e-06-0j 3.27785e-07-0j -1.52135e-10-0j 
2.5735e-05-0j 4.06907e-06-0j -0.00092441-0j 2.14459e-06-0j 4.64317e-07-0j -0.000154068-0j -0.978685-0j 4.46789e-08-0j 0.00259974-0j -1.13482e-06-0j 1.47174e-10-0j 4.76164e-07-0j 7.42351e-08-0j -1.6524e-05-0j 8.29973e-09-0j 5.24921e-08-0j -2.66654e-06-0j 6.18625e-09-0j 7.73282e-10-0j 0.000293907-0j -3.14255e-07-0j -0.0028231-0j 6.44402e-11-0j 4.32966e-06-0j -1.46395e-09-0j 1.6046e-13-0j 
-6.06581e-06-0j 0.000137236-0j -7.58226e-07-0j 0.000145349-0j -0.00148338-0j -0.00259071-0j -4.46789e-08-0j -0.941044-0j -0.000151397-0j 0.00239846-0j 0.000454059-0j -1.12233e-07-0j 2.50371e-06-0j -1.35534e-08-0j -2.65156e-05-0j 1.77263e-06-0j 3.12963e-07-0j -5.99937e-05-0j 0.00011368-0j 1.80918e-07-0j 0.000500554-0j 1.84415e-08-0j -0.00560727-0j 1.16024e-05-0j 7.81744e-06-0j 8.69063e-07-0j 
-6.43376e-06-0j 9.67018e-05-0j 0.0001538-0j -5.36147e-07-0j -0.00051338-0j -0.00243672-0j -0.00259974-0j -0.000151397-0j -0.948113-0j 0.00515436-0j -2.5252e-06-0j -1.19041e-07-0j 1.7642e-06-0j 2.7492e-06-0j -9.17675e-06-0j -1.3123e-08-0j -4.21736e-05-0j 1.47017e-07-0j -2.6203e-06-0j -2.42356e-05-0j 0.000231238-0j 0.000712875-0j -4.39796e-07-0j -0.00483919-0j 1.11209e-05-0j -3.85979e-09-0j 
5.36147e-07-0j -1.62017e-05-0j -6.37483e-06-0j 4.46789e-08-0j 0.000264076-0j 0.00020306-0j -1.13482e-06-0j -0.00239846-0j -0.00515436-0j -0.917589-0j 0.0057124-0j 9.92008e-09-0j -2.9558e-07-0j -1.13951e-07-0j 4.72039e-06-0j 1.09359e-09-0j 3.51448e-06-0j -2.46317e-08-0j -4.15114e-05-0j -2.13451e-08-0j -5.91618e-05-0j 6.25632e-07-0j 0.00015741-0j 0.000810241-0j -0.00618148-0j 1.46346e-05-0j 
-1.9981e-08-0j 9.07284e-07-0j -2.49763e-09-0j -1.66508e-09-0j -2.47418e-05-0j 1.19545e-07-0j -1.47174e-10-0j 0.000454059-0j -2.5252e-06-0j -0.0057124-0j -0.887123-0j -3.69699e-10-0j 1.65523e-08-0j -4.46454e-11-0j -4.42263e-07-0j -4.07555e-11-0j 2.06903e-09-0j 1.37935e-09-0j 7.85864e-06-0j -4.15959e-12-0j -5.82732e-08-0j 1.21919e-10-0j -9.32133e-05-0j 8.02069e-07-0j 0.000690568-0j -0.00723539-0j 
