0.0825516-0j 0.0145932-0j 0.0012161-0j 0.0717802-0j 0.0119634-0j 0.00732604-0j 0.00149542-0j 8.81186e-05-0j 0.0451135-0j 0.045581-0j 0.00728015-0j 0.0073556-0j 0.00594422-0j 0.000857974-0j 0.00600582-0j 0.000743028-0j 0.000866866-0j 8.75666e-05-0j 0.000750728-0j 3.99685e-06-0j 8.84741e-05-0j 4.03827e-06-0j 0.033415-0j 0.0413489-0j 0.0241202-0j 0.00528337-0j 0.00653784-0j 0.00417687-0j 0.00381374-0j 0.00278458-0j 0.00060288-0j 0.00516862-0j 0.000696145-0j 0.00344574-0j 0.000746025-0j 0.00301503-0j 0.000246125-0j 0.00201002-0j 5.80121e-05-0j 0.000435181-0j 6.15311e-05-0j 0.000861436-0j 0.000304564-0j 5.12759e-06-0j 0.000502504-0j 7.17863e-05-0j 7.61409e-05-0j 0.000177662-0j 1.91094e-07-0j 4.18754e-05-0j 4.44155e-05-0j 6.34507e-06-0j 3.70129e-06-0j 2.36467e-07-0j 1.37939e-07-0j 
0.0119634-0j -0.100038-0j -0.0253619-0j 0.000148066-0j -0.00116731-0j 1.51119e-05-0j -0.000294913-0j -3.49376e-05-0j 0.00653784-0j -0.00641754-0j -0.049906-0j 0.0489878-0j 0.000861436-0j -0.0118873-0j -0.000845586-0j -0.00509351-0j 0.0116686-0j -0.00182621-0j 0.00499979-0j -0.000139311-0j 0.00179261-0j 0.000136747-0j 0.0048425-0j 8.52931e-05-0j -0.00684173-0j -0.0362179-0j -0.000637923-0j 0.000605312-0j 0.0511706-0j 0.000403541-0j -0.00835294-0j 1.06616e-05-0j -0.00477213-0j 7.10776e-06-0j -0.000147124-0j -0.000855217-0j 3.56683e-05-0j -0.000570144-0j -0.00120985-0j 0.0118015-0j -0.000852519-0j -8.40538e-05-0j 6.28243e-07-0j -0.00014283-0j 0.00674232-0j -2.13096e-05-0j -1.50158e-05-0j -5.03941e-05-0j -7.99826e-06-0j 0.00170934-0j 0.00120448-0j -2.51572e-06-0j 0.000201797-0j -1.40877e-07-0j 1.13004e-05-0j 
0.00594422-0j -0.101102-0j 8.75666e-05-0j 0.00516862-0j 0.000861436-0j -0.102037-0j -0.0103603-0j 6.34507e-06-0j -0.00319634-0j 0.00328211-0j -0.000515806-0j 0.000529648-0j 0.0405209-0j -6.07884e-05-0j -0.0416083-0j 0.0101829-0j 6.24196e-05-0j 0.00059693-0j -0.0104561-0j -2.83181e-07-0j -0.000612948-0j 2.9078e-07-0j 0.00240608-0j -0.00292961-0j 0.0017368-0j 0.000380435-0j -0.000463213-0j -0.0289373-0j 0.000274613-0j 0.000200507-0j 4.3411e-05-0j 0.0352337-0j -0.00482289-0j -0.000244135-0j -5.28567e-05-0j -0.0208881-0j -0.00515089-0j 0.000144733-0j 4.17723e-06-0j 3.13357e-05-0j -0.000857005-0j 0.00587229-0j 0.00627166-0j -3.55239e-05-0j -0.00348135-0j -5.08614e-06-0j 0.00104348-0j -0.00371811-0j 1.37599e-08-0j 3.01528e-06-0j -0.000618619-0j 4.32535e-05-0j -2.56425e-05-0j -1.67539e-08-0j 9.93245e-09-0j 
-0.000857974-0j 0.0145004-0j -0.173283-0j -0.000746025-0j 0.0118873-0j -7.61409e-05-0j -0.0695367-0j -0.0252882-0j 0.000461351-0j -0.000473732-0j -0.00711782-0j 0.00730883-0j 6.07884e-05-0j 0.0392556-0j -6.24196e-05-0j -0.00072646-0j -0.040309-0j 0.0122773-0j 0.000745954-0j 0.00188757-0j -0.0126067-0j -0.00193823-0j -0.000347288-0j 0.000422853-0j -0.000250686-0j 0.00524978-0j -0.00639206-0j -4.3411e-05-0j 0.00378949-0j -2.89407e-05-0j -0.0280337-0j 5.28567e-05-0j 0.000691719-0j 3.52378e-05-0j 0.0341335-0j -3.13357e-05-0j -2.55802e-06-0j -2.08905e-05-0j -0.00826618-0j -0.0202358-0j -0.00286118-0j -0.000842228-0j 3.11461e-06-0j -0.00147151-0j 0.000499309-0j 0.0100648-0j 0.00348374-0j -1.84648e-06-0j -0.000137864-0j -0.00596684-0j -0.00206531-0j 0.00179169-0j -0.00106219-0j 0.000167862-0j -9.95158e-05-0j 
-0.00600582-0j 0.102149-0j -8.84741e-05-0j 0.00507351-0j 0.000845586-0j -0.10016-0j -0.0101696-0j 6.22833e-06-0j -0.00328211-0j 0.00331478-0j -0.000529648-0j 0.00053492-0j 0.0416083-0j -6.24196e-05-0j -0.0420224-0j 0.0104561-0j 6.30409e-05-0j 0.000612948-0j -0.0105602-0j -2.9078e-07-0j -0.000619049-0j 2.93674e-07-0j -0.00243102-0j 0.00292259-0j -0.00160707-0j -0.000384377-0j 0.000462102-0j 0.0292372-0j -0.0002541-0j -0.000202585-0j -4.38609e-05-0j -0.0351493-0j 0.00487287-0j 0.000243549-0j 5.273e-05-0j 0.0193278-0j 0.00520427-0j -0.000133922-0j -4.22051e-06-0j -2.8995e-05-0j 0.000865886-0j -0.00585821-0j -0.00625663-0j 3.58921e-05-0j 0.0032213-0j 5.07394e-06-0j -0.00104098-0j 0.00344038-0j -1.39025e-08-0j -2.79005e-06-0j 0.00057241-0j -4.31498e-05-0j 2.37271e-05-0j 1.67138e-08-0j -9.19053e-09-0j 
0.000866866-0j -0.0146507-0j 0.175079-0j -0.000732299-0j 0.0116686-0j -7.47399e-05-0j -0.0682573-0j -0.0248229-0j 0.000473732-0j -0.000478447-0j -0.00730883-0j 0.00738158-0j 6.24196e-05-0j 0.040309-0j -6.30409e-05-0j -0.000745954-0j -0.0407102-0j 0.0126067-0j 0.000753379-0j 0.00193823-0j -0.0127322-0j -0.00195752-0j 0.000350887-0j -0.00042184-0j 0.00023196-0j -0.00530418-0j 0.00637674-0j 4.38609e-05-0j -0.00350643-0j 2.92406e-05-0j 0.0283243-0j -5.273e-05-0j -0.000698887-0j -3.51533e-05-0j -0.0340517-0j 2.8995e-05-0j 2.58453e-06-0j 1.933e-05-0j 0.00835184-0j 0.0187243-0j 0.00289083-0j 0.000840209-0j -3.10714e-06-0j 0.00148676-0j -0.000462012-0j -0.0100407-0j -0.00347539-0j 1.70855e-06-0j 0.000139293-0j 0.00552114-0j 0.00191104-0j -0.0017874-0j 0.00098285-0j -0.00016746-0j 9.20823e-05-0j 
-0.573923-0j 0.000696145-0j 5.80121e-05-0j 0.00342416-0j -0.0831729-0j 0.000349477-0j 7.13367e-05-0j 4.20355e-06-0j 0.00215207-0j 0.00217437-0j 0.000347288-0j 0.000350887-0j -0.041326-0j -0.00596489-0j -0.0417542-0j 3.54449e-05-0j -0.00602671-0j 4.17723e-06-0j 3.58123e-05-0j 1.90663e-07-0j 4.22051e-06-0j 1.92639e-07-0j -0.00317956-0j 0.00197248-0j 0.00115062-0j -0.000502733-0j 0.000311877-0j -0.000397445-0j 0.000181928-0j 0.0774965-0j -5.73662e-05-0j 0.000246561-0j 0.00965395-0j -0.048076-0j 3.55879e-05-0j 0.000143827-0j -2.34197e-05-0j -0.0280444-0j 0.000804495-0j 2.07596e-05-0j -5.85492e-06-0j -0.00598896-0j 1.45287e-05-0j -4.8791e-07-0j -0.00349356-0j -0.00049908-0j 3.63218e-06-0j 8.47509e-06-0j -1.81833e-08-0j -0.00029113-0j 2.11877e-06-0j 3.02682e-07-0j 1.76564e-07-0j 1.12803e-08-0j 6.58016e-09-0j 
-0.000696145-0j -0.560077-0j 0.0014758-0j -0.000605312-0j 0.00477213-0j 0.0119499-0j -0.116-0j 0.00014283-0j -0.000380435-0j -0.000384377-0j 0.00290402-0j 0.00293411-0j 0.00482289-0j 0.000691719-0j 0.00487287-0j -0.0573301-0j 0.000698887-0j -0.0102243-0j -0.0579242-0j 8.10644e-06-0j -0.0103303-0j 8.19045e-06-0j 0.000562072-0j -0.000348689-0j -0.000203402-0j -0.00420384-0j 0.00260791-0j -0.0067599-0j 0.00152128-0j 4.68393e-05-0j -0.000969533-0j 0.0041936-0j 0.0532934-0j -2.90574e-05-0j 0.000601463-0j 0.00244627-0j -0.00120327-0j -1.69502e-05-0j -0.000140428-0j 0.000350853-0j 0.0191402-0j -0.0330613-0j 0.000746467-0j 0.00159507-0j -0.0192858-0j 8.71164e-05-0j -0.0118739-0j 0.000435439-0j -9.28364e-07-0j 5.08179e-05-0j -0.00692643-0j -0.000989522-0j -0.000577221-0j 5.75924e-07-0j 3.35955e-07-0j 
0.710194-0j -0.000861436-0j -7.17863e-05-0j -6.03113e-05-0j 0.00146496-0j -6.1555e-06-0j -1.25649e-06-0j -7.40392e-08-0j 0.00262033-0j 0.00261405-0j 0.000422853-0j 0.00042184-0j -0.050318-0j -0.00726277-0j -0.0501974-0j 4.31573e-05-0j -0.00724537-0j 5.08614e-06-0j 4.30538e-05-0j 2.32149e-07-0j 5.07394e-06-0j 2.31593e-07-0j -0.00197248-0j 3.4185e-05-0j 0.00278683-0j -0.000311877-0j 5.40512e-06-0j -0.000246561-0j 0.000440636-0j 0.048076-0j -3.55879e-05-0j 4.27312e-06-0j 0.00598896-0j -0.000833202-0j 6.16772e-07-0j 0.000348354-0j -1.45287e-05-0j -0.0679244-0j 0.00049908-0j 5.02805e-05-0j -3.63218e-06-0j -0.000103794-0j 2.51796e-07-0j -3.02682e-07-0j -0.00846152-0j -8.64952e-06-0j 6.2949e-08-0j 2.05269e-05-0j -1.12803e-08-0j -0.000705126-0j 5.13173e-06-0j 5.24575e-09-0j 4.27645e-07-0j 1.95498e-10-0j 1.59374e-08-0j 
5.80121e-05-0j -0.0014758-0j -0.542342-0j 5.04427e-05-0j -0.00120985-0j 5.14828e-06-0j 0.0144077-0j -0.162322-0j 3.17029e-05-0j 3.20315e-05-0j -0.000736237-0j -0.000743866-0j 4.17723e-06-0j 0.00826618-0j 4.22051e-06-0j -7.51418e-05-0j 0.00835184-0j -0.0390519-0j -7.59205e-05-0j -0.0186009-0j -0.0394566-0j -0.0187937-0j -4.68393e-05-0j 2.90574e-05-0j 1.69502e-05-0j 0.00106577-0j -0.000661167-0j -5.85492e-06-0j -0.000385681-0j -3.90328e-06-0j -0.0115861-0j 3.63218e-06-0j 0.000140428-0j 2.42145e-06-0j 0.0071876-0j 2.11877e-06-0j -3.45004e-07-0j 1.41251e-06-0j 0.0516059-0j 0.00419277-0j -0.0011825-0j -8.71164e-05-0j 2.14028e-07-0j 0.0188408-0j -5.08179e-05-0j -0.0320144-0j 0.000733582-0j 1.2485e-07-0j 0.00356649-0j -0.0186751-0j 0.000427923-0j -0.0116882-0j -0.0068181-0j -0.00221252-0j -0.00129064-0j 
-0.41428-0j 0.000502504-0j 4.18754e-05-0j -0.00483784-0j 0.117511-0j -0.00049376-0j -0.000100788-0j -5.939e-06-0j 0.00155344-0j 0.00143741-0j 0.000250686-0j 0.00023196-0j -0.0298307-0j -0.00430569-0j -0.0276024-0j 2.55855e-05-0j -0.00398407-0j 3.01528e-06-0j 2.36744e-05-0j 1.37628e-07-0j 2.79005e-06-0j 1.27348e-07-0j 0.00115062-0j -0.00278683-0j 0.00321585-0j 0.000181928-0j -0.000440636-0j 0.000143827-0j 0.00050847-0j -0.0280444-0j 2.07596e-05-0j -0.000348354-0j -0.00349356-0j 0.0679244-0j -5.02805e-05-0j 0.000401981-0j 8.47509e-06-0j -0.078381-0j -0.00029113-0j 5.8021e-05-0j 2.11877e-06-0j 0.00846152-0j -2.05269e-05-0j 1.76564e-07-0j -0.00976413-0j 0.000705126-0j -5.13173e-06-0j 2.3687e-05-0j 6.58016e-09-0j -0.000813677-0j 5.92174e-06-0j -4.27645e-07-0j 4.93479e-07-0j -1.59374e-08-0j 1.83909e-08-0j 
