0.0483292+0.226809j 0.22737-0.0483153j -0.0834388-0.272052j 0.282364-0.0844777j 0.08844+0.161262j -0.191943+0.112405j -0.0955408+0.0457332j 0.0324903-0.145299j -0.027708-0.183054j -0.0710226-0.0719595j 0.0904362+0.0376684j -0.0545164-0.00994005j 0.0153266-0.0480954j -0.0488721-0.0687706j -0.0506682-0.0708994j 0.0529653+0.0466836j 0.0522922-0.057145j 0.00788377-0.0307662j 0.0239567+0.00749884j -0.121558-0.0190258j -0.00152831-0.062282j -0.0191164+0.0282323j -0.0238855-0.00922328j -0.0652028-0.058583j 0.0837166+0.0271432j 0.0192426-0.0214391j -0.0124006+0.00081174j 0.0724343+0.0194478j 0.0471383+0.0387738j 0.0206739+0.0265226j -0.0249613-0.00812679j -0.0223438+0.0311977j -0.00735325+0.0184316j -0.0161027+0.038686j 0.0179116+0.0626369j -0.0412517-0.0454742j 0.0269068+0.032297j 0.0206438+0.0464546j 0.0301398-0.0190661j 0.0126753+0.0078401j 0.0615799-0.0308343j 0.130657-0.0210269j -0.0348436+0.0027704j -0.0784799+0.0320465j 0.0112496-0.016202j 0.0467394-0.0199526j 0.00305241-0.000351988j -0.0228453+0.00580954j 0.00126157-0.00614638j -0.0282413-0.0148663j -0.0089026+0.00969772j 0.0035776-0.00284057j -0.0326965+0.0184524j -0.0277686-0.0292249j -0.120013+0.00708379j 0.0259145-0.0260384j 0.0905252-0.0115626j -0.0480821+0.0833402j -0.0349157+0.0780572j 0.0135702+0.0292695j -0.031412+0.0758586j 0.0270256-0.0553367j 0.0415762-0.0537344j -0.0230554+0.111372j 0.0429981-0.0466065j -0.0264183+0.0999009j 0.0395734+0.0999514j 0.0119784+0.0740083j -0.13138-0.117377j 0.17036-0.0212222j 0.070508-0.0539363j 0.0879634-0.0993276j -0.0650417-0.152338j -0.226121+0.0136161j 0.011353+0.215601j 0.186233+0.0228613j -0.022862+0.186024j 
-0.0212202+0.0455694j 0.0453747+0.0213279j 0.0147624-0.00472918j 0.00232483+0.0157907j -0.0155584-0.00173449j 0.0105077-0.0194751j 0.026581+0.0151801j -0.0329377+0.0292458j 0.00421875+0.0425121j 0.00303588+0.00215177j 0.0095678+0.00339019j -0.0107695+0.0132426j 0.0146113-0.00407434j 0.00856671+0.0358661j 0.0205064+0.00996814j -0.00991792-0.0121387j 0.00400239-0.00248472j 0.00642973-0.000228729j -0.0100541+0.00158493j 0.00627993+0.00376529j 0.00566861-0.00287435j -1.78125e-05+0.00436245j 0.00775693+0.000290265j 0.0222191+0.0217328j -0.0241542-0.0107431j -0.00404938-0.00933429j -0.0106699+0.00479557j -0.014079-0.00749465j 5.03887e-05+0.00377554j -0.00208445+0.00474758j -0.00606518-0.00368141j -0.0037729+0.00184103j -0.00503767+0.000530827j -0.00257225-0.00246013j -0.00340345+0.00370738j 0.00860922+0.00348544j -0.0109383+0.0106461j -0.00363039+0.00297259j -0.00201232-0.00863169j -0.000323412+0.00226816j -0.00824208-0.00268636j -0.0227648+0.000316661j 0.0129257+0.00218387j 0.0165868+0.000924303j -0.0105802+0.00129111j -0.020651+0.00198144j 0.00130498-0.00296847j 0.0168277-0.0075767j -0.00652611+0.00199619j 0.0109364-0.00951583j 0.0051857+0.0104615j 0.000160665-0.00356273j 0.00859286-0.00793661j 0.003009-0.00688417j 0.00828672-0.0108664j -0.00127168-0.00282002j 0.00182911+0.00891661j 0.00816311+0.00207879j 0.0168923-0.00375941j 0.00738062+0.00252794j 0.0133551-0.018304j -0.00234881+0.0183343j -0.00679311+0.00591573j 0.00702839-0.0233968j 0.0159113+0.00968293j -0.00976207+0.00402343j 0.00616839-0.00551329j 0.00712196+0.00618356j 0.00759599+0.0230461j -0.0171163+0.0074648j 0.0151269+0.00527126j -0.00421066-0.0167819j -0.0109665+0.00618856j -0.0118413+0.0153428j 0.0150133+0.0121767j 0.0450645-0.0218711j 0.0218896+0.0450141j 
0.00181559+0.0146513j 0.0143683-0.00188288j 0.00223695-0.00569874j 0.00440197+0.00226021j -0.00336048+0.00338557j 0.000117759-0.00344757j 0.00815778+0.00615119j -0.00903642+0.00656169j -0.000130824+0.0077704j -0.000558647-0.00275833j 0.00554183+0.00397462j -0.00377507+0.00363608j 0.00303815+0.00046307j 0.00124482+0.00792194j 0.00622625+0.00315152j 0.00090406-0.00133675j 0.00235151+0.000750609j 0.00241799-0.000316852j -0.00276687+0.00107702j -0.00286369+0.000831615j 0.000750182-0.000112477j -0.000451124+0.000612753j 0.00185694+0.000100438j 0.00262804+0.00514213j -0.00607519-0.00295975j -3.68599e-06-0.00240496j -0.0035765+0.0029436j -0.00124396-0.00161317j 0.00212864+0.00110202j -0.00184877+0.00122342j -0.00275859-0.000191835j -0.00251359+0.00154593j -0.00151379+0.000265364j -0.00239345-6.71822e-05j -0.000841942+0.000849291j -0.000595376+0.00209113j -0.00314142+0.00372425j -0.00219357+0.000912425j 0.000310701-0.00361611j -0.00140591+0.00198691j -0.00020008-0.00190916j -0.00260961-0.000479224j 0.00374718+0.00015924j 0.00105343+0.0015299j -0.00175288+0.000431025j -0.00358851+0.000724706j 0.000129496-0.00124825j 0.00340402-0.00217985j -0.00196505+0.00069768j 0.00221888-0.00261216j 0.00108392+0.00337572j 0.000734787-0.00258193j 0.000809336-0.00103143j 0.000499749-0.00314551j 0.00109678-0.000221144j 0.000918801-0.00223842j 0.00179718+0.00370503j 0.00142613+0.00227463j 0.00412522-0.000237911j 0.00275705+0.0023163j 0.0014522-0.00294903j 0.000820148+0.00303944j -0.0001455-4.89408e-05j 0.00171648-0.00228593j 0.00684443+0.000244678j -0.0017043+0.0042248j 0.00154742-0.0016668j 0.00108632+0.00366137j 0.000646095+0.00294726j 0.0003287+0.00216128j 0.00485446-0.00228781j -0.00162925-0.00619673j -0.00474625-0.00121952j -0.00857752+0.00467707j 0.00423355+0.00845026j 0.00548383+0.00420969j -0.00423618+0.00552525j 
-0.00966359-0.0193415j -0.0191716+0.00968861j -0.00844512-0.00179282j 0.00316088-0.00799276j 0.00557455+0.00152015j -0.00541065+0.00212741j -0.00526649-0.00649677j 0.00637102-0.000805255j 0.00709845-0.00190048j -0.00253803+0.00284025j 0.00231385-0.0114082j 0.00820678-0.000173167j 0.00741272-0.00696223j 0.0066656-0.000961798j 0.00056418-0.0157456j -0.00268226-0.00558832j -0.0008491-0.00844458j -0.0022023-0.00173337j 0.00318747+0.000743275j 0.00852649+0.00214353j -0.00143973-0.00173312j 0.000769036+0.00350226j -0.00165238-0.0059293j 0.0058581-0.000396392j 0.00308864+0.0111098j -0.00495232-0.00223491j 0.00511337-0.00126909j -0.00272846+0.002961j -0.00125997+0.000796838j 0.00486245+0.00595315j 0.00192087+0.000100777j 0.00634084+0.00318814j 0.00230766+0.00252742j 0.00448079+0.00143702j 0.00489711+0.00466401j 0.00690935+0.00031518j 0.0079545+0.00290644j 0.0056131+0.00277613j -0.00372031+0.00127623j 0.00899704+0.00296064j -0.00354673+0.00248924j -0.000257268+0.00643078j -0.00267967-0.00323328j 0.00740726-0.00332242j -0.00123409-7.36336e-05j -0.00142057+0.00125942j -0.00122645+0.00266975j -0.00175676+0.000253801j 0.000619088+0.000473799j -0.00424457+0.0012258j 0.00701832-0.000685056j -0.00518915+0.00154752j 0.00140188-0.00233908j -0.00604004+0.00385615j 3.27911e-05-0.00581911j -0.00266479+0.00433086j 0.0105773-0.00583653j 0.000268876-0.00506269j 0.000467916-0.00396245j 0.00438918-0.00608137j 0.00114151-0.00100164j 0.0029157+0.000341656j -0.00120575-0.000364267j 0.000202565-0.00961026j -0.00219797-0.00698992j -0.00195563-0.00412794j -0.00332091-0.000767897j 0.00457866-0.000720986j 0.0014074+0.0078137j -0.00768725-0.00326882j -0.00217711+0.0022737j -0.00235257-0.0011664j -0.003061+0.00450752j 0.00233699+0.0063281j 0.00592663-0.00222361j 0.0263298+0.0129062j -0.0129797+0.0262493j 
-0.0165807-0.0165143j -0.0164463+0.016812j 0.00219058-0.0148351j 0.0156663+0.00388426j 0.00988492-0.00377995j 0.0038503+0.00406352j -0.00475136-0.0294508j 0.0252969-0.000808545j -0.00181903-0.00215784j -3.67008e-05+0.00728813j 0.00180605-0.0154807j 0.00388181-0.00327162j 0.00254251-0.00836966j 0.013132+0.00428728j -0.00817353-0.00510084j -0.00983092-0.00745264j 0.00717783-0.00864604j -0.00311153+0.00680484j 0.00860859+0.0037954j 0.0111168+0.00665487j 0.00322298-0.00179062j -0.000315368+0.00556757j -0.00516757+0.000474463j 0.0149311-0.00372436j 0.00173823+0.00718346j -0.00694624-0.00166035j 0.00942438-0.00775606j -0.00917596-0.00157598j -0.00603691-0.000605671j 0.00404165+0.00104558j 0.000941876-0.000931804j 0.00288934+0.00288281j 0.00315216-0.00033296j 0.0069277+0.00565755j 0.000118894+0.00645214j 0.00528203-0.00883338j 0.00867373-0.00317657j 0.00351883+0.00534196j -0.00256263+0.00558075j 0.00758499+0.000346487j -0.00458629+0.00132815j -0.00507477+0.00326004j -0.0016649-0.00632295j 0.0131111-0.00663897j -0.00166273+0.0021372j -0.00380758+0.00360701j -0.00238123+0.00761709j -0.000381311+0.00168726j 0.00275663-0.00356415j -0.00229823-9.64542e-05j -0.0019765-0.00610942j -0.00249552+0.00718284j 0.00302283+0.00202152j -0.00585903+0.000482495j -0.00262134-0.00837234j -0.00293732+0.00886206j 0.00423564-0.00974075j 0.00333136-0.00627368j -0.00327885-0.00574824j -0.000869723-0.00721949j 0.00677294+0.00300548j -0.00394573+0.00453837j 0.00401909+0.00132954j -0.00271079-0.00483148j -0.0133423+0.000157214j -0.00112337-0.00609246j 0.000903677+0.00291534j 0.00011421-0.00651553j -0.00615552+0.00639653j -0.00960035-0.0213085j -0.0176049+0.0105829j 0.00674081+0.00332663j -0.0100301-6.04621e-05j 0.00143206+0.022035j 0.0208688-0.00127096j 0.0184532+0.00661143j -0.00662563+0.0183985j 
-0.00584286+0.0135984j 0.013443+0.00573794j 0.0284136-0.00589361j 0.00453486+0.0282847j 0.00519208-0.00597621j 0.012978+0.00910357j 0.0182277-0.0227725j 0.0211971+0.0133476j -0.0131997-0.00840907j 0.00390415+0.0063333j -0.00351772+0.00336307j -0.00786609-0.0065038j -0.0126637-0.00204785j -0.000391613+0.0100287j -0.020055+0.017462j -0.00688601-0.000788024j 0.00740736+0.0104309j -0.00602838+0.0108547j 0.00257435+0.00589888j -0.00394469+0.00291057j 0.00591822+0.00360279j -0.00196185-0.000692758j -0.00829321+0.0102684j 0.00743221-0.000923495j -0.000653386-0.0124483j 0.0002483+0.00268484j 0.00684961-0.00554793j -0.00266696-0.00985849j -0.00313507-0.00380358j -0.000254231-0.00940435j -0.0017958-0.0022834j -0.0065248-0.00532618j 0.00197018-0.00585747j -0.0028486+0.00566608j -0.00886877-0.00491244j -0.00125043-0.0132866j 0.000739286-0.010384j -0.00816545+0.000619857j -0.00154014+0.00537854j -0.00522914-0.00743216j 0.000101606-0.00241927j -0.00347397-0.00952117j 0.00477623-0.00171041j 0.00295901-9.65284e-05j -0.000407468+0.00236529j -0.00253463+0.000584537j -0.0026911+0.00370256j 0.00228961+0.00322285j 0.00372112-0.00352178j 0.00604914+0.000395276j -0.0118546-0.0135682j 0.00238239+0.00731793j -0.00133531+0.0081082j 0.00521565-0.0054984j -0.00293218-0.00225209j 5.00365e-06+0.000987496j -0.0126551-0.00539085j 0.00463527+0.00240532j -0.00463719-0.00376374j -0.00842407-0.00177733j 0.00285107+0.00876813j -0.0132068+0.00010879j 0.00632905+0.00574579j -0.00823887+0.00884874j -0.0173614+0.00710635j 0.00382299-0.00170297j 0.00442145+0.00571733j -0.00538103-0.0120132j -0.00843186-0.0119617j 0.0159829-0.0217778j -0.0247786-0.00555478j 0.0066173+0.014723j -0.000921352-0.012062j -0.0137265+0.0151788j 0.0146924+0.0129143j -0.0089274-0.0188276j 0.0188252-0.00889835j 
0.00440352-0.0152159j -0.0155419-0.00405996j -0.00235969-0.00839126j 0.0073605-0.000905127j 0.00181624+0.00513765j -0.00265607-0.00283489j 0.00248228-0.0059097j 0.00233876+0.00133469j 0.00166594+0.00438306j -0.00538075-0.00252226j 0.0116475-0.00214891j 0.00360539+0.00356088j 0.00995591+0.00494999j 0.00292261+0.00438324j 0.0103072-0.00700815j 0.00407342-0.0060918j 0.00680574-0.00304021j 0.00012712-0.000963577j 0.000298624+0.00295022j -0.000190624+0.00790203j 0.00037625-6.99123e-05j -0.00310985+0.0017768j 0.00441314-0.00442193j 0.00298378+0.00602371j -0.00486722+0.00724149j 2.17165e-05-0.0049377j 0.000934103+0.00295409j -0.00182655-0.00214525j -0.000552761-0.00300116j -0.00070864+0.00409889j 0.00076023+0.00202277j -0.000519282+0.00420513j -0.00170543+0.00404416j 0.00190417+0.0037135j -0.00208331+0.0044886j 0.00357055+0.00465401j -9.27172e-05+0.00654436j 0.00197478+0.00362963j 0.00122622+0.000323877j 0.00155729+0.00630084j -0.00067935-0.000395812j -0.00239738+0.00135932j -0.000159111-0.00241724j 0.00509027+0.00520507j -0.0010694-0.000799839j -0.00165738-0.000927539j -0.0025005+9.4085e-05j -0.00096822-0.00213836j 0.00140064+0.00134024j -0.00163687-0.00299195j 0.00236849+0.00426379j -0.00381425-0.00178377j 0.00160442-0.000850114j -0.0028476-0.0013322j 0.0041706-0.00121223j -0.00573412+0.000501394j 0.00810462+0.00297524j 0.00126938-0.00080306j 0.00104399+0.00114401j 0.00371952+0.000360148j 0.00145854+0.000712678j 0.000995893+0.00142009j -0.00106388-0.0010583j 0.00526508-0.0030899j 0.0019537-0.00520894j -0.000406227-0.00139611j -0.00260539+0.00136059j 0.00271278+0.00399746j -0.00397902+0.00347144j -0.00247928-0.00508995j -0.00259965+0.00399104j 0.00341821-0.00168673j -0.00422547-0.00210986j -0.00195757-0.00105507j -0.00148568+0.00196503j -0.000353433+0.00892984j -0.00885078-0.000245892j 
-0.00521623+0.00368542j 0.00368559+0.0052596j -0.00136076+0.000581595j -0.000372303-0.00124559j 0.000403521-0.00148847j 0.000244711+0.000608684j -0.00146375+0.00122299j -0.000793918-0.000640756j 0.000589383-0.000182037j -0.000105902+0.0015704j -0.00301828-0.00224075j -0.000567867-0.00206155j -0.000759135-0.00363377j 0.00153017-0.00133336j -0.00365529-0.000527139j -0.00247006-8.8391e-05j -0.001861-0.00112174j 0.000365204+0.000627389j 0.000514463-0.00073378j 0.0019784-0.00177025j -0.00017068+0.000393232j 0.00124445+0.000499376j -0.00208328+0.000121553j 0.00161088-0.00154676j 0.00233937-0.000510804j -0.00143825+0.00100584j -0.000337932-0.00113645j -0.000360241+0.00107261j -0.000284748+0.000787252j 0.00139938-0.000868347j -0.000274444-0.00054064j 0.00102484-0.00064633j 0.00121205-0.000523626j 0.00049646-0.00124517j 0.00178867-0.000311709j 0.000407961-0.00188752j 0.00107747-0.00148954j 0.000434576-0.00124861j 0.000162957-0.000143423j 0.0016057-0.00173583j 0.000305802+0.000334499j 0.00101992+0.000589263j -0.000545846+0.000389916j 0.000600635-0.00268452j -0.000339417+0.000649917j -0.00058797+0.00110756j 0.000915214+0.000850984j 0.000470349+0.000222496j -0.000396525-0.000436734j 0.000242198+0.000768214j 0.000472679-0.00162556j 0.000617268+0.00128678j -0.000194176-0.000598667j 0.000522551+0.00118687j -0.00109189-0.0008269j 0.0017205+0.00120577j -0.000907121-0.00309918j -0.000948434-8.84489e-05j 6.60942e-05-0.000877903j -0.000937339-0.00109034j 0.000414766-0.00148715j 0.000364249+0.000227418j -1.00713e-05+0.000305436j -0.00228589-0.00140443j -0.00136774+0.000862075j -0.00101452+0.00132543j 0.000642748+0.000226266j 0.000383057-0.000963205j 0.00278919+0.00134115j -0.00240771+0.0023037j 0.00204611+0.000562219j -0.00166775-0.00153035j -0.000915307+0.00222691j -0.000757989+0.00283987j 0.00274323+0.00101374j 0.00495323-0.00169079j 0.00168572+0.00495964j 
0.00862037+0.00363485j 0.00368672-0.00914128j 0.00912655+0.000132306j 0.000215284+0.00742237j -0.00220306-0.000551713j 0.000330761+0.00321717j 0.00175737+0.0064538j -0.00260933+0.00120377j -0.00262555-0.00255954j 0.00351521-0.000144557j -0.00674042+0.00511091j -0.00227834+0.000495334j -0.00706941-0.000582387j -0.00425588+0.000741724j -0.00160561+0.0033482j 8.62959e-05+0.00325173j -0.00302441+0.00248825j -0.00171314-0.00315324j -0.00102289-0.00272454j -0.00149439-0.00591477j -0.000919236-0.0027618j 0.00210276-0.00231908j -0.00224997+0.0044111j -0.00117484+0.000514838j -0.000775473-0.0045364j 0.000465752+0.00136957j 0.00028343-0.00269081j 0.00210299+0.00163399j 0.00359325+0.00344604j 0.00335229+0.00186973j -0.00260561-0.00261188j 0.00161111-0.00282515j -0.00139752-0.00450888j -0.00304294-0.000625998j 0.0030263-0.00236754j -0.00146561-0.00124941j -0.00130406-0.00449782j 0.000362129+3.61837e-05j -0.00501081+0.00157612j 0.000335169-0.00124519j -0.00133075+0.00057351j 0.0025633+0.000709215j 0.00153029+0.000375715j -0.00366681-0.00255488j -0.00185486-2.06779e-05j -0.000275493+0.000623414j -0.00124099+0.000560541j 0.00389438+0.000825752j -0.00227237+0.000566576j 0.00197962+0.00110794j 0.000943675-0.00333257j 0.00233064-0.000878565j 0.0008194-0.000458005j -0.0012065+0.00143149j -0.00275575+0.000978022j 0.00373492-0.00223903j 8.71459e-05-0.000758879j -0.00122653+0.000632717j -0.00062443-0.00509029j 0.000960852-0.00235489j -0.000540564-0.000838082j 0.000818927+0.000691468j 0.00172705-0.00125408j -0.00235497-0.00181102j 0.00264766-0.00334317j -0.000404292+0.00120346j -0.00268439-0.00236349j 0.00114464+0.000730737j 0.00310568-0.000474797j 0.00133999+0.00170087j -0.000791537-0.00266468j -0.00112237+0.00111369j 0.000360557-0.00027727j 0.00359384+0.00857627j 0.00823165-0.00381636j 0.00470516+0.00904791j -0.00923619+0.00467905j 
0.00359658+0.0105546j 0.0104887-0.00373738j -0.00141991-0.00639662j 0.00571589-0.00219234j 0.00262827-0.00779608j 0.0107346+0.0051724j 0.00421501-0.00265183j -0.00124118+0.0010645j -0.00439098+0.00221108j 0.00175337+0.00298792j -1.32428e-05+0.00235301j -0.00353485-0.00516309j 0.00598805-0.00540537j 0.000187835+0.00918614j -0.00423057-0.0040971j -0.00539811-0.00444291j 0.00308483+0.000867525j -0.00325687+0.000828741j 0.00506541+0.00291038j 0.00288269-0.00300267j 0.00114484-6.29144e-05j 0.00220546-0.000280945j -0.00569812+0.00318349j 0.00221632+0.00214655j 0.000323502-0.000113461j -0.00185658+0.000808582j 0.00224892-0.00175823j 0.00221841+0.000242537j 0.00360739-0.000146363j 0.00466509+0.0034875j -0.00305219-0.00112567j -0.0016746+0.000693429j 0.00182859-0.00415709j 0.00331968-0.00370735j -0.00156861+2.11167e-05j 0.00170574-0.000215984j 0.00301331-0.0021246j -0.00339843-0.000174078j -0.00120365-0.00341632j 0.00481518+0.000272515j 0.0015277-0.00276357j 0.00339819-0.00187731j 0.00163715-0.00263215j 0.000511493-0.00353798j -0.00109676+0.00317508j -0.000997917+0.000239674j -0.00129675+0.00465891j 0.00209664+0.000803377j -0.000679119-0.00164541j 0.0011832-0.00161994j 0.00471299-0.00019045j 0.000960799+0.00250944j -0.000780278+0.00529587j -0.00350096-0.000521711j -0.00125677-0.00232491j 0.00315086+0.00387826j 0.00182298-0.00738203j 0.000776744+0.00193607j -0.00107988-0.00232161j 0.00265203-0.00118751j 0.00312428-0.000880109j 0.00472308-0.000552342j 0.00362921-0.0029938j -0.00614992-0.000286497j -0.00322343-0.00374308j -0.0005316+0.0064937j 0.0037818+0.00248659j 0.00148028-0.00374178j 0.00166135-0.00231145j 0.00151778+0.00217074j 0.0054768+0.00160697j 0.00308012-0.00668663j -0.00399351-0.0023712j 0.0028009-0.00271763j -0.00311248-0.00282039j 0.000617084+0.00939936j -0.00941842+0.000655892j 
0.0146411-0.001676j -0.00135198-0.0148267j 0.0135976+0.00873574j -0.00711713+0.0130431j -0.00333382+0.00170386j -0.00754295+0.000173593j -0.0073026+0.00887131j -0.00320874-0.00277433j 0.00121576-0.00193842j 0.00416177+0.000493616j -0.0130105-0.000965238j -0.0070709+0.000591183j -0.0117313-0.00701629j 0.00135363-0.00742168j -0.0032893+0.00837027j -0.00302289+0.00760913j -0.00543868-0.00381802j 0.00198339-0.00541138j -0.00110072-0.00753522j 0.00245311-0.00769013j 0.00183698-0.00822094j 0.00457731-0.00196057j -0.00235635+0.00526309j -0.000276253-0.00177749j 0.00114259-0.00254637j 0.000953939+0.00151001j -0.000768083-0.00405191j -0.000598465+0.000885342j -0.000119375+0.00434061j 0.00569985+0.00292772j -0.00199693-0.00351833j 0.00584472-0.00217374j -0.00166445-0.00719754j -0.00533742-0.00309735j 0.0081757+0.000815534j -0.00222381-0.00482009j -0.0016916-0.00689015j 0.00539923+0.00427328j -0.00866752+0.00157021j -0.000268818-0.00442484j -0.00571215+0.00173512j 0.000327278+0.00384415j -0.00229623+0.00137248j -0.00312289-0.00668859j -0.00139657-0.000549345j -0.00252179+0.00208157j -0.00100061-0.00127985j 0.0057339+0.000717411j -0.00384167+0.00019289j 0.000645293+0.00145523j 0.000807542-0.00769128j 0.00420252-0.00121373j 0.00736026-0.00336235j -0.00339159+0.00375709j -0.00529181-0.000210451j 0.00615084-0.0040835j -0.00187505+0.00177996j -0.000506224-0.00225598j 0.000203701-0.00800449j 0.00102043-0.00456082j -0.000553788-0.00607959j -0.00233874+0.00415456j 0.00168727-0.00193923j -0.0015742-0.00349084j 0.00756775-0.000197249j 0.00192768+9.50454e-05j -0.00435708-0.00887436j -0.00123559+0.00295882j 0.00573855+0.00465668j -0.00358196-0.000981727j -0.00392643-0.00249804j -0.00432971+0.00184069j -0.00280261+0.00166803j -0.0122927+0.0154335j 0.0145727+0.0120714j 0.00479627+0.0158119j -0.01591+0.00473817j 
