-0.0471077-0j -0.00477779-0j -0.00482731-0j -0.00274118-0j -0.000395656-0j -0.00339204-0j -0.00197869-0j -0.000489599-0j -0.000285599-0j -0.00192617-0j -0.000340502-0j -0.0022472-0j -2.83751e-05-0j -0.00137612-0j -0.0019663-0j -0.000397252-0j -0.000243266-0j -0.000811056-0j -3.31043e-05-0j -0.000347595-0j -2.02722e-05-0j -0.000143376-0j -2.89663e-05-0j -1.1948e-05-0j -0.00148266-0j -0.00024711-0j -0.00167484-0j -0.000151323-0j -3.08887e-05-0j -0.0013675-0j -1.82014e-06-0j -0.00027914-0j -0.00138167-0j -0.00119656-0j -0.000170938-0j -0.000227917-0j -0.000987115-0j -3.48925e-05-0j -0.00013957-0j -0.000230279-0j -0.000315388-0j -2.05606e-06-0j -0.000141016-0j -0.000199427-0j -2.84896e-05-0j -0.000122124-0j -0.000164519-0j -2.87849e-05-0j -1.67877e-06-0j -2.49284e-05-0j -0.000100747-0j -5.25647e-05-0j -1.69616e-06-0j -2.05649e-05-0j -3.21892e-05-0j -1.46892e-06-0j -6.57058e-06-0j -1.2118e-06-0j -3.87175e-07-0j 
0.00721186-0j -0.0345993-0j -0.0349579-0j 0.000419656-0j -0.00579101-0j 0.000519298-0j 0.000302924-0j -0.007166-0j -0.00418017-0j 0.000294883-0j -0.00246581-0j 0.00034403-0j -0.00062514-0j 0.000210675-0j 0.000301027-0j -0.00287678-0j -0.00176166-0j 0.000124167-0j -0.00072933-0j -0.00251718-0j -0.000446622-0j -0.00103828-0j -0.000638164-0j -0.000263229-0j 0.000226985-0j -0.00178949-0j 0.000256407-0j 2.31665e-05-0j -0.000452102-0j 0.000209355-0j -5.35594e-05-0j -0.00202145-0j 0.000211525-0j 0.000183186-0j 2.61694e-05-0j -0.0016505-0j 0.000151121-0j -0.000510704-0j 2.13672e-05-0j -0.00166761-0j 4.82837e-05-0j -6.05018e-05-0j 2.15886e-05-0j -0.00144419-0j -0.000416988-0j 1.86963e-05-0j -0.0011914-0j -0.000421309-0j -4.93995e-05-0j -0.000364864-0j 1.54237e-05-0j -0.000380657-0j -4.99114e-05-0j -0.000300998-0j 4.92794e-06-0j -4.32246e-05-0j -9.61702e-05-0j -3.56584e-05-0j -1.1393e-05-0j 
0.00545166-0j 0.000552922-0j 0.000558652-0j -0.030522-0j 4.57882e-05-0j -0.037769-0j -0.0220319-0j 5.66601e-05-0j 3.30517e-05-0j 0.000222911-0j -0.00379135-0j 0.000260062-0j 3.28378e-06-0j 0.000159255-0j 0.000227555-0j -0.00442324-0j -0.00270867-0j 9.38615e-05-0j 3.83108e-06-0j -0.00387034-0j 2.34605e-06-0j -0.00159643-0j 3.3522e-06-0j 1.38271e-06-0j 0.000171584-0j 2.85974e-05-0j 0.000193825-0j -0.00338736-0j -0.000343934-0j 0.000158258-0j 2.1064e-07-0j 3.23042e-05-0j 0.000159898-0j 0.000138475-0j -0.00382643-0j 2.63763e-05-0j 0.000114236-0j -0.000388514-0j -0.00312427-0j 2.66496e-05-0j 3.64991e-05-0j 2.37943e-07-0j -0.00315664-0j 2.30792e-05-0j -0.000317221-0j -0.00273373-0j 1.90394e-05-0j -0.000320508-0j 1.9428e-07-0j -0.000277568-0j -0.00225522-0j 6.08318e-06-0j 1.96293e-07-0j -0.000228982-0j -0.000720552-0j 1.69995e-07-0j -7.31609e-05-0j 1.40238e-07-0j 4.48068e-08-0j 
-0.000786879-0j 0.00763-0j 0.00770907-0j -4.57882e-05-0j -0.0295689-0j -5.66601e-05-0j -3.30517e-05-0j -0.0365897-0j -0.021344-0j -3.21744e-05-0j 0.000543771-0j -3.75368e-05-0j -0.00649818-0j -2.29865e-05-0j -3.28447e-05-0j 0.0006344-0j 0.000388489-0j -1.35477e-05-0j -0.00758121-0j 0.0005551-0j -0.00464252-0j 0.000228967-0j -0.00663355-0j -0.0027362-0j -2.47661e-05-0j 0.000394627-0j -2.79763e-05-0j -2.52768e-06-0j -0.00230844-0j -2.28425e-05-0j -0.0008395-0j 0.000445779-0j -2.30792e-05-0j -1.99872e-05-0j -2.85531e-06-0j 0.000363977-0j -1.64886e-05-0j -0.00260766-0j -2.33135e-06-0j 0.000367749-0j -5.26819e-06-0j -0.000948316-0j -2.35551e-06-0j 0.00031848-0j -0.00212914-0j -2.03994e-06-0j 0.000262732-0j -0.00215121-0j -0.000774297-0j -0.001863-0j -1.68286e-06-0j 8.39443e-05-0j -0.000782321-0j -0.0015369-0j -5.37682e-07-0j -0.00067751-0j -0.000491046-0j -0.000558917-0j -0.000178577-0j 
0.00480791-0j 0.000487632-0j 0.000492685-0j 0.000279771-0j 4.03814e-05-0j 0.000346199-0j 0.000201949-0j 4.99695e-05-0j 2.91489e-05-0j -0.0286509-0j 3.47523e-05-0j -0.033426-0j 2.89603e-06-0j -0.0204692-0j -0.0292478-0j 4.05444e-05-0j 2.48282e-05-0j -0.0120641-0j 3.3787e-06-0j 3.54763e-05-0j 2.06902e-06-0j 1.46332e-05-0j 2.95636e-06-0j 1.21944e-06-0j 0.000151323-0j -0.00367564-0j 0.000170938-0j 1.54444e-05-0j 3.15257e-06-0j 0.00013957-0j 1.85767e-07-0j -0.00415208-0j 0.000141016-0j 0.000122124-0j 1.74463e-05-0j -0.00339016-0j 0.000100747-0j 3.5612e-06-0j 1.42448e-05-0j -0.00342529-0j 3.21892e-05-0j 2.09846e-07-0j 1.43924e-05-0j -0.00296639-0j 2.90771e-06-0j 1.24642e-05-0j -0.00244715-0j 2.93784e-06-0j 1.71338e-07-0j 2.54425e-06-0j 1.02824e-05-0j -0.000781875-0j 1.73114e-07-0j 2.0989e-06-0j 3.28529e-06-0j 1.49921e-07-0j 6.70607e-07-0j 1.23679e-07-0j 3.95159e-08-0j 
0.00456118-0j 0.000462608-0j 0.000467402-0j 0.000265414-0j 3.83092e-05-0j 0.000328433-0j 0.000191586-0j 4.74052e-05-0j 2.7653e-05-0j 0.0001865-0j 3.29689e-05-0j 0.000217584-0j 2.74741e-06-0j 0.000133242-0j 0.000190386-0j 3.84638e-05-0j 2.35541e-05-0j 7.85302e-05-0j 3.20531e-06-0j 3.36558e-05-0j 1.96285e-06-0j 1.38823e-05-0j 2.80465e-06-0j 1.15686e-06-0j -0.0281211-0j 2.39263e-05-0j -0.0317661-0j 1.46518e-05-0j 2.99079e-06-0j -0.0259369-0j 1.76234e-07-0j 2.70276e-05-0j -0.0262057-0j -0.0226948-0j 1.6551e-05-0j 2.2068e-05-0j -0.0187223-0j 3.37845e-06-0j 1.35138e-05-0j 2.22967e-05-0j -0.00598185-0j 1.99077e-07-0j 1.36539e-05-0j 1.93095e-05-0j 2.7585e-06-0j 1.18246e-05-0j 1.59295e-05-0j 2.78708e-06-0j 1.62546e-07-0j 2.41368e-06-0j 9.75479e-06-0j 5.08955e-06-0j 1.6423e-07-0j 1.99119e-06-0j 3.1167e-06-0j 1.42228e-07-0j 6.36194e-07-0j 1.17332e-07-0j 3.74881e-08-0j 
-0.000849926-0j 0.00407757-0j 0.00411982-0j 0.00475845-0j 0.000682477-0j 0.00588828-0j 0.00343483-0j 0.000844522-0j 0.000492638-0j -3.47523e-05-0j -0.0279596-0j -4.05444e-05-0j 7.36735e-05-0j -2.48282e-05-0j -3.54763e-05-0j -0.0326196-0j -0.0199753-0j -1.46332e-05-0j 8.59524e-05-0j -0.0285421-0j 5.26349e-05-0j -0.011773-0j 7.52084e-05-0j 3.10219e-05-0j -2.67504e-05-0j 0.000210894-0j -3.02178e-05-0j 0.000528098-0j -0.00512635-0j -2.46727e-05-0j 6.31204e-06-0j 0.00023823-0j -2.49284e-05-0j -2.15886e-05-0j 0.00059655-0j 0.000194514-0j -1.78097e-05-0j -0.00579083-0j 0.000487081-0j 0.00019653-0j -5.69029e-06-0j 7.1302e-06-0j 0.000492128-0j 0.0001702-0j -0.00472819-0j 0.000426196-0j 0.000140408-0j -0.00477719-0j 5.82179e-06-0j -0.00413717-0j 0.000351594-0j 4.48609e-05-0j 5.88212e-06-0j -0.00341299-0j 0.000112336-0j 5.09406e-06-0j -0.00109047-0j 4.20239e-06-0j 1.34268e-06-0j 
7.08272e-05-0j -0.00103376-0j -0.00104447-0j 4.12141e-06-0j 0.00815573-0j 5.09999e-06-0j 2.97499e-06-0j 0.0100922-0j 0.00588712-0j 2.89603e-06-0j -7.36735e-05-0j 3.3787e-06-0j -0.0270743-0j 2.06902e-06-0j 2.95636e-06-0j -8.59524e-05-0j -5.26349e-05-0j 1.21944e-06-0j -0.0315867-0j -7.52084e-05-0j -0.0193428-0j -3.10219e-05-0j -0.0276383-0j -0.0114002-0j 2.2292e-06-0j -5.34665e-05-0j 2.51815e-06-0j 2.27517e-07-0j 0.000636716-0j 2.05606e-06-0j -0.00717345-0j -6.03969e-05-0j 2.07737e-06-0j 1.79905e-06-0j 2.57008e-07-0j -4.93138e-05-0j 1.48414e-06-0j 0.000719247-0j 2.09846e-07-0j -4.98249e-05-0j 4.74191e-07-0j -0.00810328-0j 2.12021e-07-0j -4.31496e-05-0j 0.000587262-0j 1.83615e-07-0j -3.55966e-05-0j 0.000593348-0j -0.0066163-0j 0.000513855-0j 1.51475e-07-0j -1.13733e-05-0j -0.00668486-0j 0.000423908-0j 4.83969e-08-0j -0.00578926-0j 0.000135441-0j -0.0047759-0j -0.00152592-0j 
-0.000760197-0j 0.00364709-0j 0.00368488-0j -4.42357e-05-0j 0.000610426-0j -5.47388e-05-0j -3.1931e-05-0j 0.000755363-0j 0.000440629-0j 0.0045301-0j 0.000259919-0j 0.00528512-0j 6.58956e-05-0j 0.00323646-0j 0.00462448-0j 0.000303239-0j 0.000185695-0j 0.0019075-0j 7.68782e-05-0j 0.000265334-0j 4.70781e-05-0j 0.000109445-0j 6.72684e-05-0j 2.77468e-05-0j -2.39263e-05-0j -0.0274908-0j -2.70276e-05-0j -2.44197e-06-0j 4.76557e-05-0j -2.2068e-05-0j 5.64566e-06-0j -0.0310542-0j -2.22967e-05-0j -1.93095e-05-0j -2.7585e-06-0j -0.0253556-0j -1.59295e-05-0j 5.38329e-05-0j -2.2523e-06-0j -0.0256184-0j -5.08955e-06-0j 6.37745e-06-0j -2.27564e-06-0j -0.0221862-0j 4.39544e-05-0j -1.97076e-06-0j -0.0183027-0j 4.44099e-05-0j 5.20716e-06-0j 3.84601e-05-0j -1.6258e-06-0j -0.00584779-0j 5.26113e-06-0j 3.17279e-05-0j -5.1945e-07-0j 4.55627e-06-0j 1.01372e-05-0j 3.75873e-06-0j 1.20093e-06-0j 
-0.000520471-0j 0.00249699-0j 0.00252287-0j -3.02861e-05-0j 0.00041793-0j -3.74771e-05-0j -2.18616e-05-0j 0.000517162-0j 0.000301678-0j -2.12814e-05-0j 0.000177954-0j -2.48282e-05-0j 4.51156e-05-0j -1.52041e-05-0j -2.17247e-05-0j 0.000207614-0j 0.000127137-0j -8.96099e-06-0j 5.26349e-05-0j 0.000181662-0j 3.22322e-05-0j 7.49317e-05-0j 4.60555e-05-0j 1.89969e-05-0j 0.0064341-0j 0.000129146-0j 0.00726809-0j -1.6719e-06-0j 3.26277e-05-0j 0.00593437-0j 3.86532e-06-0j 0.000145885-0j 0.00599587-0j 0.00519258-0j -1.88861e-06-0j 0.000119115-0j 0.00428366-0j 3.68569e-05-0j -1.54205e-06-0j 0.000120349-0j 0.00136865-0j 4.36634e-06-0j -1.55803e-06-0j 0.000104226-0j 3.00935e-05-0j -1.34929e-06-0j 8.59817e-05-0j 3.04054e-05-0j 3.5651e-06-0j 2.63318e-05-0j -1.11311e-06-0j 2.74716e-05-0j 3.60205e-06-0j 2.17226e-05-0j -3.55643e-07-0j 3.11946e-06-0j 6.94049e-06-0j 2.57343e-06-0j 8.22222e-07-0j 
-0.000465524-0j -4.72147e-05-0j -4.7704e-05-0j 0.00523971-0j -3.90992e-06-0j 0.00648381-0j 0.00378222-0j -4.83827e-06-0j -2.82233e-06-0j -1.90346e-05-0j 0.000650862-0j -2.22071e-05-0j -2.80406e-07-0j -1.3599e-05-0j -1.94312e-05-0j 0.000759338-0j 0.000464998-0j -8.01495e-06-0j -3.27141e-07-0j 0.000664421-0j -2.00332e-07-0j 0.00027406-0j -2.86248e-07-0j -1.18071e-07-0j -1.46518e-05-0j -2.44197e-06-0j -1.6551e-05-0j -0.0276846-0j 5.90431e-05-0j -1.35138e-05-0j -1.79868e-08-0j -2.7585e-06-0j -1.36539e-05-0j -1.18246e-05-0j -0.0312731-0j -2.2523e-06-0j -9.75479e-06-0j 6.66963e-05-0j -0.0255344-0j -2.27564e-06-0j -3.1167e-06-0j -2.03182e-08-0j -0.025799-0j -1.97076e-06-0j 5.44573e-05-0j -0.0223426-0j -1.6258e-06-0j 5.50216e-05-0j -1.65898e-08-0j 4.76501e-05-0j -0.0184317-0j -5.1945e-07-0j -1.67617e-08-0j 3.93093e-05-0j -0.00588901-0j -1.45161e-08-0j 1.25595e-05-0j -1.19751e-08-0j -3.82611e-09-0j 
