-0.0308392-0j -0.0381616-0j -0.0222609-0j -0.00383076-0j -0.00446922-0j -0.00273683-0j -0.00391056-0j -0.00161303-0j -0.00240761-0j -0.000347508-0j -0.00271968-0j -0.000392552-0j -0.00222061-0j -0.00224362-0j -0.000320518-0j -0.00194304-0j -0.000323839-0j -0.00160292-0j -0.000280453-0j -0.000512141-0j -0.000231362-0j -7.39213e-05-0j -0.00178329-0j -0.000315243-0j -2.62703e-05-0j -0.00197374-0j -0.00034891-0j -0.00156037-0j -2.90759e-05-0j -0.00104025-0j -0.00157654-0j -0.000275838-0j -0.00182044-0j -0.000183892-0j -0.000278696-0j -2.29865e-05-0j -0.000643622-0j -1.53243e-05-0j -0.00106192-0j -2.32247e-05-0j -0.00112634-0j -0.000321811-0j -0.000113777-0j -0.000657031-0j -2.68176e-05-0j -0.000187723-0j -0.00019911-0j -9.48144e-06-0j -0.000171403-0j -1.56436e-05-0j -1.65925e-05-0j -0.000116148-0j -9.67897e-06-0j -3.03e-05-0j -2.525e-06-0j 
0.00480791-0j 0.00594948-0j 0.00347053-0j -0.0282502-0j -0.0329586-0j -0.0201829-0j -0.0288388-0j -0.0118954-0j 0.000375352-0j -0.00517963-0j 0.000424005-0j -0.00585102-0j 0.000346199-0j 0.000349786-0j -0.00477734-0j 0.000302924-0j -0.00482684-0j 0.000249899-0j -0.00418017-0j 7.98441e-05-0j -0.00344846-0j -0.0011018-0j 0.000278018-0j -0.00232479-0j -0.000589388-0j 0.00030771-0j -0.00257307-0j 0.000243266-0j -0.000652333-0j 0.000162177-0j 0.000245787-0j -0.00203419-0j 0.000283811-0j -0.00135613-0j -0.00205527-0j -0.000515714-0j 0.000100342-0j -0.00034381-0j 0.000165556-0j -0.000521059-0j 0.000175599-0j -0.00237322-0j -0.00083906-0j 0.000102433-0j -0.000601667-0j -0.00138438-0j -0.00146835-0j -0.000212721-0j 2.67221e-05-0j -0.000350972-0j -0.000372262-0j -0.00085654-0j -0.000217153-0j -0.00022345-0j -5.66497e-05-0j 
0.00372419-0j 0.00460845-0j 0.00268826-0j 0.000462608-0j 0.000539709-0j 0.000330503-0j 0.000472246-0j 0.000194791-0j -0.0279739-0j 4.19656e-05-0j -0.0315998-0j 4.74052e-05-0j -0.0258012-0j -0.0260685-0j 3.87062e-05-0j -0.022576-0j 3.91073e-05-0j -0.0186243-0j 3.38679e-05-0j -0.00595054-0j 2.79396e-05-0j 8.92684e-06-0j 0.000215352-0j -0.00366279-0j 3.17244e-06-0j 0.000238351-0j -0.00405397-0j 0.000188433-0j 3.51124e-06-0j 0.000125622-0j 0.000190386-0j -0.00320494-0j 0.000219839-0j -0.00213663-0j -0.00323816-0j 2.77588e-06-0j 7.77247e-05-0j 1.85059e-06-0j 0.000128239-0j 2.80465e-06-0j 0.000136018-0j -0.0037391-0j -0.00132197-0j 7.9344e-05-0j 3.23853e-06-0j -0.00218114-0j -0.00231345-0j 1.14499e-06-0j 2.06988e-05-0j 1.88914e-06-0j 2.00374e-06-0j -0.00134951-0j 1.16885e-06-0j -0.000352054-0j 3.04923e-07-0j 
-0.00053754-0j -0.000665172-0j -0.000388017-0j 0.00638371-0j 0.00744767-0j 0.00456075-0j 0.00651671-0j 0.002688-0j -4.19656e-05-0j -0.0271004-0j -4.74052e-05-0j -0.0306131-0j -3.87062e-05-0j -3.91073e-05-0j -0.0249955-0j -3.38679e-05-0j -0.0252545-0j -2.79396e-05-0j -0.0218711-0j -8.92684e-06-0j -0.0180427-0j -0.00576473-0j -3.10834e-05-0j 0.000525333-0j -0.00627783-0j -3.4403e-05-0j 0.000581437-0j -2.7198e-05-0j -0.00694829-0j -1.8132e-05-0j -2.74798e-05-0j 0.000459666-0j -3.1731e-05-0j 0.000306444-0j 0.00046443-0j -0.0054931-0j -1.12186e-05-0j -0.00366207-0j -1.85097e-05-0j -0.00555003-0j -1.96325e-05-0j 0.000536277-0j 0.000189603-0j -1.14523e-05-0j -0.00640862-0j 0.000312828-0j 0.000331805-0j -0.00226579-0j -2.98762e-06-0j -0.00373836-0j -0.00396513-0j 0.000193553-0j -0.00231299-0j 5.0493e-05-0j -0.000603401-0j 
0.0033997-0j 0.00420692-0j 0.00245404-0j 0.000422301-0j 0.000492685-0j 0.000301707-0j 0.000431099-0j 0.000177819-0j 0.000265414-0j 3.83092e-05-0j 0.000299817-0j 4.32748e-05-0j 0.000244799-0j 0.000247336-0j 3.53338e-05-0j 0.0002142-0j 3.56999e-05-0j 0.000176706-0j 3.0917e-05-0j 5.64583e-05-0j 2.55053e-05-0j 8.14905e-06-0j -0.0286509-0j 3.47523e-05-0j 2.89603e-06-0j -0.0317107-0j 3.84638e-05-0j -0.0250695-0j 3.20531e-06-0j -0.016713-0j -0.0253293-0j 3.04083e-05-0j -0.0292478-0j 2.02722e-05-0j 3.07234e-05-0j 2.53402e-06-0j -0.0103406-0j 1.68935e-06-0j -0.0170612-0j 2.56028e-06-0j -0.0180961-0j 3.54763e-05-0j 1.25428e-05-0j -0.0105561-0j 2.95636e-06-0j 2.06945e-05-0j 2.19499e-05-0j 1.04523e-06-0j -0.00275381-0j 1.72454e-06-0j 1.82915e-06-0j 1.28041e-05-0j 1.06701e-06-0j 3.34026e-06-0j 2.78355e-07-0j 
-0.000600989-0j -0.000743685-0j -0.000433816-0j 0.00353128-0j 0.00411982-0j 0.00252287-0j 0.00360485-0j 0.00148692-0j 0.00451426-0j 0.000647454-0j 0.0050994-0j 0.000731377-0j 0.00416364-0j 0.00420679-0j 0.000597167-0j 0.00364319-0j 0.000603355-0j 0.00300548-0j 0.000522521-0j 0.000960265-0j 0.000431058-0j 0.000137725-0j -3.47523e-05-0j -0.0279596-0j 7.36735e-05-0j -3.84638e-05-0j -0.0309456-0j -3.04083e-05-0j 8.15416e-05-0j -2.02722e-05-0j -3.07234e-05-0j -0.0244647-0j -3.54763e-05-0j -0.0163098-0j -0.0247182-0j 6.44643e-05-0j -1.25428e-05-0j 4.29762e-05-0j -2.06945e-05-0j 6.51323e-05-0j -2.19499e-05-0j -0.0285421-0j -0.0100912-0j -1.28041e-05-0j 7.52084e-05-0j -0.0166496-0j -0.0176595-0j 2.65902e-05-0j -3.34026e-06-0j 4.38715e-05-0j 4.65328e-05-0j -0.0103014-0j 2.71441e-05-0j -0.00268737-0j 7.08121e-06-0j 
-0.000400659-0j -0.00049579-0j -0.000289211-0j 0.00235419-0j 0.00274655-0j 0.00168191-0j 0.00240323-0j 0.000991282-0j -3.12793e-05-0j 0.000431636-0j -3.53338e-05-0j 0.000487585-0j -2.88499e-05-0j -2.91489e-05-0j 0.000398111-0j -2.52437e-05-0j 0.000402237-0j -2.0825e-05-0j 0.000348347-0j -6.65367e-06-0j 0.000287372-0j 9.18167e-05-0j 0.00677624-0j 0.000193732-0j 4.91157e-05-0j 0.00749992-0j 0.000214422-0j 0.00592921-0j 5.43611e-05-0j 0.00395281-0j 0.00599065-0j 0.000169516-0j 0.00691741-0j 0.00011301-0j 0.000171272-0j 4.29762e-05-0j 0.00244567-0j 2.86508e-05-0j 0.00403516-0j 4.34216e-05-0j 0.00427993-0j 0.000197768-0j 6.99217e-05-0j 0.00249663-0j 5.01389e-05-0j 0.000115365-0j 0.000122363-0j 1.77268e-05-0j 0.000651306-0j 2.92477e-05-0j 3.10219e-05-0j 7.13784e-05-0j 1.80961e-05-0j 1.86208e-05-0j 4.72081e-06-0j 
5.00824e-05-0j 6.19738e-05-0j 3.61514e-05-0j -0.000895262-0j -0.00104447-0j -0.000639606-0j -0.000913913-0j -0.00037697-0j 3.90992e-06-0j 0.00773721-0j 4.41672e-06-0j 0.0087401-0j 3.60624e-06-0j 3.64361e-06-0j 0.00713627-0j 3.15546e-06-0j 0.00721022-0j 2.60312e-06-0j 0.00624423-0j 8.31709e-07-0j 0.00515123-0j 0.00164584-0j 2.89603e-06-0j -7.36735e-05-0j -0.0270743-0j 3.20531e-06-0j -8.15416e-05-0j 2.53402e-06-0j -0.0299657-0j 1.68935e-06-0j 2.56028e-06-0j -6.44643e-05-0j 2.95636e-06-0j -4.29762e-05-0j -6.51323e-05-0j -0.02369-0j 1.04523e-06-0j -0.0157933-0j 1.72454e-06-0j -0.0239355-0j 1.82915e-06-0j -7.52084e-05-0j -2.65902e-05-0j 1.06701e-06-0j -0.0276383-0j -4.38715e-05-0j -4.65328e-05-0j -0.00977162-0j 2.78355e-07-0j -0.0161224-0j -0.0171003-0j -2.71441e-05-0j -0.0099752-0j -7.08121e-06-0j -0.00260228-0j 
-0.000346981-0j -0.000429367-0j -0.000250464-0j -4.31009e-05-0j -5.02844e-05-0j -3.07928e-05-0j -4.39989e-05-0j -1.81486e-05-0j 0.00523971-0j -3.90992e-06-0j 0.00591888-0j -4.41672e-06-0j 0.00483275-0j 0.00488283-0j -3.60624e-06-0j 0.00422865-0j -3.64361e-06-0j 0.00348846-0j -3.15546e-06-0j 0.00111458-0j -2.60312e-06-0j -8.31709e-07-0j 0.00292417-0j 0.000686068-0j -2.95574e-07-0j 0.00323646-0j 0.000759338-0j 0.00255865-0j -3.27141e-07-0j 0.00170576-0j 0.00258516-0j 0.00060031-0j 0.00298509-0j 0.000400206-0j 0.000606531-0j -2.58628e-07-0j 0.00105539-0j -1.72418e-07-0j 0.0017413-0j -2.61308e-07-0j 0.00184693-0j 0.000700361-0j 0.000247615-0j 0.00107737-0j -3.01732e-07-0j 0.000408544-0j 0.000433326-0j -1.06678e-07-0j 0.00028106-0j -1.7601e-07-0j -1.86687e-07-0j 0.000252774-0j -1.08901e-07-0j 6.59423e-05-0j -2.84095e-08-0j 
7.08272e-05-0j 8.76442e-05-0j 5.11258e-05-0j -0.000841128-0j -0.000981316-0j -0.000600931-0j -0.000858652-0j -0.000354176-0j -0.000532011-0j 0.00357079-0j -0.00060097-0j 0.00403363-0j -0.00049069-0j -0.000495775-0j 0.00329345-0j -0.000429354-0j 0.00332758-0j -0.000354199-0j 0.00288177-0j -0.000113168-0j 0.00237733-0j 0.00075957-0j -0.000596893-0j 0.00665981-0j 0.000827177-0j -0.000660639-0j 0.00737106-0j -0.000522281-0j 0.000915517-0j -0.000348188-0j -0.000527694-0j 0.00582733-0j -0.000609328-0j 0.00388489-0j 0.00588772-0j 0.00072378-0j -0.00021543-0j 0.00048252-0j -0.000355441-0j 0.000731281-0j -0.000377003-0j 0.00679855-0j 0.00240365-0j -0.000219918-0j 0.00084441-0j 0.00396582-0j 0.00420639-0j 0.000298544-0j -5.73711e-05-0j 0.000492573-0j 0.000522452-0j 0.00245373-0j 0.000304764-0j 0.000640115-0j 7.95051e-05-0j 
3.54136e-05-0j 4.38221e-05-0j 2.55629e-05-0j -0.000208083-0j -0.000242763-0j -0.000148661-0j -0.000212418-0j -8.76178e-05-0j -0.000803546-0j -3.81516e-05-0j -0.000907702-0j -4.30968e-05-0j -0.000741135-0j -0.000748816-0j -3.51884e-05-0j -0.000648493-0j -3.55531e-05-0j -0.00053498-0j -3.07899e-05-0j -0.000170929-0j -2.54003e-05-0j -8.11553e-06-0j 2.0478e-06-0j 0.00497686-0j -4.34125e-06-0j 2.2665e-06-0j 0.00550837-0j 1.79182e-06-0j -4.80489e-06-0j 1.19455e-06-0j 1.81039e-06-0j 0.00435475-0j 2.09046e-06-0j 0.00290317-0j 0.00439988-0j -3.7986e-06-0j 7.3909e-07-0j -2.5324e-06-0j 1.21944e-06-0j -3.83796e-06-0j 1.29341e-06-0j 0.00508054-0j 0.00179624-0j 7.54488e-07-0j -4.43169e-06-0j 0.00296365-0j 0.00314343-0j -1.56684e-06-0j 1.96827e-07-0j -2.58516e-06-0j -2.74197e-06-0j 0.00183366-0j -1.59948e-06-0j 0.000478357-0j -4.17265e-07-0j 
-4.17353e-06-0j -5.16448e-06-0j -3.01261e-06-0j 9.96463e-05-0j 0.000116254-0j 7.11908e-05-0j 0.000101722-0j 4.19583e-05-0j -3.25826e-07-0j -0.00129857-0j -3.6806e-07-0j -0.0014669-0j -3.0052e-07-0j -3.03634e-07-0j -0.00119772-0j -2.62955e-07-0j -0.00121013-0j -2.16927e-07-0j -0.001048-0j -6.93091e-08-0j -0.000864556-0j -0.00027623-0j 3.51723e-05-0j 8.20016e-06-0j 0.00931926-0j 3.89286e-05-0j 9.07592e-06-0j 3.07757e-05-0j 0.0103145-0j 2.05171e-05-0j 3.10946e-05-0j 7.17514e-06-0j 3.5905e-05-0j 4.78343e-06-0j 7.2495e-06-0j 0.00815435-0j 1.26943e-05-0j 0.00543624-0j 2.09446e-05-0j 0.00823886-0j 2.22151e-05-0j 8.371e-06-0j 2.9596e-06-0j 1.29588e-05-0j 0.00951341-0j 4.88308e-06-0j 5.17929e-06-0j 0.0033635-0j 3.38062e-06-0j 0.00554949-0j 0.00588612-0j 3.02125e-06-0j 0.00343357-0j 7.88168e-07-0j 0.000895732-0j 
