-0.0034559-0j -0.000520996-0j -0.000386381-0j -5.57693e-05-0j 0.0476441-0j -5.8786e-05-0j -4.89884e-06-0j -0.000305461-0j -0.000292077-0j 0.00729399-0j -0.000203641-0j -3.1176e-05-0j -6.36377e-06-0j -3.74989e-07-0j -4.71337e-05-0j -4.55355e-05-0j 0.00551374-0j 0.000795839-0j -4.81056e-06-0j -3.59989e-05-0j -5.6693e-07-0j -2.49408e-05-0j 0.00690084-0j -5.196e-06-0j -2.58767e-08-0j -3.59989e-06-0j 0.00461312-0j 0.000859605-0j -1.27275e-05-0j -2.12126e-06-0j 7.16337e-05-0j -5.69193e-06-0j -5.30314e-07-0j 0.00109112-0j -4.74328e-07-0j -4.41929e-08-0j 0.000526398-0j 0.000470825-0j -1.64697e-09-0j -2.24993e-06-0j 9.61067e-05-0j 0.000862605-0j -4.59266e-07-0j -3.354e-07-0j 5.66314e-06-0j 0.000470359-0j 0.000124506-0j -2.70625e-08-0j -4.84109e-08-0j 7.59791e-05-0j -3.12491e-09-0j 0.000124651-0j -1.32579e-07-0j 8.95422e-06-0j -9.84254e-11-0j 5.08295e-05-0j 1.03876e-05-0j -3.82722e-08-0j 4.08702e-07-0j 1.27074e-05-0j -3.90613e-09-0j 3.16579e-06-0j 1.05895e-06-0j -2.05871e-10-0j -3.49375e-09-0j 5.27632e-07-0j 3.94646e-08-0j -5.6156e-12-0j -1.23523e-09-0j 4.1713e-08-0j -1.62756e-10-0j 1.85804e-09-0j -1.21311e-11-0j 4.46976e-11-0j -5.7314e-13-0j -1.74401e-14-0j -3.09853e-16-0j 
0.000610922-0j -0.00433148-0j -0.00649705-0j -0.000937173-0j 5.8786e-05-0j 0.0464891-0j -0.000123916-0j 5.39984e-05-0j 5.16324e-05-0j -0.000423259-0j 3.59989e-05-0j -0.00105397-0j 0.0101722-0j -1.26693e-05-0j -0.000391862-0j -0.000378574-0j -0.000647121-0j -9.33447e-05-0j 0.00764855-0j -0.000605327-0j 0.00136408-0j -0.000419383-0j 4.24252e-06-0j -8.73159e-05-0j -1.09397e-06-0j -6.04942e-05-0j 5.69193e-06-0j 0.00474477-0j 2.24993e-06-0j -0.000107758-0j -1.26472e-05-0j 0.00450128-0j 0.00170428-0j -3.15479e-05-0j -1.19982e-05-0j 0.000142023-0j -3.05461e-05-0j -0.000111098-0j -8.36116e-08-0j -7.60636e-05-0j 0.00107224-0j -5.04439e-05-0j 0.000734114-0j 0.000801299-0j -1.33546e-06-0j 1.44333e-07-0j -7.27633e-06-0j -9.14325e-07-0j 0.000234186-0j 0.000843174-0j 1.25664e-05-0j 0.000228283-0j -8.98761e-06-0j 0.000150376-0j -5.83244e-09-0j -8.9798e-06-0j -6.08487e-07-0j 0.000184815-0j -1.20599e-07-0j 0.000142023-0j 2.52384e-05-0j 7.04482e-05-0j 1.18353e-05-0j 9.9415e-07-0j -3.55575e-07-0j 2.67693e-05-0j -6.96764e-09-0j -3.80447e-10-0j 9.95529e-06-0j 2.35391e-06-0j 2.1087e-06-0j 7.30995e-08-0j 1.76974e-07-0j -2.37848e-11-0j 7.42575e-09-0j 1.40559e-10-0j -3.15154e-14-0j 
-5.09102e-05-0j 0.00109822-0j -5.69193e-06-0j -0.0111356-0j -4.89884e-06-0j 0.000123916-0j 0.0450111-0j -4.49987e-06-0j -4.3027e-06-0j 0.000107315-0j -2.99991e-06-0j -4.59266e-07-0j -0.00127067-0j 0.0142342-0j 9.93541e-05-0j 9.59852e-05-0j -5.6693e-07-0j -0.00110913-0j 1.01403e-05-0j -5.30314e-07-0j 0.00520903-0j -3.67413e-07-0j -3.53543e-07-0j -0.0010375-0j 0.00248174-0j -0.000718799-0j -4.74328e-07-0j 1.26472e-05-0j -1.87494e-07-0j -3.12491e-08-0j 0.00459393-0j 1.19982e-05-0j -0.000105889-0j 7.99877e-06-0j 0.00435819-0j 0.00167752-0j 7.74477e-06-0j -4.84109e-08-0j 0.000317575-0j -3.31447e-08-0j -0.00013394-0j -4.41929e-08-0j -9.17026e-05-0j 7.06998e-07-0j 0.00150042-0j -1.20278e-08-0j -8.64581e-05-0j 0.00102727-0j 0.000444805-0j 1.11786e-06-0j 0.000299699-0j 6.08487e-07-0j -1.95307e-09-0j 0.000574241-0j 3.33175e-05-0j -2.60409e-09-0j 0.000221026-0j -7.64189e-06-0j 0.000273586-0j -8.82409e-06-0j 0.000148273-0j 4.65776e-08-0j 0.000139793-0j 3.96969e-05-0j -5.14678e-11-0j 3.38375e-05-0j 2.64646e-05-0j 3.04783e-06-0j -2.46641e-07-0j 2.79228e-05-0j 6.17804e-06-0j 4.38996e-06-0j 2.33916e-06-0j 2.54365e-07-0j 3.11068e-07-0j 2.03363e-08-0j 6.63438e-10-0j 
0.00302201-0j 0.000455585-0j 0.000337871-0j 4.87675e-05-0j 0.000290793-0j 5.14055e-05-0j 4.28379e-06-0j -0.0511472-0j 0.000255407-0j 4.45184e-05-0j 0.000178074-0j 2.72619e-05-0j 5.5648e-06-0j 3.27909e-07-0j -0.00789218-0j 3.98185e-05-0j 3.36528e-05-0j 4.85736e-06-0j 4.2066e-06-0j -0.00602775-0j 4.95752e-07-0j 2.18095e-05-0j 2.09862e-05-0j -0.000870031-0j 2.26279e-08-0j 3.14793e-06-0j -0.00539139-0j 5.24655e-06-0j -0.00641566-0j 1.85493e-06-0j 4.37212e-07-0j -0.000953071-0j 4.63734e-07-0j 3.31821e-06-0j -7.94226e-05-0j 3.86445e-08-0j -0.00123362-0j 2.87365e-06-0j 1.44019e-09-0j -0.000755437-0j 5.86582e-07-0j -0.000502313-0j -0.000154203-0j 2.93291e-07-0j 3.45647e-08-0j 7.13965e-07-0j -7.25026e-05-0j -9.08649e-06-0j 4.23329e-08-0j -8.87972e-05-0j 2.73258e-09-0j 2.52425e-07-0j -2.21993e-05-0j -1.04648e-05-0j 8.60681e-11-0j 1.54578e-07-0j 2.10354e-08-0j -6.40839e-06-0j -4.77653e-07-0j 3.86445e-08-0j -6.54053e-07-0j 1.93222e-08-0j 3.22037e-09-0j -3.44716e-08-0j 3.05511e-09-0j 3.22037e-09-0j 1.20016e-10-0j -9.40291e-10-0j 1.08015e-09-0j 2.54593e-10-0j 1.42322e-10-0j 1.13405e-11-0j 1.0608e-11-0j 2.72809e-13-0j 5.01183e-13-0j 1.52505e-14-0j 2.70951e-16-0j 
-0.000503669-0j 0.00357104-0j -5.63119e-05-0j 0.000772643-0j 0.00694374-0j 0.000402935-0j 0.000102162-0j -4.45184e-05-0j -4.25678e-05-0j -0.0499949-0j -2.9679e-05-0j -4.54364e-06-0j 8.81654e-05-0j 1.0445e-05-0j 0.000323066-0j 0.000312112-0j 0.000803582-0j -0.0110258-0j 3.29728e-05-0j -5.24655e-06-0j 1.18229e-05-0j -3.63492e-06-0j 0.00100574-0j 7.19867e-05-0j 9.01913e-07-0j 4.98739e-05-0j 0.000672325-0j -0.00589195-0j -1.85493e-06-0j -3.09156e-07-0j -0.00149387-0j 3.9014e-05-0j 7.34711e-06-0j -0.00747881-0j 9.89175e-06-0j 1.23096e-06-0j -0.00360807-0j 6.86188e-05-0j 6.89328e-08-0j -3.27909e-07-0j -0.00133149-0j 0.000125718-0j 6.36279e-06-0j 2.29892e-06-0j -0.000157743-0j 6.85509e-05-0j -0.00172494-0j 7.53806e-07-0j 1.00957e-06-0j -0.00052078-0j 1.08916e-07-0j -0.000854387-0j -1.93222e-08-0j -0.000186734-0j 4.8085e-09-0j 7.40798e-06-0j -0.000216625-0j 5.30232e-07-0j -1.4245e-05-0j -0.000176051-0j 1.08802e-07-0j -2.16992e-05-0j -2.94962e-05-0j 8.61659e-09-0j -5.09186e-10-0j -1.10034e-05-0j -1.65176e-06-0j 3.13655e-10-0j 1.71132e-08-0j -1.45388e-06-0j 4.53344e-09-0j -9.07734e-08-0j 5.07738e-10-0j -2.80943e-09-0j 3.20123e-11-0j 1.21826e-12-0j 2.59825e-14-0j 
-0.000308433-0j -4.6498e-05-0j 0.00659474-0j -4.97731e-06-0j -2.9679e-05-0j 0.00100336-0j -4.37212e-07-0j -2.72619e-05-0j -2.60673e-05-0j -4.54364e-06-0j -1.81746e-05-0j -0.0503473-0j 0.000108617-0j -3.34671e-08-0j -4.2066e-06-0j -4.06396e-06-0j 0.000656852-0j -4.95752e-07-0j -0.00776876-0j 0.000614428-0j 9.67634e-06-0j 0.000425688-0j -2.14189e-06-0j -4.63734e-07-0j -2.30945e-09-0j -3.21284e-07-0j -2.87365e-06-0j 0.000102405-0j -1.13591e-06-0j -0.0103859-0j -4.46228e-08-0j 9.71497e-05-0j -0.000856425-0j -3.38663e-07-0j -4.23329e-08-0j 7.54282e-07-0j -3.27909e-07-0j -0.00530707-0j -1.46989e-10-0j -0.0036335-0j 1.14492e-05-0j 5.12024e-05-0j 7.83873e-06-0j -0.00164216-0j -3.52774e-09-0j -7.28687e-08-0j -3.86445e-08-0j -2.41528e-09-0j -7.81805e-05-0j -0.000856425-0j 5.33358e-08-0j 4.92695e-06-0j -0.00130278-0j 1.06672e-06-0j -8.78429e-12-0j -0.000865492-0j -2.14692e-09-0j -0.000187385-0j -2.54593e-10-0j -7.13687e-05-0j -6.30816e-06-0j -0.000217129-0j 6.28568e-08-0j 3.5138e-09-0j -8.60672e-05-0j -1.80311e-05-0j -1.22491e-11-0j -5.01183e-13-0j -2.02651e-05-0j -4.70183e-07-0j -1.59931e-06-0j 2.21349e-10-0j -5.93951e-08-0j -2.78435e-14-0j -9.25585e-10-0j 2.97667e-13-0j -2.76539e-17-0j 
6.29586e-05-0j -0.000902252-0j -0.000669553-0j 0.00449339-0j 6.05819e-06-0j 0.00968373-0j 0.00120965-0j 5.5648e-06-0j 5.32097e-06-0j -8.81654e-05-0j 3.70987e-06-0j -0.000108617-0j -0.0487718-0j 0.000186495-0j -8.16253e-05-0j -7.88575e-05-0j -6.66891e-05-0j 0.000447552-0j 0.0015932-0j -6.23819e-05-0j -0.013316-0j -4.32195e-05-0j 4.37212e-07-0j 0.000418647-0j 2.15241e-05-0j 0.000290047-0j 5.86582e-07-0j 0.000988341-0j 2.31867e-07-0j -1.1105e-05-0j 0.00012346-0j 0.000937623-0j -0.00817136-0j -6.57146e-06-0j 0.000117124-0j -0.00209063-0j -6.36279e-06-0j -1.14492e-05-0j 2.05922e-06-0j -7.83873e-06-0j -0.005141-0j -5.19849e-06-0j -0.0035198-0j 0.000166912-0j 1.96583e-05-0j 1.48743e-08-0j 3.48872e-05-0j 1.34591e-05-0j -0.00228609-0j 0.000175634-0j -0.000247246-0j 4.75516e-05-0j -9.26218e-07-0j -0.00146795-0j 1.72528e-07-0j -9.25413e-07-0j 5.93996e-06-0j -0.000886117-0j 2.37281e-06-0j -0.000680947-0j -0.000371517-0j 1.46744e-05-0j -0.000174219-0j -2.44844e-05-0j -3.66438e-08-0j -0.000261317-0j 1.71602e-07-0j 1.31377e-08-0j -4.77319e-05-0j -4.63137e-05-0j -3.10407e-05-0j -2.16233e-06-0j -4.3586e-06-0j 9.39106e-10-0j -2.56428e-07-0j -6.24564e-09-0j 1.71241e-12-0j 
-3.70987e-06-0j 0.000106891-0j -4.14776e-07-0j -0.00163436-0j -3.56982e-07-0j 1.20609e-05-0j 0.0135507-0j -3.27909e-07-0j -3.13541e-07-0j 1.0445e-05-0j -2.18606e-07-0j -3.34671e-08-0j -0.000186495-0j -0.047199-0j 9.67023e-06-0j 9.34233e-06-0j -4.13127e-08-0j -0.000162786-0j 9.86963e-07-0j -3.86445e-08-0j 0.00156819-0j -2.67737e-08-0j -2.5763e-08-0j -0.000152273-0j -0.0170086-0j -0.000105498-0j -3.45647e-08-0j 1.23096e-06-0j -1.36629e-08-0j -2.27715e-09-0j 0.00138301-0j 1.16779e-06-0j -1.55413e-05-0j 7.78527e-07-0j 0.00131204-0j -0.00556246-0j 7.53806e-07-0j -3.52774e-09-0j -0.00329392-0j -2.41528e-09-0j -1.96583e-05-0j -3.22037e-09-0j -1.34591e-05-0j 6.88127e-08-0j -0.00497521-0j -8.76474e-10-0j -1.26894e-05-0j -0.0034063-0j 0.00013391-0j 1.08802e-07-0j -0.00205398-0j 5.92246e-08-0j -1.42322e-10-0j 0.000172877-0j -0.000462552-0j -1.89762e-10-0j 6.65402e-05-0j -1.12159e-06-0j -0.00187502-0j -1.29511e-06-0j -0.000491656-0j 4.53344e-09-0j -0.000463538-0j -0.000411739-0j -3.75051e-12-0j 1.01868e-05-0j -0.000274493-0j -5.30034e-05-0j -3.61993e-08-0j -0.000191369-0j -2.04857e-05-0j -6.09466e-05-0j -2.4262e-05-0j -5.31516e-06-0j -5.40963e-06-0j -4.96199e-07-0j -2.08354e-08-0j 
0.00191009-0j 0.000287957-0j 0.000213554-0j 3.08239e-05-0j 0.000183798-0j 3.24912e-05-0j 2.7076e-06-0j 0.000168829-0j -0.0387041-0j 2.81382e-05-0j 0.000112553-0j 1.72311e-05-0j 3.51728e-06-0j 2.07258e-07-0j 2.6051e-05-0j -0.00603406-0j 2.12705e-05-0j 3.07013e-06-0j 2.65881e-06-0j 1.98967e-05-0j 3.13344e-07-0j -0.00662377-0j 1.32645e-05-0j 2.87185e-06-0j 1.43021e-08-0j -0.000956059-0j -0.00426673-0j 3.31612e-06-0j 7.03456e-06-0j 1.17243e-06-0j 2.76344e-07-0j -0.000754258-0j 2.93107e-07-0j -0.000502839-0j -6.28548e-05-0j 2.44256e-08-0j 2.0307e-06-0j -0.000435471-0j 9.10287e-10-0j 1.24355e-06-0j -8.88902e-05-0j 1.65806e-06-0j 2.53838e-07-0j -4.44451e-05-0j -5.2379e-06-0j 4.51267e-07-0j 2.39321e-07-0j 1.49575e-08-0j -6.4151e-06-0j 2.93107e-07-0j -4.14093e-07-0j 1.59547e-07-0j 7.32767e-08-0j 3.4543e-08-0j -1.30427e-08-0j 9.77022e-08-0j 1.32956e-08-0j 2.11532e-08-0j 1.57666e-09-0j 2.44256e-08-0j 2.15893e-09-0j 1.22128e-08-0j 2.03546e-09-0j 1.13786e-10-0j 1.93101e-09-0j 2.03546e-09-0j 7.58572e-11-0j 3.10376e-12-0j 6.82715e-10-0j 1.60918e-10-0j 8.99556e-11-0j 7.16784e-12-0j 6.7049e-12-0j 1.72431e-13-0j 3.16777e-13-0j 9.6392e-15-0j 1.71257e-16-0j 
-0.00192988-0j -0.000290941-0j -0.000215767-0j -3.11433e-05-0j -0.000185703-0j -3.2828e-05-0j -2.73566e-06-0j -0.000170579-0j 0.0391052-0j -2.84298e-05-0j -0.000113719-0j -1.74097e-05-0j -3.55373e-06-0j -2.09406e-07-0j -2.63209e-05-0j 0.0060966-0j -2.14909e-05-0j -3.10195e-06-0j -2.68637e-06-0j -2.01029e-05-0j -3.16591e-07-0j 0.00669241-0j -1.3402e-05-0j -2.90161e-06-0j -1.44504e-08-0j 0.000965967-0j 0.00431094-0j -3.35049e-06-0j -7.10746e-06-0j -1.18458e-06-0j -2.79207e-07-0j 0.000762074-0j -2.96144e-07-0j 0.00050805-0j 6.35062e-05-0j -2.46787e-08-0j -2.05175e-06-0j 0.000439984-0j -9.1972e-10-0j -1.25643e-06-0j 8.98113e-05-0j -1.67524e-06-0j -2.56468e-07-0j 4.49057e-05-0j 5.29218e-06-0j -4.55944e-07-0j -2.41801e-07-0j -1.51125e-08-0j 6.48158e-06-0j -2.96144e-07-0j 4.18384e-07-0j -1.612e-07-0j -7.4036e-08-0j -3.49009e-08-0j 1.31779e-08-0j -9.87147e-08-0j -1.34334e-08-0j -2.13724e-08-0j -1.593e-09-0j -2.46787e-08-0j -2.18131e-09-0j -1.23393e-08-0j -2.05656e-09-0j -1.14965e-10-0j -1.95102e-09-0j -2.05656e-09-0j -7.66433e-11-0j -3.13593e-12-0j -6.8979e-10-0j -1.62585e-10-0j -9.08878e-11-0j -7.24212e-12-0j -6.77438e-12-0j -1.74218e-13-0j -3.20059e-13-0j -9.73909e-15-0j -1.73032e-16-0j 
-0.000308239-0j 0.00218543-0j -3.44622e-05-0j 0.000472848-0j -2.96603e-05-0j 0.000246591-0j 6.25216e-05-0j 0.00521691-0j -2.6051e-05-0j 0.000213554-0j -1.81632e-05-0j -2.78065e-06-0j 5.39561e-05-0j 6.39224e-06-0j -0.0378586-0j 0.000191009-0j -3.43251e-06-0j 4.70968e-05-0j 2.0179e-05-0j 0.000614819-0j 7.23547e-06-0j -2.22452e-06-0j -2.14055e-06-0j -0.00843579-0j 5.5196e-07-0j 3.05222e-05-0j 0.00054991-0j 2.51676e-05-0j 0.000654384-0j -1.892e-07-0j 6.38109e-06-0j -0.00457187-0j 4.49634e-06-0j 1.59174e-05-0j -0.00115917-0j 7.53332e-07-0j -0.00591767-0j -2.93107e-07-0j 4.2186e-08-0j 7.7053e-05-0j 5.68748e-06-0j 5.12349e-05-0j -0.00149514-0j 1.40691e-06-0j 6.73801e-07-0j -7.2823e-08-0j -0.000702982-0j -0.000177131-0j 6.17846e-07-0j -0.000425958-0j 6.66555e-08-0j 1.21088e-06-0j 2.26428e-06-0j -0.000152734-0j 2.94274e-09-0j -1.57666e-08-0j 3.0701e-07-0j -6.21355e-05-0j -1.16513e-05-0j 3.74695e-07-0j -1.27501e-05-0j 9.26884e-08-0j 6.27777e-08-0j -1.00974e-06-0j -3.11615e-10-0j 4.70012e-08-0j 3.5155e-09-0j -3.67558e-08-0j 1.04731e-08-0j 6.21026e-09-0j 2.77441e-09-0j 3.8774e-10-0j 3.10729e-10-0j 1.20006e-11-0j 1.95911e-11-0j 7.45563e-13-0j 1.5901e-14-0j 
