0.0362002-0.0411315j -0.00846857+0.0590719j -0.0909631+0.0241685j -0.0431189+0.0135485j 0.0136816+0.0286404j 0.00353048+0.0742418j 0.0013442-0.0735855j -0.0971483-0.029711j -0.021202-0.00982536j -0.0584029+0.0341668j -0.0288577-0.0254167j 0.00762016-0.0122519j -0.0177945-0.0296178j -0.012548-0.00812982j 0.035784+0.0134999j 0.0377284+0.012695j 0.0334197-0.0446952j -0.089107-0.0720719j 
0.00453178-0.0387796j 0.0396351-0.0587343j -0.0557493+0.0405324j -0.00349779+0.0122751j -0.050106-0.04656j -0.0961872-0.026792j 0.0397055-0.013967j 0.0497383-0.0667745j 0.0734865-0.0412375j -0.0584723-0.0153673j 0.00492812+0.00172007j 0.0210136+0.00153597j 0.0370345-0.00331016j 0.0102025-0.000113324j -0.00364344+0.000485539j -0.0165956+0.0060376j 0.099885+0.0784287j 0.0323974-0.0387437j 
0.0756662+0.0756719j 0.0425056+0.0184249j -0.0180083-0.101141j 0.0211804-0.0691914j -0.105372+0.0259144j -0.24155+0.0958593j 0.0172176-0.0563779j -0.0755673-0.325642j 0.164425+0.000543346j -0.034572-0.0976528j 0.017129-0.0691598j 0.0128548+0.0153915j 0.0364684-0.017963j 0.00979097-0.00906956j -0.0228135+0.0309914j -0.0051253+0.0332992j 0.0757834-0.0130968j -0.0378003-0.100618j 
-0.0628435-0.00961831j 0.0826783+0.153301j 0.0765836+0.00841588j 0.093902-0.0194031j 0.101255-0.156969j -0.158851-0.20543j -0.0270681-0.0563159j 0.228541-0.0772899j 0.0440274+0.210186j 0.0954566-0.0136936j 0.04629+0.0166185j -0.0261736+0.0274072j 0.00694999+0.0675378j 0.0147697+0.0232289j -0.0345579-0.00995037j -0.0313653-0.0074866j 0.047133+0.111262j 0.0654833-0.0158088j 
-0.0818286-0.0256858j -0.0220179+0.00376273j -0.104478-0.101367j 0.00106758+0.136674j -0.260887-0.0319156j 0.216362+0.00609639j 0.0389325-0.00121698j 0.051269+0.107051j -0.13265+0.0136338j -0.0373427-0.0011288j 0.0614732+0.049718j 0.011126-0.00773079j 0.00773387-0.0157193j -0.0033928+0.000176955j 0.0379101-0.0470282j 0.0533416-0.0479371j -0.0467563+0.0347206j 0.0232454+0.00157982j 
-0.138183-0.00388673j 0.103759+0.0140464j 0.00264179-0.0108453j 0.0227602-0.257462j 0.138298+0.151929j -0.0515909+0.0042056j -0.215272+0.0338091j -0.200375+0.214653j -0.00786725+0.00751222j 0.00711169+0.0305911j -0.0583829-0.0342824j -0.00937085+0.00629509j -0.0241356+0.0175663j -0.00853034-0.0174832j -0.0144778+0.0272631j -0.0639531-0.0110809j 0.00422009-0.0159508j 0.00932563+0.0844889j 
0.0281118-0.0195994j 0.13376-0.013546j 0.144165-0.190031j -0.074074+0.0325763j 0.135823-0.152895j -0.104349+0.153135j -0.110075+0.107014j -0.128119+0.198399j 0.100741-0.0370278j 0.0629635-0.0815254j -0.0874693+0.0932883j 0.0306208-0.00632703j 0.0248281+0.0158778j 0.00716721+0.0411544j 0.0579721+0.00942989j 0.0292661+0.0725091j -0.00732539+0.0253767j -0.000302808+0.0145156j 
-0.130607-0.0481855j -0.17008-0.00472647j -0.0462049+0.122498j 0.142147+0.027815j 0.163716-0.0224617j -0.275179+0.335052j 0.0145223-0.10349j 0.135067-0.0403331j -0.0519299-0.179628j -0.0152753+0.11497j 0.0398685-0.0074668j -0.00019196-0.0476125j -0.0522184-0.0491877j 0.0207563+0.0414782j -0.0642807+0.00288904j -0.0233187-0.00802371j -0.00891235-0.0496162j -0.00592394+0.0154765j 
0.0183931+0.118428j 0.00902485+0.0107192j -0.15519-0.0621264j 0.196547+0.086197j 0.275781-0.0640498j 0.0700512+0.303401j 0.032228+0.124477j 0.311383+0.143218j 0.0058037-0.0217908j 0.0275806+0.0214935j 0.0970593+0.00727594j -0.0131012+0.00793566j -0.0392369-0.00960284j 0.0437341+0.0530205j -0.0658428+0.0322722j 0.0134102+0.026187j -0.0157138-0.025112j 0.0466169-0.026266j 
0.0683114+0.076026j -0.087348+0.0412313j -0.177411+0.0811318j -0.284586-0.327373j 0.144662-0.133195j 0.15898+0.0194242j 0.115321+0.0616584j 0.149526-0.108262j -0.101347+0.036133j -0.0738772-0.0114553j -0.0408535-0.0231287j 0.0281217+0.0755484j -0.0260605+0.0459561j -0.085036+0.015669j 0.0439462-0.00319808j 0.0221523+0.0308827j 0.00204855+0.0483743j -0.0344447-0.00710657j 
-0.14178+0.117524j -0.0757719+0.170263j 0.023384-0.155831j -0.194084-0.0410764j -0.202989-0.0991035j 0.0547558+0.308795j -0.0572531-0.0646579j -0.127432-0.102538j -0.0992195+0.0278891j -0.0261281-0.0632671j -0.00706322-0.0313474j 0.017366+0.017144j -0.00281716-0.0276738j -0.0389458-0.00146784j 0.019898-0.0124115j 0.0247366-0.00290013j -0.0539709-0.0214819j -0.0385587-0.0589324j 
