0.157189+0.223415j -0.00355831-0.0962869j -0.00264884+0.141332j -0.0308662-0.0450087j -0.0109071-0.0357911j 0.0069245-0.0458301j 0.0195844-0.10463j 0.0192849+0.0318054j 0.00242713-0.0704958j 0.01074+0.010323j -0.0101638-0.0370102j -0.021894-0.0235294j 0.0205359+0.0844508j -0.0142812+0.0176617j 0.0137455+0.0167806j 0.00206661-0.0181742j -0.0041299+0.021541j -0.0109737-0.0118272j 0.0223498-0.0138807j 0.0149936+0.0202475j -0.0149381-0.0195528j 0.0208924-0.00917531j 0.0771095-0.033775j -0.0168178-0.0931295j 
-0.173781+0.0854454j -0.0126488+0.00846798j -0.0688811-0.0994512j 0.00919838-0.0253777j 0.0171396-0.0228659j 0.0115163-0.0420286j -0.0260157-0.0243943j -0.0501791+0.0113649j -0.0136012+0.131175j -0.0202211-0.0145999j 0.0338383+0.0353177j -0.0116148-0.0341178j 0.00696718+0.002023j -0.0169706-0.00216262j 0.0035196+0.00992233j 0.0133441-0.00632776j 0.0062932+0.00786252j -0.0133921+0.0170425j -0.0268787-0.00820673j 0.0172233-0.0284337j -0.0289887-0.0159678j -0.0252883-0.0193494j -0.0113871-0.0774195j -0.0450527+0.0279551j 
-0.285068-0.375491j -0.143801+0.0384693j -0.0711816-0.0464638j -0.041432+0.0476417j 0.0159698+0.0433646j 0.0259222+0.0123018j -0.0611149+0.00372303j 0.0150131-0.0719713j 0.0328826+0.0298866j -0.00188123-0.00205379j -0.0339923+0.0242398j -0.0137646+0.0294783j 0.00118982-0.0317806j -0.0104485-0.00627475j -0.00246273+0.0251302j -0.00845897+0.0296207j -0.00935031-0.00819233j -0.0145061+0.00908315j -0.0317701-0.0376324j 0.0249765+0.0169184j 0.0124369+0.00483475j 0.015898+0.00107107j -0.0194877+0.0424261j 0.0141165+0.0119223j 
-0.176197+0.230483j 0.0463714+0.033647j 0.139013-0.0196114j 0.0476921+0.00205861j -0.0571164+0.0657107j 0.0802124+0.0253503j -0.0535922+0.0092098j -0.0171492+0.0204178j -0.0260141-0.0635776j -5.8212e-05+0.0232757j 0.0176135-0.0428352j -0.0140412-0.0129349j 0.0107731+0.0230807j -0.00418268+0.00582432j -0.0115155+0.0235024j 0.012478+0.0027925j 0.00638009+0.0196987j 0.00938973+0.00187258j 0.00377027-0.0128266j -0.011075-0.00470026j 0.0241515+0.0180441j 0.0116011+0.00962784j 0.0231944+0.00391255j 0.00731309-0.0361664j 
0.171197+0.0125017j 0.0306211+0.152356j -0.0377606-0.139028j 0.0308369+0.047129j 0.0603767-0.0188377j 0.00691112+0.0715753j -0.0469252+0.0173713j 0.0476504+0.071167j -0.00459998+0.144831j -0.0150981-0.0206911j -0.0363851+0.0587329j -0.00214938-0.0415188j 0.00329194-0.0707521j -0.0160501+0.00608593j 0.00187366+0.00123611j -0.00745166-0.0160297j -0.0228749-0.0260019j -0.0109249-0.0103959j 0.0154188-0.0062529j -0.00718896-0.00264488j -0.0527859-0.0115684j -0.0288579+0.00386176j -0.0318986-0.0224482j -0.0164771+0.0955531j 
-0.388739+0.40649j -0.0334432-0.0390805j 0.0627755+0.00557794j 0.012544-0.0861911j -0.0240439-0.0589991j 0.0194623-0.0583768j 0.0701669-0.024904j -0.00427833-0.0332177j -0.0477308-0.0626412j 0.00716088+0.0136131j 0.0433273-0.026594j 0.0292824-0.060556j -0.0259257+0.0291039j -0.0138323+0.00479948j -0.0440808+0.0384401j 0.014592+0.0241541j 0.00542057+0.0164258j 0.0321703+0.0170349j 0.0169745-0.000408647j -0.0307649+0.00255706j 0.00601061+0.024968j -0.00966881+0.0332577j 0.0180336-0.0182731j 0.0264421-0.0280478j 
-0.355485-0.172542j -0.147361-0.0731281j -0.0211807+0.00281602j -0.044361+0.0384607j 0.0314301+0.0235687j -0.00809744-0.00950655j 0.0022362-0.0347352j 0.0164068+0.0354223j 0.0476325-0.0198605j -0.00245038-0.0298551j 0.00273362-0.0398902j 0.021824+0.00655513j 0.0474543+0.0128433j -0.0279212-0.0184184j -0.028049+0.0165434j -0.00702026+0.00106822j 0.0219706-0.0179385j -0.0117571+0.0133344j -0.0159427-0.0166457j 0.0087715+0.000239808j 0.0101625-0.0561787j -0.0116975-0.0192175j 0.0140364-0.00566702j -0.0288968-0.027676j 
-0.00351844-0.22248j 0.22899-0.323376j 0.152632+0.13178j 0.062718-0.164295j -0.101396-0.00985843j 0.0754247-0.0183251j 0.127944-0.134074j -0.0374638+0.00545694j -0.154183-0.096632j 0.0113817+0.0611995j 0.0435612-0.0863873j 0.00944858-0.0162444j -0.0645853+0.0778411j 0.051184-0.0151113j -0.0110553-0.00264149j -0.012964-0.0127145j 0.00208373-0.00200663j 0.00629232-0.00149074j -0.00119235+0.00357347j 0.00446816-0.00481428j 0.0162299-0.0355175j 0.00777765+0.0302714j 0.0687955-0.0428166j -0.0192061-0.0922067j 
0.0597881+0.0698105j -0.281382-0.0197755j -0.357636+0.130133j -0.119496+0.0539475j -0.00166523-0.0427027j -0.062807-0.0285903j -0.0308414-0.0205996j -0.0244827-0.0581018j 0.129422-0.155443j -0.064636-0.0280139j 0.0247145-0.0599798j -0.0404919+0.00940769j 0.0168384+0.0178909j -0.0135707+0.0363983j 0.0137447-0.013284j -0.0177478-0.0110025j -0.00455154+0.0162448j -0.0136637+0.0488448j 0.00145001+0.00272877j 0.0357587+0.00717103j -0.035094+0.0160661j -0.00804369-0.00209174j -0.0120887+0.049312j 0.0463488-0.031991j 
0.0633104+0.00505987j -0.188571-0.103464j 0.202112+0.351927j -0.152163+0.0899134j -0.0685782-0.162316j 0.0245755-0.0503325j -0.00536188-0.0516368j 0.0294839+0.00870472j 0.0262999-0.0735774j 0.0730792-0.101353j -0.00618107-0.0064834j -0.0205755-0.0122045j 0.0296511+0.0600052j 0.0393758+0.0166894j 0.000537741+0.00372268j -0.034797+0.00974427j 0.0136805+0.00436587j 0.0270804+0.00352972j 0.0158838-0.0124398j -0.0277469+0.0123341j -0.0355099-0.0185801j 0.057563+0.0106114j -0.000101188-0.0614696j -0.0562966-0.015315j 
-0.0961036+0.0756168j -0.0200431-0.0452963j 0.282305+0.0399424j 0.0715952-0.0577977j -0.00876605-0.139816j -0.016668+0.0745794j -0.0421656+0.111845j 0.0814809+0.106486j 0.0978798+0.170723j -0.0489951-0.0217665j -0.0368429+0.100526j 0.0171265-0.0743272j 0.0545925-0.0727933j 0.0178835+0.0280937j 0.00500186-0.0145982j -0.0345517-0.0202831j -0.00150242-0.0209311j 0.0170268+0.010404j -0.0230333-0.00629303j -0.0321717-0.0195553j -0.0528212-0.0238992j -0.0211411+0.024834j -0.0363312-0.0327299j -0.0407278+0.0912049j 
0.0280608+0.013613j 0.0588835+0.161042j 0.43542+0.115602j 0.0232678+0.0780539j -0.131823+0.0703872j 0.0845926+0.0377257j -0.0438209+0.0357193j 0.0498165-0.0434894j 0.00717964-0.00650307j 0.0416189+0.0269812j -0.00588286+0.0238787j 0.045011+0.059504j 0.0260927-0.0120495j 0.0279852+0.0414645j 0.0150888+0.026971j -0.00298889+0.000973456j 0.00501245+0.00132526j 0.00596552-0.0035833j -0.00941391-0.00503175j -0.0300199-0.0117668j 0.035377-0.00168107j 0.00780275-0.0105022j -0.00186373+0.0352896j -0.0155247-0.0154582j 
0.0930744+0.0773504j 0.153289-0.193612j -0.0417119-0.140565j 0.118616+0.0269384j 0.0721027+0.0227205j -0.0600849-0.103487j -0.0642776+0.0254279j 0.00853885-0.181028j 0.0735346+0.0326671j -0.0394085-0.106942j -0.0512331-0.0749925j 0.0350334+0.0114477j 0.0573424+0.00780636j -0.0503162-0.0452985j 0.0296426-0.00872758j 0.0292667+0.00994939j 0.0111484+0.00577617j -0.0294671-0.00302752j 0.00124488+0.00145998j 0.0270764+0.0105452j -0.00181669-0.038948j -0.0173928-0.0482041j -0.010035-0.0275678j -0.0075531-0.0541739j 
-0.0360658+0.0725838j 0.122773-0.303152j 0.0354649-0.00314107j 0.105304-0.122956j 0.0402046-0.143657j 0.00696044-0.0627233j 0.0646454-0.0363338j 0.0565955+0.0885538j -0.0310715-0.117356j -0.0174011-0.0562428j -0.0262961-0.0218257j 0.00978061-0.0566337j 0.00216529+0.0475722j -0.00587853-0.00378797j -0.0116526+0.000132267j -0.00247874-0.0265258j 0.00912266+0.0132993j 0.00304489+0.0108911j -0.0180249+0.00075204j 0.0130578+0.0105044j -0.0127401-0.00717386j -0.0101948+0.0232985j 0.00361178-0.0428779j 0.0141559-0.0218361j 
0.00855244-0.0334351j 0.0488026-0.199738j 0.133288+0.123737j 0.0356091-0.182604j -0.0646669-0.209297j 0.0362048-0.0285992j -0.102779+0.0206229j -0.0885576-0.0393761j 0.00486568+0.0753842j -0.00461305+0.00846167j 0.0476965+0.0669073j -0.0629897-0.00976308j -0.000331094-0.0275778j -0.0120854-0.00208209j -0.017725-0.00357013j 0.0179718+0.0278534j -0.00216876-0.016964j -0.0272807-0.0139823j 0.0154202+0.000151293j -0.000683784+0.019273j -0.00898091+0.0192861j 0.0301138+0.00536244j -0.0289274-0.0440935j -0.0216578+0.054555j 
