-0.0723462-0j -0.0120577-0j -0.00738381-0j -0.00150721-0j -8.88134e-05-0j -0.00112919-0j -0.000182223-0j -0.000148784-0j -2.14752e-05-0j -1.8598e-05-0j -2.1918e-06-0j -1.00042e-07-0j -0.0419376-0j 0.040904-0j -0.00663092-0j 0.00646748-0j -0.0052422-0j -0.0034948-0j -0.000756647-0j 0.005113-0j 0.00340866-0j 0.000737997-0j -0.000873701-0j -0.0003089-0j -7.28084e-05-0j 0.000852166-0j 0.000301286-0j -7.7225e-05-0j 7.10138e-05-0j 7.53215e-05-0j -6.43541e-06-0j 6.27679e-06-0j -2.39834e-07-0j 2.33922e-07-0j -0.0316024-0j -0.000677545-0j 0.044438-0j -0.00492689-0j -0.000105631-0j 0.00692799-0j -0.00381636-0j -0.000550844-0j -0.00348384-0j -8.18213e-05-0j -1.18099e-05-0j 0.0053664-0j -0.000615862-0j -7.46923e-05-0j 0.000774573-0j -0.000410575-0j -5.13218e-05-0j 0.00489883-0j -0.000355568-0j -1.32039e-05-0j -8.80257e-06-0j -7.258e-05-0j -1.10032e-06-0j 0.000865998-0j -3.629e-05-0j -7.62325e-06-0j -4.27682e-06-0j 0.000577332-0j 7.21665e-05-0j -1.55609e-06-0j 0.000499984-0j -5.23801e-06-0j -7.78045e-07-0j -9.16934e-08-0j 0.000102059-0j -3.38112e-07-0j 5.10294e-05-0j -1.12301e-07-0j 6.01388e-06-0j -1.06495e-08-0j 7.36547e-06-0j -7.249e-09-0j -2.28322e-10-0j 4.75439e-07-0j 1.49749e-08-0j 
0.00736065-0j -0.0578437-0j 0.000751243-0j -0.0146143-0j -0.00173134-0j 0.00663092-0j -0.0504545-0j 0.000873701-0j -0.0120183-0j -0.00514949-0j -0.00184636-0j -0.000140849-0j -0.00414535-0j 0.00431103-0j 0.0309045-0j -0.0321398-0j -0.000518169-0j -0.000345446-0j 0.00712776-0j 0.000538879-0j 0.000359253-0j -0.00741264-0j 0.00407203-0j -3.05334e-05-0j 0.0010324-0j -0.00423478-0j 3.17538e-05-0j 0.000727474-0j -0.00107366-0j -0.00075655-0j 0.000121882-0j -0.000126753-0j 6.82525e-06-0j -7.09804e-06-0j 0.00321529-0j -0.00386546-0j 0.00232092-0j -0.0236355-0j 0.0284148-0j -0.017061-0j 0.000388283-0j -0.0053411-0j 0.000354453-0j -0.000466798-0j 0.00642112-0j 0.000280278-0j -0.00295444-0j -0.000426127-0j -0.00385541-0j -0.00196962-0j -0.000749052-0j 0.000255857-0j 3.61762e-05-0j 0.00355185-0j 0.0023679-0j -0.000703752-0j 0.000900518-0j -0.00213262-0j -0.000174092-0j -4.34914e-05-0j -8.3373e-05-0j -0.00142175-0j -0.000540694-0j 0.000846057-0j 2.61133e-05-0j -7.64498e-05-0j 0.000209295-0j 0.000100232-0j -0.000507995-0j -8.24762e-06-0j -0.000125666-0j 9.19087e-05-0j -6.01818e-05-0j -3.64119e-07-0j -5.51844e-05-0j 9.91537e-06-0j 4.37748e-07-0j -5.95345e-06-0j -2.62835e-07-0j 
-0.00743692-0j 0.0584431-0j -0.000759028-0j 0.0147657-0j 0.00174929-0j 0.00646748-0j -0.0492109-0j 0.000852166-0j -0.0117221-0j -0.00502256-0j -0.00180085-0j -0.000137377-0j -0.00431103-0j 0.00435309-0j 0.0321398-0j -0.0324533-0j -0.000538879-0j -0.000359253-0j 0.00741264-0j 0.000544137-0j 0.000362758-0j -0.00748496-0j 0.00423478-0j -3.17538e-05-0j 0.00107366-0j -0.0042761-0j 3.20636e-05-0j 0.00075655-0j -0.00108414-0j -0.000763931-0j 0.000126753-0j -0.00012799-0j 7.09804e-06-0j -7.16729e-06-0j -0.00324861-0j 0.00388065-0j -0.00210542-0j 0.0238804-0j -0.0285265-0j 0.0154769-0j -0.000392307-0j 0.00539645-0j -0.000358126-0j 0.000468634-0j -0.00644637-0j -0.000254254-0j 0.00298505-0j 0.000427802-0j 0.00349744-0j 0.00199003-0j 0.000756814-0j -0.000232101-0j -3.65511e-05-0j -0.00356582-0j -0.00237721-0j 0.000711045-0j -0.000904058-0j 0.00193461-0j 0.000175896-0j 4.36624e-05-0j 8.4237e-05-0j 0.00128974-0j 0.000490491-0j -0.000849384-0j -2.36887e-05-0j 7.72421e-05-0j -0.000210118-0j -0.000100626-0j 0.000460828-0j 8.33309e-06-0j 0.000113998-0j -9.22701e-05-0j 5.4594e-05-0j 3.67893e-07-0j 5.00605e-05-0j -9.95436e-06-0j -4.39469e-07-0j 5.40067e-06-0j 2.38431e-07-0j 
0.00423634-0j 0.000706057-0j -0.0831059-0j -0.00843783-0j 5.2006e-06-0j 0.00381636-0j 0.000615862-0j -0.0480749-0j 7.258e-05-0j -0.0120816-0j -0.000708211-0j 3.38112e-07-0j 0.00245572-0j 0.00248117-0j 0.000388283-0j 0.000392307-0j -0.0293474-0j 0.000204643-0j 4.43066e-05-0j -0.0296515-0j 0.000206764-0j 4.47657e-05-0j -0.00489124-0j -0.00522412-0j 4.2634e-06-0j -0.00494192-0j -0.00527825-0j -0.000869179-0j 4.30758e-06-0j -0.000878186-0j -3.60274e-05-0j -3.64007e-05-0j 1.40438e-08-0j 1.41894e-08-0j -0.00363925-0j 0.00228991-0j 0.00133578-0j -0.000567368-0j 0.000357003-0j 0.000208251-0j 0.0420167-0j -6.34337e-05-0j -0.00040119-0j -0.026438-0j 3.99141e-05-0j -0.0154221-0j 0.00678041-0j 0.000252439-0j 2.32832e-05-0j -4.72807e-05-0j -5.91009e-06-0j 0.000147256-0j 0.00787029-0j -0.00426641-0j 2.97502e-05-0j 0.000799079-0j 3.71878e-06-0j -0.00248874-0j 0.00120698-0j -0.00495219-0j -4.92507e-07-0j 1.73543e-05-0j 2.16929e-06-0j -0.000502801-0j -0.00288878-0j 0.00011594-0j -0.000759461-0j 3.09898e-07-0j -0.000293301-0j 3.72249e-06-0j -0.000443019-0j -7.29526e-05-0j 1.80774e-07-0j -1.22637e-09-0j -4.25557e-05-0j -2.34229e-06-0j 7.71665e-10-0j -1.36633e-06-0j 4.50138e-10-0j 
-0.000611463-0j 0.00971228-0j -6.24072e-05-0j -0.0566296-0j -0.0205962-0j -0.000550844-0j 0.00847159-0j -7.258e-05-0j -0.0465705-0j 0.000864628-0j -0.014566-0j -0.00223953-0j -0.000354453-0j -0.000358126-0j 0.0053411-0j 0.00539645-0j -4.43066e-05-0j -2.95377e-05-0j -0.0284291-0j -4.47657e-05-0j -2.98438e-05-0j -0.0287237-0j 0.000703752-0j -2.61079e-06-0j -0.00838331-0j 0.000711045-0j -2.63785e-06-0j -0.00290153-0j -0.00847019-0j -0.0029316-0j -0.0014924-0j -0.00150786-0j -0.000139824-0j -0.000141273-0j 0.000525281-0j -0.00033052-0j -0.000192803-0j -0.00780453-0j 0.00491081-0j 0.00286464-0j 6.34337e-05-0j 0.0407019-0j 5.79068e-05-0j -3.99141e-05-0j -0.0256106-0j -2.32832e-05-0j -0.000975566-0j -3.64364e-05-0j -0.0149395-0j -0.000650378-0j 0.0116213-0j -2.12546e-05-0j 5.91009e-06-0j 0.000613851-0j 0.000409234-0j 0.00536294-0j -0.00731239-0j 0.00035808-0j -5.74858e-05-0j -3.71878e-06-0j 0.0019505-0j 0.00023872-0j -0.00426556-0j -0.0033745-0j -2.16929e-06-0j 0.00118609-0j 3.61715e-05-0j -0.0012273-0j -0.00196846-0j 0.000257899-0j 2.11001e-05-0j -0.000746318-0j -0.000715926-0j 1.71179e-05-0j -0.000435352-0j -0.000162277-0j -1.0771e-05-0j -9.46613e-05-0j -6.28308e-06-0j 
-0.0052422-0j -0.000873701-0j 0.102838-0j 0.0104413-0j -6.43541e-06-0j -8.18213e-05-0j -1.32039e-05-0j 0.00103071-0j -1.55609e-06-0j 0.000259025-0j 1.51838e-05-0j -7.249e-09-0j 0.00295229-0j 0.0029639-0j 0.000466798-0j 0.000468634-0j -0.0352818-0j 0.000246024-0j 5.32658e-05-0j -0.0354205-0j 0.000246992-0j 5.34752e-05-0j -0.00588029-0j -0.00628048-0j 5.12551e-06-0j -0.00590341-0j -0.00630518-0j -0.00104494-0j 5.14566e-06-0j -0.00104904-0j -4.33124e-05-0j -4.34827e-05-0j 1.68836e-08-0j 1.695e-08-0j -0.00228991-0j 4.76972e-05-0j 0.00321997-0j -0.000357003-0j 7.43611e-06-0j 0.000502002-0j 0.026438-0j -3.99141e-05-0j -0.000252439-0j -0.000550684-0j 8.31383e-07-0j -0.0371759-0j 0.00426641-0j 5.25813e-06-0j 5.61255e-05-0j -2.97502e-05-0j -3.71878e-06-0j 0.000354969-0j 0.00495219-0j -8.88663e-05-0j 6.19676e-07-0j 0.000502801-0j 7.74595e-08-0j -0.00599924-0j 0.000759461-0j -0.000103151-0j -3.09898e-07-0j 4.18335e-05-0j 5.22918e-06-0j -1.0473e-05-0j -0.00696355-0j 7.29526e-05-0j -1.5819e-05-0j 6.45496e-09-0j -0.000707017-0j 2.34229e-06-0j -0.00106792-0j -1.51955e-06-0j 4.35765e-07-0j -7.71665e-10-0j -0.000102583-0j -4.87882e-08-0j 1.60732e-11-0j -3.29362e-06-0j 1.08508e-09-0j 
0.000756647-0j -0.0120183-0j 7.7225e-05-0j 0.0700756-0j 0.0254864-0j 1.18099e-05-0j -0.000181628-0j 1.55609e-06-0j 0.000998455-0j -1.85373e-05-0j 0.00031229-0j 4.80148e-05-0j -0.000426127-0j -0.000427802-0j 0.00642112-0j 0.00644637-0j -5.32658e-05-0j -3.55105e-05-0j -0.0341777-0j -5.34752e-05-0j -3.56502e-05-0j -0.0343121-0j 0.000846057-0j -3.13872e-06-0j -0.0100785-0j 0.000849384-0j -3.15106e-06-0j -0.00348825-0j -0.0101181-0j -0.00350196-0j -0.00179417-0j -0.00180123-0j -0.000168097-0j -0.000168758-0j 0.00033052-0j -6.8845e-06-0j -0.000464763-0j -0.00491081-0j 0.000102289-0j 0.00690537-0j 3.99141e-05-0j 0.0256106-0j 3.64364e-05-0j -8.31383e-07-0j -0.000533452-0j -5.61255e-05-0j -0.000613851-0j -7.58945e-07-0j -0.0360126-0j -0.000409234-0j 0.00731239-0j -5.12353e-05-0j 3.71878e-06-0j 1.27861e-05-0j 8.52406e-06-0j 0.0033745-0j -0.000152312-0j 0.000863171-0j -3.61715e-05-0j -7.74595e-08-0j 0.0012273-0j 0.000575447-0j -0.0102824-0j -7.02885e-05-0j -5.22918e-06-0j 0.000746318-0j 7.53428e-07-0j -2.55639e-05-0j -0.00474507-0j 0.000162277-0j 5.08628e-05-0j -1.55453e-05-0j -0.00172578-0j 1.0771e-05-0j -0.00104944-0j -3.38011e-06-0j -2.24352e-07-0j -0.000228186-0j -1.51457e-05-0j 
0.00305795-0j 0.000509659-0j -0.059989-0j -0.00609075-0j 3.75399e-06-0j -0.0053664-0j -0.000865998-0j 0.0676009-0j -0.000102059-0j 0.0169886-0j 0.000995855-0j -4.75439e-07-0j 0.00177263-0j 0.00160804-0j 0.000280278-0j 0.000254254-0j -0.0211841-0j 0.000147719-0j 3.19822e-05-0j -0.0192172-0j 0.000134004-0j 2.90127e-05-0j -0.00353068-0j -0.00377097-0j 3.07749e-06-0j -0.00320286-0j -0.00342083-0j -0.000627406-0j 2.79174e-06-0j -0.000569152-0j -2.60059e-05-0j -2.35913e-05-0j 1.01374e-08-0j 9.19611e-09-0j 0.00133578-0j -0.00321997-0j 0.00370655-0j 0.000208251-0j -0.000502002-0j 0.00057786-0j -0.0154221-0j 2.32832e-05-0j 0.000147256-0j 0.0371759-0j -5.61255e-05-0j -0.0427936-0j -0.00248874-0j -0.000354969-0j 6.46067e-05-0j 1.73543e-05-0j 2.16929e-06-0j 0.000408609-0j -0.00288878-0j 0.00599924-0j -4.18335e-05-0j -0.000293301-0j -5.22918e-06-0j -0.00690579-0j -0.000443019-0j 0.00696355-0j 1.80774e-07-0j 4.8155e-05-0j 6.01937e-06-0j 0.000707017-0j -0.00801583-0j -4.25557e-05-0j 0.00106792-0j -4.35765e-07-0j -0.000813855-0j -1.36633e-06-0j -0.0012293-0j 0.000102583-0j 5.01614e-07-0j 4.50138e-10-0j -0.000118084-0j 3.29362e-06-0j -1.08508e-09-0j -3.79132e-06-0j 1.24905e-09-0j 
-0.000441377-0j 0.0070107-0j -4.50479e-05-0j -0.0408774-0j -0.0148671-0j 0.000774573-0j -0.0119124-0j 0.000102059-0j 0.0654855-0j -0.0012158-0j 0.0204821-0j 0.00314914-0j -0.000255857-0j -0.000232101-0j 0.00385541-0j 0.00349744-0j -3.19822e-05-0j -2.13215e-05-0j -0.0205212-0j -2.90127e-05-0j -1.93418e-05-0j -0.0186158-0j 0.000507995-0j -1.88457e-06-0j -0.0060514-0j 0.000460828-0j -1.70959e-06-0j -0.00209443-0j -0.00548953-0j -0.00189997-0j -0.00107727-0j -0.000977245-0j -0.00010093-0j -9.15587e-05-0j -0.000192803-0j 0.000464763-0j -0.000534994-0j 0.00286464-0j -0.00690537-0j 0.00794885-0j -2.32832e-05-0j -0.0149395-0j -2.12546e-05-0j 5.61255e-05-0j 0.0360126-0j -6.46067e-05-0j 0.00035808-0j 5.12353e-05-0j -0.0414545-0j 0.00023872-0j -0.00426556-0j -5.89776e-05-0j -2.16929e-06-0j -0.000863171-0j -0.000575447-0j -0.00196846-0j 0.0102824-0j 0.000993606-0j 2.11001e-05-0j 5.22918e-06-0j -0.000715926-0j 0.000662404-0j -0.0118362-0j 0.00474507-0j -6.01937e-06-0j -0.000435352-0j -5.08628e-05-0j 0.00172578-0j -0.00546211-0j -9.46613e-05-0j 5.85488e-05-0j 0.00104944-0j -0.00198656-0j -6.28308e-06-0j -0.00120802-0j 0.000228186-0j 1.51457e-05-0j -0.000262668-0j -1.74344e-05-0j 
0.00298615-0j -0.0718485-0j 0.000304773-0j 6.22114e-05-0j 3.66584e-06-0j 0.00269011-0j 0.000434114-0j -0.0511701-0j -0.00738576-0j 4.43066e-05-0j 5.22158e-06-0j 2.38331e-07-0j 0.00173101-0j 0.00174895-0j 0.000273697-0j 0.000276533-0j 0.000216376-0j -0.0417934-0j 3.12312e-05-0j 0.000218619-0j -0.0422265-0j 3.15549e-05-0j -0.00520614-0j 1.27501e-05-0j -0.000433845-0j -0.00526009-0j 1.28822e-05-0j 3.18752e-06-0j -0.000438341-0j 3.22056e-06-0j 2.65627e-07-0j 2.6838e-07-0j 9.89933e-09-0j 1.00019e-08-0j 0.00130442-0j 0.00161413-0j 0.000941577-0j 0.000203362-0j 0.000251647-0j 0.000146794-0j 0.000157523-0j 2.27365e-05-0j -0.0207592-0j 0.000194925-0j 2.8135e-05-0j 0.000113706-0j 2.54202e-05-0j -0.0256883-0j 1.64121e-05-0j -0.00490995-0j 2.11835e-06-0j -0.0149848-0j -0.00211873-0j 3.14559e-05-0j -0.00607575-0j -0.000432484-0j 2.62132e-06-0j 1.83493e-05-0j 1.4979e-06-0j -0.0026218-0j -2.54844e-05-0j -0.00354419-0j 1.52911e-06-0j -0.000535172-0j -0.00152938-0j 2.16203e-07-0j 1.85356e-06-0j -3.15353e-05-0j -0.000312184-0j 1.39559e-08-0j 1.08124e-06-0j 2.67538e-07-0j -1.83956e-05-0j 4.39568e-10-0j 1.56064e-07-0j 1.72695e-08-0j 5.43938e-10-0j 1.00739e-08-0j 3.17297e-10-0j 
-0.000527882-0j 0.00414836-0j 0.0103556-0j -0.100203-0j 0.000124166-0j -0.000475548-0j 0.00361843-0j 0.00599052-0j 0.000861916-0j -0.0709841-0j -0.0126595-0j 1.01012e-05-0j -0.000306002-0j -0.000309173-0j 0.00228132-0j 0.00230496-0j 0.00365692-0j -2.55002e-05-0j 0.000526158-0j 0.00369482-0j -2.57644e-05-0j 0.000531611-0j -0.0287379-0j 0.000650966-0j 7.621e-05-0j -0.0290357-0j 0.000657712-0j -0.0103218-0j 7.69998e-05-0j -0.0104288-0j -0.000860167-0j -0.000869081-0j 5.03827e-07-0j 5.09049e-07-0j -0.00023059-0j -0.000285341-0j -0.000166449-0j 0.00169506-0j 0.00209753-0j 0.00122356-0j 0.00266226-0j 0.000383046-0j -2.54202e-05-0j 0.00329438-0j 0.000473996-0j 0.00192172-0j -0.020257-0j -3.14559e-05-0j 0.000276497-0j 0.000141255-0j 5.37196e-05-0j -1.83493e-05-0j 0.000498677-0j -0.0250668-0j 0.000174794-0j -0.00482526-0j 6.64746e-05-0j -0.0146223-0j -0.00360594-0j 0.000617082-0j 5.97924e-06-0j 0.000101963-0j 3.87768e-05-0j -0.00597096-0j 0.000359964-0j -0.00105384-0j -0.00446213-0j 7.39894e-06-0j -0.00348306-0j -5.65497e-05-0j -0.00260291-0j -0.00130406-0j 4.31605e-06-0j 2.61135e-08-0j -0.0007607-0j -6.99767e-05-0j 3.23138e-08-0j -4.08197e-05-0j 1.88497e-08-0j 
