0.175896-0.0667441j 0.0830704+0.201867j 0.0916103+0.047249j -0.0456239+0.137567j 0.087318+0.151536j -0.00963284+0.0139871j 0.0563254-0.0898418j 0.0279086-0.0404567j 0.0078756-0.131604j -0.0624515+0.0377551j 0.000964759+0.0433079j 0.0380218-0.012028j 0.00239852-0.0165774j -0.0491068+0.0694998j 0.0546286-0.0562128j -0.00428463+0.00696392j 0.0643249-0.0932063j 0.0837511-0.122398j -0.16285+0.0502489j -0.00258912+0.0446976j 0.105078+0.0818642j 0.163931+0.123132j -0.141031+0.0563437j -0.057737-0.165642j 0.0280656-0.0469743j 0.000893874+0.0203902j -0.130205-0.185161j 0.0956929-0.0154787j 0.0935639-0.210661j -0.0342213-0.176231j -0.0733309-0.121681j 0.330753-0.0911315j 0.0270003+0.253767j 0.177716-0.135908j 0.000748941+0.0269755j 0.208519+0.124554j 0.0146174-0.0211931j -0.0103666-0.00342747j 0.0743825-0.0253785j -0.0394702-0.0308455j 0.0373261-0.0132107j 0.0219739-0.01461j -0.0157784-0.0183838j 0.00562788+0.00186357j 0.0360514-0.0126604j -0.00732847-0.0219671j 0.0320885+0.0119602j 0.0491995-0.0136399j -0.126341+0.0136063j 0.0470422-0.00806962j -0.0815997+0.0224269j 0.0736501-0.00678134j -0.0478435-0.0273116j -0.0173347-0.00205586j -0.0138241+0.00889269j 0.0534263+0.0396557j 0.00187359+0.0328237j 0.0090828-0.00645086j 0.0509584-0.00187138j 0.029372-0.00537309j 0.00040026+0.00495646j 0.0111364-0.0127804j 0.0062703+0.00875945j 0.0390368-0.00461417j -0.0299455-0.0216476j -0.0334014-0.0288527j 0.00860065-0.00514514j 0.00490911-0.0179367j 0.0127663+0.0209386j 0.0093425+0.00837123j -0.000560731+0.00990971j 0.00441602+0.000220244j 0.00572546+0.0129475j -0.0127986-0.0106292j 0.000971258+0.0109085j -0.0129138-0.0192133j -0.00182785-0.00483973j -0.000168179+0.000344275j 0.00198678-0.0204404j -0.00459843+0.00461139j 0.000433759+0.0402794j 0.00118356+0.00398906j -0.0129648-0.024758j -0.0082205-0.0188745j 0.000975253+0.0223921j -0.018034-0.0124911j 0.00214727-0.0249454j -0.0346841+0.016035j 0.00379243+0.00836542j 0.00574024+0.00221998j 0.0165325+0.0115288j -0.00553414-0.0238741j -0.0064797-0.0328229j -0.0393577-0.00732891j -0.00640914+0.0372554j 
-0.098128+0.0900382j -0.0784808-0.0955565j -0.122535-0.0198215j 0.0557748-0.135226j 0.0372686+0.0421244j 0.00510184+0.00708657j -0.0243132-0.0270965j 0.0430944-0.00343149j 0.00378359+0.0367823j -0.0251257+0.024268j -0.00183207-0.0204178j -0.00449503-0.0543264j -0.00411167+0.0206011j -0.00432802+0.0332741j -0.0137909-0.0302066j 0.00103185-0.0397485j -0.0317616-0.0317148j -0.0419564-0.0728867j -0.0939125-0.0500351j -0.0671793+0.0797198j 0.0401384+0.0495451j 0.0374479-0.0107069j -0.0526836+0.00769901j -0.0501866-0.0449709j 0.0534687-0.04549j -0.0268843+0.0127757j 0.0309489-0.0495484j 0.0210425+0.0083162j -0.00689749-0.0647227j -0.023922-0.0105651j -0.0585183+0.0586193j 0.026417-0.0417884j 0.064259+0.1288j 0.0782449-0.0315117j -0.0702758+0.0390495j 0.0114921-0.0200232j -0.077672+0.0664596j 0.0568406+0.0806709j 0.0269452+0.0724787j -0.00564352+0.0654126j -0.0986968+0.070608j -0.0160457-0.0887182j 0.0324949-0.030453j 0.0349617-0.0524945j -0.00942638+0.0294252j 0.148554+0.0847647j -0.0191326-0.00208479j -0.0474228-0.0361913j -0.0393448-0.0533146j -0.0470738-0.0273722j -0.0940398-0.00817928j -0.00813677-0.0074624j 0.009592+0.04487j 0.00834905+0.0284086j -0.0222505+0.0422773j -0.0152561+0.0497733j -0.0166899-0.00775419j 0.0440169-0.0113907j 0.0660694+0.0969686j -0.0377547+0.0357129j -0.0820681+0.036682j 0.0305174-0.0130248j -0.0311009-0.0113294j -0.0598537-0.00207434j -0.0561893-0.031517j 0.0389745+0.0860391j -0.00510707-0.0254428j 0.017301-0.0187557j -0.0249487-0.107287j 0.0617881-0.0422805j -0.00636634-0.025216j 0.0495811+0.0248977j -0.000120448-0.101596j -0.00250656+0.13486j 0.0409661-0.167251j -0.0691045+0.136393j -0.0604577+0.0902272j -0.0401861+0.0030323j 0.111552+0.0363072j -0.022386+0.00489298j -0.0371261-0.152913j 0.0361193-0.0138654j 0.106529-0.00328795j -0.0809013-0.030498j 0.00655911-0.109304j 0.00422292+0.0343396j -0.115825+0.0893035j -0.0840201-0.0402761j 0.0226394-0.0997191j -0.0312093+0.0097482j -0.126543+0.00842457j 0.00839859+0.045141j 0.0825062+0.0966029j 0.24663-0.127059j -0.116268-0.256937j 
0.0822809+0.00773362j -0.0183494+0.0786094j 0.0312397+0.0572315j -0.0417814+0.0477593j -0.000122913-0.0592065j 0.0304258+0.0111907j -0.012349-0.0175019j 0.00837565+0.00889726j -0.0411618-0.0153072j 0.0505886-0.00764388j -0.00860618-0.00350512j 0.0027-0.0141519j -0.00669849-0.00828547j -0.0163141-0.0178727j 0.016139-0.0126183j -0.0283061+0.0119036j -0.0178153+0.0131749j 0.0108453-0.00636451j 0.0322687+0.0141522j 0.0223395-0.0428612j -0.0139563-0.015665j -0.0167631-0.00992435j 0.0237255+0.00457611j -0.00423415+0.0220152j 0.0104609+0.00287119j 0.0303341+0.000822902j 0.0152578+0.0197623j -0.00881435+0.0324966j 0.0039994+0.00170438j 0.0101969+0.00669787j 0.00934074-0.00259847j -0.0316065+0.0207476j -0.0188723-0.0278065j -0.0285671-0.0227233j 0.0351835-0.0803332j 0.0723104-0.0136137j -0.206896+0.0567302j 0.0802519+0.216347j 0.0178365-0.0493377j -0.00597045-0.0265123j 0.0138594-0.0324757j 0.0316355+0.0149537j 0.0856413-0.122647j 0.0519767-0.177462j 0.0270958+0.0630734j -0.10599-0.0204435j -0.0481707-0.0523275j -0.0288293-0.0522441j -0.0203889-0.0143733j -0.157117-0.0878063j -0.0431492-0.0401819j -0.00827708+0.0179698j -0.00392592+0.0252055j 0.0351004-0.0419164j -0.0255312-0.00541283j 0.0372944-0.00368115j 0.0178906-0.000440363j 0.113939-0.0840329j -0.0247133+0.0302943j -0.137571-0.0578722j 0.0064271-0.0271319j 0.0446577-0.0330416j 0.0266677-0.0708403j 0.0225499+0.0222943j 0.0181233+0.0209716j 0.0229392-0.0524493j -0.0812156-0.085646j 0.0460558+0.0417356j 0.0380606-0.0767674j -0.0680633+0.0465905j 0.0378763+0.131302j 0.0144443+0.130356j -0.0757415+0.228992j -0.0286658+0.0789167j -0.0691108-0.116754j -0.164947-0.0691369j -0.0415547+0.116265j 0.0113514-0.114565j 0.0280342+0.0608729j 0.0638739+0.0142078j -0.0243749-0.00650194j 0.0881955-0.139972j -0.0298681-0.0247354j 0.00990194+0.0310592j -0.0253583+0.0387363j 0.229148+0.0937691j 0.0143216-0.0585153j -0.0473176-0.203104j 0.197146-0.121565j 0.0548125-0.0293602j -0.0407398-0.0198971j 0.0352507+0.044003j -0.00934333-0.105832j -0.0927779-0.0386611j -0.0320802+0.08391j 
-0.020556+0.0125667j -0.010994-0.0206128j -0.0215192-0.0105501j 0.0174905-0.0194421j 0.00833197+0.0189326j -0.00229628+0.0102858j 0.00397051-0.00337328j 0.0149908-0.00269796j 0.00760737+0.00430132j -0.00461845-0.000616419j -0.00347298-0.00312269j 0.00324104-0.00558545j -0.00500605+2.83288e-05j -0.0128102-0.00160044j 0.00561633-0.00181988j -0.000151375-0.00789891j 0.00264102-0.0089972j 0.0108969-0.0154627j -0.0277629-0.0235615j -0.0201013+0.0110194j 0.00430258-0.0194748j 0.00277471-0.0117891j 0.000773133-0.000963614j -5.15261e-06-0.00113747j -0.000602238-0.00528864j 0.0115579+0.0142603j -0.00121962-0.0181465j -0.00384418+0.00608889j -0.025651+0.0145592j -0.0107517+0.000546195j 0.00715043+0.0184853j -0.0162011-0.00982177j -0.00383565+0.00725738j 0.00838171-0.00162351j 0.0162565-0.0054576j 0.00197172+0.0161506j -0.0036785-0.0235584j -0.00828696+0.0147749j 0.0135691-0.00240819j 0.000854337+0.00135016j -0.00935827-0.0112585j 0.00483563+0.00731837j 0.0035825+0.0107292j 0.0173321+0.0103241j -0.0229304+0.000802941j -0.00702504-0.00156802j 0.00215182-0.00817214j -0.00696856-0.0109003j -0.00979815-0.00153j -0.0126453-0.00380304j -0.000803271+0.0055495j 0.0227636-0.0109027j 0.0169024+0.0111661j 0.0112316-0.0106861j 0.00517159+0.00223172j -0.0106607+0.00125579j -0.0131192+0.0315978j -0.000896245-0.0360869j -0.0189672+0.021854j 0.0274751+0.012828j -0.00730686-0.00371741j -0.000219774+0.0225507j 0.00263354+0.018799j -0.00328554+0.0028424j -0.00888775+0.000242646j 0.00644326+0.00898827j -0.0120804-0.00105275j 0.00911004+0.0269735j 0.00712863-0.021862j 0.000444089-0.0056328j -0.00969555+0.0131275j -0.00161326+0.00450112j -0.00451295+0.00593058j 0.00119061+0.0167689j 0.00717355-0.0239687j -0.0313261-0.00371062j 0.00674226+0.0287728j 0.00439341-0.000811232j 0.0153938+0.00540099j 0.00443468-0.000404482j -0.00838485-0.0203998j -0.00474613-0.0137381j 0.0131139+0.00489795j -0.00820697+0.00552738j 0.00423178-0.00445214j -0.00239998-0.0169218j -0.00850497+0.0183969j -0.0259973+0.00915627j -0.0363617-0.00930274j 0.00592144-0.000136719j -0.0100989+0.0140086j -0.000877249-0.0112368j -0.00207685+0.0135563j -0.00864477-0.00458985j -0.00492666+0.00320353j 
0.00300073-0.0133739j 0.0196165+0.000867682j 0.00850979-0.00311829j 0.00606372+0.00656919j 0.0271223-0.00228434j 0.00240486+0.0234689j 0.00790535+0.00428617j 0.00638087-0.00358606j -0.00455045+0.00761469j -0.00199865+0.00435925j -0.00267334-0.00485513j -0.0086283-0.00291957j -0.000750126-0.00184826j -0.000420206+0.0034173j -0.000132104+0.0115061j -0.0116237+0.00415525j -0.00263166-0.00901808j 0.00701981-0.00838403j -0.0128933+0.00954783j 0.00348728+0.000921251j -0.00512433-0.020501j -0.00375983-0.00793042j -0.00976209-0.0015041j 0.0112298-0.0137032j 0.0162045-0.0105124j -0.0174242+7.05695e-05j 0.0163854-0.00174485j 0.000867375+0.00167081j -0.00255425-0.00235502j -0.0128667-0.0126867j 0.0122997+0.0148054j -0.000449276+0.0285338j 0.0123403+0.00265523j -0.00736729+0.00822589j -0.00927262+0.0270789j -0.017327-0.0209858j 0.0142763+0.0261479j 0.03332-0.0103516j 0.000346279-0.00579897j 0.00805304-0.00341557j 0.00650061+0.000373144j 0.00999857-0.00407576j -0.00165469-0.00761541j 0.0338898+0.0259219j 0.00391362+0.0189014j 0.00621642+0.00345709j -0.000860953-0.0116415j 0.0191792-0.00544826j 0.00378032-0.00172745j -0.00429318-0.0161088j 0.0131123-0.0133952j -0.00101263-0.00762672j -0.00381125+0.00632437j 0.0193925-0.0239052j -0.0203421+0.00760356j -0.0142309+0.00860238j -0.018087+0.00771674j -0.019355-0.00410637j 0.00417061+0.0102621j -0.000887434-0.00245177j 0.00370892+0.00213331j 0.00460445+0.000864779j 0.00695912-0.0036631j 0.00289709+0.000421392j 0.00264952+0.00196846j 0.00129164+0.00649971j -0.00142366-0.0183588j 0.00720225+0.0116684j 0.0185427-0.00658834j -0.0102243+0.00993419j -0.018846+0.00622666j 0.0131836-0.0101733j 0.00851889-0.0125051j 0.0223063-0.00123757j 0.0153227-0.00211342j -0.00826794-0.0240137j 0.00349748+0.0086569j 0.0349213+0.0153419j -0.00502996+0.00206814j -0.0193014-0.00505114j -0.00462439-0.0137892j -0.0104732+0.0453851j 0.00342683-0.00761517j 0.00718082-0.00542393j 0.0137926-0.00921669j 0.0141761+0.00602438j 0.00203607-0.0140544j -0.00934423-0.0157864j 0.0201647-0.00367185j -0.00727044-0.0058656j -0.00408222+0.00110731j 0.00167782+0.00458179j 0.00990335-0.00696644j 0.00586503-0.0114311j -0.0108888-0.00688012j 
0.0144119+0.00914108j -0.0116742+0.0169592j -0.00288094+0.0160704j -0.0164068-0.00294329j 0.0123212+0.000115677j -0.000647386+0.00679723j 0.00128241+0.00107578j -0.000515455-0.00903029j 0.00651729-0.00545842j -0.000481312+0.00316507j -0.00238669+0.00169084j -0.003959+0.00197888j 0.00040453+0.000216242j -0.000610995+0.00102246j -0.00391016+0.00255367j -0.00414695-0.00360646j -0.00134526-0.000457832j -0.00393782+0.00126628j -0.0143304+0.00742245j 0.00151203+0.0177383j -0.00600973-0.0150539j -0.00526362+0.00290566j 0.00847194+0.0105795j 0.0085082+0.00124045j -0.00880606-0.00350575j 0.00664026+0.00655835j -0.00144293-0.000483516j 0.000736149-0.000408597j -0.00144369+0.010306j -0.00549843+0.00884716j 0.000925641+0.0176741j -0.00519621-0.00298646j 0.0125039-0.00729438j 0.00708632-0.0102069j 0.0103229+0.025213j -0.00569978+0.0162336j 0.00878045-0.000195256j -0.0018292-0.00402706j 0.025612+0.0167804j 0.0147297-0.0130063j 0.0337965+0.00889724j -0.0179439+0.0171133j -0.000419189-0.00798394j -0.00233624-0.00286317j -0.00172205-0.00352768j -0.00552924-0.0282165j -0.00683966-0.0058352j 0.0038919+0.00312746j 0.0149265+0.00748074j -0.00681486+0.00436559j 0.00165105-0.0059442j 0.0146411-0.00398068j -0.0295019+0.00901571j -0.0080471+0.000321098j 9.4393e-05-0.00956602j -0.00263317-0.0118187j -0.0111477+0.00413408j 0.00541178-0.0182903j 0.00374639-0.0419859j 0.00508041-0.0104466j 4.69794e-05-0.0143572j -0.00266032-0.000152731j 0.00201164+0.000293322j 0.0146889+0.00577307j -0.00859307-0.0364575j 0.00529354-0.0217817j -0.00225285-0.0076827j -0.00279261-0.00479526j -0.000392883+0.0111184j -0.0108502+0.0210886j -0.00826213+0.0125868j -0.00127961+0.00483245j -0.0110058+0.0284976j 0.00415323-0.0161796j -0.00987313+0.0216159j 0.00327987-0.0337218j 0.0137232-0.00531964j 0.0173363-0.00201959j -0.00219342+0.00262303j 0.0101709-0.00358144j 0.021679+0.0425923j -0.0109146-0.00937122j -0.0260746-0.014752j 0.00353562-0.0274086j -0.0163383+0.0143443j 0.00737474+0.00197037j -0.0132134-0.0257527j -0.0109642+0.0120439j 0.00901052-0.0104194j 0.00704486-0.00429263j 0.018485-0.00472332j 0.000635958-0.0124217j -0.0328453-0.00780311j 0.0263879+0.0399958j 0.0461773-0.0188074j 
0.0113721-0.00181877j 0.00244076+0.00961253j 0.0153551-0.00249948j -0.0013646+0.0150746j -0.00744627+0.0200606j -0.018495-0.00123526j 0.00914025+0.0105709j 0.00497443-0.00242383j 0.0104355+0.00368779j -0.00338562+0.00273859j -0.000343929+0.00141081j 0.00266222+0.0121664j -0.00223997-0.00418987j 0.000473142-0.00759941j -0.000224694-0.00253244j -0.00171613+0.00705082j 0.0123232+0.00763331j 0.000489298+0.00549505j 0.00712067-0.00281035j -0.00549184-0.0037154j 0.0153664-0.000835535j -0.0130685+0.00152157j 0.0139396-0.0102785j 0.00143217+0.0170117j -0.0108626-0.00861934j 0.00433969+0.0133582j 0.000593867+0.00889657j -0.00641231-0.000901709j 0.000797615-0.00168087j -0.0062077+0.0127654j 0.000927331-0.010024j 0.00980409-0.0061231j 0.0251111+0.0015578j 0.00609866-0.00962344j 0.00597055-0.000631186j -0.00850346-0.0060594j 0.00102627-0.00884134j -0.00621105-0.00275444j -0.0100985-0.0142113j -0.0286548-0.0222038j -0.0166983-0.00904304j 0.011356-0.0123759j -0.00254874+0.00816215j 0.00398071+0.0102785j -0.00363894-0.00402983j -0.00551143+0.0161297j 0.00300996-0.00762234j -0.00359616-0.00165346j -0.006274+0.00519964j 0.00840719+0.00130366j -0.00352737-0.00448408j -0.00526085-0.00457608j 0.0215863-0.00344792j 0.00120408+0.00915701j -0.00967311+0.0137612j -0.0132228+0.0265758j 0.00605758+0.00506348j -0.00504054+0.00697978j -0.0145805+0.0258072j 0.00404291+0.0110621j 0.0206815+0.00604171j 0.00154735+0.00623491j 0.00202732+0.00391378j -0.0129843-0.013875j 0.00618243+0.0125865j -0.00786955+0.0207473j 0.00162267+0.00030314j 0.011026-0.00402666j 0.00627376-0.00645345j 0.021568-0.0132128j 0.00505658+0.00391677j -0.0021024-0.00418091j -0.00643638+0.00380473j 0.0246904-0.00672537j 0.000482039+0.00527029j -0.01079-0.000435016j -0.00992774-0.00540219j -0.0106743-0.0082006j -0.0166536-0.00875554j -0.00643042-0.00109269j -0.00625587-0.014918j 0.00690329+0.00786616j 0.00218629+0.0224486j 0.017565-0.00305724j 0.0215225+0.0208453j -0.00741265-0.0200727j 0.0179-0.0101368j 0.0015927-0.00685316j -0.0167866+0.0134773j 0.000619562+0.00201632j -0.00109615+0.00546252j 0.00796078+0.000378661j 0.0119826+0.008624j -0.00227933-0.00713983j -0.00849152+0.00366841j 
-0.00739253-0.0130178j 0.0127817-0.0072241j 0.00522166-0.0108214j 0.0104433+0.00766662j -0.00324149-0.0106224j 0.0095311-1.08938e-06j 0.00157782-0.00338606j 0.00108744+0.00195348j -0.00657975+0.00440045j 0.00429763-0.000305516j -0.0023654+0.00159201j -0.00271713+0.00120937j 0.00105673-0.00317447j 0.00287849-1.35255e-05j 0.00309346+0.00234911j -0.00249598+0.0047002j -0.00198896-0.000224141j 0.0066334-0.00185946j 0.0127776-0.00123885j 0.00104393-0.0178424j -0.0236145-0.00396722j -0.00625654-0.00683738j -0.0120962-0.00965312j 0.00016779-0.0203454j 0.00363957-0.00159495j -0.00621637-0.0127879j 0.00738899-0.0101497j -0.0020247+0.00484396j -0.00461898-2.69035e-05j -0.00569973-0.0111196j 0.00421099-0.0123966j 0.0098361+0.0113774j -0.014293+0.0229132j -0.00525196+0.0124848j -0.0277042-0.0218099j 0.0267024-0.0171915j -0.00234238-0.00632661j -0.00185028+0.00352558j 0.00382795-0.013164j 0.0241916+0.0115789j 0.00318668+0.0207697j 0.0239969+0.0213282j 0.00392819-0.0031697j -0.000260158-0.00310936j 0.00197777+0.00335464j 0.0121083-0.0149657j 0.0209412+0.0111088j -0.00259965+0.000378137j -0.0286712-0.00581713j 0.00383085+0.00275895j 0.0142441-0.00359051j -0.00603159+0.00195995j 0.028332+0.00434681j 0.0167925-0.0055052j 0.005189-0.0162369j 0.021027-0.00814916j -0.00321006-0.00155342j -0.00484824+0.0153612j -0.0107975+0.0194652j -0.000348257+0.00725845j -0.0191878+0.0170298j 0.00343682-0.00430603j -0.00447652+0.0126376j -0.0190141+0.0303278j -0.00962788+0.0345842j 0.0188516+0.0106681j -0.00443925+0.0032775j -0.0161054+0.00483688j -0.00354067-0.00401379j -0.00967886-0.0145274j 0.00931244-0.00197862j 0.000437134-0.00452836j 0.0204504-0.00621027j -0.0114343-0.00130905j 0.0143371-0.00409442j 0.00161596-0.000930787j -0.002612+0.00672978j 0.00262441+0.0119473j 0.0124588-0.00375079j -0.010808-0.0011819j -0.016648+0.00563483j -0.0156378-0.00434724j 0.0281431-0.0138741j -0.0344171-0.0157392j -0.0346983-0.0212174j 0.00820345+0.0380502j -0.0134207+0.0490591j 0.0319794+0.0198527j 0.00817699-0.0183231j 0.00056853-0.00442721j 0.00667802-0.0151016j -0.0175402+0.0189897j -0.0186814+0.00525497j -0.0501557+0.00515938j -0.00059433+0.0478227j 
-0.014103+0.00195604j -0.00315093-0.0148175j 0.00965443-0.0137274j 0.015654+0.00825585j 0.00459816+0.0143384j -0.00617597-0.00181936j 0.0115951+0.00411855j 0.00890345-0.00410096j 0.0124818+0.00901635j -0.00093644+0.0176919j -0.000229591-0.00206507j 0.00137212+0.00586115j -0.00815908-0.00474146j 0.0080509-0.00935533j 0.00343326-0.0090544j -0.0117708+0.0129482j 0.00953215+0.0114413j -0.0206744-0.00657235j -0.00992634+0.0111903j -0.00814309+0.0257831j -0.0163495-0.0103616j 0.00249802+0.00377129j -0.00463002-0.00639888j 0.0103003-0.00956693j -0.0122461+0.00341595j -0.0019245-0.00826716j -0.00576738-0.00701695j -0.0194207+0.00415999j 0.00100193+0.00835138j 0.00194488+0.00129508j 0.00412937+0.00179947j 0.00268758+0.00282825j -0.00835518+0.00625818j -0.00966557+0.00433094j -0.0111711+0.000618545j 0.0116928-0.000836555j 0.000363592-0.0015334j -0.00260522-0.000275741j 0.0148454+0.0147209j 0.0247089+0.011558j 0.0103618+0.0104567j -0.00825248+0.0124863j 0.00207035-0.00440064j -0.00318091-0.0071896j -0.000253906+0.00377322j 0.00371044-0.0188112j 0.00280348+0.0105286j -0.00105161-0.00196739j 0.00468932-0.00142817j -0.00306687+0.0056159j 0.00394822-0.00267051j 0.0062134-0.00275269j -0.0164934+0.00458021j -0.00364987-0.00375515j 0.00956718-0.0145298j 0.00964845-0.0190369j -0.00352019-0.000937844j -0.000702686-0.00403497j 0.00776242-0.020026j 0.00188966-0.00853332j -0.0171097-0.00594826j 0.0016056-0.0018167j -0.00189357+0.00139591j 0.0122415+0.00997489j -0.00698298-0.0110535j 0.00406259-0.0161503j -0.00122422+0.00295256j -0.00753757+0.00484728j -0.00610528+0.00557216j -0.0167838+0.0119919j -0.00675047-0.00412812j 0.00065161-5.25148e-05j 0.00483322-0.00663342j -0.0182114+0.00403793j -0.00143053-0.000366413j 0.0132413+0.00109683j 0.0142462+0.00114352j 0.0115303+0.00936557j 0.0135803+0.0051176j 0.00763961+0.00197386j 0.00475763+0.0160423j -0.009283-0.0041358j -0.00349075-0.0178661j -0.0110818+0.000855983j -0.0176321-0.0129204j -0.00103914+0.0159426j -0.0140563+0.00772681j -0.00142177+0.0164222j 0.00707474-0.00800797j -0.000567888-0.000939841j 0.00314413-0.00252471j -0.00863264-0.00329903j -0.0125925-0.00375875j 0.00594708+0.0052215j 0.00559352-0.00561607j 
-0.0129911-0.00255949j 0.0010315-0.0157432j 0.00330135+0.0134268j -0.0103714+0.00278601j -0.00333497+0.00019673j 0.0062483-0.0117967j -0.000864834-0.00291993j -0.0200178-0.00550362j -0.00213626-0.0156374j 0.0204478-0.0198856j 0.0246507-0.00513716j -0.0182664-0.0105601j -0.00910722-0.00483258j -0.00340834-0.0279904j 0.0169823+0.00354698j 0.013913+0.0139275j 0.0133597-0.0136582j 0.00253183+0.000197585j -0.0118492+0.00133124j -0.00164506+0.00579043j 0.0060162-0.00360521j -0.0024191+0.00395798j 0.00386941-0.00778443j 0.00502334+0.00399997j -0.00257522+0.0004662j 0.00171335+0.000656889j 0.0035951+1.37511e-05j -0.0032726-0.0198362j -0.000886183+0.00225386j 0.000356235+0.00306153j -0.000469266-0.000186904j -0.000321901+0.0030194j 0.00431572+0.00444008j -0.000589611-0.0020388j -0.00451959+0.00074567j 0.00145052-0.00297615j -0.00213714+0.0023842j 0.00129904+0.00310896j 0.00162794+0.00165938j 0.000782015-0.000119303j -0.00108849+0.00195093j -0.000283896+0.00112337j 0.00028686-0.000109502j -0.00165042+0.00274989j -0.00132162+8.43157e-05j 0.000478374-0.000253182j 0.000997143+0.000629958j -0.00111179-0.000248251j 0.000401538+5.87339e-05j 0.00123289+0.000619354j 0.0011911-0.00113522j 0.000516886-0.000333077j -0.000528522+0.00112251j 0.00124882+0.00135279j -0.000304164-0.00115294j -0.000804163+4.24085e-05j -0.00112297-0.000122787j -0.000631064-0.000851131j -0.000777027+0.000509417j 0.000393763+0.000172897j -0.000510155-0.000115067j 0.000440923+0.000430596j -0.000365933+0.000438316j -0.00122829-0.000539391j -0.000497383-0.000290158j -0.000490323+0.00133923j 0.00176077+0.000128568j -0.00104245+0.000363247j 0.000461222+0.00107286j -7.4589e-05-0.000990273j -0.000835445-0.00116888j 0.000162334+0.0010756j -2.12489e-05+0.000149676j 0.000232998+0.00166591j -0.000408993+0.000676568j 0.00220283+0.000344895j -0.00038104-0.000470161j -0.000599176+0.00208192j 0.000117917-3.96858e-05j 0.000385017-0.000656724j 6.65554e-05-0.000195928j -0.00162038-0.00062829j 0.000262407+0.000217007j 0.000812899-0.000251938j 9.9053e-05-0.000131048j -0.000992332+0.00101737j -0.000578791+7.17522e-05j 0.000180907+0.00141339j 0.000110081+0.000115766j 0.00045583+0.000103467j 0.000112818+0.000208068j -0.000529278+5.60946e-05j -0.000649+0.000297017j 0.000598104-8.95787e-05j -0.000276042-0.000391498j 
-0.00542586+0.00926866j -0.00919266-0.00545542j 0.00194862+0.00135226j -0.00303893+0.00102792j -0.00916247+0.0123053j -0.00823696-0.0138168j -7.53066e-05+0.00587785j 0.00474617+0.00715322j 0.00125003+0.0010935j 0.00235467+0.00398512j 0.00213929-0.00279339j 0.000585895-0.00656035j -0.0027073-0.00410504j 0.00390382-0.00582253j 0.00304604-0.00260731j -0.00455955+0.008548j 0.00760803+0.00849748j -0.0119853+0.00395879j -0.00697421+0.00817647j 0.00906913+0.00872356j 0.0250425+0.0169657j 0.00981039-0.0141035j 0.00212619+0.0219825j -0.0165215+0.00562765j 0.0102999+0.00216809j -0.0163863+0.00295825j -0.0224937+0.00654169j -0.00329178-0.00342431j 0.00854243-0.00226785j 0.00385007-0.0109138j 0.00898311+0.000100436j -0.00690336+0.000175261j -0.00438934-0.0179576j 0.00104886+0.00300704j 0.00895984+0.00732323j -0.0235605+0.0116726j -0.00238949+0.00270933j 0.00187795+0.00200496j -0.00635595-0.0124516j -0.0246563-0.00539245j -0.0071934-0.0120984j 0.00478366-0.0108435j -0.00203178+0.00129823j 0.00379741+0.00773048j -0.00354035-0.00580334j 0.000698671+0.0192663j -0.00719559-0.0143544j 0.0016134+0.0103018j -0.000353463-0.00185178j 0.000757847-0.0101047j -0.000317083+0.0127317j -0.00413509+0.00122928j 0.0131613-0.00656949j 0.00126625+0.00288862j -0.0106956+0.0138822j -0.00943227+0.0189306j 0.00268911+0.00273683j -0.00176558+0.000582369j -0.00280567+0.0172611j 0.00120719+0.00478631j 0.0186685+0.00471888j 0.00217065+0.00386918j 0.00278069-0.000640357j -0.0132033-0.00753017j 0.00304724+0.00308045j 0.00164354+0.0145828j 0.00317003-0.00136368j 0.00657601-0.00899908j 0.00285372-0.00614642j 0.0196163-0.0135407j 0.00959564+0.00151902j -0.00083169+0.000342445j -0.00407543+0.0061779j 0.0208299-0.00864053j 0.000532883+0.00146703j -0.0126191+7.69075e-05j -0.0119004-0.00351439j -0.0104539-0.00745374j -0.0140205-0.00485395j -0.00814608-0.00307265j -0.000770103-0.0101913j 0.00432212+0.00464718j 0.00362409+0.0160857j 0.00882807-0.0080473j 0.0136301+0.0139653j -0.00354084-0.0167634j 0.00751008-0.00819235j -0.00137649-0.00854053j -0.00885564+0.00596541j 0.000974626+0.000668171j -0.00118818+0.00232878j 0.00924802+0.0012454j 0.00682506+0.00867274j 0.00837579-4.48008e-05j -0.000586722-0.00701445j 
