0.118121-0.0906773j 0.102013+0.0849743j -0.0676737-0.0628247j -0.0145244+0.152332j 0.0410849-0.022107j 0.00641861-0.0567835j 0.0104916+0.0165095j -0.0332547+0.0161618j -0.0231819-0.140301j 0.132894+0.00606924j 0.0836994+0.0126276j -0.131635-0.10901j -0.118857+0.0339812j 0.0461214+0.014275j -0.0472782+0.20582j -0.0774862-0.0512016j -0.133994+0.0605803j -0.0113967+0.0427355j 0.159067-0.0162613j -0.0760855+0.0245645j -0.0107375+0.00413637j -0.0887587-0.0897707j -0.024934+0.0575166j 0.0431948+0.0110709j 0.0328747+0.0367906j 0.0371045-0.0123533j -0.0569944+0.0278523j -0.0408251+0.0972874j -0.0450135+0.0953351j -0.0608736-0.0234358j -0.00133609+0.0055856j -0.00424492-0.0478964j -0.0199478+0.0202909j -0.0446754-0.0221259j 0.0215985-0.0193322j -0.0337958+0.0806354j 0.0660128-0.0554115j 0.00391103-0.0768675j -0.0700272+0.0414878j -0.0986926-0.0581042j -0.018245-0.0962313j -0.0383086-0.105399j -0.0720904+0.103393j -0.0414163+0.0426671j 0.0359735-0.0189456j 0.0441246-0.0231473j -0.121425+0.0562115j -0.0451929+0.04712j 0.0514889+0.00874818j -0.090569+0.00426166j -0.0075062-0.0326864j -0.0672839-0.0357047j -0.0329579-0.0284401j 0.0196702+0.0546304j 0.0150528-0.0310834j 0.0492364-0.0996499j 0.0271718+0.0265834j -0.0676443-0.0424642j 0.0499016+0.00191077j 0.100895-0.0495142j -0.0311909+0.0560861j 0.06078-0.0644216j 0.0376252+0.140163j -0.207481-0.0464135j 0.0172498+0.0179571j 0.014678+0.0427664j 0.026717-0.00973292j 0.0422089-0.157261j 0.0570861+0.104877j -0.091031+0.0528794j 
-0.0405448-0.149397j 0.149812-0.034504j 0.0571075-0.0658118j 0.0170451-0.0694537j -0.0866602-0.0365102j 0.0818571-0.0501659j -0.0452853-0.0183095j 0.0831468+0.043899j 0.0360637+0.0706745j 0.00893038+0.0656995j -0.223304-0.0316345j 0.0144009-0.0321898j -0.0820877+0.0534986j 0.00787304+0.136643j -0.0279821+0.0242861j 0.105778+0.102736j 0.000558826-0.0234996j -0.0179083-0.116449j -0.0665146+0.192116j 0.0698945+0.010686j 0.0714149+0.0334064j -0.0337176-0.0412969j 0.0162897-0.0012111j 0.0303395+0.00131732j 0.0460884+0.0205844j -0.00334295-0.0230356j 0.0824807+0.0374979j -0.0030041+0.0718435j 0.0117787+0.0306555j -0.151734+0.0365897j -0.100073-0.0504823j -0.0662038-0.0587173j 0.103865+0.0455938j -0.0875923+0.00951945j 0.00404528-0.0134301j 3.42427e-05-0.13559j 0.0270639+0.114713j -0.0134547+0.0709338j 0.0227877-0.0924162j -0.0780647-0.0368839j -0.0143098+0.00104375j 0.133595-0.0654131j 0.00808144+0.038331j -0.157928+0.0996088j 0.00175118+0.0190757j -0.0910629+0.010171j -0.0179512+0.0476971j 0.158381-0.0233602j 0.0257886+0.0621992j 0.176403+0.0421453j -0.0951042-0.0503115j -0.0616474-0.0529104j 0.0547121+0.141528j -0.0794127-0.00783709j 0.0493147+0.0408567j -0.0487042+0.101724j 0.066161-0.0237694j -0.00746359-0.0695364j 0.00539834-0.16585j -0.0608007+0.110951j -0.116445+0.00723487j 0.0765994+0.136032j -0.0315056+0.0335643j -0.0585476+0.0304914j -0.0229294-0.00650885j -0.0176725-0.118705j 0.00663714-0.00764264j -0.0340824-0.057379j 0.0809283-0.0269435j 0.0240134+0.0758023j 
-0.0786101+0.0652098j -0.0533556-0.043675j 0.0229662+0.0912423j 0.0477291-0.0369531j -0.0288503-0.00572551j 0.00342146-0.0193858j -0.00154051+0.00624282j -0.0451413-0.053121j 0.00990929+0.0446392j -0.0456231-0.0386471j 0.0508619-0.0420143j 0.0502403+0.0567164j 0.0453491-0.0390433j -0.0593796-0.0497309j 0.0226383-0.0606871j 0.00280057-0.0389037j 0.0560652-0.0100365j -0.000602811-0.03143j -0.0337781-0.0542934j 0.011784-0.0109732j 0.00236051-0.0301976j 0.0323238+0.0328524j -0.0347773-0.0394352j -0.0406267-0.0404294j -0.0122324-0.00864681j -0.033984+0.00325184j -0.00273624-0.0473223j 0.0239834-0.0412025j 0.0204609-0.0519603j 0.0766436-0.0124757j 0.0403473+0.0195685j 0.0313047+0.0437266j -0.0363084-0.0636658j 0.061805-0.00955273j -0.0215725+0.0579009j 0.0286486-0.0105401j 0.00814272+0.0101271j -0.0212286+0.0328601j 0.0448672-0.0129898j 0.0414747+0.0479741j 0.0211988+0.0524891j 0.0318413+0.0388115j 0.00158586-0.0552129j 0.0395454-0.0746522j 0.00476823+0.0117958j 0.0212836+0.0196272j 0.0564083-0.0396368j -0.0716677-0.0118532j -0.0253596-0.0213532j -0.0115629-0.0126382j 0.0238235+0.0167822j 0.0296073+0.0203752j -0.0019573-0.0092665j 0.0145481-0.0104287j -0.024619-0.0170812j -0.000312567+0.0162711j -0.0495136-0.0113491j 0.0423737+0.0258506j -0.0198637+0.0320228j -0.00653134-0.0268491j 0.0268342-0.0243782j -0.051339-0.0208833j -0.0411127-0.0480223j 0.0921452-0.0399647j -0.0027262-0.00864367j 0.00161986+0.0183626j -0.0141113+0.00493922j 0.0147579+0.0471157j 0.000386336-0.0937876j 0.0894538+0.0102892j 
0.00421474-0.00798751j 0.0255178+0.00171204j -0.00302086+0.000462554j 0.0157597+0.0719758j 0.00137161-0.0293844j 0.00969001-0.0613696j 0.00361643+0.00368181j -0.0525831-0.0138405j -0.0185343-0.0541808j 0.0674449-0.0150192j 0.058605-0.0371785j -0.037458-0.032993j -0.0410575-0.00754614j -0.0215213-0.00137626j -0.0420933+0.066849j -0.0211903-0.0620798j -0.0648672+0.0128065j -0.0227405+0.00578465j 0.082473-0.0252939j -0.0367153-0.00356898j -0.0177957-0.00885959j -0.0168953-0.0480396j -0.0318696+0.008547j 0.0261905+0.0012327j 0.00953716+0.0231083j 0.00614847-0.0205258j -0.0302932-0.0145983j -0.0236208+0.0455096j -0.0171173+0.0433318j -0.00220055-0.0242913j 0.0159151+0.0298586j 0.02125-0.020667j -0.00841373-0.0207132j 0.00314742-0.0200896j -0.00301635+0.0201693j 0.0120988+0.040114j 0.0306075-0.0182604j -0.00864507-0.0466863j -0.010974+0.0109985j -0.0387965-0.0234723j 0.00830571-0.0110203j -0.00331271-0.0457842j -0.0409253+0.0325059j -0.000338104-0.0173602j 0.0119165-0.0163504j 0.0243073-0.00671607j -0.0355784+0.0157728j -0.0571505+0.0149497j 0.0188467-0.00372902j -0.0643519-0.00288467j 0.0213459-0.0146024j -0.00654226-0.0150076j -0.01861-0.012742j 0.0174045+0.0304482j -0.00524271-0.041778j 0.0313761-0.0514877j -0.00422607+0.00755086j -0.0129044-0.00554416j 0.0206684+0.00999009j 0.0679798-0.048494j -0.0102577+0.00164997j -0.000529154-0.0479777j 0.00561215+0.0360147j -0.0578867-0.0271j 0.00800566+0.0083852j 0.0108742+0.0378579j 0.00786449-0.00571831j 0.0119851-0.0490456j 0.0423816-0.0287868j 0.0302525+0.0493614j 
0.0757213-0.0080782j -0.0233145-0.00589202j -0.0466824-0.0761129j -0.0559928-0.0152995j 0.0669772+0.0615516j -0.0969589+0.154073j 0.0978578+0.0101932j 0.042125-0.00128537j -0.0678226-0.0287004j -0.0434741-0.10429j -0.0415809+0.0292889j -0.0535618-0.005488j 0.0374116+0.0120246j 0.0259948+0.0419403j -0.0167693-0.0641547j 0.0940216+0.00450694j 0.00766906+0.00281616j 0.0456089+0.0186194j -0.0388438+0.0463893j -0.00480979-0.0705202j -0.0876339+0.0224701j 0.0153118+0.034543j 0.0493511+0.00786444j 0.0314133+0.0524922j -0.00506513-0.030424j 0.00084134+0.0466139j 0.0182628+0.0200576j 0.00708566-0.0130715j -0.0397697-0.0135134j 0.0141037+0.00124339j -0.0319421-0.0315915j -0.0151601+0.00591814j 0.00393071+0.0754244j -0.09297-0.0272399j 0.0309011-0.0400385j -0.00555412+0.00285148j -0.0252745-0.0238619j 0.069033-0.0479422j -0.00802024+0.0290273j 0.0525165-0.0282117j 0.0208122-0.000699154j -0.0631291+0.00628716j 0.00132094-0.0491209j 0.0324962+0.027579j -0.0428265+0.0181734j -0.00601521-0.00603396j 0.0567983+0.0148045j 0.0113127+0.00353047j -0.0189115+0.00187562j 0.00505317+0.00583847j 0.019137-0.0021342j 0.000446809-0.0867909j 0.00573269-0.02342j -0.0115291+0.0144714j -0.00613112+0.0232793j 0.00864885-0.000459107j 0.0219345+0.0258956j -0.00810756+0.0164044j -0.0246763+0.00514846j 0.00385775+0.0112542j -0.0822151+0.04668j 0.00126469-0.00221995j 0.0925416+0.00708934j -0.000165167+0.114489j 0.00311604-0.0332364j 0.00666526-0.00207911j -0.00660286-0.0346091j -0.0223035+0.0270897j -0.0560224+0.119877j -0.119436-0.070763j 
-0.0901649+0.00509704j 0.0327985-0.0569011j 0.0554245+0.0575311j 0.0687354+0.0312237j -0.0536865-0.0891264j 0.0528742-0.103713j -0.0330287+0.0114641j -0.0372809-0.0363931j 0.016791+0.00967454j 0.0257128-0.0192007j 0.0527088-0.121062j 0.0260008-0.00997512j -0.0348595-0.0685603j -0.113771-0.0267507j -0.0481668+0.0551606j -0.0233721-0.035799j 0.00562716-0.0127828j -0.0186573-0.0899634j 0.0393206+0.00272725j 0.00517804-0.00149073j 0.0413666-0.00140586j -0.0150976-0.0461493j -0.0703015-0.0323337j -0.0167987-0.0581326j 0.0400057+0.0226102j -0.057489-0.0205973j 0.0108472-0.0201703j -0.01558+0.00636312j 0.0214304-0.0078291j 0.00426209-0.00410624j -0.00974264+0.0104307j -0.00823561-0.0184706j 0.00017063-0.0704134j 0.0343031-0.0048181j -0.0180994+0.0634029j 0.0328748-0.0250092j 0.0280075+0.0375103j -0.0577148+0.0149266j 0.00147582-0.0591677j -0.0477919+0.0267191j 0.0217187+0.0683037j 0.100909-0.0500897j -0.0612894+0.0325253j -0.0236178-0.0576193j 0.0359037+0.00352396j 0.0172463+0.0121607j 0.00713996+0.00971109j -0.0725091-0.0285164j 0.0192731+0.011698j 0.0164211-0.00556878j 0.00432129-0.0255567j -0.0247626+0.00189056j 0.00993185+0.0491496j -0.0219137+0.0164406j -0.00598622-0.0674323j 0.01566+0.0116339j -0.0137506-0.00982919j 0.0272284-0.00656481j 0.0479736-0.0238838j 0.068285-0.0510257j -0.00512024-0.0039228j -0.0128285-0.055728j -0.030182+0.0184117j -0.00444373-0.0777471j -0.00893538-0.0241899j 0.001029-0.0049236j -0.00286903-0.00889065j 0.0109603-0.0323883j 0.0602268-0.147827j 0.146002+0.0751165j 
0.0115243+0.0160533j -0.0241138+0.0641425j -0.0086975+0.019679j -0.0453725-0.0205819j 0.0727151+0.0107564j 0.0317346-0.013286j -0.15941-0.0492434j 0.0268844+0.126231j 0.074249+0.0186718j -0.0139885+0.182488j -0.0335003+0.124924j 0.0808573-0.00677066j 0.0140697-0.00286568j 0.05418-0.0446653j 0.119346+0.0343082j -0.170651+0.0800741j -0.000831091+0.0112835j 0.00296131+0.205388j 0.073038-0.0697937j -0.00859189+0.190166j 0.137359-0.0595455j -0.0553792+0.00996988j 0.0247811+0.00305898j -0.0277893+0.0275985j -0.0286357+0.029j 0.105256+0.0106233j -0.00900954-0.00235541j -0.0097925-0.0159331j -0.00108081+0.0205736j -0.111139+0.025547j 0.126596+0.059959j 0.0328056-0.0169382j 0.0200349+0.00192105j 0.0956201+0.0836616j -0.0174775-0.0810925j -0.094596+0.0476671j -0.0667863+0.000671295j -0.0516282+0.107285j 0.00233833-0.0062715j 0.00534839+0.00580667j -0.0261559-0.0997916j -0.0409033+0.0711437j 0.115608+0.119766j 0.0266761+0.0295427j -0.0139091-0.0645037j -0.00806655-0.00698559j -0.137792-0.107478j 0.09782+0.00436492j 0.00170063-0.00285676j 0.0196903-0.00804686j -0.0639444+0.0324009j 0.0387068+0.12288j -0.0250855-0.0265143j 0.0346573-0.00602111j 0.0792454+0.0508389j -0.0526593-0.0265208j -0.0511875-0.0286231j 0.105627-0.0114058j -0.0448401+0.0523812j -0.0963205+0.0860651j 0.180688-0.0752415j 0.0482163+0.00685804j -0.0531774+0.0145357j -0.0213467-0.0191946j 0.00579095+0.165556j -0.0107857-0.0197994j 0.0299523+0.114074j 0.0141492+0.00604929j -0.0236255+0.0452347j -0.0439112-0.0265312j 
0.0640442+0.00456106j -0.012029+0.0535084j -0.0150517+0.0268028j 0.0190514-0.0285019j -0.117008+0.0791954j 0.00334362+0.0490797j 0.116137+0.032309j -0.0019828-0.080903j -0.0597219-0.0293862j -0.0271984+0.0116969j 0.0349796+0.0245801j -0.0441077+0.0637145j -0.0125838+0.127025j 0.098326+0.0334389j 0.0155026+0.00234449j 0.0880331+0.0230947j -0.01959-0.023389j -0.0144982-0.105796j -0.0625887-0.0282394j -0.0438936-0.0765873j -0.0568299+0.0443006j 0.0785357-0.039744j -0.0420457+0.0428721j 0.0407113-0.0249527j 0.0218675-0.0336935j 0.00781709-0.0362259j 0.0616176+0.0264596j 0.0323784+0.0209566j 0.0758815+0.00147771j 0.096832-0.0237955j -0.060712-0.060734j -0.0366294+0.0186083j -0.0616799-0.0401677j 0.0314937-0.0137571j 0.0648001+0.0537063j 0.0667994-0.0480558j 0.0380093-0.0137752j 0.0611592-0.135341j -0.0252532+0.117957j -0.046186-0.0104196j -0.0780218-0.0459413j -0.00913368-0.0347564j -0.0784802-0.141949j 0.00697442+0.0297415j 0.040351+0.0195555j 0.00497128-0.00584985j -0.0710983-0.0190175j 0.0137809+0.0411825j 0.0450482-0.0416427j 0.01558+0.00658571j 0.080698-0.0371042j 0.00620814+0.0105241j 0.0294817-0.0344776j -0.0720124-0.0358626j -0.0457789+0.0278604j -0.00854117+0.00676132j 0.0449316-0.0125594j -0.0569914-0.0106635j -0.0695483+0.0401524j -0.0548407+0.0290132j -0.0268606-0.0166559j -0.00293352+0.0101621j -0.0172855+0.0139743j -0.0160555+0.0255894j 0.0111832-0.149993j -0.00513641+0.0115544j 0.00938196+0.0327425j -0.00187772+0.000703405j -0.0137831+0.0474673j -0.0404737-0.0195649j 
-0.0393967-0.0156954j -0.000534116-0.112308j -0.0132988-0.12201j -0.0546446+0.0737435j 0.163504-0.0652051j -0.063137+0.0390319j -0.00801069-0.0284494j 0.0156639+0.0605158j -0.02943-0.0127729j 0.0195967-0.101213j -0.036728-0.087049j 0.00109798-0.0628715j 0.0188726-0.114458j -0.112858-0.0295558j -0.0923485-0.0515958j -0.0116118-0.0748898j 0.0291311+0.0345804j -0.00766695+0.0800495j -0.00283635+0.0939118j 0.0748024+0.0131894j -0.00869732-0.0175612j -0.0879064+0.0564748j 0.108165-0.0390968j -0.0304118+0.0440212j -0.00949548+0.00700894j -0.0641535+0.042188j -0.0608332-0.0132389j -0.0293908-0.0306311j -0.12089-0.0285398j -0.0904212+0.00849239j 0.0442692+0.00374682j 0.0447316-0.0102785j 0.0626943+0.101988j -0.099915-0.0550271j -0.0618318-0.0688132j -0.0452453+0.0698918j -0.0813453+0.029346j 0.0163333+0.111483j -0.00348129-0.133221j 0.0374322-0.0073499j 0.128961+0.0894806j 0.00411943+0.00317089j 0.0666714+0.0675053j -0.00561188-0.0476297j -0.0248669+0.0293902j 0.000914093+0.0220454j 0.159189+0.0604109j -0.0471874-0.049958j -0.062793+0.0660196j -0.0301387-0.0347327j -0.0818451+0.000357555j -0.000931128-0.0932053j -0.0246668+0.0159913j 0.0797824+0.00420671j 0.0286691-0.0645886j 0.0199028+0.00496208j -0.024373+0.00933805j 0.0324162+0.0351277j 0.0733064-0.0896281j 0.108395-0.0550403j -0.10886+0.0887477j -0.0210557-0.0237256j 0.106956-0.0185512j 0.027716+0.0559156j -0.013773+0.148387j -0.00844099-0.00730999j -0.0214228-0.102661j -0.0177939+0.00975625j -0.00540134-0.00204838j -0.00451231-0.00542458j 
0.0281003-0.0105083j -0.0191671-0.0199418j -0.0538041-0.076918j -0.0743794+0.0037431j 0.0647817+0.0363858j -0.0687113+0.0923964j 0.0483216-0.00961383j 0.0493703+0.0305137j -0.0228417-0.0116756j -0.00627365-0.0406989j -0.0480366+0.0453222j -0.025413-0.0332883j 0.0101782-0.00639013j 0.0103131+0.0255028j -0.0091086-0.0475784j 0.0200783+0.021985j -0.0174379+0.0130481j 0.00882628+0.0547522j -0.0403791+0.0385336j 0.0209734-0.0276319j -0.0540144+0.0182009j 0.00338374+0.0467903j 0.0519776+0.0222549j -0.000215343+0.0253766j -0.021658-0.0118728j 0.00334206+0.0201866j -0.00424655+0.0181546j 0.00926217-0.0558699j -0.0346897+0.0193481j -0.00479213-0.00610682j -0.00256247-0.0314664j -0.0185212+0.00930589j 0.00624196+0.0667032j -0.072537-0.0276865j 0.0143502-0.0390355j -0.0206296+0.021562j -0.0572967-0.0135204j 0.0392945+0.00329826j -0.00240401+0.0186593j 0.0309466-0.0155517j 0.0349636+0.000839112j -0.0599557+0.02619j 0.03861+0.0218938j 0.00230639+0.0131j -0.0202964+0.0146648j 0.0022698+0.00427573j 0.0451069+0.0113014j 0.0538225-0.00297894j -0.00726286+0.00533524j -0.0148581-0.00422683j 0.00356503-0.0107039j -0.0200008-0.044038j -0.0153306-0.0271606j 0.00141935-0.0149622j 9.86232e-05+0.00695701j 0.00664025-0.00291355j 0.0138126+0.0159242j -2.07327e-05+0.0177214j 0.0240148-0.0216441j 0.00620892+0.0296351j -0.0457079+0.0426628j 0.0142245+0.0240827j 0.0745504-0.00234571j 0.00605745+0.0792226j 0.00102626-0.0116244j -0.0041709+0.0045862j -0.0045015-0.0285027j -0.0139349+0.0201105j -0.0331755+0.09017j -0.0954543-0.0443995j 
-0.0737417-0.0126554j 0.04377-0.0290984j 0.0199845+0.0481959j 0.0408599+0.0286834j -0.0450453-0.0494928j 0.0495388-0.0908467j -0.0426329-0.00152978j -0.0438399-0.0377106j 0.0219682+0.0118757j 0.0215514-0.00517793j 0.0192782-0.058506j 0.023366+0.00932916j -0.019177-0.0394017j -0.0541952-0.00920199j -0.0250781+0.0299701j -0.00941059-0.0308187j -0.0203189+0.00737896j -0.0130403-0.0435364j 0.0329377-0.00109082j 0.00356675+0.016845j 0.0374997-0.0247437j 0.000671684-0.0238532j -0.0440223-0.0245005j -0.0125133-0.0379927j 0.0178947+0.020202j -0.0252971-0.0288004j -0.00859119-0.0413118j -0.0128062+0.014196j 0.00595141+0.0254697j -0.0113881-0.0208491j 0.0171348+0.0255593j 0.00611293-0.01349j 0.00515061-0.0562726j 0.0384061-0.0117857j -0.0282715+0.045433j 0.0161163-0.0133083j 0.0295183+0.0283958j -0.0375917+0.0169158j 0.029441-0.0544585j -0.0278918+0.00981628j 0.0188437+0.0332447j 0.0528977-0.0356434j -0.033168+0.0293284j -0.0478668-0.0304003j 0.0223179-0.00792087j 0.00762398+0.0150949j -0.00584885-0.0078445j -0.0355867-0.00623213j 0.010098+0.00308789j -0.00628971-0.000712631j -0.00554698-0.0146979j -0.0172507+0.00783593j -0.00568628+0.033216j 0.00529464+0.0159991j 0.00269314-0.0436028j 0.00922377-0.0071524j -0.0323557-0.00438866j 0.0249635-0.0135721j 0.0152053-0.0330241j 0.0177082-0.0263619j -0.0170417-0.0263267j -0.00519808+0.00725462j -0.037941+0.0180242j -0.0182214-0.0437254j -0.00262323+0.0103579j 0.00305072+0.0055173j 0.000975306+0.00467871j -0.00327395-0.0389357j 0.0438054-0.0894787j 0.0879432+0.0516628j 
