1.53814e-05+0.000827824j -0.000889546-0.000251436j 0.00044546-0.000481037j -0.000870063-0.000662842j -0.00250611+0.000658603j 0.000500023+0.00031939j 0.00140458-0.00341822j -0.00250571-0.00254448j -0.00364292+0.00632455j 0.00316046-0.00387854j -0.0101225-0.0081726j -0.00806051-0.00657357j 0.000339593-0.000397238j 0.00442243-0.00224288j -0.00100349+0.000845808j 0.000615086+0.000207253j -0.0144058+0.00932035j 0.00121026-0.000440043j -0.000662623-0.00165551j -0.00289286-0.0149324j -0.000929641-0.00148109j -0.00767023+9.82017e-05j 
0.00474688+0.00541552j -0.00822214+0.0061262j -0.00396556-0.00630458j -0.011727+0.00012555j 0.00111604+0.0199396j 0.00112402-0.000542615j -0.0200869-0.000875292j -0.00322351+0.0123994j 0.00860321-0.00556635j -0.012075+0.00630657j 0.00445027+0.0145448j 0.0118324+0.0237965j 0.000233419+0.000517027j 0.00339813-0.00436417j 0.00260616-0.00138135j 0.00187652-0.00103872j 0.0304487-0.00393864j -0.00201534-0.00225023j 0.000261613+0.0127496j -0.0067678+0.0196389j 0.00471206+0.00263725j 0.00790142+0.00437746j 
0.000554714+1.39132e-05j -0.000215737+0.000210165j 0.000211411-0.000356998j 0.00840554+0.00356176j 0.00422828-0.0147099j -0.000380944+0.000148312j 0.0152364+0.0044448j 0.00387892-0.00922652j -0.0118785+0.00748114j -0.00502827+0.00764011j -0.0129557-0.0257906j 0.0103956+0.0108751j 0.000881082-0.00165228j 0.0348744-0.00741123j 0.00459941-0.00123897j 0.00554009+0.0006475j -0.00724211-0.00182591j 0.000654549-0.000865731j -0.00215388+0.0277695j 0.00290982-0.0183152j 0.0144243+0.000837562j -0.00941598-0.00342729j 
-0.00742234-0.030422j 0.0411433-0.004865j -0.000806932+0.0285355j 0.00555948-0.0016299j -0.000859768-0.0073985j -0.000126509-0.000630546j 0.00539496+0.00157757j 0.00257119-0.00263765j 0.00494956-0.000807417j 7.40709e-05-0.00203461j 0.00226464+0.00972663j -0.00259758-0.000201177j -0.000377106+0.000264397j -0.00955051+0.00111079j -0.000919794+0.000292158j -0.00162106-0.000540969j 0.00602711+0.000967193j -0.000427494-0.000102594j 0.000888369-0.00599234j -0.00182522+0.0073863j -0.00307107-1.98248e-06j 0.00354073+0.00136267j 
-0.000249691-0.000502653j 0.00128146-0.00072432j 0.000967+0.00129825j 0.0153092+0.00512863j 0.0114466-0.0222821j -0.000402944-0.000383152j 0.0165733+0.0147553j 0.011632-0.0060698j 0.00545335+0.00353282j -0.0144137+3.30383e-05j -0.00452542+0.00730375j -0.00125254+0.0300349j -0.000728539+1.51284e-07j 0.012755+0.0011999j 0.00583546-0.000209879j 0.00262806+0.00103136j 0.0309931+0.0107593j -0.000128461-0.00181193j -0.0104032+0.0187063j -0.0121555+0.0164414j 0.0072846+0.00744255j 0.00767788+0.00557607j 
-0.00220467+0.0142053j -0.018151-0.00648219j 0.00731369-0.0120063j 0.0152564+0.00796392j 0.0154606-0.023365j -0.00101587-0.000478325j 0.0185546+0.0178853j 0.0128084-0.00752685j 0.00774147+0.00283355j 0.00836143-0.00340404j -0.000294631+0.0165096j -0.0033542-0.014829j 2.34726e-05-0.000165845j -0.0242798-0.00284209j -0.00356515+0.000146669j -0.00442951-0.00254734j -0.00136361-0.000684743j -0.00153698+0.000610345j 0.00829609-0.0177337j -0.000514482+0.00689956j -0.0079438-0.00426566j 0.00280029+0.00111444j 
-0.00166973-0.000111017j 0.000638036-0.0025557j 0.00211316+0.000785011j 0.00311596+0.00409238j 0.00844012-0.00329733j 0.000431062-0.000281027j 0.00039183+0.00934992j 0.00613589+0.00159769j 0.00622113+0.00449751j 0.00183372-0.00152839j -0.00779791+0.0140363j -0.00180664-0.00198477j -0.00127708+0.000808373j -0.0136165-0.00995441j -0.000888566-0.000965085j -0.00079018-0.00201453j 0.00813803+0.00793987j -0.000333558-0.000216621j 0.0076366-0.00696611j -0.0109539+0.0100914j -0.00456865-0.00315282j 0.00489668+0.00589437j 
0.000231639+0.000962298j -0.000247732+0.000594319j -0.000281321+0.000755043j -0.000897018-0.00127699j -0.0010205+0.0017688j 0.00040036+0.000710697j -0.00180422+0.000943487j 0.00219547+0.000488537j -0.000853143+0.00258991j 0.000229602-0.00139234j -0.00124226+0.000412458j -0.000872224+0.00117488j 0.000156833+0.0024545j -0.0017002+0.000703636j -0.000343825-0.00270854j 0.000964952-0.000323894j 0.00628608-0.00158281j 0.00264129-0.00101772j 0.000844987+0.000437088j 0.00554278+0.00816997j 0.000764766+0.000286649j 0.00551988-0.00512536j 
0.00266663+0.000644944j 0.00201722+8.15469e-05j 0.00336423+0.00206813j -0.00796022-0.00161788j 0.00272773+0.00381278j 0.00466744-0.00295269j 0.00677249+0.00534613j 0.00116771-0.0104456j 0.0127708-0.00512805j -0.0107074+0.00383496j 0.00301068+0.00979201j 0.00546275+0.00947622j 0.00294622-0.0038734j 0.000273822-0.00137154j -0.0048349+0.00798026j -0.00104274-0.000355416j -0.00594894-0.00582164j -0.00961173-0.00299444j -0.00201881-0.00697218j -0.00229571-0.0201156j -0.00620991-0.000368357j -0.0183302+0.00469073j 
-0.00175808-0.00378119j -0.000263137-0.000928333j -0.00149216-0.00402906j -0.000540008+4.11926e-05j 0.00278794+0.000448835j 0.00142735-0.000979777j 0.000884833+0.00300421j -0.000436389-0.00113365j 0.0142667-0.00590182j 0.00173343-0.00464423j 0.00796045+0.0139046j -0.00233698-6.01416e-05j 0.0048255-0.0084265j 0.00401396+0.00558593j -0.00113981+0.000817135j -0.00806942-0.00221566j 0.000273171-0.00464344j -0.004251-0.00344943j 0.00356546+0.0100716j -0.00160365-0.0129528j 0.00950636-0.00600959j -0.0141786+0.0026735j 
-0.00373337-0.0179763j -0.0012417-0.00403618j -0.0032062-0.0188868j 0.0099496+0.00631741j 0.00275475-0.00590855j -0.00437086+0.00102492j -0.00455128-0.00395179j -0.00593707+0.0097017j 0.0038412+0.000748106j -0.00146566-0.000969709j 0.000174496+0.00581522j -0.000358781+0.0026361j 0.0024802-0.00200334j 0.000538344+0.00132212j -0.00185922+0.000912198j -0.00148058-0.00166911j 0.00186195-0.00263346j -0.00177903-0.00313843j -0.00016143+0.00161576j 0.00195312-0.00490264j 0.00125646-0.000406123j -0.00568189-0.00163741j 
