-0.125686-0.14455j 0.171124-0.118918j -0.0519081-0.0559403j -0.00607165-0.020777j 0.0649583+0.00375917j 0.0661106+0.0770971j -0.0923784+0.0117697j -0.00862298-0.0858433j 0.0973779-0.212022j -0.016515+0.0151304j -0.0522607-0.045659j 0.194781+0.0349007j -0.0159326+0.0718048j -0.129268-0.126704j 0.10345-0.0504556j 0.0116524+0.159667j -0.0994541+0.0283311j -0.0474815-0.00847469j 0.0663541-0.00520583j 0.00660967+0.0998748j -0.00781633-0.151767j 0.010775+0.0341644j -0.165928+0.00801189j -0.169048-0.0329116j 0.0180868+0.063697j -0.0882915+0.0766461j 0.0829198-0.115152j 0.11545-0.0168395j -0.0271271-0.0108058j -0.0356205+0.000746883j -0.26878-0.0291024j -0.173689+0.09832j 0.0345212-0.0381718j 0.097039+0.0174462j -0.0214892-0.12301j 0.141967+0.0792247j 0.00545708-0.219618j 0.0581595-0.0358559j -0.0211941+0.0204688j -0.0258169-0.114181j 0.0352244-0.0846208j 0.0422847-0.0264693j 0.0731527+0.0661723j 0.225738-0.000893624j -0.0392655-0.105127j 0.0231554-0.142934j -0.0398419-0.0383416j 0.0374151+0.000322182j 0.0371748-0.0251737j 0.0119154+0.0344549j 0.00304457+0.00371479j -0.0100279-0.0592237j -0.00763289-0.031691j -0.010147+0.0210031j -0.0243708-0.00312491j -0.0049519-0.0078701j -0.0198313-0.0115616j -0.0127434+0.00900737j 0.0267348+0.0061172j 0.0297606-0.0492166j -0.0206384-0.0248783j 0.0188429+0.0205762j 0.0197275+0.0153456j 0.0197622+0.0258272j 0.00479486+0.0191853j -0.00518654+0.00361565j -0.0553428+0.0153034j 0.0115-0.061262j -0.0587759-0.0139662j 
0.151962+0.109462j -0.114246+0.0976504j 0.154428+0.0516068j -0.0473957+0.225792j -0.0338658-0.0196815j -0.000581695-0.0443334j -0.00980485+0.0351032j -0.0175869-0.0544496j 0.00556847-0.0703955j -0.0098421+0.0192746j -0.0123409-0.0435998j 0.138587+0.0898583j -0.0381202+0.0481763j -0.0815672-0.00166927j -0.130989+0.0628877j -0.0262523-0.0457145j -0.13453-0.00415437j -0.0670496+0.120598j 0.00754426+0.14836j 0.0023492+0.0497295j 0.0205006-0.00241769j 0.00879734-0.0176224j -0.0333782+0.0486215j -0.024275+0.0569996j 0.0827142+0.0459228j -0.0516064-0.000264466j -0.00736446-0.00965941j -0.160169-0.040274j -0.00636436-0.0390839j 0.0192135-0.00958324j -0.126013+0.0193897j 0.0264886-0.0195017j 0.118841-0.0471192j 0.0175533-0.022759j -0.0218682-0.04777j 0.0159744+0.0471709j 0.0428284-0.060849j 0.00214902+0.0171383j 0.010478+0.0273692j -0.0629063+0.0444253j 0.0108758-0.0543376j 0.0297422+0.0329926j -0.0194795-0.0770209j 0.0312398+0.0713597j 0.0876817+0.0037478j -0.103192-0.118661j -0.0208717+0.161455j -0.149609-0.0269259j 0.165346-0.0312335j -0.107382-0.0850996j 0.00866931-0.0582459j -0.00809265-0.00746948j -0.000499091-0.0542465j 0.0608359-0.0477796j 0.0461305+0.0481524j -0.0212086-0.0348533j 0.00915663-0.0839054j 0.0109486-0.172656j -0.0660334-0.086667j 0.0304845+0.00548515j -0.0628609+0.0892335j -0.0592386+0.0599903j 0.00167197-0.0760394j 0.0893886+0.0793439j -0.0449305-0.0875874j -0.00214403-0.0298726j 0.0890769-0.0200832j 0.0132673+0.26299j 0.265736-0.000294239j 
-0.160096+0.0579262j -0.0127206-0.144074j 0.0526449-0.0958878j 0.0773082+0.00525236j -0.0981193+0.052579j -0.0921323+0.0376127j -0.0217175-0.0333342j -0.0493696+0.0420101j 0.0327601+0.0362703j 0.00496162-0.063097j -0.0213326-0.0309448j -0.0171072+0.0176963j 0.0906951-0.0208869j 0.0172837-0.0260441j 0.0001238+0.213664j -0.189154+0.025918j -0.132524-0.0975809j -0.0686716+0.0156591j -0.043343+0.158329j 0.0201874-0.111482j 0.000189021+0.0318377j 0.0220869+0.0582062j 0.0771824+0.110885j -0.0177434+0.0383716j -0.0203952+0.0146317j 0.0700183-0.032029j 0.0264552-0.0422191j 0.0636692-0.0210652j -0.00067033-0.0846217j -0.0149916-0.0277359j 0.0276818+0.0534031j 0.0191223+0.0682499j -0.00332204+0.0445147j 0.0117896-0.0340339j 0.028244-0.0316312j 0.0577656-0.0253801j -0.0241411+0.0693728j 0.0400501+0.0748661j -0.0457413+0.0627612j 0.0134115-0.118057j 0.026636+0.0606813j -0.0863314-0.00273286j 0.116959+0.0724677j -0.0422197+0.0509348j 0.0902485-0.0285798j -0.0245703+0.00938341j 0.166345+0.068363j -0.185426-0.12793j -0.0352655+0.0534145j 0.0184473+0.110565j -0.0602318-0.0364653j -0.0276926-0.0133713j 0.0290426+0.0429j 0.119464+0.0918259j -0.0293289-8.94106e-05j 0.0347493-0.0732302j -0.102662-0.0750195j -0.0123384-0.0255867j 0.090969-0.0765294j 0.0821293-0.012763j 0.0618569-0.000218895j -0.139121+0.223396j -0.0531772-0.0751733j 0.215554-0.137364j -0.0931481+0.0334788j -0.047888-0.0828856j 0.0050576+0.120727j -0.0589418-0.119771j -0.123212+0.0505161j 
0.0134964-0.0189765j 0.0205719+0.00745087j 0.00732852+0.00409297j -0.00469791+0.0117935j -0.00524447-0.0089161j -0.0039227-0.00672546j 0.00774931-0.000229867j 0.000529939-0.0108443j -0.00274482+0.00231257j 0.00721874+6.34392e-05j 0.00158526-0.00477149j 0.000253448-0.000783037j -0.00392214+0.0164488j -0.00514298+0.00571983j -0.0283803-0.0253076j 0.0328655-0.0194443j 0.000588503+0.0142942j -0.0125708-0.0010897j -0.00906684+0.0306772j 0.0139295+0.00140152j 0.0190222+0.0013361j 0.0155998-0.0138584j 0.00546255-0.0116352j -0.00453121+0.00807206j 0.00657018+0.0140699j 0.00142888-0.0123193j -0.00488294-0.0155678j -0.000748202-0.0190888j 0.0110417-0.00472869j 0.00502519+0.00279375j -0.0128459+0.0106134j 0.0254223+0.00315613j 0.0164123+0.0175192j 0.0102595+0.0069425j 0.00145193+0.00182201j -0.00295533+0.00712189j -0.00317822-0.00146865j 0.00920498+0.00423835j 0.00982685-0.00248106j 0.00419555+0.00536752j 0.0269018+0.0160686j 0.00583329-0.00128716j 0.00677145-0.00263182j 0.0122619-0.00130726j -0.0103308+0.019338j 0.00959832-0.0274605j 0.000433526-0.00925362j -0.0604434-0.0413538j 0.00152+0.0199944j -0.0168651+0.0101209j -0.0069839+0.00085797j -0.00219549+0.00263288j -0.00567073-0.00419462j 0.00687325+0.00171123j 0.00252883+0.00073392j 0.0235934-0.00267249j -0.0062775+0.0104173j 0.00880439-0.0158347j 0.0363879-0.0400686j 0.0108298+0.00352482j 0.0545575+0.00463864j 0.00302392+0.00882527j -0.00616013+0.0289596j -0.0193075-0.0294733j -0.0228659-0.00360426j -0.00838141-0.02496j 0.0193343-0.0376872j 0.01527+0.038193j 0.0386208-0.0125831j 
-0.00911514+0.00797815j -0.0109946-0.0160743j -0.000320262-0.000526487j -0.006676+0.0211389j -0.0116818-0.000214476j 0.00694858+0.00488588j 0.00948914-0.000414627j -0.0110187-0.00576991j 0.00763086-0.0173304j -0.0047596-0.00554907j 0.000184804-0.00536893j 0.014751+0.00442101j 0.000939663+0.0122425j -0.00947839-0.011085j -0.000406037+0.00785916j -0.0125921+0.0211129j -0.0137661-0.00300259j 0.00191946+0.0101883j 0.0121989-0.0131974j -0.0107902-0.0141553j -0.00323308+0.00364499j -0.0111389-0.00687112j 0.0212162+0.00251239j 0.00261181+0.0186101j 0.00716179+0.0128833j 0.00262158+0.00786968j 0.00143643+0.00579893j -0.0134302+0.0139721j 0.0293798-0.00238147j 0.0148917+0.000136495j -0.0172035+0.00152503j 0.00168572+0.00429688j -0.015493+0.0012819j -0.0244681-0.00615177j -0.00670497+0.000113308j -0.0055426+0.023277j 0.00358753+0.00651718j 0.0121363-0.00523425j 0.00339164-0.00991654j 0.000847081+0.0107198j 0.00780682+0.0109945j -0.000182672+0.00845366j -0.01107-0.00141796j -0.00605804+0.0140466j -0.0028095-0.00148233j 0.0061393+0.00680754j -0.00197314-0.00117746j 0.011022+0.00431009j 0.00217462-0.00507597j -0.000409787-0.00987244j 0.00165235-0.0010994j 0.00166261+0.00260347j -0.000294371+0.00220741j 7.37363e-05-0.001227j -0.0003212+0.00177124j -0.0068652-0.00124973j -0.00116412-0.00620776j -0.00182719-0.00328438j -0.00797955+0.00777967j -0.00319121+0.00124103j -0.0122125+0.00542524j -0.00589555-0.00209505j 0.000919688-0.00675989j 0.00481666+0.0104116j 0.00325662-0.00447464j 0.00307739+0.00444327j -0.00340181+0.00523169j 0.00146587-0.00367364j -0.00215476-0.00153038j 
-0.00136496-0.0162209j 0.0231694+0.00982691j 4.8743e-05-0.0335825j 0.0290089-0.0139128j -0.00477535-0.00430349j -0.00113384+0.0129112j 0.00873434+0.00394045j -0.00368275+0.0151747j -0.00488741-0.0011234j 0.00936998-0.00891406j -0.0020984+0.00145545j 0.00877205-0.018688j 0.00663823+0.0122145j -0.00233637-0.00220056j -0.000654551-0.0018821j -0.00242836-0.00416174j 0.00898079+0.00544108j 0.0242816-0.0126806j 0.00756466-0.0131022j 0.0233394-0.00396918j -0.00863495-0.00927579j -0.00589907-0.000978056j 0.00165023+0.0122623j -0.0119808+0.00119653j -0.0139584-0.00187883j 0.0211252-0.00276754j 0.0236551-0.00231257j 0.0289327+0.00586154j 0.0131239-0.00134668j -0.00214862-0.000429376j 0.0263899+0.0025095j -0.00880139+0.00215357j -0.0206083+0.00479634j 0.0093254-0.00246868j -0.000904996+0.00420167j -0.00769857+0.00146087j -0.00924848-0.0107992j -0.00341096+0.00945367j -0.0131342-0.0194903j -0.0119808+0.00383311j 0.0074853-0.00584543j -0.0298675-0.0169697j -0.00229336+0.00597899j 0.0134704+0.0122403j -0.00313387-0.00143491j 0.0292219+0.00030726j -0.00899005-0.0289327j 0.00927303-0.00043246j -0.00925807+0.00400122j 0.0139388+0.0321567j -0.000619295+0.00934745j -0.00199141+0.0073149j 0.00478107+0.00738778j 0.00106284+0.00580785j -0.000963308-0.00186554j 0.00530115+0.0141827j -0.00136496+0.0174997j -0.000178065+0.022392j 0.0169685-0.00115027j 0.0228842-0.0126067j -0.00439131-0.0220551j 0.0100176+0.0169901j 0.0158811+0.00386736j 0.000343742+0.00426029j -0.000195458+0.0179815j -0.00306257+0.00296876j -0.0134339+0.017439j -0.0362957+0.0137611j 0.00514905+0.0390798j 
-0.00379473+0.0016288j 0.000427549-0.00202983j 0.00886298+0.0110337j -0.00788938+0.0120642j 0.00827857-0.00745346j 0.00899359-0.00268273j -0.00488293+0.000637832j -0.0046134-0.0176563j 0.00438486+0.00235604j -0.00844609+0.0175736j 0.0104154-0.000956147j -0.00221241+0.00977701j -0.00467609-0.00588889j 0.00969356+0.00299629j -0.00812387-0.00529294j 0.00753911-0.0082001j 0.00694846+0.0129856j 0.0177871-0.0155254j -0.0161098+0.00147305j -0.00598481+0.00107704j 0.00700975-0.00269888j -0.0022392-0.00267913j 0.0054785-0.0139456j -0.00268115-0.00581594j -0.00662366-0.0044387j 0.00341106+0.00879045j -0.01529-0.00741566j 0.00150405+0.004326j -0.000434927+0.00454125j 0.00265913+0.000108935j -0.00847069+0.00323145j -0.00205705-0.00715785j 0.0143751-0.00412362j -0.000857815+0.0075646j -0.000766079+0.00484218j -0.00161517+0.00550588j -0.00755209+0.00108166j 0.018163-0.00537787j 0.000730067+0.0167338j 0.0130195+0.0198892j -0.00914602+0.0135099j 0.0238203+0.0136152j -0.000621628-0.00598362j 0.0062036-0.0107219j -0.00776051-0.00864354j 0.00994629-0.0158782j -0.00546425-0.00703232j -0.00554813+0.000819994j 0.0062946+0.00595728j 0.00675869+0.0144022j -0.000523576+0.00270092j -0.00583963+0.00559731j 0.010606-0.0156893j -0.0104855-0.0125755j 0.0116843-0.0166123j 0.0154697-0.0238164j 0.0067316-7.87022e-05j 0.00131814+0.0122583j -0.0147642-0.00811249j 0.0181662+0.00417686j 0.00903188+0.0202066j 0.0306752+0.00324518j -0.0103062+0.00853295j 0.00659814-0.00553098j 0.00593016-0.00593943j -0.00253205+0.000534568j 0.00303366+0.00116827j 0.00475465-0.0228902j -0.0226507-0.0081324j 
-0.0124683-0.0031202j -0.00127352-0.0135293j -0.0172219+0.0135302j -0.00698125-0.0137119j 0.000239699-0.00377336j -0.00989775-0.020825j 0.00357794-0.0040444j 0.00962195-0.00752013j 0.000725811+0.00182063j 0.0101624-0.00776382j -0.00235571+0.00463807j -0.0129061-0.000689638j 0.00441455+0.00197956j -0.0090411+0.00396099j 0.0179307-0.0101655j 0.0094543+0.0269285j -0.00136907-0.0102095j -0.0149293-0.0173696j -0.0211341+0.0264426j 0.00811257+0.0180831j 9.90955e-06+0.00276198j 0.0115891+0.0015162j -0.0175679+0.00134063j -0.0017461-0.00322095j 0.0195411+0.0109299j -0.0132455+0.00752721j -0.00990551+0.00326663j -0.00993758+0.0104636j 0.00876603-0.00409069j 0.00607055-0.000798351j -0.0190569-5.45548e-05j 0.00715034-0.0019274j 0.00283538-0.00444298j 0.00597675+0.00289263j 0.015206-0.0121768j 0.00869261+0.00569452j 0.0069011+0.00516395j 0.0152459-0.00745907j 0.0105098+0.00791595j 0.0182536-0.00221557j -0.00687275+0.0145802j 0.0136166+0.016335j -0.013201-0.00157232j -0.0298114-0.0114188j -0.0127838+0.0267526j -0.000881361+0.00224807j 0.00895468+0.0205531j -0.0109765+0.00928014j -0.00220846+0.00439337j 0.00147431-0.00110478j -0.00078903+0.00282293j 0.00100507+0.00196586j 0.00130315-0.0076997j -0.000155275-0.0209593j 0.00611051-0.00884513j -0.00567303-0.000738136j -0.00326792-0.00477022j -0.00787676+0.000722158j -0.0147707+0.00722555j 0.00385484+0.0225599j -0.0112354-0.00437323j 0.0063206+0.00283872j -0.0181337-0.00440689j 0.00764149-0.0128324j 0.000413861-0.000512373j -0.00206098+0.00266625j 0.0156884+0.00399597j 0.011079-0.0209136j -0.0212115-0.0163637j 
-0.0138389-0.0105875j 0.00608615-0.00692619j 0.000814225+0.0122795j 0.00274575+0.00524017j 0.0103666+0.0031175j -0.00837604-0.0276408j 0.0037887+0.00156148j 0.00649034-0.00899168j -0.00516881+0.00389669j 0.00919703-0.000442731j -0.00771389+0.00696787j -0.00317928+0.00668867j 0.00978975-0.00253581j -0.00502154+0.0062123j -0.00928306+0.0159637j 0.0106241+0.00970004j -0.0195131+0.0244923j 0.032327+0.0194454j -0.0120422-0.00154535j -0.0284577+0.00584736j 0.020199+0.00120342j -0.0143253+0.0120311j 0.0151602-0.000409123j -0.0230049-0.00180168j 0.00029126-0.00273999j 0.00929558+0.00401983j -0.0210611+0.00747451j 0.004706-0.00572228j -0.0154573-0.00143631j -0.0120282-0.00112907j 0.0105056-0.00353225j -0.0185512-0.0139387j -0.0203058+0.0100479j -0.00131688+4.76114e-05j -0.00425028-0.0076117j -0.00244346-0.00742591j -0.00346569-0.00782856j 0.0134852+0.00412974j 0.00902847-0.0103019j -0.0297342+0.00145266j -0.0226542-0.00501202j 0.0184686+0.00283377j 0.00557355-0.0349539j -0.0139256+0.00323287j 0.0122673-0.000639288j 0.0144345+0.00751892j -0.0175268-0.0247971j 0.00799192-0.00407203j 0.0155227+0.00750869j 0.0215669+0.000108586j -0.0115768+0.00632659j 0.00448252+0.00620313j 0.00450522-0.0253981j -0.0019661+0.00611747j 0.00707676-0.0161122j 0.00531128-0.0641835j -0.00916898+0.00798518j 0.00574122+0.0302552j -0.0192488+0.00395816j 0.042079-0.0145746j 0.024413+0.0282527j 0.00997402+0.00977645j 0.0188474+0.0047584j -0.00110556+0.0242174j -0.000796775-0.0133344j -0.000449831+0.000218264j -0.0155664-0.00449516j 0.00572731+0.00711228j 0.00870108-0.00488794j 
8.29914e-06-0.00767013j 0.00431968+0.00324069j -0.00218081+0.0209822j -0.0163016+0.00852966j -0.0121499+0.0280136j -0.006441-0.00253958j -0.00797483+0.00970144j -0.00907044+0.00860857j -0.0225679-0.00775679j 0.00110001-0.0204565j -0.0271721-0.0179565j -0.00264872-0.00846435j -0.00778521-0.0181068j -0.00147287-0.0203791j 0.00470384+0.000694617j -0.000117793-0.00947957j -0.0080318+0.0065353j 0.0138006-0.011584j 0.000466198+0.00219461j -0.00615407+0.00890555j 0.00792488+0.00568281j -0.00120985+0.00324572j 0.000855421+0.00508414j -0.00447815+3.85885e-05j -0.0127896-0.00825504j 0.000588739-0.00881141j -0.0043618-0.000805496j -0.00359395+0.00253691j -0.00307479-0.000331043j 0.00125565+0.0267225j 4.34241e-05+0.00915449j -0.00952363+0.000567469j 0.0102295-0.00417702j -0.00240707+0.00223798j -0.00450088-0.00435675j -0.00755973+0.00902464j -0.0150281+0.00732584j -0.00716849+0.000480054j -0.000412037-0.00635989j 0.00637431+0.00236858j 0.00615344+0.00139298j 6.99339e-05+0.000536371j -0.00335484-0.00910034j -0.0107351-0.00251176j 0.000162938-0.00208439j 0.00361377+0.00101794j 0.00108355-0.00195062j 0.00102386-0.000833951j 0.00466021-0.00116968j 0.00840662-0.000483106j -0.00588754+0.000636426j -0.0273709+0.00143203j -0.0198833-0.00504772j 0.00126937-0.000485504j 0.00790238-0.00489141j 0.00320212-0.0100314j 0.0018695+0.00260452j 0.00384939+0.00462363j -0.00012828-0.00106332j 0.00545646+0.000273848j 3.94609e-05+0.00596243j 0.0065667+0.00192391j 0.000517243+0.00159752j 0.000591098+0.00166264j 0.000416695-0.00235682j -0.00046904+0.000307935j -0.00130754-0.000397471j 0.00150091-0.00130629j -0.00118027-0.00184964j 
0.00165946-0.0132549j 0.00883314+0.00793604j 0.0127267+0.0123124j -0.00793967+0.0180899j 0.00595744+0.00816827j 0.00160754-0.0112988j -0.00413786-0.00201213j -0.00136191-0.0134313j -0.0051262+0.00243828j -0.00274438+0.0102362j -0.00311494-0.00549346j -0.00621621+0.00465861j -0.00179969-0.00967885j 0.0122976+0.00377459j -0.0103617+3.4163e-05j 0.0166703-0.00416634j -0.0211123+0.0144728j 0.0146874+0.0173722j -0.00188528+0.00205708j -0.00905206-0.00663716j 0.0145616+0.0124621j -0.0169058+0.0067694j 0.00091251-0.00663379j -0.00201957+0.0105397j 0.00276591+0.00285253j -0.00220601+0.00171994j -0.0134937+0.00196861j -0.0049985-0.0151608j -0.00209655+0.00378158j -0.00174606+0.00355283j -0.00377962-0.00377919j -0.00120808+0.00594065j -0.00228055+0.00453387j -0.0113974+0.00109236j 0.0014113-0.00259069j -0.000857763+0.0032009j -0.00235708-0.0028465j -0.00243147-0.000129025j -0.00291999+0.0175705j 0.0139485+0.00463718j -0.0310775-0.00386995j 0.00615022+0.0170991j 0.00789406+0.0181951j -0.000502833-0.0109671j -0.00331558+0.00363782j 0.0134604+0.00241147j -0.0189814-0.00388088j -0.00766835+0.00562097j 0.00271213+0.00331889j 0.0194559-0.0161972j -0.00865365+0.0122501j 0.00670418+0.0080252j -0.0112227-0.0179324j 0.00830147-0.0129127j -0.0241879-0.00237297j -0.00141298-0.0290411j -0.00835306+0.00321086j -0.0098591+0.013392j -0.0166109+0.017923j 0.0118764+0.00821804j -0.000956362-0.00718175j -0.00406753+0.00611056j -0.0117752-0.00196546j -0.00462054+0.00417596j -0.00503862-0.00388392j -0.00208611+0.00271459j 0.00429733-0.000264911j 0.00130899+0.00455867j 0.0042209+0.00101038j 
