0.00060994+0.000259061j -0.000332953+0.00021192j -0.001095+0.000268874j 0.000139921+0.000901908j 0.000227036+0.000235021j 0.000161061-0.00181768j -0.00166907-0.00207936j -0.00200029-0.000837473j -0.00140203-0.00113759j -0.000179639+0.000369464j -0.00204642+0.000435899j 0.000343547-0.000743854j -0.00311915-7.48255e-06j -0.000380213-0.00053713j -0.00290112+0.00276315j 0.00407224+0.00284404j -0.00526468-0.00455643j -0.00475776+0.00533306j -0.00260268-0.0047321j 0.00206728-0.00214499j -0.00747763+0.00775444j 0.000912104+0.00217383j -0.0065362+0.00598653j -0.00407318+0.00356913j 0.000993631-0.0016972j 0.00408624+0.00441474j 0.000423187+0.00199796j 0.000279216+0.00140766j -0.00280687-0.00317325j -0.00697328-0.0134932j 0.000881971+0.00138941j 0.000574068+0.00249809j -7.95562e-06-0.000600524j 0.0135283-0.00175484j 0.00394736+1.37898e-06j -0.000831851+0.0070896j 
0.00121879-0.00191958j 0.00100134+0.00207601j -0.0036776+0.00506618j 0.0066052+0.00524014j 0.00407192-0.00438446j -0.00172594-0.00824557j -0.00855779-0.000476754j -0.00962575+0.00767184j -0.00962375+0.00182733j -2.03587e-05+0.000673873j 0.00448382+0.00710355j -0.00104242-0.00135672j 0.00275461+0.0148282j 0.00033123+0.00202841j 0.0109997+0.000563088j -0.000929402-0.00463039j 0.00525464+0.0129933j 0.00481172+0.00326848j 0.00140615+0.0150961j -0.00494584+0.00106738j 0.0167724-0.00319204j 0.00460147+0.00308227j 0.0227883-0.00457555j 0.0140814-0.00410957j -0.0039533-0.000792504j 0.00156003+4.13145e-05j 0.00152969-0.000598059j 0.000401408-0.00250876j 0.00269693+0.00616957j -0.00196781+0.0293752j 0.0028093-0.00305549j -0.00776793-0.00275404j 0.00347507+0.000973121j -0.0157856-0.00897686j -0.0039239+0.00141397j 0.00524688-0.00459255j 
-0.00236417-0.000774668j 0.000919125-0.0021497j -0.00229455+0.00112005j 0.00207639+0.00321451j 0.0022103-0.00178858j 0.000445053-0.00672452j -0.00702941+0.00433051j -0.0105299+0.000145269j 0.00463048-0.00039051j 0.000112229-0.000348452j 0.00281467+0.0155799j -7.04419e-05-0.000594101j 0.0014541+0.00353576j -0.00784182+0.000808584j 0.00925+0.000844083j -0.00690952-0.00939274j -0.00267862+0.0103966j 0.0165337-0.0109389j -0.00839254-0.0060243j -0.00694236+0.00140086j 0.0185924-0.00291119j -0.00363952-0.0109369j -0.0079546+0.0041395j -0.00562155+0.0035646j 0.000601453+0.00112319j -0.00314971-0.03051j 0.00119589-0.00368036j -0.00104497+0.00333203j 0.00128814+0.00797692j -0.000181072+0.00417721j -0.000946785-0.00111179j 0.0221887+0.00120421j -0.0113329-0.00102673j -0.0151262-0.00178408j -0.00158258-0.0133274j 0.00391974-0.00794214j 
-0.0206521-0.0115983j 0.011097-0.0192932j 0.0147821-0.00709257j -0.00778547-0.0185362j -0.012428+0.0036771j 0.0021539+6.96256e-05j -0.00261619+0.00413373j 0.000437569-0.00733297j 0.0119086+0.00397436j 0.000489162+0.000265347j -0.00422336+0.00600521j -3.25555e-05+0.000710645j 0.00305859-0.00787299j -0.00414295-0.00323708j -0.00175298-0.000403933j -0.00136422-0.00341239j 0.0019862+0.00239298j 0.00589622+0.000711931j -0.00453175-0.0124386j -0.00313328+0.00348929j 0.0102922-0.00991995j 0.00763499+0.00154194j -0.0180742+0.000914605j -0.0148239-0.00146645j 0.0010913-0.000770035j -0.000574314-0.026515j 0.00117653-0.00160333j -0.00460881+0.00578223j 0.0141749-0.00224702j 0.00618275-0.0101672j -0.00103858-0.000703924j 0.0158554+0.0114886j -0.00678698+0.00298112j -0.000431317+0.00648054j 0.00454029-0.00593659j -0.00162727-5.2218e-05j 
0.00815805+0.00524652j -0.00490615+0.0076915j -0.00799907+0.00390011j 0.00497125+0.0107794j 0.00778275-0.00324858j 0.00195602-0.00994552j -0.00591348-0.0123036j -0.0124264+0.00658286j -0.019974-0.00875448j -0.000490028-0.000438144j 0.00226112+0.00337328j 0.000423618-0.000481095j -0.0127886+0.0181386j 0.00117986+0.00543574j 0.008+0.00910291j -0.00266852+0.000899487j 0.00690211-0.000215513j 0.00232456+0.000768994j -0.00172175-0.0157003j -0.00247647+0.00497704j 0.00712155-0.0158097j 0.00990502+0.00452686j -0.0266633-0.00260641j -0.0205222-0.00534847j 0.00240122-0.000899158j 0.000760698-0.0291918j 0.000964832-0.000628889j -0.00565465+0.00786953j 0.0199316-0.00485065j 0.012135-0.0225032j -0.00174554-0.00087802j 0.0193752+0.0170321j -0.00921703+0.00395926j 0.00811343+0.0116032j 0.00806236-0.00740239j -0.00353452+0.00414308j 
-0.00117424-0.00129755j 0.000867206-0.00147128j 0.0202353-0.00528518j -0.00467926-0.0272836j -0.0187951+0.0013019j 0.00342816+0.00816139j 0.0142431-0.013262j 0.00449682+0.00968018j -0.0251006-0.0164302j 0.000142081+2.43287e-06j 0.0122647-0.0186916j -0.000232021+0.00016195j -0.0156175+0.0155269j 0.0121088+0.0142033j 0.00241059+0.00426914j 0.00125632-0.00379038j -0.00162119+0.00167061j 0.00644029-0.00101599j -0.0010526+0.00491801j -0.000901952-0.00148259j 0.00290357+0.00338734j -0.00245549-0.00528315j 0.00761666+0.00170271j 0.00440704+0.00234836j -0.000353725+0.00151224j -0.00025227-0.00183322j -0.000296329-0.000117075j 0.00150685-0.00121106j -0.00360617+0.00324556j -0.00457343+0.00875907j 0.000482367+0.00026355j 0.0028096-0.00356806j -0.00121078+0.000352162j -0.00736997-0.00457607j -0.00287977-0.0032723j 0.00251761-0.00409729j 
-0.0219043-0.0264734j 0.0254305-0.0208191j -0.0132419+0.000657928j -0.000658894+0.0172587j 0.0102738+0.0014224j -0.00232661-0.00174353j 0.00209937-0.00364004j -0.00379147+0.0059523j -0.00942709-0.00671758j -0.000260736-0.000477341j 0.00392057-0.00256699j 0.000364379-0.000370456j -0.00571045+0.00713192j 0.00210284+0.00340162j 0.00212113+0.00215354j 0.00263532+0.00527907j 0.00376069+0.000935014j -0.00964027+0.0058758j -0.000872986+0.00243376j 0.00044534+0.00084724j 0.00151407-0.0031655j 0.00401898+0.0125774j 0.00287167+0.00315421j 0.00126939-0.00151417j 7.83568e-05-0.00184236j 0.000297135+0.00367158j -0.000642151+0.000657483j -0.00147849-0.00118811j 0.00877307-0.000391248j -0.00619246+0.00154476j 0.0002325+0.000880397j -0.00752526+0.000108312j 0.00243533+0.00567185j 0.0024318-0.00322143j -0.000909681+0.0041239j 0.00050589+0.00119931j 
-0.00470234-0.00660798j 0.0063927-0.00446846j -7.55834e-05-0.000288924j 0.000161107+0.000178482j -1.89435e-05-0.000713189j 0.00227165-0.00772481j -0.00920266-0.000892759j -0.00866136-0.00316434j 0.00246719+0.00269432j -6.36168e-05-0.000399891j -0.00430906+0.0127465j 0.000205899-0.000305249j 0.000289544+0.00267561j -0.00636635-0.00276173j 0.00559157+0.00330528j -0.00682326-0.00495834j -0.00891569-0.0093661j 0.0162277-0.0170413j 0.00598145+0.0105158j 0.00519613-0.00553352j -0.0258435+0.0157856j -0.0167932-0.0374905j 0.0138856-0.00524406j 0.0132823+0.00900346j -0.00183902+0.00537331j -0.00718606+0.0282883j -0.00117008+0.000641049j 0.0110651-0.00274518j -0.0423435-0.00410442j 0.00697797+0.00324673j 0.000126833-0.000228062j 0.00172374-0.0174407j 0.00462924-0.0179445j -0.000898856+0.000660592j -0.00297063-0.00384901j 0.000316153-0.00121395j 
-0.00170433-0.00283281j 0.00283599-0.00182652j 0.00721509+0.00128233j 0.00360771-0.00857867j -0.00503479-0.00438309j 0.00491321-0.0135856j -0.00765178-0.0109501j -0.0193202-0.00266333j -0.008937-0.0128547j -0.000205997-0.000111529j -0.00310539+0.012344j 0.000693335-0.000224812j -0.0178418+0.0108995j -0.00442391+0.00243255j 0.00572046+0.0122344j -0.00457255+0.00561984j 0.00403647-0.00893503j -0.00274786-0.00457997j 0.0080753+0.00551326j 0.00560047+0.000123242j -0.0202019-0.00171886j -0.00272647-0.0079981j 0.00351364-0.00805362j 0.0035319-0.00160806j -0.000640145+0.00167746j -0.00409553+0.0230707j -0.0017429+0.00241113j 0.00365502-0.000224781j -0.0113291-0.00844096j 0.0121003-0.00812007j 0.000184533+0.000263087j -0.00759424-0.00331378j 0.00598512-0.00590655j 0.0119693+0.00877895j 0.00242547+0.00494936j -0.00496389+0.0062603j 
0.00148298-0.00552608j 0.00637979+0.00110329j -0.0148006-0.00259548j -0.00637525+0.0187327j 0.0118578+0.00680627j -0.0065991+0.0121443j 0.0173028+0.00415524j 0.0109167+0.0129772j -0.00594976-0.0104075j 0.000427514-0.000425908j 0.0170546-0.0163079j -0.000248053+0.000772981j -0.00246956-0.00354144j 0.00536662+0.0103596j -0.00588752-0.00386207j 0.00299346-0.00824388j -0.0039102-0.00760594j 0.0172036-0.00214866j 0.00320835-0.0014999j 0.00242398+0.000106525j -0.00983514+0.00350071j -0.00145965-0.0226349j -0.00136761-0.00612011j -0.00295604+0.00356031j -0.00169312+0.00337556j -0.00282939-0.000696386j 0.000733143-0.00105828j 0.00170297+0.0020664j -0.0141072-0.00516921j 0.0103276-0.000947052j -0.000271552-0.000653579j 0.00842637-0.000611082j 0.000387739-0.00760624j -0.00309511+0.00649441j 0.00120443-0.0026242j -0.00283148-0.00131838j 
-0.000127609+0.000807939j -0.000694716-0.000821513j 0.00166072+0.00165695j 0.00363472-0.00331837j -0.00336347-0.00317002j 0.00321906-0.00522047j -0.00637409-0.00292977j -0.00630711-0.00343476j -0.000709511+0.00202667j -0.000763455-3.87831e-05j -0.00373741+0.00710236j 0.000795906-0.000655281j 0.00138914+0.0045686j -0.00188336-0.0022338j 0.00358864-0.00174447j -5.06004e-05+0.00240159j -0.000158267+0.00236546j -0.00453279-0.000731351j -0.00210839+0.00181247j -0.0029959+0.000131567j 0.00382761-0.000913807j -0.00102736+0.00462088j 0.00508135+0.0018837j 0.00205491-0.00107102j 0.00195031-0.00135092j -0.00151556-0.00223528j -0.00215122+0.00119385j -0.00342915-0.00171152j 0.00402796+0.00405665j 0.00035274+0.0107529j 0.00119878+0.00330478j -0.00275111-0.00191318j -5.69465e-05+0.00224979j -0.0117783+0.00569424j -0.00407473+0.00240049j -0.0057575-0.00793036j 
