0.0254451-0.158986j 0.153488+0.0470531j -0.0645227-0.0690426j 0.00923709-0.153862j -0.144627+0.0591099j 0.10755-0.0648899j -0.0573743+0.0617863j -0.0561836-0.105276j -0.0312528+0.0298159j -0.0254592-0.0271876j 0.0801384+0.0186032j 0.058346+0.021962j -0.0622262-0.0753005j 0.0818339-0.0156875j 0.011862-0.0457032j -0.0234855-0.0612864j -0.0641355-0.00924527j -0.111983+0.0161783j -0.0186094-0.00501801j 0.110661-0.0437808j -0.0592366-0.0773261j -0.0289839-0.0551407j -0.00729674+0.117337j 0.00357593+0.0282609j -0.0536916-0.0877005j 0.00349749+0.025154j -0.00436413+0.0895308j -0.0266972-0.0779779j -0.0152492-0.0711841j -0.0941072-0.0277022j 0.056945-0.0764312j 0.0697051-0.0510594j 0.0318568-0.123094j 0.0642643+0.0666443j -0.00860543+0.00646124j 0.126588-0.0288171j 0.03076-0.0650535j -0.000647484+0.124914j 0.0245434+0.0361256j -0.0342431+0.00756391j -0.0131509-0.0313719j 0.0141519+0.034562j 0.0267896+0.050762j 0.0416771-0.0165398j -0.0108383+0.01122j -0.0421191-0.0402196j 0.0138481-0.0484988j 0.0044649+0.0145338j -0.0120701+0.108431j 0.0456672+0.0127945j -0.0131047-0.0573676j 0.025251+0.0354725j 0.0448429-0.016912j 0.00617911+0.036852j -0.0308722+0.0134924j 0.0397745+0.0589906j 0.0240733+0.0773291j -0.0452341-0.00176528j 0.042731+0.0621189j 0.0680974-0.0125848j 0.0236375+0.00940543j 0.0489368-0.0493831j -0.0493738-0.057002j -0.100987+0.0883691j -0.0903733+0.0311324j 0.0063355+0.0276344j 0.0882831+0.0149355j -0.0227718+0.138219j 0.0206714-0.00707828j -0.174006-0.0238627j -0.00766684-0.0155843j -0.0559486-0.0675572j 0.0141359-0.0859531j 0.00546931+0.0806859j 0.0705233+0.070714j -0.0250862-0.0400072j -0.125653-0.00377563j 0.0534724+0.0349912j 0.00819986-0.0685323j -0.049953-0.100873j -0.0582575-0.00174829j -0.0366117+0.0920736j 0.0372624+0.0433622j 0.0826841-0.1509j 0.00380672-0.0688681j 0.0454675+0.0521313j -0.13286+0.0292782j 0.037593+0.122259j -0.223815+0.0479564j 0.0526949+0.153353j 0.0974219+0.0151364j -0.00450956+0.101364j 
0.180434+0.00973611j -0.0307525+0.146838j -0.00152812+0.151308j -0.0988076+0.0380609j -0.0085152+0.0407855j 0.00332887-0.0169606j 0.141518+0.0584416j 0.0225657+0.00559792j 0.0682277-0.160681j -0.00220585-0.0615832j -0.0268247-0.0148153j 0.0272206+0.0442671j 0.0301167+0.0502144j -0.174373+0.0357804j 0.0950296+0.00154821j -0.0746338+0.028698j 0.0720634+0.0814055j 0.0570346+0.0275586j 0.0342495-0.0619422j -0.0446399+0.0233478j 0.0126121+0.148685j 0.0821249+0.100696j 0.120216+0.0883894j 0.00309267+0.045424j 0.034857+0.133479j -0.24036+0.0091658j 0.12659-0.0174792j -0.0775068+0.0163101j -0.0294532+0.0513606j -0.0313237+0.00262246j -0.00405024-0.135654j -0.0803275+0.0918978j -0.0281195+0.019203j -0.137869+0.0704014j 0.052174+0.102226j 0.0146503+0.0532231j 0.00066083+0.0303413j -0.105864+0.0115027j -0.0865375-0.000526891j -0.0295408-0.0233243j -0.0131981+0.124618j -0.0229441-0.0856951j -0.0424373-0.0320133j -0.0188624+0.0238598j 0.011703-0.0355787j 0.0368333+0.00573708j -0.0171948+0.0216639j -0.00808579-0.0801911j -0.0157435-0.109525j -0.0128712-0.0140695j 0.0162303+0.00284833j -0.0138212-0.0066477j 0.0849733-0.101103j -0.0277501+0.0420397j 0.016644-0.00605575j 0.0680587+0.124856j 0.0151662+0.0654924j 0.0197413-0.0341681j 0.030573-0.0600685j -0.0109059-0.0346227j 0.0433237-0.0822927j -0.100409+0.0505643j 0.14842+0.045844j 0.121467+0.0751887j 0.0160954-0.145392j -0.0238585-0.0654072j 0.0225186-0.136766j -0.0110174-0.0269227j -0.035974+0.0426325j -0.085841-0.0108378j 0.0017023-0.00576886j -0.0216336-0.0547349j 0.0255718-0.0140791j 0.0113924+0.111573j 0.0182304+0.0158978j -0.015026+0.0414808j -0.066997-0.0295491j -0.0246839-0.00838017j -0.0164714+0.0101046j -0.0616903-0.0614682j -0.0280294+0.0315086j -0.00147831+0.0377064j 0.0411905+0.0387816j 0.0251983-0.051144j 0.0217066-0.0366528j 0.0499466-0.00288559j -0.0230955+0.056521j 0.0584593+0.0387374j -0.119157+0.0142671j -0.0180222+0.0694822j 0.0119854+0.117701j -0.115434+0.0133104j 
0.0430774-0.0193791j 0.0129499+0.0489605j -0.145467+0.0506536j -0.0171489-0.125003j -0.0359038+0.0826497j 0.144582-0.026013j 0.0900739-0.00692391j -0.130234-0.0667105j 0.00214232+0.00767579j -0.0161242+0.100018j -0.11573+0.212017j 0.0341616+0.0100646j 0.0166528-0.197261j -0.0484688+0.0475855j -0.0881308+0.0869163j 0.00397822+0.0273697j 0.0264234+0.0348922j 0.0248362+0.133004j -0.105479-0.140156j -0.0187462+0.056174j -0.0419642+0.1248j 0.248788+0.0316687j -0.00286502-0.117208j 0.0337493-0.0628105j -0.151539-0.203421j 0.103807-0.0160378j -0.0428371+0.0534811j 0.0941777+0.0801147j -0.054304+0.0369907j -0.0676296+0.0852248j -0.00649975-0.0127491j 0.0345653+0.0100515j 0.0662275+0.0675299j -0.0232752-0.121241j -0.0960064-0.0357759j 0.000671718-0.0289777j 0.00181974-0.0184465j 0.0713535+0.041879j 0.208518+0.131313j -0.0304457-0.107341j -0.0214453+0.0817689j -0.0124289-0.0415774j 0.0353704+0.02056j -0.00439746-0.0405895j 0.00258189+0.000242238j 0.0898138+0.00339129j 0.0395583-0.042485j -0.010965+0.00486395j 0.00966738+0.0616145j -0.0999186+0.140267j -0.0222786+0.125015j 0.0944821-0.042566j 0.149489-0.0214218j -0.0927233+0.0493159j 0.0734694-0.071089j 0.0416242-0.0155563j -0.101938+0.0275486j -0.0230181-0.0160098j -0.0278458-0.0129541j -0.120468+0.101099j 0.0635007-0.00384246j -0.00398918+0.00590131j 0.0480011+0.0130451j 0.0283801-0.0354722j 0.0494721-0.0584541j 0.055427-0.0175752j -0.0421841-0.0237778j -0.00514999-0.00606383j -0.0108601-0.00145816j -0.0135213-0.0265649j 0.0137691-0.00845107j 0.0161914+0.00810008j 0.0202405-0.00354705j -0.0559975+0.00251047j 0.0246128+0.0623285j -0.0704359+0.0253817j 0.0290682+0.0559929j -0.00390324-0.0268253j -0.0120857+0.00955517j 0.0104213+0.0262948j 0.00341908+0.0142141j 0.0160099-0.0262605j -0.013926-0.0312038j -0.046264+0.019177j -0.021361+0.0341945j -0.0118252-0.0422917j 0.0159887-0.000999985j -0.0138246+0.00369937j 0.00478509-0.00100035j -0.00864766-0.00836964j -0.00574579+0.00105688j -0.00203188-0.00604956j 
-0.16506-0.0323084j 0.0517989-0.110782j -0.0898319-0.0179722j 0.0335644-0.180906j -0.128341-0.0951689j -0.0471493-0.000198754j -0.0104361+0.03582j 0.0498922+0.0644864j 0.0750556-0.0497044j 0.0076577+7.58649e-05j -0.0113743-0.00314055j 0.0107209+0.0720066j 0.0422147+0.0607931j 0.0119984-0.00466568j 0.0643304+0.0123541j -0.0396425+0.00402376j 0.0335797+0.0473502j 0.0951183-0.0402938j 0.0565381-0.0334171j -0.0082682+0.0643557j 0.0865672+0.0104739j 0.109042-0.0128084j -0.0434433-0.0629928j 0.0590554-0.0280935j 0.0364066+0.0479175j -0.0975738+0.0719557j 0.00527434-0.0112749j 0.0186299-0.0360039j 0.0147575+0.116128j -0.0406155+0.0300372j 0.032246+0.0581503j -0.0301324-0.0149036j -0.0617215-0.0665608j -0.0266389+0.0761603j 0.0061603+0.0300136j -0.0214124+0.0332807j 0.0742519+0.0323741j 0.0475212+0.043768j -0.0582063-0.00931363j 0.0187484-0.0553063j 0.0200829+0.0715019j -0.017886-0.0649601j -0.0572927+0.0271343j -0.0378636-0.0328303j 0.0111957-0.0257158j 0.0503782+0.0460833j -0.0107902+0.0181314j 0.0221433-0.0643666j 0.0398634-0.0998993j 0.000733572-0.0579509j -0.054902+0.0649701j 0.0558239-0.0469687j -0.00708726-0.0211011j -0.0641407-0.00260348j 0.0058949-0.0380035j 0.0461703-0.0464332j 0.0346554-0.0595533j -0.0441901+0.0370091j -0.0389713+0.00974045j 0.0465489+0.0124977j 0.0404396+0.0793698j -0.051969-0.0916244j 0.0752653-0.0630898j -0.0115445+0.0577861j 0.0332434-0.079391j -0.128053-0.00709296j -0.0545023-0.0649908j 0.0690041-0.0415308j -0.0265699-0.0141274j 0.043581+0.0286333j 0.0147834+0.0455471j 0.0615757-0.000461778j 0.0596654-0.0199851j -0.0553448-0.0369017j -0.00104891-0.0185269j 0.0203103+0.0591618j -0.0220081+0.0493215j 0.0263048+0.0328558j 0.0148634-0.0254489j 0.0648165-0.00898417j -0.0065876-0.015712j -0.0635249+0.0557534j -0.0204752+0.0307016j 0.0172585+0.0503531j 0.0301333-0.00579273j -0.000678722-0.0901479j 0.0271659+0.00792799j -0.0577761+0.0591933j -0.0661857-0.132977j -0.0443743+0.0633657j 0.0398296-0.233428j 0.246118+0.0469182j 
0.0161082+0.0525084j -0.0416987+0.0229935j 0.0304967-0.0808944j 0.100781-0.0604519j 0.0106777-0.0724241j -0.0652549-0.164151j 0.118696-0.0760072j -0.10466+0.0455994j -0.076621-0.0568108j 0.066016+0.000594185j 0.0520927-0.015183j 0.0525112+0.0538573j -0.0483341-0.0345216j -0.0497962-0.00105178j 0.0322999-0.0161929j -0.00682261+0.0127915j 0.0387554+0.0581314j -0.0527857-0.00239022j -0.0312361-0.0250888j 0.0173435-0.0461995j -0.0563126-0.0575216j -0.00940141+0.000805821j -0.0340891-0.0244521j 0.144887-0.000165299j 0.0575044+0.054939j 0.0210259+0.0934232j 0.0539005+0.00699269j -0.0530422+0.0481589j -0.121531-0.122539j 0.0368384+0.0967409j 0.120072-0.114893j 0.116139-0.0595171j -0.020486-0.0141574j 0.00831248-0.0345375j 0.0582817+0.0695928j -0.111906+0.11057j 0.0827546-0.0162709j -0.060078-0.0126253j 0.0482378-0.0174335j -0.00114072-0.0163783j -0.0286455-0.0189391j 0.00276862+0.0108184j 0.0497821+0.0358969j -0.0143813-0.0640044j 0.0215024+0.0575151j 0.015337+0.0193242j -0.0804355+0.069983j -0.0267969+0.0534741j -0.0492723-0.0235978j 0.0513571+0.0242337j -0.00695968+0.0480672j -0.0479664+0.0103292j -0.00171774+0.0284771j -0.0366469-0.031604j 0.0185554-0.0717659j -0.00778107-0.0502548j -0.101674+0.00601318j -0.0706967-0.047669j -0.0103341-0.0711947j 0.0483389-0.0106961j -0.150047-0.0628091j -0.104477+0.0262129j -0.0469405+0.00286318j 0.00693267-0.0203555j -0.0773064+0.137209j 0.0682963-0.032379j 0.0234608-0.00178245j 0.077908-0.0522095j -0.0166286+0.00332885j 0.0427032+0.00498861j 0.0199793+0.0148877j -0.160286-0.141575j 0.0821237+0.0265362j -0.0770247-0.089187j -0.00712526+0.00139501j 0.0144089+0.0314544j 0.0105102-0.0301428j -0.0290004-0.0794876j 0.0444454-0.199941j 0.00661976-0.0803127j -0.0873426-0.116028j 0.135042-0.219921j -0.145278-0.0722609j -0.0685117+0.0102888j -0.0151937-0.14784j 0.108546-0.103296j 0.0942996+0.0583398j -0.00546113+0.00309905j -0.0352514-0.0666627j -0.0394006+0.0286081j -0.0205654+0.00228227j -0.000912894-0.0138575j 
0.0151255+0.00197084j -0.00258956-0.000318982j 0.0199376+0.0156347j -0.0132919+0.0584485j 0.0407261+0.0175545j -0.0085748+0.0255855j 0.00106131-0.00285499j 0.00938223+0.00411484j 0.00266522+0.00960354j -0.0187117+0.00941723j -0.018028-0.000495608j -0.0136968-0.0298353j 0.00435757+0.0129758j 0.0026807+0.00095933j -0.0205266-0.000555054j 0.00118913+0.00840625j -0.00229967-0.00701275j 0.00341348+0.00949859j -0.00643982+0.0069435j -0.0104292-0.00697212j -0.00847057+0.00738341j -0.019282+0.00327047j 0.0139702+0.0107635j -0.0297475-0.00173675j -0.000172104-0.0154111j 0.0407518-0.0228712j 0.0125327-0.00595582j -0.00751751+0.0271801j 0.0147439+0.0231687j 0.0170044-0.00097243j -0.0313824+0.0378198j -0.0271027+0.00708405j 0.00791294+0.0478418j -0.00924774-0.0191582j -0.013912-0.0224941j 0.0138036-0.016206j -0.0294068-0.000172624j 0.0157307-0.0469184j 0.00928584+0.004464j 0.0106516-0.00345881j 0.00608399-0.0124061j -0.00215644-0.00196176j 0.0018574-0.0250451j -0.00978258+0.0193929j 0.00382396-0.00635239j -0.000796748-0.00426788j 0.0107269-0.00248767j 0.000524552+0.0107853j 0.0111838+0.0143888j -0.0250845+0.00378849j 0.00826406+0.000886527j -0.0124083-0.0173633j -0.00465927+0.00188322j 0.0178649+0.00471427j 0.00309088+0.0104702j -0.0173416-0.00617072j -0.00458491-0.0229848j 0.0109595+0.0131402j -0.017689-0.0111059j -0.0254018-0.0195654j 0.0291494+0.00134965j 0.00982388+0.0152369j -0.0145299+0.0147452j -0.000675308-0.0235251j 0.010538+0.00476657j -0.00344807+0.00456057j -0.0144752+0.0307514j 0.0021845-0.0183127j 0.00905716+0.00845338j 0.0543689+0.0114872j 0.00202682-0.0106299j 0.0373355+0.0505292j -0.0190761+0.0161675j 0.0321191+0.00217635j -0.00790495-0.00854317j -0.00579442-0.00790604j 0.0341503+0.00715582j -0.00148479-0.0062366j -0.00382899+0.0554981j 0.00730207+0.0341534j 0.0328817+0.00797595j -0.0148023+0.00563797j 0.00861833+0.00302439j 0.00635894+0.0354638j 0.0185039+0.0411468j -0.0300353+0.0383372j -0.00274638-0.00911982j 0.00770316-0.00702494j 0.0380908+0.0131699j -0.00972883-0.0115124j -0.00806833+0.0546927j -0.059403-0.0104332j 
0.0764178+0.02751j -0.0404426+0.0404056j 0.0402157+0.0308831j -0.0326651+0.097218j 0.0611586+0.0639881j 0.021037+0.0195829j 0.0369545-0.00963071j -0.00993366-0.0348436j -0.0315216+0.00695619j -0.00389162+0.00472589j -0.00617312-0.00436297j -0.00779069-0.0332659j -0.00401595-0.0260096j -0.0299182+0.00461576j -0.0248576-0.00770367j 0.0109637+0.00759035j -0.00124564-0.0246375j -0.0406465+0.0185752j -0.0297252+0.0183602j -0.0051072-0.0243261j -0.0493937+0.0114417j -0.0482721+0.0198627j 0.0321565+0.0302176j -0.0441077+0.0172542j -0.00369367-0.00946072j 0.0281608-0.0429942j -0.00479884-0.000538189j -0.0270476+0.0186894j 0.0160717-0.0594125j 0.0274675-0.00161219j -0.0217754-0.0421407j 0.0195114+0.0240755j 0.0170998+0.0427089j -0.0154804-0.037196j 0.00804557-0.00134217j -0.0125692+0.00976258j -0.0404994-0.00512662j -0.0381229-0.0267475j 0.0301801-0.0027597j -0.0205573+0.0243124j -0.0194647-0.0150237j 0.00668337+0.0280102j 0.0313085-0.0106691j 0.00947416+0.0244749j 0.0015558+0.0154661j -0.013213-0.0192799j -0.0102623+0.0012421j -0.0161172+0.0332244j -0.0265194+0.0290996j 0.00178188+0.0237051j 0.0423549-0.0140211j -0.0284777+0.00964164j 0.0105427+0.000428766j 0.0330185+0.0101437j 0.00627813+0.0143562j -0.00685881+0.0321089j -0.0360761+0.0124911j 0.011655-0.03517j 0.0209029-0.0315008j -0.0157832-0.000782236j -0.00996618-0.0459662j 0.0152095+0.0595235j -0.0110602+0.051066j 0.0205134-0.02904j 0.0127385+0.0132242j 0.047421-0.00490065j 0.0235952+0.0169789j -0.0373655+0.00714646j 0.00754934+0.0185406j -0.0176034-0.0089815j -0.00914677-0.0205793j -0.0564383-0.0232134j -0.0339442+0.0218429j 0.0276875+0.0196797j -0.000759587+0.0127609j -0.0124509-0.023901j 0.0101148-0.0353869j -0.0328554-0.0193273j -0.0095166+0.0159359j -0.0338591+0.0105187j 0.00809577+0.0302978j 0.0484824-0.05163j 0.00213522+0.0108403j -0.0185768-0.00149617j -0.00394601+0.0133821j 0.00111349+0.049213j -0.00455814-0.0055996j 0.0278842-0.0330337j 0.0352711+0.0590166j 0.00082545-0.0309402j 0.00529888+0.104621j -0.117411+0.00346768j 
0.000137459+0.00493919j -0.00616866-0.00147669j -0.00694793-0.00405737j 0.00474977-0.00361583j -0.00603943-0.00864141j -0.0147923+0.0178881j -0.00944903-0.017255j 0.00298163+0.00927005j -0.00217796+0.0152693j -0.00728468+0.00251045j -0.012465-0.000699974j -0.022742+0.00949049j 0.00940003+0.00812861j -0.00399517-0.0126475j -0.00476599+0.0111919j 0.00806748+0.00876648j -0.00763369+0.00559866j -0.00330605+0.006411j -0.00455268-4.7954e-05j -0.00571994+0.00356039j 0.00389295-0.0179642j -0.00187492-0.00199961j -0.00625202-0.00663903j 0.00801117-0.00277386j 0.00985657-0.00371679j 0.0041099+0.0143298j -0.00144242+0.00129705j 0.0162421-0.00590577j -0.00822637+0.00346425j 0.000369991-0.0102869j -0.0029544-0.00484882j -0.00721124+0.0167276j 0.00291611-0.0117094j -0.00757396-0.0160745j -0.0082307+0.0138895j -0.00807075-0.00481633j 0.01156-0.00152886j -0.0038128-0.0111976j 0.00344416-0.00841043j 0.00833516-0.00141334j 0.00823721+0.00882946j 0.00440168-0.00419069j 0.00179648-0.0163192j 0.00656934-0.00984899j 0.0131608-0.00204638j -0.00700735+0.00356526j -0.00128127-0.00302414j -0.000411642-0.00601076j 0.00690905+0.00629128j 0.00356341+0.00784138j 0.00904517+0.00557474j 0.0188913+0.00599183j 0.00557324-0.00355373j 0.00807743+0.00149215j -0.00594002-0.00881143j -0.000826131+0.00630221j 0.0217995+0.00135678j 0.00224548+0.00789033j -0.0121608-0.00928821j 0.0101457-0.00234481j 0.00677376+0.00081936j -0.0158374-0.00734288j 0.00789563-0.0170599j 0.0153069-0.00477685j -0.0251035-0.0102759j 0.00937228-0.00726481j -0.00636911-0.00823066j 0.00671987+0.00262055j -0.00324577-0.00370538j -0.00900499+0.00204117j 0.00517844+0.000401805j 0.0179446+0.0205551j 0.00960312-0.00633951j -0.00314166+0.00864083j -0.00209626-0.00699157j 0.00779747+0.00550169j 0.00329316+0.00836853j 0.0121644-0.0029009j -0.000950309+0.00426335j 0.00500314-0.000142148j -6.76561e-05-0.00648968j -0.0154876+0.0111467j 0.00652344-0.0172886j -0.000528266-0.00451693j -0.000811548-0.00885531j 0.0141173-0.00535877j 0.00958472+0.0152982j 0.00302164-0.000822197j -0.00113715-0.00532875j 0.00223418-0.0012705j -0.00775238-0.00655921j 0.00677966-0.00865862j 
-0.00496217-0.0102037j 0.00844204+0.00161685j 0.00275418+0.00947508j -0.00709806-0.00052417j -0.00150076+0.00460547j 0.0132171+0.0193396j 0.0084786+0.00177127j 0.0184818-0.00198518j 0.00952767-0.004808j -0.0127615-0.00229444j -0.0074548-0.0010195j -0.000643287+0.00401016j -0.00948174+0.0113581j -0.00643114-0.013576j 0.0114368+0.00938165j -0.00483716+0.0155425j -0.00929179-0.00102441j 0.0164177-0.00600594j -0.0149887+0.00302244j 0.000166576+0.00437075j 0.00153773+0.015151j -0.00357468-0.0195545j -0.00684961+0.00265474j -0.00862156+0.0290798j -0.0120775+0.000476279j -0.0137517+0.00488428j -0.0102097+0.00562396j -0.00745538-0.00126108j 0.0137197-0.00655382j 0.00734653+0.00282004j -0.00158056+0.00123635j 0.00638406-0.0119962j 0.00256221+0.00664951j 0.0117751-0.00966299j 0.00799113-0.00270813j -0.00883701+0.00396309j 0.0128245+0.001019j -0.000421152+0.0095564j -0.00457409+0.00117766j -0.00651787-0.0128248j -0.0183267+0.0190284j -0.00459518+0.00619063j -0.000207455+0.00721264j 0.0147787+0.00344887j 0.0155844+0.00199022j -0.0115897+0.00210302j 0.0158633+0.00898828j 0.00876997-0.00211479j 0.00916978+0.00782298j -0.0130012+0.000221682j -0.00272729+0.0117487j -0.000281638-0.00307276j 0.000619367+0.00600424j 0.0127033-0.00691401j 0.0101392+0.0137734j 0.00194133-0.00102048j -0.00467207-0.00436751j -0.0028311-0.00501494j -0.00463825+0.0121055j 0.004301+0.00794816j -0.00307445-0.00662204j -0.0099984-0.000948237j 0.00412301+0.0123016j 0.00513507+0.0115475j 0.0147452-0.00280561j -0.00973766+0.00246285j -0.00297663-0.00464975j -0.00613768-0.00248876j -0.00251596-0.000712999j 0.000707552-0.00222741j -0.000355029+0.00111745j -0.0188722-0.0109868j -0.00372255+0.00646485j -0.00239107-0.0093038j -0.00214109+0.00408597j 0.00433144-0.000882602j -0.00383911-0.00299598j -0.00754192+0.00708993j 0.00155886-0.00493838j -0.00265271-0.00324192j 0.00176924+0.00813751j 0.00726006-0.00524483j -0.00207746+0.0177811j 0.00188125+0.00215561j -0.00521783+0.00653875j -0.0102785-0.00709726j -0.00271351-0.0161006j -0.00410268-0.0034711j 0.00134633+0.00484495j 0.00433523-0.00282319j 0.00444797-0.00036409j 0.000820238+0.00407648j 
-0.0410939-0.0215675j 0.0262744-0.0202925j -0.00839428-0.013192j 0.0114402-0.0248302j -0.0121362-0.0104102j 0.00816073-0.00433874j -0.0092157+0.0102018j 0.000744343-0.00658027j 0.0198347+0.00829929j -0.00466686+0.0109873j -0.00874155-0.0027991j -0.00118182+0.0124802j 0.0132568+0.00949212j 0.00765603-0.000780287j -0.0043156-0.00441691j -0.00962148-0.00054272j -0.00692957+0.0086217j 0.00462601-0.00627114j 0.0152692+0.00198388j -0.00203808+0.00425747j 0.0075365-0.00855286j 0.00745252+0.00309088j -0.0040293-0.0179594j -0.0148524+0.0134134j 0.00878128+0.00370745j -0.0322272-0.00480555j -0.0184532-0.00482746j -0.0176271-0.0138867j 0.00421359+0.0180554j -0.00478969+0.016133j 0.000923398+0.0137102j 0.00456434-0.0188151j 0.000112251-0.0253946j 0.00286318+0.00778868j 0.00375769+0.00797823j -0.026702+0.0131276j 0.0250938+0.0024424j 0.0175186+0.00899731j -0.000336737-0.00524434j -0.0114532-0.00968387j -0.00451354+0.013908j -0.00438355-0.00143176j -0.00508194+0.00959342j -0.00739159+0.00761443j 0.0010344+0.00266943j 0.0116004+0.0177266j -0.00242405+0.012071j 0.00800364+0.00864994j 0.0105745-0.0174947j 0.0215253-0.00541962j -0.0165601+0.00622049j 0.00828054-0.00309671j 0.0076629-0.00289515j -0.0196377+0.00957473j -0.00781309+0.00273085j -0.000928199-0.0271198j -0.00804763-0.0135233j -0.0119107-0.000113317j -0.000619861-0.00960992j 0.0108896+0.0133662j 0.00719331+0.0143699j -0.00351375-0.0085543j 0.00442658-0.0230122j -0.0171933+0.0273313j 0.00636746-0.0212099j -0.0473983+0.0176564j -0.0201164+0.00678651j -0.00208734-0.00550148j -0.00607737-0.00814334j 0.00935+0.00350885j -0.00548631+0.00489194j -0.0217602-0.0288257j -0.0050549-0.000965601j -0.00823861-0.0213446j 0.00859679+0.00365396j 3.13305e-05+0.0133105j -0.00544456+0.00350963j -0.0141785+0.0164561j 0.0104415-0.0170804j 0.00724599-0.0131163j 0.00589366-0.00457233j 0.00917015-0.00714177j -0.0191049+0.0375146j 0.0119234+0.0086247j -0.00866242+0.0106548j -0.0311579-0.0200242j -0.0124831-0.042195j -0.0134224+0.0158828j -0.0170902+0.00246932j 0.0208179+0.0164081j 0.0045962-0.0230184j 0.0287817+0.00269952j 
-0.0119763+0.0196335j -0.0235387-0.010825j -0.000649467+0.00110121j 0.00223113-0.0031011j -0.00659427-0.00334026j 0.000984002+0.0129797j -0.00496199+0.000965693j 0.00914143+0.00679926j 0.00334864+0.00668993j 0.00340044+0.00384737j -5.59893e-05-0.000340328j -0.0130569+0.00570415j 0.00291667-0.00321444j 0.000606891+0.0110877j 0.00231752+0.0107719j 0.00556916+0.00302111j -0.000341561-0.00731301j 0.00804026-0.00812456j 0.00426923+0.00385206j -0.00822689+0.0132048j 0.0094749-0.00316123j 0.00391934+0.00104428j -0.0106225-0.0227924j -0.00199208-0.0128006j -0.00194141+0.00502373j 0.000497783-0.00921819j -0.0113564-0.0106936j 0.0292501-0.00696783j 0.0177832-0.0133587j 0.00240865-0.00501324j -0.00369401-0.000653908j 0.00651979+0.016617j -0.00135222-0.00214373j 0.00559883-0.0192728j 0.00972159-0.00282644j -0.0227677-0.0038457j -0.0135607+0.00761881j 0.00229526+0.00738774j -0.000734594-0.00330454j 0.000306766+0.0238472j 0.00465852+0.00486835j 0.00357493+0.0127731j 0.00156567+0.00958238j 0.00695422+0.00457884j -0.00504219+0.00253555j 0.00337961-0.00497063j -0.00550534-0.00416226j -0.00186195-0.00605247j -0.00252245-0.012951j 0.00351771-0.00318089j 0.00277887-0.00335957j 0.00724096+0.00636702j -0.0175482+0.0126982j -0.0142189-0.00334751j -0.00252203-0.00935292j -0.00411205+0.00563223j 0.00511524-0.000291462j 0.0115928-0.000939249j 0.00429534+0.0177897j -0.00389997+0.019179j -0.0119646-0.00913826j 0.00690868+0.00158248j 0.0196267+0.00367028j 0.0141306-0.00465157j 0.012618-0.00158645j 0.0098474-0.00481132j 0.00476174-0.018754j -0.00202695+0.0100471j 0.00185787-0.00563928j -0.0235502-0.00243816j 0.000905613+0.0021148j -0.00953285+0.00424743j -0.0113174+0.00599455j -0.0168039-0.0056715j -0.00937383-0.00659478j 0.00712446+0.000386697j 0.00819025+0.00259723j 0.00706938+0.00754956j -0.00571452-0.000345939j 0.00793612+0.00126085j 0.00325243+0.0136414j 0.00128638-8.59359e-05j 0.00871034-0.000497249j -0.0027271-0.0134237j -0.0285528-0.00151773j 0.0156923-0.0213388j 0.010422-0.0102625j -0.00805081-0.0247196j 0.0277411+0.00054327j 0.0060132-0.0335007j -0.00788768-0.0150756j 0.013927-0.00678415j 
