0.371569-0.451064j 0.295365+0.1469j 0.0161122+0.263233j -0.350331+0.169509j -0.39047-0.432894j -0.088102-0.0730084j 0.0293106-0.0889638j 0.0134139-0.000192533j -0.00741885+0.0298828j 0.0482897+0.0301105j 0.0129547-0.0897334j -0.0247992-0.0018822j 0.0877171+0.0384934j -0.0291962+0.0280329j -0.00325956-0.00732778j 0.0308169+0.048938j -0.00657079+0.0163098j -0.00125384-0.0110448j -0.00485549-0.0254681j 0.00321644-0.0186091j 0.000610135+0.0053352j 0.0225951+0.0110076j 0.00356644+0.0102217j 0.00254949-0.00955129j 0.0257667+0.00159551j 0.00308836+0.0363338j -0.00834311-0.000429627j -0.000651879-0.00949709j -0.0156845-0.0183974j -0.0114548-0.00178654j -0.0487961+0.0120848j 0.0159451+0.0271905j -0.0130552-0.00136115j 0.00352163-0.00367924j 
-0.0216329-0.0336461j -0.00686077+0.0372883j 0.0756307-0.0504608j 0.0366047-0.0148439j -0.00599409-0.064019j 0.000994586-0.303594j -0.0792069+0.0363209j 0.244207+0.295048j -0.563025-0.144534j -0.101079+0.244699j -0.175551-0.0749127j 0.0324703-0.0592392j -0.203462-0.475592j 0.00395946-0.0218169j 0.00153385+0.0981476j 0.00995462-0.0160035j -0.00555613-0.0673988j 0.0199679+0.00801666j -0.00433617-0.0443027j 0.0267767+0.0094481j -0.0291596-0.0262627j -0.0764698+0.0144079j 0.0124141-0.00543429j -0.000824905+0.00695051j 0.070291-0.0189269j 0.00431988-0.00525502j 0.0318111-0.00739238j -0.00780311+0.0167606j -0.0362032+0.0356557j 0.0623401+0.0169177j -0.0100109-0.0221524j 0.0104004+0.0342311j 0.0776981-0.022708j -0.106799-0.124501j 
0.0418365+0.0560716j 0.0127181+0.0382471j 0.0985077+0.0434216j -0.0313821-0.010379j -0.0508549-0.0249744j -0.205161+0.428814j -0.14019+0.0658267j 0.206528-0.223876j -0.157269-0.290175j -0.597419+0.213186j -0.123321+0.0166166j 0.0386353+0.134895j -0.0552239+0.27861j 0.00276382+0.0378438j 0.0124145-0.0064511j 5.89296e-05-0.00629122j 0.0608296-0.0541669j -0.0313589+0.0030926j 0.0317783-0.00458538j -0.0069813-0.0239751j 0.0467474+0.0208617j -0.030405-0.0296606j 0.0167538-0.0382632j -0.0169613+0.00696156j 0.0403081+0.0282997j -0.0110497+0.00629964j 0.0412835+0.00329258j -0.0277682+0.0231197j -0.00784912+0.0748814j 0.0606621-0.125449j -0.00839521+0.00313252j 0.00282002-0.0209192j 0.010092+0.032135j 0.0356723+0.102853j 
-0.00758702-0.0133431j 0.00348101+0.0130844j -0.0133161-0.0138095j -0.0103317+0.00781275j 0.00276521-0.00242732j 0.0108543-0.0192288j -0.00837075-0.0243284j -0.0365733-0.0260695j 0.0292328+0.0362618j -0.0349402+0.0205376j 0.028901-0.0282201j -0.141567-0.137605j 0.00954731-0.0616515j -0.0861917-0.0821324j 0.000162209+0.174419j 0.0189072-0.0836164j 0.221754-0.269821j 0.0205989+0.000717508j 0.185251-0.274456j 0.00164899+0.0299044j -0.0395792-0.0902461j 0.0590407+0.0706891j 0.0706583-0.0274853j -0.0288792-0.0720794j -0.141038-0.162383j -0.00864917-0.126544j 0.194415+0.35277j 0.018748+0.104398j -0.0146607+0.213541j -0.225528+0.184364j 0.028062-0.0550071j 0.00537766+0.205033j -0.0160855+0.00306386j 0.0419721+0.431317j 
0.0246314+0.0102974j -0.0108044-0.0365601j 0.00306451+0.0442242j 0.025869-0.0166607j -0.00492669-0.00033237j 0.0123015-0.0190657j 0.0045688-0.00190791j -0.00919749+0.0152682j -0.0106288+0.0222967j -0.0232208+0.0189236j 0.00534246-0.00790846j -0.0597011-0.052142j 0.00325674-0.0588129j 0.108677+0.119181j -0.013969+0.0948584j -0.0305347+0.154051j 0.211459-0.25785j -0.149143+0.148041j -0.174785+0.24678j 0.0897577-0.0405303j -0.0230612+0.0645178j 0.160856+0.199702j -0.0409637+0.0288861j -0.146811-0.451798j 0.0652709+0.0901053j -0.0306527+0.186964j -0.101218+0.0341824j 0.249671-0.11029j 0.0297458+0.0701456j -0.0213952+0.0202801j -0.00935742+7.41684e-05j -0.0810375-0.457353j -0.0135186+0.00642624j 0.0302728+0.108885j 
-5.37355e-05-0.00825651j -0.0242734+0.00489675j -0.0407284+0.0247081j -0.0164344-0.0217555j -0.0136518+0.0150533j 0.00906318+0.050478j -0.0309794-0.035809j -0.00617491-0.0700035j 0.0104527-0.0341941j 0.0419813-0.0315542j -0.00691504+5.26259e-05j -0.0880001-0.185737j 0.067574+0.030786j -0.0818313-0.186j -0.112465+0.088253j 0.105834-0.04003j 0.0581932+0.0871391j 0.14934+0.178066j 5.48169e-05+0.0800135j -0.079151-0.072274j -0.303752-0.213948j -0.0210258+0.0091573j -0.215815-0.248566j 0.0206143-0.0593938j 0.0533947-0.00325347j 0.115497+0.0306785j 0.263985-0.407136j 0.177965-0.110685j -0.256202+0.114746j 0.21253-0.0437905j 0.0768897+0.0762274j -0.0928353+0.0771632j 0.0732561+0.0860568j -0.123751+0.108962j 
0.0267229+0.0367087j 0.0203875-0.0254212j 0.0518581+0.00344024j 0.0138301+0.0223365j 0.0383341-0.00337077j 0.010771+0.02771j -0.0221902-0.0189141j -0.00983147-0.0421125j 0.000832987-0.0131388j 0.0420288-0.00886935j -0.0166733-0.00299166j -0.0938185-0.164803j 0.0364953+0.0100129j 0.106818+0.107852j -0.131004+0.0754852j -0.0783813+0.0835655j 0.136296+0.0905243j 0.34458+0.294183j -0.230352-0.186763j 0.118094-0.0754788j 0.109823+0.120359j -0.00111488+0.00709366j 0.101784+0.207512j -0.29031+0.396216j 0.0732953-0.0654899j -0.236554+0.142252j -0.0190232-0.0525819j -0.13217+0.134777j -0.145482+0.0551332j 0.0442888+0.00997952j -0.0837586-0.0790649j 0.112253-0.16102j 0.0365111+0.0487342j -0.0669532+0.0832908j 
0.0159512+0.0118201j -0.0188778-0.0291618j 0.00197402+0.0394942j 0.0155417-0.0232795j -0.0110762+0.00205814j -0.0323324+0.0575211j -0.00807806-0.0555762j 0.0186637-0.0285501j 0.0517933-0.00660433j -0.0643521+0.0655039j -0.00851241-0.0207722j 0.0734762-0.109792j 0.0146072+0.0299272j 0.092032-0.436728j -0.00773245+0.000548741j 0.00371013+0.0343643j -0.083397-0.0416818j -0.159926-0.123614j -0.229924-0.119897j 0.0185526-0.0552742j -0.0233005-0.0129125j 0.0475333-0.1102j -0.120095+0.486282j -0.0134275-0.0939918j 0.14665-0.174594j 0.044144-0.0548306j -0.198877-0.0682482j 0.166099+0.240423j 0.0226213+0.00859525j 0.186725+0.295212j 0.000373257+0.115352j -0.0987431+0.109918j -0.00442179+0.0623462j -0.0246933+0.0189811j 
0.00637947-0.0200758j -0.00170175-0.00768996j -0.0140792+0.0235853j 0.0157716-0.00317723j -0.00790874-0.00919004j 0.043181-0.0733098j 0.0277238+0.124912j -0.0144995+0.0566029j -0.0838439-0.0258272j 0.0718124-0.090891j 0.0137655+0.0672791j -0.0845146+0.436841j -0.0296191+0.0123801j 0.0262504-0.206612j 0.0372243+0.0550722j -0.00856243-0.0196672j 0.271702+0.162121j -0.132481+0.232886j -0.00603868-0.144356j 0.0636807-0.361667j -0.0519842+0.107707j 0.147081-0.154941j 0.000979129-0.0542234j -0.0933686+0.0134821j -0.0312216+0.0301943j -0.000564921-0.0791943j 0.028343-0.0735676j 0.211313+0.278238j 0.0524132+0.0139699j -0.149027-0.233807j 0.0118083+0.110062j -0.0696861+0.06293j -0.00727382-0.100957j 0.0591483-0.0722307j 
-0.00174392-0.00311285j -0.0016078+0.00453567j -0.000630661+0.00404151j -0.000604782+0.00478598j 0.0115308-0.00527252j -0.013587-0.00797433j -0.00778135+0.00718267j -0.00874557+0.00598314j 0.00794284+0.00365213j 0.0132562+0.0311689j -0.0197053-0.00090728j -0.0329475-0.051757j 0.0112757-0.0116505j -0.00786167+0.00231601j 0.0174615+0.0263603j -0.0133485+0.00203483j -0.0293995-0.00979184j 0.0318453+0.0243746j -0.0471498+0.0107495j 0.0149505+0.0167408j -0.0415569-0.0320693j -0.0216914-0.0189414j -0.00507074+0.0131924j -0.0109076+0.00981259j 0.0447201+0.0572276j 0.00455951+0.0335158j -0.0100498-0.0835694j 0.00610848-0.0223778j -0.0144313+0.0372038j -0.0129759+0.0596279j 0.0241673+0.00566597j -0.00790518+0.00801163j 0.0677102+0.0487516j -0.0393666+0.0856661j 
-0.00336286-0.00150609j 0.00271948+0.0132753j -0.0103236+0.00671819j 0.000128935+0.0216408j 0.0374412-0.00988782j -0.00149873-0.00103798j 0.0105145+0.0168354j -0.00323863+0.017237j 0.00872913-0.00235174j 0.0117005+0.0206907j -0.0085925-0.000960805j 0.0203187+0.0332554j -0.018185+0.00808033j -0.00706902-0.000940361j 0.00225532-0.015671j -0.020765-0.0050416j -0.00297142+0.0284965j -0.0441394-0.0255222j -0.0131375+0.0192944j -0.0169906-0.0135094j 0.0159918+0.00853227j 0.0218539+0.0327319j -0.0060124+0.0261122j 0.00891937-0.0366303j -0.00479515-0.00159495j 0.00521138-0.0163585j -0.0405918-0.00600152j -0.0257105+0.0245377j 0.022952-0.0322365j 0.0404411-0.0512358j 0.0222872+0.0300889j -0.0174151+0.0217773j -0.0369206-0.0152799j -0.0023934-0.0926668j 
