0.0544303+0.0449248j -0.017929+8.81557e-05j 0.0025487+0.0263156j -0.0505506-0.00165005j 0.0659334+0.0265558j 0.043539+0.0326613j -0.0278115+0.0435289j 0.0236395-0.0609575j 0.0749509+0.00808329j -0.0513028+0.010242j 0.00346006-0.0196882j -0.083773-0.0405048j 0.0150931-9.46163e-05j 0.00988902-0.00379063j -0.0506298+0.0778546j -0.0152176+0.0473227j 0.00403067+0.0179538j -0.018814-0.0284353j 0.000696281-0.0174477j 0.0123306-0.0214643j 0.0636463+0.0180855j -0.0531159+0.0393624j -0.0539988+0.0195777j 0.0135574+0.00101082j 0.00504683-0.0734409j -0.0145355+0.0320163j -0.0094356-0.0155096j -0.0506364-0.0103709j -0.0385307-0.0351627j 0.0345022+0.00835306j 0.0742058+0.0493243j -0.0459848-0.0531371j -0.00371808-0.0528937j 0.047335-0.00363988j -0.0885384+0.0486549j -0.0517864+0.0512473j -0.0650966+0.003112j 0.0537274-0.0270207j -0.0639576-0.0134258j -0.0334806+0.0434168j 0.00399178-0.0598352j 0.0278006+0.0915049j -0.0144605-0.0373599j 0.0359678+0.00548949j 0.0909289+0.0512426j 0.10313-0.0237269j -0.0100272-0.00890721j -0.0574506+0.0296342j 0.0445323+0.0292018j -0.0156109-0.0269027j 0.0344166+0.0368416j -0.0373174+0.0359755j 0.0376373-0.0129565j 0.0398456-0.0384065j -0.0174717-0.0600465j 0.0178298-0.0344411j -0.0997344+0.0380994j 0.0216889+0.0125506j 0.0879492+0.095786j -0.0504345-0.0114242j -0.0489535-0.0934528j 0.00861119+0.0959271j -0.0182833+0.0850519j 0.023719-0.0447583j 0.00366415-0.00100367j 0.00516811-0.00768337j 0.0238321+0.0206479j 0.0762167+0.112017j 0.0671447-0.085284j -0.269533-0.22144j 
-0.00763474+0.0206504j -0.0554765-0.0287349j 0.0755976-0.0274398j -0.00372457+0.057016j -0.0092583-0.00870078j -0.0294146+0.0323564j -0.0390954-0.00736684j 0.0242768-0.0246139j 0.0511913-0.0118011j -0.0409461+0.00425015j -0.0141264+0.0366907j 0.0309794-0.0117621j 0.0719653-0.019169j 0.0207728+0.0159585j -0.00799603-0.0002495j -0.00845141-0.0038058j -0.0347922-0.0688765j 0.000198568+0.0159129j 0.048658-0.0416812j -0.0359417-0.00704545j -0.00566726+0.000617914j -0.00364139+0.0254901j 0.048574+0.00711839j -0.00918973-0.0013268j 0.118926+0.0375862j -0.0304092+0.00442271j -0.014674+0.00691553j -0.0238341-0.0136209j 0.0356015-0.000317662j -0.00394534+0.0312506j -0.0369797+0.0450128j 0.0111355-0.0713379j 0.0158562-0.0354544j -0.042951-0.0115804j -0.0209294-0.0495735j -0.0917272-0.0421101j -0.0567683+0.0282482j 0.00530992+0.0575381j -0.000891964-0.0957397j 0.0439282+0.0443766j 0.036606-0.057328j 0.0310466-0.103566j -0.0484659+0.00937477j 0.136251+0.0688808j -0.120819-0.0513896j -0.0635432+0.016091j 0.0281821-0.0277689j 0.0544333-0.0417568j 0.0123107-0.00138968j 0.0277644+0.0432882j 0.0546134+0.0977077j -0.00447124+0.0495582j 0.0341832-0.0221041j 0.0434683-0.0219049j 0.131343-0.00573506j 0.0653667-0.0356997j -9.85684e-05-0.0617408j -0.0182916+0.022919j -0.0357444+0.076475j -0.0142938-0.132969j -0.0456317+0.0158943j -0.0481343+0.0293273j -0.0404478-0.119248j 0.0614207+0.0274508j -0.0240462+0.0316588j -0.0242491-0.00845837j 0.00462252+0.0511415j 0.0224644-0.0260817j -0.277025-0.239205j -0.0714392+0.0803848j 
-0.0533522-0.0109962j 0.0492878-0.0182682j -0.0776224+0.00389972j -0.041836-0.033218j -0.00707139+0.0196225j -0.061562+0.0440147j -0.0393849+0.0143276j -0.00295421-0.00600201j 0.00394545+0.0285457j 0.0540486+0.0450293j 0.0390981-0.072673j 0.0800626+0.0250411j -0.0311054+0.0142264j -0.040546-0.00640768j 0.0148362+0.0920597j 0.0354633-0.053871j 0.00691552-0.0406125j -0.0146746+0.0111687j 0.00738712-0.0287265j 0.00381808+0.0229579j 0.0579932-0.0509608j -0.018583+0.0112523j -2.74053e-05+0.0160688j -0.0516698-0.0819581j 0.0536617+0.0353933j 0.0551318+0.0344963j 0.00370554+0.0712555j -0.027075+0.00514998j 0.0396897-0.00340958j 0.0521181+0.00579305j -0.13606-0.00150104j 0.0498276-0.0624244j -0.0617597+0.0489709j -0.0222367-0.0271408j -0.00679608-0.0410832j -0.0645975-0.0818205j -0.0561901+0.0601175j -0.0522257-0.0820105j 0.1035-0.0843864j -0.0833171+0.0400698j -0.160405+0.0116848j 0.0398271-0.0734891j 0.0247719+0.0733647j 0.0748261-0.166799j -0.0551829+0.131699j -0.086453-0.0225714j 0.0269374+0.0018564j 0.0113446+0.101375j -0.0490874-0.0345353j 0.0958183+0.0518449j 0.010642+0.0399347j 0.00210504+0.0528522j 0.108726-0.0462943j 0.0148059+0.0386411j 0.0250523-0.073903j 0.0977775-0.00201547j -0.0741692-0.0657588j 0.0446683+0.0206611j -0.0274785-0.154493j 0.0148384-0.177961j -0.0986622+0.0936285j 0.152852+0.132271j 0.0962653-0.0575022j 0.0747151+0.0575976j -0.0358279+0.030667j -0.113247-0.0231422j 0.020292+0.0367065j -0.0234337+0.0264553j 0.0662309+0.0476666j -0.0304133-0.0424242j 
0.0349515-0.0270112j 0.0864403+0.0125335j -0.0227958+0.0215405j 0.0218677+0.0484491j -0.0330693-0.00260891j -0.0704094-0.0646068j 0.0426676-0.104442j -0.027208-0.0162854j -0.0775802-0.0216152j -0.0284869-0.0205466j -0.0797639-0.0491521j 0.0345076+0.0394099j -0.0170431+0.000771919j 0.0579573-0.0156652j 0.0266975-0.0366212j 0.0477161-0.029572j 0.0547048+0.00715774j 0.0207607-0.0748503j 0.0506262-0.0680945j 0.0873105+0.0035887j -0.0077018+0.0421019j 0.0920325-0.0512761j -0.0879738+0.0169474j 0.0173452+0.0487325j -0.157573+0.0585108j -0.0263123-0.0269458j 0.0136081-0.0333432j -0.00551362+0.0298686j 0.0178729-0.024274j 0.0251552+0.0804309j 0.0315083-0.0728304j -0.0235567+0.0902237j -0.0463908+0.021735j -0.0722949-0.0182094j -0.0604264-0.112443j 0.127253+0.0169693j 0.0228471-0.0434913j -0.121989-0.0301687j 0.0303118-0.0248504j -0.0666662-0.141329j -0.0836844+0.0727216j -0.0507495-0.0617758j -0.0153635-0.0695864j -0.0674044-0.102943j 0.0476469+0.0400027j -0.0444133-0.0307963j -0.0166865+0.0426253j 0.150763-0.109838j -0.0684926-0.0241057j -0.0302954-0.0164722j -0.119527-0.104656j -0.0483156-0.127969j -0.0516409+0.0527606j -0.143019+0.023811j -0.0722242-0.0996618j -0.0634687+0.026349j 0.0472864-0.0517355j 0.00527384+0.0282648j 0.0786895+0.0738648j -0.0869018-0.123019j 0.0186903-0.0612498j 0.0417815-0.135438j -0.136754+0.0723583j -0.139297+0.0529728j -0.0114835-0.0156585j 0.0383358-0.0397637j -0.0211186-0.092178j -0.106654-0.0799004j 0.00604359-0.0400616j -0.0605574-0.0294141j 
0.014268-0.00371081j -0.0170244-0.0260494j -0.00470356-0.0285047j 0.0412704+0.00724883j -0.00395368+0.0237011j -0.018013+0.00885352j 0.0816946+0.00983708j -0.155953+0.0492767j -0.0900576-0.0311385j 0.0651451-0.00603046j -0.00302913+0.0143985j -0.00271476-0.013572j 0.0404283+0.0637772j 0.0120321-0.06122j -0.0218361-0.0320767j -0.0675652+0.0270495j 0.016376-0.0828986j 0.115448-0.0184675j 0.0838169-0.0882645j 0.000295163-0.0343487j -0.0879299-0.0326133j 0.0130693+0.034031j 0.0699475+0.021714j -0.000893541-0.0376195j 0.055152-0.0362264j -0.0681856+0.0431123j 0.00238702-0.119681j -0.155869+0.0740047j -0.117066-0.0697361j 0.058794+0.212521j 0.100509+0.016511j 0.0245376+0.0730565j 0.0338172+0.132639j -0.114068+0.151948j 0.0251527+0.0758263j -0.005684+0.0130294j 0.00843356+0.0640065j -0.104019-0.0233383j -0.0368341+0.0147817j 0.0799059+0.094469j 0.124273+0.00487905j -0.0434237-0.1208j -0.049431-0.0639978j -0.0626345-0.0330992j -0.040258+0.0423204j -0.0121561+0.0499253j 0.0743181+0.0110207j 0.126042+0.0353308j -0.0748126-0.0930593j -0.00160821-0.092527j 0.0221607-0.147381j -0.0707168+0.138937j 0.0133806+0.128345j 0.0468609-0.129261j 0.0133452-0.0287105j 0.0975065-0.145019j 0.00230152-0.0046019j 0.00313612-0.0502752j 0.0413456+0.0749406j 0.048314+0.127236j 0.0705548-0.158966j 0.125795+0.0954995j -0.0310596-0.0159029j 0.0344348-0.0402808j -0.0235131+0.00344386j -0.060699-0.0344882j -0.0182205-0.0328548j 0.0518953-0.00378659j 0.0064297-0.0191103j 0.0149357+0.00366698j 
-0.00387551-0.0483341j 0.093026+0.0132915j -0.021346-0.0115926j 0.0445368-0.0377534j 0.0257643-0.00791037j -0.0780094-0.0546721j 0.0380424-0.00175844j -0.0961277+0.0107787j -0.0781518+0.0305266j 0.0240367-0.0105675j -0.0525618-0.041678j 0.0938457+0.0496139j -0.113705+0.0219351j 0.0774761-0.0291722j 0.0676227+0.00784467j 0.0524392-0.0805997j -0.0161541-0.0125939j 0.00726081-0.0319386j -0.0309839-0.0264709j 0.0757623+0.00333925j -0.103294+0.050518j 0.0650314-0.0508118j -0.0202267-0.0337503j -0.0574479-0.00857719j 0.0184659+0.201749j 0.0342453-0.0827665j 0.0147195-0.0630143j -0.0328555+0.0337799j 0.113294+0.0201793j 0.0256475+0.056493j -0.148682-0.0245168j 0.0293333-0.0730779j -0.0315537+0.0718442j -0.0781263+0.0105357j 0.0569607-0.0948872j -0.0436632+0.00785689j -0.0550488+0.0561099j -0.0573522-0.0605161j 0.151781-0.0521857j -0.0716509+0.0127506j -0.0242237+0.00120557j 0.0214983-0.0823196j 0.00115908+0.0306512j 0.0543847-0.103901j -0.0431211-0.0272638j 0.0146823-0.0412894j 0.019461+0.115698j -0.0102438-0.0231931j -0.0371223-0.00774491j 0.0589002+0.108485j -0.0501151+0.0318931j 0.015804-0.0374879j -0.014169-0.0058226j -0.0694004+0.0126675j 0.0381899-0.0853486j 0.0752726-0.00777462j 0.0823625-0.116156j 0.0272655+0.0138355j 0.0397302-0.0663878j -0.0808116-0.0957173j 0.00694435+0.079493j 0.0502774+0.00152806j 0.0286761-0.0427101j -0.0645712+0.0670052j -0.0284032+0.00532335j 0.0387884-0.0185587j -0.0079502-0.0142668j -0.0596727-0.0448667j -0.00537882+0.0207728j 0.0552003+0.0757942j 
0.0133827-0.0502903j 0.0329562+0.0067212j -0.0683817+0.0295822j -0.0464457-0.0378562j -0.0433003+0.0157698j 0.00881054-0.0038498j -0.105313+0.0731042j 0.0740226-0.0541495j -0.0906824-0.012584j 0.0712267+0.00255753j 0.0491954+0.000740694j 0.0872103-0.0361443j 0.0263353+0.0043302j -0.0797807-0.0395689j 0.0126381+0.102109j -0.0249942-0.0500112j 0.0363792+0.0889719j 0.0241827+0.0348838j -0.0866071+0.120322j -0.100865+0.127756j -0.119318-0.0336818j -0.0511352+0.16387j 0.00578446+0.0271937j 0.137854-0.0551008j 0.0537178-0.0675503j -0.0309261+0.0566389j -0.0855155+0.070715j -0.0202317+0.101009j 0.070051+0.0293681j -0.0874394-0.0842984j -0.0761274-0.0192141j -0.0115962-0.0117335j -0.177518+0.0710684j 0.0570017+0.00901459j 0.14857-0.0966494j 0.148086-0.0209047j 0.0276929+0.123576j -0.0779464-0.0251949j 0.113184-0.00560467j 0.0808762-0.195352j 0.110879+0.0321144j -0.0260159+0.0721546j -0.00496187-0.00770795j -0.0362524-0.0629399j 0.00686309+0.0408119j -0.0534843-0.0571254j 0.0585531+0.0299114j 0.0310563+0.0804576j -0.0108358-0.00722412j 0.0167269-0.0919704j 0.0431529-0.121277j -0.0221364+0.0919201j 0.0433965+0.0219443j 0.00657958-0.0147103j 0.019071-0.0445652j 0.0657512+0.022636j -0.0206787-0.0480118j -0.151154-0.0191794j -0.114587-0.00862737j 0.0330586+0.0759499j -0.0124562-0.00595618j -0.0804735-0.0708142j -0.0921209+0.00951442j -0.0389524+0.0192562j 0.0706601-0.107608j -0.162198+0.0171127j -0.029282-0.00690143j -0.0582956-0.0285019j 0.0300973+0.0240868j -0.00226777+0.03568j 
-0.0354222+0.00611448j -0.0233745-0.0391362j -0.0966234+0.0196671j -0.00210919+0.019023j -0.236628-0.0257155j -0.00454781+0.0510511j -0.1329-0.0672405j 0.0519343+0.0677123j -0.0958479-0.0621314j 0.0376473+0.0146319j -0.024232+0.0113341j 0.00756253+0.000304456j 0.0803951-0.0138986j -0.122997+0.0328094j -0.0446209-0.0892769j 0.0167617-0.0177968j 0.0161747-0.0865951j 0.0283862+0.0607208j 0.0653081+0.0946516j -0.127881+0.0842452j 0.168327-0.0912101j 0.00898942-0.00788993j 0.091184+0.0223255j -0.13651-0.113354j -0.0096582-0.0899496j 0.0394648+0.0199005j -0.00173642+0.17283j 0.0383936+0.00925243j -0.0299765+0.00207391j 0.0824003+0.115102j 0.0294054-0.0315769j 0.00239532+0.131883j -0.0484146+0.0856615j 0.00445939-0.106422j -0.0289835+0.0153282j 0.0143961-0.176605j -0.0169802-0.0714897j -0.0466706-0.0225202j -0.0470972+0.00700291j -0.0138124-0.0344176j -0.151848+0.0719979j -0.0558935-0.0186753j -0.0522434-0.000771806j -0.0212756+0.00401386j -0.0550864+0.112809j -0.0816836+0.0544995j 0.0492674-0.0699031j 0.0625589-0.00308457j -0.0533908-0.0472902j 0.0230672-0.0321538j -0.0148303-0.151842j -0.0244854+0.0408695j 0.0538551+0.0217102j 0.112152+0.178093j 0.00457833+0.112196j -0.108757+0.0430659j 0.0126808+0.0579179j -0.0318031+0.0783409j 0.0038026-0.0454776j 0.105435-0.0703371j -0.0868783+0.0520654j 0.0249664+0.00114193j -0.0223844-0.0505249j 0.0260335+0.00446504j 0.0761684+0.0316912j -0.0205467-0.0372092j 0.0111849+0.026634j -0.000209799-0.0403225j -0.00914155+0.00583176j 0.0540875+0.0309769j 
-0.0118618+0.02566j -0.0210745-0.00275967j 0.000717354+0.000927139j 0.0101556-0.00056492j -0.00268942+0.122662j 0.0429475+0.05278j -0.111108-0.030918j 0.00859898-0.0991232j -0.057304-0.126937j 0.0720779+0.00345962j -0.0827141+0.00633855j 0.0167385-0.00965079j 0.0564732-0.172112j 0.0496752+0.0707778j 0.0174859+0.0594739j -0.0112621-0.00673268j 0.0667224-0.0229848j -0.0212874+0.00530149j 0.207745+0.0235948j 0.0587751+0.059614j -0.00466081+0.160739j -0.030141+0.127109j 0.037603+0.0137112j 0.0857108-0.0513877j -0.0539188+0.00640884j -0.0166319+0.0376101j -0.0512716+0.00305113j -0.093854+0.0340915j 0.0191524-0.14591j -0.0265552+0.0889717j 0.0605918+0.0851007j -0.06391-0.129761j -0.042059+0.0350166j 0.0646123+0.00485042j 0.0779335+0.0690563j 0.0597521-0.0442174j -0.0300562-0.0320243j -0.0095188-0.00769412j 0.093119-0.0781544j -0.0767057+0.0347552j -0.0501443-0.0146896j 0.144287+0.0109001j -0.00278556-0.0325801j 0.0174017+0.0168194j 0.00272644+0.00780136j -0.048425-0.0318549j 0.056278+0.0606001j -0.0450183+0.01428j 0.0320846+0.0890699j 0.0630362-0.0144938j 0.0126333-0.0777712j -0.0398969+0.0289317j 0.0108189+0.0113646j 0.0225079-0.0182212j 0.019436+0.0155056j 0.0649571-0.0787695j 0.00946585-0.0262j -0.0642509+0.0112185j 0.045099+0.0305324j -0.088027+0.0243841j 0.0281366-0.0535642j -0.00926113-0.0223407j 0.0937457+0.0328382j 0.0170148+0.00506115j 0.0445683-0.0455239j -0.0101212-0.0296471j -0.0264477-0.0207405j 0.0111918+0.057179j -0.0368525-0.0347749j -0.0301465-0.0281754j 
0.0734271-0.0522642j 0.112806+0.0434278j -0.0177611+0.0658517j 0.0557696-0.0223593j -0.118735-0.039958j -0.0431833+0.062055j -0.125829+0.0648567j -0.0796097+0.0055055j -0.0981605+0.00607353j 0.121435-0.00763116j -0.0131319-0.00355972j -0.000471834-0.0883855j -0.0369302+0.0802824j 0.0228885+0.0855225j -0.125541-0.020736j 0.0160867-0.0331713j -0.0286654+0.0358774j 0.143456+0.0537973j -0.111487+0.100229j 0.0375048+0.126891j 0.00766542-0.0153723j 0.0465055-0.042012j -0.000220662+0.0856338j -0.0151987+0.0304159j -0.00759645+0.159664j -0.0807752-0.0936779j 0.0524031+0.0697374j 0.0217757-0.00404998j -0.068916+0.00851476j 0.0942167+0.0932735j 0.0112235+0.00229002j -0.0974346-0.0513725j -0.0566185+0.2118j 0.0125519+0.016309j 0.169703+0.0412534j -0.0733909-0.00903852j -0.0864964-0.00678194j 0.0246619-0.143123j -0.0591487+0.0643577j -0.0633073-0.0331972j -0.0607565+0.0099244j -0.0157851+0.0862207j -0.0839222-0.0652682j 0.0143295+0.0204253j 0.0348528+0.0251648j 0.2173-0.0312096j 0.0342093-0.0430397j -0.128745+0.0297562j 0.112476+0.023243j -0.0683903-0.0324486j 0.0135398-0.0982805j 0.00257168+0.0944137j -0.0476023+0.148043j 0.0968521+0.092667j 0.0316537+0.132084j -0.00815968-0.0350097j 0.00827335+0.0222502j -0.0520672-0.0410613j 0.0665716+0.0725328j -0.0969242+0.0345058j -0.0508004-0.0670963j -0.123929-0.0039757j -0.00972546+0.00855291j 0.00535911+0.00466433j 0.0296681-0.00832134j 0.162572+0.00752647j -0.000166411+0.0158999j 0.020891-0.0271071j 0.0699743+0.0398693j -0.00378672+0.03699j 
-0.0320928-0.0206835j -0.0237347+0.0252667j -0.0364561+0.0351773j -0.110282+0.0435245j 0.109811+0.00202433j -0.0160597+0.0161849j 0.131393-0.0454925j 0.0155454+0.0295825j 0.0811693+0.0141494j 0.134347-0.0414156j -0.03728+0.0682825j 0.0318413-0.104845j 0.0548533-0.0404629j 0.0123486-0.0571259j 0.0776894+0.0687391j 0.0681803+0.054205j 0.0815823+0.101426j -0.184538-0.106573j 0.0100532-0.0200148j -0.000225718+0.0262763j 0.0108025+0.000838903j 0.0878972-0.0482315j -0.0418135+0.0338962j 0.00748959-0.109991j 0.0951101+0.0138762j -0.140545-0.0243218j 0.00246469+0.279915j -0.0945721+0.0275161j -0.104304+0.0983912j 0.110961+0.0398924j 0.0996107+0.0310886j 0.0108817+0.024903j -0.0846218-0.114185j -0.0776235+0.0012368j -0.0705026-0.123264j 0.0890459+0.0799669j 0.0309713-0.0191261j 0.0702734+0.0224614j -0.0117449-0.0728789j -0.00665739-0.00768702j -0.0596357-0.00555538j -0.0518404-0.0156392j -0.0650473+0.0135176j -0.0660667-0.0842904j 0.0384411-0.0413073j 0.00663155-0.0263292j -0.0479228-0.176576j -0.0557271+0.104634j -0.0860482-0.0850749j -0.0172091-0.0605944j -0.0417858+0.118243j 0.0355477-0.015148j -0.0271128+0.212923j 0.0149898+0.0896313j -0.0130991+0.0342511j 0.00963782-0.0212643j 0.0546078-0.0351188j -0.0116906+0.028737j 0.0142789-0.0283638j -0.0446348+0.0275858j -0.0561943-0.0079943j -0.128001-0.0352674j 0.0112995-0.0483125j 0.0712449-0.00847546j -0.0157071+0.0232431j 0.0506534-0.0264507j 0.0472317+0.0459477j -0.0138866+0.0358353j 0.0056694+0.000802801j -0.0179449-0.0110927j 
