-0.0512479+0.0879501j -0.0960342-0.0604307j 0.493284-0.120747j -0.0929232-0.682943j -0.481283+0.0145015j 0.0987384+0.076528j 0.0675119-0.073396j 0.0723541-0.112677j 0.0176719-0.0268951j 0.00902889+0.00561932j -0.0680685-0.0826892j -0.00449197+0.00780355j -0.0695132-0.0499375j 0.0456626+0.00129936j -0.0616189+0.0340991j -0.0109082-0.0148271j -0.0298795+0.00312788j 0.00686414-0.0224846j -0.020062-0.0149033j -0.000862489-0.0136354j 0.00763251+0.0322933j -0.0373334-0.00495962j -0.0105566+0.0356803j -0.000690499+0.0242136j 0.0109448+0.00435557j -0.00848777-0.00470033j -0.005818+0.00269196j 0.0128904-0.00402888j -0.0212148+0.0191413j -0.0372626-0.0224142j -8.43803e-05+0.00753529j 0.0164878-0.0279146j -0.0186088+0.00237903j 0.0166035-0.0119774j -0.0112524-0.0169659j 0.00518239+0.00175488j 
0.0256444-0.0403477j -0.0391585-0.0290601j 0.0424442+0.095526j 0.0112071-0.0415765j 0.0243501+0.0856234j 0.207856-0.239142j 0.128747-0.288577j -0.308065+0.195993j -0.22319-0.125194j -0.00615106+0.0162257j 0.0709985+0.00672169j -0.0135645-0.2707j 0.339451-0.156676j -0.125186-0.189792j -0.342048-0.337043j -0.078059-0.18896j 0.030715+0.125225j 0.0350001+0.0246003j -0.0130151+0.10216j -0.0089318+8.36481e-05j 0.037186-0.00170736j 0.00293748-0.0039233j 0.0102545+0.00889289j 0.0190668-0.00367055j -0.0216742+0.0120546j 0.0121412+0.00417234j 0.0304972-0.0293483j 0.0539088-0.00216231j 0.000582581-0.00268848j -0.0311058-0.101417j -0.0800371-0.0533431j -0.0182469+0.0140811j -0.00737778-0.0133j 0.066454-0.0935498j 0.0289158+0.0395726j 0.0974145+0.0396606j 
0.0441437-0.0354227j -0.0354034-0.0415169j -0.00951519-0.108613j -0.0192775+0.0096402j -0.0293063-0.0889521j -0.274085+0.361909j 0.318616-0.111483j 0.0199997+0.260198j -0.202431-0.0756494j 0.0302832-0.280879j -0.309691+0.156716j -0.00541924-0.0273546j 0.0593409-0.00350502j -0.371392-0.364328j 0.109598+0.107664j 0.109222+0.115461j 0.0337188-0.0672198j -0.0363656+0.0631436j 0.00864927+0.0160602j -0.000961968+0.0216046j -0.0104791-0.0012092j -0.011398-0.000180763j 0.0136794+0.0129122j -0.0172776-0.0239394j 0.0119243-0.028339j -0.00979153-0.0355629j 0.0218014+0.0207549j -0.0172506-0.0198012j -0.0271987+0.055303j 0.0120073-0.00239487j 0.0194552+0.0167541j 0.0283657-0.0907343j -0.0773285-0.0405705j -0.0134922+0.0755011j -0.0973223-0.0648431j -0.0729561-0.0431449j 
-0.00861515-0.00616894j -0.00694194+0.00965989j 0.010525+0.0114512j -0.0314222+0.0161211j -0.0207441-0.0269679j -0.0609192+0.0226314j -0.0217288+0.0254126j 0.0578865+0.00454685j 0.0239769+0.0072497j 0.0147626-0.0329125j -0.0329846+0.0254045j -0.0282591+0.0925011j -0.073206+0.0486012j 0.00573966+0.00139807j 0.0457299+0.00825633j 0.00280769-0.12249j -0.000982628+0.245909j -0.0175783+0.0588241j 0.00598022+0.269636j 0.0776515-0.0057418j -0.0149875+0.0969424j -0.00323781-0.0141124j -0.119074+0.00340153j 0.0361195+0.0401278j -0.109209-0.0403212j 0.0215722-0.0110115j 0.264567+0.0592518j 0.349859+0.136317j 0.0651661-0.0640802j -0.0345653-0.341107j 0.00100907-0.113768j -0.0387481+0.0566249j 0.00623103-0.0334085j -0.133328-0.020141j 0.0357499+0.320967j -0.143679-0.460179j 
-0.0138207+0.00977063j 0.00919305+0.0130359j -0.0201941-0.00668348j -0.0224915-0.0336061j 0.0104902-0.024394j -0.0455896+0.0194956j -0.0184689+0.0333952j 0.0391607+0.0413369j 0.015055+0.0471086j -0.026506+0.00689151j -0.0149242-0.00606536j 0.128085+0.0110041j -0.0353695-0.00300123j 0.00601121+0.0140179j 0.0637379+0.0616087j 0.0636309-0.0289297j -0.127104+0.15452j -0.0168327+0.0162014j -0.201119+0.266059j -0.0257793-0.0325886j 0.0123645+0.0308508j 0.00602336-0.00871832j 0.174591+0.0292352j 0.00807602-0.0158621j 0.0552573+0.0563384j 0.0039356-0.0778326j -0.053018-0.207758j -0.292108-0.221472j -0.0188147-0.0826638j 0.160699-0.159081j -0.634136+0.223397j 0.0135118+0.0717444j 0.0156529-0.0765801j 0.119726+0.056631j -0.0136298+0.0988112j 0.0652308-0.0379384j 
0.00236276+0.0343899j 0.0358334-0.00463747j -0.00242163-0.00687029j 0.00571182-0.012281j -0.0017753+0.0063829j -0.0236961-0.0159266j 0.0111647-0.0121304j -0.00229879+0.00746688j -0.00690404-6.03379e-05j 0.0508217-0.0477709j -0.0228053+0.022759j -0.0351142+0.0181138j -0.00454463+0.00765655j -0.00956524+0.0139792j 0.00850068-0.0224234j -0.00995072-0.156964j 0.0193936+0.180595j -0.0298477+0.0662176j -0.010723-0.204278j 0.163527+0.059589j -0.0304979+0.0477444j -0.0145474-0.0215639j -0.169497-0.0952477j 0.314556+0.0749582j -0.411155-0.155005j 0.0905463+0.311988j -0.0213631-0.204422j -0.261934+0.0243599j 0.0286764-0.0179762j -0.0167581+0.000381614j -0.0635715+0.010496j 0.163635+0.121152j 0.0884306+0.322362j -0.00083689+0.0847367j -0.142014-0.296705j -0.0629184-0.143747j 
0.038465-0.00308133j -0.00355676-0.0388087j -0.00957982-0.00975865j 0.000605239-0.00544458j 0.00403141-0.00276112j -0.0410713-0.015082j 0.00928362+0.018888j 0.0046117+0.0522293j -0.00721909+0.0161437j -0.0318392-0.0239033j -0.0262949+0.00422807j 0.065485+0.0221219j -0.00963221-0.00485307j -0.0213758-0.000884352j 0.0226066+0.0359055j 0.0687714-0.156934j -0.156464+0.323232j -0.0317679+0.0793128j 0.110166-0.261115j 0.0377435+0.0430544j 0.173314-0.0352664j 0.0559362-0.0429016j 0.124604+0.0332366j -0.285712-0.0257221j 0.0583228+0.259328j -0.0527205+0.224945j -0.466421+0.221133j 0.353774-0.0937927j -0.0336725-0.0769597j 0.0499108-0.0173697j -0.0720601+0.0389911j -0.0697009+0.0226073j -0.0428838+0.163058j 0.0286895+0.0542119j 0.0018851-0.12652j 0.00609453-0.0932354j 
0.000409882-0.0171034j -0.0169103-9.84709e-05j -0.0180358-0.0129893j 0.0337164-0.0222085j 0.0227571+0.0292147j 0.0108655-0.0371834j -0.00433403-0.0163093j -0.0207365-0.0615864j 0.00280484+0.0319385j 0.140549-0.0324682j -0.00193004+0.0113326j -0.0254984-0.00784125j 0.00953068+0.00487564j 0.0244172+0.0943611j -0.00315676-0.024691j -0.0736079-0.1422j 0.0138725-0.181121j -0.0949926+0.0836871j 0.000842793+0.0812321j 0.607876+0.222366j 0.173697+0.0292171j 0.116846+0.282384j 0.135812-0.0591829j -0.171733+0.162575j 0.0214301+0.16945j 0.0406483-0.0257094j 0.0830058-0.0564474j -0.0616077+0.0229545j -0.14604+0.000929711j 0.014462-0.0109154j 0.00404985-0.0306827j 0.0249343-0.0950312j -0.188197-0.282117j -0.0128133+0.0362878j -0.119749-0.15901j -0.0495734-0.0557871j 
0.0124768+0.0107242j 0.0113786-0.0123247j -0.0213242+0.0180719j -0.0182213-0.0214579j 0.0205415-0.0137186j 0.0425491+0.0866008j -0.00976006-0.109535j 0.00258884-0.00933j 0.0101159-0.0103301j 0.103793+0.0640146j 0.0205899+0.0265763j -0.0220528-0.0125183j -0.00110276-0.0207908j 0.0397403-0.0373162j 0.0044681-0.0831842j -0.175378+0.507537j -0.0561955+0.213997j -0.157572+0.0301645j 0.000446514-0.0289167j 0.100104+0.0903143j 0.0380601+0.0750285j -0.0246103-0.277734j 0.196001-0.111107j -0.336605+0.148661j -0.339936+0.141946j 0.0396298-0.0814945j 0.11583-0.0521625j -0.0620419+0.0331291j -0.0812254+0.0234072j 0.00404078+0.0391475j 0.0299447+0.000933409j 0.0456761+0.0879702j -0.00370597+0.193819j -0.0242807-0.0571012j 0.00734532+0.181539j 0.00303578+0.097199j 
0.00354979+0.00170605j -0.000229824+0.00126439j 0.00336893+0.00498457j 0.00709563+0.0103758j -0.0124503+0.0135379j -0.00488561-0.0142627j 0.00719126-0.0136963j 0.00893992-0.010027j 0.00511828-0.010247j -0.0125817-0.00503014j 0.0156657-0.00211522j 0.0274565+0.00369768j 0.0304435-0.0064813j 0.00209599+0.000597293j 0.00958157+0.0229749j -0.0173817+0.0174017j 0.034008-0.0429602j 0.01969+0.00459106j 0.0255433-0.0513138j -0.0332349-0.0238137j 0.0264361+0.00779029j -0.00242473+0.00840487j 0.0595557+0.0449064j -0.00314066+0.000916237j 0.0324374+0.0242149j -0.0141283+0.00530261j -0.0651226-0.0436751j -0.110726-0.0618105j -0.0216161-0.00735326j 0.0165052+0.0284563j 0.0660326-0.0342996j 0.0292907+0.0099998j -0.0119481-4.39578e-05j 0.0849077+0.0328516j -0.010211-0.00114896j 0.0625975-0.0231032j 
0.00506459+0.00192636j -0.000616155+0.00206326j 0.0120438+0.00504303j 0.00296249+0.00439676j 0.00539913+0.0123939j 0.0138449-0.0014471j 0.0217787+0.000407903j 0.0153383+0.00581625j 0.0203055+0.000760117j -0.00774522+0.0192678j 0.000587008+0.0158945j 0.0282404-0.0431426j 0.0183124+0.0333201j 0.000545093+0.00804896j -0.0289255+0.0295959j -0.0165447+0.0371381j 0.0404487-0.0326263j -0.00411807-0.00763292j 0.0594642-0.0282959j 0.0069115+0.0125108j -0.0117769+0.0110096j -0.00146701-0.00405284j -0.0220926+0.0222339j -0.00814328+0.0342942j 8.94326e-05-0.0283645j 0.00137149-0.0148936j -0.0312722+0.0310658j -0.0116752+0.0181301j -0.00255582+0.0305598j -0.018144+0.0832375j -0.0142841+0.0176305j 0.00477746+0.0133616j 0.00603868-0.0161541j -0.00355295+0.0459239j -0.038054-0.026374j 0.0600206+0.0936332j 
0.00242457-0.0146385j 0.0143338+0.00172418j 0.00304494-0.00725883j -0.00434751-0.0226593j 0.0327449-0.0084728j -0.000856423+0.0012147j 0.0225254+0.00483795j 0.00678824+0.00138637j 0.0142971+0.0165345j -0.0110554-0.00286972j 0.00299313-0.000467971j 0.000608144-0.0271129j -0.00599085+0.018017j -0.00678556-0.00107672j 0.00856634+0.0121107j -0.0247151+0.0167099j 0.0270319-0.00429645j 0.0206535+0.0165437j 0.00363326+0.00177081j -0.0307777-0.0404065j 0.00964248+0.0215725j -0.00814475+0.00352995j 0.00589947+0.0248578j -0.0402861-0.0153875j 0.0174742+0.0337128j -0.0201288+0.0106375j 0.0448898-0.00432744j -0.0177129+0.0210608j -0.0166006-0.00488622j -0.00295758+0.00487555j 0.0290062-0.00949656j -0.0365724+0.00451297j 0.000822754+0.0212296j 0.0175294+0.0428486j 0.0116719-0.0200765j 0.0402138-0.037379j 
-0.00275457+0.00179282j -0.000811197-0.000902128j -0.00915011-0.00227424j -0.00101226-0.0271564j 0.0296611-0.00108963j -0.00266058+0.00117976j -0.0166758-0.00659042j 0.0228564+0.0112303j -0.0194026-0.044475j -0.000425399+0.0386927j -0.0139874+0.0247025j 0.013417+0.049008j 0.0289129-0.0239881j 0.0138555-0.00586796j 0.00955512+0.00121152j 0.00241161-0.000327591j 0.00899199+0.00205519j -0.00165796-0.000543204j -0.0129176-0.00345911j 0.00364896+0.00372828j 0.0103091+0.0176454j 0.00906584-0.00689329j 0.00221103+0.0106591j 0.00581734-0.0147328j 0.0194129+0.012047j -0.00587966+0.00375549j 0.0328452-0.000355503j 0.00956304+0.0149491j -0.00970385+0.000123781j 0.0137497+0.00535422j -0.0360069+0.0322083j -0.0108882+0.00189759j -0.00482978+0.0235692j 0.00313999+0.00521815j 0.011092-0.00686854j 0.006372+0.00225792j 
0.00113943-0.00301696j 0.00276867-0.000531605j 0.0252021-0.0179191j 0.00958494+0.0161405j 0.00752578-0.00140645j 0.0215587+0.0211448j 0.00897573+0.0216745j -0.0094655+0.00490775j -0.00285194+0.0113333j 0.0181442+0.0147086j -0.0111969+0.00361014j -0.0454233-0.01734j -0.0136563+0.0075454j -0.00145742+0.00210154j -0.00550291-0.00468316j -0.0056494+0.0182935j 0.0120631-0.00330715j -0.000850207-0.00632262j 0.0194496+0.0120578j 0.00495212+0.00618828j -0.0125807-0.00415497j 0.00219051-0.0042032j -0.0333601-0.00803122j -0.0254136-0.00796502j 0.0162734-6.11628e-06j -0.00462471+0.00108341j -0.0448767+0.00835596j -0.0617546+0.00371011j -0.028144+0.00503294j -0.034629+0.00534323j 0.0915017-0.0933825j -0.0131239-0.00532187j 0.00682407+0.0174366j -0.0305786+0.00163361j -0.011655-0.0267344j -0.00640783+0.0292097j 
