0.00519516-0.00588373j 0.00645538-0.00703802j 0.0153216-0.0148898j 0.00327844+0.00562733j 0.00455797+0.0139444j 2.99494e-05+0.00186834j -0.00416557-0.0174528j -0.00535732-0.0595593j -0.00436052+0.00313903j -0.00198745-0.00366616j 0.0163891-0.000824822j 0.002636+0.00841944j -0.00353326-0.00171282j 0.0188976+0.00765772j 0.00405899+0.000487912j -0.000116603-0.00306316j 0.0071181-0.00646844j 0.00478288+0.000226392j 0.028856+0.0200578j -0.0194985+0.0051078j -0.0717303-0.147065j -0.177713-0.0136351j 
0.00374499-0.00605171j -0.00338817-0.00150803j -0.0408149+0.0167619j 0.00755143+0.0170816j 0.00786564+0.0238648j 0.000518932+0.0010829j -0.00903785-0.0363251j -0.0042269+0.0504278j -0.0143816+0.00273149j -0.00515095-0.0124809j 0.0387501+0.012399j 0.00246362+0.0290141j -0.00293135-0.00352288j 0.0358016+0.030046j 0.00618316+0.00402094j 0.00883126-0.00490335j 0.0157815-0.0166266j 0.0097418+0.0156928j 0.0572305+0.135838j -0.138738+0.0239075j 0.0132064-0.0205808j -0.0259656+0.0113588j 
-0.0279324+0.0156149j -0.0382554+0.00953754j -0.0012597+0.0008718j -0.0106981-0.0128891j -0.0080734-0.0276618j -0.0100375-0.0597261j -0.00134695+0.0318131j 0.00535983-0.0781365j -0.0018452-0.00884779j 0.000433299+0.000694557j -0.00374328+0.00508713j -0.00889727-0.00400007j -0.033574-0.0161605j -0.0114609+0.000121877j 0.00851808-0.0268045j 0.0689318+0.0954633j -0.0120841-0.0107516j -0.0875344+0.0555278j 0.0118618+0.0338119j -0.0458909+0.0234951j -0.0118746+0.0111898j 0.0173119-0.00248144j 
-0.00381492-0.00469675j -0.0423842+0.00666319j 0.0239991-0.00075713j 0.0110736+0.0219593j 0.00620176+0.0129183j 0.00749678+0.0363656j -0.00537528+0.0345165j -0.0141196+0.034063j -0.0192746+0.00208852j -0.00389909-0.0208858j 0.0386284+0.0164357j 0.00316259+0.0362402j 0.0280855+0.0110281j 0.05535+0.0540054j -0.00619081+0.0369273j 0.00565905-0.00726159j 0.0510198-0.0422021j -0.00142687+0.000971304j -0.00196931+0.0238261j -0.0268955+0.000277635j 0.0040077+0.00240022j -0.0058466+0.00107723j 
0.00481517-0.00192728j -0.042184+0.00953782j 0.057356+0.00574276j 0.000790309+0.00374811j -0.0107487-0.0208145j 0.0128541+0.0817259j 0.000539607-0.0241334j 0.000368016+0.00880743j 0.00084532+0.00443668j 0.00160141+0.0006248j -0.0225469-0.00953335j 0.0115274-0.018043j 0.0606917+0.0286037j -0.0235546-0.0336715j -0.0289625+0.0546639j 0.00956672+0.0231163j -0.0269301+0.0245148j -0.0200914+0.0139749j 0.00438205-0.00400153j 0.00446765-0.00205382j 0.000342651-0.00191669j -0.000795476+0.00415474j 
-0.013864+0.00616702j -0.000926584-0.000507723j -0.0155132-0.000774091j -0.00961634-0.0187792j -0.00213333-0.0396475j 0.000678121+0.0125414j -0.00176581-0.0653587j 0.0033226-0.0160199j 0.0033224-0.00620641j 0.00095831+0.00587348j -0.0201322+0.000527989j -0.00333756-0.0223417j -0.0393745-0.0212028j 0.0320066+0.0394644j 0.0224749-0.0271106j 0.0247643+0.0306008j 0.037478-0.0463252j -0.0378456+0.0174517j 0.00299332-0.0188994j 0.0154463+0.00570772j -0.00222004+0.00169529j 0.00478127-0.00309232j 
0.0229329-0.00106974j -0.000200215-0.000523261j -0.00353093-0.00230078j -0.00801977-0.0129945j -0.00692634-0.000993657j -0.000533712-0.0127933j 0.0114324-0.0389106j 0.00909112-0.0123054j 0.0226882+0.00340876j 0.0019935+0.0244035j -0.036688-0.0181509j 0.00375178-0.0349386j -0.010361-0.00328835j -0.0443066-0.0513164j 0.00232663-0.0197596j -0.0135638-0.00868793j -0.0474056+0.0385439j 0.0144861-0.00491421j 0.000800887-0.0123587j 0.0175096-0.00152182j -0.00268772-0.0085214j -0.00321778+0.000565272j 
-0.047543+0.00885503j 0.0688559+0.00667489j -0.00672413-0.00346821j -0.0132302-0.0183811j 0.00192285+0.0202261j -0.00854012+0.0913789j -0.00518736+0.00943994j 0.005151-0.0118285j 0.00100607-0.00563551j 0.00171664+0.00457594j -0.013955-0.00798536j 0.00263455-0.00970943j 0.0187679+0.00670403j -0.00517336-0.00984598j -0.0157936+0.0228875j 0.025762+0.0554434j -0.0096544-0.00232031j -0.0530974+0.0221755j 0.00729137-0.000880038j -0.00299762+0.00663283j -0.00221091-0.00332201j 0.00020142+0.000909746j 
0.00408136-0.0102632j 0.0471916+0.00550591j 0.0229609+0.0126417j 0.0165316+0.0533388j -0.00358733-0.0540401j 0.0132027-0.0711649j -0.00416946+0.0248438j -0.00158337+0.00474629j -0.0214935+0.0194153j -0.000310714-0.0267288j -0.0414547-0.00181162j 0.0263577-0.0363365j 0.0841654+0.0746354j 0.015419+0.0055622j -0.0517183+0.0787942j -0.00670178-0.0238294j 0.00813106+0.00804312j 0.0274261-0.0118141j -0.00332828+0.00783809j -0.00731803-0.00152312j 0.00251653-0.00197582j -0.00505761+0.00540401j 
-0.0456987-0.0072366j 0.00516817+0.00959528j 0.00408911+0.0072288j 0.0084513+0.0167013j 0.0312672-0.0647314j 0.00115518+0.00152362j -0.0132791+0.0172882j -0.00809272+0.0161812j -0.0377265-0.00564984j -0.00256988-0.0411106j 0.111389+0.0675281j -0.0391322+0.103044j 0.00564547-0.0171295j -0.00281025+0.00170743j 0.00497504+0.00112203j 0.00481086+0.00604284j 0.00725655+0.00231367j -0.00548831+0.000826186j -0.0056995-0.00743179j 0.00065384-0.00627502j -0.00410739+0.0438372j 0.0262596-0.015945j 
0.0053857+0.0054628j -0.00816087-0.000607478j -0.0241867+0.00362149j -0.00934409-0.0156552j -0.0178516+0.0054559j -0.00177471-0.00208246j 0.0102834+0.00433137j 0.0152513+0.036238j 0.0142076-0.00336421j 0.00159236+0.0220859j -0.0498811-0.0204486j 0.016309-0.0566228j -0.000823504+0.00803689j -0.0125979-0.0159834j -0.00454963-0.00109112j -8.90552e-06+0.0116421j -0.0184456+0.0213011j -0.00665802+0.00535891j 0.000524684-0.0205176j 0.0172743-0.018571j -0.0347174+0.124459j 0.0814274-0.0666417j 
0.0207763+0.0310299j 0.0080897+0.00825135j 0.00531254+0.00823684j 0.0944845-0.0692617j 0.0120341-0.00870197j 0.00209441-0.000322916j -0.00886773+0.00247402j -0.00494916+0.000611528j -0.149134-0.102243j 0.0336424-0.166136j 0.00270893+0.00695728j -0.00854265-0.000240305j -0.00201297-0.00266196j -0.00117231-0.0021955j -0.000911081-0.000367837j 0.00190462+0.00049406j 0.00417516-0.00212485j -0.000893714-0.000810682j -0.00346297-0.00680533j -0.000489393+0.00175665j 0.00559666+0.00206727j -0.00238211+0.00570682j 
0.00138057+0.00454908j 0.00354747+0.00931918j 0.0255928+0.0274176j -0.0135248-0.00238893j -0.00868056-0.000994686j -0.000209428+0.00031561j 0.00750938+0.0055535j 0.00491444-0.0228292j 0.019214+0.00411791j -0.00668091+0.034316j -0.0200757-0.00557934j 0.0156426-0.0395675j -0.000629563+0.00396739j -0.00357418-0.0135961j -0.00102135-0.00323552j -0.00212715+0.0084129j -0.018518+0.0240205j 0.00271951-0.00599314j 0.0335041-0.0576095j 0.0421215-0.0597941j 0.0244934+0.0181308j 0.0118009+0.0214951j 
-0.0189518-0.0178245j -0.0149819-0.0241754j -2.03475e-05-0.0111036j 0.000848569-0.0086261j 0.00184468-0.00447842j -0.00109633-0.00340335j -0.0028133+0.00396085j -0.00128852-0.0217154j -0.00832124-0.00616242j 0.00066386-0.00720231j 0.0105858+0.00813635j 0.0029029+0.00341589j 0.00575228+0.00394756j 0.0087639+0.00935543j 0.0112851-0.0127678j -0.0335867+0.00687j 0.00285986+0.00539784j -0.0224529+0.0521132j 0.0368184+0.00795895j 0.00109861-0.0297778j 0.0424185+0.00842392j -0.00895554+0.0415203j 
-0.000799124+0.00831895j 0.00909739+0.0209876j -0.00984966-0.0105452j -0.00582995+0.00207655j -0.00317096+0.0076996j -0.0006559-0.00208927j 0.00276514-0.0101659j 0.00267594-0.0162526j 0.00350758-0.00436564j -0.0114996+0.0226138j -0.000583533+0.00616026j 0.0187646-0.0157442j 0.0147604+0.0158497j 0.0146871+0.0103504j 0.0241383-0.0277771j -0.0315162-0.00468527j -0.0168104+0.0289115j -0.0151009+0.0293062j -0.00376968-0.0131709j 0.000330594+0.0051244j 0.028579+0.0109892j -0.0207505+0.0293923j 
0.00339102+0.00346751j -0.00594655-0.0137881j 0.00327677-0.0229221j -0.00178982+0.00115125j -0.00143322+0.00171667j -0.000292851+0.00246437j -0.000582839-0.00568123j 0.00133125-0.00539708j 0.00327305+0.00231584j -0.00282889+0.00701656j 0.00209038+0.00118694j 0.00818633-0.0208559j -0.0225255-0.0175895j 0.0182436-0.00159771j -0.0221796+0.0283953j 0.020689+0.0127887j -0.0188001+0.0232827j 0.00835806-0.0235476j -0.018707-0.00676809j -0.00476056+0.0169874j -0.00181525-0.00617458j -0.00463545+0.000289378j 
