-0.0478419-0.0320972j -0.0343334-0.0289253j -0.0169356-0.0612952j -0.000752368+0.0434692j -0.00231308-0.0175615j -0.044387-0.0353586j -0.00286827+0.00940666j 0.0211944-0.0609601j 0.0452248-0.000916069j -0.00532475+0.00739095j -0.0337347-0.059442j -0.0423738-0.060045j 0.011123+0.0265002j -0.0374444-0.0184748j -0.0497898+0.035181j -0.0417843-0.0132338j 0.0174229-0.0339043j -0.0344261+0.0667087j -0.0521194-0.0562089j 0.0107931+0.00201982j -0.000373624+0.00775658j -0.0199338+0.0205748j -0.00681237+0.0127854j -0.00878105+0.0855303j -0.00706631-0.00328846j 0.0108194+0.0399022j 0.0294114+0.0386227j 0.019216-0.0062106j -0.00748426+0.0349027j -0.0267614-0.00477509j -0.0347055-0.00471909j -0.0126573-0.0073449j -0.0155864-0.0302948j -0.0402273-0.0281311j -0.0140772-0.0196184j 0.00803323+0.0195109j 0.00733185+0.0723985j -0.00400036-0.00999291j -0.0435107+0.0187746j -0.023048+0.00532847j 0.0230784+0.0232089j -0.0116235+0.0229493j 0.0187344-0.0286357j 0.0319652+0.0195713j -0.0111728-0.0320952j 0.0154771+0.0489049j -0.00726136-0.00189234j -0.0137706-0.0494327j 0.0209849+0.0196147j -0.0186708+0.0108201j -0.044691-0.0027192j 0.026372+0.0237961j 0.00894003+0.0391424j 0.00241489+0.0173632j 0.0124758-0.0212113j 8.43493e-05+0.00537149j -0.0461518-0.0614772j 0.0111196-0.0156488j -0.011971+0.00720167j 0.012287-0.0193017j 0.0330963-0.0115444j 0.0393808-0.00943419j 0.0137819-0.028896j 0.0176298-0.00948348j -0.0211923-0.00929129j 0.0684604-0.0378407j 0.0776428+0.0375029j -0.092565-0.0130149j -0.0122692+0.0122569j -0.0370772+0.0822625j 0.00088994+0.0143855j 0.0311224+0.00507955j -0.101046-0.0641372j -0.023875-0.0074834j 0.051073+0.185362j -0.0640235-0.0880195j -0.119807+0.0377842j 0.120873-0.0606181j -0.178335-0.11602j -0.0502162+0.06357j 0.0922541-0.0133754j 0.0372697+0.0733654j -0.0402613-0.107623j -0.0822076-0.0508975j -0.101205+0.0681683j 0.144212-0.0725388j 0.000569827-0.0524352j 0.0588059+0.010987j -0.0310722-0.00493261j 0.132395-0.0150711j 0.0487872+0.0782127j -0.0621033+0.0399168j -0.0789607+0.131335j 0.00163262-0.028588j -0.173043-0.121236j 0.107215-0.0524833j 0.00914123+0.0337735j 0.0919065-0.114645j 
-0.0359054-0.0270102j 0.0504984+0.0335846j 0.00689081+0.0294815j 0.0129099+0.0610119j -0.0347851+0.0308368j -0.000165227+0.00514773j 0.0240151+0.0753806j -0.00334181+0.000524116j -0.0216683+0.0460108j 0.0516368+0.0220322j 0.0138477+0.0569256j -0.0516911-0.0176807j -0.0490431-0.0589434j 0.0152619-0.0199493j -0.00145476+0.0551034j -0.030911-0.0300933j -0.0101449+0.00927057j -0.0216384-0.0148815j -0.0029716+0.0200755j -0.00870277-0.0050694j 0.0345088+0.0535046j 0.0495325+0.0473264j -0.00373363-0.0354206j -0.000944189+0.00125947j 0.0121554+0.0113104j 0.0278685-0.000930017j 0.0185713-0.0433833j 0.0251734+0.0428394j 0.00086975+0.029429j -0.0228599+0.0419158j -0.00824079-0.0124936j 0.0169352+0.00214982j 0.020211+0.00902109j 0.0295552+0.0249574j 0.01162-0.00199569j 0.0481869-0.00490905j -0.038495+0.0345038j -0.0180912-0.00571291j -0.0416067+0.0255382j 0.0194117+0.0474892j 0.0106104+0.00558425j 0.0153198+0.0166263j 0.0205773-0.0192895j 0.0543964+0.00745527j -0.0189435+0.0244543j 0.0269251+0.0115008j -0.00254657-0.0180823j 0.0161101+0.00311226j -0.00664695-0.0134732j 0.0281644+0.000415493j 0.0208958+0.00901033j -0.0233011+0.0567247j 0.0370119-0.0253379j -0.000938966+0.0142284j -0.0166753+0.00966752j -8.55306e-05-0.0870405j 0.0107039+0.000296197j -0.000551798-0.0195316j 0.00495986-0.0116019j 0.0352308+0.0227197j -0.0300803+0.0291203j 0.0443707+0.0237117j -0.0632238-0.0460655j 0.0307655+0.0743566j 0.00238237-0.007214j 0.0442069+0.0456149j 0.0110528-0.0142884j 0.0183636-0.10242j -0.0247204+0.00422012j -0.042005+0.0211795j -0.0329444-0.0392427j -0.00455577-0.038455j 0.155788-0.0522252j -0.0193779+0.00382555j -0.165949-0.0168902j 0.0750009+0.00689143j -0.0859523-0.142491j 0.137719+0.166216j 0.0123784-0.175332j -0.0408593+0.0185875j 0.00508264+0.0728773j -0.103896+0.00791701j -0.00571231+0.0311935j 0.0961177+0.00784717j -0.144928+0.0507468j -0.0578405+0.085271j -0.0702972-0.0516924j -0.00298753-0.0657174j -0.124349+0.0108421j 0.00096968+0.0391078j -0.0860358+0.0212857j -0.00268655-0.138663j -0.0595778+0.00642543j 0.128319-0.0168939j 0.102681-0.0719426j 0.140474+0.126764j -0.0886167+0.11777j 0.00779265+0.0384867j 
-0.0644527+0.00783582j 0.0281072+0.00156713j 0.00729096+0.0185778j 0.0115547+0.0048314j -0.0337549+0.00185203j -0.0204047-0.00882215j 0.0456964+0.0215751j -0.0212156+0.0277773j 0.0321841+0.0156531j 0.0332-0.0220522j -0.0128524+0.0373944j -0.0468249-0.0152748j -0.0854674+0.0174662j -0.0550844-0.00266506j 0.0590302-0.0467475j -0.00335385-0.0335354j -0.0257313+0.0199191j -0.00161717-0.0494447j -0.0545801-0.00530152j -0.0267532-0.000507625j 0.0470799+0.0130324j -0.00554034-0.00704549j 0.0233676+0.00264959j -0.0450603+0.00683444j -0.0386612-0.000720341j -0.053777+0.0206457j -0.00258549+0.00217408j 0.0424116+0.0281443j 0.0147036+0.0323989j 0.0217942-0.019502j -0.0031966-0.0274068j -0.0336306+0.020193j -0.0370314-0.010077j 0.0467262-0.0444313j 0.0436279-0.0119312j 0.00743173+0.0239872j 0.015685-0.0122591j -0.0452912-0.0280663j 0.0476827+0.0143454j -0.0618473+0.027152j -0.0474861+0.0069319j 0.000910652-0.0082288j 0.00454223-0.00932886j -0.00640376+0.0231139j -0.0144426-0.0246085j 0.0507872-0.00189683j -0.0218214-0.00203452j -0.034408+0.0306818j 0.0100178+0.015999j 0.0935572-0.0400276j 0.0677492-0.0240059j -0.0163671+0.0216045j 0.0228416+0.0405046j -0.0114632-0.0215484j -0.0373019+0.0261384j 0.0369002-0.0244244j 0.0208393-0.0310587j 0.0246906+0.0265699j 0.0342139-0.0284501j 0.0210506+0.00772526j 0.0844497-0.0514606j -0.0682842-0.0281418j -0.0578644+0.0472264j -0.0179807-0.0210248j -0.0781816-0.0840788j 0.0675058+0.0668183j 0.0751526+0.0924849j 0.00539206-0.101925j 0.169085-0.00981693j 0.0173753-0.0325898j -0.0401223-0.00145964j -0.07855+0.120707j 0.0169829-0.116764j -0.220372-0.028733j 0.103372+0.0324438j -0.00731063-0.0695387j 0.109538-0.0166492j -0.0863326+0.0275463j -0.0544223-0.0320965j 0.0908042-0.0657633j -0.0684713+0.054911j 0.0766903+0.0193633j -0.0835217+0.0295142j 0.0308506-0.0719027j 0.0168028+0.0029899j 0.0303761+0.132207j 0.00195003+0.0250216j 0.00522028-0.0584994j 0.124658+0.01941j 0.00953155+0.0539364j 0.206214+0.0732071j -0.0165885+0.00140931j 0.0842035-0.0949867j 0.132346-0.0563265j -0.0162868-0.0634861j -0.122837+0.0376461j 0.0624921+0.0494604j -0.0110042+0.0508538j 
0.0335489-0.00604155j 0.0622272-0.00783361j 0.0136531+0.0157784j -0.00100599-0.0318708j -0.0104918-0.0403746j 0.0585497+0.0230447j 0.00991412-0.0237503j 0.0264693-0.0460737j -0.033312-0.0332075j 0.0526267+0.000771604j 0.0670888-0.0162879j 0.0158387-0.000472808j -0.0344206-0.033565j 0.0580401-0.0389173j 0.0123196+0.00799194j -0.012487+0.0360373j -0.000976159-0.00372004j -0.0199496-0.00745712j 0.0562864-0.00285379j -0.0111532-0.049955j -0.0222999+0.00798344j 0.0131815+0.0247994j -0.0327746+0.000268093j -0.0191536-0.0352934j 0.00865574-0.0220639j -0.0162395+0.0432528j -0.0449962+0.0150697j 0.0465785+0.00249986j 0.0101879-0.0459741j -0.000739054-0.0433163j 0.0086767-0.02958j 0.0236421+0.0182073j -0.0154026+0.0360865j 0.0179946+0.0343603j 0.0195855+0.0293759j -0.0359896+0.00375842j -0.0510048-0.035157j -0.0335921+0.00248139j 0.0142764+0.00961164j -0.0266151+0.0330404j -0.0314867-0.0212765j 0.000495768+0.0199412j 0.00544299-0.000713603j 0.0161532+0.0446088j 0.00266881-0.00885569j 0.000694382+0.0261313j -0.0380262-0.0347505j 0.0518092-0.0162837j -0.0209621+0.0479803j -0.00874047+0.0420215j 0.0290119+0.0758189j 0.0157577-0.00905685j 0.137757+0.0226791j 0.0122087-0.000890429j -0.0367945-0.0383403j 0.0823565+0.0978716j 0.0342465+0.0392213j 0.0327225+0.0580104j -0.038381+0.0224345j -0.0434254+0.0354359j 0.0752151+0.0474584j 0.0250069+0.0111338j 0.0194187-0.0494156j 0.0588169-0.0320954j 0.103089-0.013551j -0.00203194+0.035619j -0.0668397+0.0421121j 0.0423749+0.0701016j 0.0959212+0.0915321j 0.0243004-0.0726624j -0.0201571-0.0648465j -0.15928-0.145341j -0.0271776+0.15787j 0.035468-0.122315j -0.00906917+0.0365404j 0.0505267+0.0273523j -0.0884743-0.0507839j 0.0467397+0.0499487j -0.0698733-0.0797025j 0.114552+0.00445642j -0.0293279-0.0852587j 0.110384+0.0428756j -0.109441-0.119143j 0.0599335+0.0470081j -0.0486261-0.136345j 0.0497668+0.0283669j -0.00760806+0.0223258j 0.0687244+0.0743875j 0.070652+0.0197255j 0.0802578+0.0481329j -0.0560153+0.0542851j -0.135211-0.0119698j 0.0661606-0.0105019j 0.060334+0.203916j -0.0430413+0.0103062j -0.017901-0.0415684j -0.00866336-0.0554067j 0.0633778+0.0312478j 
0.0258509-0.00757031j -0.0219582+0.0160119j -0.00294718-0.00929027j 0.0428513+0.0233949j 0.0697206+0.0538706j -0.00109836-0.0149684j -0.00789673+0.0146446j -0.0132902+0.0570129j 0.0228311+0.0284409j -0.0456161+0.0302344j -0.00762164-0.00124754j 0.0599364-0.0135286j 0.0170207-0.00426394j 0.0238983+0.0297569j 0.0324329+0.0106315j 0.00435924-0.0326439j 0.0319348+0.0137855j 0.0460652+0.0268284j -0.000307077+0.0196407j 0.0239865+0.0429222j 0.000358648+0.000142013j -0.0139572+0.0163322j 0.0237986-0.0419899j -0.0146119-0.00169809j 0.0873326+0.0418344j -0.0363649-0.0692532j 0.0167679-0.0101514j 0.0147556+0.0125499j 0.00441678+0.0250274j 0.051767+0.0587141j -0.00210673+0.0159718j -0.0681258-0.0412456j -0.0118272-0.0177309j 0.00864292-0.00792617j 0.0211008-0.0115866j -0.0412283+0.006176j 0.0644499+0.0315218j 0.047523+0.0221804j 0.0317962-0.0476694j 0.0289152-0.0267475j 0.0271391+0.0205326j -0.00892498+0.0071078j -0.0230813+0.0533495j -0.0071106+0.0146556j 0.00818239-0.0052684j -0.0369833-0.00314956j 0.068655+0.0200758j 0.0162134+0.0779679j 0.0020418-0.0306675j -0.0696399-0.0500694j -0.0441499-0.0322322j -0.0751229-0.00584206j 0.0797291+0.0441677j -0.0410249+0.0053855j 0.0547836+0.00415776j -0.00427486-0.0483106j 0.0281664+0.00951967j -0.0256424-0.0616265j -0.00325492-0.0214658j -0.0338672-0.0286345j 0.0664834+0.0170944j -0.0760771+0.0290911j 0.108151+0.00593259j -0.107577+0.0674763j -0.074601+0.0624776j -0.101527-0.0833527j -0.0879977-0.0553251j 0.00345489-0.0116974j -0.0367457-0.0604106j -0.00617764+0.138818j 0.00107215-0.00647019j -0.131539-0.108231j -0.0285999+0.04979j -0.0245613+0.0670238j 0.034514-0.0226872j 0.0028989-0.0236667j 0.0126475-0.110157j 0.0170469+0.0873556j -0.0848921-0.108067j 0.100707+0.0786607j -0.0838011+0.0393134j 0.0533898+0.0366242j -0.0962807-0.121814j -0.0162674-0.00265719j 0.0565652-0.0984762j 0.0601628+0.0469646j 0.0875331-0.0179359j 0.01709-0.0014416j 0.150127-0.02056j -0.0959089+0.0450327j -0.00614501-0.127188j -0.0234575-0.0366504j 0.0437362+0.0754237j 0.0245484-0.0140942j -0.0635419-0.084422j -0.0692581+0.0721927j 0.0154132-0.00795777j -0.0220331+0.0159616j 
-0.0305245+0.00497294j 0.0253434+0.00122427j -0.0314778+0.0221106j 0.0710945+0.00433537j 0.035087+0.0244349j 0.0322984+0.0162843j 0.0123228-0.0255948j 0.00386407-0.00603869j 0.0101538+0.000372575j 0.0296332+0.016248j -0.00305873-0.013941j -0.054952+0.0232003j -0.0292281+0.00500588j -0.00787265-0.0345343j 0.0474422+0.0108932j -0.0323583+0.00584976j 0.0222217+0.0410369j 0.0599977+0.0156647j -0.0105665-0.00646773j -0.051861-0.0187792j -0.0105318-0.0158494j 0.0834986+0.00885185j -0.0618528-0.029604j -0.015065-0.0239322j 0.0705971-0.00307269j -0.0255177+0.00534148j -0.0261697+0.0550486j 0.0223238+0.0139034j 0.0374135-0.0918752j 0.063906-0.0130981j 0.0111533-0.0223126j -0.0281431-0.0179078j 0.000929198+0.0375605j -0.00171449+0.0104902j 0.0623301+0.00642119j -0.0287773+0.0412205j -0.015286+0.0275315j -0.00791688+0.0101892j -0.0246818-0.0159958j -0.0318763-0.0374146j 0.0306543+0.0139063j 0.0120491+0.0617414j -0.000231147+0.0486917j -0.018357+0.0437736j 0.0229921+0.0154429j -0.00904132+0.0298291j 0.00745408+0.0278836j 0.0477487-0.0205882j -0.0345425+0.0298184j -0.0718215+0.0204234j 0.0397784+0.0297919j 0.0377299-0.0271916j 0.0160072-0.0259416j 0.0277203+0.038581j 0.0148655-0.0624969j 0.000306684+0.0355329j -0.0205158-0.00474552j -0.0563631-0.0537561j -0.0523893+0.0102232j -0.0112092+0.00946646j -0.00634503+0.000706918j 0.117344+0.0480384j -0.0386851+0.0258531j 0.0179391+0.00682863j -0.0384799-0.0498389j 0.0906779+0.10805j 0.0210998+0.153565j 0.0284921+0.0130615j -0.0314033-0.014162j -0.028181-0.00732418j 0.0551768+0.0550952j 0.0658143+0.0920908j -0.0137884+0.0298201j -0.0024788-0.0635237j -0.0506296+0.00304955j 0.032716-0.0128545j 0.032854+0.0750013j -0.0168895-0.109643j 0.0975904+0.0524935j -0.0443733-0.0576298j -0.0282891+0.0437866j -0.0357775-0.0608307j 0.035134+0.0827729j 0.0373548-0.0468978j 0.0986625-0.0874339j 0.0554198+0.136409j -0.108391+0.0464883j -0.0540668+0.0396559j 0.0241901+0.0159728j -0.0225613+0.11168j -0.0435113+0.0167665j 0.0131504+0.0871016j -0.0453899-0.0426707j -0.0546967-0.0305556j 0.0616767+0.000798343j 0.0309374-0.0261784j 0.0153067-0.00084646j 0.0132998+0.0502364j 
0.0308259-0.00194998j 0.0488694-0.0360934j 0.0340402+0.00172245j -0.0129135-0.00884134j 0.00750507+0.025103j 0.00948384-0.0303536j 0.00636241-0.0226389j 0.0237278+0.020172j -0.00687958-0.0160233j 0.038617-0.0224582j 0.0416584-0.0511509j 0.0343004-0.0208609j -0.0450734+0.0199178j 0.039371-0.0286318j -0.00937063+0.0188741j -0.0213518-0.0120604j 0.00169877-0.0200706j -0.0313988+0.0185886j 0.050224-0.0344262j 0.0505141+0.0455828j -0.000809758+0.0468369j 0.00773256+0.00295861j -0.0211143-0.016746j -0.00884336-0.0319891j -0.016411+0.0371369j -0.0308061-0.0525646j -8.02008e-06-0.00496873j -0.00782499+0.0314673j 0.0032645+0.0350195j 0.0102443+0.00388346j 0.0176193-0.00455586j 0.0474724+0.000512461j 0.0183048-0.0178502j -0.0220648+0.0222103j -0.00627789-0.0397309j -0.0119153+0.0318787j -0.00502472+0.014834j -0.0094921-0.00798537j -0.045854-0.00592613j -0.0445104+0.00705125j -0.0384693-0.0306334j 0.0209776-0.0226117j 0.0067778+0.0618079j 0.008464+0.00210255j 0.0447471-0.0427792j 0.0184202+0.0035536j 0.0471231-0.0266918j 0.11705+0.0357929j -0.000355607-0.00965828j -0.0478755+0.0257578j -0.00985174+0.00929197j 0.026727-0.0144265j 0.0368113+0.106057j -0.0512386+0.0683805j -0.0414884-0.0499119j 0.030215+0.0438508j 0.0128825+0.000926383j -0.00205767-0.00328592j -0.0529843+0.0248361j -0.014226+0.0308589j -0.0310054-0.0293703j 0.0430574-0.0718336j -0.00557249-0.0713922j 0.0256634+0.0497649j 0.00354789+0.0563091j -0.000434274+0.0402222j 0.0469277+0.0958004j 0.019804-0.0407704j 0.00207222+0.0230492j 0.0781097+0.0560474j -0.0339618+0.0147291j -0.014741+0.0944327j 0.0670608+0.0383645j 0.0668963-0.038756j 0.0815964-0.00589366j -0.0393902-0.0365057j -0.00636906+0.0583941j -0.0728992-0.0535593j -0.0257285+0.0859755j -0.0393721+0.0063772j -0.0231796+0.0351255j -0.002034-0.00155671j -0.059503-0.0877384j -0.0462164+0.0565793j -0.103026-0.142537j 0.135539-0.127724j 0.0246616-0.0241328j -0.0122372+0.0138933j -0.0111563-0.144594j 0.0689636+0.0274796j -0.0291931+0.0414892j 0.0550504+0.0638185j -0.0232823+0.0118247j -0.00840436+0.00321225j -0.0121267+0.00571248j -0.0333179+0.0229398j -0.0248065-0.0679959j 0.0442755-0.00889874j 
0.0442731-0.0514576j -0.012348-0.00501574j -0.0533312-0.00684746j 0.0222432+0.000226164j 0.02683-0.00581473j 0.0386731-0.0232923j -0.0293148+0.0165565j 0.00930336+0.00713319j -0.0162165+0.0225043j 0.0154052+0.0328271j -0.00999218-0.0152338j 0.0121881-0.0788013j 0.0374077-0.00657636j 0.0949852-0.0319073j 0.0186664+0.010224j -0.015826-0.011295j -0.00447367+0.00888634j 0.0324843-0.0167745j 0.0145911+0.0364241j -0.0294414+0.0110787j -0.0524521-0.0190861j -0.000403191+0.0397656j 0.00455551-0.0256351j 0.0628879+0.00409933j 0.099807-0.00598727j 0.0403181-0.00807627j -0.0241676-0.0206814j 0.0543752-0.0307559j -0.0315977+0.0258301j 0.0194253+0.01121j -0.00495003-0.0290874j -0.0463209-0.0160509j 0.0127272-0.0146637j 0.0568252-0.0643609j -0.0114695+0.00931349j -0.022057+0.0517379j 0.0298448-0.00846122j 0.0153785-0.00866188j 0.006901+0.0076589j -0.00791398+0.0192787j 0.042872+0.040617j -0.0411265-0.0339977j -0.0313971+0.0152903j -0.00478097+0.0199738j 0.0295529-0.0214284j -0.0939217-0.00358276j 0.0516557-0.0620897j -0.0299315+0.0130826j -0.012723+0.00588099j -0.0983408+0.0186238j 0.025352+0.0923039j -0.0488867+0.039018j 0.0938453+0.0927324j 0.0738114+0.0429269j 0.0214007-0.027388j -0.0356774+0.0213566j 0.0312794-0.0586755j -0.0750448-0.0298808j -0.000679788-0.0230261j 0.0321457-0.0406673j -0.0644826+0.000269977j 0.00996085+0.0764784j -0.130307-0.0172469j 0.00875231+0.040005j -0.0163011-0.00765968j 0.000603564+0.0321544j -0.00879773+0.0253638j -0.038462+0.0121328j -0.0560146-0.0152685j 0.0128334+0.014987j 0.00969205+0.0305014j 0.0120636-0.0212657j -0.00575064-0.0686378j 0.0350721-0.00438931j 0.0592144-0.0075857j -0.0225483-0.0152019j -0.046445-0.0114794j 0.0944665+0.0113821j -0.0863737-0.002444j 0.0738255-0.00246695j -0.0369594-0.000362289j -0.027885+0.00328804j -0.0236622+0.0303189j 0.124379+0.0207229j 0.00411563+0.0375641j -0.0366046+0.0320161j -0.0616147-0.110966j 0.00421431+0.0150633j -0.0386091+0.00649247j -0.0447725+0.0663995j -0.0196685+0.00244669j 0.0170586-0.00978729j 0.048883+0.0222874j -0.00676854-0.0316349j -0.0309737-0.0252871j -0.0112224+0.0120387j 0.0100431+0.0305833j -0.046055+0.017785j 
-0.00734912+0.000635706j -0.00336045-0.0198945j 0.00636587+0.0252446j -0.0361212-0.0100615j -0.0108102-0.034758j 0.00937593+0.00415725j -0.0219337-0.00344665j 0.0495751-0.0292581j 0.0536831-0.00676643j 0.053195-0.0355052j -0.022729+0.0347371j -0.0522542+0.0184206j 0.0403446+0.0372908j 0.0104919-0.0341197j 0.00464428+0.00805275j -0.0321354+0.00846786j 0.0226086+0.0472338j -0.069215-0.0434225j 0.0457121+0.0100549j -0.00805544-0.0151629j -0.00547441-0.0227961j -0.0331681-0.0309862j -0.00301381+0.0607238j -0.0260984-0.0200411j -0.0472515-0.0229088j -0.0105657+0.0202642j -0.0469458+0.0314958j 0.0103853-0.0250753j -0.0622226-0.0339755j -0.00034188-0.015112j 0.0519624-0.00252152j 0.0073794+0.00767756j 0.0164364-0.000839644j -0.0740044-0.00502273j -0.0569451-0.00526801j 0.0814645+0.0644463j -0.0905962-0.0127507j -0.0514609-0.0279566j -0.0817682+0.0756305j -0.0581388-0.0376184j 0.0638158+0.0500808j -0.0795789+0.0434744j 0.0346238-0.0397287j 0.0735628+0.0150238j -0.0163877-0.0101739j 0.0124288-0.0299921j 0.00619274+0.042944j -0.0990389-0.0170696j 0.068424+0.0165166j -0.0961231+0.00661369j -0.0246013+0.104714j -0.0129244-0.0805067j 0.00404796-0.0683014j 0.071841-0.0351113j 0.0103083+0.0293829j -0.0195089-0.0601888j 0.0224011+0.140075j -0.0689158+0.0133265j -0.0417581-0.00259963j -0.0215952+0.0469436j -0.104471-0.0542636j 0.00398619-0.0390438j -0.0797901+0.0145772j -0.0631911-0.0288841j -0.0813552-0.131757j -0.00985689+0.00504316j -0.0442636-0.0488665j 0.029854-0.0234328j -0.0486831+0.0241199j -0.0514249-0.0143809j 0.0104453-0.108958j -0.0203794-0.0960049j -0.0366123+0.0644107j -0.088525-0.0658258j 0.175842-0.00363445j -0.139602+0.0294716j -0.0107585-0.0260605j 0.0743895+0.0594896j -0.154228-0.00775384j -0.0103903-0.0842874j 0.0335065-0.0560913j -0.0299666-0.0398843j 0.0447615+0.088037j -0.00896052-0.0289211j 0.0749175-0.0611609j 0.153771+0.0995381j -0.0472503+0.0939513j -0.00259634-0.0303687j 0.0404342+0.0663461j 0.0256828+0.00793438j 0.0093995-0.0103956j -0.0253613-0.0100276j -0.0224615-0.0249181j 0.0198028+0.0295226j -0.0351154+0.0397987j 0.0132408-0.00558095j 0.0810438+0.0377853j -0.0185168+0.0699272j 
0.00391797-0.00941792j -0.019408+0.0161915j -0.00982913+0.0181951j 0.012736-0.0149227j 0.00839-0.0156716j 0.0178832-0.0294237j 0.0206573+0.0311203j -0.00420075+0.0098394j 0.0341787+0.0286145j -0.0593555+0.0161672j -0.0184428+0.0426725j -0.00420311+0.00780764j -0.0018024-0.0302195j 0.01315+0.0309806j 0.0077701-0.013025j 0.0148954+0.00352634j -0.0180714-0.0178816j 0.00983616-0.0603697j -0.00141561+0.00910867j -0.0806186+0.00202056j -0.00487345+0.00470183j -0.010002-0.0131432j -0.00576615+0.0557532j -0.00685741-0.0340672j -0.0199435-0.00316638j 0.020952+0.00989313j -0.00527144+0.0131324j 0.00129911-0.0202678j 0.00647264+0.0281656j -0.0367526-0.00712158j -0.00795224-0.00108237j -0.0295543-0.000568689j -0.0359209-0.00990625j 0.0494982+0.0546813j -0.0101095+0.0441913j -0.0708501-0.0289072j 0.044886+0.00847933j 0.0251212-0.0197895j 0.00239411-0.040509j -0.000501695+0.0291022j 0.0251726+0.0289201j 0.0610802-0.0537124j -0.0854623-0.0674973j 0.027558-0.00203083j -0.024096+0.0301386j -0.0421286+0.010312j 0.0369125-0.107936j 0.0308488+0.00263363j -0.00453918-0.102354j -0.0828563+0.0182814j 0.0407537-0.0448914j 0.0219982-0.0151364j -0.110847+0.0316667j -0.0945717-0.0840677j 0.168154+0.0525156j 0.0544187+0.00668633j -0.0197045-0.112973j 0.067541+0.0968825j -0.0291152-0.0372738j 0.118849+0.00205069j 0.055014+0.0869181j 0.0129519-0.0557297j -0.00664482-0.0182561j -0.0900181+0.0127205j 0.0552402+0.0182455j 0.0107556+0.000920251j -0.0321128-0.0228707j -0.13051+8.51829e-05j 0.109584+0.0373351j 0.0658712+0.00252985j -0.0724024-0.0205882j 0.00682628+0.00328431j -0.0045121-0.0106796j 0.0111335+0.00716702j 0.108236-0.138505j -0.0439637+0.0741662j -0.0900966-0.0669232j 0.100578+0.166322j -0.100521-0.0326167j -0.085058+0.058008j -0.0454906+0.031236j 0.0734083+0.0482466j -0.162248+0.00361606j -0.0229955+0.0652901j -0.0201165+0.12503j -0.0821742-0.0594229j -0.0334041-0.0725464j -0.0225548-0.0769384j -0.057036+0.0247285j 0.0110127-0.0212075j 0.0474855+0.00148838j 0.00434824-0.0462378j 0.00497499+0.0352655j 0.0326602+0.0331701j -0.0800595+0.0472199j 0.0420898+0.064101j -0.0598847+0.0373312j -0.036312-0.0705423j 
0.026474-0.0104772j 0.0108716-0.0202416j 0.0411723-0.0489726j -0.0230034+0.0115279j -0.0178664-0.0172382j -0.0205366-0.00257377j -0.00284821+0.0453701j -0.0448012-0.0175057j 0.0124016-0.00778656j -0.0124597-0.033885j 0.00988062-0.00337041j 0.0229348-0.00867387j -0.037175-0.00104904j 0.0612266+0.00948668j 0.0192293+0.00376941j -0.0110597+0.0515478j 0.018987-0.044022j -0.00915839+0.0441289j 0.0790457-0.0483718j 0.0706937-0.0646634j 0.0605836-0.00633257j -0.0122562+0.0453009j 0.0439062+0.0222615j 0.00671451+0.0361953j -0.0194597+0.0011086j 0.0350209+0.0128896j -0.0203639-0.000376376j -0.0510066-0.0493108j -0.043008+0.0970335j -0.0288419+0.043583j 0.0432924+0.00700639j -0.00085933-0.0495555j 0.0330517-0.056233j 0.0252112+0.0247844j -0.0217844+0.033053j -0.0264958-0.0805931j -0.0080771-0.00329371j 0.0588313+0.0155532j -0.0134881-0.0251857j 0.01356-0.0579855j -0.00290392+0.058094j -0.00709385+0.0655811j -0.053037-0.128631j -0.0326096+0.055333j 0.0816341+0.0133946j 0.00235293+0.0762577j 0.0856031+0.0360838j -0.0613676+0.124467j -0.0294127-0.0582902j -0.0351113-0.00769796j 0.00642472+0.0677513j -0.0600245-0.0108552j 0.0349714-0.0084721j 0.021428-0.0946443j 0.0179955-0.00198718j 0.0164987+0.0122267j -0.0371571-0.139148j -0.0604117+0.0288439j 0.00771166-0.0717897j 0.0385269+0.0736502j -0.0402898-0.0203458j -0.0254676+0.131481j -0.0655617-0.0843515j -0.106341-0.000194006j -0.0567107-0.0966367j -0.0217507+0.120579j -0.0674774+0.0334684j 0.0257478-0.0536601j -0.0349084+0.102146j -0.0240853+0.00872279j 0.0419028-0.0879479j 0.127133+0.0765455j -0.0170738-0.0463255j 0.0521041-0.018373j 0.0444028+0.0944085j 0.0131621+0.0623868j 0.111436+0.0570955j -0.00725005-0.0210035j 0.0328517+0.0263002j 0.00174303-0.04389j -0.0350409-0.0968301j -0.0914318+0.0528494j 0.0993018-0.0315889j 0.0389805-0.0659023j 0.213631+0.0376592j -0.0987289+0.135857j -0.0426196-0.0488938j -0.0304408-0.026227j -0.0241486+0.0356444j -0.104329-0.00958943j 0.0300177+0.0828699j 0.0113468-4.27896e-05j -0.00053511-0.0137576j -0.0459187+0.0149388j 0.0457115-0.00442013j -0.00846395-0.0321058j 0.0284225+0.0728797j -0.107785+0.0287044j 
