-0.0243287-0.0674128j 0.110943+0.057323j -0.0881491+0.0669878j -0.069511-0.0799208j -0.19847-0.114636j -0.113777+0.11455j 0.136412-0.0521809j -0.0756556-0.141709j -0.0667423-0.100001j -0.0918018+0.204543j 0.110004-0.123017j -0.0492969-0.0878502j -0.0833104-0.0126801j -0.150596+0.174847j 0.145709-0.0906678j -0.0147432+0.0214607j -0.00892852-0.0934943j -0.169288+0.191308j 0.0865639-0.201376j -0.102464-0.0503069j -0.0117461-0.0172745j 0.0396355+0.00261665j 0.00176186+0.0593301j 0.100662+0.031862j -0.0355525-0.0361897j -0.020918+0.0319311j -0.134486-0.00355068j -0.113839+0.0567307j 0.0224684+0.0305565j 0.000189821-0.0335652j 0.0361207+0.0832147j 0.110467+0.0348042j 0.0473648+0.0202508j -0.0951813-0.0106389j -0.0134246-0.0450637j -0.0207276+0.0043769j -0.00177917-0.0216675j 0.0045148+0.00350439j 0.00215453-0.0369573j -0.000997125+0.0147002j 0.0590717+0.00733177j -0.0213786-0.0151286j 0.0036543+0.0336977j 0.00450002+0.0116863j 0.00718235-0.0276477j 0.0248666+0.0457469j -0.0158281-0.059191j 0.00392507+0.0137408j -0.0467324-0.0182012j -0.0316202+0.0238962j 0.0410009-0.0220583j -0.00196516+0.0280748j 0.00420629-0.000805533j -0.00850146+0.0132855j 0.00736115+0.00226922j 0.0146852+0.00697455j 0.0320058+0.00286829j -0.000685651+0.00611645j -0.0211148+0.0116882j -0.0273792+0.0373395j -0.078251-0.00352759j 0.0329624+0.0283714j -0.0144845-0.00031327j -0.00727009-0.011189j -0.0219732+0.0240499j 0.0148027+0.0219663j -0.0169985+0.0148575j -0.0512461+0.0283906j 0.0173476+0.00580149j -0.00670612+0.010974j 0.0236943+0.00146286j -0.00258815-0.0163653j -0.0128189+0.0094687j 0.0190505+0.0229192j -0.0177147+0.0090133j -0.00155336+0.00816095j 0.0275662+0.0105368j 0.0395849+0.0351172j -0.0211603-0.0403063j 0.00899063+0.0267689j 0.00661171+0.0171952j 0.0118871-0.0133943j -0.0288059-0.0543778j -0.0164954-0.0333373j 0.00444432+0.0408099j 0.0240617-0.0205795j -0.0223663-0.0498004j 0.0381683-0.0171724j 0.0330448+0.0471384j 0.0174205-0.0055687j -0.0128586+0.00177878j 0.0048636-0.032187j -0.00894166-0.00891169j 0.0282257+0.0730403j -0.111979-0.0488227j 
0.119925-0.0505805j -0.0976134+0.0337722j -0.097699+0.0570857j 0.300969-0.0147455j -0.031229-0.200032j -0.192732-0.189998j 0.0452377+0.100433j -0.0976438-0.0961712j 0.0469921-0.10986j -0.0339718-0.00844242j -0.259405-0.0624096j 0.0712598-0.158877j -0.168523-0.102236j -0.000610324-0.065685j -0.0798593+0.14283j -0.0117694-0.0661705j 0.00147137-0.0244797j 0.000139401-0.206492j 0.0531644-0.0835611j 0.10492+0.0322253j 0.0311414-0.0488141j 0.0774777+0.0383799j -0.0188131-0.0555133j 0.0158433+0.00264539j -0.0708783-0.0676041j 0.00632603-0.0288249j -0.0202599+0.0145816j -0.0656544-0.179802j 0.0543575+0.0110747j -0.0523701-0.00866118j -0.0222207-0.0554207j -0.00562154+0.0825302j -0.0328903-0.00806566j -0.015667-0.0226639j -0.0112856+0.0254978j -0.0329845+0.00685653j -0.00350357-0.013054j -0.00913242+0.00514964j 0.0193272-0.00512771j 0.00982308-0.00527837j 0.0141912+0.0204107j 0.0109161-0.0044154j -0.0227414+0.0194719j -0.0128267+0.0302157j 0.0367617-0.015831j -0.0168232+0.00432214j 0.00262936-0.00473809j 0.0237253+0.00161163j -0.0493018+0.0524959j 0.0146581-0.000121695j -0.0197875-0.027294j -0.00731952-0.00388726j -0.00789393+0.00268559j 0.00550468+0.000554899j 0.0198559-0.00506734j 0.0057406+0.00224253j 0.00393851+0.0224744j 0.0159583-0.0137849j -0.0325056+0.0142357j -0.0258366-0.00871385j -0.00707768+0.00202472j 0.023877+0.00887298j 0.00872972-0.0153715j -0.00782058-0.00356501j 0.0220716-0.0202895j 0.0105977+0.00958722j -0.0083731-0.0259131j 0.0184684-0.00363114j -0.000408555+0.00504503j -0.0147098+0.00894344j -0.00019376+0.00837067j -0.0239518+0.0143466j 0.0216442-0.0105465j 0.0149707-0.0117282j 0.0102753+0.0044369j 0.0203719+0.0341538j -0.000222299+0.008127j -0.0211161+0.00952792j 0.00130183-5.23583e-05j -0.00883041+0.0112653j 0.0133327-0.00521574j 0.00776249+0.00928341j -0.0330861-0.00788522j -0.00355702-0.0255078j -0.00611554-0.00916207j 0.025213+0.0233539j 0.00298883-0.0576096j 0.00887009+0.0163956j -0.0209214+0.00721149j -0.0226879+0.00254244j 0.0157131+0.00325583j 0.0326354+0.00844734j -0.0037968-0.00895998j -0.0541196-0.0140504j -0.0436977-0.0469547j 
-0.0680691-0.0225227j -0.0535888-0.0610592j 0.0471805-0.0103785j 0.0412252+0.0701344j -0.0271245+0.0680097j 0.0854685+0.0780239j -0.142894-0.0817892j 0.0154691+0.155266j 0.0897135-0.0544889j 0.0050553-0.0594304j 0.0970285+0.111766j 0.170286+0.0520166j 0.0793578+0.0782876j 0.0575532-0.0394609j -0.0412917-0.100185j 0.0995319-0.061725j 0.0679824+0.0812836j 0.0582676+0.0743952j 0.0353491+0.171253j -0.0751884+0.111182j 0.0437849-0.0716071j 0.0117969-0.043864j 0.0271378-0.029583j 0.00147666-0.0105737j 0.0288209-0.136975j 0.0885271-0.0885593j 0.0126414-0.0498572j 0.104904+0.0126474j 0.0540092+0.0521992j -0.0727678-0.0673017j -0.14121+0.0775942j 0.00394428+0.104836j -0.0237964-0.0344104j -0.0355872-0.0385151j 0.0221219-0.036323j -0.0771944+0.0139882j -0.0250562-0.00377363j 0.00557696+0.00377969j -0.0452537-0.0228026j 0.0138352-0.0132035j 0.0843903+0.059813j 0.0221687-0.0254915j -0.0129711-0.0181061j -0.00169741-0.00541909j 0.0371392-0.026038j -0.0431303+0.0362389j 0.0195926-0.0459022j 0.0386139-0.0116721j -0.111977+0.0895729j 0.0249701+0.00219365j 0.00257524-0.0998843j 0.0331247-0.0321241j 0.0148767-0.0193452j 0.0366062+0.0108349j 0.0557879+0.0252638j 0.0131194+0.0186909j -0.015362-0.002864j -0.0128906+0.0159579j -0.08817+0.0122807j -0.0403631+0.0100511j -0.0655807+0.0409377j 0.0300345+0.0430274j -0.0443775-0.0589264j -0.0324475+0.0047108j 0.0296613-0.0390118j 0.00979792-0.00900487j 0.00474715+0.0178433j -0.0115153+0.0191303j 0.0044356-0.00628145j -0.0462189-0.0310613j 0.0505945-0.00386753j -0.0485597-0.0118768j 0.0109394-0.00194023j -0.00609342-0.00604265j -0.0171689-0.0194003j 0.0268594+0.0255873j 0.0312822+0.0233203j 0.0181736+0.0136107j -0.0338131-0.0194331j 0.0136333+0.00544911j 0.0547397+0.00809791j 0.00507616-0.0119085j -0.0568453-0.0529847j 0.00344797-0.0619729j 0.0192758+0.0243516j 0.0359887+0.0120958j -0.0123355-0.133529j 0.0567597+0.0416964j -0.0481704+0.0218025j 0.0168099+0.00919249j 0.0085234+0.00045652j 0.049057-0.00639835j -0.00704837-0.0329805j -0.0840753+0.0234025j -0.160799-0.127558j 
-0.0558743-0.0396225j 0.0044743-0.0380611j -0.0915247+0.036952j -0.0503824-0.0358356j 0.0392174-0.0513842j -0.0797137+0.13952j -0.00240667-0.0297039j 0.0420198-0.0330291j -0.0727692+0.0334136j -0.0960687+0.0449706j 0.110792-0.0354245j -0.119569-0.0135767j 0.00519742-0.0481817j -0.0621415+0.104017j 0.0324766-0.0684152j -0.056732+0.1091j 0.0517022-0.0326725j -0.0512221+0.109623j -0.0512658-0.0169758j -0.0278698-0.101826j 0.0571538+0.11457j 0.170342-0.038627j 0.0539576+0.037093j -0.00237544-0.0338232j -0.102565-0.0749106j 0.0241-0.118393j 0.0836892+0.0095087j -0.0761078+0.0615831j 0.035991+0.0245824j -0.0559826-0.0381219j -0.0327428-0.143013j -0.0886085+0.0923041j -0.0529163-0.0694357j 0.0566536-0.107325j -0.0236791+0.0423458j -0.0557453-0.036146j 0.00079342+0.00192745j -0.011741-0.0103789j 0.101165+0.0815098j 0.0326665-0.0342103j -0.104526-0.00186384j 0.0619152+0.0176466j -0.0206031-0.0137417j -0.0284086-0.0238101j -0.00774163-0.00513129j -0.0734722-0.0918362j -0.0131295+0.0661501j 0.0235703-0.0757019j -0.0102243+0.114556j 0.0478571+0.00906833j -0.103799-0.0253731j 0.0187666-0.0333439j 0.00720164-0.0256653j -0.00921887-0.000214388j 0.0481584-0.0114818j -0.00838975-0.0087816j 0.0120225+0.0050813j 0.0237907-0.00486887j -0.0112294-0.0207119j -0.00952817-0.0172148j 0.0905365+0.0257914j -0.00730919-0.000123663j 0.0149501+0.00788871j -0.0226171+0.0129304j 0.09956-0.0978119j -0.0116732-0.00964169j 0.0144199-0.0156517j 0.0702662-0.0223988j 0.00588567+0.00516767j 0.00616323+0.00416408j -0.0070207-0.0203807j -0.0099499+0.0152644j 0.0411227+0.032754j -0.00227349-0.0486902j 0.051267+0.00378919j 0.00999063+0.0526153j -0.0152897+0.0144204j 0.00725853+0.00482565j 0.0544643+0.0626966j -0.00231055+0.0187912j 0.0233681-0.066496j -0.0128617+0.0315398j 0.0398068+0.060539j 0.0403973-0.0116457j -0.0205322-0.0219613j 0.0175677+0.0660406j 0.0450987-0.0619025j 0.0117741+0.0939233j -0.0299063-0.027038j 0.0099734+0.0137778j 0.00163211+0.00128645j 0.0572698+0.0594501j 0.0224413+0.010095j -0.152996-0.122787j 0.0572892-0.0344711j 
-0.172384+0.00185406j 0.096876+0.0190722j 0.0539527+0.0166079j -0.106828-0.00647673j -0.11814+0.00712944j 0.0366734-0.0980315j 0.0623656-0.0742749j 0.131239-0.0521146j -0.0857538-0.0543611j 0.0689467+0.0665211j -0.00330743-0.00105732j 0.20129-0.126919j 0.125458+0.0862524j -0.116443+0.0653409j -0.0531702+0.0500033j 0.119421-0.0564081j -0.106368+0.0596595j -0.12434-0.202057j 0.0148339+0.0827178j 0.0901704+0.0423969j 0.195457-0.0531827j 0.0856046+0.106294j 0.128636-0.0872416j 0.0284417+0.000989765j -0.0580002+0.165035j 0.226031+0.0871917j 0.0495843+0.196459j -0.0280807+0.0352669j -0.0271258+0.131055j 0.0327592-0.227233j 0.0508633+0.0588186j 0.0700982+0.0455675j -0.0462866-0.0111389j 0.0651516+0.112198j -0.101898+0.0945618j -0.0632797-0.0363529j -0.013152-0.00326161j -0.0297655+0.0191475j 0.0438218-0.0777835j 0.0391334-0.0899955j 0.0619759+0.0531634j 0.0215163-0.0294446j 0.0355502-0.0175774j -0.0132256-0.00395609j 0.0120776+0.0293019j 0.042633-0.129219j 0.0307953+0.111459j 0.00660221-0.155446j -0.0640933+0.162909j 0.00970517+0.0670725j -0.00964911-0.0870401j -0.0103014-0.0282884j 0.0595412-0.00619994j -0.0286802+0.0432413j -0.0241661+0.106133j -0.012576+0.032905j -0.00438855-0.00931085j 0.0292862-0.00238469j 0.00201969+0.0141385j 0.000582915+0.0420838j -0.0205834-0.0317398j -0.0239299-0.0234215j 0.0184422+0.021689j -0.0128639+0.0213807j -0.0173443+0.0153541j -0.0422063+0.054252j -0.0217793+0.00246956j 0.0128819-0.0252744j 0.00347194-0.0268476j -0.0289338-0.0232935j -0.0164762-0.0254171j -0.00105611+0.0369506j 0.0160953-0.0042017j -0.0426777-0.029607j 0.00173919-0.0230929j 0.00418341-0.00957463j 0.0151383-0.0109721j 0.0228175+1.49006e-06j 0.0304248+0.00218279j 0.0170609+0.00419773j 0.0186477-0.0201746j -0.00798623+0.00666621j -0.0562322+0.0447378j 0.00913214-0.0673721j -0.0419908-0.0391061j 0.012055-0.0236044j 0.0389813-0.0295775j -0.0243071-0.0213464j 0.0025834+0.011107j 0.0118369-0.0109049j 0.0395057+0.00724256j 0.0060711-0.0318113j 0.031509+0.00835584j 0.00357163-0.00400267j -0.0111726+0.00703293j 
0.0666106-0.0619231j -0.0721551-0.116116j -0.0192386+0.0964962j 0.11123+0.0278387j 0.100048+0.0957164j 0.0815445+0.104428j -0.00568223-0.0439976j 0.0486176+0.0553741j 0.0375564+0.0521407j -0.131853-0.0991192j 0.00507761+0.00674783j 0.141056-0.131094j -0.0575868+0.021214j -0.0542662+0.0305433j 0.114324-0.123989j -0.120436+0.116806j -0.0320366+0.0218519j -0.00607041+0.207561j -0.11035+0.0883425j 0.219897-0.180856j 0.0179673+0.148291j -0.0542532+0.160117j 0.0923671+0.100321j 0.0341199+0.277069j 0.0176409-0.00014564j -0.0148987-0.138834j 0.0035539-0.187499j -0.0131912-0.0901452j -0.0528176-0.0470474j 0.0377028-0.0130702j -0.0412034+0.302889j 0.122088-0.0728663j 0.0231311+0.084002j -0.055427+0.110753j -0.0637467-0.109655j -0.00788199+0.0699635j 0.00802291-0.0312219j -0.0169649-0.0218953j -0.044692+0.057376j -0.0141521-0.0535201j 0.0422376-0.0211199j 0.044531+0.0404778j -0.0138984-0.0231469j -0.0241921-0.00432471j -0.0706443+0.0157839j 0.0587317-0.085334j -0.0189205+0.0554874j -0.062689-0.104989j 0.128303+0.0795077j -0.0841056+0.0327906j 0.120379-0.0742471j -0.0808392-0.0621625j 0.0912725+0.00990717j 0.00554451+0.0465664j -0.0589726+0.0601538j -0.0433007+0.050488j -0.00494004-0.0108653j -0.00164435+0.0184637j 0.0119043-0.00341354j 0.00453773-0.0390216j -0.0283871+0.0382866j -0.0077068+0.0103124j 0.00515142+0.0126293j -0.0266997+0.0280073j 0.0224207+0.00602775j -0.00950117+0.0387322j -0.0118919+0.0234161j 0.0158883+0.0382075j -0.0179413-0.0101635j -0.00835025+0.0201165j -0.0355282+0.00251021j 0.00831322+0.00734651j 0.0184406+0.0107398j -0.0458367-2.21356e-05j 0.00683952+0.00932939j 0.00843802+0.00986911j 0.00864625+0.00663698j 0.000925521+0.0104351j -0.0214935-0.016542j 0.00220884+0.0248486j 0.000523036-0.0214879j 0.0074427-0.0128443j 0.00919486-0.0298618j 0.0524321+0.0141934j 0.0026618-0.023191j 4.94195e-05+0.00496326j 0.00235132+0.00609422j 0.00161434+0.0196063j -0.00275401-0.00371117j -0.0121443-0.0125908j -0.0287544-0.031461j 0.021317-0.00468122j -0.0205794-0.0228654j -0.00064103+0.00667054j 0.0161598-0.0027611j 
0.135967+0.0937761j 0.101595+0.0984948j -0.273865-0.228978j 0.1251+0.0547411j -0.122391-0.0748887j 0.0807958-0.0955729j -0.00629526+0.138124j -0.292658-0.0280405j -0.0567679+0.0129279j 0.0222152+0.104264j -0.137282-0.326728j -0.134732-0.0483823j -0.18001-0.0437543j 0.179392+0.00219682j 0.140258-0.0674163j -0.169324-0.0159467j -0.052105-0.0217995j 0.132802+0.0179592j -0.150917+0.0451933j 0.0678032+0.0863979j 0.156914-0.00722113j -0.0325422+0.0944574j 0.0734879+0.0580619j 0.0967514+0.0610705j -0.0734065+0.093128j 0.0538529+0.0141789j 0.025672+0.00571717j 0.0886695+0.0940304j -9.04651e-05-0.0332675j -0.0273905-0.0421862j -0.0728992-0.0250569j -0.0166191+0.00385671j -0.0293415+0.000552427j 0.015106+0.0487904j -0.0420342+0.00654474j -0.0298629+0.00627167j -0.0025548-0.0138634j -0.0098508-0.0053932j -0.000227307-0.0386647j -0.00266765-0.0320265j 0.0240813+0.0344334j 0.0503952+0.0269166j -0.0106875-0.0134779j 0.00668156-0.0108935j -0.0178119+0.0137042j -0.019319-0.033574j 0.0247909+0.0402871j -0.000139087-0.0803173j -0.0059007+0.081194j 0.00615187+0.0453978j -0.0203659-0.0470822j -0.0165254-0.0292803j 0.0325845-0.0164889j 0.0040938+0.0192592j -0.02274+0.0461317j -0.0186589+0.0243681j 0.0138681+0.0138051j -0.00312695+0.00649013j -0.00515113-0.000245667j -0.00858379+0.00279653j -0.0237618-0.00349472j -0.00315817-0.0114579j -0.00648512-0.00496389j -0.0326896+0.00838215j 0.0138669-0.00252351j 0.00424735+0.0135006j 0.00261639-0.0429625j -0.00458587-0.00912378j 0.0307087-0.00247905j -0.0143261+0.00915203j -0.0080335-0.0277616j 0.0204033-0.0227139j -0.00302604-0.015186j -0.0129706-0.00767097j 0.00717965+0.00454247j 0.0106264+0.0078862j 0.0277995+0.0266302j -0.00345015-0.00586459j 0.0113589+0.00882258j 0.0193369-0.0120177j 0.00379108-0.00710526j -0.00583977-0.0294028j -0.0140935+0.000902658j 0.0211488-0.0106454j -0.00598335-0.00981087j -0.00362011+0.0004251j 0.0067032-0.0051301j 0.00358172+0.00446923j 8.54086e-06-0.00650061j 0.00146739+0.00153409j 0.0043783-0.00467835j -0.00412318-0.00883822j 0.00694974+0.00157532j -0.00744651-0.00229084j -0.00420749-0.00372449j 
-0.12677-0.0362147j -0.136311+0.0646288j 0.275027-0.0935382j 0.0752666-0.103537j 0.0778949-0.081503j 0.114624+0.103505j -0.0413582-0.0518877j 0.126373+0.0841174j -0.02517-0.0342748j -0.019168-0.110616j -0.122265+0.194353j -0.230333-0.0512434j -0.02089+0.105568j 0.110923-0.0551704j 0.0710972+0.210327j -0.0375688-0.143271j 0.0261939+0.101747j 0.0778376-0.0121328j -0.148479-0.00994095j 0.0955855+0.0812446j 0.0704069-0.00543096j -0.137967+0.0478226j 0.0128092+0.16184j 0.0981504+0.12149j -0.0871392+0.133419j -0.0814029+0.0613532j -0.0499847-0.00916494j -0.131144+0.0540913j 0.0771483-0.100446j -0.0536522-0.0189673j -0.145045-0.0565434j -0.125713+0.0569155j -0.027145+0.0411728j -0.00251487+0.00164922j 0.00723033-0.0230517j -0.0281082-0.0256493j -0.000752348-0.00425913j 0.00651463-0.0129675j -0.0288066-0.0566446j -0.0364053-0.0197318j -0.00903618+0.0317931j 0.0487312+0.0616623j 0.00509843-0.00544202j -0.00716825-0.00418414j 0.0667149-0.0358726j -0.0982891-0.0114828j 0.0242515+0.0469304j 0.00389859-0.0941881j -0.0802992+0.098457j 0.15376+0.0269449j -0.200963-0.0644228j 0.0553208-0.00440247j -0.0130897-0.0012943j -0.00587216+0.0140194j -0.0177552+0.0435157j 0.0110655+0.0308716j 0.00200059-0.00046689j 0.00566249-0.00751077j 0.013039+0.00607775j -0.000119569+0.00885354j -0.0349472-0.0215006j -0.000428214-0.0172401j -0.0102554+0.0128547j -0.04172-0.0177954j -0.0187168-0.017016j 0.00784575-0.00217412j -0.00287969-0.0103934j -0.00789406+0.0130602j 0.00565639+0.0178988j -0.0226511-0.0273148j 0.00887867+0.0167198j -0.0191965-0.00229458j -0.00303223-0.0082209j -0.00345958+0.0113364j -0.0125974-0.00313096j 0.0154806+0.0230741j -0.0076072-0.0144105j 0.000162526+0.0111823j 0.0155076+0.0275928j 0.017325+0.00734983j -0.00274124+0.00270043j 1.79783e-05+0.00113787j -0.00949209-0.00744074j 0.0154228+0.000446595j -0.0076658-0.0230958j -0.00290786+0.00645138j 0.00347193+0.0159414j -0.00791988-0.00496585j 0.00462271-0.000167566j -0.0115073-0.00626807j -0.0159815-0.00881675j -0.0243695-0.00854153j 0.0001875+0.00617809j 0.00631209+0.00184362j -0.000726092-0.00080724j 
-0.0354433-0.0620245j 0.18187-0.122782j -0.237101+0.181757j -0.186344+0.0857973j 0.103534-0.0234708j 0.0305809-0.0109036j 0.213178+0.00134019j 0.371924+0.0823937j -0.0606007+0.0550005j 0.010992+0.0342467j -0.020104-0.266346j -0.143095+0.0676678j 0.163753-0.0282812j -0.182432+0.006316j -0.0572966-0.0516692j -0.0371427+0.0576954j 0.0771959-0.0264727j -0.0276531+0.0306211j 0.167495-0.112689j 0.0326732+0.160536j -0.0751776-0.0304788j -0.0446984+0.0783781j 0.0341589+0.140389j 0.0247938+0.0687018j -0.046214+0.0719616j -0.0946878+0.00248983j -0.0764807-0.0245582j 0.0761248-0.0760562j 0.034709-0.0329251j -0.0353007-0.00569497j -0.0877698-0.0454947j -0.112917+0.0842815j -0.0248929+0.0254661j -0.00672163-0.0351743j 0.029251-0.0480715j -0.00517887-0.0321456j -0.0050295-0.0237044j -0.0189968+0.00388938j -0.0308293-0.060098j -0.0385214-0.0159485j -0.0125048+0.0174354j 0.00113308+0.0414443j 0.00565889-0.00857523j -0.047095-0.00822596j 0.0455209-0.0105375j -0.0614043+0.0115843j 0.0441671+0.0266914j 0.0304731-0.0255831j -0.052159+0.0634469j 0.0927784+0.02677j -0.16314-0.0503505j 0.0357544-0.0310881j -0.0358945+0.00259289j -0.00996694+0.00816029j 0.00696588+0.0151401j 0.00223835+0.0346259j -0.00704272-0.00928782j 0.00655403+0.00280975j 0.028279-0.00234906j 0.000817524+0.00828754j -0.0120052-0.0123872j -0.00457415-0.0155422j -0.0101206+0.0256262j -0.0127821-0.015054j -0.0160425-0.0113061j -0.00295476-0.00496498j -0.0221501+0.000565638j 0.00116559-0.00710656j -0.0200126+0.00279555j -0.0146926-0.00417608j 0.0174386+0.0142163j 0.00385227-0.0189304j -0.00637282-0.00801576j 0.0114367+0.00925344j 0.0104538+0.00297085j 0.010204-0.0001445j 0.00496216+0.0302349j 0.0162734-0.00190194j 0.00335805+0.015522j -0.0072034+0.0121392j -0.00309336+0.00875731j 0.0077693+0.0231754j -0.00497427-0.0108074j 0.00397634-0.00135417j 0.00197169-0.0197606j -0.00910673+0.00106523j 0.00140851+0.0166566j -0.00501704-0.00010636j -0.00256942-0.00179379j -0.00728602-0.00270528j -0.0175499-0.0103355j -0.0190026-0.00492965j -0.00286078+0.00175774j 0.00711465+0.00210316j 0.00270399+0.0026845j 
-0.0726308+0.00137552j 0.0544738+0.0501584j -0.0209222+0.0260241j -0.14169+0.0255533j 0.115186-0.178286j -0.0965191-0.15388j 0.129058+0.0688694j 0.111042+0.0388941j -0.0749358+0.0613162j 0.0438464+0.0233706j 0.0631346-0.0135911j 0.122768-0.0032296j 0.0388796+0.0481187j -0.115968-0.0106437j -0.0985427+0.0980132j 0.0209008-0.00810279j -0.035035+0.0535155j -0.00764902-0.0214983j -0.253002+0.0217123j -0.0903577-0.00645791j 0.0725296+0.0959233j -0.0608596-0.159232j -0.167352-0.163284j -0.028428-0.0259645j -0.0683532+0.215054j -0.0224286+0.0619406j 0.0719358-0.0264974j 0.00147344+0.0142223j 0.0580463-0.240585j -0.084009+0.146586j -0.0137686-0.128365j -0.00297142-0.149807j 0.000587324+0.0141028j -0.0527883+0.140788j 0.0187885+0.102814j 0.0510063+0.156538j 0.0171853+0.0253836j 0.00635654+0.00894353j -0.0168045+0.0534215j -0.00309387+0.0452542j 0.00786619+0.0386796j 0.108931+0.0234589j -0.00178231+0.0122052j -0.044239-0.0211358j -0.100593+0.00693328j 0.0239823-0.000694041j -0.00189626+0.0679143j -0.0702228-0.0833887j 0.184304+0.0777832j -0.140331+0.0181809j 0.242454-0.015929j -0.124296+0.00364434j 0.0942578-0.0258254j 0.0114747-0.0111836j -0.0273768+0.0588406j -0.0476501-0.0364561j 0.00120925+0.0132062j -0.0308391-0.00774898j -0.0888065-0.0446264j -0.0339958+0.0262503j -0.0111918+0.0127485j 0.0222652+0.0371697j -0.0500013-0.0555131j -0.00285385+0.00330744j 0.0461297+0.00930947j 0.0189342-0.0114325j 0.00651502-0.0216529j 0.0107462-0.0123735j -0.0148138-0.00706732j -0.00861419+0.00743279j 0.0117659-0.0214018j -0.0191408+0.0278532j -0.00430855-0.0125259j 0.0123265-0.00733682j -0.0140189-0.0262544j -0.00134218-0.00774842j 0.00735934+0.00716172j 0.0122135-0.00701067j -0.0403797-0.00546215j 0.00627401+0.0066372j -0.00436818-0.0199486j -0.0081097+0.00332265j -0.0316022-0.0178002j 0.0293804+0.0147885j 0.00730675-0.00559664j 0.00651396+0.0199456j 0.00152345-0.0138778j 0.0246135+0.0295266j -0.0170122-0.0187101j 0.00853026+0.00863767j 0.0123972+0.0151749j 6.66137e-05-0.00208484j 0.00393984-0.0038966j -0.0288719-0.0051621j -0.0129295-0.00578122j 
-0.00209436-0.0302115j -0.0314147-0.0283431j -0.0583168+0.0875467j 0.127574+0.0216877j -0.0249559-0.113049j -0.0770979+0.0439599j -0.0630162-0.024316j -0.0395398+0.0454325j -0.0410903-0.0554037j -0.0449409-0.00687676j 0.0981861+0.070999j 0.109949+0.0922115j 0.0173395-0.0506192j 0.0177047+0.00131238j -0.0341777-0.127584j -0.0441793+0.0497615j 0.0396339-0.00624616j 0.00861169+0.162569j 0.0265607+0.0723454j 0.0384046+0.00906879j 0.242303+0.1252j -0.0504915-0.176164j -0.10729-0.000257482j 0.0473129-0.151772j -0.155419-0.120125j 0.158535-0.114709j 0.0698567-0.0603751j -0.0209315+0.00276637j 0.054368+0.0262735j -0.0931201-0.015068j 0.0149094+0.0373733j -0.0966998+0.185948j -0.0932095-0.0314371j 0.0247516-0.178433j -0.0147228+0.0213418j 0.0218771-0.0404285j 0.0219307+0.0132026j -0.02124+0.00356621j 0.0642374+0.208051j 0.0150781-0.016827j 0.0490999-0.0631811j 0.00953621-0.0512861j 0.00635372+0.0115157j -0.022744+0.0158942j 0.0405523-0.0106727j -0.0132679+0.00238095j 0.0512101+0.0682938j -0.0111776-0.141268j -0.0593227+0.138972j -0.0148791+0.0279438j 0.0097982-0.0638823j -0.0031041-0.025438j 0.0202531-0.0944678j -0.0243715+0.00145141j -0.0631386+0.087842j 0.0287969-0.050298j -0.0136949+0.00884594j -0.0106018+0.00250315j -0.0236959+0.0892633j -0.0198517-0.0246505j 0.055391-0.120816j 0.035959+0.00883348j -0.0150209+0.0203463j 0.0268993-0.0353998j -0.105213+0.0610581j -0.0306952+0.054186j -0.0391515+0.00855144j -0.0389344+0.00527427j -0.00149934-0.00185809j 0.00589662-0.00490903j -0.0277033+0.0140416j 0.00563964-0.00355897j -0.0315467-0.00540576j 0.0190083+0.0110871j -0.0436108+0.000402921j 0.0388796-0.013361j 0.0122962-0.0176532j -0.00294136-0.00508063j 0.0244334-0.0178376j 0.0119112-0.0128586j -0.0208696+0.0182491j 0.0161141+0.0340948j 0.00102239+0.0335027j -0.00493117-0.015918j -0.0174206-0.0172638j -0.0203849-0.00701678j 0.0260144+0.100626j -0.0640639-0.0663697j 0.0422224+0.0185384j -0.00566318+0.00116969j -0.0127313+0.0151299j -0.0196413-0.0109019j -0.026336+0.00865436j 0.0782115+0.0319153j 0.0342814+0.0548411j 
