0.0134702+0.0666583j 0.0925772+0.0415961j -0.0477788+0.0996553j 0.0309054+0.193931j 0.0331893+0.472174j 0.108916-0.00144986j 0.668547+0.0207135j -0.125558+0.113163j -0.0413015+0.458035j 0.0638576-0.0262538j -0.0851969+0.00747555j -0.00500452+0.0503882j 0.0109567+0.0118365j -0.0913438-0.0475102j 0.00843651+0.0785203j -0.0142973-0.0213456j 0.00473571+0.00346307j -0.00467127-0.110729j 0.063574-0.0353748j -0.0190302-0.000809606j -0.0112213-0.00164608j -0.0960036+0.0278119j -0.00379863-0.0381258j 0.0193253+0.0494585j 
0.00699862-0.0791512j 0.0881521+0.0562436j -0.0642052+0.0938211j 0.133744+0.420104j -0.0561278-0.196228j 0.652658-0.157216j -0.155339-0.0618959j -0.055144-0.47506j 0.0278644+0.0899009j 0.068064-0.0823732j -0.0630764-0.0472586j 0.0905937+0.0930284j -0.0140027+0.00952553j 0.00437493-0.0236654j -0.0147819+0.0549499j -0.10058+0.0344326j -0.00533854+0.00305003j -0.0174023+0.00177496j 0.0789235-0.0398691j -0.00797518+0.0141838j -0.0160192-0.0689118j -0.0338611+0.0333218j -0.00850325-0.0657801j 0.00664545+0.0338673j 
0.000823654+0.00131073j -0.0335448-0.014944j -0.0290541+0.0477481j -0.0546421+0.0585495j -0.0833027+0.0622863j 0.0402035+0.00339168j 0.0731354+0.0118882j -0.0108705+0.000376136j 0.0849365-0.00698723j -0.0895307-0.0817347j 0.193329+0.187439j 0.0575901+0.0265459j -0.0532643-0.0573561j 0.273215+0.342604j 0.114087+0.0019923j 0.0182392+0.0301307j 0.0213621+4.59893e-05j -0.165329+0.21958j -0.0742843+0.0197803j 0.25894-0.0259718j 0.0445344+0.0159881j -0.140406-0.312769j -0.244652+0.0096985j -0.421548+0.323474j 
-0.00163104-0.000265266j -0.00384945-0.00653695j -0.00278536+0.00518479j 0.0716299-0.0273433j 0.036597+0.0124558j -0.031325-0.00593827j 0.0102358-0.0076069j 0.0293527+0.00103255j -0.0600518+0.021553j 0.125835+0.116286j -0.334006-0.291383j -0.0881457-0.0289149j -0.0221486-0.0189143j 0.246724+0.179204j -0.130344+0.314094j -0.0565246-0.113305j -0.283044-0.000927995j -0.0227374+0.150801j -0.108443-0.307427j -0.0117373+0.0393544j 0.28866-0.155185j 0.111112-0.096831j -0.30832+0.286233j 0.0812015-0.0892198j 
-0.00140666+0.00129635j 0.0233141+0.0467507j 0.0509066-0.0353804j -0.158624-0.000750521j 0.0448261+0.000948587j -0.00857672+0.028466j -0.0107149+0.0116471j -0.110766+0.0379813j 0.037827-0.0248315j -0.428342-0.311528j -0.200834-0.0733191j 0.147326-0.361614j -0.286244-0.0382759j -0.0296042-0.0145714j -0.0254772+0.00464658j -0.136775-0.26126j -0.0174142+0.00425654j -0.0239616-0.00330407j 0.0965489-0.00992177j -0.0719059+0.0753905j 0.250736-0.350532j -0.0592753+0.0513081j 0.162211-0.190801j -0.0626372+0.0672635j 
0.001964+0.00308514j -0.001952-0.0105931j -0.0148081+0.000462001j -0.00257712+0.00151635j -0.00406965-0.0031632j 0.0114713+0.0214323j 0.0189197+0.0304085j -0.0107812+0.000295582j 0.045731-0.0310398j -0.00945519-0.0551125j 0.00930167+0.0939369j -0.00353533-0.00100613j -0.0225656-0.0289633j 0.0100998+0.125495j -0.0100303-0.0140213j 0.000765678+0.0079578j 0.0335239+0.0061778j 0.0231626+0.0669522j 0.0220538+0.0232929j 0.129516+0.0103645j 0.0241177+0.00502335j -0.0122188-0.101946j 0.00336111-0.0159777j 0.0270873+0.102228j 
0.00427775-0.00268445j -0.0157428-0.00990031j -0.00798268+0.0165156j -0.0106284+0.0158327j -0.00257818+0.0191145j -0.0191435+0.00738611j -0.0301407+0.0158577j 0.00256139-0.00226712j 0.0280558+0.0214291j 0.00329951-0.00962143j -0.0302516+0.0101829j 0.00443602-0.00941761j 0.00834506+0.00807756j -0.0564856+0.0158045j 0.0108133-0.0159166j -0.00522374-0.00310283j -0.00345114-0.0307844j -0.0379751+0.0334255j -0.00626129+0.00485438j 0.0146659-0.173258j -0.00142563-0.0380553j 0.0366248-0.0181366j 0.00245934+0.000359534j -0.0563893+0.0495987j 
0.00303111-0.0276689j -0.018492+0.00918907j 0.0150858+0.0183866j -0.00319671-0.00290392j -0.0164733+0.00777507j -0.00159372+0.0150425j -0.0188827-0.0145426j -0.0118963+0.016197j -0.00292427-0.00194479j 0.0196604-0.0484679j -0.0266762+0.0438947j -0.027034-0.0174531j -0.0378292-0.0238323j -0.00237975-0.0209034j -0.0389461-0.0373347j -0.00128714-0.00397742j 0.0644057+0.0477486j 0.00723123-0.0104701j 0.00566502+0.0415667j 0.00461424+0.0184248j 0.0208878-9.46248e-05j 0.0286355+0.00151789j -0.0341533-0.0374972j 0.05939+0.0272469j 
-0.0328595-0.00765323j -0.00140709+0.0173963j 0.0182047+0.000375619j -0.0125624+0.014211j 0.00901407-0.0140104j -0.0223157-0.00554081j 0.0281492+0.00844255j -0.00352899-0.0216711j 0.011142-0.00836395j 0.023886-0.0107023j -0.0490323+0.0152636j 0.00353387-0.012543j 0.00280486+0.0353555j -0.00601432-0.00352287j 0.0112499-0.0309411j -0.00378033+0.000471353j 0.0296962-0.0755313j 0.000938017-0.00599654j -0.0173218+0.0184734j 0.0132068-0.0523155j 0.0154086-0.00743891j 0.016348+0.0122665j 0.0142469-0.0294395j -0.00938148+0.0210704j 
-0.0158985-0.00331551j 0.0252221+0.00870799j 0.00724558-0.0258641j 0.012224-0.00317309j -0.033984+0.0219722j 0.0142504+0.0281509j -0.0294406-0.0339387j -0.0232883+0.0209213j -0.0120271+0.0169343j 0.0127328-0.0111403j -0.0121131-0.0103931j -0.00703715-0.0109759j -0.016402-0.00764704j -0.0140089+0.00586974j 0.0183332-0.00244854j -0.00785833-0.0124007j -0.00975611-0.0710151j 0.0120174+0.00190618j -0.0102844-0.00482883j 0.012824+0.00444502j -0.0291396+0.000103752j 0.00213398-0.00210627j 0.0314307-0.00392044j 0.00817211+0.0110795j 
0.0311189-0.023381j 0.0116812+0.00985982j 0.010606-0.013504j -0.00301487+0.00153196j 0.00981656-0.00406021j 0.00610315-0.00222663j 0.00610307+0.0165013j 0.000935073-0.00997368j 0.015867-0.00362j -0.0151779+0.0214594j 0.000416405-0.0024164j 0.0304353+0.0058674j 0.0269851+0.0449327j -0.0028733+0.0165354j 0.0347176-0.00290867j -0.00267617+0.00903676j -0.00781267-0.0797661j -1.2693e-05+0.00482052j -0.00540681-0.00491512j 0.00746681-0.0174261j -0.004745+0.0077423j -0.021882-0.00252848j 0.0505253+0.000785109j -0.0397353+0.00147634j 
-0.00615931+0.00204199j -0.00315278+0.0191421j 0.0186402+0.00392627j -0.00651682-0.0101151j 0.0234239+0.0343147j 0.0300984-0.0216972j -0.0348712+0.0334922j 0.0303551+0.0246435j 0.0105198+0.0169119j -0.00203551+0.00424867j -0.021754+0.00828175j -0.0118486+0.00999069j -0.00345135-0.0283682j 0.0313634-0.0104878j -0.0021523-0.00702661j -0.013823+0.0118299j 0.0218816-0.0205949j 0.00119085-0.00739726j -0.0172997+0.00875887j -0.0175266+0.0160917j 0.0113767+0.0229167j -0.00373612+0.00104985j -0.0198757-0.0114106j 0.00703827-0.00506552j 
-0.0195081-0.0343921j -0.000148421-0.021181j -0.0218257-0.00492658j 0.000912232-0.00660893j 0.00855734+0.00543734j 0.00340577+2.71693e-05j -0.00951115+0.0133209j 0.00640144+0.00609972j 0.00655741+0.00171019j -0.0597319+0.0198279j 0.0581687-0.00151896j 0.0191696+0.0203979j 0.0231404-0.0213577j -0.0121497+0.00277401j 0.000930733+0.0204565j 0.00141426+0.00996384j -0.0335805+0.0668587j -0.00956284+0.00566148j 0.0306428-0.00757114j -0.00500859+0.0159149j -0.0119179+0.00924151j -0.0252524-0.0137974j 0.0150591+0.0265466j -0.0187951-0.0161339j 
-0.00725155+0.000483353j -0.0130855-0.00597529j -0.00603916+0.0112034j 0.00844822-0.015995j -0.00459037-0.00181983j 0.021482+0.0388627j -0.00227598+0.00328457j -0.035478+0.0181193j 0.0177977-0.0122154j -0.0176035+0.0206001j -0.0319071+0.0164787j 0.0741992-0.014687j 0.0127484+0.160357j 0.00358417+0.0286228j 0.000999368-0.0108886j 0.00615128+0.000144613j 0.0132352-0.0230346j -0.00309194+0.00180534j 0.0135964+0.000525511j -0.00719076-0.00797644j 0.0741153-0.00708086j -0.0160123+0.00106001j 0.0547611-0.0049179j -0.0276601+0.00468743j 
0.00547141-0.00556749j 0.0156507-0.0153525j -0.0143258-0.0151446j 0.000161876-0.0157491j -0.00283489+0.00110842j 0.0278023-0.0226544j 0.00292349+0.00126939j 0.0212901+0.013949j -0.00640963-0.00761563j 0.162808-0.00694939j 0.0369599+0.00181875j -0.0206058-0.0381268j -0.0638939+0.0733228j -0.00925187+0.011467j 0.00745911-0.00272969j 0.052609-0.00667068j 0.00420236-0.0133697j 0.0108031+0.00263966j -0.03339-0.00896011j 0.0101843+0.00516937j -0.0329701-0.0252971j 0.0204506+0.0107186j -0.030874-0.0180711j 0.0190194+0.0104962j 
-0.000313571-0.00385017j -0.00270655+0.00618804j -0.000648071+0.000195608j 0.000286086-0.00189614j -0.00229579-0.000147461j 0.00764509-0.011203j 0.00634116-0.0142157j 0.00483003+0.00540958j -0.0238226-0.00538473j -0.00145195+0.00059778j 0.0190953-0.00418135j 0.0011246+0.00713695j -0.00361664+0.0131935j 0.0182432-0.00928978j 0.00653039+0.0120263j 0.00520552+0.000386229j -0.00250511-0.0149956j -0.00695459-0.0241206j -0.0108642-0.0163434j -0.0151488-0.047333j -0.00579271-0.00903618j 0.0111647+0.0247059j -0.00696591+0.00252167j -0.0532439-0.0120051j 
0.00154728-0.00300467j 0.00145465+0.00708883j 0.000202933+0.00176325j -0.00230676-0.0140524j -0.0011748-0.0139378j 0.000585515-0.00493425j 0.00434035-0.00944007j 0.000331952-0.00151978j -0.0164042+0.0124339j -0.0126671-0.001334j 0.0106187+0.00414182j 0.0024898-0.00426471j 0.00964375-0.00350018j 0.0137216+0.00980074j 0.00045947-0.00593565j -0.000860951+0.00213058j -0.0200665+0.0018734j 0.00824767+0.0099511j 0.00490619+0.000276983j -0.0657345-0.00491867j -0.0137125-0.00245669j -0.0393992+0.0312822j -0.0217596+0.00706797j -0.0575973-0.0319074j 
-0.0129783+0.00735123j 0.0145195-0.00157179j -0.000335186+0.0113857j -0.00820136-0.00439953j -0.00515295+0.000207445j -0.00548837+0.000972718j -0.0183538+0.00952345j 0.00670293+0.00121479j 0.0175501+0.0257154j -0.028355-0.0101896j 0.0169355+0.00651939j 0.00813679+0.00239632j -0.000619208+0.0139103j 0.00222623-0.00184256j 0.00681708-0.00137717j 0.000458615+0.00262834j 0.00115038-0.0199263j -0.0161188+0.0176907j -0.00885527-0.000136238j -0.0235045+0.0084604j -0.00234+0.000804127j -0.0290887-0.00845398j 0.00655094-0.00460785j -0.0306353-0.000763678j 
-0.0018535+0.0030886j -0.00512535-0.00142394j -0.00180652-0.0016831j 0.0129411+0.016117j 0.0146293+0.0195368j -0.0127883+0.00651455j -0.0222662+0.0130769j 0.00517217-0.00582148j 0.00293343+0.00421909j 0.0070023-0.00808652j -0.00718377+0.0153731j -0.00516495+0.00525445j 0.0040757+0.00686916j -0.0031371+0.0166488j -0.010674+0.00688507j 0.000643608-0.000918541j -0.00347948-0.0192297j 0.0211087-0.0208628j 0.0137258-0.0138447j 0.0244704-0.0616447j 0.000651246-0.0124363j 0.0297249+0.0132502j 0.0170766+0.00770922j -0.00372441+0.00143794j 
