-0.00298856-0.00562734j 0.00152743+0.0221875j -0.00490108+0.0156116j 0.00130061-0.000371542j 0.000891607+0.0029209j 0.000139344+0.0421645j -0.00656417+0.0185623j 9.09044e-05+0.0286458j 0.00510257+0.0159505j 0.017163+0.040482j 0.0167759-0.00176468j 0.00866964-0.0542144j 0.0491486-0.0304131j -0.0546908+0.0726525j 0.018653+0.0496725j -0.0188021+0.00585655j -0.00564871+0.0130724j 0.00082623-0.00422914j -0.023568+0.00933724j -0.0162384+0.0128985j -0.0166147+0.0106804j -0.0211621-0.000131167j 0.0190617-0.00153293j 0.0118572-0.00425492j 0.00957125+0.00592711j -0.0144874+0.0155811j 0.00479695-0.00629592j 0.0224088-0.00451499j 0.0111434-0.00686315j 0.0151192-0.00654087j -0.0292974+0.000234686j 0.00659509-0.0037975j 0.0331186+0.00942888j 0.0268184+0.00579506j 0.0335075+0.0189285j -0.0186968-0.0140027j 0.0249834+0.00858837j -0.00406388+0.00056108j 0.00906106+0.00795264j -0.0105577+0.0017211j -0.00525939+0.00159896j 0.00864813+0.00505745j -0.00443225-0.0110813j 0.00379935+0.000449112j -0.0036023+0.00730914j -0.00531437+0.00522687j -0.00502599-0.0032142j -0.0103437-0.00113227j 0.00256497+0.0117377j 0.00144237-0.00642366j 0.00279257-0.000834991j 0.010316+0.0047826j 0.0060294-0.0141213j 0.00473797+0.00216458j -0.00906852+0.00813533j -0.0108036-0.00831245j -0.00167408-0.00372154j -0.00339668+0.00610673j -0.00066461+0.00289919j 0.00966677-0.00132441j 0.0120415-0.00546864j 0.013052+0.00475016j -5.382e-05-0.00461661j 0.0075526+0.00293275j -0.0121498+0.0104427j 0.00266964-0.00347511j 0.00272933-0.00665661j -0.00680381-0.00987335j 0.0116943-0.0109198j 0.000244585-0.00213414j -0.00599024+0.000259167j -0.00444173-0.00398241j 0.0168759+0.000772679j 0.00485411-0.0101477j -0.00811694-0.012782j 0.00651611+0.00189019j -0.00274236-0.000234246j -0.00671994-7.18033e-05j -0.000323038+0.00625941j -0.00374402+0.00329548j -0.00615158-0.0181895j -0.00583666+0.00883902j 0.00221028+0.00066274j 0.00582773+0.00201433j -0.0214343-0.00841752j -0.00124262-0.00536542j 0.0043978+0.00643745j 0.0018751-0.00193964j -0.00713709+0.00789548j -0.00880447-0.00660658j -0.0136723-0.0133516j 0.0110288-0.0176512j -0.00481229+6.78294e-06j 0.0161898+0.00342873j 0.0101771-0.0190915j 
0.00294782+0.0268442j 0.00382949+0.0142713j 0.00489441+0.00954702j -0.00966112+0.0237272j -0.00488891-0.0122162j 0.00993613+0.0186098j -0.016446+0.0169557j -0.0154223+0.00310468j 0.00857718-0.00316137j 0.0231652-0.00890891j 0.00434495-0.0615212j 0.0230217+0.0270398j 0.0183509+0.020608j 0.0228736+0.0421939j 0.043663-0.0693006j -0.0136887+0.0204318j 0.0221308-0.00399581j -0.0188777+0.00314174j -0.0194063+0.0134349j -0.00242615+0.00413283j 0.00257465+0.0105328j -0.00972403+0.00274658j -0.00835938+0.000409211j -0.0125901+0.00220586j 0.00207873-0.00354298j 0.00729306+0.00400753j 0.00566504+0.00307298j -0.000219691-0.00898595j -0.0495458+0.00322015j -0.0246602+0.00551035j -0.0208967-0.00497415j 0.0249721+0.0121929j -0.0259086+0.00132599j -0.00336695+2.00317e-05j -0.0162042-0.000639642j 0.0245185+0.00782032j 0.0220614+0.0101619j 0.00899674+0.0101537j 0.0102503+0.00113186j 0.0030452-0.00222591j -0.0121601+0.00404871j 0.00626049-0.00436622j -0.00990646-0.0129101j 0.00302708-0.000524115j -0.00929059+0.00521673j -0.00672141-0.00329339j -0.0119922+0.00101153j -0.00142344+0.00307411j -0.00246269-0.00100109j -0.000271986+0.00187827j 0.00943378+0.00516433j -0.00364134-0.00795732j -0.00255051+0.0027223j 0.00205686-0.00294201j -0.00100622-0.00828864j 0.00191599+0.00677937j -0.0047754-0.000641673j -0.000807217+0.00645052j 0.00282582-0.00498157j -0.00324953+0.00298593j -0.00567654-0.00359003j -0.0109491+0.000160129j 0.00252202+0.00117947j -0.00261309-0.00526645j -0.00448747+0.00739835j -5.2808e-05-0.00268498j -0.00647667-0.00286063j -0.0131164+0.000884207j -0.00251318-0.00119522j 0.0221471-0.0069214j -0.000714118-0.00178483j 0.00564623-0.00752934j -0.0048983-0.002465j -0.00547939-0.000923566j -0.0054909+0.000392248j -0.00933921+0.0148167j -0.022951-0.0213501j -0.00791092-0.0154864j -0.0066269+0.00574773j -0.0148173+0.00978347j 0.0076668+0.0108252j 0.00244846-0.00542981j 0.018283-0.0112798j -0.010076-0.0201215j 0.0047909+0.00588952j 0.000293553-0.00972025j -0.00632079+0.0079614j -0.000605342+0.00940641j 3.08609e-05-0.0240698j 0.00996535+0.012481j -0.015979-0.00354087j -0.00161489+0.00175913j 0.00341096+0.00237033j -0.00441534+0.0193604j 0.0174894-0.00464749j 
0.00640149+0.0308714j 0.000115218-0.00284226j 0.0136344+0.0121038j -0.0121631+0.00779118j -0.00397406-0.00176124j 0.0165258+0.0090703j -0.0161291+0.0274504j -0.0172164-0.0297103j 0.0106856-0.0285904j 0.0108902-0.00294459j 0.00557041+0.0676564j 0.022233+0.0157024j 0.0175302-0.0781284j 0.0013245-0.00867885j -0.00202873+0.00340781j 0.000195505+0.0150857j 0.0223984-0.014994j -0.00817102-0.00174058j -0.0144179+0.00970229j -0.0192081+0.00595791j 0.00237367+0.0047609j -0.00311251+0.00524428j -0.0164943+0.00374756j -0.027189+0.0102251j -0.0239679-0.0055396j -0.00509928+0.00175451j 0.0160273+0.00238905j -0.0233751-0.00128789j -0.00172666-0.00790458j 0.0472382+0.000170848j 0.0329048+0.00426736j -0.00964351+0.00499632j -0.0136693-0.00836201j -0.00895186+0.0034583j 0.0422833+0.0134073j 0.0109516-0.00207281j -0.00639332+0.00113867j 0.0136167+0.00867965j 0.00425096-0.00514348j 0.00861019-0.00469921j -0.00443055+0.00665594j 0.0051603-0.00132601j -0.00668278-0.00722127j -0.00229852-0.0105574j -0.0102558-0.00172959j -0.00159631+0.00280233j -0.00596219-0.00426737j -0.00608301-0.000598147j 0.00746128+0.00492123j 0.00720905-0.00454615j 0.00184538+0.00641358j -0.00212001-0.00105807j 0.00486273-0.00093664j 0.000795177-0.00488193j -0.00988361-0.00542512j -3.80947e-05+0.00254264j -0.00523857-0.000463628j -0.00335+0.00889766j -0.00183835-0.00803898j 0.000682923+0.00613734j -0.00041434+0.00655267j -0.00862042+0.00406849j 0.00807505+0.00456269j -0.0114177-0.00470411j -0.00230371+0.000988461j 0.00228821+0.00060906j -0.0178882+0.0109178j 0.0122614-0.0078641j -0.00666753+0.000780374j -0.0202532-0.000612443j 0.00178722+0.0130526j 0.0050591+0.0150372j 0.0085662+0.00768549j 0.00551188-0.00166758j -0.00885124+0.0141434j -0.00788989-0.0176059j 0.00342528+0.00520045j 0.00819629+0.0038382j 0.00452281+0.00317043j 0.00354842-0.00396617j 0.00355606+0.000285227j 0.00492465-0.0044205j -0.0026596+0.00477291j -0.00292087-0.00821785j -0.0134095-0.0130045j 0.0122714+0.00146582j 0.00415555-0.00954471j -0.00633751+0.00261962j -0.00616161-0.00126438j 0.00786317+0.00208683j -0.00630446+0.00141005j -0.00223242-0.0127146j -0.00447386+0.0140365j -0.0026746+0.0114238j 0.00887818+0.000377342j 
-0.00304701-0.0156371j -8.79393e-06+0.000905398j -0.00328304+0.0065984j 0.00309395-0.0201686j 0.0162084+0.0592246j -0.0152725+0.000548546j 0.00403564+0.0720739j -0.00608613-0.0464816j -0.005705+0.0571563j -0.0224091+0.0260056j -0.012335+0.0629908j 0.012757-0.0282027j -0.00495653+0.00602474j -0.000858417+0.000479562j -0.000344896+0.00085014j 0.000493821-0.00740028j -0.010748+0.00695207j 0.0105832-0.0059469j -0.00455756-0.00297429j -0.0285466+0.0124417j 0.0180584-0.0180027j 3.4296e-05+0.00154204j 0.0118337+0.00342707j -0.00721848+0.0108899j -0.0135294-0.00415151j 0.0465882+0.00517287j 0.0173334-0.00231774j 0.0271221-0.0049157j -0.00335279+0.00155412j 0.00910649-0.00278147j 0.0084562+0.00587404j -0.0156747-0.011637j -0.0484788-0.0110685j 0.00715525+0.00375623j -0.00361655-0.00158267j -0.00480967+0.00111093j 0.00254993-0.00130503j -0.00666242-0.00445504j -0.00207592+0.00283829j -0.00368752+0.000434545j 0.00535267-0.000313387j 0.00114039+0.0051447j 0.00377657-0.00114526j -0.00591391-0.00560823j -0.00520899-0.0157496j -0.000655661+0.000870339j 0.00491231+0.0060026j -0.00336043+0.0052733j 0.00740644+0.011384j 0.00109334-0.0112569j -0.0128851+0.0140657j -0.00904472+0.00616033j -0.00174459+0.00670714j -0.00833023-0.0137774j -0.00897328+0.00583384j -0.00848629+0.00257723j -0.0144508+0.00654837j -0.00951861-0.0108119j -0.0129112+0.00144278j -0.00675914+0.00180446j -0.00562994-0.00725829j -0.000695221-0.00351626j -0.00469658-0.00273252j 0.00921583-0.000473083j 0.00647983+0.00731586j 0.000490061-0.00128381j -0.0110753+0.0050497j -0.0031408-0.00206277j 0.0169396-0.002566j 0.0117488-0.00512981j 0.000367137+0.000138707j 0.00561747+0.0123082j 0.00592641-0.00332201j -0.0129185-0.00316931j 0.00349625-0.0113638j 0.00138832+0.00901793j -0.000793633-0.00191992j -0.0022239-0.013711j 0.0143059-0.00243949j -0.00113413+0.0131039j 0.0185832+0.00921994j 0.0146096+0.00386989j 0.002198+0.000508909j -0.00454102+0.00195606j -0.00140339-0.00210756j -0.00180691+0.00432639j 0.00320265-0.01915j -0.00578944+0.0113566j 0.0013464-0.0101428j -0.00296713-0.00289808j 0.00165511+0.000515255j 0.00181957-0.00230467j -0.00145974-0.000906961j 0.0011962-0.0046591j -0.00389676-0.000393639j 
0.00635639+0.0259699j -0.00181553-0.0121494j 0.0203345+0.0207603j -0.0113036+0.0112321j -2.14816e-05+0.0488481j 0.00687225-0.0140026j -0.0184083-0.0314318j -0.00766194+0.0167299j -0.00524264+0.087651j 0.00420472-0.048229j -0.00180746+0.00266958j 0.00275011-0.0228374j 0.00284156-0.00549897j 0.00117513-0.000200792j 0.00181174+0.000463205j 0.00591037+0.00772279j 0.0171664-0.0159539j -0.00580272-0.0047224j -0.0175273+0.011666j -0.0209668+0.00724721j 0.015202-0.00803989j 0.0330522+0.000169244j -0.0317416+0.00190012j 0.0401831-0.00766795j 0.00924223-0.0123908j -0.000574469-0.00354577j -0.000799563-0.00386514j 0.0193357-0.00784739j 0.0043209-0.00995566j -0.0530276-0.0105979j 0.00857988+0.000170585j 0.0227033+0.00221336j -0.00519627-0.00165147j 0.013999+0.000906065j 0.00770244+0.00235717j 0.00413948-0.000868366j -0.00493938+0.00237152j 0.0122252+0.00549455j 0.0009216-0.00626786j 0.00820414-0.00650983j 0.000247095+0.0057357j 0.00446806+0.000162674j -0.00732136-0.00842575j -0.00167249-0.00845951j -0.0159766-0.0118857j -0.00283102+0.00365893j -0.00469428-0.00205091j -0.00416553+0.00776311j 0.00102797-0.0165568j 0.00913583+0.0106341j -0.00828301-0.00346711j -0.00568247+0.00734331j 0.00251474+0.00726461j -0.0101896+0.00721181j 0.00905543+0.00849212j 0.0111909-0.0121188j 0.0151735-0.00157827j 0.00592257+0.00233735j -0.00477234+0.00581482j -0.00960398+0.000583243j 0.0173801-0.0151963j 0.00267715+0.00992243j -0.00449737-0.00229408j 0.00764273+0.00990514j 0.000846674-0.012466j -0.0239397-0.0096958j 0.00889164-0.00396861j -0.000538966+0.0140953j -0.00297359+0.000972439j -0.0108129+0.00387503j 0.00139934+0.00266729j -0.0135969-0.00321975j 0.00212848+0.00609159j 6.02095e-05+0.00840541j 0.0122615+0.00205098j 0.0229554-0.00297393j 0.0132992+0.0029755j -0.0053397+0.00682598j -0.00387927-0.0144048j 0.000168915-0.00356827j -0.000278467-0.00421482j 0.00179675+0.0204916j 0.00158215+0.00807964j -0.00524991+0.0159074j -0.0079729-0.00165223j 0.00269378-0.000892776j 0.0012448+0.000525809j -0.00410892-0.00174226j -0.00347881-0.00584631j 0.0058561+0.000923636j -0.00173173+0.000786491j -0.00228321-0.00854165j -0.00258334+0.00607352j -0.00344188+0.00671813j 0.00476801+0.00275891j 
-0.00812057-0.0202684j 0.009681+0.0448565j -0.0264046-0.0118276j 0.00274331+0.0526696j 0.0141131+0.0427869j -0.0196547+0.0462325j -0.00150065-0.0260349j -0.0045101+0.0305993j -0.0044551+0.0107011j -0.00729394+0.0209829j -0.00210182+0.0114492j -0.00305438+0.0175382j -0.00173032+0.00473334j -0.00222635+0.00201357j 0.00214675-0.00203502j -0.0253614+0.00414996j -0.0146525+0.0285616j -0.0158855+0.00943738j -0.00937086+0.00459769j 0.0031513+0.0160089j 0.0406935-0.0038921j -0.00528779-0.00845098j -0.0356809+0.00455388j 0.0196065-0.00608766j 0.0345498+0.00958578j -0.00284586+0.00467962j 0.00600707-0.00682005j 0.00512106+0.000199735j -0.0216485-0.00233097j -0.00828642-0.00340955j 0.0176612+0.00290593j -0.025352-0.00308604j -0.000805243-0.0037845j -0.010641+0.000638235j -0.00511004-0.00208086j 0.00236358-0.00184387j 0.00720031-0.00269344j -0.0195364-0.000348231j 0.0100938+0.0146838j -0.0150431+0.0077387j -0.00712695-0.00653522j 0.00367793-0.00263506j -0.00233112-0.00591949j -0.000397772+0.00505285j 0.00168527-0.00697341j -0.00904701-0.00601756j -0.00394544+0.0165811j 0.00633568+0.00696716j -0.00662089-0.000614795j -0.00141405-0.00114083j -0.00636889-0.00270077j -0.0103207+0.00685684j -0.005966-0.0115241j -0.00701643-0.000879438j 0.00634311-0.00323689j -0.0191519+0.0124888j 0.00643336-0.00946186j -0.00426538+0.0152667j 0.000778088-0.0125137j 0.00583296+0.00605202j -0.000892361-0.010198j -0.0143149+0.00211281j 0.0164122+0.00643015j -0.00864148-0.0120534j -0.015993-0.00416601j -0.00830302-0.00988267j 0.0012383-0.000215864j -0.00936104-0.00635571j -0.00546773+0.0100309j -0.00871278+0.00735412j 0.0108219+0.000753975j -0.00875259-0.00496156j 0.00421475+0.00258091j -0.00150723+0.00517168j -0.000764147+0.00122543j -0.00308358+0.00216076j 0.000688854+0.00308141j -0.000645649+0.00823698j 0.00536592-0.00345947j 0.0048586+0.00435986j 0.00991831-0.00118999j 0.00344596+0.00346839j 0.00232121-0.000425561j 0.000433754-0.00394058j 0.00631851+0.00167986j -0.00591644+0.004127j -0.00212878-0.0107184j 0.00037186+0.00126497j 0.00526405-0.00295351j -0.00516613-0.000641886j -0.00315093-0.00371927j 0.0046887+0.00667299j 0.0026611-0.0081538j 0.00531719-0.00342924j -0.00047295-0.00651447j 
-0.00447395-0.0255667j -0.0098625-0.0241657j 0.0231066+0.0724094j 0.0181084+0.00261828j -0.0146953+0.0740121j -0.000908264-0.018586j -0.000958347-0.00419016j -0.000181202-0.00455958j 0.00517589-0.0150926j 0.00133853-0.0131827j -0.000637275+0.000753099j 0.00193336-0.00732328j -0.00122563+0.00528297j -0.00232457+0.00214543j -0.000733183+0.00145235j 0.015059-0.0191782j -0.0125529-0.00615752j 0.0214791-0.0229213j -0.0308749+0.0129536j 0.0393922-0.0086591j 0.00183903-0.0182919j -0.0163365+0.00409464j 0.0131178-0.00180365j 0.0529872+0.00810903j -0.0102942+0.00509018j -0.0295759-0.00235774j 0.00936305+0.00515352j -0.00413915-0.000448434j -0.00734877+0.00237059j 0.00442672+0.00287733j -0.0046659-0.00229597j 0.00855214+0.0020864j -0.00796724-0.000581467j 0.00588931+0.00100545j -0.00370875+0.000735842j -0.00382289+0.00132379j 0.0033551-0.000958174j 0.000536909-0.0113679j -0.0142749-0.00449946j -0.00138712-0.00582654j 0.0172997+0.00317781j 0.00868123+0.0160407j 0.00169419-0.00420556j 0.0108683+0.0145747j -0.00257317+0.00462997j -0.00327763-0.00619475j 0.00474425-0.000350535j -0.0138222+0.016013j -0.0096848+0.0141912j -0.0106295-0.0162346j 0.00148648+0.00541769j 0.00994726-0.0154677j -0.0241369+0.00123534j -0.000552285+0.00327202j -0.0115089-0.00401342j -0.0163562+0.0228512j -0.01188-0.0184595j 0.0061083+0.00337466j 0.0090386+0.00265669j -0.0112239+0.00698465j -0.00454453-0.00459647j -0.00867133+0.00354284j 0.0228081+0.00732873j 0.00865016+0.00594653j -0.0076642-0.00407138j 0.00255944-0.00274056j 0.000420365-0.00166806j 0.00314216-0.00453332j -0.00391482-0.00245818j 0.00333729-0.00414966j -0.0103577+0.00251246j 0.0129568-0.00253188j -0.0108926-0.00176335j -0.0023528-0.00115239j 0.00177021+0.00229037j -0.000670382-0.00176792j 0.00207818-0.00540828j -0.00406632-0.0112336j -0.000171923+0.00433305j -0.0114957-0.0054361j -0.00100687+0.0101882j 0.00204515-0.00675136j 0.00570592+0.000348253j -0.000227162+0.00851808j -0.00367089+0.00236021j -0.00204488-0.00290346j 0.00129616+0.00690949j 1.83575e-05+0.00457539j -0.00225055-0.00479903j -0.00112004-0.00203898j 0.00207766+0.000511637j -0.000281613-0.00553891j -0.00224192-2.30302e-05j -0.000475865-0.00215239j -0.00224254+0.00151735j 
0.0752554-0.00170223j 0.00539035+0.00962802j 0.0187944+0.00344988j 0.0537318+0.00387807j -0.0103316-5.64037e-05j 0.00657402+0.0158696j 0.0649497+0.00573816j 0.0236205+0.0105907j 0.0029114+0.00298825j -0.0820007+0.0116939j -0.0409267-0.00715961j -0.0481522-0.0119547j -0.193453-9.15701e-05j 0.141261-0.00372327j -0.24032+0.00290915j 0.0573563+0.000224308j -0.0195299+0.000391718j 0.0187181+0.00278657j 0.0249565+0.00141396j -0.00933118-0.000376881j -0.00837339-6.46796e-05j 0.0205854-0.000529985j -0.0190063-0.000151582j -0.003068-0.000140161j -0.004547+0.00116903j -0.0248488-0.00178999j 0.000554341-0.00162337j 0.00956688+0.001046j 0.00162704+0.000300612j 0.00337253+0.00034731j 0.00255347-0.000312159j -0.0114282-0.00170008j -0.0224736-0.00234442j -0.0411681-0.00114043j -0.0611309-0.00454094j -0.176204-0.00231518j -0.0457282-0.00722145j -0.0506686+0.00272427j 0.00810396+0.00119947j 0.00713839-0.00857223j 0.0390148+0.00203573j 0.00879629-0.00370851j 0.011003-0.00222337j -0.0219986+0.00791456j 0.0186657+0.0012694j 0.0272759-0.0052961j -0.00618049+0.00905744j -0.0115609-0.00317759j 0.00950539+0.00975507j 0.00104051+0.00676492j -0.0251904+0.00416961j 0.00353455+0.00419572j -0.00160677+0.00938794j 0.0125827-0.000610958j 0.0237736-0.00255263j -0.0105113-0.000855101j -0.00276319+0.0112797j 0.00309626+0.0010322j 0.0106086+0.00618025j 0.00560919-0.000806164j -0.00614375+0.00648457j 0.0137307+0.00413292j 0.0145814+0.00784983j -0.00176503+0.00604625j 0.00320215-0.000632855j -0.0118443-0.00320221j -0.00647245-0.00907875j -0.000850483-0.00136432j 0.00526648+0.00338837j 0.00819147+0.00944529j 0.00280178-0.00803793j 0.0122172+0.006991j 0.00486756-0.00108844j -0.000346707+0.00285937j 0.00948452-0.0023962j -0.00532743-0.0164743j -0.0080166+0.00185165j -0.0233822+0.0116994j 0.00369905-0.0121248j -0.00292213+0.00891259j -0.0099592+0.00803988j -0.0255777-0.0172073j -0.0218126+0.00363031j -0.00727441+0.00559097j 0.00493234-0.00265609j -0.00396969-0.00316974j -0.00517614-0.00914207j -0.00811349-0.00522478j -0.00334183-0.0142925j -0.0231257+0.000749675j -0.00326539+0.0305666j 0.00577357-0.00275818j 0.01038+0.00638364j -0.0286522-0.0525739j -0.0698373-0.000416208j 
0.00853811+0.0115149j -0.0823863+0.0036128j -0.0545434+0.00259727j 0.062667+0.00485753j 0.0206509-0.00689837j -0.0477463+0.00121234j 0.0409911-0.000835306j 0.0173058-0.00429732j -0.0340961-0.00120443j -0.0388352-0.00657402j -0.00623848-0.0104701j -0.0976151+0.0185807j 0.0273589+0.0108499j -0.283555+0.000626395j -0.133745+0.00576412j -0.0146603+0.00172251j -0.0627515+0.000857774j 0.0284014-0.00114483j -0.00430274-0.0031028j -0.00770767-0.00209754j -0.0183458-0.000688195j -0.00904795-0.00285647j 0.00816576+0.00233503j -0.00149519+0.000442607j 0.0141681+0.000453787j -0.00113599-0.000278226j -0.0151662-0.000523269j 0.00832749-1.15731e-05j 0.0158169+0.000691265j -0.0133624-0.00148858j 0.022867+0.00271282j -0.015218-0.000710947j -0.0105088-0.00119386j -0.0408391-0.00402974j 0.0262534-0.000519758j -0.0459267-0.00757739j 0.176297+0.00202673j 0.00103512+0.00163311j 0.0593293-0.0034079j -0.034201-0.00564936j 0.00936418-0.00886338j 0.0161393+0.000995394j -0.0253511+0.00314986j 0.00158969+0.00359406j 0.0184643-0.00648012j -0.0124063-0.00582627j 0.00296124-0.0013779j -0.0104459-0.00264439j 0.0109155+0.00128793j 0.00148904-0.00120868j 0.00286576+0.00245662j -0.00285261+0.000184191j 0.0219772-0.00605079j 0.00388623+0.00317061j -0.00368059-0.00100385j 0.00589338+0.00736575j 0.00923533-0.00327245j -0.000190346+0.000349603j 0.00799147+0.000456448j -0.0109436-0.00525936j 0.00236681-0.00229995j 0.00156076-0.00215897j 0.00250772-0.00706469j 0.00495334-0.000615826j 0.0040389+0.000539483j -0.00441167+0.00180859j -0.0107844+0.00252085j 0.000638721-0.00237406j -0.0103527+0.000891209j -0.00869375-0.0038928j -0.0105055-0.0110483j -0.00218159+0.00750936j 0.00102478-0.029246j -0.00147959-0.0057244j -0.000910989-0.00321188j -0.00150594+0.00276749j -0.00505884+0.0120597j 0.000840475+0.0100659j 0.000529248+0.00157206j -0.0460105-0.00940255j 0.0228088-0.0203425j -0.0045368-0.00507046j 0.00524007-0.0134991j 0.00145831+0.0190274j 0.00627596-0.00219494j 0.0240246-0.00899485j 0.00572343-0.00658897j -0.00190084-0.00915268j 0.0153699+0.0165501j 0.00129117-0.0312469j -0.0251316-0.00109718j -0.00159952-0.00230779j -0.00149502-0.0100089j 0.0650564-0.0010022j -0.0277624-0.0496385j 
0.00447864-0.0101964j 0.0588525-0.00217648j 0.0425681-0.00577341j -0.0672705+0.00212128j -0.0256991+0.00370881j 0.026469-0.00556634j -0.0783038-0.000428097j -0.0721555+0.00927689j 0.0381545+0.00227892j 0.0630808-0.00822335j 0.0551631-0.00929268j 0.146459+0.00243491j 0.133261+0.00438351j -0.036701-0.00923916j -0.109397-0.000981058j 0.0152956-0.00293711j 0.0473246-0.00227553j -0.0243746+0.00220151j -0.0110585+0.00236003j -0.00678202+0.00150542j 0.00655497+0.000948616j -0.0024969+0.00222838j 0.00278585-0.000497529j 0.00406285+0.000499623j -0.00784275-0.000114237j 0.000983957+0.0024362j 0.00898536+0.00202043j -0.00331228-0.00170276j -0.00798117-0.00201214j 0.00959117+0.000346434j -0.0184962-0.00196655j -0.0062475+0.000350112j 0.00930556+0.000766139j 0.0808541+0.00445327j 0.00757616+0.00408249j 0.00187291+0.00101431j -0.00069531+0.00145601j 0.00081145+0.000162948j -0.0269074+0.00376054j 0.0141251+0.00467998j -0.00834943+0.00703602j -0.0154815-0.00109727j -0.000660138-0.000599907j 0.0175924-0.0034951j -0.0139568+0.00189445j -0.00359426+0.00263829j 0.00220553-0.00711201j 0.0117821+0.0018883j -0.00251908-0.0125175j 0.0037153-0.00512304j 0.00466664+0.000551649j 0.00905599-0.00794612j -0.0104011+0.00650891j -0.0100652-0.00234371j -0.00666141-0.00287542j -0.0188253+0.000215411j 0.00840229-0.0058958j -0.0087356-0.00243208j -0.00885012-0.00978455j 0.00946298+0.0146543j 0.00579483+0.00519834j 0.00124498+0.00805456j -0.0139973-0.00689585j 0.00465866-0.00180346j -0.00119944+0.00392945j 0.00859021-0.00226118j 0.00727621+0.00559523j -0.0024841-6.79559e-06j -0.00160123-0.00636965j -0.000379759-0.0056245j 0.00400429-0.0128493j -0.0178621+0.00689837j 0.000777842-0.00866458j 0.00122124-0.014418j -0.00326324-0.00431398j -0.0057451-0.0273887j 0.00859014-0.0101406j -0.0115256+0.0138389j -0.00107595-0.0103744j -0.0194456+0.0106074j 0.00878209+0.0089534j -0.0195851-0.00799387j -0.0123039-0.00589365j -0.0192887-0.00264161j 0.00660173-0.0300245j -0.00757598+0.00722803j -0.0151541+0.000617223j -0.00754234-0.000545337j 0.0149454-5.89952e-05j -0.00231402-0.001096j 0.00383445-0.00499698j -0.0183617-0.0346903j -0.0137312-0.01021j -0.00529072+0.00578784j 0.0170252+0.00758498j 
-0.0532784+0.00670385j -0.0230765-0.0061246j -0.0554526+0.0119288j 0.0500013-0.00935471j 0.0272788+0.00970222j 0.0183562+0.00158827j 0.0348218+0.00597042j 0.0986965-0.0131931j -0.0662625+0.0050001j 0.11517-0.00343762j 0.00763456+0.00675192j -0.115667+0.00579788j 0.0503989-0.00433388j 0.0338644+0.000377396j -0.0313902-0.00328384j -0.043103+0.00342004j -0.00853967-0.000113129j 0.01381-0.00359986j 0.0112839-0.0025434j 0.0194325-0.000993072j 0.00918968-0.000390354j -0.0133354-0.00212806j 0.00222463+8.90092e-05j -0.00355163-0.000928244j 0.010283+0.000100637j 0.000389282-0.000112876j -0.00867988-0.00172293j 0.00541902+0.000195286j 0.0168278+0.00146665j -0.00322115-0.000945107j -0.00126906-0.000339207j 0.0279229+0.00086924j -0.0212277-0.000498849j -0.024186-0.00322959j 0.0334972+0.000194963j 0.00445888-0.00132645j 0.00191986+0.00109736j 0.0176712-0.00285025j 0.00894222-0.00143665j -0.00349271+0.00165698j -0.0014158-0.00704502j 0.0175257+0.000188248j 0.0018515-0.00477048j -0.0229403+0.00252715j 0.000417508+0.000711333j -0.00519217+0.00669782j 0.0068661+0.00928807j -0.0109552-0.00393109j 0.00569201+0.00761992j -0.00176973+0.0105254j 0.00822044-0.00305376j -0.0106565+0.000967808j 0.00380746-0.0121871j 0.00192473+0.00299496j -0.00960996+0.000522086j 0.0177906+0.0043294j -0.00131503-0.01198j 0.00336544+0.00237442j 0.00753517+0.00299082j -0.0154251-0.00434217j 0.00778318-0.00795256j -0.00989751-0.00528596j -0.000716149-0.00458104j 0.0033596-0.00516945j 0.0105612-0.00208589j 0.00157301+0.014132j -0.0142027+0.0109806j 0.00225121+0.00586754j -0.00822055-0.000762455j 0.00547363+0.000357169j 0.00604346-0.0298467j -0.00848263-0.00980196j -0.00490594+0.0270863j -0.00625249-0.00951092j -0.0119597-0.00892348j -0.0176169-0.0101831j 0.021661+0.0021872j -0.0192847+0.000559734j -0.00127416+0.00795098j 0.00499975+0.00493897j -0.00573936-0.00572345j 0.00320324+0.000177179j 0.00808398-0.022567j -0.0151385+0.0130651j -0.00946405+0.00953859j 0.00647125+0.0148719j 0.00184687+0.00470771j 0.00427953+0.0108246j 0.0142996+0.0159454j 0.0048974-0.00114207j -0.000194769+0.00020627j 0.00194059+0.00490433j 0.0138849+0.0160538j 0.0109343+0.00343876j 0.00273993-0.00477069j 
