-0.0198945-0.0771521j -0.00130496-0.000227581j -0.0123922+0.0361383j -0.00878254+0.0466949j 0.012621-0.0427341j -0.00501131+0.0110482j 0.0440878-0.097717j 0.0143221-0.0491101j -0.0181325+0.0215012j -0.00341475-0.0556837j -0.00693257+0.0204103j -0.000819895-0.0143936j -9.67218e-05+0.00342703j -0.0287056+0.0265655j 0.0448526+0.0224439j -0.0441483+0.00457634j -0.00146327+0.001919j -0.0481569+0.113707j -0.0814893+0.099095j 0.00442454+0.000327098j 0.0210343-0.0458912j -0.000878709-0.0509312j 0.0491478-0.00188535j -0.0128615+0.0152687j 0.0407091-0.0265716j 0.00626288-0.0130487j -0.0108353+0.0125058j -0.0851174+0.044529j -0.0308114+0.0229217j -0.0367226+0.01885j -0.0167748-0.0100297j -0.0972422+0.0840787j 0.0489965-0.0151903j 0.00603288+0.0235054j -0.0347109+0.124354j -0.0250849-0.0300498j 0.0239925-0.0366024j -0.0608122+0.0692321j -0.0142521+0.0491937j -0.0541608+0.100267j 0.0559177-0.0637188j 0.0512801-0.0316323j -0.0753023+0.031161j 0.0107431+0.0988482j -0.0921463-0.0145583j 0.22327-0.0397732j -0.0148808+0.0311736j -0.0687099+0.120181j -0.0684605+0.104919j -0.22429+0.161597j 0.0492123-0.0418462j 0.0257871-0.0220877j 0.0211644-0.0662179j 0.020766-0.0384322j 0.000627135+0.051709j 0.00232042-0.0223699j -0.00826519+0.029687j -0.00287132-0.0303561j -0.0178657-0.0183028j 0.00191532-0.0190187j -0.0327884+0.0494269j 0.0129928-0.0232557j 0.057629-0.0611826j -0.0323931+0.0124757j -0.0242295-0.00651945j -0.0663784+0.163311j -0.120849+0.0454123j 0.0949691-0.130618j 0.109711-0.0314536j 
-0.00752593+4.87946e-05j 0.0108595+0.0788042j -0.0152387+0.0565151j -0.0102888-0.0518543j 0.00375705-0.0212215j -0.00687326+0.0313786j -0.0212793+0.0488934j 0.036738-0.0275963j 0.0021951-0.0613j 0.0196486-0.0763304j 0.0402016-0.0668125j 0.0101392+0.0211964j 0.0452186-0.0775234j -0.0128996+0.0852132j 0.0395715-0.109698j -0.0414169+0.0213389j -0.00671013+0.00804919j 0.0874094-0.0534659j 0.0807718-0.0323053j -0.0124745+0.0251549j -0.0362793+0.0640267j -0.0170658+0.0208644j 0.0363223-0.0806078j 0.0411434-0.0966999j 0.012936+0.0157642j -0.0223901+0.0412417j -0.00150052+0.0464348j 0.0307216-0.0349826j -0.0477896+0.0198441j -0.0186008+0.0376287j 0.0182791+0.0164396j 0.0411128+0.00883083j 0.00759026-0.0131318j 0.056433-0.0253088j 0.0738054-0.0625308j 0.00659567+0.0211825j -0.070583-0.0007907j -0.0713707+0.0679418j -0.0617337+0.0238544j 0.0630051-0.0148867j -0.0312153+0.00882783j -0.0739947+0.0259859j -0.00687894+0.0635641j 0.191451-0.101985j -0.127159+0.123072j 0.152275-0.222179j 0.0518386-0.0234031j 0.0644262+0.00379503j 0.12255-0.0314229j 0.0314249+0.111182j 0.0285199-0.0391595j -0.017331-0.01609j -0.0643023+0.0410905j -0.0695363-0.0223586j 0.0811316-0.013109j -0.033294+0.00871135j 0.0269929-0.0202278j -0.048303-0.00368399j -0.0126197+0.00634672j 0.0164167+0.00944512j -0.00130444+0.0319572j -0.0120149-0.0245404j -0.00303246-0.0310054j -0.0537136+0.0492628j -0.0473235+0.0645538j 0.131045-0.0416209j -0.0596272+0.158867j -0.0929192+0.0250254j 0.104624-0.137264j 
0.00453581+0.0105701j -0.0630457-0.0284915j -0.0185124+0.000454356j 0.0172326+0.0116391j 0.0107109-0.0128758j 0.0325386-0.038576j -0.0470608-0.0172536j 0.00537315-0.0203604j 0.0489685+0.0404846j 0.0147944-0.0012968j 0.0159199-0.0094034j -0.0165558-0.00458547j 0.0832935-0.0280677j 0.0477925-0.0942452j 0.0430965+0.0451647j 0.0258975-0.00696337j -0.0218175-0.0178191j -0.067117+0.00756065j -0.0180448+0.036359j -0.00420656+0.0115525j 0.0459208+0.00994783j 0.053858+0.00457771j -0.0221342+0.036751j 0.0137457+0.0586121j -0.0184477-0.0528627j -0.00960411+0.0180686j -0.0152931-0.00098656j 0.0676188+0.0264973j 0.00201194+0.0384439j 0.00824341+0.0433062j -0.0315577-0.0261679j 0.0362772-0.0302063j 0.106391+0.00916773j 0.0430087+0.0120524j -0.0216862+0.055271j 0.00867217-0.0523624j 0.00197833+0.0126923j 0.0124409+0.0560035j 0.06412+0.0246652j 0.00195573-0.00408321j -0.0448901+0.00442223j -0.0723195+0.0393979j 0.0341241-0.0458365j 0.00390575+0.0253339j 0.0204644-0.0513865j -0.0389916+0.0986706j 0.00491767-0.0124704j 0.0364742+0.00490712j 0.0203472-0.0599794j 0.0203208-0.107712j -0.019575-0.0321974j -0.0049724+0.0063937j 0.00591695-0.0170881j -0.0362648+0.0128731j 0.0318306+0.0114495j -0.0271435+0.000953142j 0.0127528+0.0035093j -0.0267756+0.0275j 0.00811411+0.0136819j 0.0541709-0.0547686j 0.0234615+0.0181275j -0.0231402+0.0367883j -0.0129273+0.0330328j -0.0389281-0.0572363j -0.0154972+0.00459887j -0.0231302+0.00658192j 0.0305035-0.00663614j -0.00879636+0.0383235j 0.0356748+0.0789408j 
-0.0508171-0.0175202j -0.00642512+0.00248687j -0.00990344-0.00642239j -0.00545076-0.0036289j -0.0193037-0.0692626j 0.0443825-0.0336573j -0.0453772-0.0133454j -0.0128929+0.0020305j -0.061747+0.00775696j -0.00189336-0.0418385j 0.0121564+0.00821537j 0.0375598-0.0700056j 0.00248083-0.00181555j 0.0210084+0.0388268j 0.0478738-0.0132908j 0.0417644+0.0109747j 0.000918631+0.0168667j 0.0219483-0.0415656j -0.0309913-0.0298324j -0.00142175+0.0251663j -0.0276769-0.010135j 0.0106035-0.0255538j 0.0118722+0.00491779j -0.041319-0.0590871j 0.0124309+0.0039093j -0.0141572-0.0142175j 0.0122225+0.00624003j -0.0530804+0.00945907j -0.0513806-0.012482j -0.0774489-0.0102421j -0.00789606-0.0174282j 0.0268395+0.0347395j -0.0306984+0.0298729j -0.0137509-0.00214234j -0.00363998-0.000208302j -0.078365+0.0815025j 0.103045+0.00443244j -0.0629611+0.0634051j -0.0442188+0.0576639j 0.01583+0.0234899j 0.00776736+0.00317438j 0.00799938-0.0224864j 0.0146348-0.0086329j -0.0806406+0.127101j 0.0274268-0.0387443j -0.000208431+0.051383j -0.00383582+0.00151001j -0.0526115+0.05718j 0.0297058+0.0985215j 0.0282689+0.117451j 0.0384383-0.0355173j 0.0109691-0.0001131j 0.0020805-0.035943j 0.0634366+0.0232421j -0.0351513+0.0105444j 0.0271753-0.0293218j 0.0203856-0.0431496j 0.0142-0.0032884j -0.0168889+0.060395j 0.00703307-0.02062j -0.0302446+0.036962j -0.000315584-0.0175053j 0.00710563-0.0935189j 0.0148057+0.00569705j -0.0710678+0.0182713j -0.0148959+0.010989j -0.0196605-0.0207761j -0.0180556-0.0891471j -0.01443+0.0079559j 
-0.0038864+0.0085472j -0.0203815-0.00553067j -0.0104195-0.0199778j 0.0339091+0.0300453j 0.0304052+0.0169832j -0.00415044-0.00128145j -0.00731046+0.00543805j -0.0822299+0.00956268j -0.0185312-0.00551843j 0.0378551+0.025698j 0.049424+0.0601443j 0.0685608-0.0414242j 0.039866-0.0882389j -0.003349+0.0218408j -0.0208951+0.0136281j 0.0194253-0.0113562j -0.0621138-0.0836143j 0.11738+0.105014j 0.0268935-0.00905211j -0.0243645+0.0251765j 0.0144492-0.00209999j 0.0310734-0.0175621j 0.00321785+0.0194089j 0.0259507-0.0167343j -0.00944616-0.104408j -0.00246275+0.0311025j 0.0238492+0.0319389j 0.000211131+0.0170709j -0.00918504+0.0541702j -0.00786669-0.00578626j 0.0737605-0.0446199j 0.0250114-0.0710343j 0.038883-0.0264133j 0.143022-0.0390419j -0.00241077-0.0354561j -0.04018-0.113287j -0.106751+0.0435324j -0.0173601+0.000860951j -0.0830859+0.00899886j 0.00524102-0.0348322j 0.000773184-0.0493137j -0.0423167+0.029852j 0.0193812+0.0175291j -0.00312424-0.092557j 0.0418999-0.0359288j -0.0523587-0.00425601j 0.0262545-0.0142756j -0.00209275-0.0718778j -0.0372693-0.0327763j 0.0498857-0.0231304j 0.0570502-0.0702616j -0.0151381-0.00224618j 0.0149964+0.00914371j -0.00111749-0.0383163j -0.0247092+0.0304653j 0.0266844-0.048072j 0.0194087+0.00429079j -0.0322768-0.0018045j -0.0165792-0.0242901j 0.0284007-0.0365158j -0.0264148+0.0278654j -0.00559238+0.0235099j 0.0389133-0.0034429j 6.81282e-05+0.015453j 0.00236228-0.0122092j 0.0376825-0.0708959j 0.000832437-0.00636427j -0.000492525+0.0248755j -0.00864145+0.0026458j 
0.0255672-0.00724863j 0.0142858-0.0124081j -0.0258987-0.00192554j -0.00630965-0.0660877j 0.0164742-0.0148028j 0.018983+0.0460691j 0.0349513-0.060444j 0.0141041+0.0361069j 0.0463119-0.0420607j 0.0143344-0.000529241j 0.00122763+0.000726709j 0.0104624+0.0771937j 0.0514866+0.0340714j 0.122777-0.0510975j -0.023529+0.0469884j -0.150555+0.0649132j -0.00603735+0.0360421j -0.0195518-0.027875j 0.0297325+0.0709553j 0.0627505+0.00216547j -0.00757912+0.0328584j -0.033146+0.0415536j -0.00388179-0.0375228j 0.0421095+0.0200124j -0.00421881+0.0161334j -0.00101927+0.00708456j 0.0859649+0.0576974j 0.0681945+0.0282646j 0.0510618-0.00603543j 0.0417756+0.02419j -0.0247293-0.00150343j -0.02402+0.0851453j 0.0601872+0.0355989j 0.0442324-0.0184931j 0.0576108-0.026557j 0.0649896-0.133999j 0.0558706+0.0617795j 0.0319662-0.10196j -0.0123826-0.163499j -0.00926779-0.0131358j 0.0247539+0.0156802j -0.0361025-0.0245445j -0.0534878+0.0531651j 0.101118-0.0432218j 0.00608025+0.000265963j 0.0137224-0.0195568j -0.00742463-0.000135769j 0.0312693-0.03299j 0.0826872-0.00949218j 0.012159+0.021932j -0.121384+0.00192566j 0.0315822-0.00235751j -0.0357042+0.0319026j 0.0569365-0.00938907j -0.00771167-0.0107194j -0.0395407+0.00615363j -0.0538524-0.00503467j 0.0154246+0.0282768j 0.02369-0.0158984j -0.00762908+0.0464079j -0.0159481+0.00411536j 0.0131023-0.00142392j -0.0328265+0.00804819j 0.0543711-0.00299989j -0.000628973-0.0161103j 0.0252086+0.000196958j -0.0367573+0.00255631j -0.00679234-0.00730039j -0.0378769-0.0378933j 
-0.0118364-0.00270352j 0.0158488+0.00222908j 0.0354645+0.0435665j 0.0292523-0.0206189j 0.00131499+0.0522847j 0.0202046+0.00477422j -0.0240026-0.0424535j 0.0169346+0.00937358j 0.0432573+0.0112998j -0.0197971-0.0809171j -0.0331503-0.0384053j -0.0467962+0.0562182j 0.000489872+0.111497j -0.0442805+0.0619882j -0.014568-0.0380858j 0.0174722-0.122653j 0.0464371+0.0401198j 0.0758955-0.171842j 0.0458979+0.0631013j -0.00359062+0.0555124j -0.031342+0.0839929j -0.0680692-0.0420108j 0.0186955-0.0401952j 0.065622+0.123475j 0.00614722+0.00845018j 0.0115194+0.0266406j 0.0502232+0.0222876j 0.0153565-0.051144j 0.0711448-0.00838894j 0.095654+0.0664321j -0.0893379-0.00688904j -0.0769633-0.0261807j -0.0228904-0.0426977j -0.128336+0.148101j 0.000276283+0.110025j 0.0723823-0.0111449j -0.0820987+0.152506j 0.0645372+0.135153j 0.102188-0.0488453j -0.0502884-0.061669j -0.0289745+0.145645j 0.0576665-0.0132607j 0.015454-0.0908271j 0.0534695+0.0879095j -0.0979408+0.0611104j 0.00945278+0.030002j -0.0105734-0.0385076j 0.0429591-0.00969639j 0.00655624+0.0266088j -0.0156511-0.0752369j -0.0550701-0.0688704j 0.00541997+0.0200624j 0.00696135-0.0494197j -0.0446666+0.00712068j 0.0186841+0.0249924j -0.00881461+0.00492542j -0.0173172-0.016794j 0.0261081+0.00674906j 0.0119826+0.0543084j -0.0452815+0.0151967j 0.024892-0.0334293j 0.00109182+0.033547j -0.0134532-0.0115431j -0.0571548+0.101714j 0.00113831+0.060985j 0.0173815+0.00609533j -0.00793922-0.0913325j -0.0551491-0.0307071j 0.000538924+0.0287071j 
0.0464474-0.00961516j -0.0170243+0.0209804j 0.0203408+0.000892196j -0.0320565-0.0161752j -0.0163994-0.0744842j -0.00485228-0.0849918j -0.00181571+0.0038192j 0.0197303-0.142459j 0.0652709-0.0835804j 0.00948673+0.0505682j -0.0490486+0.0390964j 0.0448073-0.00276205j -0.129592-0.0111734j 0.0607993+0.0118236j 0.00795601-0.114657j -0.0248532+0.0904043j -0.00664042-0.042845j -0.186652+0.1112j -0.0708503+0.0256241j 0.0140238+0.00312511j 0.0966283-0.0375727j 0.0586961+0.050895j 0.0369796-0.036305j -0.00562944-0.0659567j -0.00310971-0.0163489j 0.00957203-0.0747216j -0.0604501+0.0532913j 0.0593882+0.110211j -0.0568949-0.0517806j 0.0760406-0.0717053j -0.0119365+0.0618094j -0.0657841+0.024098j -0.00720304+0.0808571j -0.0235214-0.00466257j 0.0651932-0.00149916j -0.0185247+0.184843j 0.102067-0.0412109j 0.0707613-0.04706j 0.0985181-0.0172149j 0.054476-0.0245987j -0.00503554+0.0446371j -0.00360112-0.0149805j -0.0586448-0.0124935j -0.039679-0.0130154j 0.0348884+0.148771j -0.0100283-0.0795103j -0.0119542-0.00581554j 0.0227402+0.00882653j -0.0313735+0.0219207j -0.0644923+0.0489726j -0.0121482+0.129939j -0.00912955+0.0317456j -0.0103505+0.035951j 0.0141154-0.0174809j -0.000886261-0.106805j 0.00364208+0.0194323j -0.0426248-0.00319775j 0.00753373+0.024956j -0.00876864+0.0227681j -0.0103034+0.0624233j 0.0223921-0.0487711j -0.00192521-6.65125e-07j -0.027652-0.0182118j 0.0465538+0.0173678j 0.0190617+0.0235397j -0.0338332+0.0431489j -0.0147648+0.0161135j 0.0599437-0.00717346j -0.0413996-0.0841786j 
0.0544991-0.0020178j 0.0191632+0.00716814j -0.0149749+0.00219693j 0.0281568+0.0129659j 0.0368982+0.0327296j -0.0521007+0.0142976j 0.10116+1.68334e-05j 0.0755603+0.00124259j 0.0735338+0.0112266j 0.0189167-0.00895834j -0.00953134+0.0466683j -0.110969-0.0320824j -0.0521408-0.0310117j -0.00742003+0.0754105j -0.0688434-0.00534866j -0.0736374-0.0441832j 0.0209426+0.0195824j 0.0536505-0.0884089j -0.0819441-0.16292j -0.0104579-0.0181132j -0.0162107-0.00673044j -0.0720896+0.0158192j 0.101051+0.00949437j -0.038354-0.15111j 0.00501948-0.0318075j 0.0527203+0.00665956j -0.0414988-0.0625868j -0.0783792-0.0440352j 0.0447207+0.0746485j 0.0411598-0.0161327j -0.0246272-0.043991j -0.140548-0.035234j -0.125534-0.11356j -0.000669894+0.00524022j -0.0215002-0.0738074j 0.0408215+0.157651j -0.00951995+0.0461662j 0.00992667+0.0445482j 0.00982649+0.0995418j -0.004738+0.00209228j 0.00951932-0.0299811j 0.016565-0.0682251j -0.0243028+0.0151871j -0.0740219-0.0296525j 0.0004398+0.0297253j -0.0617342-0.125737j -0.020803+0.019231j -0.0992616-0.029331j -0.00408173+0.109999j -0.0145878+0.196729j -0.0359385-0.000388001j 0.00518275-0.0101594j 0.0248905-0.000158703j 0.0655767-0.0153368j -0.033494+0.00515515j 0.045132-0.0458012j -0.0345339-0.0219711j 0.0404589-0.0439232j 0.0173661+0.0348198j -0.0314333-0.0282539j -0.038498-0.0188617j 0.0270937-0.0116188j 0.0233817-0.0675916j 0.0151632+0.0385014j -0.0167891-0.00768983j -0.0345573-0.0347069j -0.0225402-0.00563223j 0.0252916-0.0561831j -0.0505322-0.0447287j 
0.00815333-0.00802031j -0.0160225+0.0251514j 0.0112355+0.0205593j -0.0356065-0.0340404j 0.0823935+0.0192597j 0.000427253-0.0353004j 0.0131259-0.000471501j 0.0402091+0.117477j 0.0330855+0.0483894j -0.138845-0.172055j 0.000856392+0.0115763j 0.00277844+0.0233389j 0.126039-0.0764907j -0.0391626-0.0258793j -0.0223702-0.025864j -0.0624254-0.0201377j 0.0245688-0.0102962j -0.100128+0.0337256j 0.00251464+0.0926772j 0.0457136-0.00481507j 0.0829468+0.00186383j 0.0170158-0.0619318j 0.00150084+0.0190842j 0.064034-0.0568863j -0.00440043-0.0691507j 0.0334913+0.0251251j 0.0716871+0.00989824j -0.0461853-0.0158866j 0.0353445+0.053096j -0.00585623-0.0719653j -0.0184947+0.0754952j 0.0221629+0.0640457j 0.00193884-0.149782j -0.00979675+0.0468309j -0.0941427-0.0387659j -0.0914795-0.0484263j 0.0736403-0.227468j 0.212488-0.0278548j 0.0654237-0.0958652j -0.0467273+0.0822364j 0.0373802-0.0246104j 0.0726652+0.0491061j 0.0196008+0.0738075j -0.00253242+0.0136214j 0.0436961-0.0452262j -0.0198943-0.034894j -0.0596288+0.0473528j -0.0104009+0.0140547j -0.0482602-0.0165508j 0.013819+0.0307868j -0.0252968-0.092377j -0.0134066-0.0185531j 0.0116411-0.00433048j 0.0412444-0.000327153j 0.00369615+0.0068696j 0.00360535+0.0155774j -0.00656208-0.0375861j 0.0192316-0.0313381j 0.057378-0.0397281j 0.0165526-0.0337354j 0.0325305+0.0183764j -0.0166512-0.00564119j -0.00561106+0.0330735j 0.0308636-0.0435592j 0.0751883-0.0116212j -0.0389311+0.0864439j 0.025114+0.0644871j 0.0173279-0.0044595j 9.55278e-05-0.0171939j 
0.00697854-0.0164375j -0.00265189+0.00544856j 0.0508853-0.00292995j -0.016675+0.0328319j -0.0274487+0.0251919j -0.0540183+0.0946352j -0.0764896+0.0116954j 0.037823+0.0495709j -0.0112+0.00860335j -0.0300706+0.0297956j 0.0477568-0.0189533j -0.163395-0.04619j 0.0329014+0.125927j 0.0106151-0.0138957j -0.0541279+0.0733761j 0.0977492-0.0449439j 0.0248381+0.0802223j -0.102197-0.0620746j 0.11235-0.0850094j 0.0222146-0.0738916j -0.0325777-0.0294251j -0.0169421-0.0846253j -0.0260399+0.0415163j 0.111305+0.0238101j -0.0786896+0.178659j -0.0699329-0.0213164j -0.0780561-0.0646195j 0.100729-0.0738634j -0.0719987-0.00690758j -0.0516009-0.0843336j 0.0217656+0.00342855j 0.00375194-0.0200874j -0.0160006+0.0432473j -0.0191641+0.0256991j -0.0527955+0.0515818j 0.124726-0.00801309j 0.0141359+0.0596843j -0.042397-0.0540222j -0.0202495+0.0202034j -0.0643961+0.00270272j 0.0214765+0.0692473j -0.0476238+0.000181075j -0.0221322-0.0450286j 0.143269-0.0530216j -0.0489663+0.0691491j 0.0820997+0.0106365j 0.00740396+0.0115509j 0.00479961-0.00186927j 0.0729067-0.0196021j -0.0629698-0.113543j -0.0669836+0.135746j -0.00296347+0.0279238j -0.0358373+0.00425784j -0.101377-0.0184095j 0.0193229+0.00291081j -0.0545764+0.0234378j -0.018377+0.0714585j -0.0122359-0.00121486j 0.00861082-0.00896999j 0.0372913+0.01915j -0.0186391-0.03889j -0.00690837+0.0130828j 0.00715066+0.0167551j -0.0198237+0.0485522j -0.00161868+0.0157016j 0.0138978-0.0232394j -0.0422294-0.0347668j -0.0129129+0.0321967j 0.0423906+0.0284536j 
