-0.2382+0.112079j -0.236132-0.112919j -0.124702-0.146581j 0.000377485-0.227177j -0.124327+0.145266j -0.0778749+0.064659j 0.0417153-0.0578623j -0.131734-0.0770643j -0.063244+0.0987685j 0.0147804-0.062084j 0.0175548+0.0651225j 0.0616241+0.0961141j -0.132434+0.0753948j 0.040373+0.0573255j -0.0772351-0.0644934j -0.0255931-0.0360231j -0.0109101-0.0310802j 0.0741279-0.058009j -0.0392559-0.0569591j -0.0789621+0.0091034j -0.0482946-0.074768j 0.0775614+0.0144582j 0.0182502-0.0176473j -0.0562968+0.0731258j -0.00101667-0.0066094j 0.000903093-0.099952j -0.00116009+0.00676359j -0.0540622-0.0730464j 0.0245159+0.0180392j -0.07717+0.0148262j -0.0475117+0.0722396j 0.0798336+0.00907456j -0.0388078+0.0566501j 0.0723555+0.0580652j -0.0101574+0.0319432j -0.0251738+0.0353159j 
-0.125269-0.463383j -0.123753+0.468471j 0.041113-0.0419916j -0.000205081+0.0264827j 0.041599+0.0409842j 0.118015+0.00521036j 0.0218124-0.146665j 0.0539844-0.0559865j -0.0629129-0.0444267j -0.0914086-0.0549148j -0.0877262+0.0540661j 0.0672385-0.0448771j 0.0544906+0.0545826j 0.0213718+0.146253j 0.118288-0.00544983j -0.0302095+0.121596j -0.0713509+0.020439j -0.0214303+0.0256402j 0.00258935+0.00413287j -0.0644398+0.0616737j 0.0365671-0.0736405j -0.0532378+0.0411506j 0.0221424+0.00993513j -0.0305596-0.0155496j -0.110173-0.00570852j 0.000417965+0.00419679j -0.109468+0.00483706j -0.0332006+0.0143133j 0.0180868-0.0137212j 0.0550034+0.0403845j 0.036452+0.0744113j 0.0628787+0.0597624j 0.00269617-0.0037311j -0.02155-0.0257176j -0.0723059-0.022272j -0.0296129-0.120941j 
0.0337024+0.0604645j 0.382086+0.454764j 0.0240657+0.0495669j 0.206997-0.21361j 0.276464-0.110599j 0.0173815-0.0341805j 0.0391241-0.0425007j -0.0928901+0.0701364j -0.161461-0.10574j -0.0912346+0.0534056j 0.0522025+0.164711j 0.0126894+0.0239956j 0.0169981-0.047276j -0.16831+0.0078012j -0.0558998+0.17376j 0.00166197+0.0223895j -0.0202477-0.0354539j 0.00251023-0.0128794j 0.0674996-0.0396729j 0.00093881+0.085593j 0.0144456+0.0400392j -0.0124733-0.00177298j 0.0686489+0.0609557j -0.0849394+0.0197497j -0.00460864+0.00272234j -0.0400278+0.0259284j 0.0590365-0.0017512j -0.029969-0.0110063j -0.0326404+0.0141515j -0.015436-0.0221191j -0.061521+0.0377019j -0.0271674+0.0212925j 0.0423443-0.0382j -0.037792-0.0717308j 0.0121069+0.0581628j -0.0146736+0.0202125j 
0.398624+0.212903j 0.39417-0.216047j 0.171784-0.116568j -0.0016857+0.122528j 0.170737+0.118081j -0.0868885+0.0244812j 0.0517874+0.142535j -0.00146794-0.0731167j 0.101772-0.10081j -0.112946-0.125073j -0.117748+0.120043j -0.0981673-0.108607j -0.00373466+0.0741064j 0.0535705-0.141072j -0.0860655-0.0246367j 0.00321434-0.049265j 0.0451633-0.00324534j -0.0420454-0.0182747j 0.00197988-0.0178722j 0.0333885+0.0155806j 0.0522714-0.051782j -0.0120269+0.0225626j 0.0921594-0.0506214j 0.000299234+0.0386901j -0.00743164+0.0453888j 0.000243776+0.0876068j -0.00727178-0.0439072j -0.000231752-0.0395928j 0.0910048+0.0484744j 0.0205799+0.0266238j 0.0520478+0.0514189j -0.0336682+0.0154815j 0.00136782+0.0171984j -0.0417679+0.0182172j 0.044961+0.00339308j 0.00338943+0.0491894j 
0.441532-0.107607j 0.349153+0.285732j -0.177884-0.182158j -0.0745164+0.345922j -0.240815+0.0919921j 0.0166689+0.129157j 0.0572689-0.0209584j 0.0955665-0.0574321j 0.0465177+0.0690189j 0.0906432+0.140759j 0.138894-0.0871593j -0.0753831+0.0473468j 0.0624518+0.089746j 0.0436214+0.0459061j 0.0678701-0.110979j -0.0563048-0.0113514j 0.0120487-0.053237j -0.0235064+0.0218546j 0.0611542+0.0364749j 0.0258013+0.058381j 0.000392264-0.0246034j 0.0230928-0.0441421j 0.0225158+0.0504208j -0.0764341+0.0107369j 0.03423+0.049505j -0.00772004+0.0315622j 0.0521302-0.0310325j -0.0634441-0.0430426j 0.0416953-0.0324447j 0.00241784-0.0519706j -0.011836+0.0231821j -0.0488985+0.0417028j 0.0695347-0.00613193j -0.0106581-0.0312998j -0.0138269+0.0529011j -0.056259-0.0133661j 
-0.381617+0.456857j -0.0279113+0.0560073j -0.274351-0.106898j 0.2099+0.214603j -0.0216811+0.0514516j 0.0561754+0.17394j 0.167872+0.0125865j -0.0170996-0.0487849j 0.0179192-0.0299814j -0.051539+0.163187j 0.0856224+0.0580495j -0.166019+0.104389j 0.0930484+0.0691163j -0.0374044-0.0418912j -0.0190356-0.0345004j 0.0147804+0.0222803j -0.0139774+0.0585341j 0.0367799-0.0712398j -0.0411485-0.0404533j -0.0269285-0.023136j 0.0605101+0.0366247j -0.0119731+0.0221184j 0.0334225+0.0129731j 0.0307192-0.00999488j -0.0604236-0.00187118j -0.0389539-0.0256659j 0.00448125+0.00365131j 0.0848761+0.0196914j -0.0676202+0.0613028j -0.0176997+0.00719125j -0.0133239+0.0392055j 0.000459904-0.0849911j -0.0683263-0.0407778j -0.00268408-0.0118764j 0.0205255-0.0345323j -0.00151597+0.0236529j 
-0.0404912-0.0389192j 0.263528+0.107689j 0.00624742+0.00931504j 0.0246962-0.0249275j 0.00162777+0.547155j -0.000460049-0.0120228j 0.0407562+0.00462764j -0.0500021-0.015618j 0.00161039+0.0462328j -0.00727256+0.0524731j -0.0547914-0.0645338j -0.0845638-0.129877j 0.0798658+0.0721517j -0.0478254+0.106494j -0.0873199-0.0636754j -0.00142564-0.00454693j -0.0121405-0.00231152j 0.0118564+0.00149716j -0.0352789+0.0342709j -0.0138516-0.00500675j -0.0111258+0.02623j -0.0237232+0.0216097j -0.0131726-0.00380195j -0.0538716+0.000221651j 0.0276577+0.0521425j 0.125588-0.0521375j 0.0440784-0.0335089j -0.0216043+0.037101j 0.0194722-0.0468483j 0.138226+0.214893j 0.0317931-0.0128054j -0.018166+0.137644j -0.120325-0.0380732j 0.00862373-0.0180534j 0.224301-0.0442276j -0.107198+0.142801j 
-0.225265+0.0183827j 0.247135-0.272667j 0.0246768+0.0295348j -0.0402904+0.362168j -0.0213971-0.297125j 0.0331773-0.0174768j 0.0805334+0.0808856j -0.0702688-0.104434j -0.0444993+0.103548j 0.0363002+0.0459053j 0.0119357-0.0649338j 0.143948-0.1445j 0.0413399+0.0342508j -0.253077-0.0698215j -0.0338583-0.114504j 0.019259-0.012564j -0.00997505-0.0477462j -0.0170424-0.0154998j -0.0712357+0.0291717j -0.0291228-0.0350239j -0.0444741+0.0182867j 0.0358477+0.132977j -0.0240411-0.0256899j -0.0506465-0.080373j 0.0601487-0.0218642j -0.0736798+0.0241488j -0.090464+0.00128225j 0.0744802+0.0393711j -0.0670962+0.0288559j -0.0181996+0.0263512j 0.0260358+0.0201347j -0.0913554-0.0963115j -0.0957447-0.0131042j 0.131157+0.00486213j 0.0517415-0.00361614j -0.0797853-0.120549j 
0.161849-0.0765316j 0.0565811-0.11751j -0.0225181-0.000897872j 0.0609339-0.255884j -0.0744369+0.0780619j -0.036894+0.0034449j -0.0456673-0.0798663j 0.0443613+0.0656119j 0.0323646-0.0393364j -0.0888677-0.0993267j 0.122567-0.0554324j 0.0211409-0.0218278j -0.0417732+0.0347588j -0.146436+0.0560463j -0.118535-0.121123j -0.0125387-0.0090145j -0.00508745+0.0153331j 0.00861073-0.00945157j 0.04714-0.0245241j 0.029477+0.00688463j 0.0471131-0.00803122j -0.0198724+0.0182518j -0.0459797+0.0915504j 0.0507982+0.0760963j 0.0911754-0.0597963j -0.0493676+0.0769657j 0.0697866+0.0334955j 0.023584+0.0244604j 0.0138016-0.0750904j -0.131911+0.0516772j 0.0973087-0.00532762j 0.0143361+0.0558893j 0.041375+0.0858211j -0.0392509+0.0903364j -0.0670674+0.0881591j -0.0976008-0.0446647j 
0.0286545+0.224268j 0.0292295-0.227509j -0.0445101+0.117359j 0.000846249-0.00620913j -0.0446512-0.115101j -0.00240465-0.0443009j -0.00722913+0.0787429j 0.134292-0.060896j -0.163693+0.0390225j -0.12359+0.0988603j -0.113368-0.0988031j 0.170731+0.0414111j 0.135044+0.0636561j -0.00954114-0.0791415j -0.00420295+0.041928j 0.00702007-0.000475131j 0.0366269-0.0840715j 0.0282213-0.0621603j 0.100106-0.0373012j -0.0316377-0.0767441j 0.00509873+0.00697275j 0.00603419+0.0316802j 0.0390025+0.072534j 0.0746529-0.0153749j -0.0163518-0.0256149j 0.000594965+0.0811573j -0.0167561+0.0263669j 0.0757668+0.0158443j 0.0386035-0.0746657j -0.00549296+0.0277874j 0.00699373-0.00881311j 0.0323106-0.0748351j 0.102043+0.0391788j 0.0259172+0.0623981j 0.0356359+0.0848832j 0.00524339-0.00182952j 
0.141958-0.252633j 0.139174+0.253113j -0.0791716+0.414293j 0.00165726+0.382385j -0.0791521-0.411608j -0.0962268-0.0998574j 0.0480534-0.150738j -0.00944115+0.0765776j 0.177186-0.00525582j -0.0113679+0.0303286j -0.0176393-0.0307709j -0.175986-0.000244936j -0.0120123-0.0774579j 0.0509502+0.15127j -0.0971931+0.098816j -0.0349324-0.0400332j -0.0573151+0.0723212j 0.054198+0.0652686j -0.0093396-0.026777j -0.0217906-0.0396064j 0.0234672+0.0868338j 0.0567867+0.021619j -0.0223607-0.0252338j 0.0844587+0.0268102j -0.0414289-0.146777j 0.000820206+0.0189074j -0.0410413+0.148876j 0.0842525-0.0246805j -0.0168391+0.0240674j -0.0585605+0.0239004j 0.0254103-0.0887293j 0.0214101-0.0378273j -0.0112967+0.0257326j 0.0556579-0.0627309j -0.0583802-0.0703554j -0.0335796+0.0410756j 
