-0.00113617+0.00986722j -0.00329366-0.0314734j 0.00716103+0.0452884j -0.000289884+0.0202574j 0.00530334+0.0214306j 0.00254678-0.00336993j 0.014385+0.00549515j 0.00115009+0.0588313j -0.00734813+0.027792j 0.00117772-0.0154433j 0.0101655-0.0388889j -0.00116458-0.0230638j 0.0137125-0.0385594j 0.0122483+0.0852658j -0.000275389-0.0948322j -0.00545811+0.0565257j 0.00217158-0.00963617j -0.0327243-0.040855j -0.0409002-0.0567433j 0.00141848-0.0155716j 0.0108981-0.000822229j 0.000379079-0.0217334j 0.00664278-0.0502252j 0.00895747-0.0314765j -0.00350825+0.0359403j -0.00776991+0.00230206j 0.0049477+0.0199589j -0.02677-0.0385426j -0.00229341+0.0301558j -0.00943887-0.0328413j -0.0110752-0.0043294j 0.0200104+0.0653497j -0.00443009-0.041508j -0.0155783-0.00493893j 0.0115867-0.0354708j -0.00318351-0.015129j 0.00515581-0.0205623j 0.0125667+0.0438752j 0.0179959+0.0193753j -0.0217932-0.0351337j -0.0147469-0.03717j 0.0381433+0.0540105j 0.0137118+0.0657357j 0.0613056-0.130366j 0.0192772-0.174234j 0.00660766+0.305287j -0.0148702+0.0101217j 0.0243962-0.00367709j 0.0621179+0.0383j 0.0935699+0.228691j -0.00719302-0.0505735j -0.0104685-0.000594496j -0.026783+0.00945833j -0.00187576+0.0698316j 0.0165226-0.0820768j 0.00996693-0.0264826j -0.00909159+0.0106824j 0.00707631-0.0523482j 0.0195758+0.032564j 0.000269056-0.0134695j 0.00291796-0.0250154j 0.0011938-0.00300953j -0.0238308-0.0183799j 0.00187161+0.0572436j 0.0157682+0.00189938j 0.0201281+0.0102254j -0.00489756-0.0482577j -0.00498363+0.0463249j -0.00267434-0.358228j 
0.00388178+0.0325641j -0.0013871+0.00656289j 0.00433661-0.0188664j 0.00531469+0.0208832j 0.00535902-0.00479674j -0.00251786-0.0266807j -0.00158297-0.0640882j 0.0133344-0.000228897j 0.00507781+0.015452j -0.00979948-0.00627169j -0.0144728-0.0467947j -0.00765639-0.0127282j -0.013785-0.0598661j 0.0195714-0.0282124j -0.0256095-0.0247853j 0.0282547+0.0224426j -0.0054287-0.0133789j -0.00623665+0.0919578j -0.014088+0.0834984j -0.00199574-0.0068467j -0.00502377-0.0373435j -0.0105755-0.0157105j -0.0229457-0.0180916j -0.0134038-0.0342211j 0.0158828+0.00772389j 0.0040348+0.0174224j 0.00430811-0.00211059j -0.0128608+0.0560422j 0.00706732+0.0080831j -0.0114367+0.0101287j -0.000744516+0.0184506j 0.023172-0.0625835j -0.0055023+0.00615841j -0.00242886+0.033513j -0.00986691-0.0305965j -0.00371463-0.00402463j 0.0086031-0.0124658j 0.004724-0.0419311j -0.0039908-0.0229921j -0.00909323+0.0667428j -0.0167325+0.0558434j 0.000746851-0.116428j 0.024154-0.0372856j -0.0596465-0.232813j -0.0595719-0.121061j 0.100951+0.0601583j 0.00806282+0.0530124j -0.00133567-0.0766059j -0.0156452-0.213247j 0.0485116-0.238015j -0.0142283+0.0123683j 0.0037678+0.0359152j 0.0169145+0.0864316j 0.0313231+0.0617824j -0.0329605-0.0792098j -0.017681-0.0533263j 0.00608241+0.0279768j -0.0176135-0.0338107j 0.0017049-0.0267739j 0.00465474+0.035909j -0.000842208-0.0171441j 0.00201441-0.0246293j -0.0103323+0.0512107j 0.036474+0.0107469j -0.0151032-0.0184188j -0.00654603-0.069036j -0.0164943-0.0320253j -0.00153344-0.356451j 0.00206546-0.0428583j 
-0.00429359-0.0167277j -0.00179884+0.00907857j 0.00203787-0.0123083j 0.00154579-0.000622502j 0.00474012+0.0278268j -0.0195958-0.040137j 0.000708453+0.0294107j -0.0104025-0.00976168j -0.00396717-0.0233078j -0.00694828-0.0673034j 0.00910561-0.0481186j -0.00180785-0.0213949j -0.0184546-0.0390119j -0.0061208+0.0033235j 0.000430561-0.0288956j -0.0180059+0.0387203j -0.0267589-0.0245209j -0.0735767+0.0148039j -0.0758289-0.0741679j 0.0162012-0.0159523j 0.0232666-0.00632974j 0.0255557-0.0361632j 0.0124424-0.0425963j 0.027817-0.00682874j -0.000250283+0.058341j -0.0105447+0.00306024j 0.000841097-0.00665433j -0.0288822-0.0412404j -0.0106099+0.000239569j 0.000864007-0.0342742j -0.0104192-0.0287027j 0.00700908+0.10351j -0.00574538+0.0309853j -0.0257917+0.0524144j 0.0698532+0.0973599j 0.00557354+0.0418808j 0.0667112+0.167641j -0.0390295+0.0670097j 0.0168454-0.115936j -0.0345632-0.0887882j -0.0133798-0.0645356j 0.00702992-0.0935989j -0.0107691+0.0363783j -0.000676544+0.012866j -0.00471248-0.00125705j -0.00922549-0.0155427j -0.0158925-0.0129916j 0.028201+0.132308j -0.0317618-0.104036j -0.0461098-0.092312j 0.00561499-0.0155035j -0.00358001-0.0295165j -0.0052387+0.00674566j -0.00987683-0.0882977j -0.0046652+0.0360721j -0.00809056-0.0142966j -0.0125781-0.0256238j 0.00564091+0.056848j -0.0229372-0.0728714j 0.0242034+0.00383899j 0.0109995+0.0827941j -0.0072223+0.0387235j 0.0164152-0.0103824j -0.000883159-0.0547513j -0.0202042-0.0211629j -0.00370668+0.0848171j 0.00585172-0.215008j 0.00468029-0.0214704j 0.00364454+0.110532j 
-0.00329273-0.0171417j -0.00461826-0.00662658j 0.00628435-0.00115622j 0.00499546-0.00907934j 0.00914143+0.0150413j 0.00217069+0.0299048j 0.0188591-0.00209307j -0.000293009+0.0108204j -0.00882226+0.021546j -0.0326593-0.00910987j -0.0163271-0.00792626j -0.0140488+0.0039711j 0.0172527-0.00146839j -0.0021211-0.0204821j -0.0197942-0.0036454j 0.0256894+0.0464837j 0.0173641+0.0102941j 0.0283511+0.170609j -0.0300569+0.158078j -0.00218802-0.0316507j -0.0216101-0.0712436j -0.0109731-0.0506755j -0.0238751-0.0499992j 0.0211669-0.117572j 0.00468488+0.037358j 0.00273131+0.0234482j 0.00672408+0.00271088j -0.0198632+0.0514382j 0.00144241+0.019604j -0.0242345+0.00324302j -0.0163499+0.0341781j 0.0487001+0.0422312j 0.0148502-0.00127536j 0.0121203+0.0827525j 0.0148414-0.157381j 0.00550163+0.0415168j 0.0444208-0.0837367j 0.0753745+0.129166j -0.0413155-0.0633204j -0.0126993+0.0342035j -0.00327451-0.0140004j -0.0231101-0.0360681j 0.0186252+0.066187j 0.0321214+0.0521247j -0.0148647+0.0879865j 0.0146776-0.0369206j 0.00476837+0.0142601j 0.0552832-0.0144907j -0.0194673+0.0297243j 0.00664394+0.10885j -0.00986983-0.005682j -0.0136605-0.0355615j -0.00148214+0.00322636j -0.0273755-0.0852404j 0.0236313+0.0819469j 4.97894e-05+0.0347149j 0.00510777-0.00623376j 0.0208083+0.0463991j -0.00499112+0.0106752j 0.00475692+0.015702j 0.0248462+0.0696209j 0.0114286+0.0190999j -0.00718928-0.0210598j -0.0161243-0.0245617j -0.0137537-0.0354856j 0.00960716-0.174253j -0.000702793-0.0785038j 0.00411371+0.115964j -0.00462444+0.0423483j 
0.010144+0.0127202j 0.00894133-0.024131j -0.0228134+0.0106962j -0.00203377+0.0342091j -0.00818961+0.0355566j 0.00896204-0.0415828j -0.0173486-0.0135485j -0.0016531-0.000900134j 0.00864262+0.00581454j 0.0241987-0.0355748j -0.0288258-0.0233938j 0.000509981-0.00917431j 0.018292-0.0544186j -0.00388116+0.0240564j -0.0127651-0.0381117j 0.0356767+0.110577j 0.0110661-0.0171353j 0.0665186-0.0269091j 0.0769468-0.0284005j -0.010116-0.0206455j -0.0182477-0.0225953j -0.019846-0.0494606j -0.0191159-0.0632576j -0.0116697-0.0285278j -0.0108452+0.0291897j 0.0154432+0.0357414j -0.00395865-0.0135026j 0.0392004-0.0260031j 0.00426511+0.0148585j 0.0102989-0.02168j 0.000277686-0.0131322j -0.0226818+0.0553953j 0.0223951+0.0210307j 0.0160081+0.0610375j -0.021425-0.00911744j 0.00263363+0.0122991j 0.00805504+0.12341j -0.0128732+0.00445069j -0.025722-0.040173j 0.0348921-0.0607664j 0.0219445-0.0744891j -0.0446497+0.00399372j -0.0115974+0.0333184j -0.053426-0.0484543j -0.0108561-0.0334702j -0.0264921+0.0593164j 0.0119773+0.000724144j -0.0209683+0.0646777j -0.068764-0.0559056j -0.105759+0.0307794j 0.0127399-0.0131479j 0.00495131-0.019762j 0.0329571+0.00175039j -0.0115482-0.0335045j -0.00858045+0.0048391j -0.0101854+0.0208948j 0.0125231+0.0209806j 4.4884e-05+0.0296668j -0.0153795-0.0226157j -0.00284556+0.0123251j 0.00534836+0.053121j 0.000559349+0.0156934j 0.0150846-0.0115922j -0.0134877-0.0415099j -0.0126125+0.00878348j -0.0491869+0.0133716j 0.0124627-0.147188j -0.0136273-0.01152j 0.010992-0.0800621j 
-0.00414807+0.026243j 0.0110143+0.00128719j -0.0120992-0.0460124j -0.0252931+0.0148798j -0.0191311-0.0340135j -0.00715542-0.000593943j -0.0101039+0.00291615j 0.0360846+0.0130259j 0.000561422+0.0231466j 0.0213507-0.00147792j 0.0555848-0.0144515j 0.0325621+0.0207007j 0.00888979-0.0224696j -0.0172425+0.00282383j 0.0387745-0.000203758j -0.0652622+0.0329923j -0.0573366+0.0058675j 0.0162688+0.107141j 0.0449947+0.117817j 0.00603145-0.0067075j 0.0295764-0.0242007j 0.0134596-0.0555867j 0.0268379-0.0351632j 0.00280418-0.0268463j -0.0116767+0.0171839j 0.000495216+0.0164896j 0.00316939-0.01067j 0.00465351+0.0214586j -0.00156741+0.0179916j 0.0188589+0.0143315j 0.00506945+0.0268969j -0.0324721+0.0172788j 0.00600557+0.0143715j -0.00918539+0.0260753j -0.00181554-0.0575477j -0.000258163-0.00208737j 0.00758609-0.0135935j -0.00854729+0.0411245j 0.0224018-0.0397071j 0.01176+0.0339607j 0.0243885-0.00266228j -0.00071-0.00836031j -0.0163582+0.00992141j 0.052781-0.0578411j 0.0637235-0.0115808j -0.103535+0.00358222j -0.0118574+0.0211083j -0.0128905-0.0325953j 0.0100038-0.0368239j -0.0561076+0.0104478j 0.0138974-0.00451242j -0.00190525-0.00316756j -0.0118601+0.0196447j -0.0273663+0.000819811j 0.0233425+0.0266144j 0.0185032+0.0262723j -0.0131107+0.0113861j 0.0191728+0.0230288j -0.00455046+0.0216741j 6.16013e-05+0.00188405j -0.00757887+0.0158729j -0.00495673+0.00181482j 0.012907+0.00116529j -0.0251276+0.00524548j 0.0260874-0.024649j 0.000936989-0.099969j 0.0349551-0.0277201j 0.0035779-0.0733275j 0.0173087-0.00954208j 
-0.0182822+0.00833301j 0.0063151+0.0315448j -0.00523624-0.0280721j -0.0114215-0.013554j -0.002576+0.0152654j 0.0196721-0.0178127j 0.030365-0.032839j -0.0492866-0.0276182j -0.0144515-0.00256677j 0.0210356+0.0360305j -0.000844735-0.0121554j 0.00307799+0.0195416j 0.0614432-0.0155245j -0.0409527-0.01855j 0.0412383+0.0326572j -0.00520427+0.0267272j 0.0722749-0.0254169j -0.0193031+0.0486447j -0.0145394+0.0486741j 0.00262824-0.024022j 0.00288076-0.0076359j 0.00930551-0.00417774j 0.0311439+0.0045093j 0.0502017-0.0281947j -0.0273256+0.0216063j -0.020281-0.00425644j -0.0220522-0.0270427j 0.0267039+0.0345992j -0.0232146-0.00759874j 0.0142595+0.0267885j -0.000377573+0.0474132j -0.0221584-0.0308048j 0.0271786+0.0050398j -0.0017112+0.0331646j 0.0235402+0.03814j -0.013824+0.00330338j -0.0288983-0.0260597j -0.0189701-0.0902592j -0.0106679-0.0463921j 0.0132639-0.00215951j -0.00575264-0.0264924j 0.0385894-0.00344458j -0.0322781-0.0140084j 0.114823-0.0848862j 0.0941333-0.0165793j -0.138039-0.0177611j -0.0121728+0.0125734j 0.0183743-0.0115939j 0.0687365-0.0384158j -0.0111599-0.0742281j 0.0207026+9.16309e-05j 0.00109482+0.0228695j -0.0319356+0.0176114j -0.032111-0.00484137j 0.0476613-0.00308339j 0.026363-0.0110908j -0.00764605-0.0228502j 0.0151525+0.0081337j -0.00175926+0.00816221j -0.00586495+0.000693139j -0.00885469-0.0105482j -0.00451526-0.00609406j -0.000636125-0.00529828j -0.0284972+0.00368537j 0.0385792+0.0225147j 0.0245622-0.0169916j 0.0431184+0.0045079j 0.0164898-0.138128j 0.0214781+0.0561628j 
0.00230883+0.0173862j -0.000783942-0.0114908j 0.0131065+0.00648083j 0.00791842+0.00649577j 0.00897039+0.0457845j 9.81356e-05+0.00243292j -0.00377005+0.026305j 0.025135-0.014568j 0.0174008+0.0348499j -0.0252+0.0766885j 0.00490626+0.0316211j -0.0178888+0.067455j -0.010409-0.0796675j -0.0325494-0.0672788j -0.0167224+0.00476094j 0.0547478+0.164653j -0.0102082+0.0213654j -0.0318853-0.0534352j -0.0338383+0.00842069j 0.0196254+0.00458193j -0.00417254+0.0800697j -0.0116727-0.0356052j -0.0211292+0.0412147j 0.012762+0.00560151j 0.000782788+0.00193656j 0.00905589+0.00126721j 0.00877292-0.0321787j 0.000678334+0.00561662j -0.00300427+0.0244128j -0.00477461+0.00321393j -0.0258181+0.000210822j 0.0168415-0.0644443j 0.0216455+0.00554693j 0.0128697+0.0685652j -0.0566045-0.0829848j 0.00783963-0.0108841j 0.0466495+0.0720187j -0.0103604-0.148383j 0.0266238+0.0281562j 0.0199099-0.000269013j -0.0115084-0.0945294j -0.00748635+0.0558829j 0.0332941+0.0471998j -0.0219404-0.0215534j -0.0131245+0.0863989j 0.0467435+0.00958702j 0.00807322-0.0298531j -0.00424349-0.0138362j -0.0407735+0.0411387j 0.0350134+0.0594931j 0.00794753+0.00807377j -0.00688005+0.0124176j 0.0264473+0.000854427j 0.00919147+0.0267428j -0.0203556-0.0519717j -0.0125537-0.0305044j 0.00902456-0.0120306j -0.00745703-0.0139796j 0.0078451+0.0103866j 0.0059429+0.00933344j 0.00256346-0.0210533j 0.00183384-0.0100676j -0.00705022+0.0215252j 0.0118142-0.109491j -0.00928234+0.0875328j -0.00378155-0.00856888j -0.0169443+0.053697j -0.0053446+0.0195144j -0.00681835-0.0491542j 
-0.0116506-0.0319202j -0.018843+0.00635367j 0.0164509-0.0196363j -0.00319419+0.0104954j 0.0121902+0.0020304j 0.021514-0.00733691j 0.0347896+0.0276222j 0.0491539-0.0162124j 0.0170415+0.0244387j 0.00583778+0.0132482j 0.0148401+0.050449j -0.0123507+0.0226807j 0.0615099+0.0181813j 0.0591992-0.099602j -0.0285974+0.0394959j 0.0137106+0.0556678j -0.0133843+0.0235094j -0.0265975-0.0467361j -0.0422289+0.00547324j -0.00723809+0.0412556j 0.0286552+0.0058887j -0.000521875+0.00647489j -0.0254374-0.0233686j 0.00268204+0.0295259j -0.0274618-0.0295079j -0.00621603+0.011303j 0.0292898-0.0119317j -0.0488596+0.00181709j -0.00133934-0.0162539j -0.00245622+0.0251665j -0.0333255-0.0183079j 0.0680025-0.0170601j 0.00494737+0.0237271j -0.0487862-0.0029708j 0.00831541-0.00173216j 0.0133055+0.00942567j 0.0339897+0.0713456j 0.0269336-0.0175391j 0.0505184+0.0172294j -0.0419475+0.0315633j -0.00396454+0.00661346j 0.0452238-0.0148256j 0.0417974+0.030041j 0.0854532+0.0433598j -0.0102743+0.065177j 0.054545-0.0544573j -0.0289837-0.0207266j 0.056365-0.00994216j 0.0854463-0.0178498j 0.149425-0.0357817j -0.0126867+0.0240231j -0.0178862-0.0171745j -0.0289707+0.00477986j -0.00492728-0.0165627j 0.0140981+0.0202402j 0.00350248-0.000498402j -0.0125107-0.0244583j 0.0138184+0.00675375j 0.020159-0.00941774j -0.00457961-0.013052j 0.0103415+0.0126754j 0.00937209+0.0086626j -0.0393802+0.0312234j 0.0190776-0.0657461j 0.00404132-0.00805337j 0.0519524+0.00864417j -0.0162257-0.0203785j 0.0229835+0.0193488j -0.0150746+0.12156j 
0.010157+0.00408051j -0.00271734-0.00583962j -0.00460523-0.0328179j -0.00409816-0.0111482j 0.00772596+0.00645926j -0.00734208-0.00736046j -0.015023-0.000539304j 0.0193118-0.0164599j 0.0119338+0.00118098j 0.0329029+0.0529894j -0.0300511-0.0119489j 0.0194283+0.0359573j -0.0203121-0.023005j 0.0313435+0.0923203j -0.0323982+0.00613183j 0.0526903-0.0326337j 0.00609649-0.0414439j 0.000563989-0.0577942j 0.000688307+0.0224918j -0.0233997-0.0520366j 0.0155318+0.0284917j -0.0343527-0.0305824j -0.0550388-0.0216097j -0.0127913-0.0661896j 0.0210211+0.0253134j -0.00615384-0.00504082j -0.00625028-0.00978053j 0.00102809-0.0155902j -0.00539752+0.00688151j 0.0103469+0.0535728j 0.0185335+0.0445885j 0.00569633+0.00745268j 0.0376873-0.00834479j 0.0503238+0.0307671j -0.0116689+0.0766468j -0.0517207+0.0421951j -0.0309603-0.0600497j -0.0495595-0.0800964j -0.0493684-0.0370641j 0.0115414-0.0499806j -0.0520414-0.0631741j 0.0224632+0.0685437j 0.0211291+0.00545615j -0.0540461-0.0262157j -0.0312027-0.00210399j 0.0501144-0.024072j 0.0192325-0.0100001j 0.00706931+0.0160351j -0.00595983+0.0614341j -0.00961883-0.00392056j 0.00022897-0.0034324j 0.0234786+0.0273167j 0.0208602-0.0108263j 0.00666197-0.0622646j -0.0150051+0.0173537j 0.00325727+0.0140622j -0.00634845-0.00553564j -0.0149478+0.0541527j -0.021106-0.0389661j -0.00480879+0.0240602j 0.00981359+0.0163917j 0.00388684-5.05055e-05j 0.000163879-0.0556943j 0.0163386+0.00836852j -0.0188462+0.0920216j -0.0161687-0.000785086j -0.0156713-0.0400853j -0.00546491+0.0561476j -0.00907787+0.0344571j 
0.00529688+0.00957821j 0.00568602-0.00971224j -0.00700437+0.00499261j -0.00616735+0.000173721j -0.00678108-0.00233657j -0.00318879-0.00108239j -0.00448522-0.024498j -0.00863604-0.0156976j 0.00613539-0.0191073j 0.041876-0.0157532j 0.00586321-0.000569518j -0.0241827-0.0106507j -0.00587544-0.0406191j -0.0169646-0.0377607j 0.00908853+0.0198047j 0.0171807-0.0394699j 0.00430238+0.0152989j -0.0405252-0.0165133j -0.00340393+0.0546629j 0.00476975+0.000722151j 0.00592041-0.047567j -0.0149108-0.00466193j 8.76369e-05+0.0108564j -0.0101272-0.0459512j -0.00316889+0.0264547j 0.0105546+0.00512031j -0.0202767+0.00441222j 0.025249+0.0367209j 0.0110067+0.0102543j 0.00345834-0.0314538j -0.0261165+0.0247757j -0.00477345-0.0220551j -0.010678-0.061946j -0.0135834+0.0244693j 0.0169357-0.0452951j 0.0951291+0.0247986j -0.0292778-0.062641j -0.0824801+0.0483877j 0.0646798-0.00471633j -0.0122809+0.00149588j -0.0115883+0.00445945j 0.0090282-0.0104679j -0.00315716-0.00032832j -0.028971+0.00584862j 0.0264435+0.0259599j -0.0337862+0.00975003j -0.0143375-0.00374106j -0.0228172+0.000766485j -0.0138931+0.00202271j -0.0176383+0.0574537j 0.0154769-0.0155565j -0.00819143-0.0395687j -0.00118585+0.0213822j -0.00647205-0.000540601j 0.00721427+0.00253321j 0.0059777+0.00241062j -0.0188429-0.0271415j 0.00257755+0.0501587j -0.0245241-0.0257047j 0.000439094-0.00269198j 0.00179799-0.0145539j -0.00566287+0.0075247j 0.0175697+0.0155132j -0.00251715+0.0151728j 0.0125286+0.0146278j -0.0030673-0.0776361j 0.00736398+0.00445265j -0.00464198+0.0380938j 0.00210769-0.0145059j 
