0.0254283+0.0794976j -0.0223533+0.0352291j -0.0387088-0.0115961j -0.0284847+0.0765365j 0.0305666+0.0289411j -0.0127066+0.00860822j 0.0690291-0.0674075j -0.0218983-0.0120265j 0.0253925+0.00622095j 0.0163448+0.00670569j 0.0424138-0.0441306j 0.0469155-0.0206097j 0.00722955-0.0137071j -0.0118229+0.0155729j 0.018696-0.0200198j 0.0356014-0.00896404j -0.012183+0.0019493j -0.00308235-0.00395435j 0.0234437-0.0184041j 0.0209726-0.0170914j -0.00741299-0.0083835j 0.0109481+0.00163679j -0.00402968+0.0205704j -0.0278357+0.0315042j -0.00571841-0.0266624j -0.00789107-0.0173306j 0.0041517+0.00229908j 0.0215033+0.00612276j -0.00346685-0.0337359j 0.0055575-0.0147402j -0.0327538+0.0309712j -0.0143258+0.0235081j -0.0148068+0.0579316j 0.0307579-0.0157341j -0.0200695+0.0803202j 0.0169471+0.0714176j 0.0746787+0.0653817j 0.11712-0.112754j -0.159594+0.178579j -0.111452+0.0935058j -0.239506+0.01845j 0.195289-0.291005j -0.0534405+0.0220892j 0.0356635-0.0781885j -0.0106702+0.0280223j 0.0391361-0.0181124j 0.0222432-0.0367802j -0.0205665+0.019109j -0.0176528+0.0103936j -0.00465311-0.00764455j -0.0193311+0.0211368j 0.0160499+0.000646354j -0.00750261+0.000262646j -0.0141096+0.0146609j -0.0011592-0.00174362j 0.00535961-0.00382666j -0.0113602+0.00457477j 0.0166138-0.00101426j 0.00466894-0.00243159j -0.0139284+0.00926195j 0.00433338-0.0116373j -0.00614736+0.00289698j 0.0128552-0.0101205j 0.00348544+0.00562675j -0.000240325-0.00315301j 0.00178436+0.000454715j 0.00824364-0.00190335j 7.71898e-05-0.00131156j -0.00443439+0.00277601j -0.0078314+0.00290854j 0.00652399-0.00459294j -0.00149085-0.00951359j 0.00302356-0.00795854j -0.00176469-0.000177784j -0.00368984+0.0106971j -0.0122594+0.00937867j 0.00358488-0.00417617j 0.00597991-0.00164781j 0.00669575-0.00213471j -0.00269443-0.00468426j 0.012257-0.0235232j 0.00250482+0.00121798j -0.0136354+0.00627795j 0.0145337-0.00522812j 0.00874641-0.00210008j -0.012889+0.0150481j 0.000497115+0.0221509j -0.00379644+0.0152893j 0.0145242+0.0995243j -0.0929779+0.0521229j -0.0494444+0.0786633j -0.0408593+0.0410191j 
-0.0216587+0.0455761j -0.00910946-0.0962549j 0.0265385-0.0614834j -0.0534846-0.0230944j -0.0124706+0.037087j 0.0303755-0.0703202j 0.011394+0.0274505j 0.0191723-0.0224757j 0.0129961-0.0205133j -0.00427951+0.0176269j 0.0019175-0.0108383j -0.0259615+0.0423352j -0.0123737+0.00114448j -0.0202157-0.00342341j 0.00241669-0.00331201j 0.00568693+0.0040138j 0.0167178-0.0303368j -0.0115848-0.00572574j -0.011461-0.00800915j -0.00460036+0.0280557j -0.0028391-0.0032373j 0.0312789-0.0193473j -0.023983-0.0257221j 0.0115152-0.0393967j 0.0358243+0.048609j 0.012285-0.0145843j 0.0327013+0.0100822j 0.0178518-0.0308745j 0.00129308+0.0239948j -0.0104385-0.00883651j 0.00623636-0.00385585j -0.0336446-0.000334124j 0.0675342-0.0167506j -0.0205073-0.085397j 0.0120677-0.0310709j -0.00885056-0.0250531j 0.148967-0.0790223j -0.09826-0.084162j 0.102937-0.0717663j -0.117802+0.172337j -0.241873+0.338524j -0.19613+0.0109601j -0.0299707+0.0827871j -0.0431331+0.0270808j 0.00643197+0.00744837j 0.0119259-0.0480828j -0.0378395+0.0159668j -0.0128615+0.010401j 0.00683228+0.0110366j -0.00445012+0.0132329j 0.00811766+0.00747208j 0.0303174-0.0226487j -0.00566302-0.00392388j 0.00641223-0.00711714j -0.00314191-0.00224955j -0.00130643-0.00126284j -0.003105+0.00925633j 0.0208915-0.00506938j -9.73663e-05-0.00634674j -0.00946781+0.00948871j -0.0152898+0.00891627j -0.000194556+0.00299977j -0.00175531-0.00346083j 0.00432429-0.00669333j -0.00164082-0.00126874j 0.00507322+0.00317434j 0.00592131-0.000652733j -0.00150187-0.00256823j 0.00493713-0.00547327j 0.000814154+0.00802406j 0.0053918+0.000379903j -0.010241+0.00711305j 0.0102648-0.0112661j -0.00680472+0.00866887j 0.0064449+0.00414187j -0.00336304+0.00532231j -0.00367404-0.00211591j -0.00744775+0.00237171j 0.00914762-0.0070056j 0.00309744+0.00750915j -0.00104578-0.00994289j 0.0116672-0.0212459j 0.00771646-0.0131295j 0.0213709-0.00434589j -0.000669214-0.0139209j 0.00334048-0.0109149j -0.0220549-0.00978265j -0.00658219+0.0310037j 0.093167-0.0513122j 0.00145408+0.107482j 0.0279959-0.0388875j -0.0579076+0.0889207j 
-0.0795009-0.0354277j 0.0311868+0.0160535j -0.0109215-0.0126516j -0.0124043+0.0370633j 0.00527915-0.0676153j 0.0352478+0.0247056j 0.0208742+0.00284538j -0.0177613-0.0424227j 0.0174466+0.0105882j -0.0376559-0.0177461j -0.0199959+0.0421305j -0.00906824-0.0180811j 0.0219871-0.00254892j -0.00287658+0.0146095j 0.0363441-0.00504183j -0.0534647+0.0297665j 0.022678+0.00549196j -0.00917584+0.0060663j 0.012953+0.00975572j 0.0112465-0.0151829j -0.016846-0.00692869j 0.017463+0.00808844j -0.0379508+0.00354201j -0.0292898-0.0176511j 0.0375634-0.0212108j -0.00901495-0.0100056j 0.0440816-0.017862j -0.0138924+0.00242923j 0.0320859+0.00285793j 0.055863+0.0504085j -0.00782948+0.0467276j -0.0348175+0.0571049j 0.0546735-0.0843894j -0.00313344+0.0325808j -0.0687938+0.00343553j -0.0345431-0.0027888j -0.107139+0.172317j -0.119231-0.0711707j -0.0979084-0.0310247j 0.0153634+0.00174154j 0.0213914-0.136966j 0.121394+0.129662j -0.00804361-0.0382659j 0.0340727+0.0044273j -0.00971166-0.0207804j -0.013084+0.0393294j 0.0119493+0.00806649j -0.0345449-0.0181054j -0.00202453-0.022533j 0.013801-0.00779139j -0.000949965-0.0100481j 0.00274973+0.0116523j -0.0129094-0.00601769j -0.0265563-0.0127812j -0.00629428+0.00280393j 0.00448272+0.00585181j -0.00280644-0.00990619j 0.0169371+0.0136606j -0.00717392+0.00307481j -0.00477391-0.0136605j 0.00992497-0.000419761j -0.00195121-0.0092025j 0.00809621+0.0059932j -0.00397109+0.00172342j 0.00217911-0.00274331j 0.00887849-0.00248061j -0.0027539-0.00271224j -0.00181318+0.00502939j -0.00584543+0.00252939j -0.00554913-0.00881904j 0.00396094+0.00389449j -0.00324687-0.000275736j -0.00071263+0.014394j 0.00125684-0.00819949j -0.00317615-0.00477316j -0.00798386-0.00707279j 0.00116397+0.00109047j -3.26085e-05+0.00966627j -0.000263837+0.00986421j -0.000724574-0.00541893j -0.00206009+0.00592987j 0.0115111+0.0216953j -0.00645429-0.00379648j 0.0136747-0.0288669j -0.0337956+0.0530098j -0.0202047-0.0288122j -0.0497357-0.0209433j 0.0271532-0.0595817j -0.0314615+0.0371621j 0.00804761+0.0125844j -0.0531361-0.0365602j -0.0267514-0.0351353j 
-0.0405648-0.0129293j -0.0729543-0.042329j -0.0414251-0.0077982j -0.00151649+0.00467347j -0.0101844-0.0469786j -0.000441068-0.0703941j 0.0299451-0.0285454j -0.0808645-0.000199715j 0.0128825-0.0736459j 0.018294-0.00880458j 0.0324695+0.0390835j 0.0312959-0.0301539j -0.00823917-0.00154866j 0.0280907+0.0197389j -0.0506571-0.0477563j 0.0352849+0.00906271j -0.0345239-0.0211061j 0.00572577+0.0158109j 0.00304259+0.0181054j -0.0549325+0.00709004j -0.00426132+0.0521285j 0.00411114-0.00174658j 0.00334049-0.00446747j -0.0120835+0.0228877j 0.0247023+0.044308j -0.00880546+0.0467262j -0.0251315-0.0294135j -0.0258589-0.0271059j 0.0115374+0.0420857j -0.0141698+0.0213834j -0.0471223+0.0192425j -0.00859711-0.0140871j 0.0162423+0.0306836j 0.0430336-0.0919474j -0.00134057-0.0576355j 0.148377+0.0122042j 0.0689526+0.0815391j -0.101844+0.193667j 0.00322011-0.0157135j 0.056811-0.052515j 0.145118+0.103663j 0.0110149+0.136652j 0.0620735+0.0230477j -0.00329311+0.00561755j 0.00690506-0.0216571j -0.0126997+5.69458e-05j -0.00353363+0.00602975j 0.015174+0.0144373j -0.00313307-0.00233022j 0.00597349+0.0159705j 0.0126455-0.0140626j -0.00383509-0.00528722j -0.00561741+0.00115543j -0.00507766-0.00016341j 0.00618253+0.0106108j -0.00332772-0.00201449j 0.00721343+0.00535296j 0.0150519-0.00538918j -0.0024506+0.00484116j -0.0057044-0.00232242j -0.00147778+0.00408392j -0.00934545-0.00848428j -0.0059097-0.000568282j -0.00219817-0.00212857j -0.00415655-0.00010359j 0.00122558-0.00611757j -0.00439953+0.000279708j -0.000695753+0.0025959j -0.00462188-0.00209372j 8.94596e-06+0.00415956j -0.00409165-0.00841315j 0.00229403+0.012774j -0.00820316-0.0105676j -0.00810806+0.00539083j 0.0160061+0.00514869j 0.00566938+0.00194093j -0.0140982-0.00517586j 0.00869602+0.0105323j -0.0129913-0.0127588j 0.00892551+0.00858318j 0.00649687+0.012988j -0.00282725+0.00933341j -0.0131146+0.00970195j 0.0146836-0.0253324j 0.00061554-0.0456416j 0.0354432-0.0603749j 0.0046336-0.00872752j 0.0755797+0.031077j 0.0414587-0.00487755j 0.00246871-0.0544789j -0.0258922-0.0185014j 0.0672567+0.0350453j 
-0.0172779-0.0116462j -0.0455062+0.0015867j 0.0257209+0.0468592j -0.0542374-0.0850356j 0.0158145+0.0746674j -0.028638-0.00635104j 0.0312901-0.00192592j 0.009135-0.00633875j 0.0432734+0.00530263j 0.0218362-0.0160958j 0.0197084-0.036071j 0.0732857+0.00957238j 0.0120296+0.00465593j -0.0393216-0.0214256j 0.0124448-0.0189174j 0.0371412-0.0414439j 0.00569216-0.0399458j 0.0143252-0.0295685j -0.0169899+0.0189634j -0.00328164-0.0876543j 0.0104631-0.000520426j -0.0281801+0.0196433j -0.00525926-0.0213885j -0.0195519+0.0172821j 0.00226191-0.00866542j 0.0112204+0.0105095j 0.0147038+0.0447204j -0.00127012-0.0136786j 0.00701644-0.0240481j 0.0118994-0.00436702j -0.0559574-0.0157545j -0.0350759+0.0379607j 0.0811737-0.0471583j 0.0608364-0.125432j 0.115288-0.0867466j 0.161558-0.284072j -0.0640655+0.0968848j 0.0727572-0.019965j -0.0257618+0.0693962j 0.00240582+0.0161457j 0.0672796+0.098603j 0.0148108-0.00670492j 0.0250466+0.0193629j 0.035637+0.0581455j 0.00906687+0.0219646j 0.0124793-0.0290532j 0.0204073+0.00747334j 0.0231743+0.0047211j 0.0038836-0.00146176j -0.0146287+0.00482285j -0.00865781+0.00689384j -0.0135596-0.00951997j 0.0129919-0.00402776j 0.00944826-0.0106849j -0.00284267-0.00646479j 0.00323551-0.00448453j -0.000883919+0.00306273j -0.00447254-0.00269863j -0.00649809+0.00228818j 0.0115268-0.000607443j 0.0108683+0.00132926j 0.00632879+0.00573159j 0.00648345-0.00747518j 0.00329221-0.00692948j 0.00147599-0.00614864j -0.00760757+0.00351848j 0.0187457-0.0134788j -0.00687505+0.00184823j -0.00135688-0.0121938j 0.00854336-0.00215258j 0.000396783+0.00608885j 0.0168993+0.00811375j 0.00251618+0.00514817j 0.00218804-0.0243797j -0.00441449+0.0138119j -0.00398383+0.0140573j 0.0221028-0.00719506j -0.00306449-0.0158775j 0.00866062-0.0345278j -0.0163797+0.0255878j -0.00828465-0.00709176j -0.0100723-0.00901125j -0.00783777-0.0320778j 0.0136471+0.00411435j 0.00442382-0.0162692j 0.0137275-0.0390723j 0.0430695-0.0220858j 0.0267855-0.0547721j -0.0231109+0.0113272j 0.00921706+0.0530395j -0.0275043-0.0142602j 0.0319606+0.0407422j 
0.0138292-0.0277468j 0.0386637+0.0123408j 0.0961596+0.0440369j 0.0179973+0.0269907j -0.00209162-0.0553281j -0.0127146-0.0998631j 0.0373954-0.0272646j 0.0184831+0.0824447j 0.000821804-0.0171122j 0.0453808-0.0129987j 0.00918217-0.000790114j -0.0124352+0.00267356j -0.012179+0.0366489j 0.00853877-0.0647101j -0.0142641+0.0215778j -0.00400204+0.00156302j 0.00808223+0.0589867j -0.0015102+0.0530839j -0.0277899+0.0228595j 0.000907462+0.0309227j 0.0429608+0.0656012j 0.0160716-0.0208684j -0.0277571-0.0368138j 0.00171812-0.0680281j 0.0784447-0.0694269j 0.040842-0.0185379j 0.0166452-0.00980338j 0.0016511-0.0115424j 0.0624302+0.0105607j 0.072451+0.0596966j 0.045505+0.0821948j -0.0721919+0.0685456j -0.0223636-0.216127j -0.192531+0.0937873j -0.0937277+0.244662j -0.0134826-0.178357j 0.145199-0.026606j -0.00429343-0.0508838j 0.0276069-0.0995823j 0.000900227+0.0637376j -0.0465397+0.018263j 0.0173789+0.120422j -0.0449827-0.0705452j 0.0434032-0.00620871j 0.0209796-0.0521899j 0.020164-0.0253431j 0.00664563+0.027475j -0.0017822-0.048238j -0.00332155+0.0018104j 0.00457451+0.00486738j -0.00898582+0.00348645j 0.00871428-0.00510151j -0.00359797-0.0176666j 0.00427517-0.0298281j 0.0035609-0.00368931j -0.0150275+0.0263306j -0.00396864-0.00813947j 0.00964322+0.0123148j 0.00500108-0.00816894j 0.0101319-0.00535475j 0.00318968-0.00420743j 0.00146796+0.00240499j -0.00485707+0.000357609j 0.00757456-0.00535388j -0.00677382+0.00084796j -0.0125131+0.00554299j 0.00415946-0.0166702j 0.006355+0.0065791j 0.00408-0.000848418j 0.000412213-0.01562j 0.00188474+0.00431622j -0.00231648-0.00810628j 0.0113187+0.00835927j -0.0112391+0.00548267j 0.00477313+0.0081441j 0.0043048-0.00127644j -0.0122415+0.0130158j -0.000779836+0.00479188j 0.00286798-0.00796468j 0.00208701+0.0156732j 0.00365984+0.00518853j -0.00788881+0.0238689j 0.0195291-0.0134378j 0.0156959-0.00226442j 0.0106878+0.0202616j -0.0517711+0.0153187j -0.0024285+0.021661j -0.00834123-0.0353332j -0.00379559-0.0592012j 0.0265317+0.0183332j -0.0135443-0.0533461j -0.0495756-0.0169974j 
-0.0976477+0.015125j 0.0380265-0.00533017j -0.017022-0.00487342j -0.0442669-0.0163876j 0.0172176+0.0296501j 0.0138209-0.0169549j 0.0412965-0.0342293j -0.0343497-0.0327119j 0.0596531-0.00181769j -0.017943-0.0632092j 0.0104474-0.0440079j -0.0205334-0.00340431j 0.0121243+0.00531203j 0.0194006+0.00617026j -0.0479372-0.0163131j 0.0129014-0.0357248j 0.0423253-0.00889892j 0.0458473-0.0406393j 0.0299372-0.0154071j -0.0211718+0.0207915j 0.0322901-0.0263432j 0.0254128-0.0122108j 0.00288543+0.00510792j 0.0366993+0.0797753j -0.00764571+0.0143974j 0.0269873+0.0667462j -0.0267591+0.0240793j 0.0399506-0.148657j -0.0216806+0.0414654j -0.0523027+0.0504217j -0.116261+0.0119115j -0.101978+0.0283808j 0.263727+0.111162j -0.0919151+0.0400374j 0.0465292-0.132922j 0.131248-0.0537402j -0.0468357+0.0911788j 0.117202+0.0633083j 0.0073356+0.0744998j -0.0439123+0.00884268j 0.0236013+0.031413j 0.101143+0.0227498j 0.0431073+0.0210947j 0.0220228+0.021332j 0.000422294+0.0141894j 0.0213932-0.00799886j 0.00316028-0.00806654j 0.020917+0.0139826j 0.00230822-0.00917412j 0.00259744+0.000199916j -0.0120187-0.00520339j 0.0149955+0.00303795j -0.00772129+0.00382409j 0.000931004-0.00186923j 0.00913999-0.00278686j 0.00514448-0.00932874j 0.000584976-0.00138991j 0.0235878+0.00143168j -0.00372316-0.00194695j -0.0058499+0.00225671j 0.00514047+0.00398861j -0.0106683-0.00864087j 0.0040639-0.00228527j 0.00554739+0.00054378j 0.000676089-0.000736929j -0.00479809-0.00251502j 0.0114914-0.00310174j -0.00696474-0.003462j -0.00443376-0.00641304j -0.00610238+0.00358335j -0.000184673-0.00766641j -0.00374566+0.00860593j -0.00929279-0.0103045j -0.00574697+0.00663627j 0.0149439-0.00958765j -0.00275838-0.00473478j 0.00345817+0.00446792j 0.00983669+0.0065049j -0.00541584-0.0119383j -0.0109535+0.00637332j -0.000214787+0.0379026j -0.00164089+0.0229248j -0.0280237+0.0185652j 0.0312415-0.0291577j -0.0546155-0.0116308j -0.0293481+0.0287071j -0.0046485-0.0167634j 0.0312847+0.0112179j 0.0305121+0.00958534j -0.0513933+0.000628241j -0.060571+0.00345099j 0.016116+0.0310898j 
-0.0202779+0.0152841j -0.0652753+0.0228959j 0.0121745+0.00852698j 0.0578395+0.0031911j -0.055932-0.0315405j -0.0216645-0.0127092j 0.0287276-0.0115982j 0.0233158-0.0368834j -0.0189704-0.0301571j -0.0190296+0.00748248j -0.00170638-0.0290003j 0.0712234-0.019125j 0.0244984-0.0129029j 0.00829545+0.0305092j 0.0427669+0.0226269j 0.0227363+0.00808349j 0.00124925-0.0256051j -0.0165385+0.0121557j -0.0404538-0.00663602j 0.0334579-0.0885173j -0.0344168+0.038224j -0.0574229+0.00698051j 0.0205863+0.0062231j -0.0356582+0.0107605j -0.0221967+0.0391083j -0.0288279-0.0175278j -0.00581823+0.00759039j -0.0258241+0.0326156j 0.00580805+0.00232122j -0.0771553-0.0317077j -0.0209682-0.0162307j -0.0196754-0.110548j -0.109698-0.0626181j 0.231494+0.116628j 0.00501721+0.0684463j 0.00878635+0.232361j -0.0058998-0.2445j 0.00115102+0.0917677j 0.054421+0.00853187j -0.0374264-0.0786681j 0.0827753+0.0105978j -0.0178977-0.0257293j 0.000781834+0.0138661j -0.0216748-0.0361299j -0.0168704-0.0191992j -0.0163836+0.00325114j 0.0189844-0.0129162j 0.00796285+0.0112519j -0.00222593+0.010648j -0.00192973+0.0126728j 0.000519615+0.001854j -0.0198257-0.000374849j 0.0200417+0.0162518j 1.7755e-06+0.00851407j -0.00366967+0.00802922j 0.00225828+0.00982819j 0.00243877+0.00154961j -0.0157599-0.00238094j -0.011072-0.00687914j 0.00570174-0.00232511j 0.00674725+0.000310037j -0.0026216+0.0149156j 0.00483359+0.00420889j -0.00764524-0.00890003j 0.00366514+0.00284847j 0.000801995-0.00415073j -0.00232541+0.011874j 0.00224587+0.00698722j 0.000865142+0.00923178j 0.0058655+0.00125412j -0.0060595-0.00122045j 0.0156284-0.00311148j -0.00387174+0.0021437j 0.00380294+0.0194017j -0.00563205-0.000207924j 0.000856363+0.00514336j 0.00916107+0.00316738j -0.00890164-0.015969j -0.00833368+0.000854675j -0.00514863+0.0388878j 0.00258002+0.0177018j -0.0399363+0.00193795j -0.00820298+0.0301639j 0.0164972+0.0129899j 0.00282707-0.00433325j -0.00496298+0.022291j 0.015642+0.00577096j -0.031324+0.0302321j -0.0177956-0.0160316j -0.0214062-0.0403523j 0.0222452+0.0286735j 0.036063-0.0195285j 
-0.0416614+0.0386865j 0.0250301-0.0150963j -0.052428-0.059173j 0.0219027-0.00337984j -0.0266598-0.0214805j 0.000373718-0.0204784j 0.0393862+0.0609471j -0.0110973-0.0321669j 0.00879083+0.08039j -0.0331014+0.00355233j -0.0373357-0.0772043j -0.0123285+0.0470783j 0.016732-0.0094366j 0.0530923-0.00553173j -0.000474146+0.0787057j 0.00644579+0.0505206j 0.0309582+0.0181091j -0.0330919+0.0329487j -0.00781624-0.057717j 0.0327244-0.025995j -0.0298557-0.00729929j -0.00608678-0.0388138j 0.0756903-0.0132848j 0.00807537-0.0171804j -0.10603-0.0315273j -0.0219229-0.0388494j -0.0136738+0.0223995j 0.0811019+0.0434307j -0.104475-0.05909j 0.0471319-0.182478j 0.043429-0.11664j 0.0559864-0.149098j 0.0725904-0.185044j -0.00565048-0.0168432j 0.00243318+0.0704362j 0.198544-0.0498816j -0.111737+0.0521293j 0.0278558+0.0194199j -0.00567945+0.120187j 0.123991-0.0544483j 0.170768-0.0173436j 0.105936-0.137655j 0.0514281+0.0467755j 0.00526105-0.0564563j -0.0138805-0.00967697j -0.00867432-0.0108572j 0.0135872+0.00705643j 0.0110076+0.0171503j -0.00948177-0.00181325j 0.00984078-0.0227841j -0.0134337+0.0313334j -0.00539095-0.0218745j -0.000755022+0.0149474j -0.00608367+0.0149209j -0.000786058+0.0132792j -0.00556379+0.0151451j -0.00617374+0.00336936j -0.00319039-0.0161527j -0.00167731+0.00426587j 0.00860736-0.00628725j 0.00741418-0.0208148j -0.00903583+0.00218666j 0.00600483-0.0141939j -0.00033273-0.00544787j 9.27897e-05-0.00178943j -0.00709408-0.0119286j 0.00249525-0.019914j 0.0113445+0.00806154j -0.00536493+0.00942585j -0.00317376-0.0127918j -0.000850338-0.0204802j 0.00845712-0.0128811j -0.00925583-0.00467624j -0.00601379+0.023485j -0.00600628-0.0093462j -0.0132142+0.0119975j -0.00847898+0.0175828j -0.00515363+0.00502085j -0.0115512+0.00325823j -0.00458117+0.0261642j -0.0067537-0.0182764j 0.0159486-0.00802659j 0.0112823-0.0131066j -0.013675+0.0218753j 0.00996039+0.00431602j 0.016584-0.00312111j -0.00135619+0.0174447j 0.032656-0.0315417j 0.00284988+0.0491023j 0.000801447-0.00421787j -0.0240127+0.0331804j 0.0255303+0.0205563j 
-0.0032275-0.00835874j -0.00350713-0.00367286j 0.0370927+0.0347514j -0.0505101-0.0238133j -0.0305374+0.00356039j 0.0171072+0.0600181j 0.0272881+0.0339856j 0.0487323+0.0582926j -0.00834417-0.00751084j 0.0656311+0.119519j 0.0314794-0.00741284j 0.0676206+0.0408883j -0.00265001+0.0203071j -0.0585646+0.038397j 0.0301548+0.0664001j 0.0257617-0.0147515j -0.0236917+0.0624743j -0.0689682+0.026186j -0.0151286-0.0466893j 0.0349023-0.0049985j -0.0243933-0.00682131j 0.0218896-0.0623688j 0.0340941+0.00222835j -0.0187409-0.0209006j 0.0159451+0.0276423j 0.0151892-0.0300288j 0.0475288-0.0362337j 0.0841887-0.0994992j -0.0633461+0.0848807j -0.1082-0.0668382j 0.0729779+0.00784496j 0.137251-0.305751j -0.175126-0.0519121j -0.0280604+0.0132347j -0.0054279+0.0100771j 0.0674003-0.23368j -0.136932+0.126947j -0.0156366-0.114878j -0.190537+0.122658j 0.0341936+0.122293j 0.0199533+0.210845j 0.124467-0.0578507j -0.0219543+0.0289543j 0.0584941+0.0349689j -0.0172134+0.00513058j 0.00340683-0.00202008j 0.0357544+0.0276479j -0.025826-0.0156668j -0.0117224+0.027189j -0.0143008+0.00329374j -0.00449412+0.0124408j -0.009784-0.035279j -0.00269755-0.00373379j -0.00195699-0.00577204j -0.00888742+0.0033127j 2.33804e-05+0.00519323j 0.00281081+0.00317586j -0.0207042+0.000462654j 0.0142895-0.00665715j -0.0103829+0.00960937j -0.00306672+0.00442545j -1.22891e-05-0.00214331j 0.0140148-8.81999e-05j 0.00105484-0.00210068j 0.00539448+0.0119943j 0.00970489+0.00686553j 0.00276831-7.15102e-05j 0.00652534-0.0107175j 0.00408756-0.00166809j 0.000863324+0.00680538j 0.00239028-0.00275463j -0.0168613+0.0200709j -0.0139368+0.00178233j 0.0153407-0.00746324j -0.0209216+0.0421172j -0.0272272+0.0176965j 0.0119652+0.0237559j -0.0238546+0.0225085j 0.0187509-0.0221277j 0.0170289+0.011746j -0.0242379+0.00760332j -0.0235356-0.00579951j -0.0191738+0.0149078j -0.00894184+0.0256073j -0.00439727+0.000998031j -0.00298481-0.00248537j -0.00849813+0.0293597j 0.00676375-0.00850014j -0.0396482+0.00767692j 0.00746983+0.0558051j -0.0108066-0.0203972j -0.00996147+0.0295278j 
0.0187706-0.0194421j 0.0315471+0.0114093j 0.0388933-0.0315983j 0.102123+0.0187542j -0.0479078-0.0162943j 0.0696684+0.0172457j 0.0216987-0.0612524j 0.0179143+0.00915935j -0.0441734-0.0842299j 0.00496843-0.0418224j 0.0423152-0.00618645j 0.0175423+0.028553j -0.00350388+0.0217418j 0.058458+0.0834104j -0.00344411+0.111856j 0.04193-0.0249962j 0.0177688+0.0190229j 0.0583805-0.0439537j -0.0295838-0.0134772j 0.0219862+0.074174j -0.0187206-0.0600045j -0.0349198-0.0045252j 0.00462593+0.0630682j -0.0764754-0.060557j 0.0868699+0.00846826j -0.0906248-0.137574j -0.00803645+0.0227285j -0.103023-0.122773j 0.113238+0.0103194j -0.192326-0.00482573j -0.0833136+0.11851j -0.154084-0.144336j -0.090864+0.117272j 0.198777-0.049936j 0.00867709-0.0485424j -0.0252942-0.149017j -0.0158181+0.0700358j -0.0384011+0.0828651j -0.0953166-0.142275j -0.0927663+0.0931186j -0.210347+0.0785064j 0.0731264+0.237605j -0.0944228-0.0131137j -0.02255+0.0169793j -0.0207605-0.0303367j 0.0556739+0.0184683j 0.0119239+0.00422661j -0.0200516-0.0546492j 0.00727981-0.00253167j -0.00843787+0.0282075j -0.00886964-0.0193398j 0.0103475-0.00583676j 0.0104679-0.00588107j -0.000481711-0.0275007j 0.00240961+0.00454088j 0.0165953+0.0139816j -0.000615082-0.00729412j 0.00443919+0.0254428j -0.0163903-0.00634411j -0.0169765-0.00376165j -0.00128151+0.00282683j -0.00350879-0.00492491j 0.00121015+0.00512231j -0.0087659+0.00161994j 0.00715752+0.0102177j 0.0033279+0.00230263j 0.00198586-0.00250769j -0.0116245+0.000472441j 0.0209387-0.0049696j 0.00279087-0.0187016j -0.00989867+0.00430884j -0.011828-0.00544966j 0.0196946-0.000354353j 0.0119631-0.0142152j -0.000777506+0.0342884j 0.00577706-0.00369813j 0.0409637-0.00694907j -0.013074+0.0288148j -0.00723145-0.0255697j -0.010643-0.0391298j 0.0489878+0.00493868j -0.000461986-0.0165553j 0.00441519+0.0122096j 0.0203819-0.0121794j 0.0089698+0.0170402j 0.00228492-0.0396343j 0.0245188+0.00605987j -0.0346873-0.00812771j -0.0259442-0.00856374j -0.00155468+0.0237249j 0.00276932-0.0328091j -0.0371101-0.0132669j 
