0.0932366-0.34156j 0.439477+0.385189j -0.0453575+0.0737579j 0.224786+0.0154672j 0.00779461+0.0187604j 0.011059+0.00568085j -0.0232636-0.0135278j 0.0149307+0.0715851j -0.0303502+0.0634284j -0.0862784+0.0453268j -0.0373903-0.0812392j 0.0144948-0.039073j -0.135209-0.082489j -0.240549-0.0397267j -0.0353851-0.159809j -0.00143793+0.000470803j 0.0108856-0.00508344j -0.00956925-0.00185419j -0.0055756-0.00414265j 0.0466739+0.0410392j 0.00905015+0.0369517j -0.0438692-0.0499173j -0.03402+0.0234698j -0.0107798+0.0745957j 0.00418418-0.0559874j -0.0244829-0.073607j 0.0660177-0.0343401j 0.0278523-0.165239j -0.053413+0.017677j -0.00236245-0.0524622j -0.0411923-0.00324679j -0.0916052+0.0329744j 0.0715008-0.095129j 0.00037279+0.00599841j 0.0752021-0.0117119j 0.012744+0.0150737j 
-0.100326+0.0555884j -0.11431+0.002214j -0.0215734-0.00469977j -0.152854-0.0649049j 0.160079-0.00792445j -0.0579792-0.0228934j -0.151391-0.10312j 0.149846+0.12514j 0.226301+0.0276746j -0.137224+0.201451j -0.28208+0.255479j -0.302369+0.327279j -0.0317358+0.205459j 0.0338526+0.0929744j 0.0164256-0.0118205j -0.0382954-0.0488336j -0.0779532-0.0481639j 0.0326489+0.0268183j 0.0272472-0.028857j 0.0140124-0.0218328j -0.00572009-0.0222014j -0.0110853-0.116306j -0.0157747-0.056589j 0.0224978+0.0389183j 0.0926634+0.0126078j -0.0116402+0.070931j -0.00572121-0.0256575j 0.0371684-0.109711j 0.0892095+0.000812274j 0.0654737+0.0201769j 0.0414828-0.0177885j 0.0706627-0.0574865j -0.087512+0.102398j 0.023954+0.0327838j 0.011316-0.00527114j 0.00654161+0.00215402j 
-0.0406143+0.0228017j 0.021453+0.005848j 0.228621+0.121587j 0.0688866-0.0363741j 0.309+0.0371164j 0.0380035-0.0442778j -0.191419-0.0483827j -0.108444+0.0272119j 0.0233203-0.0824331j 0.0851171-0.0473849j 0.129217-0.0527757j -0.0278202+0.0140342j -0.10912+0.00619342j -0.235525-0.0325887j -0.208603-0.0113869j 0.0807972+0.0271046j -0.0968186-0.0330225j -0.0812708-0.115066j -0.0623163+0.067813j 0.0458264-0.0220114j -0.0117088-0.0992856j -0.00944088-0.0437538j -0.0963389+0.14205j -0.0594776+0.0710588j 0.026664-0.0752905j -0.0871052+0.0194284j -0.17766+0.143716j -0.0495225-0.0515099j -0.00575595+0.0509851j 0.151703+0.101206j -0.0952838-0.0536407j -0.0917475-0.141639j 0.0220851-0.00106368j -0.0702225-0.14678j -0.027067-0.0886155j 0.171607-0.0943961j 
-0.0207041+0.00637804j 0.0436556+0.0226022j 0.310293-0.0373441j 0.0728952+0.0368532j 0.226941-0.118809j 0.2064-0.0103296j 0.242029-0.0309056j 0.111687+0.00656049j 0.0178635+0.00668583j -0.133794-0.0607692j -0.0864145-0.0507305j -0.0133153-0.0773928j 0.107466+0.0275063j 0.191773-0.0517322j -0.038048-0.0473881j 0.174707+0.0914628j -0.0206674+0.0841068j 0.0694522-0.147743j -0.0244708+0.00196611j 0.0877897-0.143934j 0.0959404-0.0567892j 0.152814-0.0939299j -0.00635049+0.0610083j -0.0539394+0.054872j 0.17465+0.141911j -0.0875673-0.0214398j -0.0308078-0.0761572j -0.0586621-0.0690728j 0.0980712+0.138294j -0.00251792+0.0507302j 0.00974336-0.0996488j -0.0485127-0.0234924j 0.0617068+0.0678782j 0.0785597-0.119962j -0.0979296+0.0306801j 0.0783055-0.0270567j 
-0.1166-0.00159415j -0.100413-0.0541448j -0.159838-0.00739807j 0.148865-0.0635065j 0.0251864-0.00473341j 0.0167324+0.00928667j 0.0287638-0.0978675j -0.0378848-0.210219j -0.312186-0.329953j -0.268933-0.2413j -0.126855-0.206882j 0.228551-0.023181j 0.141266-0.13082j -0.156472+0.104203j -0.0648531+0.0248895j -0.00559648+0.00236465j -0.0121119-0.00691848j 0.0209169-0.0365712j -0.0885909-0.103447j 0.0725017+0.0569828j 0.0427472+0.0157617j -0.0580953+0.0217681j 0.0936812-0.000514457j -0.0382075-0.110048j -0.00378968+0.0254601j 0.0100765+0.0692002j 0.0924023-0.011459j -0.0245263+0.0386354j -0.0171118+0.0662917j 0.0117568-0.111221j -0.00715322+0.022468j 0.0133638+0.0207338j 0.0270871+0.0294281j 0.0320759-0.0253313j 0.0776086-0.0451642j 0.0399241-0.0497098j 
-0.043934+0.0345212j 0.0707447+0.110547j -0.0380307-0.0900777j 0.0778724-0.00799434j -0.0790306+0.146058j -0.0516094+0.0157149j 0.279386-0.0490984j 0.266334-0.148861j 0.0428942-0.245194j -0.118913-0.184641j -0.321167+0.0332334j 0.0725115+0.179779j -0.0210213+0.0262256j 0.00901706-0.233054j 0.0571696-0.149878j -0.0553461+0.0397572j 0.0515176-0.0873748j -0.010205-0.0983975j -0.0874464+0.138702j 0.0367551-0.0103088j 0.0514263-0.0764199j -0.0540542+0.123095j 0.0855375-0.0453187j -0.130358+0.0680635j -0.0728347+0.0208302j 0.122234+0.0816254j 0.0765965+0.0331653j 0.0476802+0.017628j 0.0148954+0.0276813j -0.0750422-0.19612j -0.00441133+0.0422121j 0.00342417+0.100068j -0.0352328-0.0114157j -0.0511334+0.0196335j -0.0604284+0.0270994j -0.0485994+0.1069j 
-0.0283451+0.0602817j -0.0508818+0.0996896j 0.178387-0.0562996j -0.214842+0.230682j -0.0867698-0.0186814j 0.151418-0.13531j 0.0441392+0.118236j -0.0818773-0.413406j 0.143589+0.0470202j -0.27817-0.248034j 0.0665522+0.0264644j 0.103467-0.0148138j -0.102724-0.0218061j -0.0534313-0.0211814j -0.0127788+0.0643131j 0.0245268-0.149571j 0.135861+0.0370717j -0.145187-0.0311575j 0.164453-0.00897669j 0.138407-0.0587614j 8.50241e-05-0.0568221j 0.121357+0.059755j -0.0329691+0.0701343j -0.0467004+0.00558166j 0.0538277+0.0894718j -0.0492292-0.174367j 0.00205505-0.05009j 0.00997787+0.00312826j 0.0212244+0.0419454j -0.0121725+0.115744j 0.000166941+0.026567j 0.0433944-0.0219861j 0.030871-0.05168j -0.0327313+0.045868j 0.0182971+0.0146773j -0.0267707-0.0181474j 
0.00527189+0.0238051j 0.140583-0.091986j -0.0715365+0.222315j -0.0393199-0.0062128j -0.157101-0.151288j 0.242989+0.0239528j 0.0232773+0.148773j 0.203594+0.00919228j 0.0187488+0.0223645j -0.131581-0.0637301j -0.0235316+0.064094j -0.173158+0.184189j 0.114429-0.144795j 0.086005-0.0854759j 0.0114057+0.0601806j -0.000896431-0.221113j 0.067036-0.172096j -0.0592356+0.14903j 0.107662-0.0785084j -0.0816198-0.0466491j -0.0337196+0.0107101j 0.147951+0.0337509j 0.00529285+0.0410142j 0.0267229+0.0837987j 0.0237892+0.0764795j -0.0868527-0.103286j -0.0468972-0.0233216j 0.0253709-0.0559591j -0.00432138+0.0291334j -0.00642126+0.0549074j -0.000669318-0.0495811j 0.00847705-0.0296153j -0.100063+0.0275006j 0.0119874-0.0858078j 0.0488938+0.0196314j 0.0207628-0.0592428j 
-0.0525144+0.0736328j 0.0377126-0.150423j 0.0701154-0.0420746j 0.0239799+0.0212508j -0.0627857+0.00964141j -0.0744713-0.0266157j 0.145103+0.26389j -0.0464477+0.0726284j -0.0773987+0.0374285j -0.0521801-0.0732999j 0.124991-0.0445211j 0.0983662-0.047919j 0.0505844-0.00437565j 0.0716634-0.0434797j 0.134872-0.0843427j -0.0398137+0.0251875j 0.0954244+0.0949005j 0.0303501+0.0179526j 0.0574895+0.136387j -0.0511945-0.101732j 0.00182854+0.0130199j 0.0573092+0.0754862j -0.145136+0.00802567j -0.018359+0.0911024j -0.0428475-0.0287453j 0.0766504+0.00817275j -0.092501+0.00676687j -0.0122811+0.044285j 0.0339122-0.003364j -0.0122244-0.037719j -0.0328448+0.000209239j -0.134981-0.0020831j -0.0366495-0.062775j -0.0402433-0.0138995j -0.059856-0.0527565j -0.0574325+0.110157j 
-0.0358171+0.0474086j 0.0814344+0.121614j 0.0875265+0.0840149j 0.0707384-0.115393j -0.066892-0.0112218j -0.0117008-0.122509j 0.0786749-0.00100585j 0.1663+0.17171j 0.0383694+0.1935j -0.0689315+0.0529329j -0.0345298-0.0254422j 0.0537772+0.114283j 0.00403184+0.16751j -0.16222+0.02887j 0.0294505+0.00974493j -0.080585-0.0576366j 0.013207+0.0306916j -0.118843-0.112652j 0.0693545+0.106759j 0.151303+0.0200231j 0.00340439-0.111564j 0.0330624-0.0377816j -0.119564-0.000904404j -0.0587729+0.0380063j 0.0788447+0.00502668j 0.0495489+0.0493558j -0.0779505+0.0288035j -0.0631961-0.0432119j 0.097149+0.0338433j 0.00300141-0.0183369j 0.000566102+0.00724922j -0.0988588-0.0505791j -0.0246006+0.0715529j 0.0165054+0.0695231j 0.0302144-0.0214124j -0.0108197+0.0245257j 
0.0523474-0.0972859j 0.0298704+0.0426109j 0.0606555+0.0536686j 0.0423079-0.204089j -0.126406-0.0333175j -0.0692102-0.158104j -0.136237-0.0506058j -0.0992681-0.157065j -0.0757045-0.191497j 0.0180365-0.00922542j 0.0566932+0.0117622j -0.1004-0.0924255j -0.08208-0.112978j 0.00225286+0.0483843j 0.0916698-0.0738183j -0.0842974-0.0130467j 0.0884862+0.218604j 0.119577+0.0849502j 0.129537+0.0258061j 0.108677-0.126861j 0.036543+0.0801105j 0.0382619-0.0154156j -0.108897-0.0897927j -0.0104114-0.0261552j 0.0367907-0.0241438j 0.000230124+0.0654771j 0.0288463-0.0686606j -0.0122251+0.00126085j 0.0868843+0.0202209j 0.100967+0.00710242j -0.0158132-0.0203912j -0.0206977-0.0726741j 0.0257069-0.000583156j -0.0131555-0.0423948j -0.060979-0.128959j -0.0214254+0.0783016j 
0.167131+0.0514959j -0.0259445+0.0179636j -0.0838398-0.0513039j -0.0923779+0.0444657j -0.00545508+0.0245579j 0.0479453+0.115528j 0.101709+0.19857j -0.100056+0.139019j -0.277026-0.102725j -0.0656478-0.100617j 0.120598+0.0840671j -0.0200588+0.185981j -0.0324843+0.0986517j -0.00687864-0.0632946j -0.0181681-0.00904254j -0.0302864-0.0465268j 0.0373119+0.0195705j 0.057753+0.115967j 0.0120328-0.0389014j -0.138822-0.0215865j -0.0154375+0.0831089j 0.0820783+0.0274585j 0.0217423-0.0338748j 0.0731646+0.0137776j -0.0292424+0.0441541j 0.0014549-0.0220198j 0.0214677-0.0595797j -0.0474598-0.00866271j -0.00322207+0.00545083j -0.0697387-0.0429228j -0.0149342-0.0105551j -0.0689251-0.0352885j -0.0214311+0.0106908j -0.0226315-0.00631888j -0.00199286+0.0240046j 0.0126562+0.00293606j 
-0.00568498-0.0352278j -0.0382817+0.0174448j 0.0784876-0.07038j 0.12134+0.0215231j 0.0971508-0.0327116j -0.15742-0.127099j 0.0434186+0.178845j -0.0488961-0.177551j -0.0786304-0.0129832j 0.0588447+0.0508765j -0.0228022-0.0471847j -0.0447999-0.0666682j 0.0597969+0.0665298j -0.0131807-0.113154j -0.0386223+0.0439906j 0.235918+0.286061j -0.087445+0.0264703j 0.0931345-0.171748j -0.0674257-0.0513003j 0.0172355-0.119767j 0.0703361-0.038456j 0.0507918-0.0600616j -0.125978+0.0809735j -0.0421216+0.0238499j -0.0373315-0.0232781j 0.0723961+0.0232123j -0.0359661-0.00668972j 0.0454392+0.0153597j 0.0415964-0.0476405j -0.00977436-0.0686537j -0.00326064+0.0229804j -0.00594182+0.0322079j -0.151977-0.0679804j -0.0167267+0.0297537j 0.0581116+0.11653j 0.0157657-0.0232682j 
0.0308486-0.0689649j 0.0102917+0.0172438j 0.241128-0.0353651j 0.0419083-0.158236j -0.0395997-0.00960111j 0.0153587+0.170386j 0.135989+0.0624985j -0.161884-0.0680431j 0.0543769+0.0505482j 0.0745794-0.0120773j -0.0435806+0.0430874j 0.0343278+0.109684j 0.0078457-0.0593138j -0.0137674+0.0517169j 0.0112782+0.0205621j 0.161558+0.177625j -0.0995788-0.0319673j 0.00922444-0.125936j -0.185024-0.0350539j -0.0802343-0.0013929j 0.017788-0.0434907j 0.0229274-0.0981923j 0.0992862+0.105901j -0.00561466+0.00655384j -0.00188507+0.03278j -0.127052-0.0356622j -0.038713+0.024288j -0.00239484+1.25204e-05j -0.128206-0.00692354j -0.0579644+0.0461806j 0.00896777+0.000450792j 0.0328163+0.0287119j 0.0644139+0.0603254j 0.00401408-0.00193047j 0.0233181-0.0162684j -0.025745-0.0357141j 
