0.0932366-0.34156j 0.439477+0.385189j -0.0453575+0.0737579j 0.224786+0.0154672j 0.00779461+0.0187604j 0.011059+0.00568085j -0.0232636-0.0135278j 0.0149307+0.0715851j -0.0303502+0.0634284j -0.0862784+0.0453268j -0.0373903-0.0812392j 0.0144948-0.039073j -0.135209-0.082489j -0.240549-0.0397267j -0.0353851-0.159809j -0.00143793+0.000470803j 0.0108856-0.00508344j -0.00956925-0.00185419j -0.0055756-0.00414265j 0.0466739+0.0410392j 0.00905015+0.0369517j -0.0438692-0.0499173j -0.03402+0.0234698j -0.0107798+0.0745957j 0.00418418-0.0559874j -0.0244829-0.073607j 0.0660177-0.0343401j 0.0278523-0.165239j -0.053413+0.017677j -0.00236245-0.0524622j -0.0411923-0.00324679j -0.0916052+0.0329744j 0.0715008-0.095129j 0.00037279+0.00599841j 0.0752021-0.0117119j 0.012744+0.0150737j 
-0.245498-0.0976202j 0.0886426-0.0687257j 0.119823-0.281911j -0.238729-0.241634j -0.0587912+0.0803517j 0.0683336+0.139078j -0.0992431-0.00799406j 0.1296-0.102375j -0.130711-0.0499613j -0.0277958+0.0585807j 0.0118594-0.0538621j -0.130715+0.0135983j 0.0677274+0.0809523j -0.0688499-0.0728279j -0.0140819+0.0122872j -0.0316387-0.20061j 0.09945+0.00366803j 0.125857-0.0708059j 0.0551899+0.0593674j -0.0377663+0.0881511j 0.139004+0.0594948j -0.0246972+0.0147442j -0.0717292+0.00381032j 0.0220422-0.0406586j 0.0312202-0.0333007j 0.0285195-0.0201913j -0.0826595-0.014313j 0.0445464+0.0219719j 0.0205565-0.0374423j 0.00790765+0.0299539j -0.000855609+0.0161086j 0.00612132+0.0648882j -0.0207032+0.0229443j 0.010462+0.00781635j 0.0244139-0.0145929j 0.0105946-0.0051099j 
-0.0117663+0.0159682j -0.0294814-0.0699303j -0.041327+0.00585904j 0.034939+0.160304j 0.240938+0.0391379j -0.0110424+0.01836j 0.0135706+0.0544901j -0.00669437-0.0580505j -0.0335308+0.111444j 0.0446471+0.0387648j -0.0763649-0.01043j -0.0510736+0.0493118j 0.161655-0.0633974j -0.131395+0.0555242j -0.0214229+0.173928j -0.0256114+0.0337349j 0.0202123+0.0214904j -0.00466634-0.00359137j -0.0699191+0.0620323j -0.0321337+0.0295236j -0.00884561+0.000545592j -0.0484255-0.0484183j 0.132671-0.00216093j -0.00274245-0.0012656j 0.0385553+0.0247799j -0.129809+0.0360108j -0.000530665+0.0322437j -0.00573054-0.00526082j -0.103636+0.0974242j 0.01554+0.104608j -0.0187655-0.042408j 0.0792128+0.000510969j 0.184321-0.0336706j -0.00804729-0.123486j -0.100034+0.0315378j 0.153845-0.17058j 
0.0382491+0.0176061j 0.00553971-0.0359865j 0.0965883+0.0343194j 0.120272-0.0188073j 0.0847769+0.0714696j 0.038803+0.0451469j 0.012658-0.113047j -0.0596228+0.0642139j 0.0436814-0.0622376j 0.0205961-0.0434193j -0.0558804+0.0506585j 0.0798658-0.0118767j 0.0511879-0.181405j -0.0469166+0.178808j 0.151012-0.114309j 0.014051+0.0286551j 0.0616921-0.118366j 0.016445+0.031344j 0.150845-0.0648135j 0.00527701+0.0326994j 0.00350367+0.0234534j -0.0152992+0.0640809j -0.0351936-0.0545597j 0.0443947-0.0153327j 0.0376832-0.00846725j 0.0679422-0.0187577j 0.0372525-0.0215513j -0.0401534-0.0217975j 0.118632+0.0787837j 0.0595445+0.0666114j -0.0702157-0.0367962j -0.014388-0.116529j 0.074851-0.0556837j -0.0936229-0.172668j -0.0958101-0.0195323j 0.240141-0.290308j 
0.0229336+0.0209655j -0.166935+0.0519907j -0.00518134-0.0250083j -0.0918514-0.0432305j -0.0828908+0.0510853j 0.0179161-0.00697739j 0.010565-0.0598792j 0.0276709+0.104495j 0.010739+0.189618j -0.121888+0.0741053j 0.0774017-0.100209j 0.272735-0.0881374j 0.0954479+0.147806j -0.106349+0.199815j -0.0491519+0.114421j 0.0127718-0.00272995j -0.000111887-0.0244273j 0.0203214-0.00236593j 0.0209522+0.0136567j 0.0736168-0.0364255j 0.0156435-0.0113266j -0.0708469+0.0441363j 0.00659031+0.00392633j -0.0509002+0.00940903j -0.0186736-0.0580167j 0.0034702+0.021035j 0.0270392+0.044983j 0.0712511-0.0143338j -0.0262687-0.0310988j 0.0814917-0.0286438j 0.0144138+0.0800483j 0.136689-0.0193599j -0.013522-0.0356716j -0.0530848+0.112852j 0.0370341-0.0191405j -0.0318135+0.0483903j 
0.0293129-0.0379468j 0.0533605+0.0976245j 0.126181-0.0319792j -0.0404311-0.201116j -0.0601954+0.0518133j 0.0905743+0.0752479j 0.00700145-0.0423995j -0.0830709+0.112683j -0.0981328+0.0905875j 0.0646191-0.0173428j 0.0133049+0.0198983j -0.0814335+0.197754j -0.10283+0.163798j -0.133345+0.0405309j -0.0722871+0.15422j 0.021537+0.0819983j 0.0624684-0.12451j -0.0155156+0.0444806j 0.0214803+0.00646131j -0.0192474+0.0719377j -0.0159295+0.0212829j -0.0938196+0.00385934j 0.0926656-0.0198657j 0.00960472+0.00119843j 0.0314257+0.0699115j -0.00254078+0.064377j 0.0331158+0.0237851j 0.00728117-0.0229737j -0.105381+0.0924693j -0.0467287-0.00632898j 0.0353029-0.0842227j 0.102966+0.128843j 0.129991-0.0254566j 0.12615-0.0894893j -0.0883957+0.218077j 0.0797372-0.0048078j 
0.0801445-0.124132j -0.0390233-0.0423301j 0.0701257-0.010007j -0.0713995-0.120041j -0.0909344+0.0844317j 0.0323302-0.0106489j -0.161975-0.0330751j -0.00100958-0.16148j 0.0532828-0.102351j -0.0365409+0.0328408j -0.0656178-0.0646462j 0.0478574-0.191118j 0.160563-0.158443j 0.0725611+0.00682351j -0.0184188+0.131125j 0.0141271+0.0260175j -0.0311394-0.0250857j 0.0192673-0.0728676j -0.0229882-0.0691926j -0.0946973+0.0490597j 0.00159552-0.00824983j -0.00104452-0.0167992j 0.099118-0.0315734j 0.0616812-0.0414046j -0.0749424-0.0271221j -0.0505924+0.0531135j 0.0812072-0.00159616j 0.0604118+0.0321175j -0.121243+0.00690239j -0.0368515-0.0395951j 0.00481588+0.111005j 0.160811-0.0177549j 0.0719412-0.106267j -0.116858+0.115685j -0.0160708+0.0391332j 0.0802579-0.052664j 
0.0416667+0.150927j -0.0529389-0.0755113j 0.0643981+0.00636062j -0.023716+0.0202921j -0.0692582-0.0379265j 0.134079+0.082854j 0.076652+0.04537j 0.0554276+0.00571302j 0.100295+0.0456313j 0.11995+0.0447761j -0.0520909+0.0669935j -0.0711399-0.0506671j -0.0396115-0.0759379j 0.151589-0.266512j -0.0697894+0.0230115j 0.0577417+0.110626j 0.0586007-0.0459625j -0.0367448+0.014128j -0.0390979+0.0622878j -0.135995+0.00369326j -0.0338406+0.00221669j 0.0145753-0.0400914j 0.0337205+0.00454655j 0.0151023+0.0416924j -0.0943797-0.00586069j -0.0753563+0.00921639j -0.0405686+0.0279633j 0.0178146+0.0922852j -0.140993-0.0141593j -0.0702663+0.0754553j 0.00327035-0.0127031j -0.053281+0.102113j 0.0571098-0.13561j 0.0300953-0.016611j -0.0937148+0.0882468j 0.0364533+0.0268466j 
0.143103+0.0884586j 0.00403581-0.0230966j 0.154156-0.149995j 0.0374833-0.0145627j 0.0731009+0.222284j 0.00997029-0.0571633j 0.0813394+0.0811928j 0.112897+0.140931j -0.181705-0.19138j -0.0222711-0.0570219j -0.126161+0.0568452j 0.0287345-0.0271838j 0.209129-0.0191819j 0.0244156-0.140171j 0.241203-0.0237635j -0.0204406-0.0599648j -0.0499991+0.0194764j 0.0144595+0.084996j -0.100196-0.0348141j 0.00781902+0.0318875j -0.000475738+0.0510018j 0.00741955+0.0494727j -0.00310237-0.0343751j -0.0222707-0.0598438j -0.0461584+0.0221422j 0.0854775-0.101729j 0.0277052-0.0787051j -0.0248819+0.0838858j 0.0177812-0.0454591j -0.147057+0.0302796j -0.0306783-0.00783375j -0.0805855+0.0468976j 0.104695+0.0787774j -0.0605542-0.142354j -0.0643279-0.1724j 0.00159585-0.225814j 
0.0510053+0.0973044j 0.0293857+0.0603133j -0.0855338+0.0225008j -0.217562-0.230406j 0.174114+0.0517622j 0.0136845+0.0627001j 0.0482231-0.0186959j 0.0979909-0.0228327j -0.10854-0.00472268j -0.0626391+0.0284403j 0.27882-0.249465j -0.152528+0.0514461j 0.0813951-0.4162j -0.0427329+0.122018j -0.155076-0.131265j -0.0267952+0.0185147j 0.0177122-0.0133355j 0.0331427+0.0447035j -0.0291499-0.0517034j -0.0430106-0.0222535j -0.000222048+0.0270266j -0.01211-0.111507j -0.0205439+0.0520215j 0.0115228-0.00356107j -0.00195507-0.0479687j -0.0492827+0.174458j -0.0546633+0.0922264j -0.0467969-0.00545802j 0.0232466+0.0766074j 0.124387-0.0562971j -0.000395172-0.0546132j -0.138205-0.0615585j -0.164698-0.00961572j 0.143094-0.0284037j 0.136763-0.0366405j 0.0259859+0.150058j 
0.0703816-0.112041j -0.0467588-0.034221j 0.0757383+0.144569j -0.0796218-0.00407114j 0.031812-0.0915384j 0.0552431+0.146093j 0.0107298+0.231995j -0.0230742-0.0351982j 0.0586285-0.185395j -0.329357-0.0303564j -0.116266+0.193345j 0.0542797+0.233062j 0.263475+0.143083j 0.284382+0.0500651j -0.0500902-0.015422j 0.0469283+0.105847j 0.0618031+0.033149j -0.0513981-0.0200008j -0.0339643+0.0101657j 0.00327755-0.0963705j -0.00509183-0.0409418j 0.0751972-0.199561j 0.0105411-0.0146018j -0.0454683+0.0140889j 0.0749145-0.0308774j -0.122405+0.0844838j -0.0709769-0.0222631j 0.130246+0.0680918j 0.0793975+0.0350823j 0.0599336+0.125041j 0.0541926+0.0778017j 0.0385543+0.0123689j -0.0868255-0.13836j -0.00904156+0.105255j -0.0506975-0.0868j 0.0506538+0.0414146j 
