0.00369132-0.00886835j 0.00227701+0.010581j -0.00205608-0.00738697j 0.000873589-0.00603995j -0.000308918-0.00660988j -0.000870517+2.30267e-05j -0.00153584+0.00697001j 0.00175468+0.00601223j 3.18924e-05+0.0027978j -0.0017073-0.00250148j 0.000236338+0.0041066j 0.00105669-0.00236307j 0.000738643+0.00561508j -0.00054451-0.00495679j -0.000309252+0.000889952j -0.000749261+0.00108799j 9.68772e-05-0.00101584j -0.000840406+0.00119467j -0.000131301-0.00158641j -0.000333338-0.00106746j 0.000242032+0.00556218j 0.000182974-0.000638193j -0.000317391+0.00294955j -0.000557909-0.00178729j 0.000143781-0.000194806j -0.000920621-0.00226865j -0.000536943+0.00126145j -0.000244955-6.4055e-05j 0.000472515-0.00503289j 0.00071204-0.00118506j 0.000661605+0.00018513j 0.000251112-0.00428065j 0.000586239-0.00241969j 0.000523071+0.000107958j -0.00155925-0.00199875j 0.000424582-0.0028319j -0.00151465+0.00071343j 0.00213028-0.0025093j -0.000277027-0.00555483j -0.0016986-0.00209854j 0.0012232+0.00936061j 0.00200777-0.000195211j 0.00215376-0.00844915j -0.00141553-0.00404874j -0.0091242+0.00194698j 0.00473934+0.0260613j 0.0203947-0.00590875j -0.0158289-0.0265762j -0.0295719+0.0463664j 0.0516541+0.022102j -0.0202028+0.0546782j 0.165942-0.0124558j 
-0.0028116-0.00987384j 0.00411847-0.00811351j -0.00110251+0.00637499j -0.00221218-0.00690395j 0.000322302+0.00359065j 0.00133812-0.00864223j -4.38121e-05+0.00318425j 0.000475372-0.00506168j -0.000647938-0.00117909j -0.000803878-0.00164837j 0.000306807-0.00406199j 0.000440178-0.00877113j 0.000947019-0.000408629j 0.000181574+0.000735602j -9.95616e-05-0.00110955j -0.000183558-0.00337215j 9.1406e-05+0.00376998j -0.00205724+0.0047256j 0.000186493+0.00155827j 0.000484654+0.00551758j 0.000124786+0.00156414j 0.000278393+0.000842231j -0.000218641-0.00565728j 0.000486234-0.000164323j -0.000209265-0.00216069j -0.00121504-0.0011799j -0.00432269+0.00114992j 0.000609411+0.000862587j -0.000733313-0.00144793j 0.000294306+0.00338192j 0.000306358-0.00380914j -7.83934e-05-0.00403942j -0.000741992-0.00365963j -0.00126246-0.00117382j 0.00360085+0.00286766j 0.000813824+0.00624044j -0.000750479-0.00631008j -0.000176852-0.000723626j 0.000382682-0.00635712j -0.00100557-0.00225068j -0.0041285-0.00344558j 0.00181675+0.0109248j -0.00058606-0.0039487j -0.00202061+0.00702972j -0.0105255-0.0055579j -0.0177102-0.00136286j 0.00943434+0.0432114j 0.0160454-0.0157929j 0.0476247+0.020259j 0.0290763-0.0417396j -0.166139+0.0124715j -0.0193272+0.0536548j 
0.00413294+0.0057721j -0.00358881+0.00856061j -0.000997298+1.52204e-05j 0.000879884-0.00469044j -0.000944129+0.00151633j -0.00212853+0.00726187j 0.000613986+0.00671859j 0.002821+0.00386175j 0.00106421+0.013226j 0.000533254+0.00807058j -0.00162845-0.00428263j -0.00129608-0.00253263j 0.00181292+0.00587249j -0.00105142-0.000598568j -0.000372054-0.00412784j 0.000577499+0.00132587j -0.000768254-0.00281139j 0.0012545+0.00278813j -0.000155293-0.0103889j -0.000282948-0.00584277j -0.000407065-0.0050932j -0.00130481-0.0124252j -0.00216541-0.00529462j -0.000148331+0.00785125j -0.00134083-0.00698806j -0.00691146+0.00024889j -0.00830275+0.0103994j -0.000960129-0.000896515j 0.000874667-0.00549889j -0.00167866-0.0094167j 0.000246176-0.00856516j 0.00130435+0.00666463j 0.00259457-0.0117579j 0.00162532-0.00170668j -0.00845802-0.00377211j 0.000200886-0.00321717j -0.000207283-0.0152725j 0.00110074-0.0189923j -0.000957251-0.0120269j 0.00182084+0.00524388j 0.015227+0.0257235j 0.00100779-0.0181237j 0.0221208-0.0113519j 0.0180153+0.0170113j -0.000673761-0.0576664j 0.0403368-0.0128994j 0.03379-0.00536611j 0.0370351-0.00817229j -0.0485841-0.0471154j 0.0952609-0.0625582j -0.00210321+0.00404643j 0.0177185-0.00603112j 
0.0027855-0.00737866j 0.00332226+0.00502529j 0.00132173+0.00354234j -0.0014477+0.00691822j 0.00168914-0.00373232j 0.000871619+0.0050719j -0.00102703+0.000925589j -0.0010493-0.0105236j 0.00017318+0.0011716j -0.00134826-0.0048506j 0.000628552+0.00467358j 0.00168073-0.0033241j 0.00119721-0.00551543j -0.0011546+0.00233343j -0.0005956-0.00599844j 0.000592213+0.00174308j -0.000389674+0.000547708j -0.00331711+0.00779832j 0.00191287+0.00113399j -0.000444665+0.00180592j 0.000108696-0.0014373j -0.000540745+0.000857495j -0.00151962-0.0064875j -0.00101748-0.00268536j -0.00102052-0.00115774j -0.00394853+0.00365029j -0.00804393+0.00399301j -0.00139737-0.00586587j 0.000632143+0.00126954j 0.000387851-0.00285348j -0.000576618-0.00438204j -0.000618764-0.00340626j 0.00127519-0.000149585j -0.0031901-0.0054462j 0.0045392+0.00308445j 0.00260472+0.00971915j -0.00455622-0.00602876j 0.00309542+0.00730897j -0.00371264-0.0208009j -0.0110266-0.00486094j -0.00703561+0.0247932j 0.00797247+0.0446133j 0.00629429+0.0199092j -0.0149094-0.00742806j -0.0534946-0.00888274j 0.0120529-0.0603635j -0.00131036-0.0472438j 0.0300522-0.0519402j 0.0705469-0.0446995j 0.0360438+0.0353626j -0.0187358+0.00445548j -0.00179959+0.000409767j 
0.00149285-0.000315972j 0.000132758+0.00302513j 0.00364504+0.00570274j -0.00167841+0.0113779j 0.00214729-0.00573197j 0.00232951+0.0117881j -0.0013459-0.000889559j -0.00224468-0.00481838j -0.000122373-0.00336412j -0.00128887-0.00474861j 0.00173819+0.00887654j 0.000939451-0.00218801j 0.000512853-0.00318311j -0.00114352-0.00296686j -0.000567092+1.37497e-05j 0.00158605+0.0133099j -0.000962792-0.00725158j -0.00227479-0.00421469j 0.00346125+0.0149402j 0.00109623+0.00714923j 0.00089932+0.000178509j -0.00117405+0.00994463j -0.0013794-0.00049662j -0.000865849-0.00516348j -0.00125737+0.000271928j 0.00137023+0.0130436j -0.0014888-0.00095963j -0.00329061-0.00843132j 0.00115587-0.000414429j -0.00147432-0.00952603j -0.00353059+0.00958083j -0.000865657-0.00284971j -0.000697077+0.0119109j -0.00190558-0.00215476j 0.00474472+0.0176661j -3.25912e-05+0.00840657j 0.00206351+0.0463944j 0.00551801+0.0243065j -0.0189039-0.0311234j -0.0195795+0.0274027j -0.00224295+0.00479203j -0.0178723+0.00830886j -0.0190601-0.0171661j 0.0119029+0.0160395j -0.0139466-0.0488365j -0.00592249+0.0316886j -0.00552498-0.0491061j -0.0656368+0.0365485j 0.0156735-0.0132552j -0.00396086+0.00986799j 0.00351057-0.00034305j 0.00698444+0.000166863j 
0.00391872+0.00266687j -0.00209492+0.00756008j 0.000267241-0.00684103j 0.002933+0.00180205j -0.00162285-0.00884481j 0.000251043-0.00361294j 0.000985588+0.00824651j -0.00145277+0.000780336j -0.000593185-0.00116685j 0.000523502+0.00399012j 0.000642952+0.00678203j -0.000646144-0.00497867j 0.000413561+0.00372044j -0.00103786-0.0129308j 0.00085261+0.01531j 0.000918029+0.00541599j 0.000537561-0.000602961j 0.00265807+0.0144451j 0.00169365+0.0069053j 0.00164083+0.00157979j 0.00237449+0.0129995j -0.00259544-0.00439446j -0.000866426+0.0112111j -0.000352148-0.0057009j 0.000512434-0.00394342j -0.0116377-0.0178467j 0.000727202+0.0155868j 0.00134346-0.00333241j 0.000655174-0.00818457j 0.00231865+0.00334859j -0.00404838-0.00998065j -0.00908885-0.0296987j 0.00173048-0.00562205j -0.00219301-0.0260326j -0.0184123-0.0249497j 0.00546193-0.0107624j -0.0163861+0.0215734j 0.0152624+0.0337061j -0.00257691-0.0212276j -0.00279789-0.0516316j 0.0114428-0.0504704j 0.0231302-0.00604201j 0.0284718-1.3652e-05j 0.00897999-0.0368502j -0.025455+0.0474418j -0.00393051+0.0423884j 0.0519318-0.0186765j 0.00172922-0.0242376j -0.000246421+0.000128357j 0.00371386+0.00151564j -0.00676822+0.00179247j 0.0132411-0.00340178j 
-0.00243754+0.00917829j -0.00445108-0.00404668j -0.000114906-0.00368712j 0.00107664-0.00063754j -0.000953987-0.000235299j 0.00161585+0.00593139j 0.00171382+0.00265242j 0.00105086+0.00113334j 0.000400893-0.00242262j 0.00256619+0.0105538j -0.000468408-0.00307649j -0.00239757+0.00388176j 0.000668979+0.00640098j 0.00121767+0.00748538j 0.00107839+0.00145294j 0.000412034+0.00590773j 0.000382269-0.000185839j 0.00626174+7.50049e-05j -0.00399386-0.00875357j 0.00138593-0.00494719j -0.000653412-0.00797059j -0.0008538-0.00744522j 0.00103995+0.000382728j 0.00275439+0.00610466j -0.00184937-0.00213242j 0.00400887+0.00463783j 0.00294531-0.000740815j -0.00159277+0.00142282j -0.00141854-0.00438092j -0.00467474-0.0139201j -0.000161846-0.00586929j -0.00135229+0.0238301j -0.00282417-0.0240014j -0.00116473+0.000471886j -0.0175161+0.0111294j -0.00473894-0.0213423j 0.0183558+0.0565536j 0.000793664-0.0191219j -0.00541961-0.020103j 0.0228758-0.0344631j 0.0173543+0.0341236j -0.00297943+0.0584665j -0.0121466+0.061957j 0.0135389-0.00945905j 0.0232308+0.0331571j 0.0424471-0.0371806j 0.0110685-0.024036j -0.00494073+0.00362371j -0.00897283+0.0082159j 0.00811388-0.0117051j 0.0137971-0.00203625j 0.0017549+0.000266168j 
-0.00118349-0.00414443j 0.00253463-0.00289544j 0.000303379-0.000390041j 2.37887e-05+0.00420619j 0.000464568+0.00422804j -0.0010253-0.00921106j 0.00171551-0.00307439j -0.00154544-0.0119117j 0.000517571+0.00413473j 0.000437459-0.00307328j -0.00289426-0.00566525j 0.00497612+0.0183933j -0.000286767-0.00116084j 0.00146189+0.0100302j -0.000733622-0.00473659j 3.69257e-05-0.00488078j 0.000520495+0.0110401j -0.00445166+0.00544748j -0.000288542-0.00508107j -0.000987026-0.00522137j 0.000411471+0.00695639j 0.00334163+0.00138254j 0.00379015+0.00638302j 0.000452896-0.00212735j -0.00173672+0.000656109j 0.010209-0.0147321j 0.0205857-0.019366j 0.0040984+0.00859528j -0.00388122+0.020347j 0.00263942+0.0259468j 0.00803555-0.00869551j -0.00274987+0.00688724j -0.00827513-0.00963708j -0.0151089-0.0331381j 0.0241641-0.0156318j -0.00339267-0.0300108j -0.00467406+0.0170667j 0.00145034-0.01104j -0.00332107-0.0671645j 0.0094608+0.0366116j -0.00663132+0.00149087j -0.00705211+0.0219817j -0.0292153+0.0439729j -0.01321-0.0507645j 0.0218875-0.0230609j -0.0147906+0.00415797j 0.000606335+0.00603731j 0.000923183-0.0103458j 0.0050325+0.00418887j -0.0107996+0.00571929j 0.00157286-2.74974e-05j -0.00798072+0.00204056j 
-0.0021051+0.00357778j -0.00204283-0.00307113j -0.00169694-0.00502141j 0.00118218-0.00580977j -0.0013676-0.00249469j 0.00262945+0.00297931j 0.00129858+0.00996964j 0.00251139+0.00656214j -0.0011951-0.00440999j 0.00199379+0.0140749j -0.00119569-0.0103821j -0.00252875-0.00443427j 0.000704568+0.00929836j 0.00139111-0.00131273j 0.0018849+0.00816206j 0.000170126+0.0132725j 0.000543273+0.000795632j 0.00757691-0.000287164j -0.00297786+0.00362184j 0.00386377-0.00253887j -0.00067411-0.00641976j -0.00157444-0.00417773j -0.000574862-0.0144327j 0.00613603+0.00517487j -0.00873835-0.0365163j 0.00219218+0.00771565j -0.00692529+0.00645506j -0.00211349-0.00587829j 0.00418742+0.00546201j 0.00334273+0.00286046j 0.00729429-0.0388121j 0.00286081+0.0195528j 0.00577469+0.0478195j 0.00696434+0.00821706j -0.0296517+0.014543j -3.78847e-05-0.0271099j 0.00124394-0.0273519j 0.0149563+0.00676534j 0.0132492-0.0516497j 0.00878157+0.0608004j 0.0220098-0.0402616j -0.00413583+0.00645685j 0.0192826-0.00167143j -0.00968275+0.0184033j 8.62883e-05+0.0146248j 0.00892149-0.00194585j 0.00849627-0.0151883j 0.0031398-0.000790197j -0.00629345+0.00364791j 0.0097707-0.00739779j -0.00119544-0.000848233j 0.000375315-0.000594817j 
-0.000521834+0.00458767j -0.00235727-0.000845131j 0.000101434-0.00924702j 0.00279894+0.0028029j -0.000659838-0.000433238j 0.000450809-0.002762j 0.00310493+0.00154515j -0.000726936-0.00160298j 0.00244332+0.00254686j 0.00188987-0.00176242j -0.000489938+0.000279616j 0.000241108+0.00996915j -0.000202032+0.00579731j 0.00123485+0.00745384j 0.000931118+0.00358108j -0.00112203-0.00661473j 0.00149417+0.0050665j 0.00498612+0.0110871j -0.00307496-0.0174404j 0.00481064+0.00288201j 0.00209857+0.00379125j 0.00149578-0.0135333j 0.00534259+0.0316469j 0.00478356+0.006345j 0.00199715+0.0151068j 0.00588294-0.0215763j 0.0146519+0.00252854j 2.902e-06-0.0069092j -0.00855597-0.0140015j 0.00350703+0.0038335j 0.0113997-0.0356982j -0.0118209-0.0320195j 0.00790887+0.00359086j -0.0100616+0.0410843j -0.0122366+0.0221416j 0.0147294+0.0149695j -0.00127077-0.00780779j -0.0165155+0.0777515j -0.00313145+0.00482659j 0.0160524+0.050558j 0.00296683+0.0312184j 0.0236984-0.00358352j 0.00252331-0.0250827j 0.0162827-0.0352839j 0.00830823+0.00120064j -0.00391401-0.00426855j 0.00665221+0.00321786j 0.00450231-0.00953839j -0.00481818+0.00634996j -0.00144878-0.00292761j 0.00682617-0.00112158j 0.00310018-4.91481e-05j 
-0.00222661+0.00580706j -0.00265912-0.00404298j 0.00180548+0.00516965j -0.00169002+0.00433725j -8.32317e-05-0.00241756j 0.00275938+0.00694082j -0.000189602-0.00316465j 0.000413868+0.00227966j -0.000102182-0.000106191j 0.00295758+0.00769046j 0.00332683+0.0130995j -0.000436349+0.000328104j 0.00194999-0.010425j -0.00282991-0.0112669j 0.00360208+0.0221019j 0.00351586+0.00872109j -0.00101379-0.00438607j 0.00275553-0.00031742j 0.0018732+0.0188566j -0.00083979-0.000333029j -0.00126355-0.0124249j -0.00395875+0.00344667j 0.00377623+0.0350142j 0.00585938-0.000684369j -0.00434009-0.0187973j 0.000965617+0.019674j 0.00867632+0.0008929j -0.00506337-0.0652678j -0.0045768+0.0266715j -0.0143479-0.0366448j -0.00139489-0.00211919j -0.00249238-0.0428092j -0.000981433-0.00122249j -0.00515806+0.0208629j -0.0105869-0.00104634j -0.010409+0.0497729j -0.00718451-0.0159909j -0.0153939-0.00903488j -0.00884362+0.0209111j -0.00901111+0.00660028j 0.024974-0.017263j 0.0125843-0.0553686j -0.00912716+0.00944747j 0.000335489-0.00720229j -0.00993545+0.00675133j 0.0032961+0.00518338j 0.00543736-0.00837818j -0.0045742+0.00167654j -0.000310796+0.000774987j -0.00042671-0.000999187j 0.00852527-0.000852866j -0.00258861+0.000750547j 
