0.0019921+0.00894126j 0.00909509+0.00116988j 0.0049641-0.00834746j 0.00348792-0.000178145j -0.000437289-0.0168265j -0.0037456-0.000876142j 0.00962014-0.00954353j 0.0107928-0.0148386j -0.00279218-0.0107431j -0.0103729-0.0154299j -0.0156782-0.000937079j 0.019312+0.00964764j -0.00703817+0.00617787j -7.02998e-05+0.0073347j 0.014878-0.00037006j 0.00247471+0.000128033j 0.0165945+0.0107038j -0.00194403+0.00295319j -0.00132611+0.012958j 0.0168297+0.000272892j -0.00251255+0.00408767j 0.00776732-0.0148634j -0.014705+0.00043704j 0.00312513+0.0142086j 0.0101595-0.00947399j -0.00232203-0.00754059j 0.00504693-0.00558886j -0.00906906+0.0114174j 0.0059157-0.011749j -0.00432547+0.0107035j -0.00137246+0.0111004j -0.0174073-0.0156176j 0.00448285+0.00873383j -0.00408326-0.0196256j 0.0112695-0.0226903j 0.00394165+0.00856189j 0.0125816-0.0134343j -0.0077299+0.0102087j 0.000980122-0.00249562j -0.0055314-0.00586997j 0.00244188+0.0045708j 0.000213911-0.00898601j 0.00701386+0.0043833j 0.00871114-0.00358016j -0.00312198+0.00124923j 0.00340963+0.0105466j -0.0117911-0.00877115j 0.0014153+0.00326849j -0.0112485-0.000930789j -0.000404762+0.013342j -0.000385958+0.00133097j 0.0031377-0.00449894j -0.0014864+0.00299878j -0.0069091+0.00679809j 0.00138081+0.00564858j -0.00239762+0.0135724j 0.00859841-0.00163122j 0.00258989-0.0056197j -0.022805+0.0124962j -0.00931825-0.000265384j 0.00591522-0.0137018j 0.0039135+0.0221561j 0.0123455+0.00526465j -0.0155929+0.00715958j 0.00352436+0.00716717j 0.00743154-0.0449239j 0.0147429-0.00977756j -0.0076012+0.00873248j -0.00638527+0.00882307j -0.00797661-0.00176313j 
0.0112944+0.00229724j -0.00286178-0.00867249j -0.00130942-0.00677373j 0.0113441-0.00427629j 0.011465+0.00780107j -0.00981438-0.00578067j 0.0210569-0.00553254j 0.0065213-0.00629922j 0.00469854+0.00918855j 0.0126825-0.0169678j 0.00602477-0.00447274j 0.0121558+0.00615535j -0.00227596+0.00205143j 0.00253421-0.0086468j -0.00297963+0.00100534j 0.0108837-0.0114752j -0.0115111-0.00472479j 0.00399554+0.00578939j -0.00581948+0.00767143j 0.00545108+0.00421423j 0.0161931+0.00135728j -0.0062752-0.00435312j -0.00446336+0.0041945j -0.0117878-0.0159396j 0.00691034-0.0107793j -0.003468+0.00470792j -0.00692463-0.00553488j 0.00419351+0.00776877j -0.0135406-0.00940196j 0.00621604+0.00322365j -0.00149103+0.0012012j 0.0021064+0.0223573j -0.010081-0.0130149j -0.0187506+0.00331613j 0.00359438-0.00134681j -0.00140997-0.00305659j -0.00204315-0.00234809j 0.0126442+0.0131711j 0.00158813-0.0105146j -0.00195353-0.00156268j 0.0233851-0.0074782j -0.00877331+0.00301173j 0.000515011-0.00158101j -0.0093628-0.00958214j 0.000986278+0.00977702j -0.00911174-0.00199158j -0.00239111-0.0013646j -0.0179129+0.00846004j -0.00826065+0.00179177j -0.00449578-0.00711354j -0.00362443-0.0101274j 0.00712572+0.00107955j -0.00127723-0.00689364j -0.00530501-0.0119104j -0.00246438+0.00788339j -0.00305839-0.00538947j 0.00424606+0.0129423j 0.00564417-0.0102568j -0.00383507-0.0217274j -0.0192235-0.00437294j 0.0161761-0.0079024j -0.0166929-0.0024188j -0.00686141+0.00338905j -0.0252461-0.0165964j 0.00237274-0.0132751j 0.0359217+0.00876985j 0.0223311+0.00249601j 0.00140218+0.00381247j 0.0071943+0.00576168j -0.00583075+0.00769537j 
-0.0107646-0.00312294j 0.00710334+0.00972692j -0.00462481+0.0147599j -0.0186996-0.00548308j -0.0222229-0.0127185j 0.00581179-0.00479894j -0.0323354-0.0109178j -0.0197793+0.015333j 0.00680806-0.0138072j -0.0106952+0.019339j -0.00919319+0.00696983j -0.0183237-0.0173206j 0.00433317-0.00312774j 0.0279468-0.00135575j -0.00321527+0.0097505j -0.0203105+0.0146591j -0.00257885-0.00402565j -9.7591e-05-0.00203325j 0.00410745-0.0063088j -0.00110361+0.0109953j -0.000874344-0.00934189j 0.0156175+0.0192099j 0.00693457-0.00335771j 0.00382107-0.00666948j 0.00790769+0.0189071j 0.00765834+0.0117141j -0.00402589+0.00173556j -0.0158905+0.00374765j 0.0124163+0.00959313j 0.00499976+0.0046389j -0.0148021+0.0135651j -0.0088522-0.00325351j 0.00668631-0.00384802j 0.00663063-0.017244j -0.000758441+0.00327229j 0.0025276+0.00992764j -0.00529315+0.0131443j -0.0113427+0.00980926j 0.00553448-0.00361415j -0.00229758+0.00156419j 0.00160966+0.00349724j 0.00676687-0.0124371j -0.0115261+0.0121271j 0.0127899+0.0100847j 0.00850296-0.00391136j -0.00517709+0.0263864j -0.0013712-0.015164j -0.0110339+0.00934926j -0.00994083-0.0110791j 0.0150025+0.00666698j -0.0050051+0.00981543j -0.00643393-0.00235725j 0.00288003-0.0115584j -0.0203767+0.00738325j 0.00530652+0.00181132j 8.49188e-06-0.000104754j -0.00224689+0.0159649j -0.00227067+0.000355674j -0.0279074+0.0135001j 0.00242193+0.0208745j -0.0257241+0.0144536j 0.00402523+0.0146076j 0.0110045+0.0315536j 0.0188611+0.0110176j -0.0101377-0.00353075j -0.0241642+0.000241739j -0.0359408-0.000939815j 0.00105597-0.0301392j -0.000518177-0.00596166j 0.00531939-0.00725668j 
-0.00799484-0.00750906j -0.00966722+0.00487194j 5.60374e-05-0.00796499j 0.00773876+0.00889553j 0.000929453+0.0158091j 0.008725+0.0164033j -0.0120867+0.0230044j 0.00110643-0.001986j -0.00589795+0.0060083j -0.00677002+0.0272002j 0.00437387+0.0092281j -0.003196-0.0101215j 0.0116449+0.00729982j -0.0215734-0.000819741j 0.00736408-0.00833773j -0.00437833+0.0023144j 0.00782065+0.012917j -0.000704453-0.00921643j 0.00591488-0.0165285j -0.0138609-0.0108516j -0.00694985+0.005053j -0.00417942+0.00653421j 0.0173138-0.0101207j 0.00405126+0.0108052j -0.0254767+0.0125302j 0.00833121-0.0092869j 0.0109973+0.00277483j 0.00323921-0.0146325j 0.00666211+0.00976623j -0.00481933-0.0141936j 8.31192e-06-0.0282806j 0.0156644-0.0211625j 0.0110511+0.00399482j 0.0269824-0.003268j -0.00430504+0.0148941j -0.00529298-0.00175861j -0.0010771+0.00290097j 0.000907397-0.0297256j -0.00822955+0.00950659j -0.00642733+0.00229737j -0.0390209-0.00501679j 0.0167312+0.0198116j 0.00517641-0.00582465j 0.00848845+0.00696228j -0.00434328-0.01748j 0.0137744+0.000901064j -0.0140104+0.0173629j 0.0320519-0.0150156j 0.0105626-0.00178486j 0.00184918-0.02161j -0.00590196-0.00871674j -0.00234343+0.00520926j 0.00569853+0.00976315j 0.0183585+0.0145384j -0.00617449-0.00632597j 0.00550732+0.00850212j 0.0195728-0.0192504j -0.0145912+0.00903382j 0.0306015+0.0220929j 0.0231605+0.00148371j -0.00640699+0.0175985j 0.0349569-0.0143202j -0.00166545-0.0290691j 0.0135012+0.00439771j -0.00279801+0.00969938j -0.0178015+0.0247606j 0.00310517-0.00276729j 0.00851086+0.00357493j -0.00457037-0.00558287j 0.00388864-0.00340553j 
0.00497967-0.0130656j -0.015924-0.0124367j -0.0109202+0.0114135j -0.00328305-0.00688363j -0.0029529+0.0359972j 0.0003282-0.00315037j -0.00336396+0.0130934j -0.0215824+0.0231856j 0.00976984+0.0232123j 0.031442+0.0167191j 0.0346195-0.000798101j -0.0297971-0.0162073j 0.00564484-0.00877318j 0.00739176-0.0174936j -0.0338594+0.00329106j -0.00109499-0.0115574j -0.0457956-0.0296859j 0.0112721+0.00379547j -0.00090283-0.0177591j -0.0285509-0.00153393j 0.0157668-0.00720177j -0.0206802+0.0325529j 0.0179665+0.00544969j -0.0106046-0.0416721j -0.00941594+0.0101761j -0.000264441+0.0246423j -0.016464+0.00469767j 0.0180941-0.0102063j -0.0190324+0.0165087j 0.0193349-0.0136516j 0.00400429-0.0190659j 0.0314046+0.0553737j -0.0112667-0.0234209j -0.01188+0.051245j -0.0185611+0.0370037j -0.0176348-0.0203643j -0.0262563+0.0242192j 0.0303223-0.00376393j 0.00258337-0.00877885j 0.00962079+0.00554061j 0.0219704-0.00684199j -0.0181888+0.0168148j -0.0163417-0.010552j -0.0284968-0.00337531j 0.0122308+0.00261945j -0.00855553-0.0282435j 0.0279204+0.0121561j -0.0107686+0.00503118j 0.0170944+0.00906525j -0.0033049-0.020713j 0.00970939-0.00183869j 0.000201092+0.00875479j -0.00179819-0.00956318j 0.00274866-0.0230989j 0.00268655-0.00963938j 0.0026353-0.0270946j -0.0170331+0.0124494j 0.000620333+0.00282564j 0.0308671-0.0382062j 0.00263924-0.00423454j 0.000867793+0.0153251j -0.0182504-0.0498768j -0.0121566+0.0157399j -0.00217828-0.0338671j -0.0139533-0.0276397j 0.0226025+0.0733817j -0.0061542+0.005096j -0.00380267-0.0247598j 0.0143472-0.0166816j 0.00757384+0.0123376j 
-0.0145708-0.0114391j -0.000950612+0.00820667j -7.27557e-05+0.0218212j -0.021922+0.00200267j -0.0176838-0.00807119j 0.00956239+0.00606795j -0.0365018+0.0118915j -0.0160685+0.0185224j -0.00745253-0.00456476j -0.0116311+0.0298831j 0.00617832+0.00709024j -0.0322913-0.0127251j 0.00217601-0.0125269j -0.0126943+0.0124213j -0.00644819-0.00210674j -0.0202868+0.0142915j 0.00899235-0.00533059j -0.00425857-0.00633001j 0.0108887-0.0170934j -0.0208662-0.0115845j -0.0251338-0.00764877j 0.00539629+0.0204705j 0.00814573-0.000955145j 0.0187679+0.0214032j -0.0142898+0.0167617j 0.00228072-0.00335307j 0.00306315+0.0095445j 0.0114965-0.0222108j 0.0142545+0.0214267j -0.0117467-0.0161621j 0.00311613-0.0041248j 0.00998007-0.0246055j 0.0119567+0.0158009j 0.0360868+0.0230685j -0.0158552+0.00661644j -0.00338021+0.00776802j 0.00141365+0.00625307j -0.0092197-0.0324946j -0.0102214+0.0208741j 4.12377e-05+0.0106152j -0.0291131+0.0101114j 0.00941438+0.00801562j 3.17254e-05+0.00587559j -0.00136983+0.0214952j -0.00715747-0.0180275j 0.00493887-0.0166993j 0.0176294-0.00256806j 0.0331356-0.0179703j 0.0253454+0.00176499j 0.00536963+0.00229337j 0.0116243+0.0156173j -0.00785063-0.00112949j -0.00155356+0.0102139j 0.0147199+0.00685794j 0.00104275-0.0176309j 0.00405423+0.000260058j -0.015592-0.0199867j -0.00904337+0.0161314j 0.0291074+0.0167764j 0.0280409+0.00625588j -0.0257174+0.0112479j 0.0213628-0.0087535j -0.0157616+0.00379458j 0.0503455+0.00481347j -0.000825013+4.64726e-06j -0.0489854+0.0176277j -0.024406+0.0161854j 0.00528229-0.0225813j -0.00283329-0.0186387j 0.010439-0.0134023j 
-0.0058657+0.00608631j 0.0111518+0.007067j 0.0044795-0.0124613j 0.0126577+0.00362638j 0.0109876-0.00631222j -0.00437217+0.034078j -0.0120252-0.0130606j -0.000199296-0.00843128j 0.00607663-0.019969j -0.0103246-0.0149073j 0.000496863-0.00262683j 0.0152956-0.0278171j 0.0250908+0.0171549j 0.0141817+0.00639594j 0.0126024-0.00512443j 0.0158251+0.0047462j -0.00737536+0.0148933j 0.00798275-0.0247339j 0.00281131+0.0146185j 0.00916473+0.019882j 0.014707+0.00723354j 0.000510234-0.0146678j 0.00592737+0.0193919j -0.0118959-0.0258951j -0.0116838+0.0129858j 0.00800231+0.00496321j 0.0136573-0.000937057j -0.00633797+0.0254565j -0.00329473-0.00857822j 0.0117115+0.00750264j -0.0102089+0.00933531j -0.0207697-0.00251514j 0.0196029-0.00562635j -0.0049999-0.0261778j 0.00952493+0.0122627j 0.0141634-0.00359607j -0.003476+0.00376825j -0.0135993+0.00842027j 0.0213937-0.0169968j -0.0072813-0.0158365j 0.000235377-0.0156364j -0.0020862-0.013329j -0.00135953-0.0102999j 0.0129525-0.00908909j 0.0165022+0.000687887j -0.00626521+0.0209185j -0.0250811+0.00713442j -0.0195512+0.00494582j -0.00532206-0.0107307j 0.0189865+0.00461851j -0.020852-0.0136855j 0.00942496+0.000262817j 0.00928647+0.00114761j 0.00458793+0.0152461j -0.0127137+0.00785398j 0.00332914-0.00298101j 0.0123342+0.0217967j 0.0169337+0.000700986j -0.0347298+0.0125723j -0.00113382+0.012454j 0.00161081+0.026792j -0.00813384+0.0184025j 0.00612841+0.00570153j 0.00770268+0.0196563j -0.0176455+0.025875j 0.0393383+0.00569425j 0.019868-0.00793142j -0.000254518+0.00203249j 0.00639077+0.00686715j -0.0116167+0.0032473j 
0.000214822+0.00604923j 0.010887+0.000791321j 0.0107704+0.0066346j -0.00475394+0.0103832j 0.0188514-0.015898j -0.00534903+0.0289327j 0.00346992-0.0176225j 0.000749343-0.00474899j -0.0133175-0.0120234j -0.00216873-0.0402666j 0.012853-0.0117594j -0.000307638-0.0101746j 0.0174431-0.00792234j -0.0115921+0.0127137j 0.00348325-0.00911129j 0.0349337+0.00774347j -0.000579179-0.0107102j 0.0113328-0.0326746j -0.00209007+0.0251278j -0.00440909+0.00308537j 0.00878588+0.0113256j -0.00828868-0.0244365j 0.000137987+0.0319965j -0.00018576-0.00761002j 0.00214278-0.00647963j -0.00301921-0.00511179j 0.0158795+0.00102547j 0.0173002+0.0153095j -0.0113252-0.0176666j -0.00228824-0.0160019j 0.00541566+0.0319479j -0.00729779-0.00734014j 0.000273561+0.0146766j -0.00848609+0.00806534j -0.00382404+0.00607238j 0.0188537-0.00570985j 0.0217786-0.0110289j -0.0166947-0.00755248j 0.00544315-0.00398128j 0.00407869-0.00559615j 0.0105522-0.0145101j -0.0163739-0.0121213j 0.000774959+0.00746805j -0.0213962-0.018253j -0.000158437+0.00281583j 0.000489057-0.0248575j 0.0070736-0.00207481j -0.0258315+0.00328751j 0.0134955+0.00780358j 0.00643737+0.00797159j -0.0179789+0.00885292j 0.0210868-0.00236803j -0.00244238+0.0064432j 0.0358244+0.00319664j -0.0234055+0.00569013j 0.00797209-0.0155516j -0.0334073-0.00500877j 0.0303289-0.00841308j -0.0135677-0.00373021j -0.00624997+0.0119663j 0.0123414+0.0154696j -0.0324182+0.0135377j -0.0214537+0.0214805j 0.0169145+0.0159818j -0.0129391+0.0266156j 0.0179252-0.00197199j 0.0236377+0.00488633j -0.00750764+0.0164852j 0.00644206+0.00274458j -0.00703259+0.00447836j 
0.00897647+0.00670604j 0.0119624-0.00919629j 0.00316568+0.00936001j -0.000241764-0.000548253j 0.0259311-0.0176834j -0.00984497+0.0171198j 0.00921164-0.0169602j 0.0034612+0.0145758j 0.0252065-0.00463173j 0.0202618-0.0214128j 0.0161453-0.00834676j 0.0129135-0.012864j -0.000419913+0.00314388j 0.00323001+0.00995072j -0.0287222-0.0124779j 0.0243669-0.0177341j -0.035299+0.00676961j -0.0022058-0.00648204j -0.00978605-0.000190832j -0.00106228+0.00216057j -0.0135241-0.00420711j -0.00301669-0.00728087j 0.00808335+0.0226013j -0.00141865-0.0218282j 0.00802358-0.00159212j -0.0109522+0.00343023j -0.0241139+0.0186373j 0.00689498+0.000719572j -0.0113484+0.00195079j 0.0161688+0.00543735j 0.0203087+0.0386784j -0.00432997+0.0238806j -0.00833544+0.00672506j -0.00220885+0.0273758j 0.00569063-0.00302247j 0.0059049-0.0220076j -0.0105846-0.00944301j 0.00846662-0.00498445j -0.0103364-0.0178868j 0.00225616+0.00437074j 0.0314495+0.00988868j -0.016296-0.00143017j -0.00626463-0.0152651j -0.0271886-0.0042793j 0.00597286+0.0196217j 0.00661627-0.0410198j 0.0237772+0.00420498j -0.021782+0.0110166j 0.00147133+0.0223346j 0.00492774+0.0133908j 0.013004+0.0112093j 0.00821573-0.00817991j 0.013268+0.00642746j 0.00752144-0.00654969j -0.0111641-0.000225922j -0.0179491-0.00248911j -0.0308528-0.00199647j 0.0275153+0.016634j -0.0225524-0.0171548j -0.0124946-0.0131755j -0.0155128+0.00892607j -0.0206984-0.0274215j -0.00964329+0.003709j 0.0135156-0.0194829j 0.00610176+0.0189424j 0.0247664+0.0260287j 0.0117076+0.0171192j 0.0037786+0.00489778j 0.0156573-0.00674418j 0.003351+0.00357558j 
-0.0161443-0.00412165j 0.0162783+0.0182093j -0.0140091+0.027217j -0.0276907-0.0242245j -0.0466447-0.0297847j 0.0025789-0.0372581j -0.0478938-0.037177j -0.0418834+0.0228413j 0.0149063-0.0316691j -0.0250924+0.0264896j -0.0240002+0.00498632j -0.0388087-0.0221305j -0.00750432-0.00433071j 0.0723838-0.000380437j -0.00899535+0.0254791j -0.0551331+0.0238965j -0.00237561-0.0220309j 0.00868715+0.0106077j 0.0064937+0.00234572j 0.0208298+0.0347429j 0.016904-0.0248851j 0.0288668+0.0341526j -0.019471-0.000384139j -0.00260331-0.0301296j 0.0246404+0.0263319j 0.00471541+0.0433067j -0.0206764-0.00884982j -0.030224+0.0144123j 0.0162715+0.0195974j 0.0107474+0.029269j -0.043897+0.0212477j -0.0370987+0.0197807j 0.00874163-0.0290753j -0.0101744-0.0353697j 0.00588773-0.0025571j 0.00328676+0.0357308j -0.0182625+0.0382153j -0.0255628+0.0533786j 0.042078+0.00142516j -0.00490281-0.00201039j 0.0254637+0.0167374j -0.00123333-0.0459631j -0.0217009+0.0276918j 0.0393616+0.0163273j 0.0127928+0.00221727j -0.0338666+0.0832738j 0.0082526-0.0402733j -0.0333458+0.0201287j -0.0342292-0.0301234j 0.0169958+0.0345295j -0.004266+0.0196364j -0.0267002-0.00187064j 0.00216596-0.0325457j -0.068876+0.00865326j 0.0358649+0.00154351j 0.0010497-0.00761981j 0.00131083+0.0609116j -0.0250714-0.00366173j -0.0574792+0.0172894j -0.000833532+0.0254236j -0.0131749+0.0151076j -0.0208331+0.0340353j 0.0362178+0.0673463j 0.0106037+0.0253028j -0.00268565-0.0256377j -0.022246-0.00605277j -0.0658368-5.14667e-05j -0.00995067-0.0673517j -0.00050839-0.00308072j 5.78874e-05-0.0101254j 
0.00303899+0.0119737j 0.0137725+0.00312065j 0.000986356+0.0155286j -0.0277531-0.00984825j -0.00142658-0.0312925j -0.00279564-0.0314059j 0.0123703-0.014554j 0.0190969+0.00491116j -0.0044294-0.0198427j -0.0137531-0.0388311j -0.0139772-0.015323j -0.00053926+0.037209j -0.0373191-0.0203065j -0.00115453+0.0233228j 0.0139509+0.00845114j -0.013347+0.0137825j 0.0352824+0.00148942j -0.0277698+0.01846j 0.00709804+0.0207765j 0.0254669+0.00186959j -0.0358701-0.0115773j 0.00745101-0.0333721j -0.047984+0.00416447j 0.0110236+0.0343863j 0.0235327-0.0239136j -0.0109165-0.0140772j -0.0145482+0.0136666j 0.00570975-0.00741659j 0.00597731-0.00173248j -0.0315913+0.00325076j 0.022055+0.0352099j -0.0306154-0.00969996j -0.0187508+0.0227829j -0.00972588+0.00897904j 0.0112602-0.0501j 0.0205338+0.0103503j 0.0252356-0.0140115j -0.0284832+0.0282266j 0.00426763+0.0157672j 0.0217828-0.00977905j 0.0159811+0.0302052j -0.0214307-0.0280706j 0.0179043+0.00553171j -0.0122669+0.00783741j -0.00824021+0.0143504j -0.000287645-0.0305814j 0.0508798-0.0258735j 0.0258842-0.00559454j 0.00139895+0.0161957j 0.0109735+0.0565002j 0.0380197+0.0210065j -0.0105582+0.0102666j -0.0175056+0.0133449j 9.62423e-05-0.0273028j 0.0236572-0.0281884j -0.00288887+0.00373628j -0.0394494-0.00442701j -0.00633785-0.00977004j -0.0254394-0.0124918j -0.0106579-0.0136893j -0.00881783-0.0345593j -0.0193917+0.0115175j -0.0134054+0.0173568j 0.0109963+0.00901702j 0.0245896-0.0011032j -0.0362197-0.0746202j 0.000670338+0.0128683j -0.0258428-0.00101144j -0.0176362+0.00135042j -0.00123468-0.00845027j 
