-0.114453-0.0765735j 0.0770796-0.114686j -0.175404-0.118371j -0.131073+0.192696j 0.1944+0.0862059j -0.00529843+0.149232j -0.0306003+0.112411j -0.149945+0.127985j 0.178756+0.0263582j -0.0648411-0.0591289j 0.116579+0.0342037j -0.0600876-0.156184j -0.00284951+0.0954421j 0.0229628+0.0560961j -0.0410119-0.037198j 0.0288226+0.0238014j -0.0215017-0.0245752j -0.0989391-0.119791j -0.0294985+0.0731963j 0.0586315-0.118002j -0.0293716+0.0264591j 0.113115+0.00669789j -0.00500472+0.0177382j -0.00687672-0.0294503j 0.0600644+0.104308j 0.00287937-0.0152828j -0.101122+0.146855j -0.0145888-0.0572136j 0.0416829-0.120262j -0.0595311-0.0594402j 0.0363922+0.104869j 0.0401195+0.0442515j 0.0751058-0.0909661j -0.0150632+0.0155904j -0.0974591+0.13756j -0.131892+0.0443685j -0.225285+0.0256088j -0.0423432-0.0421992j 0.0673184+0.00336514j -0.102469-0.179764j -0.108424+0.0876552j 0.0943933+0.10444j -0.255509+0.167699j 0.169717+0.252807j 0.199061-0.041923j 0.019847+0.206217j -0.102156-0.0166548j -0.0357169-0.0841599j 0.0336334-0.114499j 0.121789-0.0160531j -0.0661136-0.0422667j 0.0387917+0.0341244j 0.0297101+0.0568371j -0.0100779+0.0561372j -0.0192892-0.025296j 0.0362364-0.0511129j 0.00710549-0.016476j 0.0189141-0.0196389j -0.017614+0.00621811j -0.00838119-0.0181322j -0.0132464-0.0205355j -0.0147536+0.0210367j 0.0300801-0.00727116j -0.0204637+0.021296j -0.0325889-0.00375687j 0.00854921-0.000717608j 0.00501781+0.000890849j -0.0122672+0.00898747j -0.00964116-0.0160444j -0.0293267+0.0163398j -0.00394116-0.00023332j -0.00371851-0.0165667j -0.00925928-0.00823249j 1.51628e-05-0.0062967j -0.00203148+0.00165736j 0.0142955+0.00618273j -0.0102874-0.0107679j -0.0121742-0.0193381j -0.00614051+0.0173379j -0.00475212+0.0101515j -0.0225729+0.00592478j -0.00573002-0.00214731j -0.00289282-0.00937045j 0.0164382+0.00664124j 0.00338539+0.00129369j -0.00333576-0.00511145j -0.00301243+0.0186339j 0.0192768-0.00949098j 0.024773+0.00339637j 0.0143486+0.019481j -0.000491988-0.0163137j -0.000577926-0.0141024j 0.0167196-0.0216373j 0.0283962+0.0101085j 0.00505012+0.0420504j -0.0401931+0.0048539j -0.0132608-0.0439575j -0.0439159+0.0131388j 
0.249181+0.128688j -0.12952+0.249219j 0.0294316-0.0222009j -0.0283-0.0214113j 0.0266351+0.0411064j -0.00125063-0.0181414j 0.0554827+0.0557778j -0.0815185+0.0666576j 0.0198518+0.0251437j -0.00875214+0.0489351j 0.0277582+0.00162957j -0.0561789-0.0393034j -0.00988736+0.0385251j -0.0137817+0.0538974j 0.00148956-0.0212047j -0.0563098-0.00435817j -0.0183632+0.00591489j -0.0420004+0.0140928j 0.012918+0.0545505j -0.0466113-0.051068j -0.0377354+0.0273914j 0.0500845-0.0142572j 0.000857999+0.0258665j -0.0228167-0.066989j 0.038747-0.0101681j 0.0145393+0.00148349j -0.0491327+0.0445147j -0.021424+0.00137328j -0.00546276-0.0656187j -0.0366791+0.00310178j 0.0237901+0.0322789j 0.0397047-0.00285453j 0.0478222+0.0101693j 0.0406199-0.0039391j -0.0271824+0.0629652j -0.0178968-0.00934556j -0.0389147-0.000483291j -0.0364062-0.0202661j -0.00346682+0.0367789j 0.0171684-0.0230527j -0.0219128-0.0650255j -0.0604179+0.0199038j 0.00844571+0.0153938j 0.0164524-0.0194193j 0.0650903+0.0205163j -0.00660521+0.0890784j -0.0929386+0.0775441j -0.0888324-0.0785188j 0.042736+0.0153326j -0.114131+0.0188998j 0.0448813+0.197821j 0.0647266-0.0254621j -0.00960967-0.0486532j -0.0929795+0.0208648j -0.0929889+0.0305925j -0.0366464+0.169854j -0.143593+0.102599j -0.0758103+0.0416108j -0.0237925-0.0613144j -0.063136-0.0113442j -0.0372949-0.0538622j 0.00474827-0.0334663j -0.0199169+0.0600372j 0.0160814-0.000902004j -0.0109943-0.0402814j 0.0389274+0.0662213j -0.0580019+0.0231103j 0.083758+0.0247458j 0.0749778-0.0112913j 0.161195+0.00826562j 0.0393457+0.00237426j 0.115224+0.013051j 0.0957402-0.0247643j 0.0834861+0.0423488j 0.0328916-0.0523828j -0.0100607+0.0176956j -0.0259135-0.0110208j -0.0262418-0.0786587j -0.00642673+0.0459285j 0.00189688+0.0399066j 0.0731231-0.0193829j 0.0348532-0.0342612j 0.0480321+0.0885105j -0.12629-0.0980908j -0.0852665-0.17412j 0.0736767-0.104059j -0.0604406-0.0307594j 0.0561439-0.0744425j -0.056765+0.0216107j 0.0854585-0.169658j -0.162239-0.123435j 0.118526-0.0698328j -0.0457062+0.0656753j -0.00953751-0.0882358j 0.0207854-0.0684431j 0.0715972+0.0157207j 0.168322+0.278787j 0.278776-0.167541j 
-0.0122986+0.0242255j -0.0242124-0.012423j 0.023676-0.00168365j -0.00336912-0.0238854j -0.00723948+0.00704739j -0.00355932-0.00731548j 0.00567925+0.00375536j -0.00983565+0.0080559j 0.00609244+0.00158783j -0.000478294+0.00424706j 0.00478648+0.00918974j -0.00079459+6.55575e-05j 0.00779383-0.00131384j -0.00746537+0.00307658j 0.000436429-0.00254723j -0.00022267-0.000687411j -0.000516831-0.00435435j -0.00161611-0.00755718j -0.00632608-0.000655837j 9.28409e-05-0.00488399j -0.00246006-0.00603906j -0.00330244+0.00429481j 0.000603862-0.000681282j 0.00687955+0.00211553j -0.000988389+0.00558807j -0.0011316+0.00152903j -0.00179372-0.0035232j 0.00393609-0.00292156j 0.00786845-0.00165827j -0.000768687-0.00541686j -0.0058806-0.000843179j -8.08209e-05+0.00383354j -0.00647108+0.00437305j 0.0012472+0.00735115j -0.00827438-0.00168836j 0.00262818+4.70943e-05j 0.00150828-0.00261966j 0.00273076-0.00948776j -0.0116252-0.00333414j 0.00165154+0.00456411j -0.00833853-0.015101j -0.0160393+0.00793674j 0.000432161+0.0171852j 0.0186362-0.00645662j 0.00347113-0.0014079j -0.00140695+0.0106787j -0.0227681-0.00107206j -0.00178886-0.0145171j -0.00828183+0.00791517j -0.0204181-0.0206498j -0.010661+0.0371689j 0.00560428+0.00253344j -0.00559135-0.0224211j -0.0188605+0.00316669j -0.0393555+0.0068648j -0.0105367+0.0255388j -0.0334299+0.0128666j -0.00419256+0.00782268j -0.00902458-0.0279181j -0.0176269+0.00238441j -0.0183233-0.00909156j -0.00137697-0.0248571j 0.00540628+0.0311426j 0.0152489+0.0113081j -0.00400399-0.0142475j -0.0033402+0.0184015j -0.00830791+0.00626311j 0.0215644+0.0209668j 0.00439461-0.00640463j 0.043057+0.000744016j 0.00115067+0.00405334j 0.0102902+0.00638206j 0.020401-0.0196128j 0.0075318+0.00758509j 0.00665912-0.0111652j -0.00124183+0.00960586j -0.0207186+0.0168945j 0.00498092-0.0323239j -0.00885987+0.0273214j -0.00691555+0.0198199j 0.0332074+0.00266449j 0.0139266-0.0170803j 0.0180277+0.0123009j -0.0219586-0.0200755j -0.0337307-0.0305274j 0.0357347-0.0077226j -0.00454502-0.0106445j 0.00683301-0.0278596j -0.00743915+0.00325164j 0.000596952-0.030064j -0.0159819+0.00703792j -0.00101877-0.00110463j -0.00732428+0.00770222j -0.0164178-0.010748j -0.0122605-0.0415813j 0.040036-0.0110033j 0.0304851-0.0241247j -0.024266-0.0295869j 
-0.0168087-0.0230887j 0.0230036-0.0168857j -0.00100404-0.0144341j -0.0131117+0.000360124j -0.00756773-0.00477191j 0.0143984-0.00621796j 0.000331184+0.0121311j -0.00177739-0.0112496j -0.00827754-0.00374073j -0.0126137+0.00242917j -0.00773378+0.00774863j 0.00468483-0.0036287j 0.00755659+0.00696814j -0.0138016-0.00909909j 0.00470649-0.00442489j -0.00490743-0.0112257j -0.00269045+0.00182281j 0.00700133-0.00485524j -0.00204911-0.000629845j -0.000927931-0.0125332j -0.00312122-0.0074026j -0.00167148-0.00399159j -0.00604856+0.00541606j 0.000799937-0.00137013j -0.00196412-0.0126802j -0.001315+0.0059201j -0.0121833+0.000837177j 0.00192665-0.00179438j 0.00874656-0.00193129j -0.000765425+0.00485056j 0.00660761-0.0125433j 0.00993427-0.00808304j 0.00269278+0.00910969j 0.00203644-2.86685e-05j 0.0114164-0.00085555j -0.00896449-0.0082334j 0.00393834-0.00231943j -0.0092805-0.00105972j -0.00459477+0.0108996j -0.00371482+0.00210054j -0.0135285+0.0300482j 0.0297392+0.0153422j 0.0185559+0.00815447j 0.00267249-0.0179502j 0.00478131-4.05578e-05j 0.00403915+0.0114803j -0.018991+0.00646286j 0.00748661-0.0128345j -0.00198873+0.0344303j -0.0370513-0.00940726j -0.00584543+0.0136865j -0.0088782+0.00127193j 0.00245797-0.00260343j -0.00977192-0.00849487j 0.00698605-0.0195081j 0.00224104+0.00341754j 0.00239455+0.0132752j 0.00967258-0.00410628j -0.00300527-0.0134944j 0.00258979+0.00296922j 0.0170144+0.00172933j 0.00854955-0.00860348j 0.00297021-0.00650548j -0.00969889+0.00159157j -0.0132461+0.00186349j -0.0137398+0.00848599j -0.00822567-0.00227404j -0.00497665-0.00586192j 0.00184485-0.000989399j 0.00267437-0.0214306j -0.000450693+0.00465728j 2.31068e-06-0.00591894j 0.00836375-0.00181994j -0.0073479-0.00123212j 0.0153813+0.010294j 0.0143055+0.00186425j -0.00630138-0.00485044j -0.00711191-0.00582167j -0.00329524-0.00981747j -0.00477438-0.0031453j 0.012895-0.00310749j -0.00923083+0.00754775j -0.00220654-0.0183957j -0.0124786+0.0021673j -0.0049866-0.0138581j -0.0118068+0.0181487j 0.0136183+0.0076609j 0.00271428+0.0055215j -0.0136302-0.0076059j 0.00453421+0.00346983j 0.0336438-1.89929e-05j -0.0153856+0.0385517j -0.0216958-0.0204775j 0.0100819+0.003317j -0.0315087-0.00151646j 0.00255041-0.0300839j 0.0210915+0.0151682j 0.0155865-0.0210401j 
-0.0101183-0.000283387j 0.000157043-0.0100948j 0.0165901+0.018055j 0.0199447-0.0181291j -0.000687752-0.00432323j -0.00193667+0.0193676j -0.02599-0.00836109j 0.00839862-0.0192951j -0.000407914-0.000675255j -0.0119072-0.00690754j -0.00226874+0.00552996j 0.00281719-0.0091185j 0.00218345+0.00622338j -0.0116705-0.00620929j 0.0069424-0.00374263j -4.06868e-06-0.0120116j -0.00516578-0.000976583j 0.00161634-0.0112853j -0.0059418+0.00418326j 0.00334255-0.0199839j -0.00807848-0.00793463j 0.00222828+9.9617e-05j -0.00968337+0.00387339j 0.0105437-0.00549526j 0.00335885-0.00301248j -0.00135255+0.00428574j -0.0163549+0.00346432j -0.00173961-0.00796486j 0.0159038-0.00832348j -0.00220096-0.00183637j 0.005445-0.000180136j 0.0141138+0.00178937j 0.00582829+0.0112509j 0.00393246+0.00872433j -0.00545915+0.00501767j -0.013067-0.0074764j -0.00709527-0.00753563j -0.00249171+0.00253188j 0.00491158+0.00586375j 0.00127008-0.00901927j 0.00656783+0.000344158j 0.00101897-0.00616263j -0.0121376+0.0129014j 0.0148982+0.012517j -0.034321-0.0104496j 0.00922702-0.0399569j 0.0240031-0.000375188j -0.00154867+0.0117163j 0.00862516-0.0136031j 0.0147122+0.0160017j 0.0104251-0.0022665j 0.0109871-0.000772754j -0.00729573+0.00161085j 0.00561348+0.00566326j -0.00779147+0.0252023j -0.00508067+0.00265353j -0.00597527-0.0109121j -0.0111494+0.00449384j -0.00195308+0.010899j -0.00317834-0.00194962j -0.0167129-4.00406e-05j -0.012436+0.00335888j 0.00104021+0.00717936j 0.012536-0.00389422j 0.0131145-0.00359682j 0.0144931-0.00332452j 0.00908185+0.00170849j 0.00950243+0.00474828j -0.00323223+0.00279092j 0.00241069+0.016222j 0.000209659-0.0036088j -0.000485072+0.00877238j -0.00844736-0.00125396j 0.0054765+0.00354941j -0.0158317-0.0117259j -0.01085-0.00144698j 0.00642057+0.00838161j 0.00519476+0.00140433j 0.00734694+0.0140398j 0.00662717+0.00495093j -0.00823522-0.00193357j 0.00798925-0.0112912j 0.00242275+0.0158903j 0.0081271-0.00122791j 0.000860459+0.0155202j 0.0133612-0.0193257j -0.0119846-0.00630116j -0.00565326-0.00533878j 0.0103777+0.00749896j -0.00770975-0.0027192j -0.0294834+0.00271468j 0.012753-0.0380436j 0.0231031+0.0189092j -0.0125923-0.00102734j 0.0311088-0.00214552j 0.00153528+0.0300185j -0.012342-0.014399j -0.0142787+0.0123414j 
0.00607318-0.00671636j 0.00683145+0.00610134j 0.0104396-0.0231774j -0.0252939-0.0119569j -0.00708993+0.000924618j 0.0197798-0.000116596j -0.0101298+0.0266423j -0.014274-0.013688j 0.00560952-0.00159758j -0.00139356-0.0108273j -0.00490042-0.00884098j -0.000315998+0.00955803j -0.00105879+0.00544933j 0.0154465-0.00604687j 0.00321419-0.0116349j 0.0215158+0.00281102j 0.00686708+0.00706248j -0.00436131-0.00971328j 0.0115059-0.00511433j 0.00214971+0.00885463j 0.00271084-0.00220596j -0.00968861+0.00508923j -0.0184467-0.0016975j 0.00210211+0.0111981j -0.00023793+0.0143439j -0.00327604+0.00103096j -0.000198831+0.00490368j -0.00371804+0.000431985j 0.0080869+0.0025593j 0.0151952+0.0107287j -0.00764469+0.00744747j 3.14693e-05+0.014847j 0.000355019+0.000966397j -0.00152683+0.00754655j -0.00357261-0.00121213j 0.00573119-0.0102633j 0.0124121+0.013057j -0.0217737+0.0228027j 0.0171705+0.0164866j 0.00414941+0.00874037j 0.029222+0.00520693j 0.0070302-0.029331j 0.00283301+0.00385554j 0.00497694+0.000301975j 0.0176228-0.0154062j 0.0179596+0.017114j -0.00131236+0.0106472j -0.00497416+0.00382308j -0.00439084+0.00646677j -0.010072-0.00345675j -0.00124679+0.00452495j -0.00664154+0.00131097j 0.00177469-0.00717574j -0.00244088-0.000776739j -0.00481157-0.0101365j 0.000936022-0.000676932j 0.00349752+0.00446456j 0.00410384-0.00304018j -0.00101034-0.00551424j 0.00108336+0.00181157j 0.00464708-0.00215455j 0.00420755-0.00613241j -0.0011818-0.000956623j -0.00319169+0.00437892j -0.00540642+0.00347199j -0.00625484+0.00342739j -0.00491426+0.00131363j -0.00363802+0.000173311j 0.00101778-0.00183481j -0.000855899-0.00693087j -0.000407074+0.00135935j -0.00200099-0.0031006j 0.00423319-0.00257033j -0.0041244-0.00103422j 0.00797325+0.00263123j 0.00543538-0.000123112j -0.00578449-0.000482047j -0.0018968-0.00135205j -0.00495415-0.00462077j -0.00342882-0.000649727j 0.0056943+0.000629365j -0.00152551+0.00367455j -0.00138838-0.00708145j -0.00335881+0.00142183j -0.00361113-0.00626824j -0.00227938+0.0117832j 0.00675197+0.00124752j 0.00262357+0.00169226j -0.00599479-0.00214508j 0.00138043+0.000241644j 0.0137369+0.0017545j -0.00789701+0.0182242j -0.0108294-0.00816721j 0.00312266+0.000557009j -0.0138662-0.00512453j 0.00505107-0.0133219j 0.00376044+0.00281818j 0.00273807-0.0037625j 
-0.0363482-0.00682882j 0.0064237-0.0367308j 0.0136054+0.00278609j 0.00430808-0.0147991j -0.00771465-0.000434812j -0.00146651-0.000867669j -0.00222022-0.0025969j 0.00204517-0.00178997j 0.00305309-0.00161904j 0.000608219-0.00165473j 0.00104605+0.00709337j 0.00598547+0.00279764j 0.00698361-0.0040107j -0.00447395-0.00328004j 0.00029674+0.000127431j 0.00602207+0.000806639j 0.0017761-0.00386878j 0.00405291-0.00695993j -0.00653393-0.00656114j 0.00394493+0.000492471j 0.00279604-0.00750999j -0.00771534+0.00212724j 0.00168578-0.00279136j 0.00616107+0.00972404j -0.00584563+0.00433128j -0.00279418+0.00124803j 0.00394676-0.00407223j 0.00455359-0.00135643j 0.00483147+0.00573474j 0.00252998-0.0022927j -0.0047321-0.00490599j -0.0043262+0.00125889j -0.0077749+8.17164e-05j -0.00389863+0.00570022j -0.00187313-0.0069196j 0.00160809+0.0037502j 0.0016625+0.0014148j 0.00427084-0.00434031j -0.00472441-0.0065033j -0.00474454+0.00338632j -0.00246695-0.00552997j -0.00596446+0.00384019j -0.00532773+0.0130036j 0.0142796+0.00381093j -0.00226492-0.0028069j 0.000171333-0.00183327j -0.00359302-0.0107593j 0.0117084-0.00206092j -0.00753402+0.00205373j -1.399e-05-0.015474j -0.0113066+0.00182743j -0.00389077+0.00525356j -0.0046959-0.0113833j -0.00615848+0.00240753j -0.0222391+0.00183775j 0.00191217-0.0036052j -0.00660155-0.00371255j 0.00831096+0.00156143j -0.0058341-0.0137344j -0.00701392+0.0041912j -0.00997062+9.55933e-05j -0.0042333-0.0187282j 0.00757479+0.0145041j 0.00696437+0.00978071j -0.00293249-0.00681765j -0.00456732+0.0079549j 0.00239183+0.000479079j 0.00364531+0.0109394j -0.0059549-0.00318597j 0.0117321-0.00443832j -0.00563359-0.000169558j -0.00713179+0.00375143j 0.00527589-0.0116135j -0.0056306+0.00417078j -0.0046084-0.00474682j 0.00566718+0.00200082j -0.012506+0.0116725j 0.00550981-0.012952j -0.00363598+0.0132072j -0.00518554+0.00727898j 0.0119763+0.000229821j 0.00392103-0.0103587j 0.00253846-0.00036514j 0.000975874+2.5479e-05j -0.012794-0.000756975j 0.0150998+0.00949239j 0.00652767-0.00208963j 0.00182439-0.00763475j 0.000603383+0.00573094j -0.00995072+0.000567782j 0.00365879+0.0178997j -0.0149582-0.00152681j 0.00558654-0.00136407j -0.0131675+0.00807931j -0.0108531-0.0117674j 0.0102216-0.00949014j -0.00866624-0.0377836j -0.037138+0.00858818j 
-0.00645146+0.000228563j 6.9821e-05-0.00681337j 0.00240475+0.006222j 0.00508351-0.0013295j -0.00234905+0.0028326j -0.00578907-0.00348936j 0.00118723-0.00220241j -0.00310365+0.00374826j 0.0013256+0.00360715j 0.00638464+0.00253578j 0.00509045-0.00140483j -0.00117371+0.00258377j -0.00325841-0.0049079j 0.00367639+0.00538956j -0.00225914+0.000667238j 0.000460569+0.00583116j 0.0021539-0.000689491j -0.00190646+0.00144857j 0.000793573-0.00102411j -0.00194224+0.0087862j 0.00153597+0.0017712j -0.00170933+0.00172149j 0.00395827-0.00259859j -0.00284195+0.0025156j -0.00257331+0.0029284j 0.00122644-0.000587752j 0.00629592-2.21404e-05j 0.00227658+0.000225474j -0.00451658+0.00268554j 0.00326807+0.000367043j -0.00252628+0.00103411j -0.00633788-0.000362241j -0.00256815-0.00433951j -0.00385337-0.00278837j 0.000374902-0.00395723j 0.000331771+0.00323291j -0.000128052+3.94696e-05j 0.0035622+0.00355267j 0.00243042-0.00336743j 0.00104871-0.00243193j 0.00990464-0.00505694j -0.00616871-0.00977736j -0.00816169+0.00254112j 0.00192731+0.00752168j -0.00468339+0.000694714j -0.00124832-0.0048997j 0.00277107-0.000966416j -0.00367406+6.23889e-05j 0.00798993-0.00944191j 0.00830991+0.00641175j 0.000143057+0.000965774j 0.00290201+0.00401094j -0.00146089-0.00233195j -0.00181759+0.00635847j -0.0112742+0.00602512j -6.04819e-05-0.000357183j -0.000740493-0.00573459j -0.000478894+0.00132993j -0.00638778+0.00246824j -0.00325759+0.00068725j -0.00669528-0.00248516j -0.00931647-0.00483466j -0.000275295+0.00129061j 0.00563701+0.00261104j 0.00239971-0.00418724j 0.00807723+0.00462089j 0.00418383-0.00217431j 0.00154345+0.003366j -0.00516241+0.000682224j -0.000430707+0.000616064j -0.00134196-0.0018366j -0.00526388+0.00442061j -0.000191078-0.00701086j 4.70544e-05+0.00649989j -0.00818881-0.0057383j -0.000193735-0.00549838j 0.000311008+0.00213493j 0.00149722-0.003427j 0.00619813+0.0105413j 0.00028953+0.00316344j 0.00113443-0.00501848j -0.00164996-0.0045496j -0.00487782+0.00279339j 0.000387271+0.00497074j -0.00428886+0.0109889j 0.00637434-0.00495636j 9.5532e-05+0.00356957j -0.00332183-0.00433281j 0.00305245+0.00511195j -0.00924419+0.00424123j -0.000511225+8.49782e-05j 0.0068709-0.00883899j 0.00867258+0.00222424j 0.00117551+0.001097j 0.0116901+0.0180228j -0.0173375+0.0119849j -0.000930688+0.0122889j 0.012842+0.00152266j 
0.00629721-0.000539143j 0.000613834+0.00646715j -0.00860826+0.000692525j 0.000992995+0.00744288j 0.00088941-0.000766143j -0.00110638+0.0029974j -0.00460504-0.00490847j 0.00211309-0.00692957j -0.00259487-0.000227083j -0.00592959+0.00153463j -0.00237885+0.00418125j -0.00157342-0.00214666j 0.00370476-0.00173424j -0.0066257-0.000328948j 0.00121898+0.000146512j -0.00237311-0.00210674j 2.56367e-05+0.00128668j -0.000574513-0.00570651j -0.00262969+0.0020471j -0.00373365-0.00740605j -0.00250857-0.000823145j -0.000452725-0.00127022j 0.00223013+0.00320153j 0.00338669-0.00498325j -0.00210366+0.00183729j 0.000130379+0.000550169j -0.00259677+0.00311492j -0.0035005+0.00319582j 0.00277777-0.00451071j -0.00428104+0.000145929j -0.00273585-0.000754149j 0.000488691-0.00239368j 0.00402785+0.000987556j 0.00616336+0.00150645j -0.00187448+0.000941199j 0.00109941+0.00333604j -0.00198892+0.00189194j -0.0053655-0.000901437j 0.00287817+0.00394519j -0.000819254+0.00298039j -0.00401728-0.000294613j -0.000284961+0.00346097j 0.00400974-0.01289j -0.0102345-0.00424534j 0.000532342-0.00776776j 0.0085453-0.000426255j 0.00127191+0.00373038j -0.00117677+0.00080051j 0.000314672-0.004644j 0.00951541-0.000353145j -0.00472506-0.00678889j 0.00453282+0.00027066j 0.00138714+0.00456778j 0.00697572-0.00800031j 0.00611664+0.00125694j -0.00488141-0.00253439j 0.00471466-0.00734327j -0.00759844-0.000950031j 0.00435738+0.00449298j 0.00166926-0.00454919j -0.00145232-0.00446287j 0.00622895+0.0036199j -0.00266231+0.00314959j 0.000270185-0.00207983j 0.00568976+0.00193489j -0.00372697-0.00293081j 0.00294833+0.00540383j -0.00252094+0.00240724j -0.00266014-0.00519972j -0.000680186+0.00900446j 0.00281489+0.000764371j -4.46938e-05-0.0057488j 0.00175037+0.00460782j 0.00385486-0.00687773j 0.00480437+0.000796022j -0.00745149+0.00312264j 0.00078865-0.00116594j 0.00208945+0.00506957j -0.00973268+0.00335094j -0.0002688+0.000306811j -0.00267066+0.00767343j 0.00588272+0.00426453j 0.0050673+0.0022205j 0.00257051-0.0042988j -0.00267666-0.00185563j 0.00428032-0.00190215j -0.00426755-0.00823377j 0.000409062-0.0078162j 0.00644032+0.00146802j 0.00207711-0.00909287j -0.0144866+0.00162436j 0.000356056-0.00498418j -0.00290114+0.00394577j -0.00366226-0.00572742j -0.0170667-0.0122282j 0.0112638-0.0175563j -0.0116592-0.00897291j -0.00959531+0.0116725j 
-0.00290862-0.0151835j 0.0152485-0.00268026j 0.00460222-0.00457567j -0.00323077-0.0058602j -0.00523166-0.00592055j 0.00473017-0.00753597j 0.0055039-0.00142776j 0.00650431-0.00170161j -0.00537526-0.00255244j -0.00195447+0.00278208j 0.00484844-0.00113543j -0.00120814-0.00626914j -0.00573854-0.00398804j -0.0019721+0.00338774j 0.000229266+0.00596553j -0.00212473+0.00373522j 0.00388255-0.00225207j -0.00034238+0.0013159j -0.00257869+0.00199975j -0.00217347-0.0016793j 0.0018321-0.000466768j -0.000686145-0.00382413j 0.00453823-0.00187275j -0.00149144-0.00199159j -0.000967783+0.00184596j 0.00381961+4.15351e-05j -0.00087337-0.000286349j 0.000887341+0.00534818j -0.00489756-7.47861e-05j -0.00434248+0.00465611j -0.000289085-0.000592692j -0.00427933-0.00116525j 0.000904057-0.000136898j -2.91583e-05-0.0032466j 0.00125581-0.000212083j 0.00349112+0.00600434j -0.00669801+0.00672364j -0.00453485-0.00220685j 0.00333559+0.000468013j -0.00786664-0.0060405j -0.00585099-0.00397279j -0.00360179+0.00516726j 0.00313464+0.00745474j 0.00895661-0.00197129j 0.0100699-0.00319447j 0.000413537+0.00792705j 0.00247843-0.0138322j 0.019879+0.00469398j 0.00323929+0.0155478j -0.00455237+0.0100613j 0.00963764-0.0143762j -0.00877421+0.00632237j -0.00765973-0.00372919j 0.00797592+0.00866672j -0.0129269+0.00431217j 0.00982187-0.0141839j 0.0147439+0.0048275j 0.00808549-0.00738789j -0.00913864-0.0111844j 0.00217963+0.00099196j 0.00332116+0.00152452j -0.00104773-0.00810271j 0.00553765-0.00317615j 0.00171327+0.00793558j 0.0055551+0.00900082j -0.00728462+0.00289124j 0.00345124+0.00882371j 0.00196613-0.00320443j 0.00180023-0.00797967j -0.00620735-0.00138709j -0.00941192+0.00240998j -0.0033263-0.00245573j -0.00265535+0.00204465j -0.00995982+0.00554852j -0.00404672-0.00591749j 0.0135962-0.00585164j -0.00124663+0.0112309j -0.00131947+0.0057175j -0.0102037+0.00159642j 0.00070768+0.000172477j -0.00500605-0.000630464j -0.000236483-0.0128401j -0.00542482-0.00306641j 0.00705066+0.00451739j -0.00735884-0.000804095j 0.0122919+0.0185323j 0.00791292-0.00244855j 0.0170329+0.00148708j -0.00260499+0.0136151j 0.00426207+0.00685297j 0.00149776-0.0104817j -0.00119272-0.00932325j 0.0168311-0.0104404j 0.010292+0.0131559j 0.0123205-0.012788j 0.0130003+0.0123347j -0.0191359-0.00172217j -0.00194826+0.0187372j 
0.00231595-0.00601306j 0.00602976+0.0024917j 0.00583496+0.01456j 0.0150939-0.00719893j -0.000991766-0.00527714j 0.00574899+0.000495205j -0.00134762+0.00345423j -0.00530877-0.00123653j 0.00623931-0.00344712j -0.0105272+0.00276597j 0.00178317+0.0149711j 0.00331797+0.00106608j 0.0117379-0.00467299j -0.0115103-0.00184463j -0.000380141-0.00416135j 0.000512013-0.00209745j 0.004073+0.00253486j -0.00504177-0.0134773j -0.00397655-0.00278202j -0.00525807-0.00530001j 0.00121901-0.00316637j -0.00420605+0.00309617j 0.00417894+0.00324634j 0.00543842-0.00432065j -0.00640098+0.0084154j -0.00428602+0.00341437j 0.00396225+0.000131584j -0.00445123+0.00806658j 0.00821715-0.00621065j -0.00391117-0.00381655j -0.00608497-0.00476513j 0.000207083-0.00276008j -6.05059e-05-0.00106797j 0.010129+0.00726009j -0.00414251+0.00264285j 0.00416997+0.00435941j 0.00360288+0.00788574j -0.00387545-0.00578876j -0.00481296-0.00141474j -0.00557854+0.0104933j 1.57416e-05-0.0114756j -0.0121025+0.00088582j -0.00265985-0.0114059j -0.0093171+0.00137225j 0.0115248-0.00829922j 0.00840876+0.01146j -0.00697805-0.000551625j 0.00494141-0.00484401j 0.00195667+0.00282772j 0.00209456-2.41561e-05j 0.00147224-0.00633206j -0.00308457-0.00573433j 0.0049551-0.000329501j 0.00556083+0.00443293j 0.00217459+0.002432j 0.00254434-0.00659204j 0.000262863+0.00537589j 0.00393414-0.00609281j -0.00883346+0.00331369j 0.000323488+0.00271516j 0.000896837+0.00152107j 0.00192236-0.000649447j 0.00285238-0.00192169j 0.00542885-0.00229396j -0.00427594-0.00162394j 0.00345616-0.000411592j -0.00363122-0.00360589j 0.00218052-5.41263e-05j 0.00455454+0.00110013j -0.00185751-0.00150261j -0.00170968+0.00409703j -0.00165934-0.00259682j -0.00399222-0.00239569j -0.00104525+0.000222684j -0.00232002+0.00161151j 0.000645801-0.00269491j 0.00294259+0.0041703j -0.00142474-0.00309659j -0.000198027-0.00640284j 0.000167008+0.00112503j -0.000283742-0.00328383j -0.00659213-0.00456907j 0.00491646-0.0038759j -0.0012659-0.000380657j -0.000170716-0.00501333j -0.000601236-0.00396249j -0.00453943+0.000368762j 0.00422113+0.00581451j -0.00742211+0.00299762j 0.00433565-0.00631382j -0.0027602-0.00252991j -0.00676959-0.000463047j -0.00307915-0.0115827j 0.00952577-0.00313277j 0.00407887+0.00731937j -0.00696625+0.00356361j -0.00186268-0.000455912j -0.000443674+0.00160454j 
