0.0335387+0.0914483j 0.083669-0.0391475j -0.0702316-0.0787649j -0.0814257+0.0545952j -0.00849882-0.00629959j 0.0192905-0.00683116j -0.0160149-0.00694034j 0.00298901-0.00683657j -0.00445431+0.0375401j 0.0221914-0.0426738j -0.0468647+0.000448241j -0.0274465-0.0139373j -0.0166239-0.00157362j -0.00672145-0.00595428j 0.0162227-0.0033965j -0.0111341-0.0127022j 0.00400155+0.0177167j 0.00694014-0.00920676j 0.0134459-0.00190842j 0.0121819-0.0171473j 0.000410359-0.00807324j 0.0369925+0.0297825j -0.0111861+0.0131156j 0.0309878+0.0194047j -0.00252802-0.012586j -0.0104588+0.0138248j -0.0329078+0.0370419j -0.00840031+0.0140682j -0.000684916-0.0657651j -0.000675897+0.00623337j -0.0376054-0.010063j 0.00117116+0.0190295j -0.00784816+0.0286781j 0.0145382-0.0276486j -0.0274188-0.0248921j 0.0150638+0.0102648j -0.0411579-0.00494402j 0.00691061-0.00705976j -0.00785693-0.000560077j 0.0047409+0.00953812j 0.0339626-0.0135193j -0.0679627-0.0489282j 0.0328473+0.00565825j 0.0011716-0.000984157j -0.020392-0.0196066j 0.0632773-0.0127126j 0.00794337-0.0280495j -0.00213005-0.0458704j 3.57688e-05-0.00632254j -0.016029-0.0284679j 0.0260792+0.0332385j -0.00496954-0.0189046j 0.00387673+0.0158693j -0.0248166+0.0167854j 0.0205116+0.004961j 0.0170033-0.0248568j 0.0183232-0.0378624j -0.0145119+0.0151311j -0.0140763-0.0112911j -0.00599482-0.00100566j 0.0076602-0.00981798j -0.0248208+0.0180771j 0.0121708-0.00884053j 0.0187946-0.0143787j 0.0183342-0.0199563j 7.78796e-05+0.00101621j 0.0113616+0.0101138j 0.0368446-0.0131199j -0.018922+0.0133536j 0.00482766-0.00289636j -0.0238234+0.0222676j -0.0136298+0.034472j -0.0250748+0.00251102j 0.0140656-0.0268654j 0.0248419+0.00885335j -0.00635136+0.0187464j -0.0154359-0.0440925j 0.00949701-0.00304533j -0.00809722+0.0138224j -0.0198894+0.00767976j -0.00280534+0.0180354j -0.0275171+0.0333366j -0.0162177+0.00737836j -0.0028255+0.00059232j 0.0139463-0.0234797j -0.0393932+0.0123579j -0.0137818+0.0181253j 0.0239665-0.0222632j 0.0411032+0.0589421j -0.00183381+0.00139044j -0.0131309-0.00135964j -0.0948279-0.0548117j -0.0417151+0.0976527j 0.0603556+0.0728724j -0.070713+0.0649235j 
0.0454545-0.0068827j -0.00594114-0.0560585j 0.0214355-0.00429579j 0.0110185-0.0230025j -0.027676+0.0129266j 0.00663982+0.0291195j -0.0298354+0.0311162j -0.0143001+0.003363j -0.0448047-0.00368681j -0.000269858-0.0103832j -0.00396828-0.00902514j -0.00952604-0.00398253j -0.00658837-0.0168175j -0.00496942-0.00151357j 0.02023-0.0199653j 0.010752-0.00572916j -0.00800432+0.00759021j -1.76572e-05+0.0295516j -0.0425069+0.00162087j -0.0205915+0.0160846j 0.00650449-0.018025j -0.00837345-0.00954241j 0.0111286+0.00163622j 0.0130901+0.0182024j -0.0127634-0.00613176j 0.0123434+0.00999502j -0.013103-0.0102415j 0.00626648-0.00262695j 0.00772011-0.029364j -0.0324652+0.0105061j 0.00128608-0.00912001j -0.00449209+0.00509316j -0.0226222-0.0164884j 0.00819084-0.0131793j -0.00327249-0.0327263j 0.0119188-0.00761269j 0.0190506+0.0088318j 0.0174337-0.00248113j 0.0163697-0.0261099j 0.00709348-0.0270625j -0.00346182-0.0184751j -0.0227501+0.0202127j -0.0114015+0.0062846j 0.0394689-0.0117206j 0.0181152-0.0126007j -0.0227585+0.00288983j -0.0127385+0.000206526j -0.00792089+0.0142365j 0.0147026+0.0217117j 0.00753247+0.0357975j 0.00993732+0.0548356j -0.0035722+0.0138697j -0.0160575-0.00221j 0.00247361-0.014858j 0.027707+0.0165439j -0.00815595+0.0248907j -0.0091868+0.0293575j 0.0189045+0.00150528j 0.00950189-0.0114933j -0.0143707-0.00478734j -0.0104544+0.00233586j -0.00306853-0.017006j -0.0279382-0.0114144j -0.00802912-0.00932947j -0.0074048-0.00238771j 0.0137317+0.0100967j 0.0170784-0.00978782j 0.0334062+0.0113829j -0.0132815-0.0139318j -0.00220661-0.00331229j -0.00533158-0.00328321j 0.00313741+0.00456235j -0.0317893-0.00816785j 0.00203124-0.0119297j 0.0128+0.00333642j 0.011433+0.000571719j 0.00693383+0.0102116j 0.0116642+0.0658225j -0.025161+0.00651446j -0.00720144-0.0194411j 0.00994994+0.00518053j 0.0112873+0.0419899j -0.0245797+0.0168583j -0.035645+0.00653303j 0.0318689+0.0200522j -0.0272131-0.0312808j -0.042837+0.0317835j -0.0317179-0.0120037j -0.0697682-0.0205088j 0.00289702-0.000922003j 0.00220238-0.00788839j -0.00476046-0.0482804j -0.0538519+0.0192799j 0.0584023-0.0295895j 0.0247053+0.0531211j 
0.00131872-0.101072j -0.101936+0.00099698j 0.0221223-0.0314114j -0.0693776-0.0125607j -0.00354839-0.284265j -0.299805+0.0296779j 0.0102666+0.116533j 0.0745983-0.130964j 0.0617426+0.0540663j 0.0335505+0.2426j 0.196436+0.0693496j -0.06786-0.0363139j -0.0383948+0.046561j 0.0306468+0.017731j -0.356571+0.0713985j 0.112641+0.205307j 0.162295-0.193672j 0.0103089-0.00213943j 0.024645+0.126807j -0.162419+0.0615767j 0.0576206+0.22687j -0.0958657-0.188555j 0.182612-0.183635j -0.250405-0.157403j 0.0326892-0.185498j -0.0587538-0.0530014j -0.067726-0.0205645j 0.0935311-0.0548261j -0.0513571+0.0379063j -0.0239257-0.0307811j 0.0380167+0.0129057j 0.00177692-0.0136131j -0.0420834-0.0299592j 0.022889+0.0164529j 0.0243659-0.0227287j 0.00356056-0.0187032j 0.029642-0.0551336j -0.0121016-0.00442096j -0.0171399-0.0345471j 0.000592299-0.0108582j -0.00497483+0.0358567j 0.0104062+0.0128765j -0.0268055-0.00927073j -0.0526788+0.0236716j -0.0229561+0.0108563j -0.0174977+0.00745703j 0.00872932+0.0316167j -0.0223896-0.0137216j 0.0326508+0.0112065j -0.0236238+0.0212487j -0.0118553-0.0120525j 0.000819098-0.0142345j 0.0315844+0.0275985j -0.0201571+0.0330717j 0.00543828+0.0280975j -0.0130953+0.010911j 0.0171462+0.0182816j 0.0295003-0.0110717j -0.0313806+0.00617672j -0.0127703-0.0162056j -0.0355414-0.0190482j -0.00631972+0.0185028j 0.00734997-0.0196656j 0.0104618+0.0146153j 0.00235428+0.010463j -0.00108657+0.0281993j 0.009789-0.0326236j -0.0110128+0.0291498j 0.000765684-0.00772409j 0.0368552-0.00130917j 0.0204354-0.00707812j 0.0196742+0.0103207j 0.0117827-0.00772834j -0.00281018+0.0225413j -0.0119112+0.00276583j 0.0143436-0.0234959j -0.000300271+0.0100906j -0.0342675-0.0191871j -0.00415552-0.00327855j 0.0107391-0.0124194j -0.0165705-0.00315886j 0.00456011+0.0121462j 0.0325064-0.00500272j -0.0136193-0.0162485j -0.00258923+0.0112852j -0.0128583-0.015533j -0.0315811+0.0144496j -0.017883-0.0277382j -0.0111273-0.00434665j -0.0361014+0.0538235j 0.0480628+0.039842j -0.0178343+0.00200496j 0.00505509+0.0205476j -0.0459095-0.0113841j 0.00989164-0.0470317j 
0.0246366+0.0885988j 0.0801203-0.0300372j -0.0262002-0.0799574j -0.0849456+0.0194125j -0.00396475-0.0122803j -0.00197894-0.0122999j -0.0215718+0.0172647j 0.0414367+0.00746773j 0.0041099+0.0133401j -0.0153999+0.0517194j 0.0142048+0.0463102j -0.0474825-0.00632486j -0.0406532+0.00810419j 0.0109535+0.0132215j -0.0598859+0.0235268j 0.0321561+0.0468323j 0.0337775-0.0471926j 0.017511-0.0175251j -0.0125432+0.0619632j -0.0488646+0.0211367j 0.00592994+0.0177296j -0.0473735-0.0272679j 0.0715736-0.0463115j -0.085472-0.0207501j -0.0130883-0.151501j -0.0959467+0.0154517j -0.050724+0.0343985j -0.0609562-0.021907j -0.0623862-0.100051j 0.0194857+0.0157426j -0.106209+0.0231138j 0.027446-0.0382809j 0.00348022+0.00737874j 0.0481542-0.0363766j 0.00110105+0.057448j 0.0351537+0.113063j -0.0823473-0.00782229j 0.0161467-0.0599829j 0.0246891+0.0219307j 0.0185022+0.0217378j 0.0176332-0.084087j -0.100702-0.0679229j 0.105192+0.00765653j -0.0181528+0.0011609j 0.00897702-0.0492172j 0.0631449-0.044482j -0.0431429-0.0214614j 0.0544994-0.0618777j -0.0182453-0.0372782j 0.0529704-0.0352401j 0.0203718+0.0795625j 0.0065491-0.0198813j -0.0776222+0.0216197j -0.0182234-0.0294j 0.0235178-0.00501305j -0.00124375+0.00408838j -0.000602051-0.0361646j -0.00526629+0.0310448j 0.0105882-0.0110885j -0.00860313+0.0218022j 0.00713077+0.0398515j -0.00205086-0.0132732j 0.0132721+0.0202905j 0.0243007-0.0135354j -0.0403297+0.0163625j 0.0250229-0.036835j -0.0378552+0.0344441j 0.0550619-0.025444j 0.0207685+0.0397798j 0.0319192+0.0101147j -0.0184876+0.0121556j -0.0147744+0.0129045j -0.0207958-0.0154963j 0.00391914-0.0286999j 0.00204005-0.00185383j -0.00021885+0.0339629j -0.0202604-0.0190816j 0.0319857-0.0161868j 0.00257322+0.0196623j -0.00278992-0.0329589j 0.0136036+0.0269183j 0.00364011+0.0591641j -0.0426984+0.0583019j 0.016953+0.0129966j -0.0261577-0.0341427j -0.0298012+0.0430572j 0.0289727-0.0200745j 0.0440676+0.0387763j 0.0225247+0.00270953j 0.0276454+0.0323939j 0.0241984-0.0262854j -0.0289058-0.00500523j -0.0248998-0.00962446j 0.0523922+0.0377732j -0.0401962+0.0563784j 
-0.0369385+0.05877j 0.064414+0.0379626j -0.0932056-0.0167551j -0.0496043+0.102605j 0.0404251-0.0383429j -0.00785124-0.0802414j -0.015086-0.0289594j 0.0898756+0.0794573j -0.033976+0.0248934j -0.043495+0.0379028j -0.045627+0.030007j -0.0185957-0.0265467j -0.0201517+0.00780343j 0.0281753+0.00411684j -0.0172987+0.0510109j 0.0153121+0.0143604j 0.0152498+5.94392e-05j 0.00786454-0.0572792j 0.0208759+0.0760011j -0.0626179+0.00329208j -0.0114329+0.02629j -0.127097-0.0317149j -0.0368464+0.0028681j -0.0793911+0.0617694j 0.0417751-0.138505j -0.0863688+0.00327669j -0.0581033+0.0116935j -0.0137375-0.0141479j -0.0263136-0.0640347j 0.108842-0.0696324j -0.130282-0.0777234j 0.047518-0.0865856j 0.076093+0.0718309j 0.0301698+0.0211137j -0.0372531+0.00773256j 0.194417+0.156772j -0.139363+0.0627373j 0.0937722-0.195139j -0.0320451-0.00081453j 0.00680022+0.0979877j 0.103298-0.0825823j -0.0216318-0.106489j 0.158312+0.0420219j -0.0760291-0.0154614j -0.0125862+0.0144226j 0.11747+0.00249426j -0.0180691-0.0116629j 0.10782-0.0784078j 0.0242389+0.0436008j -0.025742-0.0992644j 0.0446735+0.0625704j -0.0863349-0.0972315j -0.0462717+0.0515893j 0.009945+0.0223046j -0.00918087-0.0314535j 0.00643101+0.0547476j 0.0121768-0.0658748j 0.0221328+0.0664412j 0.0980099-0.0392823j -0.0132126+0.101174j 0.0471564+0.0540375j -0.0126047+0.0698677j -0.0283216+0.0457291j 0.0140865-0.0654767j -0.0225084-0.0178365j -0.0111994-0.04092j 0.00419091+0.00476789j 0.0220161-0.0360852j -0.00083118+0.0230264j 0.0037482-0.00528405j -0.0150206-0.0228166j -0.0418939+0.0394732j -0.0426646+0.0309958j -0.0162464-0.0626396j -0.0264806+0.0466627j -0.0165257+0.00832347j -0.0412598-0.024566j -0.0292151+0.0125754j -0.013988+0.0387617j -0.037676-0.0274067j 0.00726418+0.000102228j 0.00846923-0.0174106j -0.00850879+9.8149e-05j 0.0380763+0.0338409j 0.0993159+0.0119363j 0.0329784-0.0681973j 0.0196756-0.0102165j 0.0516951+0.00614635j 0.0219807+0.0139834j 0.0199266-0.0904725j -0.0877476-0.0135968j -0.0366124+0.0655571j 0.0699105+0.0502076j 0.0245908+0.0677668j -0.0513341+0.0205825j 
0.0895868+0.0375736j 0.0379718-0.103522j 0.106263-0.0489977j -0.0443537-0.143963j -0.00936307+0.000341694j 0.0163368+0.0417565j -0.0661641+0.0120098j -0.093104-0.0391735j 0.0114612-0.0666702j 0.0403233-0.0256487j 0.0442106-0.000287516j 0.00431156-0.0299471j -0.0355896-0.0376525j -0.0168568-0.00939811j -0.0351849-0.00151337j 0.0224459+0.0407003j 0.025216-0.0318237j 0.00497566+0.0445036j -0.0784432-0.00187847j -0.0334306+0.000446553j 0.0420221-0.00170285j 0.0807622-0.0394319j 0.0146388-0.047329j 0.000753165+0.0371286j -0.0461088-0.0760805j -0.123423+0.013469j -0.0609284+0.140959j -0.101805+0.0412113j -0.0748656-0.217969j -0.132619+0.0970388j -0.0298655+0.153207j -0.0503866+0.017332j -0.137747-0.133408j 0.0767754-0.144132j -0.0558178-0.0689131j -0.00922326+0.027175j 0.0600196-0.12176j 0.0204264+0.0947666j 0.117708+0.0160319j 0.00205154-0.0805884j -0.0293115-0.0885214j -0.249216-0.0134077j -0.149467+0.0138348j 0.119072-0.0839869j 0.0695947-0.143681j 0.0380777-0.151271j -0.138203-0.0837958j 0.0157572+0.0844821j 0.106191-0.0121022j 0.0885329+0.113092j 0.0137899+0.0573772j 0.174638+0.0225064j -0.0832889+0.037978j 0.0153943-0.0301743j 0.0459245+0.0909252j 0.00159333+0.00714861j -0.0824674+0.043897j -0.033969-0.037424j 0.00976384-0.0421717j -0.0326321-0.102801j 0.0115838+0.00604433j 0.029548+0.0108345j 0.00773321+0.00604176j -0.0199697+0.0164733j -0.0041263+0.0133069j -0.00874694-0.0501008j 0.000111948-0.0137204j 0.0466304-0.0632961j 0.0107134-0.00694036j -0.0172151-0.0085302j -0.0420542+0.032485j 0.00576529-0.0301014j -0.0216515+0.0122531j 0.0119651-0.0298322j 0.044367+0.020259j 0.0654755+0.0185295j 0.0561229-0.000949087j 0.0094646+0.0469104j -0.0334545+0.0403644j -0.0155922+0.0180548j 0.018768+0.0327897j 0.0113785+0.0199743j -0.0488437+0.00880068j -0.00798542+0.0675784j 0.0478877+0.0414802j 0.0381321-0.0016098j 0.00118545+0.0382529j -0.0497334+0.0102811j 0.014799-0.029216j -0.0126601-0.0229579j -0.0272296-0.000893924j -0.0256009-0.107191j -0.0811676+0.0209583j 0.0671743-0.0378897j 0.0349213+0.0672421j 
-0.0353646+0.00880098j 0.010528+0.0489636j 0.0264222+0.0671345j 0.0495566-0.0482125j 0.0631797-0.0160372j -0.0313682-0.0330608j 0.0228963+0.0128005j -0.0688716-0.0405345j 0.064959-0.048677j 0.00518169-0.0301316j 0.0430843-0.00238543j 0.0307925+0.000904488j -0.00876923-0.00814804j -0.0189353-0.00137885j -0.0368873+0.00362069j -0.00135936+0.0147379j 0.0141763-0.0167252j 0.0127548-0.00316271j 0.0153796-0.0163825j 0.0418858-0.00935015j 0.00946189+0.016601j 0.0847-0.0082212j -0.0123345-0.0340108j 0.0142327-0.00962529j -0.0516026+0.0159789j -0.0422815+0.0155534j 0.0307202+0.0657354j -0.0206468+0.0410063j -0.0472544-0.0458151j -0.0408288+0.0685064j 0.0313777+0.115374j -0.0439128+0.0450597j -0.084404-0.0707487j 0.0397858-0.0486803j -0.0341907-0.0188874j -0.0455255-0.0583848j 0.0661335-0.102562j -0.0408758+0.0854693j 0.0237658-0.00399901j -0.00994416-0.0377659j -0.0360998+0.0238314j -0.0715107-0.00751509j -0.0924428-0.0136192j 0.0129483-0.0221149j 0.0145234-0.0517578j 0.00104153-0.0380203j 0.00575908-0.0584246j -0.00760968+0.0308263j 0.0751381-0.0113739j -0.0164806-0.00149869j 0.0134224-0.0974828j 0.131686-0.00558138j -0.00310581-0.0216434j -0.00676992+0.0152298j 0.00885834+0.0688453j 0.00703956+0.0221298j -0.0183548+0.0121254j -0.0819766-0.0774937j -0.025251+0.0214697j -0.0379737-0.0375992j 0.0124036-0.0488825j -0.00876011-0.00341767j 9.02343e-05+0.00491306j 0.0267143+0.0300598j 0.0619437-0.0199214j -0.0203829-0.00134909j -0.0189509-0.0138716j -0.0347898-0.0155122j -0.00273132-0.00714125j -0.012617-0.0306609j -0.0106716+0.00778888j -0.0295292-0.01812j 0.0563971-0.0262122j 0.0208773-0.0218744j -0.0396101-0.0286429j -0.0232976-0.0338607j -0.000958758-0.0213949j -0.0135997-0.102585j 0.0547478+0.023759j 0.0126008+0.0420888j -0.0711012+0.0577398j 0.0187974-0.0462629j -0.0104659-0.0811993j -0.0375117+0.056768j 0.00836535+0.0202974j 0.048526+0.0297226j 0.105553-0.0459017j 0.0441486+0.026727j 0.0829896+0.0491517j -0.0138078-0.0438745j -0.0302852+0.0129527j 0.0644072+0.0478203j 0.0559598-0.0489839j -0.0443541+0.0423026j -0.0250365-0.042512j 
0.0200579-0.0381037j -0.0461445-0.0240469j 0.000111236+0.0307482j 0.0406131+0.0147455j -0.0103242-0.0239956j -0.0559431+0.000282767j -0.0422318+0.05208j -0.00610307-0.0833044j -0.0294955+0.0251779j 0.029086-0.00300728j 0.026709-0.0558988j -0.00835-0.00957254j 0.0298422+0.000697377j -0.0175446+0.00509239j -0.0199068-0.0388957j -0.00280946-0.000196661j -0.00583383+0.0058605j -0.00491555+0.0470334j 0.0414173-0.0208809j 0.033769-0.0104635j 0.000236465+0.028465j 0.0528351+0.0321944j 0.0253519-0.0416941j -0.00842863-0.0639686j -0.017625+0.0722799j 0.124962+0.0139991j 0.0484303-0.0876992j 0.13234+0.00999187j 0.0729651+0.149528j -0.0333278-0.026871j 0.129754-0.0572173j -0.0273533+0.0745889j -0.0308181+0.0317152j -0.0244995+0.0443257j -0.0120059-0.0534855j -0.0490523-0.188983j 0.0647854-0.0198964j -0.0550166+0.0406334j -0.0646097-0.0789335j -0.0159107-0.031785j -0.0418678+0.0992014j 0.107869+0.0747803j -0.0459153-0.0105642j -0.0308329+0.0616243j 0.0210076-0.000899189j -0.118353+0.108833j 0.141239-0.000426947j -0.0358742-0.000371501j 0.0194702+0.0770072j -0.16952+0.0242925j 0.0164307-0.0178164j -0.0128008-0.02817j 0.111388-0.00725168j -0.0407737+0.0432672j 0.0791015+0.0620042j -0.0487047+0.0319032j 0.0413734-0.0202471j -0.0296577-0.0860877j -0.00667781+0.0340768j 0.00607053+0.0171265j -0.0109417-0.127474j -0.0550206-0.0279394j -0.0155885-0.0547594j 0.0658589+0.0179367j 0.100525-0.0334443j 0.00556753+0.063794j 0.0388543-0.0334432j 0.0130186+0.0611832j 0.00364855-0.0359261j 0.0361776-0.00682225j -0.0270812-0.0527531j 0.0324731+0.0458038j -0.0241793-0.0304152j 0.0410706-0.0711312j -0.00663935-0.0814981j -0.00522626+0.0153714j -0.0697145-0.0401483j 0.0481407-0.0219763j -0.00918561-0.0337263j 0.0530512-0.0201162j -0.0819696-0.00794966j 0.00486786+0.073119j -0.057958-0.0608008j 0.00154331-0.0131069j 0.0265559-0.0691996j -0.0916298+0.0247594j -0.0342132+0.0543443j -0.0118074-0.0551348j 0.0455206+0.0295074j 0.0457689-0.0147793j -0.0156068-0.0504905j -0.0206539-0.0211002j 0.010277+0.00935573j 0.00843558+0.00873121j -0.00825238+0.00906803j 
-0.0388517+0.00708564j 0.0110853+0.0490662j -0.00174506-0.0892478j -0.0928433+0.0104311j 0.00711608-0.000220798j 0.0371526-0.00208098j 0.0111288-0.103426j 0.0111916-0.0455862j 0.108644-0.00556959j 0.0582146-0.0066775j 0.00942805+0.00408708j 0.0257086-0.020616j 0.0142281+0.0183959j -0.00186145-0.0177628j -0.0251976+0.0296636j -0.0341034+0.0186095j 0.0156474-0.0111224j -0.0120749-0.0519761j 0.0833069-0.0198086j 0.0675584-0.0464876j 0.00249967+0.0292288j 0.0878979+0.0630579j -0.0376144+0.00407105j 0.0120467-0.0274832j 0.0540937+0.0258554j -0.0323642-0.0634577j -0.0327574+0.0792704j 0.00550993+0.0360134j -0.0501715-0.0282003j -0.000689702+0.00873232j -0.00171289+0.0865066j -0.0320129+0.0302161j 0.00215461-0.00357051j -0.0176221-0.0225535j 0.00975294+0.0203229j -0.0595087-0.0194012j 0.00502362-0.0565407j -0.0471264+0.0811984j 0.00652332+0.044628j -0.0306748+0.0225874j -0.0365681+0.0469084j -0.0624558-0.0488563j -0.040158-0.00744471j -0.0453647-0.014949j -0.000374631-0.112568j 0.13112-0.023105j -0.0639402-0.0198162j -0.0150504-0.00857271j 0.000408418-0.0462198j -0.0418052+0.0288427j 0.0182121-0.0940917j 0.15299+0.0270781j 0.0713143+0.0392768j 0.0243563-0.00341411j -0.085962-0.0267573j 0.0391627-0.132417j 0.0233532-0.0235156j -0.118996-0.0764202j -0.0524227+0.0150576j 0.0305333-0.0217292j 0.0307361-0.0160814j 0.00774469+0.0586149j 0.0730865+0.0208423j 0.0382661+0.0618001j 0.0201141+0.000332016j -0.00419577-0.0325231j -0.0570378+0.0387586j -0.0340081-0.0165095j 0.000203902+0.0384992j -0.00541853+0.0527827j 0.0108621+0.0444146j 0.0193829-0.0294634j 0.0460381-0.0512027j 0.0389648-0.00649558j -0.0228247+0.0739593j 0.017553+0.0171518j 0.032863-0.0963588j -0.00795405-0.129484j 0.0625328-0.00841229j -0.0110879+0.0534761j 0.0218676-0.0586653j -0.0686291-0.12904j 0.0803261-0.0220924j 0.140212-0.067445j -0.0902953-0.0701327j 0.0293392+0.0459826j -0.0130026-0.023242j -0.0318589-0.084362j 0.129005-0.0974565j 0.0098229+0.0463302j 0.0188009+0.0061132j -0.0880137+0.0457919j 0.0508904+0.0758024j -0.0693883+0.0662906j -0.0513167-0.0837337j 
-0.0035362-0.012065j -0.00530072+0.00850115j -0.0727455-0.0376729j -0.0633336+0.0456174j 0.0344862-0.142821j -0.102102-0.0228165j 0.0482058-0.0107864j -0.00650767-0.0266819j -0.00735779+0.0839673j 0.0679362-0.0520835j -0.0465441-0.0369341j 0.0262173-0.0319106j -0.00158665-0.00505568j 0.0150447-0.0355046j -0.0127363+0.00798445j -0.0201396-0.0191735j 0.0304527+0.042417j -0.0239058-0.00498214j 0.0474175-0.00662624j -0.0104149-0.0324874j 0.0100284+0.0481792j 0.0532186-0.0128731j -0.125248+0.0470186j 0.0891921+0.10869j 0.0267868+0.105526j 0.037942-0.0297268j -0.0605857+0.0567687j 0.0788791+0.0323951j 0.0411391-0.014539j -0.0300257-0.0426057j 0.042325-0.0103067j -0.0367167+0.0269187j -0.0306182+0.0198378j -0.00869753-0.0238776j -0.0369355-0.168758j 0.0906258-0.0545223j 0.0465064-0.0176139j 0.0609592+0.0176869j -0.0473694-0.0652258j -0.0108757+0.000207971j 0.0866451+0.0946044j 0.00844347-0.0518059j -0.112069+0.02992j 0.0162928-0.0867262j -0.0883408+0.0827068j 0.0534606-0.00107496j -0.0380329-0.00900627j -0.0960978-0.00289198j 0.0699392+0.0628312j -0.0385143-0.0411278j -0.0285433-0.0601769j -0.0337845+0.0382562j 0.0801014+0.0475015j -0.0350491+0.0760789j -0.110192+0.0480935j 0.108255-0.0117667j -0.0167157+0.0166867j -0.0113435+0.0750503j -0.0252746-0.064409j -0.0636138-0.0945181j -0.00138694-0.0334575j -0.0107864+0.098697j -0.052808-0.0128645j -0.0366834-0.0469912j 0.0578864-0.0689641j -0.0489559+0.0498044j 0.118297-0.0462428j 0.0202953+0.0629083j -0.141842-0.0575585j -0.0527695-0.0594863j -0.0294232+0.0334161j -0.0610309+0.0536712j -0.0315929+0.0902802j -0.0286207+0.0633375j 0.0518194+0.175553j -0.0394727-0.0329684j 0.0555038-0.0701034j -0.0900295+0.0910221j -0.095298+0.0148702j -0.0605561+0.0695282j -0.00316315+0.0345696j -0.0560844-0.0124988j 0.0650463-0.0583035j -0.0847303+0.0719787j 0.129569+0.132876j 0.068275-0.0608794j -0.0524039+0.0832127j -0.0126855-0.0302442j 0.0624022+0.00438437j -0.127282-0.08432j -0.0939827+0.146685j -0.180622+0.0217319j 0.0300784+0.177665j 0.0182457+0.0429467j -0.0372321+0.0203286j 
-0.00224777-0.0807019j -0.0670963+0.00479729j 0.0487446+0.0739258j 0.0745272-0.0246133j 0.0175489+0.0321455j 0.0297586-0.0357262j -0.0959718-0.0749572j -0.0128051-0.00658109j -0.00336883-0.0986412j -0.0079724+0.00959377j 0.0222614-0.0624192j 0.0602027-0.0648729j 0.0414923-0.0338378j -0.00674572+0.000975937j -0.0133774+0.025331j -0.00977405+0.026118j -0.0139228+0.00951335j -0.0129248+0.0186112j 0.0248591-0.0144364j 0.00717158-0.044663j 0.0103318+0.0243334j -0.0126569-0.0123708j -0.0702696-0.0241055j -0.0797029+0.0204885j 0.0613574-0.037998j -0.0214082-0.0553594j -0.00285841-0.0014914j 0.0271309+0.0192502j 0.00170492+0.0223717j 0.0333458-0.0590546j 0.0235924-0.0113802j -0.00357498-0.0448081j 0.0181207-0.00726555j 0.0191579+0.0217893j -0.0712597-0.0845594j 0.131211+0.0107684j 0.00384576+0.00037811j 0.0712855-0.0770549j 0.0205142-0.00379877j -0.0337056+0.0330655j -0.000401018-0.0590033j -0.00806892+0.0390551j -0.0507237+0.0205963j 0.0013874-0.0078645j 0.106438-0.132438j 0.0532584-0.0308657j -0.0120904-0.0608276j 0.123701+0.0644891j 0.114497+0.175724j -0.147762+0.0443906j 0.136525+0.00104897j 0.0837759-0.112364j 0.0664718+0.120198j 0.0776151+0.0294443j 0.117676+0.00794769j -0.0946641+0.0827052j -0.00502434+0.00113464j -0.0578616-0.158528j 0.166742+0.0102075j -0.00626495+0.0876537j 0.10723-0.0386981j -0.00426884+0.100806j -0.0839619-0.00996412j 0.0511519+0.000899416j 0.0859326-0.0524532j -0.0281446-0.0510301j 0.0142703-0.0547031j -0.0392662-0.058949j 0.0562128-0.0496712j -0.00679967+0.0257707j 8.41443e-05-0.111432j 0.0242988-0.0470587j -0.0294514-0.0368077j 0.033942-0.1898j -0.102767+0.0218445j 0.0743899+0.0105248j -0.00592642-0.0636546j 0.0609525+0.0168308j -0.00438737+0.049468j -0.0219496-0.0124636j -0.0569421-0.067603j -0.0167325-0.12503j -0.0339214-0.0242054j 0.178302+0.0508696j 0.171487-0.106074j -0.00835432-0.113098j -0.0890718+0.028406j -0.091186-0.0620208j -0.0223496-0.122235j 0.0776585-0.160627j -0.129384-0.0938209j 0.0536916+0.0718494j 0.0684766-0.041158j -0.040163-0.0343182j 0.0262323-0.0472066j 
