0.259089+0.156257j -0.157773+0.259151j -0.0997631-0.0338868j -0.031257+0.105379j 0.0768468+0.067595j -0.0851191+0.0277947j 0.115382-0.0767548j 0.0638454+0.15617j 0.0919683-0.020274j -0.03401+0.050333j -0.0412676+0.0613948j -0.00224207-0.101581j 0.0204214+0.0547409j 0.164936+0.0400259j 0.0643514-0.0130712j 0.0881216-0.176485j 0.0223381+0.00518636j -0.0852129-0.0607385j -0.00588906-0.0952885j 0.0761596+0.0269614j 0.00926723+0.0520993j 0.0401905+0.0343214j 0.109135-0.0908888j -0.0771585+0.0832955j -0.0220963-0.0542931j 0.0945061+0.0226365j 0.070679+0.0495339j -0.0878082+0.0499373j 0.000546294+0.0853324j -0.00390974-0.0205005j 0.0840338+0.0145327j 0.068107+0.0882683j -0.00390472-0.00772975j -0.0225297-0.00092853j 0.125743+0.0180121j 0.0851506+0.0540051j 0.0467924-0.0108626j -0.0150336+0.0440562j -0.0768049-0.0214147j -0.084961-0.0127169j -0.0556444+0.0135267j 0.0727816+0.00507471j -0.137657-0.0216482j -0.0377453-0.00512645j 0.0264761-0.0982588j -0.0167378+0.000497773j 0.0377674-0.00760216j -0.0106756-0.0969891j 0.0452794+0.136906j 0.0225752+0.000115117j -0.05995-0.0158345j 0.0321941+0.070805j -0.0125169-0.0459915j -0.0424649-0.11189j -0.0656415-0.0726811j -0.085584+0.0872375j 0.0155073-0.0953648j 0.0626128+0.00752058j 0.0911894-0.142164j 0.0206985+0.00145517j -0.01309-0.0534593j -0.0106687+0.117503j -0.041389+0.019803j -0.129441-0.0275398j -0.0427352-0.0499541j 0.0842615-0.0591041j 0.0216335+0.0368264j -0.0138214+0.0316828j -0.0699874+0.00236434j 0.0988+0.126863j -0.106483+0.106467j -0.0141903-0.00602192j -0.0422016+0.0492809j -0.168092-0.0613515j 0.056895-0.166189j -0.086672-0.268027j -0.268131+0.0855326j 
0.10087-0.065647j 0.0652291+0.100643j 0.0330817-0.237116j -0.241381-0.0320275j -0.0335149-0.0165135j 0.143797-0.0390883j 0.0223688+0.284707j -0.24358+0.000918073j -0.0150394+0.0225083j 0.0710848-0.00766034j 0.0133217-0.0260701j -0.149613+0.0105542j 0.00272262-0.135546j 0.0114843-0.111302j -0.00633095+0.0811772j -0.106342-0.0136139j -0.0771722+0.0147559j 0.0745693+0.00309491j -0.0844579-0.144315j 0.0290066+0.0181382j -0.00593755+0.0867238j 0.0633681+0.0501581j 0.00839977-0.0127631j -0.00222951+0.0715744j 0.054868+0.00144109j -0.0468465-0.11883j -0.0678342+0.0159166j -0.0318018+0.030164j -0.0882518+0.0771004j 0.0414963-0.0993034j -0.0238964+0.011216j -0.0361869+0.0150094j -0.013714-0.0350495j -0.00242039+0.00463029j 0.0758369-0.0333338j -0.00171641-0.0562281j 0.0281319+0.0564127j 0.0146013-0.118444j -0.0331027+0.0351556j -0.0344671+0.0149806j 0.00836808-0.0524751j 0.0690223-0.0520222j -0.042009+0.0409659j -0.02217-0.00258891j 0.0830138-0.00896621j 0.0185603-0.0129152j 0.0601937+0.0267097j 0.0113656+0.0756639j -0.0659049-0.0125834j 0.0209792+0.0233653j -0.0898691-0.0109706j 0.125065-0.0765954j 0.0487495-0.026252j -0.0469992-0.0257807j -0.0323995-0.0550549j 0.044937-0.0134606j 0.00110785+0.0349207j 0.0444083+0.00245315j -0.0749228+0.0246672j 0.108677-0.0121802j 0.07636+0.00333977j 0.115678+0.126795j -0.0261053-0.0695124j -0.0751042+0.0971722j -0.0399551+0.152768j -0.113518-0.0681588j 0.037269+0.0588336j 0.0743917+0.0394345j -0.0725043-0.0394624j -0.230972+0.0904497j -0.0411452-0.270893j 0.160906+0.0544191j -0.077414+0.041624j 0.173083-0.0871868j 0.0843293+0.168291j -0.145538-0.0756167j -0.0754645+0.145039j 
0.0108058-0.0150012j 0.0153576+0.0110699j -0.0170362+0.0165386j 0.0156933+0.0168055j 0.000301153-0.007043j 0.00326327+0.00192315j -0.0155149-0.00496343j 0.00339887-0.0213816j -0.0164787-0.00150663j 0.00660058-0.00654606j 0.0108816-0.00502592j -0.0070657+0.0113315j 0.00858476-0.00927622j -0.0203656-0.0202852j -0.0101647-0.00349058j -0.021296+0.0194887j 0.00623026+0.000783199j 0.00504457+0.0113957j -0.00667415+0.0239192j -0.00987188-0.00197994j -0.0113879-0.0116342j -0.00650483-0.00937433j -0.0237905+0.0114851j 0.0180637-0.00187372j 0.00346492+0.00576697j -0.0145963+0.000286756j -0.00453609+0.00467203j 0.013085-0.0110267j -0.00266234-0.0245249j -0.00829223+0.00763465j -0.0113529+0.000596235j -0.0132179-0.0202155j -0.00515588-0.00585686j 0.00389817+0.000297476j -0.0224949-0.00536693j -0.00989857-0.0187178j -0.00447941+0.0108359j 0.00774291-0.0035753j 0.022101+0.000905548j 0.0112743+0.00322736j 0.00248691+0.00562424j -0.0180387+0.00931293j 0.0202477+0.000823197j 0.00630481-0.000471034j -0.007099+0.0208462j -0.0052032+0.0122218j -0.00604304-0.00190358j 0.00491849+0.0141765j -0.00403411-0.0200879j -0.013671+0.00309873j 0.00230393+0.0155399j -0.0117133-0.0141936j 0.00643849+0.000996079j 0.0194681+0.0109833j 0.014745+0.0115985j 0.0179187-0.0125419j -0.0117996+0.00546464j -0.00810933-0.000297789j 0.00152528+0.0259361j -0.00429931+0.00459307j 0.00836234+0.00440784j -0.0032316-0.0149663j 4.71825e-05-0.0102272j 0.0103843-0.0155689j -0.00952182+0.00419009j -0.00197694+0.000964006j -0.00709582+0.00160637j -0.00314351-0.0105197j 0.0203282-0.00889502j -0.012354-0.0178187j 0.00837086-0.0061888j -0.00732773-0.00721833j 0.0079006-0.0136849j 0.00740192-0.0236156j 0.0241859+0.00813919j 0.0245326-0.00737256j -0.007566-0.0238761j 
0.000732933-0.0212796j 0.0212592+0.000867007j -0.0042451-0.0171058j -0.017145+0.00335267j -0.023913-0.00381715j 0.00246934-0.0304656j 0.0148617-0.00910594j 0.0157147-0.00502339j -0.0171484-0.0134476j 0.00640367-0.0114121j -0.00324799-0.00203319j 0.019243-0.00786565j 0.00697128+0.0341577j 0.0140769-0.000405216j 0.0228762-0.0122432j 0.0191063-0.00221893j 0.00916646+0.00516657j -0.00588687-0.0138095j -0.00535566+0.0104308j 0.00167924-0.00437718j 0.000251696+0.0124506j -0.0196711-0.00501142j 0.00338355+0.00202355j 0.00653682-0.0069106j -0.00735482-0.0121967j 0.00267163+0.0173835j 0.0116469+0.00423432j 0.00749502-0.00181348j 0.000161895+0.00132721j 0.00132513+0.00736763j 0.0035338-0.00216666j 0.00617919-0.00941295j -0.00728795-0.0039048j -0.00513633+0.00783947j -0.00436129+0.00396714j -0.013132+0.00337368j 0.00230137-0.0144739j 0.0022792+0.0208772j -0.00073147+0.00787086j 0.00154412-0.00810601j -0.00358354+0.0126704j 0.00808783+0.00732038j 0.0131711-0.00711379j -0.0036454-0.00189318j -0.0108548+6.64462e-05j -0.00476396-0.00342459j -0.00169823-0.00302376j 0.00772619-0.00265033j 0.0133168-0.00666471j 0.00553785+0.00786592j -0.000215347+0.00393407j -0.0112208+0.0151809j -0.0171639-0.000908776j 0.00062488-0.0126603j 0.00642723+0.0013488j -0.0173868-0.00728445j -0.00393715+0.00905485j -0.0106848-0.0120134j 0.00934602+0.00770195j -0.00572578-0.0036889j 0.0113841+0.000509067j -0.0222666-0.00150395j 0.0107578+0.00710116j 0.021588-0.016505j 0.00197398-0.0225055j 0.00478734+0.0120722j -0.0111123-0.023083j -0.0137419-0.00160911j 0.00864599+0.00856403j 0.00999145-0.0137281j 0.0179633-0.00441455j 0.0188087+0.0137822j -0.00559537+0.0156187j 0.0176062+0.00584668j -0.00637868+0.0182584j -0.0135311-0.0215261j -0.0217571+0.0135394j 
0.00786559+0.00596611j -0.00598163+0.00779721j 0.0248558+0.00823395j 0.00799827-0.0251745j -0.0158682+0.0232061j -0.0290645-0.0118188j -0.00577717-0.0141498j -0.00319366-0.0149693j -0.0169427+0.00116357j 0.0225504-0.00862549j 0.00591792-0.0350868j 0.0181339+0.0100925j 0.00378539+0.00881237j -0.0156969-0.0119104j 0.00675002+0.00180933j -0.00535867-0.00976317j 0.0166801+0.00406522j -0.00362023-0.0210086j -0.0156112+0.0099558j -0.00483054+0.00982958j 0.00539835+0.00140441j 0.0107622-0.00756049j 0.00400268-0.00599217j -0.0127238+0.0117169j 0.01818-0.00516525j -5.89693e-05-0.0075132j 0.000463788-0.00320888j -0.0136933+0.00464747j -0.00406734-0.00271741j -0.00301859-0.00427497j 0.00353299-0.00136029j -0.00258066-0.00322439j -0.00790302+0.00662388j -0.0164038+0.00624758j -0.00843115-0.0056733j 0.00847555+0.00353065j 0.00577948-0.000579058j 0.00460737-0.00764649j -0.0131665-0.00614913j -0.00316153+0.00335074j -0.00458208-0.0140699j -0.00176581-0.00374968j 0.00600956+0.000760081j -0.0141929-0.0138708j 0.00331449+0.0064926j -0.00876943-0.00325078j 0.0029577+0.00160707j -0.00195726-0.00262076j 0.0021043+0.00820892j 5.40049e-05+0.000779491j -0.00815549-0.00568631j 0.00342317-0.00359654j -0.00595644-0.0142232j -0.00544452-0.00417101j -0.0048211-0.00448201j 0.00505821-0.00477136j 0.0106759-0.0139524j 0.00140144-0.00712905j 0.0128234+0.00747706j 0.00512034-0.0209114j 0.0169538-0.0102923j 0.0125295+0.0131004j -0.0189035-0.00958877j 0.00728865-0.0121409j -0.00869729+0.0250821j -0.0238215-0.00231793j 0.00302898-0.0271842j -0.0206809-0.0160298j 0.0237158-0.00625184j -0.000794281-0.0129576j -0.00822025-0.00885569j 0.0159203-0.0312176j 0.0294755+0.0140217j -0.0131364+0.0226244j -0.0216102-0.0129549j 0.011764+0.000317768j 0.000408632-0.0118091j 
-0.0235813-0.00692419j 0.00663545-0.0235266j 0.0171085-0.00506798j -0.00447001-0.0175868j -0.00790096-0.00376106j 0.00725957-0.00740482j 0.00450729+0.00665951j -0.00347323+0.00162863j 0.00196757+0.000933183j -0.00124188-0.00119931j -0.00588481-0.00218j 0.00690705-0.000445994j -0.00612894+0.00562231j -0.000812374+0.0104278j 0.00223249+0.000446055j 0.00855618+0.00193988j -0.00485041-0.00122346j 0.00197292-0.0036953j 0.00502257-0.00555212j 0.000110557-0.00299026j 0.010077+0.00616207j -0.00312307+0.00290308j 0.00572134+0.000304308j -0.0041921-0.00859799j -0.00315657-2.89697e-05j 0.00461827+0.000900732j -0.00110164-0.00847927j 0.0012106+0.00370419j 0.0019401+0.0111383j 0.006222-0.00181305j 0.000763899-0.00296368j 0.0037129+0.00362145j 0.00295325+0.00424456j -0.00074967+0.00202191j 0.0031798+0.00177254j -0.00299521+0.00875428j -0.000630939-0.0093562j -0.00250065+0.00353948j -0.00851951+0.00270892j -0.000547415-0.00165446j 0.00356203-0.0024558j 0.00896797-0.00708969j -1.13069e-05-0.00102491j -0.000871817+0.000819317j -0.000192945-0.00409856j 0.006271-0.00614734j -0.000791889+0.00181773j -0.0015828-0.00341068j 0.000510095-0.000121919j 0.00659353-0.00124572j 0.00339848-0.00858357j 0.00300207+0.00484582j -0.00599225+0.00398291j -0.0103888-0.000233127j -0.00207554-0.001581j -0.00706102+0.000856643j 0.0055167+0.00690906j -0.00286945-0.00238448j -0.00477971-0.00537643j 0.000596587-0.000386388j -0.0035219-0.000250245j 0.000134306-0.000541203j 0.00534947+0.0043888j 0.00466158+0.0107325j 0.0085906-0.000507074j -0.00517888+0.00471437j 0.00289272-0.00406167j 0.00349539+0.00147718j -0.00622931+0.0070317j 0.00425238+0.000512901j 0.00462468-0.000713268j 0.0049243+0.00410558j 0.000922222+0.00323646j 0.0117258+0.0187375j -0.0182071+0.0112422j -0.00216125+0.0227543j 0.0225635+0.0020809j 
-0.0165335+0.00191382j -0.00228426-0.0166702j 0.0133187+0.0118788j 0.0122979-0.0134398j 0.0037465+0.0044045j -0.00548208+0.00799517j -0.00369125-0.00309481j -0.000882231+0.00171251j 0.00594794+0.00616165j -0.00572649+0.00318752j -0.000862383-0.000156017j 7.33536e-05+0.00444764j -0.00759977-0.00613325j -0.00624295+0.00701298j -0.00699403+0.00296753j -0.00172089+0.00113417j -0.00402966-0.00227556j 0.000487498+0.00207618j 0.00499674-0.00214612j -0.00185995+0.00148308j 0.0066787-0.00828619j 0.0077399+0.00160218j 0.00126872-0.00119223j -0.00683746-0.0017044j 0.00280654+0.00634982j 0.000577639-0.00625818j -0.00616784-0.00559278j -0.00137914+0.000749161j 0.00699991+0.00147395j -0.000291455-0.00153841j -0.00175007+0.00047248j -0.000226741+0.00567501j 0.00386794+0.00290485j 0.00283805-0.00283545j -0.000651519+0.000161965j 0.0057842+0.00330818j -0.00382945+0.00115049j -0.00217063-0.00335627j -0.00231826-4.75803e-05j 0.000982525+0.00341057j 0.00247029-0.00692457j -0.00587126-0.00766162j -0.00272455+0.00162291j 0.0013195-0.000635949j 0.000884529-0.000872911j 0.00416329-0.00362337j -0.000713483+0.002253j -0.00601897-0.0019694j -0.00226935+0.00175774j -0.000374537-0.00470894j 0.00131623-0.00356966j 0.00175057-0.00428037j 0.00545938+0.00373236j -0.00110686+0.00996323j -0.00257172+0.00123995j 0.00402198+0.00446174j 0.00397692-0.00289982j -0.00146397+0.00224464j -0.00590438-0.00131824j -0.000756458-0.00178487j -0.00598099+0.00153694j 0.00664904-0.00663651j -0.00188431-0.00202784j 7.70928e-05+0.00486455j 0.00258055+0.00525983j -0.0041533-0.00174546j 0.00260494+0.000789872j 0.0021697-0.00269159j 0.00215913-0.0023054j 6.71602e-05-0.0011055j -0.00191104+0.00792004j -0.010912-0.00435517j 0.00603158-0.00715282j -0.00934961+0.00364589j -0.00346905-0.00937851j 0.00609565+0.0113057j 0.0109763-0.00633559j 
-0.00836354-0.00510812j 0.00464246-0.00820045j 0.00918838+0.00616206j 0.00639871-0.00990035j 0.00235509+0.00723624j -0.00436471+0.00256133j 0.00388984+0.00176253j -0.00569281+0.00564429j 0.00528633+0.00462833j -0.00308547+0.00432659j 0.000761533+0.00160224j 0.00212849+0.00164889j -0.00247283+0.00696279j 0.00476339+0.00362632j 0.00324007-0.000961836j 0.00230792-0.00795517j -0.00415659+0.00232159j -0.00270463-0.00322116j -0.00316912-0.00577313j 0.00406772+0.000337679j 0.00544492-0.000493853j -0.00035233-0.00253362j 0.002893-0.00536113j -0.00791136+0.00409158j 0.00534522+0.000268745j 0.000736736-0.00485585j -0.00367817-0.00166108j -0.000489619+0.00313142j 0.00796431+0.000508419j -0.00155954+0.00178219j 0.0019687+0.00273521j 0.00568439+0.00247315j -0.00175031-0.00546364j -0.001136-0.00166767j 0.000422862+0.00334008j 0.00556318-0.00310178j -0.000231973+0.0010314j -0.00113313+0.00458847j -0.00287528+0.00938767j 0.000411762+0.000687076j -0.00258426-0.00411945j -0.00450229-0.00389695j 0.00030618-0.0029938j -0.00127253-0.00326824j -0.00258549-0.0009708j 0.00190383-0.00556359j 0.00115155+0.000909928j -0.00376947-0.00183243j 0.0065973-0.000339695j -0.00337245-0.00258146j -0.00680118+0.00130029j 3.35837e-05-0.0050521j 0.00512533-0.00243606j 0.00708464+0.00213582j -0.000909396+0.00211254j -9.36904e-05+9.53997e-05j -0.00603172-0.00475567j -0.00284001-0.00203581j -0.00284916+0.00607429j -0.00522055-0.00069711j 0.00520716+0.00450327j -0.000599958-0.0074036j 0.00104635+0.000583988j 0.00597413-0.00465073j -0.000837765-0.00230003j -0.00194883-0.00337611j -0.00324181-0.00441619j 0.000279975-0.000926471j 0.00674963-0.00217665j -0.00759517-0.00886491j 0.00581592-0.00282322j -0.00233025-0.000367544j 0.00394164-0.00475649j -0.00658409-0.0141952j 0.013597-0.00665002j -0.00980187-0.0115406j -0.0121653+0.00971939j 
0.00424677+0.0145974j -0.0145349+0.00386845j -0.0197123-0.00734216j -0.00745608+0.0208493j 0.00486086+0.0132838j -0.0147765+0.0107962j -0.016668-0.00394758j -0.000652161-0.0146644j -0.00801017+0.00167561j -0.00105478-7.80443e-05j 0.00522494+0.00389278j -0.0102554+0.00428694j -0.00837079-0.00811572j 0.00138484-0.00381178j 0.00240652+0.00921533j 0.0043953+0.000216222j 0.0042043-0.00209336j 0.00384846-0.000641284j 0.00564047+0.00025523j 0.00694652+0.00856476j -0.0227226+0.00772174j 0.00546441-0.00732486j 0.00331495+0.00364247j 0.00308869+0.00284924j 0.00690878-0.00152239j -0.0030457+0.00925404j 0.00868211+0.00690916j -0.0103324-0.00475958j -0.0116382-0.00819403j -0.00486832+0.00359569j 0.00572055+0.00637265j 0.000985815+0.0137858j -0.00500785+0.00154813j -0.00323048-0.00675868j 0.000250888+0.00147971j -0.0032892-0.00594684j 0.00737291+0.00746331j -0.00505025-0.00382073j 0.00119987-0.0124456j -0.000262466+0.000820086j -0.000565862+0.00295725j 0.00197257+0.0140428j -0.00508916+0.0107196j -0.00271732-0.00176444j 0.00668575-0.00483j -0.0057035+0.00487376j 0.00462763-0.00414004j 0.00568137+0.00163476j 0.00656486+0.00254836j 0.00610651+0.0062217j 0.00933046+0.00257371j -0.00532694+0.00530265j 0.000889349-0.00850133j 0.00424959-0.0100046j -0.0010729-0.00387099j 0.0047009-0.00154061j -0.00260286-0.00851392j 0.0121787+0.0044186j -0.00314993-0.0048518j -0.00171197-0.00943922j -0.000865625-6.02566e-05j 0.00188406+0.00878143j -0.00748149+0.0108761j -0.00895498+0.00646481j -0.000626975-0.00646184j 0.00933063-0.001537j 0.00056197-0.00144943j -0.00675818+0.00981114j -0.00941772+0.00563481j 0.0178016-0.00187042j 0.0015198+0.0068642j 0.0143837-0.00282443j 0.0042967+0.0208104j 0.0133383+0.00683276j -0.00620695+0.0133995j -0.00793199+0.00664446j 0.00708592+0.00762539j 
-0.0105457-0.00358896j 0.00328947-0.0103928j 0.00574228-0.000184698j 8.51392e-06-0.00620391j 0.00532218+0.015128j -0.0134175+0.00695087j -0.00266634-0.00207546j -0.00608868-0.000836812j -0.00282698+0.012039j -0.0182737-0.00127832j 0.00454006+0.0203089j -0.00727992+0.0144128j -0.0177536+0.00868302j 0.00643546-0.000947755j 0.0145985-0.0005518j 0.00193632-0.00177843j -0.0114941-0.00314275j -0.00675594-0.00315523j -0.00165462-0.0135587j 0.00300912+0.00666521j -0.00831451-0.00376169j 0.00509407-0.00865266j 0.00883189-0.00690934j -0.00942825+0.00305314j 0.00529683+0.00409872j -0.0025186+0.00461918j 0.00278182+0.00715755j -0.00446475+0.000186516j 0.00817204+7.88444e-05j -0.00970265+0.00513956j 0.00564961+0.0085723j 0.00290578+0.0133059j 0.000146089-0.00474947j 0.0036409-0.0128925j 0.00226789+0.00219642j 0.00557876-0.00531925j 0.00562797+0.00993887j -0.00230768+0.0059376j 0.00123395+0.00301882j 0.00393567+0.00244473j -0.0031692-0.00407333j -0.00686892+0.00199239j 9.70033e-05+0.000562682j 0.000137591-0.00399768j -0.0028457-0.00221625j 0.00421419-0.00167843j 0.00698932+0.00370901j 0.00232793-0.000970335j 0.00628944+0.00322901j 0.00190979+0.00245372j 0.00356763+0.00495087j -0.00440263-0.00396078j 0.0170627+0.00101228j 0.0152437+0.00144767j 0.00302871-0.00243005j 0.00523905+0.00375547j -0.00521903-0.00559937j -0.00523804+0.00277058j -0.00640931+0.00864318j -0.00491687-0.0103513j -0.00180108+0.00907489j 0.00256673-0.0147061j -0.000328065-0.00147528j 0.00887646-0.000372182j -0.00867501-0.0110459j 0.00682045-0.00704382j -0.00997989-0.00390736j -0.00234147+0.0143114j -0.000732287+8.71867e-05j -0.00236004-0.0167625j 0.00981109-0.0017096j 0.00429289-0.00955228j 0.0162241+0.0036281j -0.0043883-0.00350878j 0.00339747-0.00427411j -0.0135041-0.0110181j -0.0113979+0.0133608j 
0.00555233-8.63383e-05j 0.000216209+0.00550729j -0.00639026-0.00565246j -0.00587702+0.00659276j -0.00899628+0.000784475j -0.00198616-0.0148273j 0.0125294-0.00104061j -0.00134018+0.00516194j -0.00422228+0.00590633j -0.00564544-0.00123175j 0.0099809-0.00122054j 0.00632413+0.0175971j -0.00824664+0.00511207j -0.0131274-0.00506559j 0.00213919-0.0054847j -0.00519029+0.00915192j -0.00142821-0.00447159j -0.00732839+0.00508421j -0.000825807+0.00401227j -0.00223526+0.00441622j -0.00513407-0.00632037j 0.00214688-0.00657016j -0.00058453-0.00438796j 0.00132548+0.000948535j -0.00842187+0.00312401j 0.00581983+0.00511315j 0.0058436+0.00281638j 0.000213242-0.000234678j 0.00604241+0.000224561j -0.00123563+0.00109416j -0.00411914-0.000290446j -0.00431663+0.00370961j 0.0050908+0.00556841j -0.00134197+0.00026058j 0.00360923-0.00149755j 0.00562757+0.00485164j 0.00666933-0.00535328j 0.000948665+0.00254642j -7.9853e-05-0.00507635j 0.00245234-0.00365744j -0.000281301+0.00629378j -0.00516798-0.00327398j 0.00410583-0.00267528j 0.00177128+0.00535215j 0.00120228+0.00367045j 0.000809978+0.0051818j 0.00671772+0.00378289j 0.00323355-0.00266388j -0.000969111+0.00875724j 0.00387996-0.00209305j 0.00522065-0.00259398j -0.00365656+0.001211j 0.000384323+0.000238143j -0.00361539+0.00208116j -0.0014885-0.00393448j -5.33126e-05+0.00785132j 0.0106636-0.000404758j -0.00589533+0.00549179j 0.00683182-0.00378525j 0.000602778-0.00722729j -0.00702837-0.00459418j 0.00374952+0.000354072j -0.00457577-0.00898098j -0.00727974-0.000816093j -0.0148051+0.0016656j 0.00595738-0.0112824j -0.000839577+0.0126223j 0.0083627+0.00626537j -0.00309913+0.000921725j -0.00257334-0.00695831j 0.0102898+0.00224118j -0.00968818+0.00600941j -0.00102729-0.00916864j 0.00297251+0.0139035j -0.0133418+0.00285708j 0.00640442-0.0012843j -0.00114516-0.00633481j 
