-0.000855283-0j -6.29976e-06-0j -7.55971e-05-0j -7.12736e-05-0j -8.76442e-05-0j -0.000740697-0j -0.0051317-0j -0.000743685-0j -0.00649114-0j -5.16448e-06-0j -2.34778e-07-0j -0.000429367-0j -0.00342113-0j -0.00049579-0j -6.32517e-06-0j -6.19738e-05-0j -0.000302388-0j -4.38221e-05-0j -0.00420692-0j -4.08288e-07-0j -0.000665172-0j -0.00460845-0j -0.0410536-0j -0.00594948-0j -1.28599e-08-0j -0.0381616-0j 
0.000864146-0j 6.36504e-06-0j 7.63805e-05-0j 7.20122e-05-0j -8.60315e-05-0j 0.000748373-0j 0.00518488-0j -0.000730002-0j 0.00655841-0j -5.06946e-06-0j 2.37211e-07-0j -0.000421467-0j 0.00345659-0j -0.000486668-0j -6.20879e-06-0j -6.08335e-05-0j 0.000305522-0j -4.30158e-05-0j -0.00412951-0j -4.00776e-07-0j -0.000652933-0j -0.00452366-0j 0.041479-0j -0.00584001-0j -1.26232e-08-0j -0.0374594-0j 
0.00586303-0j 0.00017548-0j 0.0010474-0j 0.00148642-0j 1.72844e-05-0j 0.0102624-0j -0.000743685-0j 7.25644e-05-0j 0.0444973-0j 2.04764e-06-0j 9.82665e-06-0j -8.85683e-07-0j -0.00049579-0j 4.83763e-05-0j 1.87761e-06-0j 1.83968e-05-0j -4.38221e-05-0j 4.2759e-06-0j -8.67789e-06-0j 2.0256e-07-0j 0.000131179-0j -9.50615e-06-0j -0.00594948-0j 0.000580515-0j 8.94269e-09-0j -7.87184e-05-0j 
-0.00473805-0j -0.000141809-0j -0.00084643-0j -0.00120121-0j -0.000981316-0j -0.00829328-0j 0.000600989-0j -0.00411982-0j -0.0359593-0j -0.000116254-0j -7.94113e-06-0j 5.02844e-05-0j 0.000400659-0j -0.00274655-0j -0.000106601-0j -0.00104447-0j 3.54136e-05-0j -0.000242763-0j 0.000492685-0j -1.15003e-05-0j -0.00744767-0j 0.000539709-0j 0.00480791-0j -0.0329586-0j -5.07719e-07-0j 0.00446922-0j 
-0.0034201-0j -0.000102363-0j -0.000610985-0j -0.000867076-0j 0.00138646-0j -0.00598641-0j 0.000433816-0j 0.00582071-0j -0.0259568-0j 0.00016425-0j -5.73221e-06-0j -7.10445e-05-0j 0.000289211-0j 0.00388047-0j 0.000150611-0j 0.00147569-0j 2.55629e-05-0j 0.000342988-0j -0.000696091-0j 1.62483e-05-0j 0.0105225-0j -0.00076253-0j 0.00347053-0j 0.0465656-0j 7.17332e-07-0j -0.00631435-0j 
-0.000981316-0j 0.00208758-0j 0.00405905-0j 0.0117269-0j 6.6983e-05-0j 0.0397705-0j 6.15856e-05-0j -1.21453e-05-0j -0.00744767-0j 2.43595e-05-0j 0.000195583-0j 7.33446e-08-0j 4.10571e-05-0j -8.0969e-06-0j 1.48132e-05-0j 0.000145139-0j 3.62897e-06-0j -7.15672e-07-0j 7.18628e-07-0j 3.22082e-06-0j 0.000508365-0j 7.87217e-07-0j 0.000492685-0j -9.71628e-05-0j 2.13778e-07-0j 6.51878e-06-0j 
0.000858652-0j -0.00182663-0j -0.00355167-0j -0.0102611-0j 0.00400044-0j -0.0347991-0j -5.38874e-05-0j -0.00072536-0j 0.00651671-0j 0.00145483-0j -0.000171135-0j 4.38038e-06-0j -3.59249e-05-0j -0.000483573-0j 0.000884694-0j 0.0086682-0j -3.17535e-06-0j -4.27422e-05-0j 4.29188e-05-0j 0.000192358-0j 0.0303612-0j 4.70152e-05-0j -0.000431099-0j -0.00580288-0j 1.27675e-05-0j 0.000389323-0j 
0.00684206-0j 5.03965e-05-0j 0.0012158-0j -5.92608e-06-0j 9.97979e-06-0j -6.15856e-05-0j 0.0410524-0j 8.46814e-05-0j -0.000539709-0j -6.11205e-09-0j -1.95207e-08-0j 9.82898e-05-0j -0.000284452-0j -5.86757e-07-0j 1.44794e-06-0j -7.33446e-08-0j 0.00730738-0j 1.50734e-05-0j -4.9788e-06-0j 4.64906e-08-0j -7.87217e-07-0j 0.000524751-0j -0.00341342-0j -7.04109e-06-0j -1.52194e-11-0j -4.51634e-05-0j 
-0.0059868-0j -4.4097e-05-0j -0.00106383-0j 5.18532e-06-0j 0.000596026-0j 5.38874e-05-0j -0.0359208-0j 0.00505745-0j 0.000472246-0j -3.65032e-07-0j 1.70806e-08-0j 0.00587019-0j 0.000248895-0j -3.50431e-05-0j 8.6476e-05-0j -4.38038e-06-0j -0.00639396-0j 0.000900234-0j -0.00029735-0j 2.77657e-06-0j -4.70152e-05-0j 0.0313399-0j 0.00298674-0j -0.000420517-0j -9.08951e-10-0j -0.00269731-0j 
-0.000354176-0j 0.000753447-0j 0.00146499-0j 0.00423247-0j -0.00499865-0j 0.0143539-0j 2.22274e-05-0j 0.000906354-0j -0.002688-0j -0.00181784-0j 7.05897e-05-0j -5.47339e-06-0j 1.48183e-05-0j 0.000604236-0j -0.00110545-0j -0.0108311-0j 1.30976e-06-0j 5.34074e-05-0j -5.3628e-05-0j -0.000240356-0j -0.0379371-0j -5.87466e-05-0j 0.000177819-0j 0.00725083-0j -1.59533e-05-0j -0.000486468-0j 
-0.00586462-0j -4.3197e-05-0j -0.00104212-0j 5.0795e-06-0j -0.00060097-0j 5.27877e-05-0j -0.0351877-0j -0.0050994-0j 0.000462608-0j 3.6806e-07-0j 1.67321e-08-0j -0.00591888-0j 0.000243816-0j 3.53338e-05-0j -8.71934e-05-0j 4.41672e-06-0j -0.00626347-0j -0.000907702-0j 0.000299817-0j -2.79961e-06-0j 4.74052e-05-0j -0.0315998-0j 0.00292579-0j 0.000424005-0j 9.16491e-10-0j 0.00271968-0j 
