-0.260151-0.143156j 0.081676-0.252395j 0.140697+0.0081385j -0.0454815+0.161183j -0.100013-0.103206j 0.0316693+0.02237j -0.00284672+0.0688234j -0.0450339-0.0214357j -0.0385232-0.0347233j 0.0116928+0.0209143j -0.0161684-0.0717319j 0.00813343-0.0578564j 0.0448473-0.0150395j 0.00652041+0.0419695j -0.00126204-0.0478634j -0.0931849-0.063755j 0.00580422-0.00470386j -0.0317235-0.0819273j 0.00676778+0.009447j 0.014887+0.0213169j 0.0246836+0.0341078j 0.0228623+0.0596228j 0.000555878-0.0214624j 0.0285877+0.0213692j -0.0132021-0.000559567j -0.0238061+0.0153016j -0.0211965-0.0148183j 0.0104858-0.0346421j 0.00750628+0.000130371j -0.00608683+0.0117084j -0.0127498+0.0190687j -0.0395268-0.0304558j 0.0277349+0.0129258j -0.00172385-0.0434682j 0.0348917+0.0590876j -0.0593818+0.00131013j 
0.1076-0.331794j 0.443311+0.0440647j 0.0469608+0.292514j -0.11841-0.0751653j 0.0454848-0.0580854j -0.0556238-0.0929693j -0.0349625+0.00585954j 0.0116846-0.0621606j 0.00350306-0.0634777j -0.0124809-0.0220512j 0.0573349-0.0410903j 0.00995424+0.0450077j 0.049485+0.0362025j -0.0842926-0.0592399j 0.0305705+0.0591507j 0.0462376-0.0561991j 0.0196582+0.0442194j 0.0394649+0.0332716j -0.040231-0.0709131j 0.043452+0.0265486j -0.00400744-0.0104651j -0.0224604-0.0169813j -0.0132481+0.00806554j 0.00694021+0.00898718j -0.0260884+0.0162497j 0.0120585+0.0235188j 0.013568+0.0107894j -0.000538162+0.00386305j -0.0122071-0.0225844j 0.0269247+0.0309802j -0.0319655-0.00226895j -0.00562374-0.0346326j -0.0446254-0.012081j 0.0287384+0.0624663j 0.0162745+0.00897881j 0.0433441+0.0111271j 
-0.257562+0.0316699j -0.0210609-0.338575j 0.255781-0.0114739j -0.000301141+0.0810327j -0.0129593+0.04275j -0.116151+0.0127841j -0.0204762-0.00212664j -0.0225691-0.0575954j 0.0294131-0.039091j 0.0349488+0.0760986j -0.00841192-0.0340847j -0.0165896-0.0374905j 0.0209891+0.00208146j 0.0030345-0.0166349j 0.0153039+0.000470711j -0.0141003-0.0524285j -0.016047+0.011455j 0.00508131-0.019208j -0.0296317-0.0503703j 0.0685136+0.0083039j 0.0159685+0.0181302j 0.00313186-0.0269163j 0.0084133+0.0106075j -0.0280392-0.000124056j 0.0166125-0.0239462j -0.0150066-0.0293631j 0.0418384-0.02354j -0.00953337-0.00766233j 0.0135098+0.018331j 0.00401031+0.0147408j -0.0058677+0.00252219j -0.0327149-0.00867027j -0.0152676+0.0114781j 0.00843689+0.0152573j 0.0211812-0.00303772j 0.0156253-0.00897001j 
0.180887+0.0192209j -0.0883773+0.223726j -0.0333103-0.0966455j 0.100465+0.11585j -0.000192022-0.11647j -0.0453503+0.0255756j 0.0721596+0.132804j 0.0335454-0.0643029j 0.04466-0.00847958j 0.0415094-0.116057j -0.00993235-0.0822535j 0.04677-0.0602749j 0.0359606+0.123383j -0.0343409-0.0240931j 0.043078-0.0193102j -0.172804-0.223448j 0.0275949+0.00736053j -0.00492279-0.106321j 0.0360644-0.0175264j 0.0309711+0.0363918j -0.0246513+0.0112366j -0.0249742+0.0996724j -0.0120079-0.0117403j 0.048062-0.0297962j 0.03507+0.0271314j -0.0414616+0.0274549j 0.00115472-0.0049435j 0.0218823-0.0227622j -0.0220027+0.0294171j -0.0250595+0.0523661j -0.0399941-0.0157483j -0.0594298-0.0371644j 0.00160893+0.0655856j 0.0700035+0.0588212j 0.0870586+0.119415j -0.0933402+0.0212127j 
0.0445812+0.220604j -0.14305-0.0773088j 0.2066+0.0106763j -0.00707355+0.0301214j 0.188285+0.0421895j -0.21968-0.14341j -0.0526061+0.136458j 0.0187383-0.0574897j 0.0735113+0.0421503j 0.0363527+0.0486296j -0.000886338-0.0323217j -0.039527+0.035605j -0.0235666+0.0852034j 0.00209155-0.0336185j 0.0403649+0.110855j 0.131637-0.0558112j 0.000344602+0.00188615j 0.0934971+0.167288j -0.0400271-0.0688201j 0.0215956+0.0598922j -0.0302089-0.0307359j -0.0363382-0.0328579j 0.0479309+0.0477834j -0.00117454+0.0126762j -0.0430338-0.00674603j 0.0280317+0.0381799j 0.0430196+0.0411147j 0.029164-0.00136803j 0.0315164-0.0153875j -0.00874482-0.00560069j -0.0414785-0.113001j 0.0401035-0.0240409j -0.0308236+6.72669e-05j 0.0502011+0.0896918j -0.0186281-0.0373375j 0.107207-0.00385049j 
-0.0640576-0.0619139j -0.0611711+0.0205439j -0.0191921-0.10967j 0.0623342+0.0397297j -0.228343-0.236731j 0.203333+0.150407j 0.182979+0.19381j -0.0984141-0.119214j -0.00680177-0.0682094j 0.0161935+0.00431599j -0.0666488-0.0568316j 0.027073+0.0379167j 0.0759637+0.0720603j -0.0427213-0.0284968j -0.096812-0.0380566j -0.10476-0.106055j -0.0288407+0.00471626j 0.0396859+0.00628676j -0.0257857-0.0248901j 0.0643883+0.0219367j -0.015479+0.00539429j -0.00453062+0.0395562j 0.0331784-0.0208714j 0.0129235+0.0277199j 0.0284312+0.00147441j 0.0399511-0.0193478j -0.00953901-0.00480816j 0.0145648+0.0133475j 0.0159563+0.024792j 0.0141778-0.010015j -0.00207397+0.0220455j -0.0547014-0.0730187j 0.0237627-0.0151374j -0.0341257+0.0161228j 0.0473285+0.00608652j 0.0174382-0.00675823j 
-0.118305-0.0989274j -0.167538+0.0815062j -0.170226+0.00181949j -0.310569+0.304028j -0.0414275-0.232641j 0.436168-0.276585j -0.179053+0.290747j -0.0433158+0.0966021j -0.106326+0.0319464j 0.00810019-0.0738748j -0.0124582-0.0296552j 0.00379747-0.0176402j -0.0415692+0.00917214j 0.00864288+0.0343217j -0.0682185+0.105072j -0.0529503+0.0101585j 0.00542286-0.0293961j -0.0899422+0.00626995j 0.0748763+0.0105474j -0.079414+0.0540574j 0.0496978-0.00710266j 0.0027482+0.011917j -0.0274202+0.00985987j 0.0256358-0.0383258j 0.00824469-0.00872254j -0.0421922+0.0183258j -0.0154613+0.02109j -0.0124533+0.00584394j -0.0159916-0.00424028j -0.0508772+0.00868593j 0.0475363+0.000420595j 0.00913607-0.0063358j 0.0272747-0.0112991j -0.0468405-0.0124936j -0.0155335+0.0508497j -0.0660716+0.048628j 
0.0191092+0.10607j -0.017556-0.0221116j 0.00616737+0.0227022j 0.0209155-0.169048j 0.0147055+0.281712j 0.112901-0.00167031j -0.0432818-0.257139j -0.0408488-0.0386279j 0.0762759+0.0262516j 0.0380907+0.0671937j -0.0173351+0.021703j -0.00619519-0.0658349j 0.046048+0.0269389j -0.054966-0.0045308j -0.135198+0.0544031j -0.117676-0.0490114j 0.0426964+0.00939546j -0.00289625-0.0289315j -0.0289599+0.0256691j 0.0123432-0.0679476j 0.0300219+0.00992762j -0.0122568-0.030123j -0.0141583-0.0489667j 0.00260568+0.00755674j -0.019135-0.0157755j 0.00474198-0.0316304j 0.0278788+0.00165236j 0.00661855+0.00581319j 0.00941903+0.00086677j 0.00516371-0.00168257j -0.00760896+0.0104482j -0.0237469-0.0015178j 0.0129729+0.00216132j 0.0103639-0.00511228j -0.00373991-0.0449741j 0.00377457-0.0271343j 
0.0405542-0.0581548j 0.0296373+0.0805423j 0.00716126-0.0799184j 0.174387+0.0685132j 0.0309971-0.242409j -0.178735+0.0368252j 0.0296941+0.179379j 0.0573117+0.026058j 0.0221677-0.0475834j -0.0296204+0.0804849j 0.0339349+0.064196j -0.00402209+0.0796082j -0.0353374-0.0404377j -0.0041309+0.0590349j 0.024341-0.0238889j 0.0259448+0.135292j 0.00563356-0.00298875j -0.0342119+0.0398665j -0.0229763+0.0216646j 0.0141987+0.0645121j -0.0079857-0.0229007j 0.0347981-0.0117773j 0.00504014-0.00883083j -0.0243671+0.0701052j -0.0325599+0.024669j 0.0286993-0.0625362j 0.025894-0.0252596j 0.0117968-0.00933141j 0.0288232-0.00462568j 0.0333447-0.00986602j 0.0653269+0.0648645j 0.00363812+0.0152682j 0.00270348-0.06131j -0.0751572-0.0814669j -0.0802761-0.126538j 0.140183-0.0481995j 
-0.0849357-0.00629609j -0.0272752-0.0297107j -0.136815+0.0293501j -0.0897706-0.157506j -0.194112-0.0971616j 0.202115+0.144589j 0.183624+0.0802615j -0.162444-0.0732998j -0.119182-0.0262674j -0.0543427+0.0742324j -0.0700314-0.0188481j 0.0230838+0.0775919j -0.00979776+0.013619j 0.0409282+0.0107276j -0.0692746-0.0166891j 0.247091+0.12245j -0.0608367-0.0501205j 0.162579+0.224225j -0.0418396-0.0537629j -0.0245636+0.00973456j -0.010506-0.0266484j -0.0410125-0.0525743j 0.0154096+0.0217741j -0.0108725+0.0232324j -0.0101927+0.00841244j 0.0461254+0.0252567j 0.0240354+0.0206434j -0.0165987+0.0123705j 0.0276147+0.0238513j 0.0170731+0.0169295j -0.00149794-0.103273j 0.0418755-0.0488411j 0.0177249-0.0204887j -0.0159923+0.0690547j -0.035328-0.0788362j 0.110854-0.031038j 
0.0206696+0.0226253j -0.0400989+0.0722608j -0.0584472-0.00271833j 0.02506-0.0428946j 0.0138078+0.0304957j 0.0351508-0.0165886j -0.0175088-0.0342117j -0.13532-0.0408348j -0.043402+0.0372526j 0.100529+0.211845j 0.0760931+0.0273876j -0.00986976-0.240479j 0.0188229+0.121081j 0.00502694+0.227845j 0.0022879-0.0208715j 0.0503743+0.0357038j 0.0212794-0.056612j -0.00182765+0.0195903j -0.1031-0.0210278j -0.0205055+0.0784204j 0.00139788-0.0213085j -0.015838+0.0473713j -0.00504519-0.00212456j 0.0127646+0.0259615j -0.0395925-0.0370131j -0.00150547+0.000518921j 0.0308641-0.0054369j 0.00171919+0.0342755j -0.0145908+0.0398891j 0.0314376+0.0228198j 0.0484368+0.0137528j -0.0329052-0.108825j 0.0668957+0.0266848j -0.0160497-0.0341794j -0.0144951+0.00440674j -0.0173107-0.0207371j 
0.00101429+0.0256738j -0.0165091+0.0169681j 0.030897-0.0397853j -0.0116381+0.0905476j -0.00760074+0.0492761j 0.0911313-0.026888j -0.038684-0.0547361j -0.00886155-0.175183j -0.12435-0.10834j 0.0462722+0.104777j -0.0777784+0.110291j 0.0209178+0.0536224j -0.0399398-0.0163752j -0.388412-0.271622j 0.0291+0.076908j 0.0245047+0.0098561j 0.0965241+0.120149j -0.0358466-0.119667j -0.0296781-0.185175j 0.0265951+0.0299235j -0.00187777+0.0157235j 0.0348294+0.056617j -0.0255275-0.0055559j 0.0302702+0.0323923j 0.0590858-0.0246272j -0.0208397-0.0359462j -0.0195297+0.00912804j 0.00414469-0.012984j 0.0135749-0.0181406j 0.0335593+0.0060667j -0.0245308+0.0611303j -0.00033396-0.0222184j -0.0716364-0.0195152j 0.00768951+0.0583941j 0.0379666-0.00992667j 0.0362916+0.00522188j 
