0.0446367+0.0248877j -0.122563-0.119443j 0.0301701+0.0839488j -0.0250439-0.161836j -0.0165383-0.0229123j -0.0213392-0.162049j 0.0541266-0.00667865j 0.0331892-0.0969463j -0.0407812-0.0861294j 0.109326+0.00412406j -0.0472817-0.0575612j 0.316109+0.254941j 0.121941-0.333987j 0.126852+0.0241007j -0.207697-0.16838j 
0.12076+0.115919j 0.0495876+0.0360252j -0.0643899-0.12593j -0.00279921-0.184494j 0.0471226+0.034489j 0.0180166-0.044414j -0.0198487+0.10416j -0.104785+0.0251532j 0.0455075-0.0150088j 0.071432+0.160561j -0.0246692+0.0497277j -0.0883975+0.216073j 0.293216+0.319725j -0.190535-0.204438j -0.139826-0.0610524j 
-0.13314-0.00897067j -0.0468127-0.0158272j 0.0770416+0.053187j -0.0219382+0.0160211j -0.035754-0.0603785j -0.0387152+0.0415234j -0.0149854-0.0655949j 0.0888089+0.0784235j -0.0748894-0.0205112j -0.197255-0.145792j -0.0846624+0.114212j 0.0878166-0.199473j 0.271627+0.0906781j 0.186548-0.147349j -0.188764-0.00807937j 
0.0575602-0.031315j -0.193792-0.0194036j 0.0466272+0.04453j -0.0420437-0.0672232j -0.0606707-0.0913054j -0.134189+0.0328192j -0.0637444+0.0728559j 0.0461508+0.204748j -0.00911806-0.0343503j 0.187954+0.00298343j -0.0217488+0.0661778j 0.0294605+0.276018j -0.198971+0.00991243j -0.0627854+0.172405j -0.0968725+0.0526005j 
0.132322-0.0813219j -0.0283418-0.0168031j -0.0519596+0.0319265j 0.193317+0.113712j 0.00928037+0.0575197j -0.00771277-0.108985j 0.0530097+0.112562j -0.154264-0.0239888j 0.0836144+0.0763857j 0.0810604-0.102007j 0.081317-0.105266j 0.0914337+0.0203066j 0.149861+0.0528824j -0.223152-0.0973744j -0.302726+0.107836j 
0.145403-0.0407991j -0.00987817+0.0434659j -0.0724284-0.0861448j 0.0671662-0.0700072j 5.14675e-05+0.0828438j 0.096415-0.093002j 0.0872457-0.106166j -0.135321-0.126551j 4.87959e-05+0.00912738j 0.0155943+0.315559j -0.0848445-0.0917744j 0.0183349+0.0841892j -0.229332-0.215053j 0.0822083+0.235561j 0.245743-0.212056j 
-0.0427116+0.0385572j -0.0285414-0.0128959j 0.0837117+0.00644269j -0.0359462+0.0809232j 0.214299+0.0288801j -0.00245184-0.154284j 0.0204156-0.0773752j 0.0312681+0.126543j 0.1645-0.0338268j 0.291296-0.0208868j -0.0689794-0.180015j -0.0480895-0.194014j 0.0978002+0.230975j -0.258708+0.257159j 0.157608+0.202167j 
0.119658-0.0866898j 0.0370791-0.0619378j -0.0345452-0.0658985j 0.0118857+0.0690866j 0.0730442+0.0177518j 0.0726314+0.0842471j -0.116071-0.0870878j 0.00784409-0.1505j 0.190146+0.125928j -0.0626035+0.268883j -0.0841501-0.149767j 0.221061-0.167121j 0.227586-0.0204174j 0.0456406-0.0324785j -0.0338672-0.227916j 
-0.0636761+0.0237881j -0.00175566+0.0851749j -0.0353384+0.017313j 0.118863-0.156701j -0.0558129-0.0152129j -0.18719+0.000995511j -0.106172+0.0710965j 0.166447-0.0434942j 0.219185+0.136459j -0.0732016+0.0315547j 0.0476985-0.249037j 0.15296+0.127341j -0.216028-0.080081j 0.00821734-0.00531132j 0.0827302+0.214212j 
-0.000788157-0.0388722j 0.0139403+0.0222199j -0.122913+0.126364j 0.0736003+0.140246j 0.0691879+0.213241j -0.179976+0.150247j -0.0659123-0.253156j 0.184671+0.168058j -0.0412899+0.261373j 0.191616+0.139104j 0.262869+0.146354j 0.0286125+0.0996989j -0.0524959+0.105736j 0.074032+0.0800309j 0.0446988-0.0574901j 
-0.0841654-0.0414078j 0.0196606-0.0217284j 0.152725-0.315904j -0.0199878-0.144207j 0.197345+0.104068j 0.177671+0.137258j -0.0326434+0.0669772j 0.0526168-0.243331j -0.0395822-0.0576065j 0.19209-0.122346j 0.26692-0.00554664j 0.0300195+0.21622j -0.125114-0.194037j -0.0174205-0.0329359j -0.00203778+0.0973375j 
