0.0107528+0.00509647j 0.0194114-0.00542771j -0.0202124+0.000224729j 0.017934+0.00557184j -0.00935047-0.0017763j -0.00972635+0.00824156j 0.0255362+0.0011171j 0.0251227-0.00603842j -0.000311021-0.00248763j -0.0512077-0.01013j -0.0362998-0.00235049j -0.0016554-0.00956789j 0.0186855+0.00240065j -0.85164-0.00346912j 0.127922+0.0216335j 
0.0197884-0.00570689j -0.0111961-0.00557558j 0.000404842+0.00605467j 0.0347253-0.001938j -0.00446815+0.00272862j 0.039513+0.00644226j 0.00107462-0.00308953j -0.0369829-0.00349036j -0.0116463-0.000922912j -0.00367986+0.00178319j 0.0312624+0.0113681j 0.00453899+0.00495016j 0.116919-0.00644024j -0.128161-0.0200931j -0.839199-0.00299753j 
0.0107494-0.00716352j -0.0209751-0.00450851j 0.0119053+0.00565409j 0.00808099+0.000227034j 0.0170426+0.00290133j 0.0183244+0.00777578j -0.0042085-0.00347112j 0.0063158+0.00264668j -0.00837374+0.00329445j 0.0359311-0.00871724j 0.0513225-0.00524478j -0.11668+0.00728383j 0.627489+0.0176079j -0.0310721-0.00461236j 0.0467154+0.00614359j 
-0.020554-0.00844226j -0.0154592+0.00724135j 0.0105674+0.00631017j -0.0317631+0.00699166j 0.016744-0.00445829j -0.0616443+0.00150765j -0.0233905-0.012072j 0.0132691+0.011109j 0.0810861-0.00304458j -0.00968506+0.00663105j -0.0710735-0.0132756j -0.541345+0.000254039j -0.000491483+0.0147539j 0.0229036-0.00112162j -0.0882423+0.000168532j 
0.0057754+0.00564105j 0.0077395+0.000314697j -0.01527-0.00495045j 0.000901604+0.00407196j 0.013212+7.7754e-05j -0.0138269-0.00569372j 0.0689814-0.0156487j 0.0675553+0.00236324j -0.0791366+0.00228399j -0.174667-0.0078846j -0.256214-0.00715634j -0.0180635-0.00271886j 0.0609718-0.00514772j 0.0946919-0.0021399j 0.0814742-0.0026526j 
-0.00892094-0.00462203j -0.00283396+0.00214851j 0.0127873+0.00186848j -0.0354289-0.00193249j -0.00518177+0.00616621j -0.0307134+0.00195308j -0.014662+0.0102189j -0.0666392-0.000342468j 0.0241348+0.00434408j 0.222432+0.0065106j -0.187388+0.000355447j 0.0806818+0.0037452j -0.0310867+0.00704451j -0.0577068+0.00422371j -0.134975+0.00357138j 
-0.015076+0.00480399j 0.00486304+0.000911729j 0.00197476-0.00304272j -0.00165718+0.000999433j 0.027822-0.00951354j 0.03565-0.00844255j -0.0439029-0.00602411j -0.00374585+0.00315297j -0.0481447-0.00296615j -0.0956566+0.000566502j -0.0823706-0.0132096j -0.174428+0.00543713j -0.457882+0.00469133j -0.268442+0.0148134j -0.123176-0.0061739j 
-0.00109588+0.00217398j 0.0182617+0.00273002j -0.0123938-0.00454626j -0.0610982+0.000768574j -0.0282597+0.00580724j -0.0731739-0.00635526j 0.0228878+0.0029338j 0.0985147-0.00120892j -0.00961918+6.38127e-06j -0.0797718-0.00746972j -0.0183038-0.00343971j 0.106075-0.00623764j -0.109512+0.0156476j 0.0551768+0.00978638j -0.307151+0.018479j 
-0.0102188+0.00208737j -0.0115624-0.000682774j 0.0415195-0.00851134j 0.000616496-0.00893075j 0.0138962+0.00965009j -0.0711769+0.00284105j 0.132376-0.000365563j 0.173163+0.0119006j 0.0689627+0.0190105j 0.105343-0.00643949j -0.0108954+0.0109146j 0.0789107+0.0103253j -0.16632-0.00254311j -0.134076+0.00388469j -0.000142423-0.00743636j 
-0.00556574-0.0021106j -0.0117195-0.00132437j 0.0295662-0.000922812j 0.000134576-0.00364874j -0.0205675+0.00807563j -0.0129566+0.00124333j -0.124088-0.00133766j 0.0651342+0.0025923j 0.0288753+0.00833742j 0.0454902+0.00291082j -0.0489275+0.00180438j 0.0353243+0.00916101j 0.0288724-0.00670998j -0.0948306-0.000267969j 0.0901086-0.011467j 
0.0175294+0.0163801j 0.0350652-0.0138194j 0.0146601-0.0135025j 0.117182-0.000464421j 0.00776161-0.0119097j 0.132761+0.00970347j 0.0134973-0.00408182j -0.0251661-0.00302395j -0.0474555+0.00505025j -0.256019-0.0096254j -0.0422483-0.0145335j 0.354058-0.00731102j 0.139558+0.00187994j 0.111607+0.00474902j -0.135885+0.0138061j 
0.00853156-0.00102567j -0.0120122+0.00583449j -0.0434928-0.00132551j 0.0547344+0.00599054j 0.0256651+0.00631739j -0.020643+0.0102133j -0.0181221-0.00222424j 0.0939318+0.000571293j 0.061746+0.00997869j 0.11535-0.00248j -0.0593645+0.00415621j -0.23884-0.00560376j -0.24575+0.0105777j 0.14065-0.00972384j -0.0355851+0.0152387j 
0.0175556-0.0112304j 0.0121969-0.00738208j 0.0395913-0.0263437j -0.110863-0.00719089j 0.101083+0.0111376j 0.0385371+0.000865374j 0.0130214+0.000799656j 0.189832+0.00472584j -0.0335794-0.00160907j 0.0820118+0.000630913j -0.121517-0.000184896j -0.0311708+0.0021213j 0.216461-0.00844393j -0.0772694+0.0101289j -0.0342337-0.007626j 
0.0308557-0.00464976j -0.023835-0.0290529j 0.133082-0.01106j -0.0500289-0.014854j 0.0950876+0.00331428j 0.176175+0.0154084j -0.0836766+0.00217427j 0.102752-0.014595j -0.143233-0.00139985j 0.120813-0.0123923j 0.185487+0.00204323j -0.200172+0.00214965j -0.270134+0.00349163j 0.0907769-0.0130923j 0.0739792+0.00925661j 
0.0127887+0.0174445j -0.00695413-0.00303868j 0.0176523-0.00384702j 0.028923-0.00379418j 0.0280415-0.00471136j 0.02748-0.00514705j 0.0555935+0.00845584j 0.145488-0.00679428j -0.134727+0.00513096j -0.108185-0.00289746j -0.15977+0.00576893j -0.555747-0.00256658j 0.193485-0.0160651j 0.0285224+0.0090538j -0.0339047-0.00174694j 
-0.00179879-0.00226695j -0.0174827-0.00508976j 0.045519+0.00394662j -0.062619-0.00205957j 0.00062629-0.00222007j 0.0255+0.00204279j 0.0723117+0.00166347j 0.0218235-0.00328291j 0.101619-0.00430632j 0.182474+0.00107862j -0.83403+0.00514719j 0.108541+0.000902465j -0.0290039+0.0014441j 0.0386601-0.00802624j 0.0275229-0.000489439j 
0.0353232+0.00880622j -0.0120122+0.0029798j -0.0276738+0.00279598j 0.0546619+0.00775892j 0.0182057-0.00733564j 0.165082-0.00305823j 0.0330579-0.00292418j 0.0675908+0.00135956j -0.227676-0.00174727j 0.796561-0.00464118j 0.0977234-0.0071505j 0.0326832-0.00624876j 0.0480588+0.00148459j 0.00459778+0.00383368j -0.0343685+0.0058381j 
0.00333468-0.0052225j 0.0160429+0.00394054j -0.0513306+0.00280946j -0.0093852+0.00270917j 0.0883504+0.00322567j -0.0839688-0.00133048j -0.0569968+0.00116415j -0.156254+0.00422086j -0.884857+0.00213768j -0.123196+0.00416601j -0.104108+0.00314224j 0.0331662+0.00211647j -0.0256558+0.00256878j -0.0139258-0.000584434j 0.00887254-0.0017757j 
-0.01898+0.001874j 0.0285407-0.0046116j -0.0393912-0.00949899j 0.168034-0.00272338j -0.0469982+0.00333443j 0.122844+0.000277524j 0.108216+6.39949e-05j -0.857404+0.00104111j 0.0940749+0.00454971j 0.0874288-0.00566967j -0.0504193-0.000270838j -0.117238-0.000773334j -0.0263051-0.000618298j -0.00925211+0.00413095j 0.0146819+0.00118349j 
0.0142+0.00174755j -0.013806+0.00127208j 0.000355978-0.000527161j 0.0794464+0.000367159j 0.128894+0.000330238j 0.0772549-0.00103179j -0.91578-0.000269157j -0.0467254+0.00122269j 0.0754539+0.00098124j 0.00700193-0.000677009j -0.084326+0.00258458j 0.0187172+0.000924728j 0.0225035-0.0020129j -0.00553044+0.00121746j -0.00462589+0.00217483j 
0.0211916-0.00302823j 0.0481236+0.0061352j -0.116056+0.000541341j 0.0673105+0.00120984j -0.186816+0.00153286j 0.87649-0.0030928j 0.055764-0.000167105j 0.123892+0.00515321j -0.0132223-0.0020705j -0.100148+0.00248562j -0.0283277-0.000792727j -0.0085359+0.0022897j -0.0144196-4.16942e-05j -0.0188432+0.00432309j 0.00618831-0.00288885j 
-0.048791-0.000291778j 0.00540197-0.00194417j -0.00285015-0.0024243j 0.0711638-0.00163586j -0.919957-0.00111437j -0.14962-0.000582468j -0.127455-0.000944728j 0.0531822+0.000579743j -0.0884141+3.52452e-05j 0.0348472+0.00104685j -0.0115091+0.000552867j -0.036452+0.0016733j -0.0038496+0.000543514j 0.00539195-0.001143j 0.00605673-0.000675575j 
-0.0353934-0.00444483j 0.0854407-0.000191913j -0.358098-0.00299378j 0.841738-0.00270278j 0.099307+0.0035235j -0.108676-0.00153119j 0.0378093+0.00114581j 0.143748+0.000317912j 0.00857465+0.000841411j 0.0140417+0.00198996j -0.0332708+0.00236434j -0.0197904+0.00215285j -0.0100559-0.00095041j -0.00243694+0.00213115j 0.00733177-0.00393134j 
-0.154807-0.00134775j 0.0408307-0.00636664j -0.854515-0.00434963j -0.348328-0.00414083j 0.0111096-0.00127646j -0.015774+0.000863737j -0.0295849-0.000665043j 0.00661299-0.00338449j 0.0200198+0.000377012j 0.0157543+0.00101359j 0.00229081+0.00154541j -0.0035835-4.73885e-05j -0.00396994+0.00179628j 0.00616174-0.00382036j 0.00693142-0.00119434j 
-0.123685+0.00791967j -0.940361-0.00359974j -0.0375296-0.00484015j 0.0523995+0.00162192j 0.00243749-0.00442239j 0.0273207-0.00378164j 0.013028+0.000130179j -0.00209857-0.000332342j -0.0117378+0.00113689j -0.0142244-0.00141448j 0.00216142-0.00199613j 0.0161497-0.0022669j 0.00715371-0.00252306j -0.00486047+0.00396359j -0.00896902+0.00220309j 
-0.93522-0.00231394j 0.11435-0.00813426j 0.124071-8.61564e-05j 0.0102606+0.000791431j 0.031201-0.000286551j 0.0229663+0.00547615j -0.0059546+0.00186911j 0.0127489-0.00160593j -0.0100914-0.00113054j 0.0192778-0.0051983j 0.00456177-0.000441079j -0.00654459+0.0010468j 0.01154-0.00220768j 0.00886105-0.00220779j -0.00490015+0.00353183j 
