0.0101584-0.0156284j -0.131605-0.106494j -0.0203804-0.136779j -0.0198411-0.00495881j 0.00520999+0.0409507j 0.0280124+0.0729892j -0.0106885-0.0418888j 0.0338763-0.0433649j 0.0215783+0.00707221j -0.00958959-0.0193889j -0.0189974+0.0222098j -0.00942366-0.0213308j 0.00155433-0.00515688j -4.64762e-05-0.0605204j -0.0104508-0.00308016j 0.000662393+0.0141808j 0.00594427+0.00977792j -0.0115742+0.0210339j 0.0196834+0.0114352j -0.00915268-0.00828973j 0.0236148+0.00816803j 0.00915414+0.0379798j 0.011713-0.00341785j 0.00238846-0.0249316j -0.0162061-0.00666031j -0.00285064+0.0100227j 0.0261452+0.00690588j -0.00155658-0.0190247j 0.01549+0.0137877j -0.0140595-0.00453987j 0.0145633+0.00417136j -0.000885949-0.00350093j -0.00236935-0.0202273j -0.000737771-0.0055927j 0.00260806+0.0142304j 0.018176+0.000732355j -0.011976+0.0149685j -0.00542878+0.00108534j 0.00347342+0.000548363j 0.0136227-0.000115513j -0.0209425-0.00603215j 0.000639582-0.0143844j 0.0227608+0.0116848j -0.0130315-0.00503188j 0.00744623+0.00939045j 0.0150172-0.0149968j 0.00038233+0.00767759j 0.0270961+0.0205996j 0.0328599+0.00559132j 0.00555929+0.00475768j -0.0110001-0.0107903j 0.020788+0.0269694j -0.0128761-0.000639388j -0.0109182-0.027351j -0.00115458-0.00306962j -0.0287538-0.0192163j -0.0693991-0.0285459j 0.00926525+0.0416382j 0.0091269+0.0281943j -0.0395003+0.0190539j 0.00327475-0.0388096j 0.0486785-0.0230769j -0.0166239-0.0800272j 0.0315186-0.0663065j 0.102538+0.0230352j 0.412059+0.0895106j -0.0180784+0.338574j -0.0134663+0.0210286j -0.180472+0.160068j 
0.118053+0.0916697j 0.0335486-0.00520826j 0.0107743+0.0208492j -0.0133496-0.107109j -0.0346475-0.00598751j 0.00462336-0.0231066j 0.0152484-0.0848686j -0.00579948+0.0174202j 0.0292559-0.0103952j 0.0116484-0.0030977j -0.0092196+0.0191732j 0.0111083-0.00354144j 0.00856833+0.0502598j 0.0113661-0.014673j 0.0223435-0.00908594j 0.00802953-0.00613802j -0.00749775-0.00145807j -2.27145e-05+0.0205647j -0.0010807+0.00611078j 0.0216037-0.00512519j 0.00590024+0.00768041j -0.0217966+0.00622902j -0.0062356+0.000272965j 0.00086801+0.0102896j -0.00712157+0.00375975j 7.87512e-05+0.0172356j -0.0114169+0.00203657j -0.00143642-0.00259581j -0.00639833+0.00928889j 0.00695978-0.00867444j -0.00950198-0.00034664j -0.000353696+0.00598843j -0.012735+0.010589j -0.0040631+0.00765887j -0.000236985-0.001298j 0.00070188+0.0266101j 0.00456662+0.00471418j 0.00536908+0.00581246j 0.00209754+0.0139439j -0.00418435+0.0140011j -0.0173445-0.0148684j 0.00183197+0.00342875j -0.0183034+0.0352675j -0.013266+0.0130791j 0.00890493+0.0234238j -0.013071-0.0102912j -0.00896137+0.00191075j 0.0140258+0.023196j 0.0134688+0.0152636j -0.0187776+0.000732655j 0.0151004-0.0127184j 0.0158903-0.0165392j -0.00691178-0.0121385j -0.0237948-0.0040192j -0.000502441-0.0115173j -0.0542299-0.0164678j 0.0177514+0.0201964j 0.0449659+0.0365907j -0.0177819+0.00471657j -0.0116545-0.036276j 0.0299854-0.0655357j -0.0567553+0.0262169j 0.00401869-0.0324061j -0.085085+0.0879602j 0.087953-0.0200998j 0.0201388-0.318451j 0.420668+0.158648j -0.180363+0.18987j -0.0279124-0.0443248j 
-0.128031+0.0304663j -0.0446411+0.0104399j 0.0545141-0.00108666j 0.0181805-0.0274377j 0.0142521+0.054981j 0.0298296+0.021157j 0.0416037-0.0156574j 0.0396165+0.050784j 0.0226885+0.00949335j 0.000789389+0.00450006j -0.00228042-1.53196e-05j -0.0379566+0.0310511j -0.0147189-0.0314337j 0.0228304-0.0203158j -0.00444463-0.00160562j 0.0164946-0.0453758j 0.00407999+0.0156256j -0.0114-0.0267848j -0.0625382+0.0409095j 0.00711855-0.0305519j -0.025129+0.0369215j 0.0142471+0.000866906j 0.00370957+0.010968j -0.0090404-0.00527913j 0.0117424+0.019729j -0.00188232+0.00759253j 0.0182506-0.0216084j 0.00254276-0.00131402j -0.00312355+0.00415247j -0.0102007-0.0115572j 0.00720431+0.0203502j -0.0149019-0.00401137j 0.00571667-0.0116684j -0.0129088-0.00111683j 0.00315729+0.0578018j -0.000194498-0.0110487j -0.0129735+0.00105608j -0.0227764-0.0277759j 0.00561112-0.015127j -0.00840247-0.00936134j 0.0175148-0.00710081j 0.0146563+0.00956689j -0.0129182+0.0255285j 0.00709969-0.00251882j -0.0025605-0.00174716j 0.044109+0.00220475j -0.0204277+0.0141842j -0.0720626+0.00078644j 0.00573401+0.0311681j -0.007252+0.0357441j 0.0589704-0.00957755j -0.00488984-0.00109969j -0.0213813+0.0137802j 0.0584548-0.0144621j 0.035603-0.0686612j -0.0135937-0.0067479j -0.0122914+0.0365078j 0.00808614-0.0318138j 0.0239662-0.050514j 0.0103777-0.0196925j -0.0545978+0.0450935j 0.329382+0.153546j -0.0337765-0.147707j -0.0767504+0.0789746j -0.234914+0.262032j 0.0887807+0.109216j 0.227809-0.0610704j -0.104416-0.0762243j 0.0404982-0.194295j 
-0.0281451-0.00764386j 0.132508-0.0461623j 0.00713206-0.0116798j -0.0332018-0.0218939j 0.0214225+0.0746573j -0.0733209-0.0673279j 0.00860311-0.0258473j 0.0388761-0.102345j -0.021182-0.0720197j 0.0218088-0.0509643j -0.00241454+0.0177163j 0.0414992+0.0106257j -0.0146503-0.0146311j 0.0289732+0.0159686j 0.0218183-0.0158364j -0.038253+0.0229892j 0.00214724-0.0139333j -0.0141378-0.0120889j 0.0202536-0.00917208j -0.0246089+0.0135512j -0.000883787+0.00172689j -0.0469758+0.0202748j 0.00783504-0.0122931j 0.0158249-0.00284456j 0.0211845-0.00518591j 0.0164285-0.000779892j -0.0347077+0.00049043j 0.0195793+0.028064j -0.0142207+0.00866129j 0.0126348+0.0118629j -0.000227192+0.00615658j -0.00521772+0.00349863j 0.00487627+0.0171457j -0.0133494+0.000956628j 0.0128633-0.018164j 0.0193845-0.0259335j -0.0145059+0.00947227j 0.00370095+0.00775787j 0.0151514-0.00389876j 0.00891261+0.0261465j 0.0184819-0.00525439j 0.00381549-0.0254523j 0.00929409+0.00482378j 0.00086125+0.00926149j 0.00522261+0.00196226j 0.0128749+0.00853168j -0.0186881-0.00911729j -0.0293719-0.00314236j -0.0288503+0.00585367j 0.00707915-0.0341363j -0.0603067+0.0387249j -0.0443337+0.0326122j 0.0142632+0.0101013j -0.0040337+0.00900214j 0.0337673-0.014685j 0.0680372-0.0191045j -0.0250448+0.00720685j 0.110149-0.0198398j -0.013648-0.00564607j 0.0235065-0.0138097j -0.113721-0.102025j -0.0119695+0.196691j 0.283394+0.0528154j -0.0936683+0.105566j -0.237919-0.297338j 0.10626+0.0383429j -0.0445341+0.00261722j 0.0033632+0.134099j -0.0283091-0.0383007j 
0.0555331-0.0392393j 0.0357898-0.00933476j 0.0148231-0.00403029j 0.0566263+0.0307281j -0.0769308-0.0752273j 0.0319424+0.0641289j -0.0207827+0.0360981j 0.0308067+0.0685715j 0.0540753+0.00307212j 0.00388537+0.00549729j -0.00644988+0.00115734j -0.00190773+0.0292987j 0.0475595-0.00882826j -0.00939794-0.0499329j 0.0345191+0.00459029j -0.0314029-0.0260467j 0.00774622+0.012244j -0.00973826+0.0392367j 0.0282875+0.0407297j -0.0281744-0.0615731j -0.0251193+0.0240652j 0.00533405-0.023805j 0.0122236+0.040123j -0.00475961+0.0318618j 0.0152006-0.0454372j 0.013086-0.0248635j -0.0177865-0.0134041j -0.0500137-0.0177506j -0.00515192+0.0123798j -0.0463774-0.010561j 0.026867-0.00127829j -0.0266564-0.0389721j 9.48101e-05-0.00716407j 0.00571583-0.0471945j 0.0299157+0.0135218j -0.0133833-0.0301464j -0.00576685-0.0237593j -0.0195946-0.0404648j -0.0236878-0.00906739j -0.0320317-0.0110659j -0.0193209+0.00799469j 0.0443807+0.00624609j 0.0383267-0.00181764j 0.0260653-0.02219j 0.034991-0.0187301j 0.0150878-0.0154307j 0.0120436+0.0149851j 0.0142511+0.00515556j 0.0426746-0.00412847j 0.0335139+0.0570125j 0.00174901-0.0562865j 0.0457479-0.0180225j -0.0478929+0.061671j -0.0920896-0.0661228j 0.00224966-0.048411j -0.0690794+0.0729746j 0.0835726+0.0234362j -0.0314747-0.0125388j 0.0722921-0.0131527j -0.153408-0.0293639j 0.144877-0.0371563j -0.152059-0.17767j 0.122959+0.083297j -0.0540135-0.161859j -0.208479-0.0858147j 0.169756+0.129682j 0.159905-0.174472j -0.0834131+0.131226j -0.0617975+0.0560325j 
-0.0375051+0.0233182j -0.00530459+0.0106336j -0.0622182-0.0108514j 0.140821-0.00271656j -0.127716-0.0457296j -0.0806722-0.0159506j 0.0163326-0.0505032j 0.0431199-0.0149303j 0.0669687+0.0161255j 0.0620196-0.0836975j 0.00608755+0.0523888j -0.00602203-0.0575397j -0.00580219+0.0150404j 0.0230484+0.00938557j 0.02335+0.0340195j -0.0517464+0.0172027j 0.0701407+0.0438873j -0.0191877+0.0239367j 0.0663891-0.0157598j 0.00306603-0.0124989j -0.00651694-0.0238878j -0.0187063-0.00764139j -0.00796365-0.0181832j 0.00489142+0.00529666j 0.014872-0.0165063j -0.0159519-0.00178534j -0.0238014+0.0487581j 0.0158229-0.0110432j -0.00186918-0.0209763j -0.0233605+0.000542171j 0.0451761-0.0222247j -0.0478522-0.000126458j -0.00656011+0.0109357j 0.0142275-0.0086823j -0.00484783-0.00462778j -0.0252306-0.0233349j -0.0163428-0.0134687j -0.0217559+0.0198992j -0.0292397+0.0366474j -0.0112579+0.014656j 0.0319382+0.0127939j 0.00359223-0.00590132j 0.0272764+0.00717098j -0.0214961+0.0121653j 0.0143206+0.00560897j 0.00430033+0.00198771j 0.0329342-0.0105451j -0.0275204-0.00380707j -0.0245225+0.000522231j -0.0289961+0.0154459j -0.067574+0.0523079j -0.00448471-0.000319172j -0.0085138-0.0586808j -0.0325231+0.000390926j -0.0337641+0.0220376j 0.0756176+0.027901j -0.042846-0.0219079j 0.115491+0.0850561j 0.0214644-0.0146121j 0.00746883-0.0664008j 0.0147587-0.0516897j 0.0354278+0.0468908j -0.0110146-0.130108j 0.0876775+0.00357713j 0.0221459-0.0123934j -0.127043-0.0171347j 0.0162189-0.0674836j -0.130717+0.0448728j 0.0310387-0.2289j 
-0.0327131+0.0393778j 0.0566698-0.0850826j 0.0463221-0.0316894j -0.0232246+0.0526929j -0.000735324-0.0189994j 0.0340847+0.0516698j -0.034715-0.010693j 0.0330599+0.0490658j 0.0132378-0.0162475j -0.0352567-0.0365476j 0.0254786+0.0112431j 0.00601229-0.00268508j -0.0116332+0.00911186j 0.0260909-0.0367214j 0.00655139+0.00874888j -0.0284807-0.00965227j 0.0127245-0.0224105j -0.011876+0.01708j -0.00477182-0.036391j -0.0090878-0.0540942j 0.0300525-0.00511101j -0.0190763-0.00108754j -0.0179104+0.0123295j 0.0245809-0.0069928j 0.0115219-0.0152555j -0.0256205+0.022114j -0.000887453-0.011292j 0.00265974-0.022732j -0.0219189-0.0106864j 0.00437851-0.00188291j -0.0195797-0.0359415j 0.0189974-0.0176009j 0.00335255-0.00772422j 0.0254578-0.0566976j -0.0194898-0.0203824j 0.0163578+0.0460071j -0.00728346-0.00839925j 0.0217222-0.015947j 0.0446292+0.0211508j 0.0129853-0.00311268j -0.00139351-0.000627275j 0.00270822+0.00384263j 0.0273895-0.0065227j 0.0107963+0.0209761j -0.0185352+0.00819759j -0.0285238+0.0068263j 0.0277061-0.0111886j 0.0127676+0.0300161j -0.0449287-0.00387054j 0.0343152+0.00340291j -0.0441152+0.0202934j -0.0227861-0.00797041j -0.029734+0.0196072j -0.0732782-0.0353843j -0.00781757+0.0631463j 0.200995+0.0201798j -0.0238282-0.0358641j 0.0641295+0.00433107j -0.155897-0.0571016j 0.06099+0.0629982j -0.075791-0.164585j 0.00026321+0.217528j -0.148031-0.13136j -0.028813-0.0528437j 0.0289464+0.0372338j -0.0345444-0.078212j -0.00455955+0.106296j 0.0566415+0.2184j -0.1162+0.00477481j 
-0.0381034+0.0820489j -0.0448013+0.0515176j 0.13565-0.0335378j -0.0429095+0.00855457j 0.0577115+0.0197101j 0.0623577+0.00409369j -0.00642082-0.0145026j 0.0266005-0.0141039j -0.0121466+0.0207318j -0.0144317+0.0142689j -0.00219821+0.00210251j -0.00149323-0.0368446j -0.0494648+0.053538j 0.013064+0.0372142j -0.0739234+0.00285469j -0.0171011+0.00882212j 0.028591-0.025049j -0.0177895-0.00233071j -0.0165185-0.062861j 0.0094207+0.0296861j 0.0758515+0.00965883j 0.00399207-0.0233651j -0.00234645-0.024378j 0.00735964-0.013701j 0.016021+0.0319147j -0.000112034+0.0318065j 0.0589132-0.0225227j 0.0376797-0.0288542j 0.0239231-0.0413651j -0.0224771-0.00241289j 0.00609117-0.0246796j 0.0203546+0.0225072j 0.00761378-0.00253414j -0.00888697-0.00625176j -0.0136088+0.0403566j -0.00939157+0.0175928j -0.0212251+0.0157449j -0.0220889+0.0158267j 0.0566079+0.00318472j 0.046178-0.0245877j -0.0415683-0.0259776j 0.00897341+0.015907j 0.00716058+0.00368546j 0.00255645+0.0669275j -0.00658949+0.0473239j 0.0145749-0.00342697j -0.0657028-0.0136233j 0.0592914+0.0384443j 0.0500261+0.00521061j -0.143552-0.0159163j 0.0431792+0.0739021j -0.0845543+0.00441478j -0.0498347-0.0324766j 0.163367+0.0314834j -0.0234661-0.0283488j -0.0592009-0.0893506j 0.0278586+0.0948426j 0.0259637-0.147158j 0.0253761-0.0266664j -0.0602799-0.0359405j -0.0415085+0.0879833j 0.00294238-0.0449086j 0.0928001+0.0566671j 0.0522641+0.00273342j -0.029328-0.122872j 0.0163186-0.0495538j 0.0906948-0.00544433j -0.0207877+0.0542982j -0.147135-0.00109866j 
-0.0146353+0.0317032j -0.0122044-0.0274672j 0.00263409+0.0300482j -0.0632002+0.00427682j 0.00157261+0.0679684j -0.0630151-0.0359292j -0.034066-0.0109105j 0.0392089-0.0379506j 0.0631957+0.0495917j -0.10892-0.0486199j 0.0780562-0.0560236j -0.010245-0.0107463j 0.0116689-0.0289712j -0.105188-0.000459413j 0.0476671+0.0711739j 0.0337381+0.082744j 0.00816159-0.0278953j 0.0583337+0.0178398j 0.0282554+0.0561049j -0.0561036+0.0135934j 0.0601249-0.0267732j 0.0511035+0.0294917j 0.0214842-0.0278627j 0.0532688-0.00104489j -0.0393344+0.018534j -0.0421076+0.00424705j -0.0147966-0.024345j 0.0205476+0.00805347j 0.0171949+0.0189574j -0.00551498+0.0241072j 0.00568615-0.00393771j 0.00391484-0.00795577j 0.00165499-0.0394761j 0.0552871+0.0132185j -0.0322133-0.0699196j 0.015861+0.0149745j 0.0310296-0.0187921j 0.0162886+0.017891j -0.0234363-0.0372492j -0.00879542-0.0261267j 0.0108018+0.00595911j -0.049201-0.0054121j 0.033365-0.0422319j -0.0455325-0.0380437j -0.0264192+0.0771619j -0.0721163-0.0302817j -0.0363412+0.0319697j -0.00223729-0.02828j -0.111617+0.0238557j -0.0164201-0.169319j -0.00479274+0.0306899j 0.042201+0.0936871j -0.00385659-0.0573751j -0.130433+0.00756095j 0.205793+0.0926517j 0.00784144+0.052182j -0.0611334+0.0843058j -0.0489576-0.11064j 0.0107017-0.0822629j -0.0201607-0.0804955j 0.125504+0.046465j 0.0579614+0.0342251j -0.0864281+0.0131821j 0.0140845+0.0872801j -0.082361-0.079692j 0.151754-0.0516852j -0.0892723-0.0235853j -0.188458-0.0725473j -0.0307927-0.224179j 
0.00462113-0.011156j 0.0022017+0.0138489j 0.0126237-0.00896448j 0.0232934-0.045838j 0.0177376+0.0300985j -0.037344+0.0410657j 0.0536086+0.0307972j -0.0271945-0.0422689j 0.0579587+0.0441342j 0.0680355+0.0495451j 0.0280431-0.00294081j 0.0059713+0.0233182j 0.0827789+0.0361792j 0.0324574-0.0083908j 0.0247105+0.0168255j -0.00938011-0.000741744j -0.00994997-0.00645412j -0.0418594-0.0240336j -0.0157876-0.0227373j 0.0200844+0.0721977j -0.0389492+0.0154807j -0.01287+0.0560633j -0.00344412-0.0140561j -0.0342604+0.0252534j 0.0206591+0.0798653j 0.0471768-0.0282575j 0.0449031-0.0364953j -0.0584263+0.0219578j -0.0361888+0.0185218j -0.0275375-0.0639936j 0.0137082+0.0402289j 0.0251981-0.00364182j -0.0284047+0.00877901j -0.00469217+0.0322992j 0.0125955+0.0261012j 0.023523+0.00907393j -0.0108258-0.0654598j 0.0451816-0.00307417j -0.0202404-0.0339925j 0.0151432+0.0199524j -0.00746624-0.0282945j 0.00165181+0.0329459j -0.0156567+0.0519337j 0.0695143+0.0446466j 0.115856+0.122746j 0.0238061+0.00876076j -0.0163732-0.0247218j 0.041592-0.023366j 0.0742171+0.0941048j -0.188751-0.0203165j -0.0322457-0.0358083j 0.17166-0.0286815j -0.112448+0.0746202j -0.086341+0.0103476j -0.0827246-0.252402j -0.000242996+0.0771044j 0.0132267-0.0543449j -0.0529442+0.0466378j -0.0544963-0.0907985j 0.183045+0.0858108j 0.0344878+0.0412729j -0.0246029+0.0411772j -0.0247665+0.098009j 0.0907192-0.00117206j -0.0189762+0.0115289j 0.0934084+0.00198032j -0.0153929-0.0565749j -0.00872634-0.214814j 0.230272+0.0766218j 
0.0207999+0.0635769j -0.00581505-0.027314j -0.0400642-0.0247705j -0.0125667+0.0221284j -0.0207997-0.0108552j -0.0133013+0.0556528j -0.0149174-0.0065545j -0.00173057+0.0591263j 0.0501699-0.0133679j 0.0547428+0.015679j 0.0979818+0.0406996j -0.023887+0.0484616j -0.0144294+0.0187001j 0.0274055-0.0441001j 0.0318456-0.0309082j -0.0237536-0.0422408j 0.00676959+0.0383009j -0.0216913-0.00935887j 0.00256425-0.0330641j -0.0304391+0.0292509j -0.067243-0.0198268j -0.0375058+0.02743j 0.018787-0.0401991j -0.00255323+0.0160926j 0.000353875+0.0546272j -0.0357048-0.0448526j 0.00328213+0.0388114j -0.0193607+0.0467308j -0.0482953+0.0152259j 0.0338958-0.00818j 0.0378806+0.0241798j -0.0251266-0.0124184j -0.00465237-0.0338101j 0.00213359-0.00711247j -0.0107295-0.0728366j -0.0477527+0.0181881j 0.0044857-0.0280273j 0.00399012-0.0410976j -0.0413755+0.00759841j -0.0282346+0.024099j -0.0244953+0.0172687j 0.0225597-0.0242209j 0.139689-0.015106j -0.150316-0.0440914j -0.0141672+0.0120044j -0.0899934-0.0727453j 0.0565666-0.0197022j -0.0203168+0.0209383j -0.0938347+0.026213j -0.0897678-0.0111008j 0.0379774+0.0497082j 0.00457421-0.142306j -0.0394145+0.0246908j -0.0906761+0.180337j -0.102578-0.179004j 0.0739368-0.0537497j -0.0252518-0.0495914j 0.00390622-0.00737116j 0.0438642+0.0409426j 0.0815775-0.0295442j -0.07204+0.0074244j 0.00469504+0.0492446j 0.0223895+0.0568669j 0.0748442+0.0186966j 0.0161352+0.024323j 0.0226331-0.0992375j -0.0558263+0.0319675j 0.0667651-0.117888j 0.125628+0.00744466j 
