0.0829416-0j 0.0146621-0j 0.00122184-0j 0.0723462-0j 0.0120577-0j 0.00738381-0j 0.00150721-0j 8.88134e-05-0j 0.0456122-0j 0.0460849-0j 0.00736065-0j 0.00743692-0j 0.00600994-0j 0.00086746-0j 0.00607222-0j 0.000751243-0j 0.00087645-0j 0.000759028-0j 8.85348e-05-0j 8.94523e-05-0j 4.04104e-06-0j 4.08292e-06-0j 0.0338907-0j 0.0419376-0j 0.0244636-0j 0.00535859-0j 0.00663092-0j 0.00423634-0j 0.00386804-0j 0.00282423-0j 0.000611463-0j 0.0052422-0j 0.000706057-0j 0.0034948-0j 0.000756647-0j 0.00305795-0j 0.000249629-0j 0.00203863-0j 5.88381e-05-0j 0.000441377-0j 6.24072e-05-0j 0.000873701-0j 0.0003089-0j 0.000509659-0j 5.2006e-06-0j 7.28084e-05-0j 7.7225e-05-0j 0.000180192-0j 4.24716e-05-0j 1.93815e-07-0j 6.43541e-06-0j 4.50479e-05-0j 2.39834e-07-0j 3.75399e-06-0j 1.39903e-07-0j 
0.0120577-0j -0.100503-0j -0.0254811-0j 0.000182223-0j -0.001432-0j 1.8598e-05-0j -0.000361796-0j -4.28618e-05-0j 0.00663092-0j -0.00646748-0j -0.0504545-0j 0.0492109-0j 0.000873701-0j -0.0120183-0j -0.000852166-0j -0.00514949-0j 0.0117221-0j 0.00502256-0j -0.00184636-0j 0.00180085-0j -0.000140849-0j 0.000137377-0j 0.00492689-0j 0.000105631-0j -0.00692799-0j -0.0367311-0j -0.000787503-0j 0.000615862-0j 0.0516498-0j 0.000410575-0j -0.00847159-0j 1.32039e-05-0j -0.00483975-0j 8.80257e-06-0j -0.000181628-0j -0.000865998-0j 3.629e-05-0j -0.000577332-0j -0.00122705-0j 0.0119124-0j -0.000864628-0j -0.000103763-0j 7.78045e-07-0j 0.00680545-0j -0.000144861-0j -2.63074e-05-0j -1.85373e-05-0j -5.10294e-05-0j 0.00172542-0j -8.11205e-06-0j -3.10576e-06-0j 0.0012158-0j -1.73919e-07-0j 0.000203697-0j 1.14068e-05-0j 
0.00600994-0j -0.101573-0j 8.85348e-05-0j 0.0052422-0j 0.000873701-0j -0.102838-0j -0.0104413-0j 6.43541e-06-0j -0.00321097-0j 0.00333931-0j -0.000518169-0j 0.000538879-0j 0.0404489-0j -6.10668e-05-0j -0.0420656-0j 0.0101651-0j 6.35075e-05-0j -0.0105714-0j 0.000595868-0j -0.000619684-0j -2.84478e-07-0j 2.95848e-07-0j 0.00245572-0j -0.00295229-0j 0.00177263-0j 0.000388283-0j -0.000466798-0j -0.0293474-0j 0.000280278-0j 0.000204643-0j 4.43066e-05-0j 0.0352818-0j -0.00489124-0j -0.000246024-0j -5.32658e-05-0j -0.0211841-0j -0.00522412-0j 0.000147719-0j 4.2634e-06-0j 3.19822e-05-0j -0.000869179-0j 0.00588029-0j 0.00628048-0j -0.00353068-0j -3.60274e-05-0j -5.12551e-06-0j 0.00104494-0j -0.00377097-0j 3.07749e-06-0j 1.40438e-08-0j 4.33124e-05-0j -0.000627406-0j -1.68836e-08-0j -2.60059e-05-0j 1.01374e-08-0j 
-0.00086746-0j 0.0146143-0j -0.17409-0j -0.000756647-0j 0.0120183-0j -7.7225e-05-0j -0.0700756-0j -0.0254864-0j 0.000463464-0j -0.000481988-0j -0.00712776-0j 0.00741264-0j 6.10668e-05-0j 0.0391831-0j -6.35075e-05-0j -0.000727474-0j -0.0407492-0j 0.00075655-0j 0.0122554-0j -0.0127453-0j 0.00188428-0j -0.00195959-0j -0.000354453-0j 0.000426127-0j -0.000255857-0j 0.0053411-0j -0.00642112-0j -4.43066e-05-0j 0.00385541-0j -2.95377e-05-0j -0.0284291-0j 5.32658e-05-0j 0.000703752-0j 3.55105e-05-0j 0.0341777-0j -3.19822e-05-0j -2.61079e-06-0j -2.13215e-05-0j -0.00838331-0j -0.0205212-0j -0.00290153-0j -0.000846057-0j 3.13872e-06-0j 0.000507995-0j -0.0014924-0j 0.0100785-0j 0.00348825-0j -1.88457e-06-0j -0.0060514-0j -0.000139824-0j 0.00179417-0j -0.00209443-0j 0.000168097-0j -0.00107727-0j -0.00010093-0j 
-0.00607222-0j 0.102625-0j -8.94523e-05-0j 0.005113-0j 0.000852166-0j -0.100304-0j -0.0101839-0j 6.27679e-06-0j -0.00333931-0j 0.00337189-0j -0.000538879-0j 0.000544137-0j 0.0420656-0j -6.35075e-05-0j -0.042476-0j 0.0105714-0j 6.41271e-05-0j -0.0106745-0j 0.000619684-0j -0.00062573-0j -2.95848e-07-0j 2.98735e-07-0j -0.00248117-0j 0.0029639-0j -0.00160804-0j -0.000392307-0j 0.000468634-0j 0.0296515-0j -0.000254254-0j -0.000206764-0j -4.47657e-05-0j -0.0354205-0j 0.00494192-0j 0.000246992-0j 5.34752e-05-0j 0.0192172-0j 0.00527825-0j -0.000134004-0j -4.30758e-06-0j -2.90127e-05-0j 0.000878186-0j -0.00590341-0j -0.00630518-0j 0.00320286-0j 3.64007e-05-0j 5.14566e-06-0j -0.00104904-0j 0.00342083-0j -2.79174e-06-0j -1.41894e-08-0j -4.34827e-05-0j 0.000569152-0j 1.695e-08-0j 2.35913e-05-0j -9.19611e-09-0j 
0.00087645-0j -0.0147657-0j 0.175894-0j -0.000737997-0j 0.0117221-0j -7.53215e-05-0j -0.0683484-0j -0.0248583-0j 0.000481988-0j -0.000486691-0j -0.00741264-0j 0.00748496-0j 6.35075e-05-0j 0.0407492-0j -6.41271e-05-0j -0.00075655-0j -0.0411468-0j 0.000763931-0j 0.0127453-0j -0.0128696-0j 0.00195959-0j -0.00197871-0j 0.000358126-0j -0.000427802-0j 0.000232101-0j -0.00539645-0j 0.00644637-0j 4.47657e-05-0j -0.00349744-0j 2.98438e-05-0j 0.0287237-0j -5.34752e-05-0j -0.000711045-0j -3.56502e-05-0j -0.0343121-0j 2.90127e-05-0j 2.63785e-06-0j 1.93418e-05-0j 0.00847019-0j 0.0186158-0j 0.0029316-0j 0.000849384-0j -3.15106e-06-0j -0.000460828-0j 0.00150786-0j -0.0101181-0j -0.00350196-0j 1.70959e-06-0j 0.00548953-0j 0.000141273-0j -0.00180123-0j 0.00189997-0j -0.000168758-0j 0.000977245-0j 9.15587e-05-0j 
-0.576597-0j 0.000706057-0j 5.88381e-05-0j 0.00348384-0j -0.0838233-0j 0.000355568-0j 7.258e-05-0j 4.27682e-06-0j 0.00219646-0j 0.00221922-0j 0.000354453-0j 0.000358126-0j -0.0417802-0j -0.00603045-0j -0.0422131-0j 3.61762e-05-0j -0.00609294-0j 3.65511e-05-0j 4.2634e-06-0j 4.30758e-06-0j 1.94597e-07-0j 1.96613e-07-0j -0.00320952-0j 0.00201951-0j 0.00117805-0j -0.00050747-0j 0.000319313-0j -0.00040119-0j 0.000186266-0j 0.0774904-0j -5.79068e-05-0j 0.000252439-0j 0.00965287-0j -0.0487589-0j 3.64364e-05-0j 0.000147256-0j -2.36404e-05-0j -0.0284427-0j 0.000804406-0j 2.12546e-05-0j -5.91009e-06-0j -0.00607383-0j 1.48751e-05-0j -0.00354307-0j -4.92507e-07-0j -0.000506153-0j 3.71878e-06-0j 8.67715e-06-0j -0.000295256-0j -1.83547e-08-0j 3.09898e-07-0j 2.16929e-06-0j 1.15492e-08-0j 1.80774e-07-0j 6.73704e-09-0j 
0.713502-0j -0.000873701-0j -7.28084e-05-0j -7.46923e-05-0j 0.00179714-0j -7.62325e-06-0j -1.55609e-06-0j -9.16934e-08-0j 0.00264061-0j 0.00265099-0j 0.000426127-0j 0.000427802-0j -0.0502285-0j -0.00724987-0j -0.050426-0j 4.34914e-05-0j -0.00727837-0j 4.36624e-05-0j 5.12551e-06-0j 5.14566e-06-0j 2.33946e-07-0j 2.34866e-07-0j -0.00201951-0j 4.2065e-05-0j 0.00283975-0j -0.000319313-0j 6.65106e-06-0j -0.000252439-0j 0.000449004-0j 0.0487589-0j -3.64364e-05-0j 5.25813e-06-0j 0.00607383-0j -0.00101561-0j 7.58945e-07-0j 0.000354969-0j -1.48751e-05-0j -0.0685627-0j 0.000506153-0j 5.12353e-05-0j -3.71878e-06-0j -0.000126514-0j 3.09838e-07-0j -0.00854076-0j -3.09898e-07-0j -1.05428e-05-0j 7.74595e-08-0j 2.09167e-05-0j -0.00071173-0j -1.15492e-08-0j 6.45496e-09-0j 5.22918e-06-0j 2.40562e-10-0j 4.35765e-07-0j 1.624e-08-0j 
-0.000706057-0j -0.562648-0j 0.00149208-0j -0.000615862-0j 0.00483975-0j 0.0120816-0j -0.116903-0j 0.000144861-0j -0.000388283-0j -0.000392307-0j 0.00295444-0j 0.00298505-0j 0.00489124-0j 0.000703752-0j 0.00494192-0j -0.0579583-0j 0.000711045-0j -0.0585589-0j -0.0103365-0j -0.0104436-0j 8.24762e-06-0j 8.33309e-06-0j 0.000567368-0j -0.000357003-0j -0.000208251-0j -0.00422986-0j 0.00266154-0j -0.00678041-0j 0.00155256-0j 4.72807e-05-0j -0.000975566-0j 0.00426641-0j 0.0532839-0j -2.97502e-05-0j 0.000613851-0j 0.00248874-0j -0.00120698-0j -1.73543e-05-0j -0.000141303-0j 0.00035808-0j 0.019138-0j -0.0335276-0j 0.000759461-0j -0.0195578-0j 0.00159486-0j 8.89117e-05-0j -0.0120421-0j 0.000443019-0j 5.18651e-05-0j -9.34163e-07-0j -0.00100353-0j -0.00702458-0j 5.87799e-07-0j -0.000585392-0j 3.42883e-07-0j 
5.88381e-05-0j -0.00149208-0j -0.544793-0j 5.13218e-05-0j -0.00122705-0j 5.23801e-06-0j 0.014566-0j -0.163585-0j 3.2357e-05-0j 3.26923e-05-0j -0.000749052-0j -0.000756814-0j 4.2634e-06-0j 0.00838331-0j 4.30758e-06-0j -7.64498e-05-0j 0.00847019-0j -7.72421e-05-0j -0.0394756-0j -0.0398847-0j -0.0188053-0j -0.0190002-0j -4.72807e-05-0j 2.97502e-05-0j 1.73543e-05-0j 0.00107242-0j -0.000674792-0j -5.91009e-06-0j -0.000393629-0j -3.94006e-06-0j -0.0116213-0j 3.71878e-06-0j 0.000141303-0j 2.47918e-06-0j 0.00731239-0j 2.16929e-06-0j -3.48255e-07-0j 1.44619e-06-0j 0.051593-0j 0.00426556-0j -0.00118609-0j -8.89117e-05-0j 2.19131e-07-0j -5.18651e-05-0j 0.0188381-0j -0.0324636-0j 0.000746318-0j 1.27826e-07-0j -0.0189371-0j 0.00356614-0j -0.0118534-0j 0.000435352-0j -0.00224391-0j -0.00691448-0j -0.00130895-0j 
-0.41621-0j 0.000509659-0j 4.24716e-05-0j -0.00489883-0j 0.117869-0j -0.000499984-0j -0.000102059-0j -6.01388e-06-0j 0.00158549-0j 0.00143828-0j 0.000255857-0j 0.000232101-0j -0.0301585-0j -0.00435301-0j -0.0273583-0j 2.61133e-05-0j -0.00394883-0j 2.36887e-05-0j 3.07749e-06-0j 2.79174e-06-0j 1.40467e-07-0j 1.27425e-07-0j 0.00117805-0j -0.00283975-0j 0.00326887-0j 0.000186266-0j -0.000449004-0j 0.000147256-0j 0.000516854-0j -0.0284427-0j 2.12546e-05-0j -0.000354969-0j -0.00354307-0j 0.0685627-0j -5.12353e-05-0j 0.000408609-0j 8.67715e-06-0j -0.0789233-0j -0.000295256-0j 5.89776e-05-0j 2.16929e-06-0j 0.00854076-0j -2.09167e-05-0j -0.00983137-0j 1.80774e-07-0j 0.00071173-0j -5.22918e-06-0j 2.40775e-05-0j -0.000819281-0j 6.73704e-09-0j -4.35765e-07-0j 6.01937e-06-0j -1.624e-08-0j 5.01614e-07-0j 1.86941e-08-0j 
